CTM00000001	$1的控制者是$2
CTM00000421	=清泉镇=
CTM00000422	[CRLF][CRLF]乔·科布一伙人就是蠢蛋，活该被干掉。毁掉一座小镇可赚不到钱，收取保护费才是生财之道。
CTM00000423	[CRLF][CRLF]你和乔·科布给了清泉镇的红脖子们一顿好打，是时候正式确立炸药帮对小镇的控制了。
CTM00000424	[CRLF][CRLF]在和炸药帮最近的冲突后，清泉镇也许想接受[%]提供的保护。[CRLF][CRLF]除此之外，我们还可以照看镇上一些荒废的田地，确保水源。
CTM00000425	[CRLF][CRLF]小镇北部的老加油站也可以建成一座哨站。
CTM00000426	重命名清泉镇哨站
CTM00000427	=守卫者营地=
CTM00000428	[CRLF][CRLF]湖沼蟹已被清除，守卫者营地可以重建了。
CTM00000429	[CRLF][CRLF]NCR的旗帜将再度于山顶飘扬！
CTM00000430	[CRLF][CRLF]这次轮到[%]的旗帜插在山顶了。
CTM00000431	=石膏采掘场火车站=
CTM00000432	[CRLF][CRLF]石膏采掘场火车站已因死亡爪肆虐废弃了许久。如今死亡爪已被清除，石膏采掘场可以重启了。
CTM00000433	=哈珀的小屋=
CTM00000434	[CRLF][CRLF]莫哈维到处都是废弃的棚屋，住户如风滚草般来来去去。这个棚屋则有着不错的视野，[%]应该考虑派遣一些[%]
CTM00000435	[%]去占据小屋。
CTM00000436	重命名棚屋
CTM00000437	=内华达高速巡逻站=
CTM00000438	[CRLF][CRLF]该巡逻站目前是豺狼帮骚扰15号公路旅人的基地，清除他们并不难。[CRLF][CRLF]占据巡逻站后，[%]就可以密切关注莫哈维前哨站的进出情况。
CTM00000439	=霍洛维兹农庄=
CTM00000440	[CRLF][CRLF]这里有大片荒废的田地，还有被掠夺者或其它生物占据的谷仓。农场在[%]手里无疑会比在毒蛇帮手里更有价值。
CTM00000441	重命名牧场
CTM00000442	=猎人农场=
CTM00000443	[CRLF][CRLF] 如今蜥蜴攻击已平息，炸药帮可以着手经营农场——无论那些懒狗愿不愿意。NCRCF可是有很多张嘴等着吃饭。
CTM00000444	[CRLF][CRLF] 蜥蜴和炸药帮都已清除，[%]可以着手经营农场。
CTM00000445	重命名农场
CTM00000446	=15号铁路交汇站=
CTM00000447	[CRLF][CRLF]15号铁路交汇站是前往维加斯腹地的关键节点。[%]应该派一支队伍前去确保。
CTM00000448	=雅各布斯镇=
CTM00000449	[CRLF][CRLF]因为你和这个超级变种人聚居地关系良好，[%]可以提出建立与雅各布斯镇的正式纽带。我们可以建立一个小型的外交站，同时可作为商贸点。
CTM00000450	雅各布斯镇贸易站
CTM00000451	[%]已在雅各布斯镇建立了一个小型的驻军和贸易站。
CTM00000452	=吉恩跳伞俱乐部=
CTM00000453	[CRLF][CRLF]炸药帮应该加大力度确保我们对15号公路的控制，而吉恩跳伞俱乐部则是一个完美的袭扰商队的节点。
CTM00000454	[CRLF][CRLF]为了压制炸药帮在这一区域的活动，[%]可以占据吉恩跳伞俱乐部并将其作为15号公路的检查点。
CTM00000455	=孤狼电台=
CTM00000456	[CRLF][CRLF]这辆锈迹斑斑的拖车里满是贵重的无线电设备。可以为[%]所用。
CTM00000457	=马修斯畜牧农场=
CTM00000458	[CRLF][CRLF]该牧场自从军团袭击探照灯营地后就被废弃，其中的牲畜无人照料。[%]应该重建牧场，照料动物们，确保它们宝贵的肉和皮不浪费掉。
CTM00000459	=史密斯·梅萨的淘金客营地=
CTM00000460	[CRLF][CRLF]我们可以轻易重建这个废弃的淘金客营地，作为[%]的监听站。对科罗拉多河的监视越严密越好。
CTM00000461	[CRLF][CRLF]而且应该有人解决那条狗。
CTM00000462	=鼹鼠牧场=
CTM00000463	[CRLF][CRLF]驯化鼹鼠是一项棘手的工作，这些大型啮齿动物的脾气可不好。但它们提供的鲜肉能在自由城附近卖个好价钱。
CTM00000464	重命名牧场
CTM00000465	=蒙特卡洛公寓=
CTM00000466	[CRLF][CRLF]这座老公寓很大程度上废弃了，目前充斥着流浪汉。[%]可以修复公寓并将其作为维加斯废墟的一处驻防点。
CTM00000467	重命名公寓
CTM00000468	=内利斯空军基地=
CTM00000469	[CRLF][CRLF]随着大炮族逐渐开始走向外界，部族必须谨慎决定哪些人可以踏上其领地。不过，我们可以在入口附近建立一个小型的贸易站。
CTM00000470	[CRLF][CRLF]大炮族正逐渐解除孤立状态。因此[%]应该在内利斯空军基地建立一个大使馆以推进双边关系。
CTM00000471	内利斯贸易站
CTM00000472	内利斯空军基地已经建立了一个贸易站
CTM00000473	[%]已在内利斯空军基地建立了一个大使馆。
CTM00000474	=尼普顿=
CTM00000475	[CRLF][CRLF]尼普顿的火海是军团给莫哈维堕落者们的一个深刻教训。[CRLF][CRLF]但现在是时候给出凯撒的第二个教训了：向人们展示军团不止会毁灭村落，也会建设，并且建设得比以往还好。
CTM00000476	[CRLF][CRLF]军团给尼普顿带来了惨痛的伤痕，现在该由[%]重建小镇并保卫它了。
CTM00000477	重命名尼普顿
CTM00000478	=炸药帮东部营地=
CTM00000479	[CRLF][CRLF]这个小营地可以监视NCRCF的背侧。我们应该确保此处，以防有人偷袭。
CTM00000480	[CRLF][CRLF]为了巩固对[%]周边的控制，[%]应该确保此处炸药帮营地。
CTM00000481	=炸药帮北部营地=
CTM00000482	[CRLF][CRLF]该营地长期作为伏击商队的好地点，给小子们供给些额外的资源能一本万利。
CTM00000483	[CRLF][CRLF]NCRCF北部扎营的炸药帮一直在骚扰商队，不能再放任下去。
CTM00000484	‘=炸药帮南部营地=
CTM00000485	[CRLF][CRLF]查韦兹的小团体已被排除，炸药帮应该派些人去看着铁路。
CTM00000486	[CRLF][CRLF]这个小营地可以有效监视铁路沿途的行人。
CTM00000487	’=炸药帮西部营地=
CTM00000488	[CRLF][CRLF]NCR喜欢在领土上设置[%]收费站[%]。炸药帮何不有样学样呢？
CTM00000489	[CRLF][CRLF]这个炸药帮营地可以作为15号公路上的检查点，[%]甚至可以设置一个收费站。
CTM00000490	‘=淘金客老巢=
CTM00000491	[CRLF][CRLF]豺狼帮被消灭后，淘金客们已经回归，他们也许想要[%]庇护以防再被攻击。
CTM00000492	重命名淘金客老巢
CTM00000493	’=军团劫掠营地=
CTM00000494	如果我们要持续袭击那些堕落者，就最好巩固这个营地。
CTM00000495	劫掠营地已被摧毁，[%]应该把它作为防御军团未来攻击的据点。
CTM00000496	=应急铁道=
CTM00000497	[CRLF][CRLF]走私者和土匪经常避开主要道路，沿着许多交叉的铁路线穿越莫哈维。在旧的应急铁路站建立一个检查点可能是个好主意。
CTM00000498	‘=劳尔的小屋=
CTM00000499	[CRLF][CRLF]小屋的前主人已死，[%]可以前往占领，作为一个不错的侦查哨站。
CTM00000500	[CRLF][CRLF]为了感谢你把他从塔比瑟手下解放出来，劳尔已经同意让[%]把他的小屋作为哨站。
CTM00000501	 有人能在他和你旅行莫哈维时照顾他的双头牛也是件好事。
CTM00000502	=瑞普康试验场=
CTM00000503	[CRLF][CRLF]如今瑞普康试验场的非常事态已经平息，出于安全和研究的目的，[%]应该占领它。
CTM00000504	重命名设施
CTM00000505	=遭劫的农场=
CTM00000506	[CRLF][CRLF]这里的前住户大概率已死于匪徒之手，哪怕规模很小也不该让这片田地浪费掉。
CTM00000507	重建的农场
CTM00000508	=尼普顿公路维修站=
CTM00000509	[CRLF][CRLF]这个废墟被掠夺者们用来伏击商旅。我们应该派遣一支小队来确保道路安全。
CTM00000510	重命名维修站
CTM00000511	=拾荒者平台=
CTM00000512	[CRLF][CRLF]在这个平台上可以一览米德湖无余。我们应该派遣一些斥候来确保这个观察站。
CTM00000513	重命名平台
CTM00000514	=银峰矿洞=
CTM00000515	[CRLF][CRLF]这个庞大的银峰矿洞已被大毒蜂占据。就算矿洞里可能不剩什么资源，我们也该铲除这些危险的生物。
CTM00000516	重命名矿洞
CTM00000517	=斯隆=
CTM00000518	[CRLF][CRLF]尽管采石场中的死亡爪们已被清除，但是莫哈维仍处于危机之中。斯隆需要的增援长期缺位。加州母亲应该让矿工们明白他们没有被抛弃。
CTM00000519	[CRLF][CRLF]采石场被死亡爪占据后，NCR看来已抛弃了斯隆。[%]可以进驻小镇并重启采石场。
CTM00000520	重命名采石场
CTM00000521	=狙击手野营=
CTM00000522	[CRLF][CRLF]这个废弃的狙击手野营一览科罗拉多河和附近的山谷无余。[%]应该派一些斥候到此，监视河流。
CTM00000523	=马场山州立公园=
CTM00000524	[CRLF][CRLF]大汗帮必须向红岩峡谷外扩张，附近的公园是一个种地牧羊的好地方。
CTM00000525	[CRLF][CRLF]尽管这个公园很靠近大汗帮，但[%]应该宣称这片肥沃的土地。附近[%]的驻防可以击退任何可能的掠夺者入侵。
CTM00000526	重命名公园
CTM00000527	=新维加斯钢铁=
CTM00000528	[CRLF][CRLF]新维加斯钢铁的保存程度意外的完好。尽管身处恶魔帮腹地，[%]应确保其宝贵的钢材。
CTM00000529	重命名钢铁厂
CTM00000530	=尼普顿公路休息站=
CTM00000531	[CRLF][CRLF]清除辐射蝎后，[%]应该在休息站建立一个小检查点。
CTM00000532	[CRLF][CRLF]我们还可以邀请商人重开杂货店，卖给15号公路的旅人们。
CTM00000533	重命名休息站
CTM00000534	=H&H工具厂=
CTM00000535	[CRLF][CRLF]尽管豪斯先生早已不像200年前那样需要H&H工具厂，也不该让这个家族产业继续荒废。
CTM00000536	[CRLF][CRLF]陷阱已拆除，积水已排空，[%]可以开始重建这座可以作为维加斯北部哨站的老工厂了。
CTM00000537	=蛮族村庄=
CTM00000538	[CRLF][CRLF]这堆小帐篷数次易主，部落民、恶魔帮、大汗帮，现在则是大毒蜂。[CRLF][CRLF]清理干净后，[%]可以在此扎营。
CTM00000539	=布鲁克斯风滚草牧场=
CTM00000540	[CRLF][CRLF]这个老牧场可以用来为[%]养双头牛、种植庄稼。[CRLF][CRLF]当然，风滚双头牛们只能另寻去处了。
CTM00000541	=95号高速公路毒蛇帮营地=
CTM00000542	[CRLF][CRLF]毒蛇帮已在诺瓦克南部的高速路交叉口建立了营地。[%]必须阻止他们，占据此处。
CTM00000543	95号高速公路营地
CTM00000544	=飞鸟失事地=
CTM00000545	[CRLF][CRLF]尽管回收飞鸟并培训驾驶员成本高昂，一架可用的飞鸟将极大助力[%]未来的行动。
CTM00000546	重命名飞鸟
CTM00000547	=惠特克农庄=
CTM00000548	[CRLF][CRLF]不该让小子们在农场无所事事。干活吧！炸药帮也要吃饭。
CTM00000549	[CRLF][CRLF]解决炸药帮后，惠特克农庄可以继续种庄稼了。
CTM00000550	=内华达南部风力发电厂=
CTM00000551	[CRLF][CRLF]能源就是莫哈维的根本价值所在。尽管这个风力发电站和太阳神一号或胡佛水坝天差地别，但[%]能确保的能源自是多多益善。
CTM00000552	重命名风力发电站
CTM00000553	=狼号牧场=
CTM00000554	[CRLF][CRLF]没人知道这个牧场的前主人是谁，无迹无踪。[%]应该派些农夫去照看庄稼。
CTM00000555	== 大山脉投资 ==
CTM00000556	[CRLF]大山脉投资：[%]
CTM00000557	[CRLF][CRLF]历经多年无序后，是时候从思想体穹顶开始重新打理大山脉了。
CTM00000558	[CRLF][CRLF]大山脉研究设施是一座先进技术和战前机密的宝库，尽管风险巨大。[CRLF][CRLF]我们应该组织一支探险队探索设施。
CTM00000559	[CRLF][CRLF]插满[%]旗帜的第一站正是位于设施中央的思想体穹顶。
CTM00000560	思想体
CTM00000561	[CRLF][CRLF]一个行动基地已在[%]建立，[%]现在可以进一步确保整个大山脉。[CRLF][CRLF]
CTM00000562	随着继续探索大空洞的实验室，[%]将持续控制各设施。
CTM00000563	X-7a [%]左外场[%]大炮发射点
CTM00000564	=X-7a [%]左外场[%]大炮发射点=
CTM00000565	[CRLF][CRLF]要是让X-7测试中心的爆炸物落到别人手里，那我们还哪配叫大炮族。[CRLF][CRLF]必须确保该地区，把货都运回内利斯。
CTM00000566	[CRLF][CRLF]X-7测试站充斥着遗落的爆炸物。如果我们不确保该地区，整个大山脉都可能被炸上天。
CTM00000567	重命名X-7测试站
CTM00000568	=Z-14蛛蜂DNA剪接实验室=
CTM00000569	[CRLF][CRLF]考虑到大毒蜂危险的破坏性，它们起源于大山脉这一事实并不让人意外。[CRLF][CRLF]如果[%]能研究它们诞生的实验室，或许我们能找到根除它们的办法。
CTM00000570	重命名实验室
CTM00000571	=X-8研究中心=
CTM00000572	[CRLF][CRLF]X-8研究中心的赛博犬研究可以为[%]所用，也别忘了设施中的基因拆解研究。
CTM00000573	重命名中心
CTM00000574	=Z-38光波动力学研究所=
CTM00000575	[CRLF][CRLF]我们应该确保这个研究中心。也许这可以让我们的全息影像更强力。
CTM00000576	[CRLF][CRLF]全息影像是一种此前只在马德雷幸存者的传闻中听说过的虚幻般的技术。[%]最好对其进行深入研究。
CTM00000577	=信号山发射机=
CTM00000578	[CRLF][CRLF]我们应该维修这个小信号站，加强在大山脉内的通讯。
CTM00000579	重命名站点
CTM00000580	=Z-9响尾蛇DNA保护实验室=
CTM00000581	[CRLF][CRLF]夜行兽在莫哈维各地都是一个威胁。研究它们的起源或有助于我们最终将其从废土中清除。
CTM00000582	=土星合金研究设施=
CTM00000583	[CRLF][CRLF]土星合金是大山脉发现的一种新奇的先进合金。
CTM00000584	[CRLF][CRLF]多数人会先想到用土星合金开发武器，但天启追随者可以找到这种金属的更好用途。
CTM00000585	[CRLF][CRLF]研究土星合金将使[%]在武器生产上获得巨大优势。
CTM00000586	=电子保安拆解工厂=
CTM00000587	[CRLF][CRLF]毫不夸张，思想体解析豪斯先生的电子保安技术的尝试失败透顶。[CRLF][CRLF]我们应该让这个设施做点别的。
CTM00000588	[CRLF][CRLF]思想体没能理解豪斯先生的电子保安的原理，也许[%]能做得更好。
CTM00000589	重命名工厂
CTM00000590	=X-13研究设施=
CTM00000591	[CRLF][CRLF]X-13研究设施的潜行技术对[%]很有用。[CRLF][CRLF]应该派一队科学家去研究潜行服和夜行兽。
CTM00000592	=思想体=
CTM00000593	[CRLF][CRLF]要重建大空洞，就得从它的核心，思想体圆顶开始。
CTM00000594	[CRLF][CRLF]思想体的科学家们都死了，
CTM00000595	[CRLF][CRLF]无论思想体的科学家们愿不愿意，
CTM00000596	应该引入一些思想活跃的新鲜血液。200年过去，是时候让新一代科学家接管大山脉了。
CTM00000597	 有先进科技的吸引力，不愁招募不到科学家。
CTM00000598	[CRLF][CRLF]圆顶坐落在大山脉研究设施的中心，是思想体的所在处。这座庞大的建筑自然将成为大空洞内未来的行动基地。
CTM00000599	思想体的疯狂科学家们死了，
CTM00000600	考虑到你和思想体[%]科学家[%]们的友谊， 
CTM00000601	[%]应该能顺利入驻圆顶。
CTM00000602	[CRLF][CRLF]专家们将怀着神圣的使命前往大山脉研究设施内的技术。自兄弟会成立起，麦克森长老就赋予了我们保卫人类免遭危险科技和越界实验毒害的任务。[CRLF][CRLF]现在，放逐者们将履行使命。
CTM00000603	[CRLF][CRLF][%]的全息影像大军将占领大山脉，揭开大空洞的秘密。
CTM00000604	[CRLF][CRLF]大山脉是人类傲慢的证明。他们玩弄科学，最终导致了灾难。现在轮到我们了，科学的果实属于[%]。
CTM00000605	[CRLF][CRLF]我们应该让NCR科学与工业办公室的顶级头脑们来揭开大山脉的秘密，造福共和国。
CTM00000606	[CRLF][CRLF]凯撒的领地上大多是愚昧的部落民，无力研究大山脉，但可以给科学家或其他受过教育的人戴上军团的奴隶项圈。要么为凯撒贡献脑力，要么上十字架。
CTM00000607	[CRLF][CRLF]虽然豪斯先生本身就是一位杰出的学者，但他一直是科学的赞助者，这一点至今未变。利用维加斯的巨大财富，豪斯先生将雇佣废土上最聪明的人才来研究大山脉的奥秘。
CTM00000608	[CRLF][CRLF]学士们将怀着神圣的使命前往大山脉研究设施内的技术。自兄弟会成立起，麦克森长老就赋予了我们保卫人类免遭危险科技和越界实验毒害的任务。[CRLF][CRLF]大山脉或许是兄弟会迄今为止最大的挑战。
CTM00000609	[CRLF][CRLF]大山脉的多数科技都是为破坏而生，但或许有些研究可以用来让废土变得更好。天启追随者将派遣最聪明的头脑们到设施中，发展造福人类而非毁灭的科技。
CTM00000610	[CRLF][CRLF]大山脉的技术对重建美国至关重要。英克雷的伟大头脑们将会揭开其秘密。国家需要它！
CTM00000611	[CRLF][CRLF]的确，多数超级变种人不是搞科研的料。然而，我们已经[%]邀请[%]并[%]说服[%]了许多科学家与我们合作，揭开大空洞的秘密。
CTM00000612	[CRLF][CRLF]大山脉的灾难性现状应归因于人类的不可靠性。所幸，[%]作为机器人不会犯同样的错误。机器坚定的逻辑正是揭开大山脉秘密的关键。
CTM00000613	[CRLF][CRLF]我们的专业技能大都集中于爆破和航空，不过内利斯培育出的科学家们在揭开大山脉秘密这一块要远迈废土上的蛮子们。
CTM00000614	[CRLF][CRLF]要揭开大山脉的秘密，[%]需要雇佣一大批科学家。所幸，在先进科技的诱惑下应该不难招人。
CTM00000615	放逐者专家
CTM00000616	兄弟会学士
CTM00000617	英克雷科学家
CTM00000618	天启追随者科学家
CTM00000619	大炮族研究员
CTM00000620	大山脉研究员
CTM00000621	奴隶科学家
CTM00000622	OSI科学家
CTM00000623	重命名圆顶
CTM00000624	思想体
CTM00000625	=X-17气象站=
CTM00000626	[CRLF][CRLF]X-17设施的气象科技难以理解，但可能给莫哈维的干旱提供了一种惊人的解决方案。
CTM00000627	=X-12研究中心=
CTM00000628	[CRLF][CRLF]这是圆顶旁的一处小研究中心，应该派遣一支队伍研究附近游荡的Y-17防创束身服。
CTM00000629	重命名X-12研究中心
CTM00000630	=X-2发射机天线阵列=
CTM00000631	[CRLF][CRLF]控制X-2发射机天线阵列将极大提升大山脉内的通讯情况。这座塔也可以俯瞰设施。
CTM00000632	重命名阵列
CTM00000633	=Y-17医学设施=
CTM00000634	[CRLF][CRLF]Y-17设施有很多宝贵的医学仪器。[CRLF][CRLF]我们还可以在设施内研究我们捕获的无脑人。
CTM00000635	== 投资 ==
CTM00000636	[CRLF]总投资数：[%]
CTM00000637	莫哈维投资
CTM00000638	（[%]可用）
CTM00000639	锡安投资
CTM00000640	大山脉投资
CTM00000641	== 锡安投资 ==
CTM00000642	[CRLF]锡安投资：[%]
CTM00000643	[CRLF][CRLF]目前我们可能没有足够的资源征服整个锡安国家公园，但[%]至少应该在公园内建立一些哨站。[CRLF][CRLF]在锡安投射存在的第一步就是确保废弃的护林员站。先重启公园的电台网络，然后我们就能派遣小队确保驻站。在护林员站应该能找到方法。
CTM00000644	护林员驻站
CTM00000645	[CRLF][CRLF]有了在[%]的哨站，[%]应该着手在锡安国家公园各护林员分站的电台之间建立一个通讯网络，以便将它们作为警戒塔。
CTM00000646	猛禽站
CTM00000647	护林员分站老鹰
CTM00000648	护林员分站游隼
CTM00000649	护林员分站鱼鹰
CTM00000650	[CRLF][CRLF]确保所有护林员分站后，[%]已对公园一览无余。[CRLF][CRLF]现在我们可以投资锡安公园接待处和锡安杂货店，以服务商旅。[CRLF][CRLF]发现这些地点后你就可以投资它们。
CTM00000651	锡安公园接待处
CTM00000652	杂货店
CTM00000653	=猛禽站=
CTM00000654	[CRLF][CRLF]这座位于中心的塔可以很好地观察从日光哨兵到北部支流营地的周边公园区域。
CTM00000655	=护林员分站老鹰=
CTM00000656	[CRLF][CRLF]护林员分站老鹰可以很好地观察穿过公园南部的河流。
CTM00000657	=护林员分站鱼鹰=
CTM00000658	[CRLF][CRLF]护林员分站鱼鹰就在[%]的北部，可以很好地观察北部的河弯。
CTM00000659	=护林员分站游隼=
CTM00000660	[CRLF][CRLF]护林员分站游隼可以俯瞰公园的南部入口。
CTM00000661	=护林员站=
CTM00000662	[CRLF][CRLF]公园内的这个废弃的护林员站可以作为在锡安未来的良好的行动基地。
CTM00000663	=杂货店=
CTM00000664	[CRLF][CRLF]锡安的风波已经平息，可能有更多商旅经过公园。[CRLF][CRLF]坐落在[%]南部的老杂货店可以作为商旅的补给站。
CTM00000665	=锡安峡谷接待处=
CTM00000666	[CRLF][CRLF]为了确保商人们能安全穿越锡安，[%]应该在公园的接待处建立一座小哨站。[CRLF][CRLF]还应该派遣一支小队沿着公园的主路巡逻。
CTM00000667	锡安峡谷接待处
CTM00000668	= 部署巡逻 =
CTM00000669	请确认部署巡逻。
CTM00000670	[CRLF]出发点：[%]
CTM00000671	[CRLF]中转点：[%]
CTM00000672	[CRLF]终止点：[%]
CTM00000673	确认
CTM00000674	一支小队将沿着：[%] <-> [%] <-> [%]的路线巡逻。
CTM00000675	取消巡逻
CTM00000676	= 巡逻终止点 =
CTM00000677	选择巡逻的终止点。
CTM00000678	== 莫哈维巡逻 ==
CTM00000679	现在你可以在已投资的哨站之间建立巡逻。
CTM00000680	[CRLF]选择三个地点（出发点，中转点，终止点），巡逻队将在其间往返。
CTM00000681	[CRLF]这些巡逻可以在莫哈维建立。
CTM00000682	[CRLF]建立一支巡逻队要花费1000瓶盖。
CTM00000683	[CRLF]当你投资满10个地点后，你可以建立一支额外的巡逻队，15个地点后再增加一支。
CTM00000684	侦查
CTM00000685	这个菜单列出了所有可以由[%]占领的地点。[CRLF][CRLF]你可以花费[%] [%]来解锁关于在投资地点之前要做什么的额外情报。
CTM00000686	该地点也会被标记在你的地图上。
CTM00000687	[CRLF][CRLF]你已投资的地点不会列在此处。
CTM00000688	飘零希望营地的指挥部正在着手升级游骑兵驻站的电台。如果你协助他们，我们随后可以派遣士兵前往巩固驻站。
CTM00000689	游骑兵驻站查理位于一个极具战略性的地点。如果它失陷，NCR应该准备好随时收复它。
CTM00000690	尼普顿已因其堕落而遭彻底的制裁。在军团以凯撒之名重建小镇之前，应该先放倒遗留在市政厅内的杂种狗。
CTM00000691	继续忠诚地服务凯撒，他将赐予你命名棉白杨湾的荣耀。
CTM00000692	游骑兵驻站查理欠缺驻守，陷于军团脚下是早晚的事。到那时，准备好以凯撒之名宣称它吧。
CTM00000693	如果我们打算继续袭击堕落者们，军团就该巩固这个突袭营地。
CTM00000694	吉恩跳伞俱乐部的某些白痴试图把他们找到的一个迷你核弹改造成一个简易爆炸装置。当然，现在这玩意已经启动，没人敢碰了。[CRLF][CRLF]需要有人在这颗土豆意外爆炸之前解除它。
CTM00000695	自越狱发生后，NCR惩戒所的状况惨淡。[CRLF][CRLF]在修缮之前，你应该和艾迪谈谈，看他有没有什么工作给你。
CTM00000696	乔·科布正在清泉镇完成未竟之事，协助他，清泉镇就是我们的了。[CRLF][CRLF]或者，你也可以帮助镇民赶走这个蠢蛋，随你便。
CTM00000697	我们越狱不久后，有些小子们占据了惠特克农庄。他们领头的叫营业额，最近杰特有点磕嗨了。得有人去看看他还能不能听进去话。
CTM00000698	蜥蜴一直在袭击小子们占领的一处农场。鬼知道什么原因，也许你该去调查一下。
CTM00000699	我们已经巩固了NCRCF，现在可以给监狱附近的营地输送更多补给了。
CTM00000700	大炮族不可能永远闭门自守。部族应该准备好向莫哈维打开大门。
CTM00000701	如果你能确认那个老屋的状况，我们可以建立一处哨站。[CRLF][CRLF]也许可以警告路人不要犯蠢进入我们的火力网。
CTM00000702	[CRLF]（收集情报）
CTM00000703	你没有足够的[%]！[CRLF][CRLF]收集情报需要[%] [%]！
CTM00000704	重命名菜单
CTM00000705	在这个菜单中重命名你投资的地点。
CTM00000706	重命名这个地点
CTM00000707	重命名你的飞鸟
CTM00000708	重命名你的飞鸟：
CTM00000709	重命名你的派系
CTM00000710	重命名你的派系：
CTM00000711	厨房已解锁！
CTM00000712	[%]不足！
CTM00000713	厨师
CTM00000714	购买食物和饮料
CTM00000715	点一顿饭
CTM00000716	[%]办公室
CTM00000717	[%]建筑
CTM00000718	[%]总部
CTM00000719	[%]大厅
CTM00000720	[%]卫生间
CTM00000721	[%]棚屋
CTM00000722	[%]仓库
CTM00000723	棉白杨湾已被重命名为[%]。
CTM00000724	万岁，忠于凯撒
CTM00000725	补给箱：快速旅行
CTM00000726	使用补给箱内的补给可以让你快速旅行到你已经投资的地点。
CTM00000727	选择一个目的地
CTM00000728	补给箱已空。
CTM00000729	补给箱 [[%]]
CTM00000730	你可以在此补给你需要的装备。补给后会清空补给箱，3天后会补充。你宣称的地点越多，你能从补给箱获取的补给就越多。
CTM00000731	[CRLF][CRLF]你能获得的弹药量受弹药价格的影响。[CRLF][CRLF]你能获得的医疗补给的数量是随机的。[CRLF][CRLF]用铺盖卷睡觉可以提供休息良好的增益。
CTM00000732	[CRLF][CRLF]先装备一件武器，然后才能为其补充弹药或修理。
CTM00000733	补充弹药（[%]）
CTM00000734	修理[%]
CTM00000735	拿点治疗粉
CTM00000736	拿点治疗针
CTM00000737	拿点辐特宁
CTM00000738	拿点放射线-X
CTM00000739	拿一个医疗包
CTM00000740	拿一个商队午餐和一些水
CTM00000741	用铺盖卷睡8小时
CTM00000742	快速旅行
CTM00000743	货币兑换
CTM00000744	- 瓶盖：[%]
CTM00000745	[CRLF]- NCR元：[%]
CTM00000746	[CRLF]- 军团银币：[%]
CTM00000747	将瓶盖兑换为NCR元
CTM00000748	你需要至少2瓶盖才能兑换NCR元。
CTM00000749	将瓶盖兑换为军团银币
CTM00000750	你需要至少4瓶盖才能兑换军团银币。
CTM00000751	将NCR元兑换为瓶盖
CTM00000752	将军团银币兑换为瓶盖
CTM00000753	诊所
CTM00000754	是否花费[%] [%]解锁诊所？
CTM00000755	治疗师
CTM00000756	诊所已解锁！
CTM00000757	[%] - 测试设施
CTM00000758	[%] - 学校区测试设施
CTM00000759	[%] - 居民区测试设施
CTM00000760	没有卖出废金属。
CTM00000761	卖[%]废金属换取[%]瓶盖
CTM00000762	要卖掉废金属换取[%]瓶盖吗？
CTM00000763	你没有废金属可卖。
CTM00000764	[%] - 娱乐区
CTM00000765	[%] - 生活区
CTM00000766	[%] - 维护区
CTM00000767	选择一面旗帜
CTM00000768	百搭牌
CTM00000769	维加斯
CTM00000770	内华达
CTM00000771	美利坚合众国
CTM00000772	天启追随者医生给了你一些补给。
CTM00000773	[%]矿工
CTM00000774	进入[%]
CTM00000775	一块小纪念碑，上面列出了牺牲于湖沼蟹攻击的士兵们的名字。
CTM00000776	[%]洞穴
CTM00000777	进入[%]洞穴
CTM00000778	进入[%]洞穴
CTM00000779	[%]办公室
CTM00000780	护林员分站已连接至[%]
CTM00000781	电台密码错误
CTM00000782	护林员徽章
CTM00000783	姓名：约瑟夫·K·彼得森[CRLF]徽章编号：5731-86[CRLF]驻站：猛禽
CTM00000784	姓名：凯特·J·菲尔普斯[CRLF]徽章编号：6927-05[CRLF]驻站：老鹰
CTM00000785	姓名：里昂·W·史密瑟斯[CRLF]徽章编号：3013-67[CRLF]驻站：鱼鹰
CTM00000786	姓名：玛丽·M·明诺斯[CRLF]徽章编号：7615-84[CRLF]驻站：游隼
CTM00000787	输入4位电台密码：
CTM00000788	公园电台已离线！
CTM00000789	打开门到[%]
CTM00000790	蜥蜴幼崽
CTM00000791	看起来炸药帮们不知为何抓了这只蜥蜴幼崽，这就解释了最近蜥蜴们对农场的袭击。放走幼崽可以平息袭击，杀了其实也行。
CTM00000792	释放
CTM00000793	不管
CTM00000794	你成功解除了炸弹。
CTM00000795	你的爆破技能不足以解除炸弹。
CTM00000796	简易爆炸物
CTM00000797	看来某人把这个迷你核弹转化成了简易爆炸物。[CRLF][CRLF]你可以尝试解除（爆破 50）。或者也可以引爆——最好离远点。
CTM00000798	尝试拆弹
CTM00000799	这也算一种[%]解除[%]炸弹的方式。
CTM00000800	电台已修复！
CTM00000801	你的科学技能不够。
CTM00000802	你需要电子废料！
CTM00000803	独狼业余电台
CTM00000804	这个业余电台需要替换一些部件。[CRLF]如果你有一些电子废料，就能修好它。或者，你也可以尝试重新接线。
CTM00000805	重新接线（科学55以上）
CTM00000806	使用电子废料
CTM00000807	野狗
CTM00000808	这条狗的后腿伤得很重，无人照料。[CRLF][CRLF]如果你有多余的医疗包或者足够的医疗技能，你可以治好它的腿。
CTM00000809	使用一个医疗包
