WIL00000001	Willow
WIL00000509	I'm hungry.  Oh, that's all I talk about, huh?   Food.  I guess I should talk about something else once in awhile.  But, I like food a lot.
WIL00000510	Thanks again for my present. I'm snacking on it right now.
WIL00000511	I'm going to eat the present you gave me.  Thanks again for being so sweet to me.
WIL00000512	I'm gonna have a Dog Biscuit, do you want one too?
WIL00000513	Hold up.  I'm thirsty and want a drink. I can't keep up the pace and drink at the same time.  I'll fall flat on my face.
WIL00000514	Hold up.  I'm thirsty and want a drink.  You look like you could use one too.
WIL00000515	I'm famished.  Do you think we could stop for a campfire and a proper meal?
WIL00000516	Yawn,  I sure could go for some coffee.
WIL00000517	I'm sleepy.  Are we going to stay out all night?
WIL00000518	I know you're carrying dogmeat on you. I sure hope you don't expect me to cook that for you.  Eww, or watch you eat it.
WIL00000519	Hey, if we run into any geckos I could use some meat. For cooking.
WIL00000520	I hate being stung by those stupid things. It ruins my whole day.
WIL00000521	Did you hear that?  Huh. Maybe I imagined it.
WIL00000522	Do you smell that? Ugh, it's awful!
WIL00000523	Have I told you about the time that...wait do you hear that?
WIL00000524	I'm getting soaked back here! Were you thinking maybe we'd take a break inside, somewhere? Sometime? While it's raining, maybe?
WIL00000525	I sure miss Big George sometimes. He was such a great dog.
WIL00000526	Did you see that?  I have never seen two of anything doing that before.  Wow.
WIL00000527	Ow!  Dammit!
WIL00000528	Oof.  It's hot.
WIL00000529	You know I want to learn to box, right? Well, I have 4 older brothers who used to beat me up as a kid. I'd love to pay them back when I get home.
WIL00000530	I only have brothers. Five brothers.  Four older ones and a baby brother who's five years younger than me. I always wanted a sister.
WIL00000531	Do you eat Pre-War food? I don't trust most of it, but I can't resist Fancy Lad Snack cakes, or gumdrops, or Junk Food, ooh but Salisbury Steak? Ugh.
WIL00000532	I'm sneaking up behind a gecko, right? And I'm about to break cover when suddenly a Deathclaw runs up and grabs it. I swear I peed my pants.
WIL00000533	I told you about the motel my parents own, right? My mom does most of the cooking for the guests. She's the one that taught me how to cook.
WIL00000534	One time, when I was out exploring with one of my brothers, we found some Pre-war dog toys. A couple of them still squeaked.
WIL00000535	My mom, Coleen, makes the best coffee I've ever tasted. Everybody loves it, not just me. I try to make it, but it's never as good as hers.
WIL00000536	I love to collect things. You should see my room back home. It's so stuffed with junk I can't get to my bed. My mom is always complaining about it.
WIL00000537	Have I ever told you about the time my dog, Big George, cornered a baby molerat and its mom got so mad she nearly killed us both?  I sure miss him.
WIL00000538	My oldest brother, Val, is a doctor.  He tried to teach me some doctoring, but I just couldn't get the hang of it.  He says I'm all thumbs.
WIL00000539	My brothers, Sam and Dean, once hunted down a giant Gecko that was terrorizing the Grazing Grounds in Klamath.  They got a big reward for it.
WIL00000540	So, one day this lady runs into Val's clinic yelling her head off that her baby's sick. Val unwraps the blanket and inside he finds a baby Molerat!
WIL00000541	Chuck told me that he once kicked a guy so hard in the head that his helmet flew up in to the top of a 50 foot tree and got stuck there.
WIL00000542	Someday when I have kids I want to have five or six.  I love my big family.  There's always so much going on. It's never boring.
WIL00000543	When my friend Bethie and I were little we used to go visit this old lady named, Madame Zelda.  She lived with nine molerats!
WIL00000544	Madame Zelda made potions and she would read our palms and tell our fortunes.  Her predictions came true a lot!
WIL00000545	Madame Zelda once told me that I'd travel to New Vegas and meet the love of my life there.  Interesting, huh?
WIL00000546	Did I tell you that Brian played the guitar? Because Madame Zelda once told us that Bethie would marry a guitar player.
WIL00000547	It's quiet in the Mojave.You know, some places you go it's noisy; there's more birds, plants, animals and they all make noise. I like the peace here.
WIL00000548	What is it? Do you see something?
WIL00000549	What's going on?
WIL00000550	Bring it on!
WIL00000551	I have Moira.
WIL00000552	I'm thrilled to have Moira back, but I'd still like to find Chester.
WIL00000553	I don't know where Chester is, we've followed the trail we had. Do you have any ideas?
WIL00000554	Uh, well, yeah, I do, actually.  It's kind of embarrassing. I think the guy I was traveling with might have him.  He was helping me carry my stuff.
WIL00000555	We parted ways at the Mojave Outpost.  He was the big, strong quiet type.  Great for carrying stuff, but not a lot of fun. He didn't talk much.
WIL00000556	I have an idea where we might find him.  He wouldn't say much about himself, but he did talk a little bit about where he was going.
WIL00000557	We didn't go to both places listed on the note. We can keep going if you'd like.
WIL00000558	That's a good idea. But, I've been thinking about it, and, although, this is very embarrassing to admit, I don't think I had Chester with me.
WIL00000559	I think the guy I was traveling with might have him. He was carrying some of my stuff for me. We parted ways at the Mojave Outpost.
WIL00000560	He's the big, strong quiet type. Not much fun, but great for carrying stuff. I didn't get many details out of him, but I think I know where he is.
WIL00000561	I'm sorry about Chester, but I need to get on with my business now. Maybe we can look again later.
WIL00000562	You might not be interested, but there's something I want to tell you.  I don't think I had Chester with me when I was robbed.
WIL00000563	I think I left him with the guy I'd been traveling with. I put Chester in with his stuff. It was a joke. I think I forgot him there.
WIL00000564	I feel stupid I made such a mistake and do still want to find Chester. If you ever change your mind I'll be ready.
WIL00000565	Are you suggesting we track him down to get Chester?
WIL00000566	Well, yeah, I am. If you decide you're interested, I'll tell you everything I know about where he may be.
WIL00000567	So maybe we shouldn't bother looking anymore and just find this guy?
WIL00000568	I can't swear he has Chester, but he was carrying him at one point. It was a joke and then I forgot he had him. I just can't remember for sure.
WIL00000569	You sound so uncertain.  I'll think about it.
WIL00000570	Okay, but I'm willing to talk about it again at any time.  I still want to find Chester very much.
WIL00000571	I think we should try looking at the other location and then decide what to do.
WIL00000572	Okay.
WIL00000573	Tell me about Chester.  Where is this guy you were traveling with?
WIL00000574	He wouldn't say much. Mostly when I asked him something all he'd say was,"Not your business." But, I did get a few details out of him.
WIL00000575	Apparently he has a brother, or maybe it's a friend, who's a ghoul, who came here to join some cult.  The Bright Followers or something.  Near Novac.
WIL00000576	He's going there to find the brother, or friend, to take him home again, I guess. That was all I could get out of him.  He wasn't much of a talker.
WIL00000577	[Lie] I don't have Moira.  I'm sorry.
WIL00000578	I don't believe you. I think you have her.  We will not be traveling together long if you plan on lying to me very often.
WIL00000579	Um, okay. You caught me. I do have her.  Sorry about that.
WIL00000580	You were an ass earlier and now you've lied to me. Lie to anyone else, but not me. I don't like traveling with someone I can't trust.
WIL00000581	And for now, while we are traveling together, if you wouldn't mind, I'd like to keep looking for Chester.  I've had him since I was a little girl.
WIL00000582	Please don't lie to me.  Lie to anybody else, but not me. I want to be able to trust the person I'm traveling with, okay?
WIL00000583	And I'm still very interested in looking for Chester.  Can we make time for that in our travels?  I've had him since I was a little girl.
WIL00000584	[Lie] No, really, I don't have her.  You're wrong.  I wouldn't lie to you.
WIL00000585	Alright, I'll give you the benefit of the doubt.  But if you do have her, and I find out for sure, I won't just forgive and forget.
WIL00000586	Hey! Give her back! I can't believe you took Moira from me!
WIL00000587	You're welcome, Willow.
WIL00000588	I promised I would travel with you if we found Beauty. So, should we talk about this?  Iron out some details?
WIL00000589	Talk?  What is there to talk about?  You're going to follow me around and do whatever I say, right?
WIL00000590	Um, no.  I have no intention of doing that. We definitely need to talk.
WIL00000591	Oh, your teasing me, aren't you?  That was a good one. Yeah, you got me. Right? That was a joke.
WIL00000592	Yeah, sure.  Whatever you want.
WIL00000593	Hey, I'm trying to be serious here. We should probably get some things cleared up before we hit the road.  I want us to get along.
WIL00000594	Yes, let's do this.  I'd like to be very clear about how we're going to do things.
WIL00000595	Oh, good.
WIL00000596	Is there anything in particular you want to talk about?
WIL00000597	Yes!  I can't fight with anything other than a gun. I'm lousy at anything else.  Okay, I can fight with my fists if I'm cornered... by a radroach.
WIL00000598	I'd love to learn more, and would be willing to study, but for now I'm pretty useless. I just wanted to be really clear about that.
WIL00000599	So, don't expect me to fight with anything other than a gun. Okay?  I won't do it.  Not with my skills the way they are now.
WIL00000600	Okay.  What if we trained you somehow?  Is that possible?
WIL00000601	Yeah, I read books and magazines about Boxing to learn what I can. But, they're hard to find.  I've only ever found a couple.
WIL00000602	But if I can read enough of them I figure eventually I'll get good enough to be able to use better weapons and kick some ass in a fight.
WIL00000603	Oh! Oh, oh, oh!  You know what would be even better?  If we found someone to train me! Are you any good with your fists?
WIL00000604	No problem.  I don't really care.  I prefer guns myself.
WIL00000605	Oh, I'm glad you don't mind.
WIL00000606	I read books and magazines about Boxing to learn what I can. But, they're hard to find.  I've only ever found a couple.
WIL00000607	But if I can read enough of them I figure eventually I'll get good enough to be able to use better weapons and kick some ass in a fight.
WIL00000608	Oh! Oh, oh, oh!  You know what would be even better?  If we found someone to train me! Are you any good with your fists?
WIL00000609	I'm not happy about this, Willow. What else won't you do?
WIL00000610	Hmm, what seems like the best plan? I could fight with my fists if you asked me to, probably getting really hurt in the process and doing you no good
WIL00000611	or since I'm a great shot, I can use a gun, and effectively protect myself and you. It seems silly for me to use anything but a gun right now.
WIL00000612	But, if you only travel with people who can use a knife or their fists then, yeah, I'm not your girl. Unless you're willing to train me up.
WIL00000613	Train you?  How would I do that?
WIL00000614	Just give me any books or magazines you find about boxing I'll read them.
WIL00000615	Eventually I figure I'll learn enough to use better weapons and be able to hold my own in a fight.
WIL00000616	Oh! Oh, oh, oh!  You know what would be even better?  If we found someone to train me! Are you any good with your fists?
WIL00000617	No, I don't want to worry about training.
WIL00000618	Fine, forget I said anything about it. But I won't fight with anything but a gun.
WIL00000619	I've found Beauty.
WIL00000620	Thank you!
WIL00000621	I have Chester.
WIL00000622	Thank you for helping me.  It means the world to me that you took the time to do this.
WIL00000623	Did you find Moira or Chester?
WIL00000624	I have something to tell you. I will ask you to carry items I don't want you to use or touch.
WIL00000625	Well, that's no fun, I can look at them can't I? Alright,  I'm willing to do that.
WIL00000626	Do you have anything else?
WIL00000627	I have something for you.  It's a radio.  My dad got them for me.  One for me and one for whoever I was traveling with.
WIL00000628	He was worried about me going out on my own and thought this might make me that much safer.
WIL00000629	They're broken now and can only receive messages, but since you have that computer with you we'll be able to use them.
WIL00000630	You'll be able to talk to me because of it. I met someone else with one of those and it worked great.
WIL00000631	Alright, if that's everything I guess we should consider ourselves partners on the road for awhile.
WIL00000632	I can't think of anything else, let's go.
WIL00000633	Forget it. I don't want you back that much.
WIL00000634	Yeah, I figured as much.
WIL00000635	Yes, let's go.
WIL00000636	No.  I'm not coming back with you.  You sent me away and said you didn't want to be with me any more.
WIL00000637	So, if you want me back you're going to have to do something to prove to me you want me back.
WIL00000638	No, sorry I can't train you.  I don't have the skills.
WIL00000639	Oh.  Well, maybe we'll find someone else who can.
WIL00000640	Yes, I do have the skills.
WIL00000641	Oh, that's great news!
WIL00000642	I found Beauty and you helped me so much! Thank you.
WIL00000643	Is there something else?
WIL00000644	I forgot to ask.  What's your name?
WIL00000645	Let's go.
WIL00000646	No. I'm good. Thanks.
WIL00000647	I'm done.  Do you have anything to talk about?
WIL00000648	Yeah, let's go.
WIL00000649	Alright. Let's go.
WIL00000650	Yeah, let's go.
WIL00000651	I'm ready. Let's go.
WIL00000652	Let's hit the road.
WIL00000653	Whatever you say, boss.
WIL00000654	Alright. See ya later.
WIL00000655	Bye!
WIL00000656	Can I talk to you about something for a minute...
WIL00000657	Sure.
WIL00000658	I'm done. Is there anything you want to talk to me about?
WIL00000659	No.  I'm good.  Thanks.
WIL00000660	Are you still interested in me giving you some hand-to-hand combat training?
WIL00000661	Yes! Can we do it now?
WIL00000662	Let's do that training now.  Are you ready?
WIL00000663	Yes! Absolutely!
WIL00000664	Sorry, we'll have to do it later.
WIL00000665	Oh, alright. But don't forget.
WIL00000666	Okay, sure, we can do it now.
WIL00000667	Great.
WIL00000668	Yes, Willow?  You want to talk about Unarmed training?
WIL00000669	You know how you've been helping me learn to fight better with my fists?  Well, I think I'm good enough to do it for real now.
WIL00000670	And look what I've been saving to use someday.  So, I can fight now, any time with them.  Pretty exciting, huh?
WIL00000671	I have a boxing magazine. Do you want to read it?
WIL00000672	Yes, I do.  Thank you.
WIL00000673	I found a book about boxing. Do you want to read it?
WIL00000674	Yes, I do.  Thank you.
WIL00000675	Give me what you've stolen from Willow and I'll let you walk away from here.
WIL00000676	Get lost!
WIL00000677	Stopping to talk to me was a big mistake...it makes you a better target.
WIL00000678	Come on!
WIL00000679	It's the guys who took my stuff!
WIL00000680	I might have. What did they look like?
WIL00000681	I don't know.  They looked like regular guys. There were two of them. One had very bright red hair and the other one was wearing some kind of helmet.
WIL00000682	Are you alright?  Did they hurt you?
WIL00000683	I think we should stop traveling together.
WIL00000684	Seriously?  You want to stop traveling with me?
WIL00000685	Oh, no, that sounds very final, doesn't it. Forget I said anything. Stay with me.
WIL00000686	Okay, I will. Are you messing with me?
WIL00000687	Yes, I want you to leave. It's not you. It's me. I need my space.
WIL00000688	Fine. I'll go find someone else to travel with..are you sure this is what you want?
WIL00000689	Fine. I'll go find somebody else to travel with..I don't need you.  Are you sure this is what you really want?
WIL00000690	Yes, I want you to leave. It's not you. It's me. I need my space.
WIL00000691	Would you please go back to the Suite at the Lucky 38 and wait for me there?
WIL00000692	Without you?  Alright, but it won't be any fun. I don't like it there.
WIL00000693	Give me what you've stolen from Willow and I'll let you walk away from here.
WIL00000694	Nevermind.
WIL00000695	Oh, okay.
WIL00000696	Oh!  Do you see that giant, uh, gecko, whatever that is, over there?  Can we go see that? I bet you can go inside.
WIL00000697	Here you go, it's a Sunset Sarsaparilla mug.  Do you like it?
WIL00000698	Thank you so much.  It's so special. I love it!
WIL00000699	Would you mind keeping watch here for awhile?
WIL00000700	Yeah, I can do that. No problem.
WIL00000701	I've heard about the ghouls outside of Novac.  I know where they are.
WIL00000702	You have?  That's great.  Can we go there?
WIL00000703	The Bright Followers aren't there any more.  Well, most of them that I know about anyway.
WIL00000704	I don't think that matters.  It doesn't mean that he hasn't gone there looking for his friend.
WIL00000705	Let's go find your friend. What's his name?
WIL00000706	His name.  Yeah, well, I just call him The Big Guy.  He never told me his name in all the time we were together. Weird, isn't it?
WIL00000707	So, I guess you'll need his description. He's very tall, and he wears a cowboy hat with a feather.  Oh, and he's a ghoul.
WIL00000708	Thanks for filling me in.  We'll check it out if I get the time to do it.
WIL00000709	Oh, alright.  I hope there's something to find when we finally get there.
WIL00000710	Yes.  We can go there and look for Chester.
WIL00000711	We can? Right now? Well, let's go.
WIL00000712	Oh, and you'll want to know who you're looking for, right?  He's a big, tall ghoul and he always wears a cowboy hat with a feather in it.
WIL00000713	I don't know his name, if you can believe it.  I just called him The Big Guy the whole time we were together. He has a dog with him named J.T.
WIL00000714	Eventually.  We'll get there when we get there.
WIL00000715	Okay, I understand.  I'll try to be patient.
WIL00000716	I agree.  I think we should go there now.
WIL00000717	Great.  Let's go.
WIL00000718	Oh, and you'll want to know who you're looking for, right?  He's a big, tall ghoul and he always wears a cowboy hat with a feather in it.
WIL00000719	I don't know his name, if you can believe it.  I just called him The Big Guy the whole time we were together. He has a dog with him named J.T.
WIL00000720	It's true.  But he's probably left by now.  There's no need for us to rush to get there.
WIL00000721	Fine.  I sure hope there's some trace of him when we finally get there.
WIL00000722	I'm no threat.  I'm not feral.
WIL00000723	Yes, I can see that.
WIL00000724	Why are you here?
WIL00000725	Great. Can you answer some questions for me?  Wow, you have unusual hair for a ghoul.
WIL00000726	I take great care of my appearance. I was a performer on The Strip for quite a long time before I came her to be with Jason and the Followers.
WIL00000727	Back then, my looks kept me employed...and busy...and near the bright lights and interesting people...but I shouldn't go on about that.
WIL00000728	I'll just say, thank you, as a lady should.  I really think it's my best asset after my smile.  Don't you agree?
WIL00000729	Oh, yes, absolutely.  I'm looking for someone.  Have you seen a tall ghoul in a cowboy hat?
WIL00000730	<laughs nervously>  Have you seen a tall ghoul in a cowboy hat?
WIL00000731	I'd say your hair is your best asset, since you're asking. I don't see the charm in rotting teeth.
WIL00000732	Well, your manners aren't the best, but you're honest.  What can I do for you?
WIL00000733	You mean Jefferson isn't here?
WIL00000734	I told him that Jefferson had gone out into the Mojave, as other Followers have done before him, but that he had never returned.
WIL00000735	We assumed he had died.
WIL00000736	Do you know why he keeps coming back everyday if Jefferson is dead?
WIL00000737	No, I don't know why he keeps coming back.  But, I like seeing him so I haven't tried to make him stop.
WIL00000738	When do you expect him today?
WIL00000739	I really don't know. Some days I don't see him until three or four in the afternoon.
WIL00000740	I do know he stays out at that camp by the gate.  There's a bed. He sleeps there.
WIL00000741	Ok, thanks.  Why are you here?  Why didn't you go off in the rockets with Jason and the others?
WIL00000742	I missed the launch.  I was away in the Wasteland and I don't know, really, what to do with myself...now.
WIL00000743	I'd like to go with him.
WIL00000744	But I don't know if he'll take me.  I haven't the courage to ask him.
WIL00000745	Ok, thanks. What is this place?  Why are you here?
WIL00000746	This is the home of the Bright Followers.  Jason Bright is the leader.
WIL00000747	I'm tired of Jason, and this place, and the Followers and would love to run away with him.
WIL00000748	But, I don't know if he'll take me I haven't the courage to ask him.
WIL00000749	Ok, thanks.  Bye.
WIL00000750	See ya later.
WIL00000751	I'm looking for someone.  Have you seen a tall ghoul in a cowboy hat?
WIL00000752	Yes, he comes by everyday to see me.  Well, not me, he's looking for that Jefferson fellow.
WIL00000753	But I like to think he's looking for me. I have such a crush on him. He's so big and tall and handsome.
WIL00000754	I'm looking for someone.  Have you seen a tall ghoul in a cowboy hat?
WIL00000755	Would you like me to talk to him for you? I can ask him to take you with him when he leaves.
WIL00000756	Yes, that would be wonderful.
WIL00000757	Thanks for your help. Goodbye.
WIL00000758	See ya later.
WIL00000759	Oh, what's your name?  I'll be sure to ask him when I speak to him.
WIL00000760	It's Jessica, and thank you for helping me.
WIL00000761	Goodbye.
WIL00000762	See ya later.
WIL00000763	Thank you so very much. I must get ready to go now.
WIL00000764	Ok, thanks. Why are you hanging around out here?
WIL00000765	I'm tired of Jason, and this place, and the Followers and would love to run away with him.
WIL00000766	But, I don't know if he'll take me I haven't the courage to ask him.
WIL00000767	Good dog!
WIL00000768	Bark, bark!
WIL00000769	You're a good looking fella, aren’t you?
WIL00000770	Pant, pant.
WIL00000771	Wish I had a dog biscuit for you, buddy.
WIL00000772	Pant, pant, pant.
WIL00000773	Whine!
WIL00000774	Would you like a dog biscuit, boy?
WIL00000775	Stupid mutt, you don't know what I'm saying, do you?
WIL00000776	growl...
WIL00000777	Good morning.
WIL00000778	Oh, there's nothing better than a good night's sleep in a comfortable bed.
WIL00000779	I could use some coffee.
WIL00000780	Do you have it?  Will you give it to me?
WIL00000781	Sure.
WIL00000782	You know that girl, Jessica, the Bright Follower? The one that waits to see you everyday?
WIL00000783	Sure.
WIL00000784	She's madly in love with you and wants to run away with you.
WIL00000785	Yeah, I know.
WIL00000786	You might want to consider asking her to go away with you.  I think she likes you.
WIL00000787	I suppose.
WIL00000788	She does! And she's so pretty. She's got that great smile and that hair! You should go for it.
WIL00000789	You're right. I should.
WIL00000790	So are you going to take her with you when you go?
WIL00000791	Yeah.
WIL00000792	I hear you're looking for a man named Jefferson.
WIL00000793	Yeah.
WIL00000794	But it's pretty certain he's dead, right?  So you must have a pretty good reason for staying here.
WIL00000795	Willow told me you wouldn't say much.  She was right.
WIL00000796	But, he's dead.  You're wasting your time. Are you going to keep standing here hoping he'll show up?
WIL00000797	Yeah, I am.  What of it?
WIL00000798	I saw the note. You must be desperate for the money to keep hanging around like this.
WIL00000799	Yeah.
WIL00000800	No, I wasn't wondering that. He would have been asking about ghoul activity in the area.
WIL00000801	Oh, that.  Lately there's been talk of ghouls just a bit west of Novac up in the mountains.
WIL00000802	Has a tall ghoul in a cowboy hat been in here asking questions?
WIL00000803	Sure, but he didn't buy any souvenirs if that's what you're wondering.
WIL00000804	Did a big, tall ghoul in a cowboy hat come in asking about the ghouls up at REPCONN?
WIL00000805	Sure.
WIL00000806	Did a ghoul in a cowboy hat with a feather come and ask you some questions?
WIL00000807	Who sent you? I ain't talking. They tried to get me to talk before, but I didn't say nothing, and don't aim to now, by gum.
WIL00000808	I know I shouldn't scavenge here, but I'm not promising anything.  If I see something good I might have to sneak it out with me.
WIL00000809	*sings with no words*
WIL00000810	Hi, J.T. How ya doing, ya good dog?
WIL00000811	Pant, pant, pant
WIL00000812	Bark, bark!
WIL00000813	Alright.
WIL00000814	[Lie] She says the Bright Followers want you to leave here.  Now.
WIL00000815	I see.
WIL00000816	Leave.  It would be the best thing for everyone involved.
WIL00000817	Are you kidding me?
WIL00000818	They don't want you here. She doesn't want you here.
WIL00000819	I see.
WIL00000820	What is with you? Just give it up already. Jefferson's dead.
WIL00000821	You're probably right.
WIL00000822	Are you telling me you won't go? She's asked me to take care of you if you won't agree to leave.
WIL00000823	I won't.
WIL00000824	I think it's time for me to do something about you since you are being so uncooperative.
WIL00000825	Eat this.
WIL00000826	I'll give you some time to think about it.
WIL00000827	Sure.
WIL00000828	I know about the reward for taking him back, but he's dead. You're never going to see that money.
WIL00000829	Sure.
WIL00000830	You've given it your best shot. You've done everything you could. You should just leave now.
WIL00000831	You're right.  I should.
WIL00000832	I've talked to him.
WIL00000833	And?
WIL00000834	He's dead.
WIL00000835	You killed him?  Well, fuck you!
WIL00000836	He says he'll take you with him when he leaves.  Great news, huh?
WIL00000837	Thank you.
WIL00000838	Here, please, take this.  It's not much, but it's all I have.  I'd like to give it to you as a thank you for what you've done.
WIL00000839	Where are you two headed?
WIL00000840	We're headed back out to where he came from; some place in the NCR.  I hope everything turns out okay.
WIL00000841	I tried to talk him into going back to New Vegas with me or maybe settling down in the Mojave somewhere but he wasn't interested so off we go.
WIL00000842	On your bedroll.
WIL00000843	Okay.
WIL00000844	Hey.
WIL00000845	I didn't think we'd ever find you.  Do you still have Chester, my teddy bear?
WIL00000846	Yeah.
WIL00000847	That's quite an outfit you're wearing. Does that offer you much protection on the road?
WIL00000848	It's all I had when I left the Bright Followers.  It's one of the outfits I used to wear when I performed on The Strip.
WIL00000849	Besides, he likes the way I look in it and I've got him to keep me safe. What more does a girl need?
WIL00000850	What are you doing here?
WIL00000851	We're hanging out here for a little while before we move on.
WIL00000852	[Lie] He doesn't want anything to do with you. I tried to get him to change his mind. Sorry.
WIL00000853	Thanks for trying...can you leave me alone now? Just go away.
WIL00000854	Go back to sleep. Sorry I woke you up.
WIL00000855	<yawn> No problem.  See you in the morning.
WIL00000856	Come on, sleepyhead, let's go.
WIL00000857	<yawn>  I'm coming.
WIL00000858	Great!
WIL00000859	Oh, if you ever want to borrow Beauty from me, feel free, because I can use these.
WIL00000860	And, I've been thinking about it, you know, now that I'm trained to fight up close, I think I could handle a knife or a something like that.
WIL00000861	You bastards.
WIL00000862	I want a rocket souvenir too! For my collection!
WIL00000863	Can I borrow Beauty for a while, Willow?
WIL00000864	Yes, of course. Take good care of her.
WIL00000865	I would!  Thank you.
WIL00000866	Do you want Beauty back?  I'm done with her.
WIL00000867	Remember you promised to travel with me whether we found Beauty or not?
WIL00000868	I am traveling with you.
WIL00000869	I want to talk to you, again, about traveling with me, properly, without Beauty.
WIL00000870	I thought we covered this?  I am traveling with you.  What more is there to say.
WIL00000871	You still don't have Beauty and nothing's changed between us. We need to solve this.
WIL00000872	Fine. Let's solve it.
WIL00000873	No, I mean, really travel with me.  Working with me cooperatively and everything...
WIL00000874	I'm not being cooperative?
WIL00000875	You could be more cooperative. You promised you would be even if we didn't find your rifle.
WIL00000876	Are you even trying to find Beauty for me or did you just think since I agreed to come either way you wouldn't even try?
WIL00000877	I did say that, it's true.  But we haven't been looking all that long.  We can talk about this again soon.
WIL00000878	You could be more cooperative. You promised to work closely with me if we didn't find your rifle.
WIL00000879	Yes. You're fine. I just want you to know I'm looking forward to when that happens.
WIL00000880	To when what happens?
WIL00000881	To when we find Beauty and everything works really well between us.
WIL00000882	Oh, okay. Thanks.
WIL00000883	I know you don't have Beauty yet, but I'm not happy with our situation. I want more from you, now.
WIL00000884	I'm not ready to give up looking for Beauty. I think if you get what you want we won't look for her anymore. So, no. I won't.
WIL00000885	You promised me. It bothers me that you are breaking that promise.
WIL00000886	I'm sorry, but I have my reasons for acting this way. Just give me more time, okay?
WIL00000887	Can't we make this work for both of us?
WIL00000888	No, probably not.  Not unless you have Beauty behind your back and you're just playing games with me for some reason.
WIL00000889	So you have no intention of fulfilling your promise?
WIL00000890	I didn't say that. I just want to keep looking for a while longer before I commit myself to anything, that's all.
WIL00000891	I just want you to know that I understand why you are holding back right now.
WIL00000892	You do?
WIL00000893	Sure. You think if you give it all up right away I won't look for Beauty.  So, don't worry.
WIL00000894	Thanks.
WIL00000895	Something has to change. I'm very unhappy with this arrangement.
WIL00000896	I want to find Beauty, and, I want to find her more than I care about breaking my promise to you. Sorry.
WIL00000897	I'm not going to change the way things are without my rifle.  You can say what you like about me and my integrity.
WIL00000898	Okay, okay. We'll go find Beauty.
WIL00000899	We will?  You mean it? I didn't mean to lie when you first found me. I really meant what I said.
WIL00000900	I'm sorry if I've been terrible to you.
WIL00000901	Liar. I'm done with you. Go back to the Mojave Outpost and find somebody else to travel with.
WIL00000902	Fine. I will.
WIL00000903	Are you happy with the way things are between us?
WIL00000904	No, I'm not happy.  But I'm more unhappy that I don't have Beauty.
WIL00000905	You've mentioned that you have a collection. What do you collect?
WIL00000906	When I scavenge for stuff to sell I look for special little things that I might like to keep.  I have a collection of those things.
WIL00000907	I haven't shown them to you because, well, a girl likes to have some privacy, and besides, not everyone I've traveled with has understood.
WIL00000908	Can I ask you some personal questions?
WIL00000909	Sure, I don't mind.
WIL00000910	Why were you alone when I found you?
WIL00000911	I hadn't been in the Mojave long. I'd arrived at the Mojave Outpost a few days before and had already split up with my last travel companion.
WIL00000912	I tried to find a new companion but couldn't, so I packed up and headed out. It was very unlucky that I got into trouble.
WIL00000913	I've been on the road for almost two years now and that was about as bad as it's ever gotten for me.
WIL00000914	Although, I did lose my dog, Big George, on the trip. He was killed by geckos. That was my worst day.
WIL00000915	What got you interested in traveling?
WIL00000916	I grew up in Oregon. My family runs a motel that lots of caravans and sometimes travelers come through.
WIL00000917	So, I spent my childhood listening to stories of life on the road. I can't remember a time when I didn't want to leave and live out those stories.
WIL00000918	Are you from the Mojave?  Will you be able to fill me in on details as we travel around or are you a newcomer like me?
WIL00000919	How do you support yourself on the road?
WIL00000920	I learned a lot about trading and bargaining from the caravans and traders that stayed with us while I was growing up.
WIL00000921	I scavenge things of value as I go and when I meet someone to trade with I bargain for the best prices I can get. I do pretty well that way.
WIL00000922	What haven't they understood?
WIL00000923	That it's fun to find pretty or interesting things and keep them and a couple of the people I've traveled with have made fun of me for it.
WIL00000924	I don't collect anything, but why would I make fun of you for doing it?
WIL00000925	You don't keep anything? You don't even keep things like the glasses your favorite grandmother wore?
WIL00000926	Or maybe the outfit you wore during a significant event, or a cigarette lighter that somebody gave you?  Nothing?
WIL00000927	I like to collect things too.
WIL00000928	I'm so excited you collect stuff too. What's your favorite thing to collect?
WIL00000929	No, I just pick up stuff to sell.
WIL00000930	Hmm. Interesting.
WIL00000931	You have a collection of junk that you haul around with you?  What's the point?
WIL00000932	Great. Forget I said anything.
WIL00000933	Armor and weapons.
WIL00000934	I have some good stuff at home.  I don't pick those up on the road. They weigh too much.
WIL00000935	Teddy Bears and Toys.
WIL00000936	Oh, so you collect toys like I do.
WIL00000937	Miscellaneous Items.  You know, your basic junk.
WIL00000938	Junk?  I love junk. I have a spork in my collection and I love coffee mugs. I have to keep myself from picking them up.
WIL00000939	Things I think are special. If an item catches my eye and it interests me I'll keep it.
WIL00000940	Those are my favorites too.
WIL00000941	Now that you've asked me to pick I favorite I can't. I think I like to collect everything.
WIL00000942	That's funny. It must be hard for you to not get overloaded most of the time.
WIL00000943	Willow, now that we're friends, are you willing to change your clothes?
WIL00000944	What's wrong with what I'm wearing?
WIL00000945	Here's a Nuka-Cola for you.
WIL00000946	Thank you.
WIL00000947	No, I didn't get one.
WIL00000948	Okay, maybe next time.
WIL00000949	Can I see your collection again?
WIL00000950	Sure.
WIL00000951	I don't like the legion sitting here in Nelson.  It's too close to Novac.
WIL00000952	With the legion out of here, Novac should be safer, right?
