DLC20000001	GREETING
DLC20000666	There's also the matter of the roads. We're going to be heading out of the east side of the park, but I'm not sure the way is clear.
DLC20000667	What? I don't know what "visions of truth" means.
DLC20000668	Take drugs! Kill a bear!
DLC20000669	Seek medicine plant! Return with Sacred Datura Root! Receive visions of truth, they guide you!
DLC20000670	Umm... Goodbye.
DLC20000671	Not yet. I had some questions first.
DLC20000672	It's done.
DLC20000673	Then visions of truth are at an end. Will you learn from truth? Maybe yes. Maybe no. Only for you to decide.
DLC20000674	Here, take. Gift, to remind you of visions. Use well. Or sell to curio trader. Either way, says much about you.
DLC20000675	Not yet. I need a moment.
DLC20000676	Tea will wait. Me? Maybe not.
DLC20000677	All right, let's do this.
DLC20000678	Drink. Tea is strong. Tea is bitter. Wisdom is strong. Wisdom is bitter. You see?
DLC20000679	Not yet. I had some questions first.
DLC20000680	I have the sacred datura here.
DLC20000681	These roots make sacred vision tea. You drink, you see path before you. Ready?
DLC20000682	I'm ready to go to Zion.
DLC20000683	Just like that, huh? You got guts, I'll give you that. You sure you want to jump in blind? Ain't got no questions about where we're going or why?
DLC20000684	Okay, let's do it! Zion here we come!
DLC20000685	I bet you are, but we only got room for one more on this expedition. You'll have to leave your friends behind.
DLC20000686	We're all ready to get going.
DLC20000687	I bet you are, but we only got room for one more on this expedition. You'll have to leave your friend behind.
DLC20000688	We're both set. Let's go.
DLC20000689	I bet you are, but you ain't going nowhere loaded down like a pack brahmin.
DLC20000690	I bet you are, but you ain't going nowhere loaded down like a pack brahmin.
DLC20000691	Are you now? You know we ain't coming back this way for a good long while now, right? And you know about the weight limit?
DLC20000692	I don't want no whining about "Oh, Mr. Masterson, I left my one-of-a-kind plasma cannon back at base, can we go back for it?"
DLC20000693	You sure you're ready now?
DLC20000694	All right, let's go. I'm ready.
DLC20000695	You sure about that this time? We ain't coming back for a while.
DLC20000696	No, not yet.
DLC20000697	Hurry! There isn't any time to waste! We have to get out of here and collapse the tunnel behind us!
DLC20000698	Yes, go!
DLC20000699	You've done more than I could have ever hoped for. Thank you. And may God protect you for all of your days. Goodbye.
DLC20000700	You let them die! They needed you! Why didn't you help them?!
DLC20000701	Nevermind. I don't have time for this. Take the map. Just take it and go!
DLC20000702	Your power is broken. You cannot hope to prevail here. Leave this valley in peace.
DLC20000703	We leave, but always fight, White Legs! We strong warriors for Caesar!
DLC20000704	Time to die, General Gobbledegook!
DLC20000705	You mock White Legs! You die now!
DLC20000706	Wait! There's no reason this has to end in bloodshed!
DLC20000707	[SUCCEEDED] You speak. I listen. Kill you, maybe I not. Maybe.
DLC20000708	[FAILED] Weak words you talk! Now you see strong spears better than weak words!
DLC20000709	Can't we just, you know, be friends?
DLC20000710	That's all. Let's get going.
DLC20000711	Enough about tactics. Let's talk about something else.
DLC20000712	You're good. Let's get going.
DLC20000713	Your distance is good. Let's talk about something else.
DLC20000714	Spread out and keep your distance from me.
DLC20000715	Stay close to me.
DLC20000716	Let's talk about how close you're following me.
DLC20000717	Wait here.
DLC20000718	I want to trade equipment.
DLC20000719	I want you to use ranged weapons.
DLC20000720	I don't want you to attack enemies unless I've already engaged them.
DLC20000721	Switch to a melee weapon.
DLC20000722	That's all. Let's get going.
DLC20000723	Lead on, I'll follow.
DLC20000724	I will try to follow your example.
DLC20000725	That's it for your tactics. Let's talk about something else.
DLC20000726	I want you to attack enemies the moment you see them.
DLC20000727	I want you to change your combat style.
DLC20000728	Let's talk about your tactics.
DLC20000729	Let's go.
DLC20000730	I want you to travel with me.
DLC20000731	Yes, I'm sure.
DLC20000732	No, I've changed my mind.
DLC20000733	Go back to your people's camp.
DLC20000734	[SUCCEEDED] Hmm... all right, I reckon you know your limits.
DLC20000735	You keel over on me out there, though, and I'll leave your ass. After we take everything useful you crammed in your pack.
DLC20000736	Relax, I've humped this load across the Mojave on my own two feet long enough. I can handle it.
DLC20000737	[FAILED] That's exactly what I'm worried about. We got us some passes tighter than a virgin on her wedding night up there.
DLC20000738	Last thing I need is some greenhorn getting stuck on a rock, slowing the whole caravan down.
DLC20000739	Hey, man, I'm cool. I got a big backpack and everything!
DLC20000740	[FAILED] That's exactly what I'm worried about. We got us some passes tighter than a-  well, tighter than a Chairman's fist up there.
DLC20000741	You get stuck in there, you'll slow the whole caravan down while we pry you loose. Begging your pardon, ma'am.
DLC20000742	Hey, man, I'm cool. I got a big backpack and everything!
DLC20000743	Why the weight limit?
DLC20000744	You ain't never been to Zion, have you? We'll be passing through a whole mess of narrow slot canyons and high, rough passes.
DLC20000745	A big pack'll get you wedged in like a Super Mutant crawling through a storm drain, and too much weight will kill you in the thin air.
DLC20000746	Actually, let me take care of some more things first.
DLC20000747	Fair enough. Come on back when you're ready.
DLC20000748	Yes, I'm sure.
DLC20000749	Well, all right then. Let's get moving. We've got a long road ahead of us...
DLC20000750	Hang on - ain't you the one that wiped out the Crimson Caravan's Vegas branch not too long ago?
DLC20000751	Ought to thank you for that - knocking McLafferty out of the running gives Happy Trails a market to expand into.
DLC20000752	Wait a minute, I recognize you. Yeah... you're Alice McLafferty's rising star, ain't you?
DLC20000753	You sure you want to be here? McLafferty's non-competes are pretty rigid.
DLC20000754	Damn good thing you came along, too. We had another prospect with a Pip-Boy, but he done skedaddled. Something must've spooked the boy.
DLC20000755	Why are you called Follows-Chalk?
DLC20000756	Our advance scouts leave chalk signs to mark places rich with game. I'm not a full scout yet, so I follow the marks and guide the hunters.
DLC20000757	I don't have any more questions. Let's talk about something else.
DLC20000758	Ask away.
DLC20000759	I want to know more about you.
DLC20000760	What can I tell you?
DLC20000761	I had some other questions.
DLC20000762	Shoot.
DLC20000763	Warlords? How dangerous are they?
DLC20000764	Dangerous enough we won't be going near them if we can help it. I got no desire for my head to decorate some little gas station fort's walls, thanks.
DLC20000765	Degenerate tribes?
DLC20000766	That's right. The folks that lived in Zion before the war, they didn't just get a little savage, they're downright feral.
DLC20000767	Most of them don't even speak English any more - you got to get yourself a New Canaanite translator to talk to them.
DLC20000768	The ones you really got to watch out for are the White Legs, from the Great Salt Lake. They'll attack just about anyone that ain't one of theirs.
DLC20000769	Tell me about the raiders.
DLC20000770	They're about what you'd expect - crazy, jacked up on chems, violent as hell, and not too bright.
DLC20000771	The worst are the 80s, but we won't be passing through their turf on this run.
DLC20000772	You don't know what happened to their mission?
DLC20000773	Nope - hence this caravan. If we don't make contact with the New Canaanites, Happy Trails might as well just shrivel up and die.
DLC20000774	Do you know anything about their religion?
DLC20000775	I ain't a prayin' man myself. They paid for their goods and dealt square with us, that's all I ever cared about.
DLC20000776	But don't think that just because they're religious that they're pacifists. They take care of their own, and they're damn fine marksmen too.
DLC20000777	[SUCCEEDED] You ain't wrong. Losing the Salt Lake City run really stung us. If we can't re-establish contact with this run, we'll be in real trouble.
DLC20000778	It sounds like Happy Trails isn't in the best financial shape.
DLC20000779	[FAILED] We do all right, don't you worry about us. Got enough in the kitty to pay you, anyways.
DLC20000780	So, you guys are totally rich, right?
DLC20000781	Why can't you get to Salt Lake City?
DLC20000782	Without New Canaan's mission in Zion, the only ways to Salt Lake City are down the old I-80 or up through Ogden.
DLC20000783	The highway's too risky - NCR's rangers are so busy here in the Mojave they don't have the manpower to keep the raiders off.
DLC20000784	Ogden's just too far - we'd lose more in travel expenses than we'd ever earn.
DLC20000785	All right, I'll come back when I'm carrying less than 75 pounds.
DLC20000786	There's a chest over yonder, you can store your extra in that. It'll be safe as can be until you get back.
DLC20000787	There's a chest over yonder, you can store your extra in that. It'll be safe as can be until you get back.
DLC20000788	All right, I'll come back when I'm carrying less than 100 pounds.
DLC20000789	Who is Joshua Graham, and why shouldn't I talk about him?
DLC20000790	Just don't. It makes the New Canaanites powerful uncomfortable, and it scares the britches off the tribals.
DLC20000791	Don't talk about the Burned Man either, while you're at it. Trust me on this one, it's for your own good.
DLC20000792	Tell me more about the job.
DLC20000793	The job is simple - help us get this caravan into Zion and find New Canaan. The pay is 25 caps per day, half up front, half on return.
DLC20000794	You'll get a bonus if we make it into Zion, plus another bonus if we reach New Canaan.
DLC20000795	Oh, one more thing - don't mention the name Joshua Graham to anyone. Anyone.
DLC20000796	How about a game of Caravan to kill some time?
DLC20000797	Should have figured you for a player. All right, let's play.
DLC20000798	Another one, huh? Sure, why not?
DLC20000799	How about another game of Caravan?
DLC20000800	I haven't been through Utah recently - what's the situation like?
DLC20000801	Well, it ain't good, I'll tell you that. It's not like the Mojave or the NCR - hell, even Arizona under Caesar is safer.
DLC20000802	You got raiders all over the damn place, tribes of degenerates that'll eat you as soon as look at you, regional warlords... the works.
DLC20000803	Not too many decent places to stop and trade. New Canaan's one of the only ones left I know about.
DLC20000804	I understand this caravan is headed to Zion. What can you tell me about the area?
DLC20000805	Well, I ain't never been inside, myself. Did some trading with the New Canaanites from their mission there, but that was all on the outskirts.
DLC20000806	All the old ways in and out were destroyed after the War, but we got ourselves the location of a pass the New Canaanites use - that's our way in.
DLC20000807	That's why I wanted someone with a Pip-Boy on the caravan - the map'll be helpful for checking the topography, keeping us on the trail.
DLC20000808	What can you tell me about New Canaan?
DLC20000809	Don't know much about the place, but I can tell you about the people. The New Canaanites were some kind of religious group from before the War.
DLC20000810	They control the old city of Ogden, a ways north of Zion, and they got themselves a nice defensible mission in the canyon itself - or they did.
DLC20000811	They trade a fair bit with the tribes in Zion - well, the ones that don't try and kill them, anyways.
DLC20000812	Tell me about Happy Trails Caravan Company.
DLC20000813	We're a smaller company out of Sac-Town, up in the northern part of the NCR. We run some business through New Reno, there on the "Little Loop."
DLC20000814	Had a nice run to Salt Lake City, too - but then we lost contact with New Canaan, and that went all to hell.
DLC20000815	Heh. All right, I'll believe you - Lord knows I ain't going to pat you down to find out for myself.
DLC20000816	Don't worry about me. I'm used to finding out-of-the-way places to stuff my gear.
DLC20000817	Heh. I do believe you could.
DLC20000818	Not only could I carry my own gear, I could carry yours, his, and one of your brahmins'.
DLC20000819	Who were those tribals who attacked me?
DLC20000820	White Legs - nasty bunch. They been raiding deeper into Zion ever since New Canaan was wiped out.
DLC20000821	Tell me more about Joshua Graham.
DLC20000822	He's been the chief of our tribe since he came back to the Valley. He went off to the civilized world years ago, to fight a war. That didn't go well.
DLC20000823	Why do you need a map of Grand Staircase?
DLC20000824	Grand Staircase is farther east, deeper into the Colorado Plateau.
DLC20000825	The White Legs were able to reach us here, but it's only because Zion is close to the Long 15. They can't pursue us east of here. It's too wild.
DLC20000826	Throughout our history, we have called many places Zion. This valley is full of God's beauty, but it's just a place. Zion is more than this.
DLC20000827	We cannot use any and all means available just to protect stone and water and a piece of sky. We have to hold on to our faith. Far more enduring.
DLC20000828	If we sacrifice grace for a piece of land, we may live in this valley, but we will no longer dwell in Zion. It's better for us to leave now.
DLC20000829	Take all I have.
DLC20000830	Your generosity is...  well, I just can't thank you enough.
DLC20000831	Here's one healing powder.
DLC20000832	Thanks. Even one dose can make a difference.
DLC20000833	Is there any other way I can help the Sorrows?
DLC20000834	If you could part with it, healing powder would be welcome. We have enough Stimpaks for now, but we can't rely on that small supply.
DLC20000835	Broc and Xander plants can be found throughout the valley and you might even find some on White Legs you come across.
DLC20000836	You mentioned you need healing powder. I have some, if you're still interested.
DLC20000837	That's great news. We can use anything you can offer.
DLC20000838	Come on, down this path. We're almost there.
DLC20000839	Holy hell, it's the White Legs! What are they doing this far south?
DLC20000840	Let's end this, then.
DLC20000841	Ha! Yes, end!
DLC20000842	Then see how strong my spears are, warrior.
DLC20000843	This good fight will be!
DLC20000844	Daniel and the Sorrows are weak prey, not fit for such mighty warriors.
DLC20000845	Sorrows are weak. We go, find true warriors to test us!
DLC20000846	I've already crushed your warriors. Retreat now and rebuild your tribe, or die in obscurity.
DLC20000847	...I go. But rebuild my tribe, and come we back stronger than before!
DLC20000848	Well, all of the Bighorners are dead. Problem solved!
DLC20000849	That's... not really what I was hoping for. I guess... I guess at least we don't have to worry about the Bighorners attacking the camp now. Hoy....
DLC20000850	Well, I returned the calf to its herd. Had to kill a few Bighorners to do it, though.
DLC20000851	Sure, hey, I understand. I wish it could have been done different, but at least the calf is back with its herd.
DLC20000852	Well, I returned the calf to its mother, and didn't even kill any of the Bighorners.
DLC20000853	Hoo! Glad to hear it! That'll be some happy mama, huh? Thank you - really. It means a lot to me.
DLC20000854	That sounds like way too much work. Maybe later.
DLC20000855	Oh sure, that's just what the hunters said. Well... I guess let me know if you change your mind.
DLC20000856	All right, I'll look into it.
DLC20000857	That's great! I'll help any way I can.
DLC20000858	Maybe I can help with that.
DLC20000859	Yeah? Hey, thanks - most of the hunters don't listen when I tell them the problem.
DLC20000860	Just one thing - try not to kill any Bighorners if you can, yeah? You'll drive the herd off, and we'll have to range farther on our hunts.
DLC20000861	Tell me a little about this area - any interesting wildlife?
DLC20000862	Mostly it's the mountain Bighorners - whole herd of them up on the cliffs there. Usually they're not too aggressive, but lately... hoo!
DLC20000863	My guess is one of the calves got lost somewhere along the way. Bighorners are communal - one missing calf, and the whole herd gets ornery.
DLC20000864	If that calf doesn't turn up soon, they might very well come down into the valley and attack the camp.
DLC20000865	You change your mind about helping out?
DLC20000866	So, about those Bighorners....
DLC20000867	Mostly it's the mountain Bighorners - whole herd of them up on the cliffs there. Usually they're not too aggressive, but lately... hoo!
DLC20000868	My guess is one of the calves got lost somewhere along the way. Bighorners are communal - one missing calf, and the whole herd gets ornery.
DLC20000869	If that calf doesn't turn up soon, they might very well come down into the valley and attack the camp.
DLC20000870	You might try luring the baby out with some banana yucca. These Bighorners go crazy for the stuff.
DLC20000871	Tell me about the Bighorner problem again.
DLC20000872	I'll do what I can, but I need to defend myself if I'm attacked.
DLC20000873	Of course you do - I understand. You know, I heard stories about rangers from Back When - they carried lightning sticks that stunned the animals.
DLC20000874	I've never been to any of the Back When places, but they might have left one when they died.
DLC20000875	You might also try luring the baby out with some banana yucca - the mountain Bighorners love the stuff.
DLC20000876	What can I do to help?
DLC20000877	I don't have time for this. Go away.
DLC20000878	Lah, I meant no offense - if you won't talk to me, talk to Joshua Graham - he's at our camp on the Eastern Virgin.
DLC20000879	Civilized lands? What do you mean?
DLC20000880	I mean the Lands Beyond the Valley - the place where the cities never fell. Where people don't live in tribes and forage just to survive.
DLC20000881	Joshua keeps saying it isn't paradise out there, but how can it not be, compared to this?
DLC20000882	Sorry, I'm getting distracted - Joshua will want to know about you - please, go to our camp on the Eastern Virgin. Tell him how you came to be here.
DLC20000883	Who is this Joshua?
DLC20000884	Joshua Graham - he leads our tribe. Thanks to him, the Dead Horses are strong, and safe from our enemies.
DLC20000885	He'll want to talk to anyone coming up from south-ways. Guess that means just you, now. Come, I can take you to him.
DLC20000886	Wait, what about Caesar?
DLC20000887	When Joshua first came to us, he was servant to a man he called Caesar. He led his master's armies, and we were ready to follow him into war.
DLC20000888	Then he lost his master's army to a tribe called Enseeyar, the Sunset People. When he returned, he was as you saw him - burned, broken, but changed.
DLC20000889	He led us away from Caesar, led us to our own destiny in Zion.
DLC20000890	Why is it so important that we fight the White Legs?
DLC20000891	Well... because they're our enemies. What else would we do? They take our land, they kill our scouts, they poach our hunting grounds.
DLC20000892	What's with the shell casings in your club?
DLC20000893	We decorate our clubs with them to honor Joshua Graham. They were the weapons of his old tribe, so now they are ours.
DLC20000894	Can't say they seem that dangerous to me, but Joshua says they "won the West."
DLC20000895	What do you know about the New Canaanites?
DLC20000896	Little bit. I met some of their missionaries a few times, but I've never been to their city. Joshua could tell you more - or Daniel, I imagine.
DLC20000897	Do you remember anything about Joshua from before he became your leader?
DLC20000898	Only a little - I was very young. He was... different. Prouder, yes, but harder, crueler, more driven. Really, I was terrified of him. We all were.
DLC20000899	When he came back, I almost didn't believe he was the same man. He was humbler. He wanted to protect, not destroy.
DLC20000900	What did Joshua do for you?
DLC20000901	If it wasn't for Joshua, the Dead Horses would still be the whipping boys of the Zion Valley.
DLC20000902	He taught us how to hold our territory, to protect ourselves. He guided us away from Caesar, and showed us how Caesar would have destroyed us.
DLC20000903	Tell me about your tribe.
DLC20000904	We came up in the Land of the Dead Horse, though why the Back When folks called it that I got no hint.
DLC20000905	We raided, we fought... we lost. Our enemies drove us back into Zion, and we would have died if it hadn't been for Joshua. Joshua, and his Caesar.
DLC20000906	What are all those tattoos?
DLC20000907	Dead Horses mark ourselves to commemorate our hunts. When a hunter takes a great beast, or when a youth goes on his first hunt, he gets a tattoo.
DLC20000908	I see. That's fascinating.
DLC20000909	I'm sure Daniel could tell you more. His knowledge of the Father is greater than my own.
DLC20000910	That doesn't sound like what I've heard about the New Canaanites....
DLC20000911	Perhaps you do not fully understand the New Canaanites. I have seen the Father's images.
DLC20000912	His holy bride and holy son were given unto the world to save it. They dwelt in the caverns of the mountains, caverns which can still be seen today.
DLC20000913	The people sinned against Him, and were punished with the End That Came in Fire and the loss of the holy tongue. Only the New Canaanites were spared.
DLC20000914	Wait, you think the survivalist is... God?
DLC20000915	I do not know this "survivalist," but the Father in the Caves is the god of the New Canaanites.
DLC20000916	I have seen the holy books, and once I even saw an image of the holy child and his mother.
DLC20000917	Do not the New Canaanites' books say the Father gave the world his child?
DLC20000918	Do you have any family?
DLC20000919	I do. A fine husband and three children. I miss them each day, but I take comfort in knowing they are safe.
DLC20000920	Tell me more about your tribe.
DLC20000921	We have dwelt in the Narrows since the End That Came In Fire, when the Father in the Caves punished the world and made us forget the holy tongue.
DLC20000922	We have had good relations with the other tribes in the valley. At least, before Salt-Upon-Wounds brought his White Legs here.
DLC20000923	We have Daniel to thank for our continued existence. His advice and help has kept the White Legs from overrunning us so far.
DLC20000924	I do not know how long even he can protect us, though.
DLC20000925	Who or what is the Father in the Cave?
DLC20000926	Have you not heard of the god of the New Canaanites? He is our protector and our judge. He helped our ancestors find their place here in Zion.
DLC20000927	He gave us many gifts, but we are not to seek him out. His caves are forbidden to us. Those who seek them out are taken from us.
DLC20000928	Give me some info on this Daniel. Who is he?
DLC20000929	Daniel is a wise man, and a great friend to the Sorrows. He taught me to speak the language of New Canaan - the English from the holy books.
DLC20000930	What's your deal?
DLC20000931	Waking Cloud is my name. I am midwife to the Sorrows. It sounds ill-omened, no? "Midwife to sorrows."
DLC20000932	Nothing else. Talk to you later.
DLC20000933	Go with fortune, friend.
DLC20000934	That's all I wanted to know for now.
DLC20000935	Then I will look forward to our next speaking.
DLC20000936	I had other questions.
DLC20000937	Certainly. I am happy to share my knowledge.
DLC20000938	About your husband... I'm afraid he was killed by White Legs during the evacuation.
DLC20000939	What? No... you must be mistaken. Daniel would have told me!
DLC20000940	Safe? Where are they?
DLC20000941	When we learned that Salt-Upon-Wounds had defiled Zion with his presence, Daniel ordered the children, the old, and the sick evacuated from the camp.
DLC20000942	My husband volunteered to lead the hunters that went with them for protection.
DLC20000943	I try not to worry about them, but we have had no news for so long, and Daniel seems sad when I ask him about it. Sad... and a little frightened.
DLC20000944	What do you do when you're not delivering babies?
DLC20000945	I tend to other hurts and sicknesses that afflict our tribe. I also scout the valley for the herbs I use in my medicines.
DLC20000946	Midwife? I haven't seen any children around.
DLC20000947	The children and the old have already been evacuated from the camp. They are safe enough, unless the White Legs come for us in force.
DLC20000948	Have you known him long?
DLC20000949	Six years. He attended the birth of my third child. It was a hard birth. The River nearly carried my water to the Father, and my child's with it.
DLC20000950	Daniel knew the ways of New Canaan's medicine. He stepped in and saved both of our lives.
DLC20000951	After the birth, I asked Daniel if he would teach me what he knew of childbirth. He agreed, and so here I am.
DLC20000952	Holy books?
DLC20000953	Yes - the language of the New Canaanites is the holy tongue, for it is the language their sacred books are written in.
DLC20000954	The Father in the Caves brought it to them after the Judgment, but the ancestors of the Sorrows sinned against Him. They were denied the true tongue.
DLC20000955	You're right. Now, what are you going to do about it?
DLC20000956	About Daniel... I don't yet know. But I am a woman of the Sorrows, and I will have restitution for my husband.
DLC20000957	I agree. It was arrogant and cruel - not exactly the kind of thing a friend would do.
DLC20000958	Arrogant... yes. I thought Daniel respected me, saw the Sorrows as his equals... but he manipulates us for his own ends.
DLC20000959	He was only doing what he thought was best for the tribe. It wasn't an easy choice for him.
DLC20000960	Perhaps... I will have to have a very long talk with Daniel when all of this is over. Thank you for telling me this truth.
DLC20000961	I'm afraid so. Daniel kept it from you because he thought the grief would distract you.
DLC20000962	How... how dare he? What gives him the right? I thought Daniel was my friend, but he cares nothing for the Sorrows!
DLC20000963	Let's talk more later.
DLC20000964	Until then.
DLC20000965	That's all for now, but I'll be back.
DLC20000966	Yeah, reckon you will.
DLC20000967	I understand. I'll respect your beliefs, then, but we need to search the cave.
DLC20000968	I understand. I would prefer to leave as soon as possible, though.
DLC20000969	The Father in the Caves was just a man who lived a long time ago.
DLC20000970	You speak as one who has not heard the tales, who has not seen the sacred images. If you knew, you would not mock.
DLC20000971	Holy wrath. Right. I'll keep an eye out for that. Bet it looks a lot like a bear trap.
DLC20000972	Do not mock that which you do not know! Such talk can only anger the Father.
DLC20000973	I don't have time for your religious superstitions. It's just a cave, that's all.
DLC20000974	It is a holy place! If we go any deeper, we will suffer for it!
DLC20000975	What are you talking about?
DLC20000976	The Father in the Caves! The Holy Father who gave the Sorrows His succor and gave the New Canaanites His son!
DLC20000977	Many of the caves around the valley are sacred to him, and those who would trespass are punished by holy wrath!
DLC20000978	We should not be here! This place... it belongs to the Father in the Caves! We must not profane it with our touch!
DLC20000979	How would we do that?
DLC20000980	Did Daniel not give you some of the New Canaanites' fire clay? That could easily collapse a cave and trap the beasts inside.
DLC20000981	Look around and see if you can find a cave nearby. It may prove easier than slaying the beasts.
DLC20000982	I'll be sure to tell Daniel to bring some bear-monster-thing snacks, then.
DLC20000983	We'd better get to work then.
DLC20000984	I stand with you.
DLC20000985	Big deal, I've killed worse.
DLC20000986	I hope that is truth, and not a boast. But I will respect your leadership.
DLC20000987	What do you propose?
DLC20000988	Fighting so many at once is a dangerous prospect, unless you are a truly mighty warrior.
DLC20000989	This many so close together suggests a nest nearby - if we find it and destroy it, we might have better luck.
DLC20000990	Let's take care of it then.
DLC20000991	As you say.
DLC20000992	These traps must have come from somewhere - I bet the White Legs who placed them are still around.
DLC20000993	I would suspect you are right. Perhaps we should try to find them before they lay more traps?
DLC20000994	What should we do about it?
DLC20000995	Disarm the traps if you can - or find the White Legs who placed them and drive them off.
DLC20000996	Our advance scouts should be able to deal with them if they don't have to fight off raiders at the same time.
DLC20000997	Okay then, let's get down there and take care of business.
DLC20000998	I will follow your command - but I advise caution if it is possible.
DLC20000999	So the totems are sacred to them somehow? Good to know.
DLC20001000	Yes. If their war totems were to... "disappear," they would likely lose the will to fight.
DLC20001001	Any advice on how to deal with the situation?
DLC20001002	You might rush them and take them by surprise. We would be badly outnumbered then, though, and these will be strong fighters.
DLC20001003	We might also use their superstition against them. White Leg warriors believe that to lose their totems on the eve of battle is a terrible omen.
DLC20001004	Yao Guai - even our strongest hunters could not hope to kill so many. There must be a nest nearby.
DLC20001005	This is the only sure path from the Narrows to Pine Creek! They will be cut to ribbons by these traps!
DLC20001006	Those tents down there - that is a White Leg war camp. Do you see the war totems they've erected around the tents?
DLC20001007	White Leg warriors pray to them for strength and savagery before battle. This is no raiding band.
DLC20001008	All right, let's go.
DLC20001009	Goot sists. We head east, then. Joshua is at our tribe's camp in the Eastern Virgin.
DLC20001010	You'd be surprised what "civilized" tribes will fight over.
DLC20001011	Now you sound like Joshua. He always tells me the tribal life is better, that I should stay here and forget the outside world.
DLC20001012	Small? Have you ever seen Hoover Dam? It's bigger than some of these mountains.
DLC20001013	Hah! ...Really? That's... my gods. Must be some mighty civilized folks who built that.
DLC20001014	The only recent war I know of is when Caesar's Legion attacked Hoover Dam. Is that where he fought?
DLC20001015	I don't know, he doesn't talk about it much. Maybe - but how can two civilized tribes fight over something as small as a dam?
DLC20001016	What happened to him?
DLC20001017	Well, before he left, he didn't have those bandages all over his face. That tell you something?
DLC20001018	You see his face, you'll understand.
DLC20001019	Typical. Just when I get a useful minion....
DLC20001020	Hey, it's not my fault! And what's this "minion" stuff? Dahs eet - see you around, "civilized" man.
DLC20001021	Hey, it's not my fault! And what's this "minion" stuff? Dahs eet - see you around, "civilized" woman.
DLC20001022	Give my regards to Joshua, then.
DLC20001023	I will. Goot gonen, ahk iss.
DLC20001024	Are you sure? You've been a useful companion so far.
DLC20001025	Sorry - Joshua was pretty clear. Get you to Daniel, then come on home. You can take it up with him if you'd like.
DLC20001026	No way, pal. I'm not traipsing around the desert with a barbarian who doesn't wear pants.
DLC20001027	I don't think he'll like that answer much. You change your mind, I'll be around the Dead Horses camp. Goot gonen.
DLC20001028	I could use a guide. Let's go.
DLC20001029	Goot! I really wasn't looking forward to talking to Joshua if you turned me down.
DLC20001030	Hey... as long as we're traveling together, think you could help me out with a little wildlife problem?
DLC20001031	Let's move then.
DLC20001032	Who is this Joshua?
DLC20001033	Joshua Graham - he leads our tribe. Thanks to him, the Dead Horses are strong, and safe from our enemies.
DLC20001034	I'm sure he will want to talk to you. You can find him just south of here, in the Angel Cave.
DLC20001035	White Legs? Who are they?
DLC20001036	Nasty bunch of raiders from up by Great Salt Lake. White Legs killed your friends at the Southern Passage.
DLC20001037	Not many survive White Leg raids - not even by running. Joshua will want to hear about what happened to you.
DLC20001038	I had no reason to stay for that fight.
DLC20001039	But... they were White Legs! The enemy! You are a very strange outsider, but I think Joshua will want to speak to you anyways.
DLC20001040	Okay, I'll go talk to him.
DLC20001041	I won't keep you. Maybe we talk again after.
DLC20001042	Hang on, I want to know more about what's going on.
DLC20001043	Joshua will answer all your questions. He doesn't like being kept waiting, though - go talk to him as soon as you can.
DLC20001044	Who are you?
DLC20001045	I'm called Follows-Chalk. Joshua sent me to scout for any outsiders coming up from the Southern Passage.
DLC20001046	We can talk more about that later, though - it's not smart to keep Joshua waiting.
DLC20001047	What is this place?
DLC20001048	This is the eastern fork of the Virgin River, and it's the place we Dead Horses call home. Joshua says it is a temple to God's glory on earth.
DLC20001049	We can talk more about it later, though - it's not smart to keep Joshua waiting.
DLC20001050	Glad you made it. Joshua's just to the south, inside the Angel Cave. You'll want to talk to him straight away.
DLC20001051	All right, people. Been a long couple weeks, but here we are. Zion.
DLC20001052	I know your feet hurt, I know you're tired. But I need everyone's mind on the trail ahead.
DLC20001053	Ain't the trail ahead worries me, Jed. Those descents we made, through that slot canyon back up there.
DLC20001054	Ain't no way we're getting back out the way we come. And then what?
DLC20001055	Goddammit, Stella, heard you the first time, and the fifteenth, too
DLC20001056	The New Canaanites will know a way. And if they don't, we got the maps on our friend's Pip-Boy over there.
DLC20001057	Enough lollygagging! Get moving and keep an eye out for tribals!
DLC20001058	Like I care. Let's just go. I'm ready.
DLC20001059	No objections.
DLC20001060	God's will.
DLC20001061	Let him keep his dignity. Give him a fighting chance.
DLC20001062	He never had any dignity to begin with. None of them did.
DLC20001063	But for your sake... for the Sorrows' sake, I'll let him die on his feet.
DLC20001064	Stand up and look at what's come for you!
DLC20001065	Joshua, you've already won. Look around you. There's no need to kill him.
DLC20001066	[SUCCEEDED] He has a debt to pay for what he's done and I've come to collect. And so he's chosen to cower in the water like a dumb animal.
DLC20001067	Don't listen to this... thing! His cries are those of a mad beast caught in a thicket! He gave no mercy to my family, and I will give none to his.
DLC20001068	We warned you at Syracuse, and you persisted.
DLC20001069	You took advantage of us at New Canaan to drive us out, and like the dogs of Caesar you are, you followed us to Zion.
DLC20001070	And now you stand on holy ground, a temple to God's glory on Earth. But the only use for an animal in our temple is sacrifice!
DLC20001071	Kale watcha nei conserva oh! You understand me, don't you? Don't you?!
DLC20001072	Whatever. Joshua, put a cap in General Gobbledigook here.
DLC20001073	Baika-ker! You devil!
DLC20001074	You're right. We're going to kill you, but not like this. Defend yourself!
DLC20001075	Yoocan no nikumpa me! Deyai-yoo!
DLC20001076	Whoa. This isn't what I signed up for. Let me talk to Joshua about this.
DLC20001077	Him hear you. You talk!
