GID00086201	RobcOS v.85
GID00086515	It can't be that simple though. Life just isn't like that.
GID00086516	Trail Log 4 of 43: Bernie - Day2
GID00086517	We're all in apart from Daniel. Says its fools gold. I think he has just gone soft in his old age, the old man would just slow us down anyway.
GID00086518	Keep your eye on Spider as well. He's been acting a little weird and I reckon he has an angle somewhere. I'm not worried as he's just a kid and if he pulls a fast one it will be his last, we just need to keep an eye on him, that's all.
GID00086519	Trail Log 5 of 43: JD - Day2
GID00086520	Jacks such an asshole. Does he honestly think we can just follow the map and take it all for ourselves? And set up a toll? Every fucker we come across will already be doing that. We are gonna have to fight and pay all the way to Zion.
GID00086521	But I've heard some good things about the place, unspoiled. And if the route is viable, well, that's information. And to people like the NCR and Crimson Caravan that's worth hard caps. Legion gold if it comes to that.
GID00086522	First stop is this place on the map called Hayford, I've heard there is a place to re-supply there.
GID00086523	Trail Log 6 of 43: Spencer - Day2
GID00086524	Spider sprung one on me today. Say's that hobo told him of a vault in the canyons. Says it still locked up tight. Came to me because I'm the vault expert and Bernie and Jack are dicks.
GID00086525	Makes sense I suppose, the entire population went underground during the war and there are vaults, shelters and holes everywhere.
GID00086526	Maybe I shouldn't mouthed off about vaults though. Sure I've been to Vault 34, didn't actually go in there, too much radiation. And I did go into Vault 22. Just. Well I looked inside. I thought the sign was just to put people off, but that place was too freaky.
GID00086527	I have been into Vault 19 to make a trade with some Powder Gangers, but I'll be damned if I was going to stick around to look about. Ironically, I then spent half of the caps in the only other vault I've been in, Vault 21. Not sure if that counts.
GID00086528	The hobo was probably just playing with the kid but then Spider does have a way with people. He's a silver tongued fucker, I've known him to get inside a women's pants in less than 10 minutes. 
GID00086529	But a real deal un-opened Vault? They were meant to keep out nukes, how the hell are we going to get in? But what if we could? And who or what is inside?
GID00086530	Trail Log 7 of 43: Jason - Day3
GID00086531	They are laughing at me for paying for the hobo's stash. They think I've been taken, but the hobo swears it’s where he left an emergency stockpile that he has never been able to get back to. I have a good feeling about it, my lucks gotta turn after Vegas, I'm due. It’s buried in the grave of some one called Count Abraham Jefferson III. I thought we killed him at Goodsprings? That’s gotta be a sign. It’s the big one, I just know it. They won't be laughing then.
GID00086532	Trail Log 8 of 43: JD - Day3
GID00086533	It all went to shit today. That didn't take long.
GID00086534	Bernie & Jack said Spider fell and was killed by that waterfall, reckon he was trying to climb down to get some water. Some of the others are not buying into it, and to be honest neither am I. There has been bad blood between them ever since Spider fucked that piece of tail Bernie had his eye on in Primm.
GID00086535	We checked but Spider was gone, no sign of him. I really don't need this shit right now, it’s going to be a long journey and I really need everyone on board.
GID00086536	Spencer was really mad, I didn't realise him and Spider were so tight. I cooled it down, but it’s not over. We will camp here tonight, we can hunt some Mantis's and Spencer wants to do another search for spider, which is worth a shot I suppose.
GID00086537	Trail Log 9 of 43: Spider - Day3
GID00086538	Jesus, my head hurts. Not sure what the fuck hit me, I think it was one of those two asshole's, Jack or Bernie, probably Bernie. Didn't think they would actually try to kill me though.
GID00086539	I was just looking at that waterfall when the next thing I knew I was in the water trying not to drown. I managed to clamber onto a rock, I think they were still up there but I wasn't going to show myself or they would have finished me with a bullet. They soon went away as they probably thought I had drowned. Bernie thinks I can't swim cause I wouldn't go for a dip in Lake Mead when he did. I didn't bother telling him it was because of the Lakelurks.
GID00086540	Couldn't get back up the cliff to the others so I floated down steam until I found somewhere where I could pull myself out. There is a bridge up ahead, I'll get to there and work out what to do tomorrow, but I need rest first and sort out what kit I have. I've lost my rifle, but I think I can salvage my stealth boys.
GID00086541	Trail Log 10 of 43: Suzy - Day4
GID00086542	The fucking Spider thing blew up again this morning. It was gonna to happen.
GID00086543	After a lot of shouting and bullshit threats Jack and Bernie gave JD a mouthful and took off, said they knew a shorter route than the one we were following and would see us there, and get this; as long as we had the caps to pay their toll! Asshole's!
GID00086544	I thought for a moment JD was frag the pair of them, then Pinky said something to him and he just let them go. What the fuck is Pinky seeing that we're not? ah fuck it, I don't care and I seriously doubt we will be paying any fucking toll to Jack and Bernie.
GID00086545	Trail Log 11 of 43: Nathan - Day4
GID00086546	Spencer finally come clean about what Spider and him were up to.
GID00086547	They believed they knew the whereabouts of an unopened vault and were considering about taking it on themselves, but Spencer has come to his senses. Just as well as JD already seemed to know about it, or at least know that Spencer knew about it. The fools should know better to keep such information to themselves and besides, not much stays secret around here.
GID00086548	Seems Zion is postponed for the moment.
GID00086549	Trail Log 12 of 43: Bernie - Day4
GID00086550	Fuck those losers, we'll get to Zion before them anyway. Jack reckons this route by-passes a whole load of shit. I can trust Jack, not those other fucker's.
GID00086551	I don't know why they were all whinging about Spider anyway. That was so funny, Jack is still laughing about it. He dared me to do him, so I did. Rifle butted him so hard he never made a sound, then just chucked his sorry ass over the cliff. I was aiming for the rocks, but I think he went into the water. Doesn't matter, the dick couldn't swim anyway.
GID00086552	As for the rest fuck 'em all. JD comes across all mean and nasty but I could take him down if I wanted, he don't frighten me. As for that smart ass Pinky he makes me want to puke. Thinks he knows everything, well, you didn't know about this route did you asshole.
GID00086553	Trail Log 13 of 43: Max - Day5
GID00086554	I'm surprised we got passed those raiders without a shot fired. It was a stroke of luck that Finger and Suzy knew one of them and organized passage and smart of JD to go through at dawn rather than the arranged time. By the time those doped up idiots had got themselves together we were already marching through and the look on that bitch in charge when JD thanked her for letting us through was priceless. There was fuck all she could do about us and she knew it, especially as JD was cradling 'Diplomacy' at the time. He dropped her some caps anyway. To oil the wheels and help her save face, in case we come back this way, he said.
GID00086555	I'm not saying they would have bushwhacked us as we went through but judging by all the crap lying around we wouldn't have been the first. Not sure if Finger or Suzy was in on it or not, JD sure 'kept them close.
GID00086556	Trail Log 14 of 43: Pinky - Day5
GID00086557	I thought Ezra had lost it when I saw him in Westside. But he managed to sell us a skanky old map, Spider a Vault and Jason a Treasure stash. You have to credit the old bastard, he's still got the touch when he's sober.
GID00086558	I wonder which of these are actually the real thing? I grilled him on it, as I did him some favours in the past.
GID00086559	I'll buy into the map, but he said to forget the vault. Why sell it to spider and then tell me that? The best lies always have a veneer of truth but he seemed strangely reluctant to go into details.
GID00086560	I seriously doubt we are the first he has sold this too as well.
GID00086561	Trail Log 15 of 43: Spider - Day5
GID00086562	What a night that was. I got up on the bridge and headed east. I ended up at some weird industrial place that was full of Super Mutants! If I hadn't salvaged those stealth boys I would have been fucked. I didn't stop, I kept on through the night as I need to catch up with the rest, but Jesus, what a journey. 
GID00086563	I managed to get out in the morning and not a moment too soon. I heard screaming coming back from the quarry, sounds like they have caught someone. I wasn't going to hang around so I pushed on through the next tunnel and ended up staring at a fucking Robot on the other side. Just as well I still had my copy of the map, it had the override code written on it. Boy, did I need that one.
GID00086564	I had a quick look at the road and it’s blocked, so I guess it’s another tunnel but I'm too strung out to carry on. I found this camp and crashed, my new robot friend can stand sentry for me.
GID00086565	Trail Log 16 of 43: Jack - Day6
GID00086566	I gotta get out of here. Leave Bernie, he's fucked.
GID00086567	One of those green freaks told him to shut up so he gave it the finger and shouted 'eat me'. That's a really stupid thing to say to a super mutant. He was lucky that thing wasn't hungry and only took his arm for a snack.
GID00086568	I wish he would shut the fuck up and stop whining, he's got another one. Don't think he is going last much longer anyway, the mutant used a chainsaw and it made a hell of a mess. Don't think it was very sharp.
GID00086569	I need to get myself out and he would only slow me down. It was his fault we are in this mess anyway, he's the one who whacked Spider and through him off a cliff.
GID00086570	Need to get back to the others, tell them about Bernie, they will let me back. If I can just get out of here, I can work out where they are. Wait, that's an idea, maybe I can trade them in, tell the mutants where they are in exchange for them letting me go. That's a plan.
GID00086571	I think one is coming back, OK, let’s put this plan to work.
GID00086572	Trail Log 18 of 43: Linda - Day6
GID00086573	I think I'm really losing it, I've used my last jet, and I have to get another fix. 
GID00086574	I pulled sentry last night and I always hate that. Left me sat on a bar stool looking back the way we came, with one of the Cope's, Joseph I think, guarding the other way. Those two worry me. I'm no shrink, but they are far too tightly wrapped. 
GID00086575	It was the early hours and I was singing to myself to keep awake. Fall asleep on sentry and JD would freak and he has a real nasty side to him. I always hear things in the dark anyway, but I swear I heard Spider calling to me. I'm not sure if I was asleep and dreaming or it was the drugs, or lack off, but I just ran back to the diner and kept watch from there. 
GID00086576	Only Beth saw me. She gave me a nasty look but she won't mention it. She understands, she knows what I'm going through.
GID00086577	I shouldn't have come, I should have stayed with Daniel, I really feel strung out. I'll have a word with JD, we have stuff that will put me just right.
GID00086578	Trail Log 19 of 43: Spider - Day6
GID00086579	I'm finished.
GID00086580	Didn't know this place was full of ghouls until it was too late. Tried to sneak through but my last stealth boy gave up on me just when I needed it. I managed to escape them up here, but they can sense I'm still around, I can hear them looking.
GID00086581	I've tried to reach that grill to get out, but I just can't. There is something on it and I can't move it and I'm screwed. Ironic, I've screwed so many I guess it’s my turn! Shit, shit, shit.
GID00086582	Are they in the corridor below?
GID00086583	I took a hit from one of them, a dose of radiation as well and I have no chem's so I'm starting to fade fast. My mind is starting to wander, I actually thought I heard Linda singing a moment ago. I even called out. The only thing that attracted was the ghouls.
GID00086584	I can hear them below. Fuck. I've got 5 rounds left. That's four of them I can take with me. Fuck.
GID00086585	Never could get near Bethany. What was her problem?
GID00086586	I think they are on the stairs.
GID00086587	How the fuck did I end up here? It’s not fair, I never meant to hurt people, I was just having fun. Wasn't my fault that hooker believed me when I said I would get her out, I just didn't have the money to pay her. Not my fault they caught her with her bags packed...
GID00086588	They are at the top. I can see one.
GID00086589	Trail Log 20 of 43: JD - Day7
GID00086590	Lost Suzy today. Sniper got her. No one saw it coming and she certainly didn't. She was probably stoned again, wandering off down the road like that. 
GID00086591	Joseph took down the Sniper as it didn't take him long to work out where he was, Joe's good like that. Not sure how the fucker got up there, Spencer wanted to go a loot the body but I told him to leave it, I don't want to waste time wandering around the mountains as there may be more of them and this is their turf.
GID00086592	It finished Finger, Suzy was the only real reason he was here. He just turned around and headed back, probably to those raiders at the bridge. I think he was still stewing about that incident, the fact I kept him in the dark about the move.
GID00086593	I let him go, I've had enough of Junkies today. Linda's becoming a problem again, although I'll stick with her because she's useful. Finger would become a liability.
GID00086594	Trail Log 21 of 43: Jason - Day7
GID00086595	Bastards, they think it’s so funny. 10 caps, some mouldy food and a single energy cell. I'm going to kill that fucking hobo.
GID00086596	Trail Log 22 of 43: Linda - Day7
GID00086597	We have lost another. Nathan was killed when we clashed with some Viper gang as we were looking for the Vault, the two groups practically walked into each other.
GID00086598	It was pretty bloody and one sided as I think only one of them escaped but Nathan just got unlucky, it was just a single stray round. No one is even sure who fired it.
GID00086599	Oh shit, I think it was me. It was all so chaotic and quick and I have this really horrible feeling it could have come from me accidentally. I don't know, nothings been said but there was nothing I could do for him, it was instant. The wound looks like a 10mm, that's what I carry.
GID00086600	Joseph took his body back to the church, says he needs to take care of him. Something about consecrated ground, a religious thing I think. No one tried to stop him. 
GID00086601	I really need another fix.
GID00086602	Trail Log 23 of 43: Joseph - Day8
GID00086603	It’s just you and me now Nathan. The others have left and it doesn't surprise me. They don't understand. I told mother I would look after you and that's what I'm going to do. We are going to be fine, I'm not going to let anyone come near us, we are going to be OK.
GID00086604	Trail Log 24 of 43: Max - Day8
GID00086605	We have had a quick scout around, there is a lot here still locked up. Was going to try and get in but JD said to hold off. Not sure why, but you don't argue with JD.
GID00086606	Beth managed to hack into the only working terminal. Couldn't get much out of it but it seems the security systems are still online and there is an awful lot of it just for a fucking train yard. Guess JD was right. 
GID00086607	I think the plan is too find a master terminal or a power source or something so we can shut the whole thing down.
GID00086608	Trail Log 25 of 43: JD - Day9
GID00086609	Damn Pinky, he really pisses me off sometimes.
GID00086610	We found the Vault entrance! Vault 616. Still locked up tight. Result, now we just have to work out a way in. Yes that will be a tough one, a really tough one but the rewards could be huge. Then Pinky sticks his oar in.
GID00086611	He says leave it. Nothing good ever happened in a vault. Bad karma, conspiracy theory shit. Didn't give any specifics, rumour's, stuff he has heard, fucking etc, etc...  And what did him mean about writing on the wall?
GID00086612	He's done this before.
GID00086613	And what sticks in my craw, what really fucking gets to me.... is that the old bastard is always right.
GID00086614	Trail Log 26 of 43: Beth - Day9
GID00086615	Well that's really screwed it all up. JD decided to pull the plug and leave the vault and go for Zion. Says the risks are too great.
GID00086616	Spencer lost it. Says he is crazy, it’s the opportunity of a lifetime. And more importantly he is not giving up, he is staying with the vault and doesn't care what everyone else does.
GID00086617	All of us except Jason sided with JD, we have come this far and he has never let us down but even I am questioning this one. True, the security systems are still up and running and I haven't been able to get into them. But I'm sure some of the access gates can be opened, I just need to locate the electrical trip reset.
GID00086618	From what I've seen the Vault is still probably functional and might even be occupied. Could we not even try? JD says no, we are moving out. I'm taking some of the computer files with me anyway, maybe I can make sense of them later.
GID00086619	That's another two down, less than half of us left, the crew is breaking up.
GID00086620	Trail Log 27 of 43: Finger - Day10
GID00086621	I'm back where I belong.
GID00086622	I was surprised to see Ris in this shit hole though, last time I saw her was in Vault 3. Maybe she pissed off Motor-Runner once too often. Anyway, she says I'm cool so the others have accepted me as they don't fuck with Ris.
GID00086623	I had enough of those other asshole's anyway and JD never trusted me. Screw 'em.
GID00086624	Trail Log 28 of 43: Linda - Day10
GID00086625	We talked to Joseph on the way out and he is staying is staying at the church. Those two were always strange but loosing Nathan has pushed Joe over the edge, he has really lost it. He was quite aggressive with us.
GID00086626	Then again, maybe he knows.
GID00086627	Trail Log 29 of 43: Jason - Day10
GID00086628	It seems we have been wondering around these tunnels for ages. We found this derelict service place and are camping here. We are not the first, someone has been here before us, nice of them to leave us this stuff. Talking of which I sold my re-breather in Vegas and need another, I’ll borrow Spencer’s. He is out trying to find a way through these tunnels at the moment. He has a stealth boy as well, I’ll borrow that too, I’m sure he won’t mind.
GID00086629	Trail Log 30 of 43: Spencer - Day11
GID00086630	I think Jason must be dead. On the way in through those damn tunnels one of the grills gave way and down he went. I managed to hang on to one of the pipes but Jason disappeared. I shouted down but could hear nothing.
GID00086631	I thought we were screwed when I came across that first service shaft, we were just lucky whoever was here before us left us a ladder which I managed to bridge the gap with. Jason asked what happened to him so I told him he had probably given up, which he seemed happy with. I really envied Jason sometimes, ignorance can be such a happy place. I reckon whoever it was is actually at the bottom of that shaft and now Jason is at the bottom of another. It’s true what they say. Gravity really does suck.
GID00086632	I’ll rest a while, then move on. And where the fuck is my re-breather? I might need that.
GID00086633	Trail Log 31 of 43: Spencer - Day12
GID00086634	I exited out of some service hatch and into the vault and it was all there and functioning! I told them! A fully functioning vault! I checked the first rooms I came to, one was locked and the other, well, I can only assume raiders got here first. Fuck. It actually looked all a bit clinical for raiders but what other sick fuck would do this?
GID00086635	I managed to find my way up to this storage area, which wasn’t easy as I must have lost my spare stealth boy down that shaft but then I came across those damn robots. I wasn’t expecting them as I didn’t think raiders used them but they got me. I managed to escape but I haven’t got long, it doesn’t hurt but I’m going cold. I guess JD was right about this place, but it must have been worth a shot. 
GID00086636	It’s a fully functioning vault and I got inside, yeah, that’s me, the vault expert. Guys, you should have trusted me. Together this would have worked.
GID00086637	Trail Log 33 of 43: Linda - Day13
GID00086638	I'm still feeling rough, I've had a word with that trader to get me some stuff. He was a bit reluctant at first but I hit him with a load of medical jargon and won him around.
GID00086639	He was probably wondering why I didn't go to the Followers Doctor, but Louise would probably recognize me and I couldn't deal with that. 
GID00086640	The others seem happy enough but I'm sure they are talking about me and the shooting back at the train yard. Deciding what to do.
GID00086641	Trail Log 34 of 43: Beth - Day14
GID00086642	We walked into ‘Rita’s Cafe’ 2 days ago and it's been a welcome break. A chance to rest, trade and re-supply.
GID00086643	From talking to the locals we are not that far off from Zion Park now, although it doesn’t promise to be an easy journey. We have all talked about it and have decided to carry on, even though this 'unknown' road has turned out to be anything but. Everyone was in favour apart from Linda who doesn’t seem to care one way or the other. She has been very quiet just recently.
GID00086644	We also asked about the Vault but nobody seems to know anything. JD reckons they are lying and actually know a whole lot about it, but for some reason don’t want admit it. I wonder how Spencer and Jason are doing?
GID00086645	Talking of which, I've finally made some head way with one of those deleted computer files I dug out at the train yard. Its taken me a while because I assumed they were Vault related, but they were not. So what is Stone Case?  
GID00086646	We were planning to set out this morning, but we are running late so I’m not sure how far we will get today.
GID00086647	Trail Log 35 of 43: Pinky - Day15
GID00086648	Linda died today. She had disappeared during the night and we found her this morning.
GID00086649	There were no wounds but she was lying face down in a pool of her own puke, surrounded by empty jet inhalers so it’s a fair bet it was drug related.
GID00086650	Either an overdose or a bad chem batch, I'm not sure which. She must have got them from Rita’s Cafe as JD has been keeping the heavy duty stuff himself.
GID00086651	This has hit us hard. Linda was popular when she was clean and a good medic, I guess she just had too many demons, but I really never thought she was this far gone. We should never have brought her.
GID00086652	And then there were four.
GID00086653	Trail Log 36 of 43: Max - Day15
GID00086654	So this is Zion? Made good time today despite some Cazadors. We decide to camp at this old ‘ranger’ station. Never heard of a park ranger before, I wonder if they were as mean as NCR rangers? We are going to head east down into the valley tomorrow.
GID00086655	Trail Log 38 of 43: Max - Day16
GID00086656	When we got down by the lake we realised there were some sort of tribal group there. I haven’t seen anything like them before and they look pretty primitive.
GID00086657	JD’s trying to talk to them, Seems they are going to lets us through.
GID00086658	Trail Log 39 of 43: Pinky - Day16
GID00086659	It all went to hell when we went to pass those tribal's, they tried to take us. It wasn't a total surprise, we were not that stupid, but they were everywhere. I reckon they must have been on to us before we camped yesterday.
GID00086660	One of them got lucky with a grenade, which went off amongst us, wounding all but me. JD then told me to get the others out while he held the fucker's off. You know, for all the years I've known John I never had him down as the hero type. 
GID00086661	I dragged them away until I realised we were in a dead end, so I left them there and went back, I should have stayed with John. I was too late to help him but he had gone down hard and I managed to finish off the rest. I might be an old bastard but I'm a mean old bastard. 
GID00086662	When I returned to the others Max was already dead and Beth was practically unconscious, concussion I think. I've buried John and Max, we need to rest, give Beth a chance to recover and let the med's to kick in.
GID00086663	- Fuck, there is more of them appearing, we need to move, quick. It’s still dark, maybe we can slip past, get back to Rita's Cafe
GID00086664	Trail Log 40 of 43: Pinky - Day17
GID00086665	They had got behind us and blocked off our way back to Rita’s cafй, Beth said to go this way but I'm not sure so I should have listened, I don't think she is really with it.
GID00086666	Now we are just running anywhere and we can't shake them off as we are hemmed in this bloody canyon. Almost out of ammo as well, so there is not much chance we can fight our way out of this. We just have to keep going.
GID00086667	Trail Log 41 of 43: Pinky - Day18
GID00086668	I’m exhausted and so is the ammo. Guess this is the end, we gave it a good shot. I think Beth is hallucinating, she keeps saying we made it, poor kid.
GID00086669	Trail Log 42 of 43: Beth - Day20
GID00086670	Pinky is still sleeping. The poor old bastard was all in, probably from dragging my sorry ass around.
GID00086671	My head is pounding and ears are still ringing a bit but we are safe now. Those tribal's following us tried to get in as well but its not a mistake they will make again. I hope those robots are programmed to clear up the mess. 
GID00086672	When I saw it, it was almost too much to hope for but there it was. We found Stone Case. My habit of collecting old computer files and passwords has often paid dividends but never before on this scale. This time it really was a life saver and we have literally struck gold to boot. 
GID00086673	It is a pity we cannot share it with JD and Max, and Linda but if they were still alive we would probably would never have ended up here in the first place. I wonder what happened to the others?
GID00086674	Fate has been whimsical this journey.
GID00086675	Trail Log 43 of 43: Note
GID00086676	To Whom it may concern
GID00086677	Sorry, we beat you to it. We have already taken most of what was in here and we have left this one gold bar as we couldn't carry any more. We considered coming back for it so we reset the security systems as you will have noticed.
GID00086678	But, if you have made it this far you probably deserve this and we won't hold it against you for taking whatever's left.
GID00086679	Enjoy - Beth & Pinky
GID00086680	Diary 01: Cpl Sherwood
GID00086681	March, 2078. We're here. Hoping to find food and supplies in this supply bunker we are here to empty. Maybe shelter as well, I'm sick of rad meds and my respirator is starting to pull the skin of my face. There are still radiation clouds everywhere but at least the black rain hasn't returned.
GID00086682	The captain isn't helping though, he has become a real martinet. He has already shot one man for insubordination and desertion is starting to become more common.
GID00086683	Diary 02: Cpl Sherwood
GID00086684	We have hit problem as we can't get in, sounds like we don't have the access codes for some reason. The captain in desperation just decided to blast his way in the first entrance he came to and only managed to bring down the tunnel. Now we are seriously fucked. We located a service entrance, tried the same thing and almost achieved the same results. Now we can't force that either without collapsing it. It would be funny, but he is now panicking and taking it out on us.
GID00086685	He finally listened to one of the sappers who suggested we could dig our way in. We have blasted as much as we dare and are now going at it with whatever tools we have, but the guys are really keen as there maybe some decent food and shelter for us at the end of it.
GID00086686	Diary 03: Cpl Sherwood
GID00086687	Well, we made it, but its not all we hoped for. The vault was obviously subject to some cutbacks. Its letting in water, the air is fetid and the reactor is leaking.
GID00086688	There are supplies here, but the captain has managed to bring a train up and is shipping the stuff straight out. I'm sure him and his little inner circle are helping themselves to it, but most of us are getting nothing. The rest of us are exhausted as we are having to hump everything by hand through the hole we dug to get in.
GID00086689	Diary 04: Cpl Sherwood
GID00086690	I've found this working terminal but there are no records, I guess the main server is dead. I told the Captain I'm still working on recovering data but I'm just using it to type up my diary. It beats humping stores around and I don't trust myself to leave the food alone. I am so hungry.
GID00086691	Diary 05: Cpl Sherwood
GID00086692	One of the train carriages broke down. Its been repaired by scavenging parts from the rearmost carriage which is being abandoned. We are taking the remaining supplies by road in what vehicles we have. Two guys from the 2nd company took some of the food as they were shifting it, then the captain found out and had them shot out of hand.
GID00086693	2103 Andrew Poke diary
GID00086694	We have finally got to Ground House and it is not good. The whole thing looks like its collapsed. More specifically it looks like the place has been blown up, god knows why.
GID00086695	So what now? we are sheltering in the tunnel, it still seems to be solid enough around the entrance. At least we have water here and there enough wildlife around here to hunt.
GID00086696	Some of the group want to head south to Vegas, but I'm not buying it. I think we should stay away from any large centers of population.
GID00086697	2104 Andrew Poke diary
GID00086698	Some people have headed south while the rest of us are still hanging on here, its not been easy but we are surviving. We have had help from some outsiders joining us, the stories they have been sharing do not paint a nice picture of the world.
GID00086699	We still haven't given up on the storage vault, we cleared some of the rubble away from a building on top of the tunnel to find an entrance and we managed to break into what I think is part of the tunnel maintenance system. Typically they lead to the same place. We came to stop at a security door, it looks like someone has been here before us and tried to blow it which has ruled out that option for us. The whole thing could come down. Still, at least we don't actually need it now. We are surviving without it.
GID00086700	2104 Andrew Poke diary
GID00086701	Heard from Charlie, he tried Vegas but I don't think it was much good and it sounds like he has settled at a place further south of here. Good to hear from the old buzzard.
GID00086702	2114 Andrew Poke diary
GID00086703	My wife has been nagging me to stay out of that tunnel again. I think everyone has forgotten why we originally came here but I've never lost my curiosity about that storage vault, what was it called? Ground House?
GID00086704	I managed to pull out some wiring at that security door and have been trying to hook up a computer to it. There is still some sort of network there I think, but I'll be damned if I can hack into it. I'm sure we brought the access code with us, was it David that had it? He never came back from Vegas.
GID00086705	My son sits and watches me, maybe he will have better luck some day. Truth be known we still don't know if there is anything behind that door. Maybe my wife is right, I should give it up, I'm too old for this now.
GID00086706	2117 Andrew Poke diary
GID00086707	Vault 616 was due to open this year, but nothing has been seen. Every now and then we get a story of folks disappearing around the train yard, but we stay away. It's kind of achieved bogey man status now. Locals here know but no one says anything. Its as if you don't speak of it, its not real.
GID00086708	Someday the outside world will find it, then there will be a reckoning.
GID00086709	Note
GID00086710	Do not activate this robot. Its behaving very strangely.
GID00086711	Scheduled for serving as soon as there is a pad available.
GID00086712	Security
GID00086713	Trail Log 32 of 43: Jason Corpse Note
GID00086714	You Idiot Alan, I told you not to take too much. I liked that kid, he was one of my favourite blood groups and we could have strung him out for ages.
GID00086715	Anyway, see if you can find the kids name, it was Jason I think, you know the Chef likes to give his dishes a name but tell him no curry this time. I want to be able to taste this one 'cause 'Melvin Madras' burnt my ass off. And see if there is any Chianti left.
GID00086716	V616 Mainframe Archive Entry 45156
GID00086717	ClasFifiFd S0cret - Gove11ment Ey2s onl6
GID00086718	Su==ect: G##000 $$$se
GID00086719	FuLLtion: Secure Sto@@ge of L#cal Gov0rnm0nt em&rg8ncy supplies.
GID00086720	Realisation: Med$$m siz0d bunk+r, unma#ned. Proj@cted life span 50 yKKrs on^e sЈaled.
GID00086721	Inf4rm4tion:
GID00086722	Sec2rity Code: N5t applicable. S7curity seals ar7 exp3cted to b4 suffic1ent.
GID00086723	Loc5tion: 5ast end 2200xx0000 R6ilway tun7el. 
GID00086724	M4in Entr0nce w2thin tu0nel, s0rv#ce entr0nce via tr8nsformer st#tion at tun%el entr0nce
GID00086725	Ac22ss C?dP: S#$#-#8$G-00##-#$3X
GID00086726	100010277208200513782082005135720820051%10.10s%02.0f/%02.0f/%04
GID00086727	######00 111111000%%%%))))) @@
GID00086728	10001027720820051378208 2005135720820051%10.10s%02  .0f/%02.0f/%04
GID00086729	######0011  1111000%%%%))))) @@
GID00086730	V616 Mainframe Archive Entry 45109
GID00086731	Cl++sified S$$ret - Gxxxrn@ent EyЈЈ o0ly
GID00086732	Su#jHct: Wo80 SxaRk
GID00086733	FuBB~ion: AcJJm99dat22n foo LLLal 3ov77nm##t 10.10s%02.0f/%
GID00086734	77208200513782082   00513 02.0f/%04.0f %10.10s  <<<<<{}@@@@ЈЈ  &&&&))))))) 000000000 0&&&&&&&&777777777777GFGFDXCXCXCX#### 7777777777 xxxxxxxxxx WWWW 333333333333 33 00000000000 1111
GID00086735	Received - Blu Ray
GID00086736	Hey Blinder you idiot
GID00086737	Do you remember the name 'Burgess'. Didn't you get that name out of one of those clowns who then disappeared down that tunnel of yours a few years back. Well guess who has turned up and camped out in the old house at the top of Hayford. A Ghoul, nasty piece of work and asking a lot of questions.
GID00086738	Sent - Blu Ray
GID00086739	Yeah I remember.
GID00086740	Well don't just sit there with your thumb up your ass, find out what his game is. Give his drum a spin if you have to, but don't use Emma, she's a good girl. Find a passing wastelander, preferably one with an IQ at least into double figures (which of course rules you out).
GID00086741	Received 2 - Blu Ray
GID00086742	Of course I won't use Emma you cretin. And keep your eye out for a group of mercs under NCR command. Not sure what they are up to, but they are bad news.
GID00086743	And have you sorted out your Lurk farm yet or are they still getting eaten by the fruit plants! That's so funny, but if you do get it sorted send some of the Lurk meat down with Angel
GID00086744	Received 3 - Blu Ray
GID00086745	Hey Fuckstick, 
GID00086746	I've got some news on Burgess. I got this ugly looking prospector to go through his place. It seems he is interested in Ground House and I reckon this prospector has some more info on it. I've gave your name and told them to look you up. Be careful, this one has an arsenal and isn't shy about using it.
GID00086747	oh and that NCR outfit, seems they are looking for freak central. That's going to get messy.
GID00086748	Reminder
GID00086749	Need to finish that ammo consignment, Angel is bound to be back through sometime soon and will be expecting it.
GID00086750	I'll get on to Emma about it, that daughter of mine needs to pull her head out of the clouds and get some work done, too dreamy and idealistic, just like her mother. But that's the Poke family for you.
GID00086751	Hotel Log 1
GID00086752	A group of mercs come prospectors turned up today. We did some trading and they crashed at the hotel overnight, I think they are heading to Zion for some reason although they were pretty tight lipped about it. From what I gather there has been some falling out within the group as well, maybe there are some more of them around, I'll keep my eye out.
GID00086753	Hotel Log 2
GID00086754	Another big group came in today. Not sure what their story is, seems to be an NCR operation but most of the foot soldiers were Vipers or some other gang. They haven't been too much trouble, other than the usual, but it's a strange combination. They were not too subtle about Ris and her toll bridge either, I think she just legged it after a brief fire fight. That may cause problems later on if and when she returns. 
GID00086755	Didn't like the look of this group though, may have to send word and warn that idiot brother-in-law of mine.
GID00086756	Burgess
GID00086757	I need to get to the bottom of this guys story. He has been here about a month now, but he is not the settling down type of person.
GID00086758	He is a mean and nasty piece of work, which has been useful dealing with our local raider problems, but he has been snooping around everywhere and asking an awful lot of questions.
GID00086759	He has an angle somewhere and I need to find out what it is.
GID00086760	Weirdo Report
GID00086761	I don't believe that weirdo Frobisher disappeared with some hooker the other day. I didn't think he had it in him.
GID00086762	He is a freaky guy but has been a really good customer for junk. He must have a place up the river somewhere, north of here I'm guessing.
GID00086763	Research Memo
GID00086764	Chief
GID00086765	I've 'confined' Dr Nice to his office, it didn't seem right to put in one of the cages as we have done with the others in the past.
GID00086766	We may be able to do something in the future for him but these compounds we are dealing with are just so complex.
