DOD00000001	你好吗，今天天气很好。
DOD00000738	如果我犹豫，我就会被鞭打。如果我不服从，我就会被鞭打。如果我没有完成任务，我就会被锁在一个非常小的板条箱里...一段时间。
DOD00000739	他唯一没对我做过的事就是破坏我的转售价值。我得让自己看起来还不错，他不会弄残我或者...蹂躏我。
DOD00000740	我学得很快。他的其他奴隶生来都是自由人，他强迫他们重塑，重塑成他想要的形象。
DOD00000741	但我生来就是被他抚养长大的，我不知道别的办法，所以我从未想过反抗。
DOD00000742	最后，当我还很年轻的时候，他经过一个掠夺者的聚居地，把我卖给了他们的首领。我再也没见过我原来的主人。
DOD00000743	你生来就是奴隶?
DOD00000744	... 啥？.
DOD00000745	那个团伙的头目......有一定的怪癖，他发现我很有吸引力。
DOD00000746	当我不被用来取悦他时，他也以折磨我为乐。我...我曾经乞求，如果我干得好，他就不伤害我。
DOD00000747	但他总能找到伤害我的理由。回首往事，我意识到这就是施虐狂眼里的奖赏，折磨让他觉得好笑。
DOD00000748	最终，他厌倦了我。我被扔给帮派的其他人，任凭他们处置。
DOD00000749	我运气好的时候，他们让我做家务。运气不好的时候，就要遭受在他们首领手下遭受的痛苦，我经常运气不好。
DOD00000750	这是一个很大的团伙,一个定居点,真的。他们最喜欢的消遣之一就是强迫奴隶在竞技场上决一死战。
DOD00000751	孩子也不被豁免，相反，他们是最受欢迎的战士。最终，捕获我的人厌倦了使唤我，把我扔到了竞技场。
DOD00000752	你被掠夺者买走了?
DOD00000753	好的。这些掠夺者喜欢看他们的奴隶和俘虏厮杀到底，孩子间的厮杀是他们的最爱。...这种暴行让他们感到快乐。
DOD00000754	掠夺者的一个缺点是，大多数人对杀戮有天生的抵抗力，孩子是其中的大多数。
DOD00000755	孩子们在“战斗”的大部分时间里都在畏缩和哭泣，乞求自由和宽恕，拒绝武装自己。
DOD00000756	但我...从出生起就被教导要听话，我必须毫不犹豫地按照主人的吩咐去做。
DOD00000757	当他们把我放在竞技场里让我杀人时，我就照做了，其他孩子哭着哀求的时候，我拿起刀把他们全杀了。
DOD00000758	我没有任何犹豫，他们一个接一个地倒下了，那是不可想象的，掠夺者......惊呆了，因为我，因为我为他们所做的一切。
DOD00000759	看着一个小女孩残忍地杀害她的同伴，那些掠夺者好笑得说不出话来，于是他们......奖励我。
DOD00000760	不再殴打我，不再强奸我，不再奴役我。相反，他们称赞我表演得很好，他们给了我毒品。
DOD00000761	当我为他们杀人时，不仅痛苦终于停止了，而且药物给了我一种从未有过的兴奋感。它几乎是...幸福。
DOD00000762	我很长时间没碰过任何化学药品了，但有一些挥之不去的神经损伤。当然还有心理上的。
DOD00000763	跟我说说你在竞技场的事。
DOD00000764	我警告过你。
DOD00000765	我...我不想再谈论这个了。
DOD00000766	它以鲜血告终，如同它的开始。自由，就像我生命中其他的一切事物一样，是强加给我的，我从未选择逃避。
DOD00000767	尽管这群掠夺者庞大而残忍，但他们还是树敌不少。其中一个敌人雇佣了一名刺客来一劳永逸的解决威胁。
DOD00000768	没有大规模的战斗。一天早上，我在牢房里被枪声和喊叫声惊醒，然后......寂静无声。
DOD00000769	几分钟后，一个陌生人走进了牢房，他看着我们所有人，然后打开了我们的笼子，告诉我们自由了。
DOD00000770	其他的孩子...他们看不起我，就像他们害怕我一样。他们都亲眼目睹我在竞技场把其它奴隶杀掉。
DOD00000771	他们眼睁睁地看着掠夺者指使我杀死他们的朋友和家人。在他们眼里，我就是他们所受苦难的化身。
DOD00000772	他们得到自由后，决定解决最后的问题，也许他们认为没有掠夺者的指导我不会战斗。
DOD00000773	但是我会。他们没能享受到新获得的自由，最终死在了我手上。那个刺客目睹了这一切，但没有干涉。
DOD00000774	结束后，他告诉我，如果我愿意可以和他一起走。他会教我如何正确运用我的才能。
DOD00000775	除了接受，我还能做什么?我对自由一无所知，我只会把自己搞得一团糟。
DOD00000776	你是怎么从掠夺者帮派逃脱的?
DOD00000777	他就死了。不是另一个杀手干的，不是一次失败的工作，也不是通过任何暴力手段，他死于肺病。
DOD00000778	我本可以把他的尸体扔在街上，但出于尊重，我把他埋在了沙漠里，我拿走了他的杀器，非常称手。
DOD00000779	你的导师怎么了?
DOD00000780	不。过去无法改变，后悔只会分散我的注意力，我的思想需要集中才能有效率。
DOD00000781	你的人生很艰难，你有什么遗憾吗?
DOD00000782	他们几乎没有反抗。
DOD00000783	他们是奴隶和俘虏，被剥夺了他们平常幸福的生活。被迫戴上项圈，被告知要么杀人，要么被杀。
DOD00000784	他们所知道的只有恐惧和疑虑。我所知道的不仅仅是恐惧和犹豫，还有鞭笞、殴打、饿死。
DOD00000785	杀死他们是让我自己的痛苦结束的唯一可靠方法......这样真的给我带来类似于幸福的东西......
DOD00000786	我第一次从父母那里被买走时，我就没有什么情绪。尽管如此，这些掠夺者还是让我产生了一定程度的嗜血欲望。
DOD00000787	你怎么能这么轻易地杀死其他孩子?
DOD00000788	包括一些治疗性的药物吗？我服用安眠药是出于实际原因，但除此之外，从我被释放那天起就没有服用过了。
DOD00000789	毫无疑问，对于那些选择放纵自己的人来说，毒品是一种愉快的逃避方式。我从来没有这样的选择。我被强迫吃药，而且从未停止过。
DOD00000790	当我终于摆脱他们的时候，我感到...思维清晰，脑子里的雾消散了。我不想再失去这种清晰。
DOD00000791	掠夺者给了你毒品，你现在还......使用它们?
DOD00000792	他们是平庸，受蒙蔽的刺客。我并没有刻意去讨厌某些东西，但我觉得他们的想法令人反感。
DOD00000793	一个真正的杀手只是个杀人工具，仅此而已。当一个人决定杀人时，有些人用刀，有些人用子弹，有些人用人。
DOD00000794	这不是针对个人的，我对道德也没有太高要求。我杀人是为了钱，如果你把道德准则当回事，那这就是天生的道德低下。
DOD00000795	但赏金猎人，猎头，先不管他们叫什么，都把这件事本末倒置了，完全把这种事情当成自己的事情。
DOD00000796	他们的委托人是事后诸葛亮，所有的焦点都集中在这位英勇的赏金猎人身上，一边从他人的死亡中获利，一边高呼正义。
DOD00000797	这只是他们用来显摆的手段罢了，凸显自己业务范围广，客户牛逼和自身的“正义”
DOD00000798	你好像不太喜欢赏金猎人，为什么?
DOD00000799	我知道。在你众多的职业中，如果你至少有一种职业让我摆在心上，以至于不喜欢，请原谅我。
DOD00000800	幸运的是，我对任何事都没什么感觉，如果这能让你感觉好点的话，毫无疑问你也能发现我有什么令人讨厌的地方。
DOD00000801	可能和那些死去的孩子有关，我这种人总能得罪别人。
DOD00000802	你知道我当过赏金猎人吧?
DOD00000803	你是在暗示你免费做猎头工作吗?我表示怀疑。
DOD00000804	我可能不太清楚什么叫正义，什么叫不正义，但我确信雇凶杀人不能称之为正义，不管目标是谁。
DOD00000805	即使你的目标罪有应得，取走他生命的契约本质上是没有人情味的，是不正义的惩罚。
DOD00000806	如果有人在道德上是正直的，那就是你的客户，他没有杀人的能力，就和你签约。
DOD00000807	正如我所说，我的工作和赏金猎人的工作之间存在分界线，我是在阴影中进行的。 而且，我很清楚我是谁。
DOD00000808	这不是为了声望，这是为了伸张正义。
DOD00000809	聪明。
DOD00000810	也就是说，你最明显的缺点是你的方法让你背负了一个目标。
DOD00000811	匿名接受合同。在处决目标之前，不要和他们开玩笑。如果可以，尽量避免被人看见。
DOD00000812	我想，如果你采用我的方法，你就会发现你家门口的暴力报复行为会少很多。
DOD00000813	我一点也不关心这其中的道德意味，我只是在做本职工作，仅此而已。
DOD00000814	我也许有答案，问吧。
DOD00000815	我有些问题要问。
DOD00000816	出于什么目的？ 很好，继续。
DOD00000817	我有几个问题想问。
DOD00000818	我不认为自己是个健谈的人，但我会尽我所能说多点。
DOD00000819	我能问你点事吗？
DOD00000820	关于哪个话题？
DOD00000821	我想问你一件事。
DOD00000822	他死了，没死在我手里，但还是死了。
DOD00000823	他是一个叫施拉德尔的人经营的贩奴集团的副官。
DOD00000824	几年前，施拉德尔的团伙开始与一个叫迪特里希的人领导的团伙冲突。
DOD00000825	我以前的主人在和迪特里希的一次小冲突中被抓了，他们决定拿他杀一儆百。
DOD00000826	他们活活剥了他的皮，把他的皮钉在施拉德尔总部的门上，他真不幸。
DOD00000827	你知道买你的奴隶贩子后来怎么样了吗？
DOD00000828	你...做的？
DOD00000829	我...谢谢你。
DOD00000830	尤金·施拉德尔？我把这个害虫消灭了。
DOD00000831	救我的那个人把我带走了。正如他所承诺的，他开始教我他的生计。
DOD00000832	我有过杀人的经验，本能也很敏锐，但我缺乏技巧，更不用说使用武器的经验......或者隐蔽的方法了。
DOD00000833	他教我射击，挥剑，无声无息地移动。虽然我已经知道如何阅读，但是他给了我真正的教育。
DOD00000834	如果我某项任务失败了，让他失望了......他会严厉地教训我，然后让我再试一次。他很严厉，但并不残忍。
DOD00000835	很快，我就和他一起执行任务了。他会提出建议，但我第一次拥有了......自主权，真正的自由。
DOD00000836	我们并不亲密，我们的关系也只是工作上的关系。他只是想把自己的技能和知识传承下去。
DOD00000837	这些从来没有困扰过我，他是我遇到的第一个不想让我受苦的人。
DOD00000838	后来，我变得足够熟练，可以在没有他的情况下自己接活。他没有什么可以教我的了，所以他也不再试着教我了。
DOD00000839	我们只是两个独立的杀人犯，住在同一栋楼里。我的个人历史到此为止。
DOD00000840	从现在开始我们的一切谈话都属于工作细节，我不讨论这个。
DOD00000841	那你是怎么成为杀手的？
DOD00000842	也许，当一群人互相想让对方流血时，我的想法并不会倾向于如何非致命地制服他们。
DOD00000843	说真的，我从没想过要慈悲。我人生的经历告诉我，生命是廉价的，很容易消逝。
DOD00000844	他们想要我死，我想活下去。总有人会在这个关系中倒下，我不会让自己成为败方。
DOD00000845	你就不能让其他孩子活着吗?
DOD00000846	我...谢谢，这是......没必要问的。
DOD00000847	很抱歉让你经历了这些，你值得更好的。
DOD00000848	...我什么都不喜欢。我是个情感空虚的人，活下去的唯一理由是为了钱杀人。
DOD00000849	所以...当你不工作的时候，你喜欢做什么?有什么爱好吗?
DOD00000850	我购买弹药，枪油，磨刀石和医疗用品。当然，我也会让自己吃饱喝足。
DOD00000851	那...好吧，那你通过暗杀赚来的钱都花在哪？
DOD00000852	...不，从来没有。
DOD00000853	...
DOD00000854	你...出人意料的仁慈，这很少见，尤其是在这种地方。然而，这是一个很容易被人利用的特点。
DOD00000855	你到底认为我是哪个团体的一员?我对我现在藏身的贫民窟里的渣滓毫无忠诚可言。
DOD00000856	如果你的钱比你需要的多，你考虑过回馈社区吗?
DOD00000857	...
DOD00000858	我试着每天至少抽出一个小时来冥想，让自己集中注意力。
DOD00000859	我...还有，我能读什么书就读什么书，内容不重要。儿童书籍、百科全书、色情小说、传记或幻想小说，什么都行。
DOD00000860	这不是一种享受，但我确实尽我所能去了解。任何能分散我注意力的东西都是受欢迎的。
DOD00000861	你在任务间隙，有空的时候都做些什么？
DOD00000862	...是。
DOD00000863	我...听音乐。当然不是收音机里那些过时的废话，音乐...对我来说，它从来没有被破坏过，不像其他事情。
DOD00000864	它让我感到平静。它几乎可以唤起......情感，积极的情绪。 我......无法用言语形容。
DOD00000865	嗯...我有点喜欢花,它们漂亮。
DOD00000866	现在我们有进展了，你做过没有实际目的的事情吗?
DOD00000867	...你怎么知道的？
DOD00000868	看，我就知道你比看起来更有深度。
DOD00000869	既然你这么说了。
DOD00000870	...谢谢你。
DOD00000871	一个情感已死、杀人如麻、空虚的人是不会欣赏音乐和鲜花的，你也是人。
DOD00000872	对...吧...我支持你。
DOD00000873	你对自己太苛刻了。现在，来吧，我们走吧。
DOD00000874	...以前没有人这样想过。
DOD00000875	显然你是疯了，我想我有义务保护你不受伤害。很好，我支持你。
DOD00000876	我是这么说的，我们是朋友，所以我有资格这么说。
DOD00000877	随你便吧。
DOD00000878	我想谈谈你，查理。
DOD00000879	我不知道。我甚至不知道我父母是否还活着，也许他们是在把我卖了之后不久尖叫着死去的。
DOD00000880	我完全有可能有兄弟姐妹、叔叔阿姨、堂兄弟姐妹......或者,也许没有。
DOD00000881	没关系，即使我有家人，我也不想见他们。共同的DNA是强迫建立情谊的蹩脚借口。
DOD00000882	我看不出有任何理由相信存在于假想的原生家庭会比我认识的那个家庭更愿意关心我。
DOD00000883	除了你父母，你还有其他亲人吗？
DOD00000884	要不是那个流动的奴隶贩子来了，我想我早就饿死了。我父母显然不希望我出生。
DOD00000885	假设他们真的爱我，养育我......谁知道呢?也许我会成为一名歌手，或者慈善家。或许我本可以成为一名作家的。
DOD00000886	我......可能会快乐。可能不会变成这样一个精神崩溃的人，不会为了钱而杀人，看着他们死去却毫无感觉。
DOD00000887	我...我想说点别的。
DOD00000888	如果你从未被奴役过，你觉得你的生活会变成什么样子?
DOD00000889	我不谈论已完成的合同，我的报酬除了杀人，还包括沉默。
DOD00000890	你的暗杀工作有什么有趣的故事吗？
DOD00000891	没有，我从来没有把工作搞砸过，我也不会谈论以前的合同。
DOD00000892	任何称职的刺客都不会“意外”杀死任何人，他们杀掉他们想杀的人，不多也不少，我也一样。
DOD00000893	至于无辜的人，就算你相信这个概念，我也没有资格对我的目标做出道德判断。
DOD00000894	但是，我确实杀了不少被普通社会认为无辜且值得保护的人。
DOD00000895	你还记得那句陈词滥调吗？饱受折磨的杀手有一颗金子般的心，有严格的道德准则，从不杀害妇女或儿童？
DOD00000896	那不是我。我杀过女人，孩子，手无寸铁和手无寸铁的人。目标就是目标，我不在乎其他的。
DOD00000897	不，我从来没有为此感到一丝内疚，在任何情况下，我都没有任何感觉。我很冷血。
DOD00000898	有什么失败的经历吗?比如以搞笑的方式出错？不小心射中了一个无辜者？
DOD00000899	我认为......你这种偏执是明智的。如果你的余生都在小心翼翼地提防周围的事物，那你就不会在背后被捅几刀。
DOD00000900	但是，除非你打算背叛我，不然你就没什么好害怕的。
DOD00000901	我不接受任何我认识的人的合同。更重要的是，我已经签了合同，要让你活着。
DOD00000902	...当然，如果我真的想在你最意想不到的时候杀了你，我也会这么说。我猜你永远也不会知道。
DOD00000903	你知道，我树敌不少...我想你不会为了他们而暗杀我吧？
DOD00000904	我当然没谈过恋爱，请原谅我这么说，但你这问题问得太荒谬了。
DOD00000905	看着我。我是个情感上已经死了的杀手，我曾被称为“没有灵魂的人类躯壳”，我人如其名。
DOD00000906	即使有人疯狂到想要我，你真的相信我能回报他吗?
DOD00000907	我没有感觉，没有同情心，也没有温暖，我甚至感觉不到最基本的生理上的愉悦。
DOD00000908	我甚至没有柏拉图式的朋友。我不像你，当我死的时候，我会孤独而无人哀悼。
DOD00000909	...珍惜你所拥有的，它比你认知的要多。
DOD00000910	你这辈子有过恋爱关系吗？
DOD00000911	我...我道歉，是我的看法太残忍了。
DOD00000912	我...很珍惜你和你的陪伴。没有任何东西可以与之相比，如果我有时说话结结巴巴，请原谅我。
DOD00000913	我无意冒犯，我只能说这么多。
DOD00000914	什么叫你没有朋友？我是什么？
DOD00000915	谢谢你！我会杀了任何想伤害你的人来补偿你，这样公平了吗？
DOD00000916	嗯,继续吧，只要你有我，我就会跟着你。
DOD00000917	没事，查理。
DOD00000918	别傻了，你为什么会对我感兴趣？
DOD00000919	我很确定我刚解释了我是如何没有感情的，有成千上万的人更值得你付出......感情
DOD00000920	毫无疑问，你会更乐意去追求一个内在和外在都没有彻底崩溃的人。
DOD00000921	也许我们可以不只是朋友，对吧？
DOD00000922	别傻了，你为什么会对我感兴趣？
DOD00000923	我很确定我刚解释了我是如何没有感情的，有成千上万的人更值得你付出......感情
DOD00000924	毫无疑问，你会更乐意去追求一个内在和外在都没有彻底崩溃的人。
DOD00000925	也许我们可以不只是朋友，对吧？
DOD00000926	当你说“人”时，你是指成年男性，还是指一般的人类?因为后者的数字要高得多。
DOD00000927	至于具体的数字......我不知道，可能是三位数。我对自己的工作很在行，价格也很合理。
DOD00000928	杀人是我的职业。我想我只是没有兴趣把它当作一种娱乐，记录数字和个人记录。
DOD00000929	你杀了多少人？
DOD00000930	准备好扫兴了吗？
DOD00000931	我以高价买下了它。
DOD00000932	我阅读过它们的用途，并听说它们是避难所科技生产的少数几个真正有效的产品之一。
DOD00000933	我觉得这对我的工作很有用，从个人经验来看，你无疑是认同我的。
DOD00000934	你从哪儿弄来的Pip-Boy？
DOD00000935	我是认真的，我没有感情，我的情绪已经死了，我能感受到一些本能的恐惧或挫折，但仅此而已。
DOD00000936	快乐、愤怒、痛苦、欲望....这些东西我都没有。它也反映到身体上的感觉，我真的感觉不到疼痛或愉悦。
DOD00000937	也许这都是因为我的心碎了，或者实际上是急性神经损伤。我不知道，我也不是特别在意。
DOD00000938	你说你没有感情，到底是什么意思？
DOD00000939	这有点可笑。再说了，就算你没给我发工资，我还是把你当成我的客户。我是刺客，不是妓女。
DOD00000940	也就是说，虽然你在这个问题上的坚持有点令人讨厌，但我并没有过度被烦扰。到目前为止，我觉得你还是比较值得信任的。
DOD00000941	出于尊重，一旦我们的合同结束，我想我可以允许你再次提起这个话题。如果你真的那么在乎的话。
DOD00000942	与此同时，我有很明确的工作要做，而你有...不知道什么在激发你这种情绪，我们回去工作，行吗?
DOD00000943	拜托，你真的不愿意给我机会吗？
DOD00000944	你没有冒犯我。我甚至都不会觉得冒犯，你懂的。
DOD00000945	我只是觉得你居然会考虑让我做这样的事，简直太荣幸了。
DOD00000946	放心，这里的问题是我的丰富的情感和心理问题。
DOD00000947	我相信总有一天你会找到一个能回报你爱的人。但现在，我们还是谈正事吧，好吗?
DOD00000948	好吧，我不是有意冒犯你，我不会再提这件事了。
DOD00000949	那好吧。
DOD00000950	现在说得够多了。
DOD00000951	见过很多叫查理的男人，是吗？
DOD00000952	无意冒犯，但查理不是男人的名字吗？
DOD00000953	很好，我已经拿到钱了，所以不管怎样我都不在乎。如果你改变主意了，我想你知道去哪儿找我。
DOD00000954	事实上，我现在不需要任何帮助了。
DOD00000955	如果你喜欢的话。
DOD00000956	事实上，我现在不需要任何帮助了。
DOD00000957	我尊重他们的信念，但我认为他们注定失败。
DOD00000958	便捷的医疗援助和自由的思想交流是吸引人的概念，我遇到的大多数天启追随者都对他们所做的事情深信不疑。
DOD00000959	然而，他们的观点是大多数人都是天生善良的，根据我的经验，他们的观点行不通。
DOD00000960	轻率地忽视现实，不管意图有多好，最终都会导致悲伤和失败。这只是时间问题。
DOD00000961	你对天启追随者有什么看法？
DOD00000962	这取决于你是否认为这个术语能否准确地描述一个人。
DOD00000963	有很多人自称是刺客。如果你相信他们的话，那么莫哈韦就到处都是这种职业。
DOD00000964	但是，大多数这类人认为“暗杀”就是径直走向他们的目标，宣布他们的谋杀意图。然后他们就死了。
DOD00000965	在我看来，他们不过是些毫无价值的暴徒，而不是刺客......不管他们怎么宣称。
DOD00000966	真正秘密而专业地行动的职业杀手是少之又少的，就这样吧。
DOD00000967	所以，你觉得莫哈韦沙漠里有多少刺客？
DOD00000968	你是出于个人原因？恐怕我不能接受你的任何合同。
DOD00000969	我更希望在客户面前保持匿名，秘密传递情报，加密通信...快递。这样对他们和我都更安全。
DOD00000970	但一般来说，我没有固定的价位。这取决于目标。
DOD00000971	某个无名小卒？几百瓶盖。高级军事人员？至少得一千，或者更多。
DOD00000972	金博尔总统？100000以上。
DOD00000973	那么，你的服务收费一般是多少？
DOD00000974	我能吗？绝对的。但我有机会吗？...没有的。我能想到的唯一一个既有动机又有经济能力的就是军团。
DOD00000975	对于一个对社会达尔文主义如此着迷的派系来说，他们相当崇信女人不会杀人的观念。
DOD00000976	这是他们的损失。
DOD00000977	你不会真以为你能杀了金博尔总统吧？
DOD00000978	...不，邮差，我不认为我能杀一个已经死了的人。
DOD00000979	你不会真以为你能杀了金博尔总统吧？
DOD00000980	你在求生方面有非凡的天赋，这对潜在的杀手来说往往是不利的。
DOD00000981	考虑到个人风险，我需要...至少50000，也可能更多，取决于其他因素。
DOD00000982	下次某个业余杀手没能干掉你的时候，搜搜他们的尸体，看看他们会不会把死亡指令放在口袋里......
DOD00000983	更有可能的是，支付的酬金少得可笑，仿佛你还需要进一步证明他们是多么不值钱的杀手。
DOD00000984	假设，杀了我，你会收多少钱？
DOD00000985	我很擅长杀人，雇我的人想让我跟着你杀掉任何想伤害你的人。
DOD00000986	你的敌人我都不怕，而且薪水很不错，足以在很长一段时间内维持我的服务。
DOD00000987	有人要活捉你，邮差。你应该感到荣幸，还是害怕呢？
DOD00000988	我不明白，为什么要雇杀手做保镖？
DOD00000989	如果他们还没有亲口告诉你，我就不去猜测他们的身份和动机了。
DOD00000990	我以前为他们工作过，就客户而言他们很可靠。这就是你需要知道的。
DOD00000991	无关个人，谨慎是我合同的一部分。
DOD00000992	谁雇你干的？
DOD00000993	你可能会惊讶有多少人想把那个爱哭鬼的脑袋插在长矛上。
DOD00000994	伊丽莎似乎有一种错觉，以为她那无数愤怒的意见在别人看来很重要。
DOD00000995	如果一个人抱怨的都是琐事，那就很容易判断出他们的生活是多么的田园诗意。
DOD00000996	你觉得我的其他同伴怎么样？
DOD00000997	这个人喝得太多了。除非必要，我不会依赖她。
DOD00000998	你觉得我的其他同伴怎么样？
DOD00000999	医学专家的知识很管用的，而且这个人似乎很擅长使用能量武器。
DOD00001000	你觉得我的其他同伴怎么样？
DOD00001001	在我和布恩中间，我不认为你会受到别的刺客的威胁。
DOD00001002	如果他想在战后从事暗杀工作，我认为他的技能和气质几乎和我一样好。
DOD00001003	你觉得我的其他同伴怎么样？
DOD00001004	哈，很好，将军！我猜。
DOD00001005	妈的，我本来还想表现得像个傻逼，让你去干这事呢。
DOD00001006	好吧，你说对了，这就是我们总让同一名特工传递信息的后果。
DOD00001007	名字还是摩根，还需要你帮我们做件事。这不是针对个人，我们只是更喜欢谨慎行事。
DOD00001008	我们本来打算给你200块的，我把它加到...假设是800块，工作完成后还会有额外福利。干不干？
DOD00001009	你是莫哈维事务办公室的吗？
DOD00001010	这似乎是违反直觉的，我不知道军团是否像他们宣称的那样务实。
DOD00001011	尼普顿与军团合作，帮助他们对付NCR和炸药帮，然而......看看他们的现在的回报。
DOD00001012	如果军团就是这样回报那些帮助他们的人的，那么他们所侵略的城镇有什么理由不选择战斗到一兵一卒呢?
DOD00001013	你是什么意思？
DOD00001014	明白。
DOD00001015	安静，我现在不想聊天。
DOD00001016	清楚。
DOD00001017	他们看起来就像一支更有纪律的掠夺者团体，我从小就被掠夺者包围着，吊死的尸体是我熟悉的景象。
DOD00001018	我觉得他们更诚实，他们这样做是因为他们觉得有趣，他们从未声称野蛮行为会创造一个更好的世界。
DOD00001019	世界上所有的流血事件都改变不了人性，我认为凯撒没有读对历史文献。
DOD00001020	军团自称是务实的，但他们只是残忍的杀手，仅此而已。
DOD00001021	...所以，军团是由一个孩子指挥的，还是...？
DOD00001022	尼普顿从来都不是NCR的地盘，军团的行为所传达的信息是他们完全不讲道理，纯粹受屠杀的驱使。
DOD00001023	如果有的话，这只会让人们联合起来对抗军团，即使这意味着不情愿地与NCR结盟。
DOD00001024	“NCR可能腐败无能，但至少他们只想向我征税，这比我对军团能说的要多。”
DOD00001025	差不多是这个意思。
DOD00001026	这是在向莫哈韦人传达一个信息，即NCR无法保护他们。
DOD00001027	我知道屠杀背后的原因。
DOD00001028	然而，尼普顿犯下的罪行是为了军团而犯下的，如果这就是凯撒对合作伙伴的回报，那以后没人会这么做。
DOD00001029	在我看来，如果一个被逼到绝境的敌人知道他没有机会逃跑，他会出于怨恨和愤怒而更加努力地战斗。
DOD00001030	尽管凯撒的手段可能很华丽，但他却让征服变得更加困难。
DOD00001031	尽管，我想这已经很明显了，要考虑到有多少军团士兵没有配备精良武器或急救用具。
DOD00001032	这是对尼普顿罪行的惩罚，这是正义，不是屠杀。
DOD00001033	天啊，你这么说也太刻薄了，你说的没错，但太刻薄了。
DOD00001034	你的冒险精神哪儿去了？来吧，现在！
DOD00001035	无所谓，如果你知道莫哈维事务办公室是什么，你就知道我们做了一些看似合理的秘密行动。
DOD00001036	是的，有时候，这意味着我们犯下了不可原谅的暴行，并且对外捏造了真相。最终你会习惯的。
DOD00001037	你是愿意接受这个简单的行动，还是拒绝？就因为曾经隐瞒过我的职业我就是一个卑鄙的人？
DOD00001038	我为什么要为一个刚刚对我撒谎的人工作？
DOD00001039	去一间农舍，最多半个小时的路程，拿点东西回来。一件容易的事。
DOD00001040	除非你接受这份工作，否则我不能透露更多细节，所以...我敢肯定你好奇得要命......
DOD00001041	什么工作？
DOD00001042	好，你完全辜负了我对你的期望...恭喜...？
DOD00001043	很好，出去，白痴。
DOD00001044	不，我不感兴趣，别再联系我了。
DOD00001045	好的，这很完美。
DOD00001046	你要去霍洛维茨农场的一间棚屋，我们正在调查的一名嫌疑人去过那里。
DOD00001047	他可能不会在里面，所以不用担心。但你要留意的是一个灰色的金属公文包，我们知道它就藏在那里的某个地方。
DOD00001048	把那个公文包带来，别让它被枪打中，或者被火烧了其他什么蠢事，把它安然无恙交给我。
DOD00001049	很简单的工作，然后你就能得到报酬。祝你好运。
DOD00001050	好吧，我做就是了。
DOD00001051	这就是我们要搞清楚的，因为我是这方面的上帝。
DOD00001052	一些被加密过的疯子神经病的胡说八道，呵呵。“我太油滑了，NCR永远都不会知道我发现了他们!”你输了,婊子。
DOD00001053	那个该死的黑客费尔德斯坦只想捣鼓这些高科技的东西。嘿，你的机器人现在感觉怎么样，梅尔文？
DOD00001054	等等，你还在这里？滚开，让我工作。去和摩根谈，我们中有些人还真他妈有工作要做。
DOD00001055	所以，这个公文包里到底有什么？
DOD00001056	啐，无所谓，滚蛋。
DOD00001057	阿利克斯，虽然谈话很愉快，但我要向摩根汇报。
DOD00001058	好吧，我现在就说，干得好。
DOD00001059	额外的奖励是我可以告诉你一个小秘密，实际上...我并不是军人。
DOD00001060	不，不，这实际上是莫哈韦事务办公室的行动，这个公文包是借口，只是想看看我们能不能信任你。
DOD00001061	现在，别在意这些官僚主义的瞎闹了，只是走个形式。
DOD00001062	现在，我想我可能有相关的工作，让我看看他们是否把文件转发给我了......
DOD00001063	对的，我觉得你都没告诉过我，我赚了多少钱。
DOD00001064	不用提醒我，我总是留有纸质文件。
DOD00001065	那个公文包的事有点...让我们称之为质量保证测试，以确保你有能力。
DOD00001066	我想我可能有相关的工作，让我看看他们是否把文件转发给我了......
DOD00001067	我记得你说的是800？
DOD00001068	有趣，是什么让大汗帮和恶魔帮打起来的?也许大汗帮试图拯救村民?太晚了，我觉得。
DOD00001069	我已经听说这里发生的事了，让我对自己的方法很有信心。
DOD00001070	没有人会费心进行侦察，收集有关他们的目标是否存在的情报。
DOD00001071	指挥官们不了解地面上的形势，士兵们也不知道自己应该做什么。
DOD00001072	NCR甚至没有将其用于宣传，他们本可以用它来展示他们的力量和冲破任何障碍的决心。
DOD00001073	相反，他们谦恭地道歉并转移责任，他们表现得愚蠢、嗜血、意志薄弱，荒谬。
DOD00001074	我把伦理和道德问题留给哲学家和慈善家。我是一个杀手，我看不出人的生命有什么内在价值。
DOD00001075	这次攻击是否正当与我无关，我简直无法理解他们为何在这么多层面上都失败得如此严重。
DOD00001076	一支有组织的军队意外地屠杀了一个平民村庄，这听起来像是笑话的笑点。
DOD00001077	无所谓了，对过去耿耿于怀是个错误，我们继续好吗?
DOD00001078	听上去你好像很赞同攻击背后的想法，如果不是方法的话。
DOD00001079	我想他们已经在付出代价了，莫哈韦人鄙视他们，他们把自己变成了凶残的征服者。
DOD00001080	对于一个如此热衷于拥护正义和民主重要性的政权来说，这是一个他们永远洗不掉的污点。
DOD00001081	苦泉大屠杀是一场暴行，NCR必须为他们的所作所为付出代价。
DOD00001082	也许，NCR和大汗帮之间的敌意由来已久，双方都伤害了对方，错误取决于你认为谁先让对方见了血。
DOD00001083	我并不特别在意谁先出手，我也不相信任何一方在道义上是正当的。我跟这事一点关系都没有。
DOD00001084	最重要的是，臭名昭著的苦泉事件...大屠杀，不管你怎么称呼它...都毫无意义。
DOD00001085	这是大汗帮自找的，NCR做了必要的事。
DOD00001086	嗯...好像是我的线人走神了。
