SEV00000001	Poncho
SEV00000552	It was some time ago, too. If not for the blessings of the atom, I'd be buried in some simple plot back in California, long forgotten.
SEV00000553	I'm sorry you had to go through that.
SEV00000554	Friend, I'm all seven courses of shit and I'm delicious. You don't even know the half of it. I'm just living to the fullest. You should try it.
SEV00000555	You're a piece of shit.
SEV00000556	[SUCCEEDED] Very well, no point in prevaricating. I... may have pilfered a tiny sum from Bodeen. He overreacted, beast that he is.
SEV00000557	No dialogue, no discourse, just a primitive beating. Forfeiture of shares and banishment would've sufficed. Wouldn't have been my first time.
SEV00000558	No, he made a point to humiliate and degrade me. Like my wife did. You remember how that turned out for her, right?
SEV00000559	C'mon. Don't bullshit a bullshitter. What really happened?
SEV00000560	[FAILED] I'll refrain, thank you very much.
SEV00000561	Tell me your secret and I'll tell you mine.
SEV00000562	Very well. In Utah I spoke with that infamous Booth fellow for a brief moment. Imposing... dangerous... and utterly obnoxious.
SEV00000563	I recall Euripides: "He was a god of words... and words are not enough." I preferred his brother.
SEV00000564	I know you want to finish that sentence. What were you going to say? You can tell me.
SEV00000565	Thank you, but I most certainly will not. I find babyish fits of rage to be very unpersuasive.
SEV00000566	FINISH THE SENTENCE!
SEV00000567	Whoa, he went down hard! Mole rat meat and the Macomber call get them every time! Whoo!
SEV00000568	Ya'll just wandered right up to the bait... almost became bait yourselves. You taking the scenic route or something? Wait, hold on...
SEV00000569	Patrick? Sheriff Walker? What in blue blazes are you doing here?
SEV00000570	I'm here to settle with you, Jed. For Jessica.
SEV00000571	Whoa, whoa. I get it... I do. You see I'm with my wife, right? We got married a few weeks back. She's a civilian, through and through.
SEV00000572	We have a boy, you know? Was shacked up off an on for years. He's damn near four, up at her mama's now. I did it to support them.
SEV00000573	I... I know I don't deserve it... but I'm asking you... let me walk out of here so I can support my family. You'll never see me again.
SEV00000574	Only thing I'm pulling the trigger on is deathclaws so I can put food on the table. Never liked the work with Bodeen. Not going back to it.
SEV00000575	No. You don't get to hide behind your family. Their suffering is on your head. You made your choices, took the easy way with Bodeen.
SEV00000576	Wasn't just me you hurt. I know all about those caravans. The robbing, the raping, the murder. I know what you are... what you'll always be.
SEV00000577	Your wife can walk out of here, which is more than you or Bodeen would've offered. Ma'am, you'd best be on your way home.
SEV00000578	Mister, you don't get tell me what to do. You ain't no law. You don't get to threaten us here. We have laws, judges and courts.
SEV00000579	Jed, I'm staying here with you. You hear that, bushwhackers? I'm not going anywhere!
SEV00000580	Words, words, words. Kill them both and let's go.
SEV00000581	Lee, shut your fucking mouth. Jed, say your goodbyes. Ma'am, go home. Go home.
SEV00000582	Honey, think of our boy. Tommy needs you. I love you. Go. Go now.
SEV00000583	Piss on that. These people are cowards. Just petty bushwhackers. You hear that, you sonofabitch? You need to leave.
SEV00000584	The girl has sand. Do it, I believe in you, sister!
SEV00000585	Ma'am, put that gun down. Put it down and walk away. Jed, get control of her. I will defend myself.
SEV00000586	No, he's gonna hurt us! I don't believe him... he's just another raider, gonna take advantage of us. I won't let him do it! I won't!
SEV00000587	Hey there, hero.
SEV00000588	Lee? What the... uh, Sheriff Walker. What, uh.. what brings you here?
SEV00000589	You know why we're here, son. Got anything to say for yourself?
SEV00000590	Whoa, hold on. I didn't pull the trigger there. Bodeen. It was all him. Shit, I tried to hold him back. I was the only one who stood up to him!
SEV00000591	Lee, you tell him! You remember how it was!
SEV00000592	I recall... a certain lackey who kept his nose right up Bodeen's ass, dawn to dusk. Boy, did you try... even dressed like him. The duster, remember?
SEV00000593	Nah, I suspect you were right there egging him on. "Great shot, Bodeen." That's what you always said, right? Truckling little weasel.
SEV00000594	That wasn't my fault! None of it was my fault! You... you can't do this. I served, remember? Isn't that worth something?
SEV00000595	So did I.
SEV00000596	He doesn't get to walk... live a normal, happy life. No, I won't stand for it.
SEV00000597	I think you should let him go.
SEV00000598	Yeah, I just... no, can't be helped.
SEV00000599	Quit fiddlefarting around and kill him.
SEV00000600	[SUCCEEDED] This doesn't sit well with me... but yeah... you're right. That woman is innocent. Jessica wouldn't want her harmed.
SEV00000601	There will be another time and place. Don't risk killing an innocent. You're better than that.
SEV00000602	[FAILED] Sorry? He can say it to the devil.
SEV00000603	Hey, he said he was sorry.
SEV00000604	I... uh, okay. Yeah, it's the right thing. I'll do it.
SEV00000605	Let him go or the next grave is yours.
SEV00000606	You have... it's just... I honestly don't like talking about it. But you have put your ass on the line for me, so I'll tell you the truth.
SEV00000607	You might've heard Lee call me "Sheriff". It's true, I wore a star for years up in Silver Springs. Was respected, known for being fair... and tough.
SEV00000608	Behind that reputation for toughness was... well, a lot of anger. I wanted all the raiders and scum in the basin to know my town was off-limits.
SEV00000609	It worked well, for a time. But anger is... well, it's a drug. A blinding, intoxicating drug. It was a high for me, tuning up raiders or riff-raff.
SEV00000610	Got to where my own people got to be scared of me. They wanted someone more... amicable, friendly. Voted my ass out.
SEV00000611	I'm putting my life on the line for you. It's important that we trust each other.
SEV00000612	I suspect it ain't your first time killing men for caps, didn't figure you'd be so curious. It is worth killing over, though. Worth dying... for me.
SEV00000613	You might've heard Lee call me "Sheriff". It's true, I wore a star for years up in Silver Springs. Was respected, known for being fair... and tough.
SEV00000614	Behind that reputation for toughness was... well, a lot of anger. I wanted all the raiders and scum in the basin to know my town was off-limits.
SEV00000615	It worked well, for a time. But anger is... well, it's a drug. A blinding, intoxicating drug. It was a high for me, tuning up raiders or riff-raff.
SEV00000616	Got to where my own people got to be scared of me. They wanted someone more... amicable, friendly. Voted my ass out.
SEV00000617	If this is worth killing men over, I'd like to know the reason why.
SEV00000618	Town put a politician in charge, real friendly... people person. I could've stayed on as a deputy, but... couldn't do it.
SEV00000619	Because I was stubborn, refused to work as a deputy... my wife took up a position as a clerk at the bank, just to keep us afloat.
SEV00000620	Bodeen and his boys hit the bank... Jessica was the only one that stood up to them. She was stubborn... strong. So they killed her.
SEV00000621	Bodeen executed her... that's why I'm saving him for last. Might be another grave after his. That's what I deserve, anyway.
SEV00000622	Go on, I'm listening.
SEV00000623	Yeah. I figured as much. Let's get back to work.
SEV00000624	<Yawn>
SEV00000625	I had a hand in it, to be sure. Even if I were just a deputy, presence alone might've deterred Bodeen. But I had to be cock of the walk.
SEV00000626	Well, doesn't matter. They're getting me now. I'll hunt Bodeen all the way to Baja if I have to.
SEV00000627	That wasn't your fault. Bodeen and his men did this, and they're going to pay.
SEV00000628	It was the best part of the job when I had the chance to do it... which was rare. More often than not I was corralling drunks.
SEV00000629	Hard to think about right now. I've been so focused on this... sad part is that it's given me real purpose for the first time in years.
SEV00000630	Hell of a thing to admit... I've been a better husband to Jessica since she's been dead than I ever was while she was alive.
SEV00000631	Maybe... maybe I will start over. Figure some of these frontier towns can use a lawman. No point dreaming right now, though.
SEV00000632	You can still help people after all this is done. Go someplace new and start over.
SEV00000633	Yeah, outright giving up doesn't sit well with me. I just don't know what I'll do after this... if I'll be worth a damn at honest work.
SEV00000634	That's a problem for tomorrow, frankly. Right now let's focus on killing these bastards.
SEV00000635	I pictured you as more of a fighter. Don't see you giving up after this.
SEV00000636	Maybe. Maybe not. We'll see.
SEV00000637	Do it. I'm not sure if you can come back from something like that.
SEV00000638	Waiting for the next job. Gonna be guarding a caravan from here to the Mojave Outpost. Might get hairy. Good thing they have me watching them.
SEV00000639	Talk to Alice if you're looking for work. She's been fair with me from day one. Not too concerned about past employment, if you know what I mean.
SEV00000640	What are you doing here?
SEV00000641	Let's just say that you learn a lot about guarding caravans once you've... been on the other side of things.
SEV00000642	Nothing too crazy, certainly never hit Crimson Caravan or any of the other big players. Just small stuff. You learn what not to do.
SEV00000643	What kind of "Past Employment"?
SEV00000644	It was all outside NCR, way up in the Great Basin. Different world up there. Towns and warlords fighting, everyone is raiding each other.
SEV00000645	Look, I'm no angel, but I never got mixed up in hurting citizens... except maybe once. Part of the reason I'm down here.
SEV00000646	No, I figure it's best to leave that part of my life behind and play it straight for a while. Plenty of caps to be made down here.
SEV00000647	You seem pretty open about your past.
SEV00000648	Okay, I'm listening.
SEV00000649	I might have an interesting business proposal for you.
SEV00000650	Goddamn right I served. I was a combat culinary specialist. Basically infantry.
SEV00000651	I fought the Legion at Parker Dam. Killed a centurion in single combat. Would've gotten a battlefield commission... but I got fucked over.
SEV00000652	Just be aware... if we work together, sometimes I get flashbacks... and snap! I'm back there fighting!
SEV00000653	[He produces a knife and waves it erratically for several moments. This is an intensely-choreographed yet wholly unimpressive performance.]
SEV00000654	That's how I fucking do it, man. I just see fucking red and I go! Raiders won't fuck with us. Legion? Fuck no, they see me and they run.
SEV00000655	You're a veteran?
SEV00000656	Whoa, say what? Who you been talking to? What did they say?
SEV00000657	That's interesting. I heard a different story about your enlistment.
SEV00000658	[SUCCEEDED] Who... who the fuck told you that? I'm a hero, goddamn it! A hero! I'm not gonna take this shit!
SEV00000659	<Provoke.> I heard... you gargled your own piss and ate cigarettes so you could fake an illness.
SEV00000660	[FAILED] Yeah, you're welcome. Thank you for recognizing my sacrifices.
SEV00000661	Nevermind, thank you for your service.
SEV00000662	Okay, but you better not be fucking with me. It was goddamn Sergeant Parker, wasn't it? Fucking bully! Smoke me? I'll smoke you!
SEV00000663	I'll meet you outside. I'm gonna have words with whoever is spreading this bullshit!
SEV00000664	I can't say it here. Meet me outside and I'll tell you.
SEV00000665	Hey, put that shit away. Of course I'm interested. I'll buy it in bulk if you got it. Meet me outside. Fucking discretion, man.
SEV00000666	<Show Psycho> I got a strong supplier if you're in the market.
SEV00000667	Marvin? Don't know him. I can be your Marvin if you need. Got a homemade strap-on that I can lube up for you. Fifty caps and I'm yours, sugar.
SEV00000668	I'm looking for a guy named Marvin. You seen him?
SEV00000669	Yeah, it's some Da Vinci shit. Rebar core with a rubber exterior, firm and girthy. That's how you like it, don't you?
SEV00000670	[She thrusts her hips in a suggestive manner while licking her lips. You notice droplets of an unspecified bodily fluid on her clothing.]
SEV00000671	How about it, honey? You need mama to take care of you and your friends? They can play too, even the ghoul. I don't discriminate.
SEV00000672	A homemade strap-on?
SEV00000673	Don't be a stranger.
SEV00000674	No thanks.
SEV00000675	Silver wagons in the stars... bright... warm light. Then I was up there. They poked me! Put things in me! Nobody believes me! Do you believe me?
SEV00000676	They? Who are you talking about?
SEV00000677	Then you get it... maybe you've seen them. They're everywhere, you know... gotta have special glasses to see them. Magical glasses.
SEV00000678	I had 'em, but an invisible man stole 'em from me. Asked him his name. "Nobody," he said. Look out for an invisible man with sunglasses!
SEV00000679	Sure, I believe you.
SEV00000680	He knows too much... seen even more than me. He stays hidden so they can't catch him or probe him again. Wish I had those glasses...
SEV00000681	I'll do that.
SEV00000682	I knew a Marvin. We served together in Baja. Machine gunner. Funny guy, liked to tell jokes. They blew his brains out all over the Pacific.
SEV00000683	I'm looking for a guy named Marvin. Have you seen him?
SEV00000684	Don't know any Marvins in Freeside. I know an Al. Is that you, Al? It's been a long time, but I remember everything... I was there!
SEV00000685	I remember how you shot those kids and laughed... how you sang those songs. I'll never forget that laugh. I still hear it at night. I can't sleep.
SEV00000686	You thought I was gone, didn't you? I never left, Al. Just went away for a while... I'm... I'm just getting warmed up!
SEV00000687	Sorry about that. The Marvin I'm looking for is a young man, should be here in Freeside.
SEV00000688	Could be Al in disguise. He has many names, you know. Fancied himself a doctor at one point. Killed all his patients. Stay. Away. From. Al.
SEV00000689	If it ain't Al... the boy might know. Stays by the big gate with the robots. He's a survivor. Escaped a madman's dungeon, that's what I heard.
SEV00000690	I'm a survivor, too! Survived two enlistments! Why did I re-enlist? Because of brain damage, that's why! Used explosives. Broke my brain.
SEV00000691	So... you don't know Marvin?
SEV00000692	My pleasure. Have you ever seen what a shaped charge does to a child's skull? Perfect. Circle. That's what it does. It's a work of art.
SEV00000693	Saw Al do it, back when he had the full team. Amazing chemistry. Killed a lot of bad men. Women and children, too. Those were the days.
SEV00000694	I lost my way, Al. I wandered far and wide. Saw things you can't imagine. I found myself out there... something snapped in me.
SEV00000695	I had to come back... back to Vegas. I'll never leave... not until I'm dead or the sky wagons snatch me... or I get recalled to active duty.
SEV00000696	Thanks for the information. I should be going.
SEV00000697	Because it's time. They thought we were finished. Nothing is finished. Find them, bring them back. You'll need them all!
SEV00000698	I had a vision up in that sky wagon... I saw the future. There's gonna be enough blood for ten lifetimes, Al! You'll need everyone!
SEV00000699	They told me to leave this town, called me crazy. Said I was old, done, washed up. I won't do it, Al. By God, I'm gonna light this town on fire!
SEV00000700	Why are you telling me this?
SEV00000701	[He gulps down a clear liquid from a liquor bottle.]
SEV00000702	That's my help. Know why? It's water. Pure, high-quality H20! I gave up drinking, Al! It's a miracle! I'm renewed... effervescent!
SEV00000703	They thought I was crazy before... I was just drunk. You're gonna see both barrels filled with batshit crazy soon. Mark my words, Al.
SEV00000704	I think you should get some help.
SEV00000705	Oh, you gonna fucking make me? I'll talk how I want to any roaming cockwagon in this town, got it? I'm gonna run Freeside one day!
SEV00000706	High and mighty ass... I just had radroach for dinner! You gonna preach about cussing when I'm missing meals? Being hungry fucking sucks!
SEV00000707	And don't give me that do-good bullshit about "Profanity is a sign of bad character." Last night a hobo tried to molest me! That's bad character!
SEV00000708	You should watch your mouth.
SEV00000709	Relax? I don't think so. Know what I've had to do to survive up here? I fucking escaped a dungeon. A fucking crazy man locked me in his dungeon.
SEV00000710	Me and a bunch of other kids, all locked up. Enslaved. Think I survived by talking pretty and being polite? Fuck that. Bet your ass I'm mean.
SEV00000711	Next asshole who tries to throw me in a dungeon is getting it, and I'm talking about next-level shit!
SEV00000712	[He demonstrates his ability with the knife by performing a series of swift yet smooth slicing motions. He is clearly adept with the blade.]
SEV00000713	Relax, I didn't mean to offend you. I'm just trying to find Marvin.
SEV00000714	Oh, you're one of those types. Listen up, perverts. Any of you try to touch me and I'll stab you right in the feminine artery.
SEV00000715	You might get me in a rush, but one of you is gonna bleed out here. You wanna fucking try me? C'mon! Let's go!
SEV00000716	I'm looking for a guy named Marvin. You know him?
SEV00000717	Wait, you're just here to kill people? Shit, why didn't you say so? One hundred caps or three cartons of smokes. That's the going rate.
SEV00000718	Whoa, it's not like that! We're trying to track down Marvin's boss so we can settle a score.
SEV00000719	Caps or smokes. What's it gonna be?
SEV00000720	I'd like to get information on Marvin's whereabouts.
SEV00000721	Smooth and mild, just how my clients like 'em. Gonna get a nice return on these. Marvin likes to camp out by the old watchtower back there.
SEV00000722	Obvious ruse, offering sandwiches and candy. Just... hurt him for me, okay? He took one of my friends who was hungry. Make him bleed.
SEV00000723	<Give three cartons of cigarettes> Here you go.
SEV00000724	Nice doing business with you. Marvin likes to camp out by the old watchtower. Paid off some of the Kings and guards, slips in and out at night.
SEV00000725	Obvious scam, offering food and candy. Just... hurt him for me, okay? He took one of my friends who was hungry. Make him bleed.
SEV00000726	<Pay 100 caps> Here's the caps.
SEV00000727	Hey, thanks. I practice everyday. This little baby has saved my hide... and other things... more than once.
SEV00000728	Tell you what... out of professional courtesy, I'm gonna hand you Marvin. He likes to camp out by the old watchtower back there.
SEV00000729	Obvious ruse, offering sandwiches and candy. Just... hurt him for me, okay? He took one of my friends who was hungry. Make him bleed.
SEV00000730	Not bad. You've got real talent.
SEV00000731	"It looks sharp." That's more than I can say for you, dumbass. Better believe I keep it sharp. Saved me more than once.
SEV00000732	Creepy-ass old man says, "Come here, little boy. I got a present for you." Tries to grab me... Pow! Right through the Antilles tendon!
SEV00000733	So, yeah... knives are good. Sharp knives are gooder. Got it? Good.
SEV00000734	That looks sharp. You should be careful.
SEV00000735	Wait, you want me to play some raggedy-ass victim? "Mister, I'm so hungry, of course I'll follow you into the dark alley." Like that?
SEV00000736	Look, I support what you're doing, so I'll give you a discount: two hundred caps. I'm a professional, and you get what you pay for.
SEV00000737	We need you to act like a captive so we can break into a dungeon and kill a guy.
SEV00000738	Finally come around? Not a lot of willing or able actors of my caliber wandering around Freeside. Let's see the caps.
SEV00000739	I'd like to discuss hiring you to act as a captive.
SEV00000740	Don't mention it. Beats hunting rats and stabbing bums. Guess it's back to the old routine in Freeside.
SEV00000741	This little outing got me thinking... might be fun to see some other places. What do you think?
SEV00000742	Thanks for all your help, but I think it's time for you to go home.
SEV00000743	Remember, kids - I'll have more food for you tomorrow. I might even have some chocolate, so bring your friends!
SEV00000744	Fowler? I don't know any Fowler. I'm a local, see. I'm just here to help out these kids.
SEV00000745	I'm looking for information on your boss, Fowler.
SEV00000746	[He recoils from the blow and then doubles over, unable to breath. It takes him several moments to compose himself.]
SEV00000747	Okay, okay! He... he's at the hideout by the Northern Passage. Calls it "The Junction". Ships most of their kids up north.
SEV00000748	Wait! You'll need me to get in. I have to escort you... unless you've got a kid to sell. Give me a moment and I'll take you there.
SEV00000749	<Punch him in the liver> This is just a taste of the pain I can dish out. Give me Fowler.
SEV00000750	Uh, uh, uh... he, he's at a place. It's called "The Junction". By the Northern Passage. All the kids are there. Ships them north. Lots of buyers.
SEV00000751	Need me to get in, unless you're bringing a kid to sell. Can't get in if you kill me, okay? Please don't hurt me. I'm just doing my job!
SEV00000752	Give me Fowler or I'll hang you from that overpass and empty your guts out for the rats to eat.
SEV00000753	Hey, that's a serious accusation! You are way off-base. I'm a resident of New Vegas. I'm taking time out of my day to help these kids.
SEV00000754	This... this is a paranoid delusion. Go play vigilante with someone else. I wouldn't hurt anyone.
SEV00000755	I know you're taking kids to Fowler. Tell us where he is and you might live to see tomorrow.
SEV00000756	Then you understand. We're just meeting the desires of our clients, nothing more. Who's to say that one desire is worse than the others?
SEV00000757	Fowler runs a hidden pleasure den to the north, "The Junction". We keep the property there before shipping most of them up north.
SEV00000758	You'll have to have me escort you if you want to get in. Otherwise you have to bring captives to sell. Only children. Extra for redheads...
SEV00000759	We all have our hidden urges. I just want to talk business with Fowler, nothing more.
SEV00000760	[SUCCEEDED] Okay, okay. Can't be too careful with all these do-gooders around. Bad enough I have to pay off these local hoodlums.
SEV00000761	Fowler runs a joint called "The Junction" up by the Northern Passage. It's well-hidden. Entrance is very secure.
SEV00000762	You'll need me to escort you unless you're bringing a live captive. We can head that way as soon as you're ready.
SEV00000763	<Lie> Marvin, it's okay. We're not here to hurt anybody. We just want to talk business.
SEV00000764	[FAILED] Uh, I don't know what you're talking about... furthermore, your argument is... flawed.
SEV00000765	Kids these days are lazy. Spending time in slavery will instill a strong work ethic.
SEV00000766	Born here, fucker. Mom left me with the Followers and they did their best. I'm just too much of a badass for those nerds.
SEV00000767	Got enslaved for a bit but eventually escaped. Seen a lot of my friends get snatched up over the years. They just disappear.
SEV00000768	How'd you end up in Freeside?
SEV00000769	Yeah, more or less. Weren't no collars or chains but that's what it was. Called it indented certitude or something... but it's slavery.
SEV00000770	Head honcho guy was easily distracted, so I slipped away first chance I got. Some others might've gotten out, too. Heard shotgun blasts as I ran.
SEV00000771	Funny... the thing I remember is the singing. Whenever I stab a hobo... I imagine it's him. It makes the voices quiet for a little while.
SEV00000772	You were enslaved?
SEV00000773	[SUCCEEDED] Okay, okay. Never let it be said that Ronaldo doesn't help his friends, okay? They won't suspect a thing, I promise.
SEV00000774	The world is minus one Marvin thanks to us. How about a gesture of friendship?
SEV00000775	[FAILED] Hell no, most of those little bastards are my competition! I'm scrapping day and night just to get a piece of rat.
SEV00000776	Don't you want to help save your friends?
SEV00000777	I'm a fucking bargain, you'll see. "Mister, I'm so lonely. Please take me back to your dark dungeon." Then we'll butcher those perverts!
SEV00000778	<Pay 200 caps> Here's the caps. You better be worth it.
SEV00000779	I like your moxy. Gonna kill my margins, but since it's for a good cause... fine, I'm in. Now let's go stab some perverts!
SEV00000780	I know you want to knife these bastards. You should be paying me. Make it a hundred.
SEV00000781	Most of these kids are idiots or downright feral. Good luck catching them, much less having a conversation.
SEV00000782	Yeah, go ahead with that. Try the crier twerp. He pisses all over himself when he's nervous, not to mention he shrieks. High quality.
SEV00000783	I bet one of these other kids would do it for less. Fifty caps is my final offer.
SEV00000784	Not a redhead, so it's standard rates. Special client likes the gingers. We got booze and chems, so make yourself at home...
SEV00000785	Get ready to bleed, perverts!
SEV00000786	Why in the sweet cinnamon fuck would I do that? I'd be bored out of my mind sitting around in that crappy, old fort.
SEV00000787	I think you should join the Followers and get an education.
SEV00000788	I, uh... yes, yes! I'll do it! I'll hit the books, no acting up! I swear on my mama's grave!
SEV00000789	Start studying with the Followers or I'll beat your ass like I was your daddy.
SEV00000790	I, uh... yes, yes! I'll do it! I'll hit the books, no acting up! I swear on my mama's grave!
SEV00000791	Start studying with the Followers or I'll beat your ass like I was your momma.
SEV00000792	[SUCCEEDED] Well... okay, I'll give them another shot. I'll try to be... less bad. I won't stab anyone, but no promises on fistfights!
SEV00000793	Stay hard and keep killing perverts for me.
SEV00000794	Freeside is a dead end. The Followers are your best ticket out of there.
SEV00000795	[FAILED] Bullshit. Virtue is not a reward. Rewards are the damn rewards! I want caps! Dinner that isn't roaches or rats! That's a fucking reward!
SEV00000796	The Followers will help you lead a virtuous life, and that is its own reward.
SEV00000797	Yeah, I'll do that. Thanks for the advice. Never pictured myself tied to one place anyway. Don't go getting soft. No mercy to perverts.
SEV00000798	The world is a lot bigger than Freeside. Hit the road and don't look back. You'll be fine.
SEV00000799	Well... thanks? Fuck it, I had fun. Good luck with your killing spree. See you around.
SEV00000800	Not my problem, kid. Do what you want.
SEV00000801	Lee, is that you? What are you doing here?
SEV00000802	Anne, I... just didn't expect to run into you. I'm... uh, I'm helping a friend.
SEV00000803	Really? Well, I... that's good to hear. As for me... I got caught trying to bust these kids out. Thanks for freeing them... and me.
SEV00000804	Couldn't get the Kings or anyone from NCR to lift a finger, so you know me... had to do something. Not as sneaky as I used to be.
SEV00000805	Kids have been going missing for months. It's tough. We could sure use your help back in Freeside. You were always a good teacher, Patrick.
SEV00000806	I... I, uh... there's no chance, Anne. Not after all I've done. You don't even know the half of it. Can't go back to it.
SEV00000807	I know you're not an angel, Patrick. Most of that was so long ago that the smoothies wouldn't remember. I know you aren't all bad inside.
SEV00000808	Whatever you've done, I'd certainly be willing to forgive you if you started clean. You ain't Edward Sallow, honey. Help others and you'll heal.
SEV00000809	I... I wasn't ready for this. To see you, to hear this. Truth is... hard to forgive myself, not sure if I could do it.
SEV00000810	Even if... I got pressing business with these folks. Probably won't see you again, Anne. Please stay safe... and don't do this again.
SEV00000811	Forgive as the Lord forgave you, Patrick. Don't forget it. I... I still think of you. Stay safe.
SEV00000812	Goodbye, Anne.
SEV00000813	I'd appreciate it if you didn't mention that conversation to anyone, especially Walker.
SEV00000814	Anne, a scientist I worked with... closely. She was at the dig site when I got exposed... nursed me as I inched ever so closely to death.
SEV00000815	She brought me back, convinced me to keep living even after the change. I... I cared about her. Goddamn, I wish I hadn't seen her.
SEV00000816	It's as if I accidently opened the page on an old book I'd closed long ago... looked right into a life I left behind. She saw right through me.
SEV00000817	I'd rather tap dance through the Divide than have to look her in the eyes again. Damn it all to hell.
SEV00000818	Who was she?
SEV00000819	No. You don't come back from this, from what I've done. I made my choices, I own it. But... maybe... can't afford to think about it.
SEV00000820	We got no time for this navel-gazing nonsense. There's a job to do, and only two of us are walking away from it.
SEV00000821	She's right. Behind all the bluster and bravado there's still good in you. I can see it.
SEV00000822	Don't I know it. What's the line? “You will always be fond of me. I represent to you all the sins you never had the courage to commit.”
SEV00000823	That's goddamn right, and I plan to keep it that way.
SEV00000824	I damn sure won't be trusting you. Once an outlaw, always an outlaw.
SEV00000825	Right as ever. There's more blood to spill and a pot of gold waiting at the end of this journey. Lead on.
SEV00000826	I'll respect your privacy. In the meantime, we need to focus on the task at hand.
SEV00000827	Thick, powerful strokes. Full bodies in motion. Quivering sinews. Violence. Beauty. God. It's all there.
SEV00000828	Are you a thief or an assassin?
SEV00000829	How droll. A thief and a murderer. I suspect you didn't come here of your own volition. I'm hardly a known item. No, someone sent you.
SEV00000830	Long list of potential sponsors. The Peeps? Too cheap. Bodeen? No, you're not one of his usual toadies. Walker? No. He was broken.
SEV00000831	[He takes a moment to scan your face. His expression twists into a sardonic grin when he makes his conclusion.]
SEV00000832	It is Walker. Pure vengeance made manifest. I love it. I suspect you want to avoid trouble with Marcus. Commendable. Take me to Walker, now.
SEV00000833	Yes?
SEV00000834	These are all reprints, sadly. Why here? Why me? There is nothing of value... no, I can smell the lies from here.
SEV00000835	The question is which of my old employers wants to do away with me now? Robert is long gone, along with Richter. Not Bodeen. Too soon.
SEV00000836	This isn't about money... it's pure, cold-blooded revenge. Walker, I suspect. Justifiable. He'll be direct, brutal. I can't wait. Take me to him.
SEV00000837	<Lie> Thief.
SEV00000838	"But when a god sends harm, no man can sidestep it, no matter how strong he may be." I won't shirk a fight to the death. I welcome it.
SEV00000839	But you... you're not acting alone. Who's the puppeteer? The Booths? Dead. Richter? Dead. Gray? No, I'm too valuable. This isn't about money.
SEV00000840	Either you're a suicidal maniac... or you're helping Walker. He would do it, wouldn't he? And he'd be right. I look forward to it. Take me to him.
SEV00000841	Assassin.
SEV00000842	<Laughter>
SEV00000843	You... you are as much an art dealer as I'm president. God, I needed that. Thank you. So, you're here to kill me, I presume?
SEV00000844	Let me guess... The brothers? No. El Reloj? Too far. Dickman? Possible, but not her style. The others are dead or gone east. No, this is personal.
SEV00000845	That narrows it down. Walker. An avenging angel in the flesh. He must be impressive now, reborn in pure rage. I have to see it. Take me to him.
SEV00000846	<Lie> Neither. I'm an art dealer.
SEV00000847	Attempted assassinations are routine for me. I've ripped off barons, senators and warlords from here to Tacoma.
SEV00000848	I stole an eagle from the Legion garrison in Kingman. A frumentarius tracked me down. I plucked out his eyes and sent him back. Like Basil.
SEV00000849	Their hit squads still harass me from time to time when I'm travelling. Once butchered an entire caravan I was accompanying. Poor souls.
SEV00000850	There's also a wealth of psychopathic employers who'd love to have me erased. I can blackmail them all, of course. Very unforgiving people.
SEV00000851	You seem unsurprised that someone is here to kill you.
SEV00000852	Recovering and preserving art is my great passion, at least since I left the Master's service so long ago. I steal it if necessary.
SEV00000853	Often you can find these reprints and other antiquities adorning the musty lodge of an illiterate warlord. Even the simplest minds recognize beauty.
SEV00000854	I simply pluck them away to safety. I have a great collection in safe keeping. These are just my personal favorites from decades of... acquisition.
SEV00000855	I hope to pass this collection to the Followers or some other responsible entity after I'm gone. Beauty will save the world.
SEV00000856	How'd you manage to collect all those paintings?
SEV00000857	Ah, Peter. My closest friend. I found him as a wandering, half-starved pup after his mother perished. Oh, he was a pitiful sight then.
SEV00000858	An unruly indigent wanted to eat him. I smashed his head with a rock and let Peter feast on his brains. I believe it enhanced his cognition.
SEV00000859	He's utterly loyal and a good companion, though combat is not his forte. More of a spectator than participant. Good nose, though.
SEV00000860	What's with the coyote?
SEV00000861	I enjoy stealing things. The challenge of remaining unseen... taking what I want with none the wiser... it's indescribably gratifying.
SEV00000862	Bodeen may look the mindless thug, but he's a shrewd organizer and he pays well. He's also loyal, at least by criminal standards.
SEV00000863	He hired me for my expertise and honored the deal. Even paid a bonus. Fair man, though he could be... intemperate. Sensitive to criticism.
SEV00000864	I suspect that's why he shot Walker's wife. God, what a battle axe. Cursed the man in English and Spanish so badly that it made me blush.
SEV00000865	Some men would've ignored it... but Bodeen... well, I estimate he viewed it as an affront to his delicate ego. Childish in hindsight.
SEV00000866	Walker's entitled to kill all the robbers, of course. I'll make no excuses. I was there. That's the life we chose, with its uncaring consequences.
SEV00000867	How'd you get mixed up with Bodeen?
SEV00000868	Many of them are deceased or wandered away, reduced to myth. Take Robert, for example. Charming man, blessed with a green thumb.
SEV00000869	I worked for his organization sporadically, made a good sum. They just... collapsed one day. Rumors abound. Probably infighting.
SEV00000870	That's the thing with these criminal groups. All the furtive conspiracies and profiteering can be undone in an instant when egos collide.
SEV00000871	I hear stories, though. The strangest... is that Robert escaped the calamity and walked east, only to be enslaved. Terrible fate. I hope he's well.
SEV00000872	Who were some of the past employers you mentioned?
