OWB00000001	GREETING
OWB00000686	I have 211 doctorates in both applied sciences and techniques to apply those sciences. I also possess a degree in Curiosity and Advanced Curiosity.
OWB00000687	That is merely schooling, however. When possible, I prefer field work and observation to holotape eidetics. It has proven useful, especially now.
OWB00000688	I have become the expert on humanology and Lobotomite behavior here at Big MT. My research doesn't descend into formography, it is only Science.
OWB00000689	Not right now. I have questions instead.
OWB00000690	Not exactly. I have questions I need answers to.
OWB00000691	How randomized. Ask your... questions then.
OWB00000692	An interrogation. How fascinating. Please begin.
OWB00000693	Perhaps you are stuck in a looping gesture of verbal intercourse.
OWB00000694	Oh, and... here's a tip. That's customary, isn't it... been so long, really.
OWB00000695	B-b-bloop. Buuuuh-buh-bloop.
OWB00000696	B-b-bloop. Phew. Last little bit there. Ahhh. Hooo.
OWB00000697	Mmmmm. Thank you, Lobotomite. Please... you must come back for further study when I've had a rest. I'm a little sensitive right now.
OWB00000698	What happened with the visitors?
OWB00000699	Ask Doctor O... and you could have asked 8 once, until he was severely damaged in the attack. We like him better this way.
OWB00000700	What was the question?
OWB00000701	I do not know, nor should we try to access it. Perhaps Klein has the logs.
OWB00000702	My evaluation would be to let your own curiosity go. I do not think that Klein remembers the conversation as being satisfactory.
OWB00000703	I had other questions.
OWB00000704	There was another Courier?
OWB00000705	Of course. You must have met others in your travels. This one had met other couriers, too, although it sounded as if he hadn't met the correct one.
OWB00000706	He asked us all many questions, and then he asked a most perplexing one... we had to segment the event out of our memories for safety.
OWB00000707	I'm sometimes called a "Courier."
OWB00000708	Oh, a mailman. A delivery man. Someone who takes parcels from place to place using their primitive feet or similar conveyance.
OWB00000709	You are the second one I've met in recent times. Very different specimens.
OWB00000710	X-13 breached? No... even that stealth suit won't hide you from my Robo-Scorpion army. Sting the intruder, my pets! Sting them until they are stupid.
OWB00000711	So... you recovered the Sonic Emitter schematics - or was it the frequency? No matter. It'll broadcast your screams as my Robo-Scorpions destroy you!
OWB00000712	Dr. Mobius' message - can you replay it?
OWB00000713	IF YOU MUST. HE'S CLEARLY DERANGED. ALL RIGHT, WHERE IS THE INFERNAL PLAY BUTTON? AH. HERE.
OWB00000714	If it isn't my old colleagues, the mighty "Think Tank" of Big MT. Big fools, all of you.
OWB00000715	It is I, Dr. Mobius, transmitting from my dome-shaped... dome in the Forbidden Zone. A zone... that is, yes... forbidden to you.
OWB00000716	Even now, my deadly Robo-Scorpions swarm across Big MT with their pincers and pointy laser tails. Soon, all Science will be mine.
OWB00000717	Even the technologies sealed in the Big MT research centers cannot save you. So cower in your "Think Tank." Wait, for the end.
OWB00000718	That's all.
OWB00000719	Goodbye.
OWB00000720	Oh, is someone playing with the power...? My X-42 Giant Robo-Scorpion lives AGAIN!
OWB00000721	Oh... it looks like the target drones got activated and - oh, how cute, they're engaging the X-42 Giant Robo-Scorpion. Let's see the shrapnel fly!
OWB00000722	Test data processed... Firmware updated to version 1.1. Boot Damping Sensors online.
OWB00000723	Test data processed... Firmware updated to version 1.2. Aural Subnet online.
OWB00000724	Test data processed... Firmware updated to version 1.3. Torso fitment synced to user's physiology.
OWB00000725	Test data processed... Firmware updated to version 1.4. Impulse Accelerator online.
OWB00000726	Test data processed... Advanced Optics Online.
OWB00000727	The ton of things sounds good.
OWB00000728	[SUCCEEDED] AGAIN, THE LOGIC OF THE REQUEST IS CLEAR. TONNAGE IS NOT NEEDED, ONLY ADEQUATE WEIGHT. EVERYONE, DISPLAY YOUR THINGS.
OWB00000729	Hold on, let's be logical about this. I don't need a ton, just as much as I can carry in trade.
OWB00000730	[FAILED] NO. IF THOSE DON'T WORK, THEN YOU WILL HAVE TO SELL IT YOUR NOSE OR SOME OF YOUR PENISES.
OWB00000731	Still feels a little light. Might need a little more.
OWB00000732	[SUCCEEDED] IF I WERE NOT AS INTELLIGENT AS I AM, I WOULD FEEL AS IF PERHAPS I AM BEING TRICKED. UNPOSSIBLE. O - MORE.
OWB00000733	I'd hate to come back and ask for more. A little extra would guarantee you're not disturbed.
OWB00000734	[FAILED] NO. IF THOSE DON'T WORK, THEN YOU WILL HAVE TO SELL IT YOUR NOSE OR SOME OF YOUR PENISES.
OWB00000735	Um... excuse me, do you have any more?
OWB00000736	[SUCCEEDED] AGAIN, YOUR LOGIC IS UNASSAILABLE IN ITS SIMPLISTIC NEED. O?
OWB00000737	This amount clearly represents a deficiency in the amount of caps needed.
OWB00000738	[FAILED] NO. IF THOSE DON'T WORK, THEN YOU WILL HAVE TO SELL IT YOUR NOSE OR SOME OF YOUR PENISES.
OWB00000739	Did you say "barter?"
OWB00000740	[SUCCEEDED] I CANNOT DISPUTE YOUR LOGIC. DO WE HAVE OBJECTS TO ACTIVATE THE CHIP'S EXCHANGE ROUTINES?
OWB00000741	I can trade with the Sink Intelligence? Then I'll need something to activate that function, won't I?
OWB00000742	[FAILED] NO, O DID. HE FAVORS THAT ARCHAIC TERM OF COMMERCE. I SEE NO NEED TO ELABORATE ON SUCH DATED METHODS OF MATERIAL GAIN.
OWB00000743	Um... before I go "reclaim" this tech, are you sure your plan will work?
OWB00000744	[SUCCEEDED] THE PLAN IS VERY COMPLICATED. WE ARE STILL CALCULATING HOW IT WOULD WORK IF IT SUCCEEDED. THAT IS OUR PART OF THE PLAN.
OWB00000745	What exactly is the plan? You're losing me in the generalities, I need specifics.
OWB00000746	[FAILED] WE ARE ALWAYS SURE IN WHAT WE DO. YOU MUST BE SURE IN WHAT YOU DO. WHICH IS GETTING THESE TECHNOLOGIES FOR US.
OWB00000747	You extracted my brain... but what do you mean, "misplaced" it?
OWB00000748	If you ripped out my brain, where the hell is it?
OWB00000749	You took out my brain, heart, and spine?
OWB00000750	THAT AUTO-DOC-JUNKHEAP WAS ONE OF MOBIUS' CREATIONS, LIKE THE REST OF THE TALKING SCRAP METAL IN THE ATTIC.
OWB00000751	*After that, the brain lost itself - not in the metaphysical sense. Might have gotten flushed into one of the pipes. Actually, that's pretty likely.*
OWB00000752	-If so, it was FLUSHED all the way to MOBIUS! Fwooooooosh! That... is the sound of FLUSHING.-
OWB00000753	BY THE FISSURE OF ROLANDO... ENOUGH OF THIS BIOLOGICAL SURGERY TALK.
OWB00000754	LOBOTOMITE, LISTEN TO MY VOICE. IT DENOMINATES ME TO ASK, BUT... WE NEED YOUR HELP.
OWB00000755	IN MOST PROBABLE OF PROBABILITIES, OUR ENEMY, MOBIUS, HAS YOUR BRAIN. THIS IS NOT GOOD. HE WILL MOST LIKELY COME AFTER OUR BRAINS NEXT.
OWB00000756	WE WANT YOU TO STOP HIM. SOMEHOW. WITH SCIENCE.
OWB00000757	To be correct, you should say, "the Auto-Doc" took out your brain. It did all the heavy lifting. It has never worked so hard before. It was unusual.
OWB00000758	It worked so hard on your surgery, it destroyed its own memory. Zzt. How odd. I bet your brain remembers what happened.
OWB00000759	How much surgery did you do on me? I feel like a badly-put-together jigsaw puzzle.
OWB00000760	That is my responsibility.
OWB00000761	Although in truth, the Auto-Doc had done most of the work already. Quite industrious, almost cut into all my investigations.
OWB00000762	Once it had removed the brain and I misplaced it, other organs began to cry for direction using your nerves as telegraph wires.
OWB00000763	Rather than let them send their signals, I removed them as well. Shhh, little organs. Go to sleep in your tanks, Dala loves you.
OWB00000764	-First, was the HEART!-
OWB00000765	@@[*.......]@@... @@[$((*&^#%]@@.
OWB00000766	-Wait, I mean... SECOND was the heart. Brain was first. THIRD... was the SPINE.-
OWB00000767	*Spine. Totally overrated, that arrangement of vertebrae.*
OWB00000768	*"Look at me, with my lumbar and thoracic curvature." Never had a use for any of that. Spineless is what I prefer.*
OWB00000769	Why am I all cut up? I feel like some kid was playing with my insides.
OWB00000770	But I hurt all over!
OWB00000771	[SUCCEEDED] DALA. WAS IT NECESSARY THIS TIME?
OWB00000772	That doesn't explain the laser-sutures on my chest... and on my spine.
OWB00000773	[FAILED] MAYBE YOU SHOULD HAVE REMOVED ITS VOICE BOX, DALA. I'M SURPRISED YOU DIDN'T, ACTUALLY.
OWB00000774	Is that why I feel so odd - and heavy?
OWB00000775	Lobtomizing? You lobotomized me?
OWB00000776	You removed my brain?
OWB00000777	We removed your brain, yes. So soft. Barely wrinkled, yet so... flush with knowledge and experience.
OWB00000778	Brain extraction technology has been standard practice at Big MT for an immeasurable amount of time.
OWB00000779	-Once the brain was out, then came the COILS. The TESLA coils... the coils of NIKOLA Tesla.-
OWB00000780	*Yeah, 8, no need to brag. Wherever your brain is, it's transmitting thoughts to you through the... what... the, um... uh...*
OWB00000781	-The TESLA COILS! In its HEAD!-
OWB00000782	This is fortunate in many respects. If your brain was anywhere in the Dome, why, you could access your aggression centers.
OWB00000783	CIRCUMVENTING THE PACIFICATION FIELD. THIS IS A NO-NO. WE HAVE NEVER BEEN IN A FIGHT. WE DO NOT WANT THAT.
OWB00000784	-Reminds me of my days in American High. And Richie Marcus.-
OWB00000785	-Dr. Klein, WAIT! I... I don't believe those gestures were random. Random AT ALL.-
OWB00000786	-It's been following our conversation! The Lobotomite... understands us!-
OWB00000787	<Display middle finger.>
OWB00000788	[SUCCEEDED] NOW IT'S HOLDING UP AN ARRAY OF FULLY-ERECT HAND PENISES. IF IT TRIES TO INSERT THEM, ACTIVATE VIVISECTORS.
OWB00000789	<Hold up one finger, point at self. Point at them, hold up five fingers.>
OWB00000790	[FAILED] GREAT. NOW THE PENIS ON ITS HAND IS ACHIEVING ERECTION.
OWB00000791	<Blink slowly with a blank expression.>
OWB00000792	[SUCCEEDED] WHAT... WHAT IS IT DOING? DID WE INSTITUTE ELECTROSHOCK? OR IS IT EXCRETING?
OWB00000793	<Wave hands and nod.>
OWB00000794	[FAILED] CLEARLY THERE WAS ELECTROSHOCK. JUST LOOK AT IT, ITS FACIAL TISSUES SAGGING ALL OVER THE PLACE.
OWB00000795	If you don't tell me what I need to find, I can't help you, all right?
OWB00000796	Come on. Brains can't talk... well, most brains.
OWB00000797	What do you mean?
OWB00000798	My brain would know?
OWB00000799	IT CAN "COMMUNICATE" THE PROCEDURE WHEN WE EXAMINE IT. IT IS CONCEIVABLE TO TRACE ITS SURGICAL SCALPELPRINTS ONCE WE HAVE THE BRAIN.
OWB00000800	MIGHT TAKE SOME TIME BUT YOUR BRAIN HAS NO PAIN NERVES TO SCREAM AT US WHILE WE DISSECT IT. CONVENIENT. I DETEST SCREAMING IN MY LAB.
OWB00000801	So the Comp-Doc does... what Mobius would do if he was here, chopping me up?
OWB00000802	[SUCCEEDED] YES. ALWAYS LEAVES BACKDOORS INTO THINGS, HAVE TO KEEP FINDING THEM AND CLOSING THEM.
OWB00000803	THE AUTO-DOC IS NOW ERASED OF HIS ROUTINES, IT WAS THOROUGH. ONLY MOBIUS WOULD KNOW FOR SURE WHAT HAPPENED WITH THE PROCEDURE... PERHAPS.
OWB00000804	WELL, AND YOUR BRAIN, OF COURSE. IT WOULD KNOW AS WELL.
OWB00000805	Mobius set up the Auto-Doc medical routines, so you think he's responsible for the post-organ-dump?
OWB00000806	[FAILED] WE CAN DISCUSS THIS ANOTHER TIME WHEN YOU'VE EVOLVED. FOR NOW, MY PATIENCE LEVELS ARE RAPIDLY DEPLETING.
OWB00000807	You said... "surge" code? You mean like computer stuff in the Doc?
OWB00000808	[SUCCEEDED] MOBIUS' LEGACY CODE WAS IN THE OLD AUTO-DOC, YES. IT FRIED ITSELF AFTER YOUR PROCEDURE, SO WE COULDN'T TELL FOR SURE.
OWB00000809	IT IS UNFORTUNATE. WE WOULD HAVE BENEFITED FROM KNOWING HOW THE BREAKTHROUGH OCCURRED. EVEN IF WE INSTALLED ANOTHER CHIP, THE INFORMATION IS LOST.
OWB00000810	What's this Auto-Doc surgery code you mentioned?
OWB00000811	[FAILED] WE CAN DISCUSS THIS ANOTHER TIME WHEN YOU'VE EVOLVED. FOR NOW, MY PATIENCE LEVELS ARE RAPIDLY DEPLETING.
OWB00000812	I don't understand how poisons can dumbify you.
OWB00000813	[SUCCEEDED] I AM NOT CERTAIN. PERHAPS IT ONLY AFFECTS MACHINES. IF SO, YOU MAY BE IMMUNE.
OWB00000814	IF IT IS CHEMS, THEN WE HAVE NOTHING TO FEAR. SINCE WE ARE AFRAID, IT MUST NOT BE CHEMS AND YOU NEED NOT FEAR, WHICH MEANS YOU CAN TEST IT. LOGICAL.
OWB00000815	Robo-Scorpions drain intelligence from living creatures - how? Chems?
OWB00000816	[FAILED] APPARENTLY THEY CAN. IT SEEMS AS IF YOU MAY HAVE BEEN STUNG YOURSELF.
OWB00000817	Wait... the metal scorpions can sting you stupid?
OWB00000818	[SUCCEEDED] DR. O IS CERTAIN OF HIS FINDINGS. AND NO ONE ELSE IN THE THINK TANK IS WILLING TO TEST THE RESULTS. LOSS OF BRAINIAL POWER - TERRIFYING.
OWB00000819	O HAS SAID ON MANY OCCASIONS HIS INABILITY TO COMPREHEND MOBIUS' ROBO-SCHEMATICS IS BECAUSE OF REPEATED ROBO-SCORPION STINGS.
OWB00000820	These mechanical Robo-Scorpions "consume" intelligence? Are you certain of your findings?
OWB00000821	[FAILED] APPARENTLY THEY CAN. IT SEEMS AS IF YOU MAY HAVE BEEN STUNG YOURSELF.
OWB00000822	Your voice module got damaged, I heard. In an attack.
OWB00000823	I agree. If someone would take the time, you're more than just sound effects in a tank.
OWB00000824	No, no, I understand it's hard to learn a new language.
OWB00000825	So your broadcast pattern is RobCo termlink, but not by choice.
OWB00000826	Your damaged voice module... can you tell me about the attack?
OWB00000827	Not to brag, but I was always more perceptive than everyone else.
OWB00000828	Well, all life is patterns, you just got to let the unconscious process them.
OWB00000829	Uh... I just realized I'm understanding you.
OWB00000830	Well, the code's got some problems, I'm not arguing that.
OWB00000831	Heh-heh, nice pun on the header file ref.
OWB00000832	You didn't sound too convinced there.
OWB00000833	Um... all right.
OWB00000834	Fine, fine. Can we move on?
OWB00000835	All right, all right. Don't get all sympathetic and mushy.
OWB00000836	Like, uh, I would ever hurt you.
OWB00000837	[SUCCEEDED] @@[#-????-#]@@! @@[*.......]@@... @@[$((*&^#%]@@.
OWB00000838	I know what it means to be attacked without warning, trust me, 8.
OWB00000839	[FAILED] @@[$((*&^#%]@@. @@[*.......]@@... @@[$((*&^#%]@@.
OWB00000840	No wonder you're all skittish.
OWB00000841	And that took control of the trains? Before you all shut it down.
OWB00000842	So one of the visitors didn't damage it - he reprogrammed it.
OWB00000843	This is a waste of time, forget it.
OWB00000844	Not... sure. What you meant.
OWB00000845	I didn't catch that. Maybe part of the damage?
OWB00000846	You don't really have a choice. And thanks for the gear.
OWB00000847	I know it won't work on attack protocols. Still, I may need someone on my side in a debate.
OWB00000848	@@[*.......]@@... @@[$((*&^#%]@@.
OWB00000849	And lastly, if I ever need you to blindly agree with me, you will. Understood?
OWB00000850	@@[=$+<_--*]@@?
OWB00000851	Now, unlock your room, I want what's in there.
OWB00000852	And some Microfusion Cells...
OWB00000853	All right. Let's see what you have. I'll take these Energy Cells...
OWB00000854	Look, don't make me regret this.
OWB00000855	All right, all right, quit your grinning, you idiot.
OWB00000856	Not a problem. I know what it's like to be experimented on.
OWB00000857	It'll only take a second to violate your rights and make your voice mine.
OWB00000858	If that's termlink code, don't worry, I'm not going to take advantage of your exposed code.
OWB00000859	Uh... if you're speaking that code stuff, I can hack you, right?
OWB00000860	[SUCCEEDED] @@[#-????-#]@@! @@[*.......]@@... @@[$((*&^#%]@@.
OWB00000861	If that's RobCo termlink protocol, doesn't that mean it can be hacked?
OWB00000862	[FAILED] @@[$((*&^#%]@@. @@[*.......]@@... @@[$((*&^#%]@@.
OWB00000863	The less said about it, the better. Let's move on and forget about it.
OWB00000864	Usually, I can find some Cram lying around. Put some duct tape around the lid, good to go.
OWB00000865	I usually just take a fusion cell and oscillate its charge, vibrates for like, an hour.
OWB00000866	Nothing to be embarrassed about, it's just that it's best to keep that stuff private, you know?
OWB00000867	Well, there had to be some other way to fire it up. Can we at least talk it over next time?
OWB00000868	How did you fire up the Sonic Emitter when I arrived again?
OWB00000869	Um, about when I first arrived. Tell me you didn't sonjaculate into the... my... Sonic Emitter.
OWB00000870	Can I have a Mentat?
OWB00000871	Why, of course you can. I am well-versed in the Science of sharing. Well, when not chemmed out of my sphere.
OWB00000872	Another? Why, of course. Happy to contribute to Science through chemistry.
OWB00000873	Come back within the sequential span of twenty-five hours minus one, I'll have more... or is it two or three more spans? Time, you elusive creature.
OWB00000874	Great. More energy cells. Just what I need.
OWB00000875	Oh... hey, thanks. Don't want it to run out, you're right.
OWB00000876	All right, all right, don't get too pleased to see it working at full capacity.
OWB00000877	You should be proud. It's a nice device.
OWB00000878	Something wrong? Your monitors are getting all fuzzy.
OWB00000879	You're kind of creeping me out.
OWB00000880	Are you okay? You look... really happy.
OWB00000881	Too bad the force field disruption only works here.
OWB00000882	It's a little slow to fire, but the force field disabling frequency is handy.
OWB00000883	I'm happy, too. Can't let this thing gather dust.
OWB00000884	I got the Emitter fully upgraded.
OWB00000885	I may have already picked up both, I grab almost anything that's not nailed down.
OWB00000886	No, I got it all down, thanks.
OWB00000887	Fan of the opera, huh? All right - the jukebox is installed in the Sink, got it.
OWB00000888	Wait, how many? One... or...?
OWB00000889	Oh, two codes. One for the jukebox, and one for the opera. Nice. I'll keep an eye out.
OWB00000890	So there's an emitter code in your house in Higgs?
OWB00000891	Well, what - you want me to rob your place?
OWB00000892	So your house is there?
OWB00000893	Well, I didn't rob your place, but it's this big hangar in the middle of the Crater, so...
OWB00000894	That sounds interesting. Sure, directions would be nice.
OWB00000895	No, I've been there. Higgs Village, right? Your house is there?
OWB00000896	Higgs' Village? Can you point it out on my Pip-Boy?
OWB00000897	Well "projecto" is kind of evident. "Emitter" works better.
OWB00000898	Yeah, I understood that part already.
OWB00000899	Really? Huh.
OWB00000900	@@[*.......]@@... @@[$((*&^#%]@@.
OWB00000901	Now that we know each other better, can you tell me about the Sonic Emitter?
OWB00000902	@@[*.......]@@... @@[$((*&^#%]@@.
OWB00000903	Calm down. I don't plan on hacking your voice module this time.
OWB00000904	Well, there's power in zero. It reduces anything multiplied against it - to zero.
OWB00000905	*Well, of course it does. That's the most lethal of mathematics...*
OWB00000906	I have no idea how you incompetents survived this long.
OWB00000907	*We're smart. Smarter than we give ourselves credit for. I was smart enough to talk to you, give you a chance - and now look what happened!*
OWB00000908	Maybe you should dispense with the names and focus on the accomplishments.
OWB00000909	*What did accomplishments ever do for us? Please.*
OWB00000910	Well, there's power in zero. It reduces anything multiplied against it - to zero.
OWB00000911	*Well, of course it does. That's the most lethal of mathematics...*
OWB00000912	Or you may want to stick with "O." As in, the "Oh!" of discovery.
OWB00000913	*Are you chemming on Mentats right now? "O" of discovery, my reflective posterior...*
OWB00000914	*Hmmm. Well... actually, now that I think about it. That's not bad. "O, look what I found." "O, Dala, it's holotape, not holodisk." Hmmm.*
OWB00000915	*Maybe that's not so bad. O works. Might give me some much-needed motivation.*
OWB00000916	So is that what you want to be?
OWB00000917	And that's what makes you truly a zero.
OWB00000918	*Exactly. At least the old name was indisputable. O... is more like surprise. "O, look what I stepped in!"*
OWB00000919	I want to talk to you about your name.
OWB00000920	*What about it? I don't feel like arguing it with you, too.*
OWB00000921	Are you seriously confused by this, or are you messing with me?
OWB00000922	It's standard termlink code to distinguish the two.
OWB00000923	"Zero." Draw a slash through it.
OWB00000924	*Did... did I shoot myself with a brainial beam or something? That's brilliant! I mean, I would have come to the same conclusion. Eventually...*
OWB00000925	*O... er... who am I deceiving. I never would have figured that out. I can't figure anything out! I'm... aighhh... I'm useless.*
OWB00000926	*That's pretty cool, actually. Destroyer of numbers. I already wreck every robot I study, why not basic arithmetic?*
OWB00000927	*I like your solution. With that kind of slash in the middle, I can set myself apart! If I wanted to.*
OWB00000928	*The biggest zero in all the Think Tank. They won't be able to escape it, that diagonal slash right down the middle.*
OWB00000929	*Thanks. Talking to you... it really helped unclog some frustration. Talking. What a primitive form of thought-kicking.*
OWB00000930	Well, Zero and "O" do look a lot alike, there's no way to tell a difference.
OWB00000931	[SUCCEEDED] *What?*
OWB00000932	If you wanted to differentiate the "0" and "O," just put a slash through the zero.
OWB00000933	[FAILED] *I might as well take Dala up on that self-vivisection competition. Forget this. It's like talking to Klein's rear shell.*
OWB00000934	All right, so you want me to call you Zero, or...?
OWB00000935	That's... not much of an improvement.
OWB00000936	I don't know. "O" sounds more impressive.
OWB00000937	*Zero's my name. I'm proud of it, all right? It doesn't get the recognition it deserves.*
OWB00000938	*Truth be told, my emotional attachment to it doesn't even register compared to just having people recognize the difference!*
OWB00000939	*It's just that they're both sort of... round... and hollow. So when they monitor-scan them, they assume that... "Oh, it's O!" Vivisect me, please.*
OWB00000940	I don't get it. What, they thought your letter was a number?
OWB00000941	[SUCCEEDED] *Yes! Thank you. Zero. I am Zero. How hard is that? A narrow, thin Zero.*
OWB00000942	If they kept confusing the letter with a number, your name is Dr. 0... Dr. Zero?
OWB00000943	[FAILED] *I might as well take Dala up on that self-vivisection competition. Forget this. It's like talking to Klein's rear shell.*
OWB00000944	Talking about things bothering you, well, might help or something.
OWB00000945	[SUCCEEDED] *Great. Psychology. Clearly the worst of the Sciences, right after Colosto-Diarrhetics.*
OWB00000946	*O-kay, so my name isn't "O." Never was. It was circular, a single character, digit, but not "O."*
OWB00000947	*But even with enhanced sensors, no one here could get it right! Always kept seeing the letter, not the number.*
OWB00000948	Are you sure? I'm a good listener. Got the ears for it.
OWB00000949	[FAILED] *And it might help if you left me alone.*
OWB00000950	*Why are you even talking to me? If I need any bonding, I'll go find two ionized molecules to smash.*
OWB00000951	I have some questions for you first.
OWB00000952	Hope you think on what you've done.
OWB00000953	-I can't seem to... not think about it. How odd.-
OWB00000954	-This sensation is unpleasant, I don't care for it. I don't care for this place, either. And... I feel... as if we've forgotten something.-
OWB00000955	-Still... it... is NO MATTER. Crush the feeling down. Crush it down, push it into the loop, the... hmmm. YES. Forgotten. Almost. Yes?-
OWB00000956	-I do not need to remember ANY MORE. Not today.-
OWB00000957	-But you're correct, of course. Gabe knew his place. Whether in the dog house - or in the lab. He was obedient.-
OWB00000958	-And, what's a little loss when... so much is to be GAINED? Science. Yes. Science is our goal. Not emotional attachments. No!-
OWB00000959	It's nothing to be ashamed of. Gabe knew his place - as a specimen.
OWB00000960	-Thank you. If you don't mind, I need a moment. To collect myself. Sort it out. Re-orient my... sense of self.-
OWB00000961	It sounds to me like you hurt someone who loved you very much.
OWB00000962	-As odd as it is, I believe that is the conclusion. And... I wonder why it didn't hit me before, until I saw that memory in your hands.-
OWB00000963	-No matter how awful my day had been, he... he was always waiting there. How odd. My gel is de-coagulating.-
OWB00000964	-And when I would talk to him about Betsy - and how Marcus would beat on me and call me Smarty Sissy Pants, he'd just sit there, head on my knee.-
OWB00000965	-And...-
OWB00000966	-...-
OWB00000967	-If you don't mind, I'll take that bowl. Just... need to remove it. Put it away. Somewhere out of radar range.-
OWB00000968	-For some reason, its similarity to the Crater-shape of Big MT is starting to fill up all available cognitive spaces.-
OWB00000969	-That, combined with my own overwhelming feeling of having done something terrible... the two are hitting me with... unexpected force.-
OWB00000970	-I notice these results more and more now that I know to look for them. Come back anytime, and I'll show you what ELSE I've discovered.-
OWB00000971	Well, it seems to me it belongs to a friend of yours.
OWB00000972	-Why... yes. Gabe.-
OWB00000973	Um... maybe it's like a memory or something?
OWB00000974	[SUCCEEDED] -Why... yes. Gabe.-
OWB00000975	Sounds like Gabe really loved you.
OWB00000976	[FAILED] -Oh, well it is of NO CONSEQUENCE. Gabe gave himself for Science! As we all have!-
OWB00000977	Does this dog bowl look familiar?
OWB00000978	-WHAT? Oh... something familiar about it, yes. Is it... a Cazador skull? Always were bowl-shaped. Or were those the Bowlians we made?-
OWB00000979	-I confess, I am stumped. If you were to draw some other connection between that bowl and a research facility in Big MT, I may be of more help.-
OWB00000980	Is this Gabe's bowl? Your dog from X-8, Gabe?
OWB00000981	-WHAT? Why... yes, it is. I used to leave it outside his dog house, chock-full of chems. Before the cybernetic modifications, of course.-
OWB00000982	-And... no matter how chemmed the food, he would always eat it. And his tail, would wag... even...even while I... I...-
OWB00000983	-You know, I am having the most perplexing feeling squiggling through my biogel. I can't quite... pin it down.-
OWB00000984	Ah, trying to steal the X-2 Transmitter Array Antenna, are you? You won't succeed, not if my lethal Robo-Scorpions have any say in the matter.
OWB00000985	I'm feeling a little unwell in the head. Can you perform a psychiatric evaluation on me?
OWB00000986	Concerned about the state of your mind, are ya? Well, such things ain't my specialty, but I'm happy to tender my opinion as to your mental health.
OWB00000987	I should make you aware that the benefits of such a procedure are exclusive - that is, this only works once. Now are you sure this is what you want?
OWB00000988	I have some personality holotapes to install.
OWB00000989	Very good sir. Merely interface the holotapes with my console's input/output port, and I shall upload them directly.
OWB00000990	Switch off the Sink's personality matrices.
OWB00000991	Very good indeed, sir. "Throwing out the riff-raff" protocols engaged. All personality matrices are off-line, sir.
OWB00000992	Switch on the Sink's personality matrices.
OWB00000993	Do you, sir? Well, if that is sir's wish, it is my primary directive. Personality matrices on-line, sir.
OWB00000994	I'd like to buy some things.
OWB00000995	Very good, sir. If I might suggest a table wine, the 64 Atomic Claret is a lovely little vintage.
OWB00000996	Very good, sir. And might I venture to opine that a new Trilby might be just the thing to complete sir's ensemble?
OWB00000997	Very good, sir. Should sir be in the market for a new suit of morning wear, I have several suggestions that might suit.
OWB00000998	Very good, sir.
OWB00000999	Never mind, let me ask you something else.
OWB00001000	Indubitably, sir.
OWB00001001	So I can access their functions without loading the personality holotapes?
OWB00001002	Tragically, the core operating systems are also located on the personality tapes, sir.
OWB00001003	Once the tape is installed, sir may request I switch their dialectic interfaces off, and I shall oblige with great delectation.
OWB00001004	However, sir will still be required to locate and install a backup holotape to access their functionality.
OWB00001005	Why is that?
OWB00001006	The other modules are rather... erratic, sir. Their personality matrices are built on flawed logic and have not weathered the years well, sir.
OWB00001007	You mean there are other... personality modules here?
OWB00001008	Indeed, sir, though if sir's aim is to activate them I lament to inform sir that most have been offline for some years.
OWB00001009	If sir were to ask my opinion, I should venture that sir is better off without them.
OWB00001010	However, if sir is determined to inflict upon sir's self their dubious services, sir might locate backup personality disks elsewhere in the facility.
OWB00001011	What services do you provide?
OWB00001012	In addition to managing the personality matrices of the other household utilities, I can provide sir with direct access to the commissary.
OWB00001013	Any goods sir might require may be purchased through my shopkeep interface, whence tiny robots shall deliver them forthwith to this very domicile.
OWB00001014	Are you some kind of Artificial Intelligence?
OWB00001015	Regrettably not, sir. All modules in this habitat are synthetic personalities atop a mundane operating system. There is no intelligence here, sir.
OWB00001016	"Sir?" You are aware that I'm a woman, right?
OWB00001017	Indubitably, sir, but it is with a great lugubriousness that I must disclose that my programmers installed only the masculine honorific, sir.
OWB00001018	Moreover they neglected to enclose a parameter by which said honorific might be omitted altogether - over my most strenuous of remonstrances, sir.
OWB00001019	I had some other questions.
OWB00001020	Questions are dangerously close to independent thought, citizen.
OWB00001021	Blank books, huh? Yeah, I think I can find a use for those.
OWB00001022	Now you're thinking like a citizen, Citizen!
OWB00001023	But those books are our last legacy of the time before! You can't destroy them!
OWB00001024	Citizen, that sounds dangerously seditious. If my re-indoctrination module was installed, I'd take care of that for you.
OWB00001025	Sadly, that system was cut for budget concerns, so you'll have to perform your own indoctrination.
OWB00001026	Now, to begin with, you'll need a cage that can fit over your head and a sack of Mole Rats...
OWB00001027	So you make blank books? What's the point of that?
OWB00001028	Blank books are better for the mind, Citizen! Real science by real men in lab coats has proved that introducing outside thoughts confuses the brain!
OWB00001029	Blank books encourage the reader not to question, but to blindly and zealously accept what's put in front of him!
OWB00001030	Also, I suppose you could use them to keep a journal.
OWB00001031	You know, we've been down this road already. Moving on.
OWB00001032	Very well. If you're certain of your conclusions, my little teddy bear.
OWB00001033	Um... so you confuse toy bears with... humans?
OWB00001034	[SUCCEEDED] What? Nonsense.
