AAD00100001	问好
AAD00100571	来自大裂谷的野兽，它们回到了大裂谷。
AAD00100572	
AAD00100573	注意脚下，有地雷。熊的战术。
AAD00100574	
AAD00100575	他们为我们而来，不管是东方还是西方。
AAD00100576	
AAD00100577	时间不多了，邮差。
AAD00100578	
AAD00100579	远道而来...孤独地死去。
AAD00100580	
AAD00100581	我会终结你...还有你的历史。
AAD00100582	
AAD00100583	杀了他们就是仁慈。
AAD00100584	
AAD00100585	不需要旧世界的药物来杀死你。
AAD00100586	
AAD00100587	想杀多少就杀多少...大裂谷会生出更多。
AAD00100588	
AAD00100589	摧毁我的机器对你没有任何帮助，这个工厂会生产更多。
AAD00100590	你是怎么通过ED-E说话的？
AAD00100591	让机器传递新信息的想法？我还以为豪斯就是这样传达信息的...通过他的机器人。
AAD00100592	机器...机器人。不，不是军团...历史没那么长。
AAD00100593	据我所知，军团并没有使用机器作为传声筒来躲避敌人。
AAD00100594	和你在一起的那个机器人...他们全都是机器 - 收音机，经新人之手重塑过旧世界科技。历史学家，邮差们，带着消息。
AAD00100595	在我走过大裂谷时，看到他们在照看其他机器。 这一个...封存在黎明镇的发射井里。这标志着美国正在苏醒。
AAD00100596	它会跟着你，服从你。带着它，直到我们面对面，到那时就不需要它来承载我的话了。
AAD00100597	也许你最好告诉我你是谁，你想要什么。
AAD00100598	我是一个邮差， 六号邮差...是六号邮差。跟你一样...但也跟你不一样，在所有重要的方面。
AAD00100599	我已经花了太多年来找你...现在，该让你来到我身边了
AAD00100600	还以为带着那个芯片会杀死你，不...你命硬着呢，很难被杀死。风暴、子弹...沙和风，你依然行走。到目前为止。
AAD00100601	别说了。你费了好大劲才把我引到这里来，我们开始吧。
AAD00100602	美国沉睡在你的面前，它的噩梦充满了地震和风暴。你需要找到自己的道路。
AAD00100603	这意味着要把美国的长矛从沉睡中唤醒。有办法-弹头引起的坍塌，弹头可以再次将门开启。
AAD00100604	你很机智。那个机器，跟着你的那个机器人 - 能帮你找到你需要摧毁的弹头...以及它们的引爆装置，起爆器。
AAD00100605	前方的路在下面，工具就在那里。剩下的 - 由你决断。
AAD00100606	那些...士兵，NCR或者军团，发射井里的人都已经死了。
AAD00100607	这些是我在发射井里看到的尸体吗？看起来像是被剥了皮的士兵？
AAD00100608	如果你看到了他们的尸体，你就看到了仁慈。来到大裂谷，他们得到了应得的。
AAD00100609	熊和公牛 - NCR、军团 - 前赴后继。之前，之后，进入无形的火焰中...风、地面...在他们脚下坍塌。
AAD00100610	曾经在不同的旗帜下，现在他们对侵害者的仇恨是对等的。你和我。
AAD00100611	这里是什么地方？
AAD00100612	大裂谷...这地方只是其中的一部分。旧军队，还能嗅到骄傲和恐惧的气息。
AAD00100613	旧世界的希望，被栅栏包裹，被风暴笼罩。现在有了新的居民，除了鬼魂，更多是最近的...新成员。
AAD00100614	好吧，我会找到这个引爆装置的 - 然后我再来找你。
AAD00100615	大裂谷会把最坏的东西送给你 - 它可能会击垮你。我们来看看你是否更强壮了。
AAD00100616	路从这里开始变得更加崎岖...邮差。我为你留下了记号，颜色会为你指明方向 - 如果你够聪明的话。
AAD00100617	它们会指引你再次回到家乡，指引你到达它的尽头 - 也许能提醒你为什么要流浪。
AAD00100618	我不打算跟在你后面进入大裂谷。
AAD00100619	没有邮差会去大裂谷...但你会。这就是我们与众不同的地方 - 我们走着其他邮差不会走的路。
AAD00100620	对你来说...你会想最后看看你的家乡，看看发生了什么。
AAD00100621	你很好奇。你走着，在你的路上留下废墟...你不能独自离开。不过，选择权在你...我提供的，这是我最后一次给予。
AAD00100622	我不在乎你是否穿越大裂谷。转身，漫步在莫哈维，在旗帜下战斗...但你会想知道。
AAD00100623	如果你不这样做，大裂谷总有一天会降临在你和莫哈维之上。这将是我给你的信息，就像你给我的信息一样。
AAD00100624	你以为我是来找你的？ 再想想吧。
AAD00100625	15号公路不存在了，通往NCR的主要供应线路被切断了。
AAD00100626	没有造成破坏，暂时没有，也许几年以后。把熊关在围栏里...如果凯撒不能把它赶回去，火可能会。
AAD00100627	只是拖延了公牛的结局，为他们建造了一堵新的墙，让他们攀登和跨越...一旦他们解决了莫哈韦，和胡佛水坝。
AAD00100628	你或其他任何邮差和商队再也不需要走那条路了。让莫哈韦沙漠呼吸吧，不要被沥青留下的疤痕弄脏。
AAD00100629	枯井已经被毁了...那是你的出生地？
AAD00100630	不，正好相反。那是我的部落被夺走的地方。又一段历史在刀光中泯灭了，那是一段教训。
AAD00100631	在那里我们意识到沃尔普斯并没有平等地对待我们。在那里，我们意识到狼来了，我们看着我们的历史死去。
AAD00100632	现在它属于军团了...那里所有的死亡现在也属于他们。不是复仇...当你拥有他们的时候，事情就是这样的。
AAD00100633	我想多听听胡佛水坝的事。
AAD00100634	旧世界的墙，被熊和公牛的血染红。在莫哈维日落之前，还会流更多。
AAD00100635	那个地方和我有一段过去，欠它一个人情，它也欠我一个人情。如果你的道路把你带到了那里，要知道你不是唯一的一个。
AAD00100636	它是衡量这个时代的墙，是莫哈维的墓碑。 旧世界从来没有这样的意思。
AAD00100637	你在这里做什么？
AAD00100638	这是不久前，在向西走到风暴中之前，人们可能会问你的问题。
AAD00100639	我得在这里，看看发生了什么。熊的习惯是永远不看它在土地上的留下的爪痕...这可不是我的习惯。
AAD00100640	也许这也是你来的原因 - 想看看阿什顿的导弹落在黎明镇的什么地方...邮差之路。
AAD00100641	我得在这里，看看发生了什么。在大裂谷，在黎明镇...邮差之路。
AAD00100642	你能再告诉我一次你在这里做什么吗？
AAD00100643	希望你能帮我塑造一些东西。
AAD00100644	让我们看看莫哈维给我们带来了什么礼物。
AAD00100645	让我们来变废为宝吧。
AAD00100646	先别管这个。我要让你领教下了惹恼了不该惹的邮差是什么下场。
AAD00100647	我以前从没见过那样的生物。
AAD00100648	你说的"莫哈维的缓慢死亡"是什么意思？
AAD00100649	[成功] 死亡自从地下来临。在大裂谷，你需要提防天空还有地面...莫哈维很容易成为它们的猎物。
AAD00100650	你说的"莫哈维的缓慢死亡"意思是他们是正从大裂谷向外扩散。
AAD00100651	[失败]莫哈维首先要活下去...如果能做到的话，掘穴者就是名单上的下一个。
AAD00100652	如果这是正路...它通向何方？
AAD00100653	正路的尽头就是阿什顿 - 和它的发射井。
AAD00100654	那个跟着你的机器，它能打开它，唤醒它，就像在黎明镇发生的那样。
AAD00100655	黎明镇上那些剥了皮的士兵看起来像是NCR...但是和他们并肩作战的人却身着军团的盔甲。
AAD00100656	你看到的是真的。不是拾荒者...这仅仅是他们在这一切发生之前的打扮而已。
AAD00100657	[NCR]那些在黎明镇的士兵...曾经是NCR，我敢肯定。他们为什么和军团在一起？
AAD00100658	痛苦造就了奇怪的盟友...熊和牛在战场上共有的仇恨现在转向了大裂谷。很少有人能活下来...完好无损的。
AAD00100659	毁灭发生的时候许多NCR就已经在这里了。保持东部路线的畅通，因为害怕凯撒，对军团的恐惧。
AAD00100660	那些黎明镇的烙印者...有些人戴着我从未见过的奇怪面具和刀刃。
AAD00100661	你还没见识过足够的军团去理解他们所崇拜的...以及他们所坚持的，即使在他们身上发生了那些事之后。
AAD00100662	[军团]那些黎明镇里的军团士兵穿着军团盔甲...还有奇怪的面具和利刃。
AAD00100663	他们都戴着着山寨的拉尼厄斯特使面具，那是凯撒为他量身订做的。起初还以为这是一种侮辱...现在我明白了。
AAD00100664	它是以大裂谷的金属制成的，这之中夹杂的并非谨慎与力量，而是怨恨。戴上后便如同烙印般难以摘下了。
AAD00100665	粗糙，但有效 - 正如他们背负的刀剑，他们军团特使的遥远镜像。当大裂谷撕扯他们的时候，一个可以坚持下去的象征。
AAD00100666	地下通道里的那些生物是什么东西？
AAD00100667	掘穴者，在地底下自己开路的掠食者。
AAD00100668	大裂谷打破了它们的天空，向它们展示了上面的世界 - 以及新猎物的气味。
AAD00100669	对莫哈韦来说，这是一个比炸弹和火焰更缓慢的死亡...但他们会来找它的人民，从他们最意想不到的地方 - 地下。
AAD00100670	就此打住好了。告诉我你在哪里。
AAD00100671	这里发生了什么？
AAD00100672	你送过一个包裹，它拥有与那些大裂谷里配套的记号。并不全...但足够了。
AAD00100673	军事标记，来自熊在西部野蛮攻击过的某个地方。也许看到上面的那些标记让你想起了家...你才带上了它。
AAD00100674	这个峡谷有几英里长...也许更长。 我在哪里可以找到你？
AAD00100675	在大裂谷的尽头，穿过战壕和废墟，你能在那里找到我。我的新家，在这里，在死人中间。
AAD00100676	你和那个机器，盯着切开地平线的那座高塔...你会找到你的路。已经走了这么远...没有多远的路要走了。
AAD00100677	我对谈话不感兴趣，只想熬过这一关。
AAD00100678	
AAD00100679	...又回来了。别理那个弹坑了，医疗中心那儿还有几个全息磁带没拿。
AAD00100680	那女人...她修好了录音机。 她说，这持续不了太久，是对我治好她的报答。 她不喜欢欠债，这一点值得尊重。
AAD00100681	付出这么多，只是为了听到一个相信钢铁兄弟会的人。不是以利亚，不同的观点，同样的疯狂。
AAD00100682	她告诉了我关于他们的哲学，他们看待事物的方式 - 他们走的路。死路一条。空洞...好像科技可以解决所有事情似的。
AAD00100683	大空洞就证明了这条道路通向何处。就像大裂谷，以及通往大裂谷的所有道路一样。
AAD00100684	
AAD00100685	我作为凯撒的眼睛走过大盐湖，然后是他的手。
AAD00100686	那些杂交犬，不管是两条腿的还是四条腿的，还有四处游荡的拾荒者...我看到了新迦南的城墙，但却没有攻破它的的力量和武器。它太高，太坚固。
AAD00100687	白腿，他们为战争而生，他们奔向战场，渴望战争...然而，他们渴望成为历史的一部分，更大的部分。
AAD00100688	就像军团。一如既往，给他们带来一个消息 - 来自凯撒。
AAD00100689	如果新迦南被烧毁，凯撒才可能会看到他们。“可能”，连这个机会都是谎言。
AAD00100690	为了向凯撒致敬 - 摧毁新迦南的历史，和他们承载历史的方式 - 他们的世代和家庭。
AAD00100691	凯撒尊重这种力量，我告诉他们。那 - 那是事实，即使 "力量 "这个词不是很合适。是服从。
AAD00100692	你必须乐意去杀掉 所有人，儿童、母亲、弱者、老人...如果说那些新迦南人珍视的是宗族，那就是你必须杀掉的。
AAD00100693	就像沃尔普斯通过我说话一样。利用黑夜、寂静和火焰，将他们的话语变为哀求，变为尖叫。
AAD00100694	有了仇恨，就不需要炸弹了。
AAD00100695	我...要求白腿部落摧毁一个祖先可以追溯到几千年前的民族 - 又一段历史从此灰飞烟灭，湮灭在时光中。
AAD00100696	新迦南人...他们提供医药 食物，与他人进行交易。文明，来自过去的手，而不是历史...
AAD00100697	新迦南人...他们提供医药 食物，与他人进行交易。文明，来自过去的手，而不是历史...
AAD00100698	如果是这样，他的作品和他的人民属于别的地方，而不是这里。另一种象征，就像熊和牛，现在没有任何意义。
AAD00100699	
AAD00100700	这里如此空寂 - 就像大盐湖的沙子一样回响着。大裂谷的天空敲打着，就像白腿部落奏起的风暴之鼓。
AAD00100701	在凯撒的命令下和他们一起在盐层上奔跑 - 割断双头熊的喉咙，切断所有群体之间的联系。
AAD00100702	使用风暴、天空、疾病、火和饥饿，无知之人的暴力会毁灭所有...可能反对他的人。
AAD00100703	但是白腿...他们不能像大多数拾荒者一样，靠自己的力量生活。所以给了他们目标 - 把他们的饥饿变成武器。
AAD00100704	新迦南的墙...对凯撒来说太高了。也许是他太骄傲了 - 也许那里有什么来自他过去的东西，需要杀死，关于格雷汉姆的记忆。
AAD00100705	帮助他们挖出迦南的补给仓库，以及其他隐藏在沙土中的秘密 - 地堡，里面装满了连兄弟会都想要的动力武器。
AAD00100706	他们称这些新武器是发射炮弹的“风暴之鼓”。教会了他们弹壳的威力...引导他们枪中的灵魂。
AAD00100707	我...他们叫我旗手。荣耀在我的手中，在我的手杖上，它仍然承载着旧世界的重量，就像我背上的象征一样。
AAD00100708	我学习他们的武器是为了表示尊敬。当轮到他们向我致敬时，历史再次重演。
AAD00100709	已经发生的事无法逃避。历史存在于你所在之处，无论你走多远。
AAD00100710	
AAD00100711	你是否曾想过与历史对话 - 只想知道原因？我没有，现在没有了。
AAD00100712	有关于神和人的古老故事，过去的历史，变成了神话 - 其中的神，他们就像孩子..任性，残酷。
AAD00100713	那是大空洞的声音，是过去的声音。我不能就这么置之不理，必须得去追问缘由。
AAD00100714	他们的回答很疯狂，而力量，比我更强，需要一百个以利亚...比他或我更强大的人，才能在他们的穹顶中胜过他们。
AAD00100715	他们不知道自己为什么在那里，是什么引导他们而来，他们的名字 - 像蛇一样吞噬着自己，吃掉自己的思想。
AAD00100716	当一切似乎都失去了，我以为是结束的时候 - 我的愤怒给了我力量，向他们提出了最后一个问题。
AAD00100717	"你们是谁，连自己的历史都不知道？"
AAD00100718	他们醒来了...只是一小会儿。
AAD00100719	他们说，你身上的旗帜，我们记得。美利坚。
AAD00100720	对他们来说它不仅仅只是一张旗帜...而是一个地方，一个他们关心的信念。曾经。
AAD00100721	他们告诉我在那个世界成长是什么感觉...他们曾为之奋斗...保护它。他们...不知道它已经不存在了，那...
AAD00100722	...然而他们曾经关心过，在忘记他们的历史之前。
AAD00100723	他们说话时...我一直能感受到他们身上落着的邮差的影子，让他们每个人的话都更有分量。历史被抛向一边...一个家，被丢在了后面。
AAD00100724	我听着，我问道，还有什么剩下的吗？有什么东西仍然承载着美国的声音吗？
AAD00100725	而他们告诉我，我已经去过那里了。我和另一个人，径直走出历史，比我们所知道的更深远。
AAD00100726	他们告诉我大裂谷的心脏中有什么，那里能找到什么。还有唤醒它的话语 - 以及说出那话语的人。
AAD00100727	
AAD00100728	大空洞 - 有什么东西藏在那里，一座环形山，饱经风沙 - 在大沙漠的腹地，没有回头路。
AAD00100729	发现那个环形山纯属意外，是跟随着气候变化 - 大裂谷的天空就那样支离破碎，那是人为的暴力，而非自然的作用。
AAD00100730	天空中的暴力，是有根源的。我追着它，就像追溯河流的源头。
AAD00100731	我留下颜色来标记路线，像往常一样，如果有人发现它们，理解这种模式 - 邮差可能会。
AAD00100732	当我以为风沙永无止境的时候...我来到了环形山。
AAD00100733	在那里...有一座旧世界的设施，一个气象站，在边缘，仍在用电和发电机掠过天空。
AAD00100734	在它之后...我看到了旧世界地狱的其余部分，全都像花园一样被切割开来。我必须看看那里有什么，无法置之不理。
AAD00100735	大空洞里有东西在沉睡，兄弟会唤醒了它们 - 无法悄无声息的行动，就像双头熊一样。
AAD00100736	而当它们苏醒时，就像整个历史同时苏醒。险些无法脱身，险些。带着我从未想要的答案离开。
AAD00100737	
AAD00100738	最后一盘磁带，最后一条消息，以防...你胜过我。如果你听到这条，那你已经通过血液或语言做到了。
AAD00100739	这条消息，以及与之相关的一切 - 都是为你准备的，邮差。如果你想知道事情的...缘由。
AAD00100740	这个世界，我走过了其中相当大一部分...我的脚步只为你而停下。你所做的 - 让我停下了。
AAD00100741	很久以前，我穿过了科罗拉多河，成为了第一位见证胡佛水坝辉煌的军团成员...一面旧世界的墙，却连接着两岸。
AAD00100742	在那之上，是一个双头熊的象征，一个足以挑战凯撒本人的伟大理念。
AAD00100743	可能杀了他，夺走它，无论他是赢是输。公牛需要战斗，需要挑战，一旦脱离了这些...它将步履蹒跚，死在尘土中。
AAD00100744	也许这对你我都是一个教训。把这个想法留在给你的这条消息里。
AAD00100745	以下是我给你的信息 - 在大裂谷已经造成的破坏 - 或者别的什么地方，如果你无法阻止我...
AAD00100746	都会再次发生。还会继续...一直发生。
AAD00100747	如果战争不会改变，那么人们必须改变，他们的象征也必须改变。即使一无所有，也要知道你在追随什么，邮差...
AAD00100748	...就像我追随你一样，直到最后。无论你的象征是什么...
AAD00100749	...背负着它，当你站在胡佛水坝前时，骄傲地展示它。
AAD00100750	
AAD00100751	白腿...这是为了表示尊敬，为了凯撒的青睐而贿赂我，附和着我的言谈举止...
AAD00100752	我给他们展示了科技库，教他们弹药与火药的原理，谈起凯撒对使用这些东西的人的骄傲...都是谎言。而且...
AAD00100753	...然后...他们试图向我表示敬意 - 而非军团。
AAD00100754	一天晚上，他们把我带到篝火前，让我看他们是如何改变自己的，他们现在是如何梳理头发的。
AAD00100755	这就像我的整个死去的部落在火光中，牙齿在黑暗中咧开的红色 - 急切的尸体，血淋淋的幽灵。
AAD00100756	他们...模仿我的辫子，我们卷发部落的风俗，仿佛这表明他们像我。归属于我...
AAD00100757	...然而他们辫子上的每个结都在诉说着强奸、暴力以及对这些结真正意义的无知。他们认为这是一种尊重...实际上是亵渎。
AAD00100758	在试图阅读他们编织的辫子时，我迷失了。直到我记起他们编织的辫子根本没有任何意义，他们对它的含义没有任何历史记忆。
AAD00100759	他们甚至不知道那些扭曲和结所代表的侮辱...从枯井匆忙返回，白腿部族围在那里...
AAD00100760	这就像眼看我部落里的亡者，重生为鬼魂 - 仇恨，饥饿，屈从于凯撒。另一段历史...消失了，由我独自承载。
AAD00100761	在黎明镇的尘土里找到什么了吗？
AAD00100762	除了风与沙...灰烬。也许随着时间的流逝更多的会慢慢浮现，但不是现在。
AAD00100763	如果你下定决心，回来，可能会有新的发现。
AAD00100764	风和血揭开了土壤下面更多的东西。
AAD00100765	如果你想要这些旧世界的遗物，那么它们都归你了...至少你带着它们比落在烙印者手里要好。
AAD00100766	你可以教我点什么配方么？
AAD00100767	我收集了一些资料，如果你想看的话。
AAD00100768	你在这里扎营吗？
AAD00100769	不是营地 - 岗哨吧，或许。我从未声称它属于我。如果说有人拥有大裂谷...你的声明比我更有力。
AAD00100770	不要想在下面已经燃烧的篝火上再加一把了。如果你带来了莫哈维的礼物，也许能在路上塑造一些东西。
AAD00100771	这取决于历史会如何描述它们。这片土地可以提供很多...如果你知道通往它的道路。
AAD00100772	莫哈维有治疗大多数疾病的方法 - 如果没有，一些部落通常会找到你意想不到的方法。
AAD00100773	比如治疗粉，西部的部落只使用山德根和布洛克花。不过东部的孪生母亲部落有另一种方法来酿造它。
AAD00100774	它叫苦味饮料，把山德根和布洛克花混合在一个瓶子里，加了一些效力，这样你的头就不会昏昏沉沉的。
AAD00100775	你可以教我点什么配方么？
AAD00100776	抗毒血清在莫哈维对付树皮蝎很有帮助，被那玩意儿蛰一下就会没命。被掘穴者咬伤也同样严重。
AAD00100777	我的部落，卷发部族有一个比抗毒血清更好的方法。当然，你得行动迅速才行。
AAD00100778	蛇毒止血带 - 直接阻断毒液，就不需要寻找腺体与血液了。或者喝那乱七八糟的玩意。
AAD00100779	这也是我们发型弄成这样的原因之一，就像我现在这样。
AAD00100780	这还有些路上用的 - 制作的技巧并不难。被咬伤后，钩住然后扭转它。动作要快如眨眼，以防止毒液迅速渗入体内。
AAD00100781	还有什么配方...或历史...你能教给我的？
AAD00100782	不外乎这些了。我们必须坚持我们知道的东西。我们已经厌倦历史上的教训了。
AAD00100783	你还有其他配方可以教教我吗？
AAD00100784	我有一些其他的问题。
AAD00100785	问题总是层出不穷。
AAD00100786	整个大裂谷都被辐射覆盖...你确定要留在这里吗？
AAD00100787	无形的火焰在这里燃烧，这是事实。但是...帮助实施这样的行为，然后又不去面对...
AAD00100788	这不是我的方式。如果我的生命要在这里燃烧殆尽，那就这样吧...在那之前,我会等待和观察，看看这条路能带来什么。
AAD00100789	那些烙印者呢？
AAD00100790	这就是我在这里的部分原因。观察他们 - 如果他们攻击我，或尝试进入莫哈维，我就会作出回应。不是想杀了他们...而是拯救他们，如果可以的话。
AAD00100791	他们身上可能还有什么值得拯救的。但如果没有，那么我的行为就是一种仁慈，而不是谋杀。
AAD00100792	什么是邮差之路？那是不是阿什顿导弹打击的地方？
AAD00100793	我给它取的名字。如果你有更好的名字，你可以取一个 - 我选的名字不会影响你和我。
AAD00100794	沿着正路，从黎明镇发射井开始...直到地面燃烧的地方，风的呼啸比这里更猛烈。
AAD00100795	你的磁带证明你走过了莫哈维，却吸取了错误的教训。
AAD00100796	归结为一个观点，一个人走了多远，以及他留下了什么。
AAD00100797	如果你现在有所质疑，那就让我们听听你的观点。如果我的承诺就是你的全部，那让我们听听看。
AAD00100798	所以...你认为在莫哈维丢个核弹就能解决问题？
AAD00100799	[成功] 为什么这样...是你教会我的。
AAD00100800	如果你足够相信某件事，你必须愿意让它烧毁，以免它吞噬你。
AAD00100801	这些双头熊的政府...军团...它们将旧世界的思想带入一个不再需要它们的时代，带入一个它们无法生存的时代。
AAD00100802	我要知道你为什么这么做，不是为了我，是为了历史的缘故。
AAD00100803	[失败]是的，这正是你在大裂谷向我证明的 - 这里的一切，你让我看到的...这已经足够了。
AAD00100804	你不明白。但你会的。
AAD00100805	你已经浪费我太多时间了，准备好赴死吧。
AAD00100806	我会完成历史的工作。如果大裂谷无法杀死你...那么，或许这旧世界的矛可以。
AAD00100807	让我们结束这一切吧，邮差，就你和我。在这里，以旧世界的旗帜为见证。
AAD00100808	我听够了，你就是个军团的叛徒，现在你该去死了。
AAD00100809	忘了这个吧。如果你想结束这一切，那就开始吧。
AAD00100810	你能和我分享点什么配方么？
AAD00100811	其实可以做个更好点儿的...正好可以调制一些。给 - 你拿着它，或许能让孪生母亲部落的历史活得更久一点。
AAD00100812	你喝的时候，要一饮而尽，否则你的胃不会想喝第二杯的。
AAD00100813	它有什么历史？
AAD00100814	历史？治好了伤口，留下了造成伤口的苦痛。孪生母亲部落总是在吸取教训。
AAD00100815	凯撒给了她们最后一个, 所以她们就这样了。配方依然存在，军团把它用在急行军的伤兵身上。
AAD00100816	几年前如果没有它，我不可能穿越绯红河小径 - 一开始流了太多血，简直是猎蜂的盛宴。
AAD00100817	多亏了小径沿途有足够的山德根和布洛克花，军团才能保证行军速度并最后到达目的地。
AAD00100818	阿什顿导弹袭击后你去过黎明镇吗？
AAD00100819	有时会去那儿走走，时间不会太常。这...仍然很重要，还有一些事情需要答案。
AAD00100820	偶尔筛过灰尘，建筑物...看看能不能找到一些历史。美国的印记。
AAD00100821	如果你想要它们，就留着吧...这是你应得的。我拿着它们没有什么好处，迟早会有更多的东西浮现出来。
AAD00100822	听起来很有用，还有多余的吗？
AAD00100823	你以为我会留下像你这样值钱的东西吗？不可能。说不定哪天你就值几个瓶盖了。
AAD00100824	你再这样跟我跑，我就把你变成铁罐。你是我的，机器人。
AAD00100825	听起来简直就是浪费时间。
AAD00100826	这就是一切的原因吗？一些战前的儿童节目？
AAD00100827	呵呵呵呵，机器人双向飞碟射击，听着蛮好玩。
AAD00100828	呜呜，可怜的小机器人失去了它的老爹。别闷闷不乐了，垃圾桶。
AAD00100829	这是多久以前的事情了？ 你还没搞定？ 升级后的导航系统也就这样了。
AAD00100830	泄露我的任何秘密，我就让你的电子内脏泄露一地。我们先说清楚。
AAD00100831	要我说，惠特利太投入了。只是机器人研究而已，又不是要孩子。
AAD00100832	没什么大不了的。你是一台被美化过的电脑，为什么要把你关掉来改善你？
AAD00100833	好吧，随便。听着，机器人：你现在是我的了。跟我走，努力让自己有用起来。
AAD00100834	你最好跟我说实话，垃圾桶，不然我就把你塞回舱里去。
AAD00100835	<道歉的哔哔声>
AAD00100836	是的，他可能已经死了。看来你现在归我了。
AAD00100837	<悲伤的哔哔声>
AAD00100838	非常好，那也许你真的对我有用。
AAD00100839	<乐观的哔哔声>
AAD00100840	
AAD00100841	男人会，正如他们走过的路。
AAD00100842	女人会，正如她们走过的路。
AAD00100843	
AAD00100844	有人说，战争 - 战争永远不会改变。
AAD00100845	
AAD00100846	掘穴者和烙印者...避开了这个孤单的身影，似乎承认了邮差的通行权...或是出于恐惧。
AAD00100847	
AAD00100848	至于邮差...他第二次转身离开自己的家，返回来时的路，在大裂谷的背叛中航行。
AAD00100849	至于邮差...她第二次转身离开自己的家，返回来时的路，在大裂谷的背叛中航行。
AAD00100850	
AAD00100851	作为他最后的姿态，他向莫哈韦的同行发出了最后一个信号，传递了邮差在大裂谷教给他的东西。
AAD00100852	有机会...总是有的，ED-E的旅程仍将继续，或许是莫哈维的另一个眼球机器人来承接...
AAD00100853	...来自大裂谷的ED-E正是从中塑造出来的。
AAD00100854	此刻，邮差了解了ED-E的历史并且带上了它，即使眼球机器人自身已经忘记了。
AAD00100855	
AAD00100856	当ED-E的电路在大裂谷的大火中烧毁时，有一个小部件坚持到了最后。
AAD00100857	正是这块碎片承载了旧世界的记忆和他的创造者在最后时刻的话语。
AAD00100858	
AAD00100859	被大裂谷的机器赋予生命的ED-E，仍然冻结在尤利西斯召唤他的军事设施中。
AAD00100860	机器人最后一次向莫哈维的同行发回的编码信息提到了升级、未上锁的记忆...然后是沉默。
AAD00100861	邮差离开工厂后不久，眼球机器人的数据库就被清空了，它被拆解的速度和组装时一样快。
AAD00100862	
AAD00100863	在离开之前，他向莫哈维的原型机传送了一个编码信号，传递了邮差在大裂谷教给他的东西。
AAD00100864	做完最后的告别，他带着旧世界的希望之歌出发了，这首歌在旅途中给了他力量和目标。
AAD00100865	无论任何，他知道会有第二个家可回，不管是不是纳瓦罗 - 他的创造者都会为此感到骄傲。
AAD00100866	
AAD00100867	ED-E，被大裂谷的机器赋予了第二次生命，并被邮差释放，继续向西探索，去往纳瓦罗...
AAD00100868	...或者眼球机器人视为“家”的遗留部分。无论是否找到了自己的家园，他的路是未知的。
AAD00100869	也许这趟旅程比目的地更有意义 - 就像他在莫哈韦的同行学到的那样。
AAD00100870	
AAD00100871	他留在那里，也许是为了惩罚他在废土上留下的伤痕 - 又或是提醒他无法忘却的历史。
AAD00100872	对尤利西斯来说...他的旅程结束了。邮差是他道路的终点。
AAD00100873	
AAD00100874	黎明镇在黑夜里无声无息地燃烧着，无形的辐射之火从里到外炙烤着它。
AAD00100875	据说仍有一个男人在街上游荡，穿着破烂的夹克，背后铭刻着旧世界的旗帜...
AAD00100876	
AAD00100877	...尽管这样做是为了表示尊重，还是对为了达到这一刻所承受的一切感到愤怒 - 那就不得而知了。
AAD00100878	解释最好留给历史,只有幸存下来的邮差才能真正知晓。
AAD00100879	
AAD00100880	斗争至最后，只有一位邮差留在了大裂谷的心中。这位真正的邮差，六号邮差。
AAD00100881	邮差从缆绳上扯下古老的联邦旗帜，把它扔在尸体上...
AAD00100882	
AAD00100883	但那条信息 - 是邮差要传递的，而且只属于他们。
AAD00100884	光摇曳着划过大裂谷，提醒着旧世界的历史仍然存在，并寻找当下的意义。
AAD00100885	
AAD00100886	邮差一直走，直到他再次站在大裂谷的边缘，这是他在第二次胡佛水坝战役之前要走的最后一条路。
AAD00100887	在那里，在他的脚边，有最后一个包裹，从一个邮差传给另一个 - 一个小型提箱，装着礼物和一条信息。
AAD00100888	}邮差一直走，直到她再次站在大裂谷的边缘，这是她在第二次胡佛水坝战役之前要走的最后一条路。
AAD00100889	在那里，在她的脚边，有最后一个包裹，从一个邮差传给另一个 - 一个小型提箱，装着礼物和一条信息。
AAD00100890	
AAD00100891	尽管对NCR来说损失惨重，但这一行为使邮差变得更强大，因为他没有历史，也没有退路。
AAD00100892	这是一种结束 - 一种抹去通往这一点的道路和与之同行的历史的方式。
AAD00100893	这是一种结束 - 一种抹去通往这一点的道路和与之同行的历史的方式。
AAD00100894	
AAD00100895	...导弹越过莫哈维前哨站，飞向NCR和15号洲际公路的商队路线，也就是故事开始时邮差所走的路。
AAD00100896	沿途的商队和NCR前哨站化为灰烬，这是来自大裂谷的旧世界礼物。
AAD00100897	...导弹向东方飞行，飞向军团在枯井的营地...卷发部落在那里结盟，然后被沃尔普斯和凯撒出卖。
AAD00100898	军团士兵死了，他们的轮廓被炸进入大地和泥土里，这是最后一个卷发部落的遗言。
AAD00100899	
AAD00100900	[成功] <开心的哔哔声>
AAD00100901	嘿，那是个内置的ArmCo便携式弹药工作台么？那可真方便。
AAD00100902	[失败] <开心的哔哔声>
AAD00100903	你有用弹药做些什么吗？比如，帮别人制作一些弹药？
AAD00100904	
AAD00100905	[成功] <开心的哔哔声>
AAD00100906	你的这个工具组真让人印象深刻。我打赌我能用它制作各种各样的东西。
AAD00100907	[失败] <开心的哔哔声>
AAD00100908	你看起来像个工具箱，你能帮我做点什么东西吗？
AAD00100909	
