WIL00000001	维儿
WIL00000484	在见识了一线生机营地割军团耳朵的任务,还有麦卡伦营地的"猎头"行动之后,我觉得NCR比我想象的要更嗜血.
WIL00000485	我简直不敢相信我们得给一线生机营地的这家伙去割死掉军团成员的耳朵,这实在太恶心了.我可不想做这么疯狂的事.
WIL00000486	这儿挺凉快的,是个挺不错的避暑的地方.
WIL00000487	也许在见识完莫哈维之后我会回到诺瓦克去生活,住在汽车旅馆的一间小平房里不是很有趣么.
WIL00000488	莫哈维前哨站的一个家伙跟我说在斯罗恩附近有一些可怕的死亡爪巢穴,我们现在不是在往那里走吧,是吗?
WIL00000489	我在想大炮族那里的蚂蚁真的会爆炸么,如果那是真的,那可值得一看啊.
WIL00000490	把那架飞机用充气垫从湖底浮起,是我看过最巧妙的一件事了.Whoosh!
WIL00000491	恶魔帮就是一群混蛋.不过我挺喜欢他们那些古怪的头骨帽子,好想也来一个呐~
WIL00000492	<哼哼小调~>
WIL00000493	<哼哼小调~>
WIL00000494	<哼哼小调~~>
WIL00000495	<哼哼小调~~>
WIL00000496	<哼哼小调~~>
WIL00000497	<哼哼小调~>
WIL00000498	<哼哼小调~>
WIL00000499	<哼哼小调~>
WIL00000500	<哼哼小调~>
WIL00000501	<哼哼小调~>
WIL00000502	<哼哼小调~>
WIL00000503	<哼哼小调~>
WIL00000504	<哼哼小调~>
WIL00000505	*哼*
WIL00000506	*哼*
WIL00000507	<困.困..>
WIL00000508	我饿了。
WIL00000509	饿了..呃,我是说,吃的..呃..我想偶尔也应该说点别的..但是.....我要吃的......
WIL00000510	再次感谢你给我的小礼物,我正在消化它呢
WIL00000511	我要把你给我的小礼物吃掉啦~谢谢你对我这么好
WIL00000512	我要来块小狗饼干,你要不要也来点?
WIL00000513	等等,渴了,让我喝点东西.我不能边走边喝,会洒一脸的
WIL00000514	等等,我渴了而且我想喝一口水,你看起来也需要喝一杯.
WIL00000515	我饿得能吃下一头大角羊了...你觉得我们停下来生堆火再准备点干净的肉怎么样?
WIL00000516	<困.....>该来点咖啡了...
WIL00000517	我都睁不开眼了..咱们要在野外站一晚上吗.....
WIL00000518	我知道你身上带着狗肉.希望你没指望我为你做那个...或者看你吃...。
WIL00000519	嘿,如果我们碰到蜥蜴的话记得弄点肉下来,可以做好吃哒~
WIL00000520	我讨厌被一堆臭苍蝇一样的破事儿纠缠着,那会把我整整一天都毁掉的
WIL00000521	你听到什么了吗?唔,可能只是幻觉..
WIL00000522	你闻你闻!太香了!
WIL00000523	我有告诉过你那段日....等等你听到了吗?
WIL00000524	我在这里泡够了,你有没有在某年某月于某时某地想过当下雨的时候我们可以去屋里避一避?
WIL00000525	有时候我很想念大狗乔乔.他是一只好狗
WIL00000526	你看到了吗?我从来没见过任何两个东西可以做那个,哇噢
WIL00000527	噢！该死的！
WIL00000528	哇噢,太帅了~
WIL00000529	你知道我想学拳击的是不?好嘛,我的四个哥哥曾经把我像个小鬼一样揍.等回到家那天我一定要好好报答他们.
WIL00000530	我只有兄弟,五个.四个哥哥和一个比我小五岁的弟弟.我一直都想要个妹妹的
WIL00000531	你吃战前食品吗?尽管我对大多数都不太放心,不过我对蛋糕的抵抗力是0...还有口香糖...还有垃圾食品....还有肉排.......还有...
WIL00000532	有一次我正在蜥蜴背后潜行,就在我要出手的一刹那一只死亡爪跳出来把它一口叼走了.,,.我当时裤子就湿了....
WIL00000533	我告诉过你我爹妈的那个汽车旅馆,对吧?我妈妈主要负责给客人做饭.我的技术就是跟她磨练出来的.
WIL00000534	有一次,我跟我兄弟在外头四处探险,然后我们发现了一些战前狗玩具,其中一部分还能嘎吱嘎吱的响
WIL00000535	我妈妈,科伦,煮的咖啡是世界上最好的.每个人都很喜欢,不仅仅是我这么说!我也试着照做过,但永远都没法达到那种程度
WIL00000536	我超爱囤东西的..你真应该看看我家后面我的屋子.简直连穿过那堆宝贝爬到床上去都是一种挑战.我妈经常抱怨这个.
WIL00000537	我有曾跟你提过我的大狗乔乔, 有一回把一只变异鼹鼠和他老娘逼到几乎疯掉结果差点把我们俩都给害死的事儿吗?我真的很想念他
WIL00000538	我的大哥,瓦尔,是一个医生,他曾经尝试过教我一些医疗技巧,结果我从来都没有掌握过诀窍.他表示我的妹妹不可能这么呆萌.
WIL00000539	我的兄弟,山姆和迪恩,曾经在克拉马斯牧场猎杀了一只特别特别大的蜥蜴.为此他们还得了一大笔的奖赏.
WIL00000540	有次,一个女孩跑进瓦尔的诊所喊道:她的宝宝生病了!他立刻收拾好东西和她一起,过去了才发现原来是一只鼹鼠宝宝!
WIL00000541	查克告诉我:有一次他非常用力的踢人脑袋,结果那可怜的家伙的头盔飞了大概有50英尺高,而且还卡在一颗树上了.
WIL00000542	如果哪天我打算想要养孩子,那我打算养5个或者6个,我喜欢一个大家庭.总有那么多有趣的事.永远都不会无聊.
WIL00000543	在我小的时候我和我的朋友贝茜有时候会去拜访以为名叫塞尔达夫人的老奶奶.她和9只鼹鼠一起生活.
WIL00000544	塞尔达夫人会做一些药水还会通过看手相来预测未来.她的预测不少都成真了!
WIL00000545	塞尔达夫人告诉我我会旅行到新维加斯并且在那儿遇到我的至爱,很有意思,不是么?
WIL00000546	我要告诉你布莱恩会玩吉他?因为塞尔达夫人告诉我们贝茜会和一个吉他乐手结婚.
WIL00000547	在莫哈维还是有些安静的地方的,有些你去的地方实在太吵了；这里有很多鸟,植物,动物他们都在发出声音.我喜欢这里的宁静.
WIL00000548	咋了，你发现啥了？
WIL00000549	怎么了？
WIL00000550	来吧！
WIL00000551	我有莫伊拉
WIL00000552	真高兴能把莫伊拉找回来,可我依然想把切斯特也找到
WIL00000553	我不知道切斯特在哪儿,线索就到这里了.你有什么主意么?
WIL00000554	呃,好吧,没错.我还真有,实际上,这有点丢人.我想他可能在那个跟我一起旅行的家伙那里,他是帮我背东西的...
WIL00000555	我们在莫哈维前哨站分开了.他是个超级人肉木头桩子.很擅长背东西,但是一点都不好玩,甚至他都不怎么说话的
WIL00000556	我有一个办法也许能找到他.虽然他不怎么提起自己,但他的确多少说过一点他要去哪里
WIL00000557	我们不用把笔记上列出的这俩地方都走一遍.如果你喜欢的话咱们就继续追下去吧.
WIL00000558	这主意不错,但是我想过了.而且..那个,这事儿的确够丢人的,我手上没有切斯特
WIL00000559	我想那个跟我一起旅行的家伙拿着他呢.他帮我背一部分行李.在莫哈维前哨站我们分开了
WIL00000560	他就是个人肉木头桩子.很擅长背东西,但是一点都不好玩,我不太清楚他的背景,但我想我知道他在哪里
WIL00000561	关于切斯特我很抱歉,但我需要去处理我的问题了,也许我们可以晚点再找他?
WIL00000562	也许你不会感兴趣,但有些事我得告诉你.,被打劫的时候切斯特可能并不在我身上
WIL00000563	我把切斯特塞在那个和我一起旅行的人的行李里了,那是个玩笑,但我恐怕忘了把他取出来了
WIL00000564	我觉得自己真是笨笨,但我还是想把切斯特找回来,如果你改变心意了的话我们就马上行动吧
WIL00000565	你是建议我们一路追踪他去把切斯特夺回来?
WIL00000566	恩,是的.没错.如果你依然有兴趣的话,我会告诉你有关他所在的一切线索
WIL00000567	那么我们也许只需要在多麻烦一点找到这哥们就好咯?
WIL00000568	我不能保证他肯定带着切斯特,但他毕竟一直背着我的小熊.那只是个玩笑,而且后来我都忘了这事儿了.所以我现在也不太确定
WIL00000569	你听上去一点都不确定,我得考虑一下
WIL00000570	好吧,不过我随时都愿意继续下去,我真的很想把小熊找回来
WIL00000571	我想我们应该试试另一个地点,然后再决定下一步怎么做
WIL00000572	好吧
WIL00000573	跟我说说切斯特的事儿,那个跟你一起旅行的人现在在哪里?
WIL00000574	他的话不多,当我问他问题的时候,他的回答多半都是"跟你没关系".但是,我还是知道了他的一些事情
WIL00000575	显然他有一个兄弟,或者是朋友,呃,是僵尸族,曾经跑到这里试着加入一些诺瓦附近的团体.
WIL00000576	而他要去找到这个兄弟或者朋友,带他回家?我猜.那就是我知道的全部了,他真的不爱说话
WIL00000577	[撒谎]我没有莫伊拉,抱歉
WIL00000578	我不相信你,你肯定有她.如果你总想这么骗人的话咱们就不用再一起旅行了
WIL00000579	呃,好吧,你赢了.我的确有..抱歉
WIL00000580	之前你就是个混蛋,现在又骗我.随便你爱糊弄谁去,但是别指望能骗我.我不喜欢跟一个我根本不信任的人一起旅行
WIL00000581	至于现在,鉴于我们还在一起旅行,如果你不介意的话我想继续寻找切斯特.当我还是个小女孩的时候他就是我的朋友了
WIL00000582	请别骗我.随便你爱糊弄谁去,但是别指望能骗我.我不喜欢跟一个我根本不信任的人一起旅行,明白?
WIL00000583	我还是想找到切斯特,我们能在旅途中分出点时间做这个吗?当我还是个小女孩的时候他就是我的朋友了
WIL00000584	[撒谎]不,真的,我真的没有.你错了.我不会对你扯谎的
WIL00000585	好吧,我会补偿对你的怀疑.但假如你真的有她,而且被我找到,别指望我会简简单单的原谅然后忘掉
WIL00000586	嘿!把她还给我!真不敢相信你想把莫伊拉从我身边抢走!
WIL00000587	别客气,维儿
WIL00000588	我向你保证过如果我们找到红颜就和你一起旅行,所以,我们要不要谈谈?弄清一些细节问题?
WIL00000589	谈?谈啥?你得跟我走,做我说的一切,懂吗?
WIL00000590	呃,不.我对那个没兴趣.我们绝对需要谈一下
WIL00000591	哦,你在调戏我,是么?给你加一分,好极了,你得到我了,行不?别闹了...
WIL00000592	是的,当然.无论你想怎么样
WIL00000593	嘿,都严肃点!在上路前有些事恐怕得说清楚,我想我们能和平相处
WIL00000594	是的,就这样吧,我喜欢把话都讲明白
WIL00000595	恩,很好
WIL00000596	有什么是你特别想谈的么?
WIL00000597	恩!我没法用枪械之外的东西作战.完全的小白..所以,要是把老娘惹急了我也能用拳头的,,比如我嗑药了..
WIL00000598	我很愿意多学一点,也很想这样,但是现在我真是一点用都没有啊.我只是想把这事儿说清楚...
WIL00000599	所以,别指望我能用枪械以外的东西作战好吗?我不要..至少现在不要....
WIL00000600	好吧,那么如果训练你一下呢?有戏没?
WIL00000601	唔,我能读拳击方面的书和杂志来学到一些有用的东西.但是他们很不好找.我也只能找到一点点来看
WIL00000602	但是如果能读得足够多的话估计我肯定可以使用更好的武器踢爆一堆坏人的屁股~
WIL00000603	哇噢!哇噢!哇噢!你知道那应该会更好?如果能找到什么人来教我呢!你的技术怎么样?
WIL00000604	没问题,我不怎么在乎.我自己宁可用枪
WIL00000605	哦，我很高兴你不介意。
WIL00000606	唔,我能读拳击方面的书和杂志来学到一些有用的东西.但是他们很不好找.我也只能找到一点点来看
WIL00000607	但是如果能读得足够多的话估计我肯定可以使用更好的武器踢爆一堆坏人的屁股~
WIL00000608	哇噢!哇噢!哇噢!你知道那应该会更好?如果能找到什么人来教我呢!你的技术怎么样?
WIL00000609	我对此不是很满意,维儿,你还能做些什么?
WIL00000610	唔..什么样的看上去才是最好的计划?如果你坚持的话我可以用拳头打架,但我不保证到底会打到谁...
WIL00000611	既然我是个很好的射手,我可以用枪很有效的保护我自己还有你.目前来说用枪之外的东西显然很蠢..
WIL00000612	但是,如果你只是跟一些会用拳头和匕首人一起旅行过的话呢,好吧,我不是你的类型.除非你愿意教我
WIL00000613	教你?怎么教?
WIL00000614	只要把你找到的拳击杂志和书给我就好啦,我会去读的
WIL00000615	我终归是会能用一些更好的武器在战斗中保护自己的
WIL00000616	哇噢!哇噢!哇噢!你知道那应该会更好?如果能找到什么人来教我呢!你的技术怎么样?
WIL00000617	好吧,忘了我说的那些.但我不会用枪之外的方式战斗的
WIL00000618	很好，忘掉我说了什么。但我不会与任何东西打一架除非带着枪
WIL00000619	我找到红颜了
WIL00000620	谢谢!
WIL00000621	我找到切斯特了
WIL00000622	谢谢你对我的帮助。谢谢你所做的一切。
WIL00000623	你有找到莫伊拉或切斯特么?
WIL00000624	有些事情得告诉你,我会要你帮我带一些我不想让你碰或使用的东西
WIL00000625	好吧,这一点也不可笑,我至少能看看他们吧,是不?好吧..我愿意帮你
WIL00000626	还有别的啥不？
WIL00000627	有些东西要给你,是一个步话机.我爸爸给我的.其中一个给我,另一个给和我旅行的人
WIL00000628	他很担心我自己一个人在外头跑,所以想也许这个可以让我更安全一点
WIL00000629	但他们现在有毛病了,只能接受信息.不过既然你有那个电脑所以也许你可以使用他
WIL00000630	你可以通过它和我说话,我碰到过其他一些带着这玩意的人,看起来工作的好极了
WIL00000631	好的,如果这就是全部,我想我们可以在路上考虑一下彼此的合作伙伴关系
WIL00000632	没什么可想的了,走吧
WIL00000633	忘了他吧,我不想让你背太多
WIL00000634	恩,我也是这么想的
WIL00000635	好的,走吧
WIL00000636	不,我不会再回来了,你把我赶走还说再也不想跟我在一块了
WIL00000637	那么,如果你想的话你就得去做一些事情证明自己
WIL00000638	不,抱歉我没法训练你.我没那个技术
WIL00000639	哦,好吧.也许我们可以找别人
WIL00000640	恩,我的确能教你
WIL00000641	哦，这是个好消息！
WIL00000642	我找到红颜了,你帮了我那么多,真是太感谢了!
WIL00000643	你还有什么别的建议?
WIL00000644	我忘了问。你叫什么名字？
WIL00000645	走吧
WIL00000646	不。我很好。谢谢。
WIL00000647	那好吧，有啥别的要说的没？
WIL00000648	好，出发吧。
WIL00000649	好吧，我们走。
WIL00000650	好吧，我们走
WIL00000651	我准备好了，我们出发。
WIL00000652	咱们上路吧
WIL00000653	无论你说什么，老大。
WIL00000654	好吧,回头见
WIL00000655	白~
WIL00000656	能占用你几分钟时间说点事儿么?
WIL00000657	当然
WIL00000658	好了,你有什么要说的吗?
WIL00000659	不,我很好,谢谢
WIL00000660	你还有兴趣让我教你一些徒手格斗的技术么?
WIL00000661	当然!我们能现在就做吗?
WIL00000662	咱们开始训练吧,准备好了吗?
WIL00000663	当然!绝对好了!
WIL00000664	抱歉,晚点吧
WIL00000665	哦,好吧,可千万别忘了
WIL00000666	好的,当然了.现在就做吧
WIL00000667	太好了。
WIL00000668	咋了维儿？有什么事？
WIL00000669	你知道你对我的拳术学习帮助有多大吗?恩~~我想现在已经完全可以实战啦
WIL00000670	等着哪天我就会用上他们挽救世界的,哼~我现在可以格斗啦,随时随地的~是不是很酷嗯?
WIL00000671	我有本拳击杂志,想读读看么?
WIL00000672	当然,谢了
WIL00000673	我找到本拳击教材,有兴趣读读看吗?
WIL00000674	当然,谢了
WIL00000675	把你从维儿那儿偷得东西交出来,然后我就放你走
WIL00000676	玩蛋去吧!
WIL00000677	拒绝和我谈话是个大错误....这让你变成了一个很好的靶子
WIL00000678	来啊!
WIL00000679	就是这家伙拿了我的的东西！
WIL00000680	我可能有,他们是什么样的?
WIL00000681	我不知道.都是些大众脸的家伙.其中有俩人,一个有一头非常亮红色的头发,另一个带着某种头盔
WIL00000682	你还好吗?他们伤到你了么?
WIL00000683	我想分手的时候到了
WIL00000684	你当真?你不想再跟我一起旅行了?
WIL00000685	呃不.这太扯了,忘了我说的吧,都是屏幕外面的那个家伙干的(不要打破第四面墙).别离开我...
WIL00000686	好吧,我会的.跟我在一起会困惑么?
WIL00000687	是的,我想让你离开.不是你的问题,只是我需要点空间
WIL00000688	好吧.我去找别人一起旅行...最后一遍,你确定吗?
WIL00000689	好吧.我去找别人一起旅行...我不需要你.最后一遍,你确定吗?
WIL00000690	是的，你走吧。我需要冷静一下。
WIL00000691	你能回Lucky 38的套间那里等我去吗拜托?
WIL00000692	你不一起?好吧,不过那可真够无聊的,我一点都不喜欢那里
WIL00000693	把你从维儿那儿偷得东西交出来,然后我就放你走
WIL00000694	别在意
WIL00000695	哦,好吧
WIL00000696	噢!你看到那个玩意..呃..是个大个蜥蜴吗,不管那是个啥,就在那儿?我们能去看看吗?我打赌它可以一口吞了你
WIL00000697	干得好，这是夕阳沙士徽章。喜欢么？
WIL00000698	谢谢,这很特别.我非常喜欢.
WIL00000699	你介意在这里继续警戒一会吗?
WIL00000700	好的,没问题
WIL00000701	我听说过那个诺瓦镇外面的僵尸族人,我知道他们在哪儿
WIL00000702	你有?真是个好消息啊,我们能去那里么?
WIL00000703	布莱特的追随者们早不在那里了.好吧,至少是我知道的大部分人
WIL00000704	我不认为那有什么关系.这并不意味着他没有来这里找过他的朋友
WIL00000705	咱们去诺瓦克吧.我们可以问问那片的僵尸族们有关你朋友的事儿,他叫什么名字?
WIL00000706	他的名字..恩..好吧,我一直管它叫大个子. 我们在一起那么久了但他从来都没告诉过我他的名字,古怪吧,是不?
WIL00000707	所以，我想你需要他的描述。他非常高大，他戴着牛仔帽，羽毛。哦，他是一个食尸鬼。
WIL00000708	多谢告知,如果路过诺瓦克附近我们就停下来查查看
WIL00000709	好吧,希望最终我们到那里的时候还有什么可以找得到的
WIL00000710	是的,我们可以去那里找切斯特.
WIL00000711	能吗?现在?哇噢,出发吧!
WIL00000712	哦,另外你一定想知道咱们到底在找谁,对不?他是一个很高很大的僵尸族,另外他还戴着一顶插着羽毛的牛仔帽
WIL00000713	我不知道他的名字,如果你能相信的话.在一起的时候我一直叫他大个子而已.他有一只叫J.T的狗
WIL00000714	等最终到那的时候我们就到那儿了
WIL00000715	好吧,我能理解..我会试着耐心一点
WIL00000716	我同意,我想我们应该立刻去那里
WIL00000717	好极了,走吧
WIL00000718	哦,另外你一定想知道咱们到底在找谁,对不?他是一个很高很大的僵尸族,另外他还戴着一顶插着羽毛的牛仔帽
WIL00000719	我不知道他的名字,如果你能相信的话.在一起的时候我一直叫他大个子而已.他有一只叫J.T的狗
WIL00000720	当然,但他现在可能早离开了.所以我们没必要催命一样的....
WIL00000721	好吧,希望等我们到那儿的那天还有些他的线索可查
WIL00000722	我没有什么威胁,我也不凶
WIL00000723	是,我看得出来
WIL00000724	你到底为什么来的?
WIL00000725	很好,你可以回答我一些问题么?哇噢,对一个僵尸来说你的头发还真是稀罕
WIL00000726	我很在乎形象的.早在我变成"她"并和杰森还有那帮追随者们在一起之前的相当长一段时间里我都是个演员
WIL00000727	再之前,我的脸蛋让我得到了一份工作...而且很忙...而且很靠近聚光灯和兴趣盎然的人群,但我真不该继续下去的.
WIL00000728	我只能说,谢谢,以一位女士所应有的礼节.我觉得这真的是我笑容背后最大的财富.你同意吗?
WIL00000729	啊,当然,绝对的.我正在找一个人,有见过一个个子很高戴着一顶牛仔帽的僵尸么?
WIL00000730	<谨慎的笑> 有见过一个个子很高戴着一顶牛仔帽的僵尸么?
WIL00000731	我得说你的头发就是你最好的财富,既然你问了.我没在一堆烂糟牙里看到什么魅力
WIL00000732	好吧,你的方式差了点,但你很诚实.我能为你做些什么
WIL00000733	你是在说杰佛森对嘛?
WIL00000734	我跟他们说杰佛森跑进莫哈维沙漠里去了,在其他的追随者们之前.但他再也没回来过
WIL00000735	我们都只当他已经死了
WIL00000736	如果他死了的话你知道为什么杰佛森每天都会回来转转吗?
WIL00000737	不,我不知道他为什么一直这样.但是,我想见他,所以我一直都没有阻止他这样
WIL00000738	你们今天在哪里见面?
WIL00000739	我真的不知道.有些时候直到下午三四点我才能看到他
WIL00000740	但我知道他在大门外宿营,那里有张床,他就睡在那里
WIL00000741	好的,谢了.但你为什么在这里?为什么不进城去和杰森还有其他的追随者呆在一起?
WIL00000742	我想念火箭.我在废土里游荡,我不知道,真的..我真不知道现在我还能干什么..
WIL00000743	我想跟他一起走
WIL00000744	但我不知道如果他是不是愿意带上我.我没这个勇气去问
WIL00000745	好的,谢谢.这是什么地方?你怎么在这儿?
WIL00000746	这里是布莱特的追随者的家.杰森布莱特是领袖
WIL00000747	我受够杰森了,还有这个地方,还有那些追随者.我宁可躲着点
WIL00000748	但是,我不知道他是不是愿意带上我,我没那个勇气去问
WIL00000749	哦,谢了.再见
WIL00000750	回头见
WIL00000751	我在找一个人.有见过一个带着牛仔帽的高个子僵尸吗?
WIL00000752	是的,他每天都会来看我.好吧,不是我,他是在找杰佛森的追随者
WIL00000753	但是我喜欢这么以为,我有点迷恋他,他是那么高大英俊..
WIL00000754	我在找一个人.有见过一个带着牛仔帽的高个子僵尸吗?
WIL00000755	你想让我代你去跟他谈谈么?我可以问问等他离开的时候是不是愿意带着你
WIL00000756	是的,那样太好了
WIL00000757	谢谢你的帮助,再见了
WIL00000758	回头见
WIL00000759	哦,你叫什么?当我跟他说话的时候一定会问的
WIL00000760	杰茜卡, 谢谢你的帮助
WIL00000761	再见
WIL00000762	回头见
WIL00000763	实在太感谢你了,我必须准备好离开了。
WIL00000764	哦,谢谢.为什么你会在这里晃荡?
WIL00000765	我受够杰森了,还有这个地方,还有那些追随者.我宁可躲着点
WIL00000766	但是,我不知道他是不是愿意带上我,我没那个勇气去问
WIL00000767	乖狗狗!
WIL00000768	汪，汪
WIL00000769	真是个棒小伙子,是不?
WIL00000770	呼呼
WIL00000771	真希望我能有块狗饼干给你,哥们
WIL00000772	呼呼呼~
WIL00000773	<咕哝..>
WIL00000774	想要块狗饼干吗小伙子?
WIL00000775	蠢货,你根本不知道我在说什么,是不?
WIL00000776	<哀嚎..>
WIL00000777	早安。
WIL00000778	哦，啥都比不上在一张舒服的床上睡个安稳觉了。
WIL00000779	我需要一些咖啡。
WIL00000780	你有吗?可以给我点吗?
WIL00000781	当然
WIL00000782	那个杰茜卡,布莱特的追随者?就是每天等着见你那个?
WIL00000783	当然
WIL00000784	她已经爱你爱的痴狂了,想和你一起私奔呐
WIL00000785	是啊，我知道。
WIL00000786	你也许可以考虑问问她是不是愿意跟你一起走了,我想她很喜欢你
WIL00000787	可能吧
WIL00000788	她的确是!而且她很辣!瞧瞧那迷人的笑容和那秀发吧!你还犹豫什么呢
WIL00000789	你说的对,我得上...
WIL00000790	那么你离开的时候会带上她吗?
WIL00000791	当然
WIL00000792	我听说你在找一个叫杰佛森的男人
WIL00000793	当然
WIL00000794	但很明显他已经死了不是吗?所以你还呆在这儿一定是有一个好理由
WIL00000795	维儿告诉我说你不怎么爱说话,还真是
WIL00000796	但是,他死了.你在浪费时间.所以你还打算继续戳在这儿等着他出来么?
WIL00000797	恩,没错.有问题?
WIL00000798	我看到笔记了,你肯定是特别缺钱才会在这里逛荡个没完没了的
WIL00000799	当然
WIL00000800	不,我一点都不惊讶.他会一直在这里打听僵尸族在这片的活动情况
WIL00000801	哦,那个.他们曾说过那些僵尸族就在诺瓦偏西一丁点的一座山上
WIL00000802	曾有过一个带着牛仔帽的高个子僵尸族来这里问过问题么?
WIL00000803	是的,但他什么纪念品都没买,如果你是想问这个的话
WIL00000804	只是一点点,他来这里问到其他的僵尸族,那些在Repcon机器人公司的
WIL00000805	当然
WIL00000806	曾有过一个戴着一顶插着羽毛的牛仔帽的高个子僵尸族来问过你什么问题吗?
WIL00000807	谁派你来的?我不会说的.他们也曾试着让我开过口.但我什么都没说.所以也"别打此时此刻的主意",这是伟大的高姆说的!
WIL00000808	我不禁想收拾收拾，看起来真是糟糕透顶。要是我看到啥好东西我就偷偷的把它顺出来。
WIL00000809	*哼哼*
WIL00000810	嘿,J.T,怎么样啊乖狗狗?
WIL00000811	呼呼呼
WIL00000812	汪，汪
WIL00000813	好吧。
WIL00000814	[撒谎]她说那些追随者们想让你立刻离开
WIL00000815	我明白了
WIL00000816	离开.这对每个牵涉其中的人来说都是最好的情况
WIL00000817	你在开玩笑吧？
WIL00000818	他们不想让你呆在这里,她也不想
WIL00000819	我懂
WIL00000820	你拿得是什么?放弃吧.杰佛森已经死了
WIL00000821	你可能是正确的。
WIL00000822	你是想告诉我你不打算走么?她说如果你不打算离开的话就让我好好关照你
WIL00000823	我不会的
WIL00000824	既然你这么不合作的话我想是时候对你做一些必要的事情了
WIL00000825	吃这个。
WIL00000826	我会给你点时间让你好好考虑一下
WIL00000827	当然
WIL00000828	我知道把他带回去有悬赏,但他死了.你这辈子都甭打算看到那些钱了
WIL00000829	当然
WIL00000830	你已经尽了最大的努力,也做了所有你可以做的,但现在你应该离开了
WIL00000831	你是对的,我应该这样
WIL00000832	我跟他谈过了
WIL00000833	然后?
WIL00000834	他死了
WIL00000835	你杀了他吗？好了，你他妈的！
WIL00000836	他说他愿意带着你一起离开.好消息恩?
WIL00000837	谢谢你
WIL00000838	在这里，请在此。这不是很多，但它是我的一切。我想给你，感谢你为你做了什么。
WIL00000839	你们俩在哪儿见?
WIL00000840	在他来的地方.NCR的某处.只希望每件事都会变得顺利起来
WIL00000841	我试着劝他带我一起回到维加斯去或者就在莫哈维沙漠里的某处也可以,但他不是很感兴趣
WIL00000842	躺到你的铺盖卷上去
WIL00000843	好吧
WIL00000844	嘿。
WIL00000845	真没想到我们还能再找到你.切斯特还在你身上吗,我的小乖熊?
WIL00000846	当然
WIL00000847	你穿的那个真不赖,能在路上给你提供更多舒适保护吧?
WIL00000848	当我离开布莱特的追随者之后就只剩下这个了.这是我还是演员时穿的服装之一
WIL00000849	另外,他喜欢我选的路,而且有他保护我的安全,对一个姑娘来说还有什么可追求的呢?
WIL00000850	你在这儿干什么呢?
WIL00000851	离开前我们在这里最后怀念一会..
WIL00000852	[撒谎] 他根本不想理你.我试着说服他改变心意了,抱歉
WIL00000853	谢谢你的努力...可以让我独自呆一会吗?请离开吧
WIL00000854	回去睡吧,抱歉把你弄醒了
WIL00000855	<打哈欠> 没事...拜拜....早上见
WIL00000856	起了,懒虫.该出发啦
WIL00000857	<迷糊中.....>  来了来了.....
WIL00000858	太棒了!
WIL00000859	哦,如果什么时候你想借红颜用用的话请随意,反正我可以用这个....
WIL00000860	另外我想了想,你知道的,既然搏击没什么问题,估计匕首这类的玩意现在对我也没什么难度了...
WIL00000861	你混蛋。
WIL00000862	我也想要个火箭纪念品嘛...好不好 -。-
WIL00000863	我可以借你的红颜步枪用用吗,维儿?
WIL00000864	好吧，当然。要照顾她。
WIL00000865	我会的!谢谢
WIL00000866	你想把红颜要回去吗?我用好了
WIL00000867	还记得不,你承诺说不管能不能找到红颜步枪都会跟我一起旅行的,对不?
WIL00000868	我正在跟你旅行呢
WIL00000869	我想跟你说点事儿,呃又一次.有关跟我旅行的事,大概..红颜步枪得缺席了..
WIL00000870	我还以为咱们这事儿咱们解决了?我已经在跟你旅行了啊,还要说什么...
WIL00000871	你还是没有找到红颜步枪,而且咱俩之间的关系一点都没变化.不能这样下去
WIL00000872	好吧,咱们把这事解决了吧
WIL00000873	不,我是说,真正的跟我一起旅行,和我在每件事上采取积极的配合态度
WIL00000874	我还不够配合?
WIL00000875	你可以更配合一点.你保证过如果找不到步枪的话也会跟我好好旅行的
WIL00000876	那么你是有真的找红颜步枪了呢,还是因为我答应过无论如何都会旅行,所以压根就不打算找呢?
WIL00000877	我的确是那么说过,没错.但是我们根本就还没怎么找呢.我们早晚还得扯回这个问题
WIL00000878	你可以更合作一点的,你承诺过即使找不到你的步枪也会跟我紧紧在一起工作的
WIL00000879	是的,你真行.我只是想让你知道这事儿总得有点盼头
WIL00000880	盼头?
WIL00000881	等我们找到我的步枪,咱们就会紧紧的在一起融洽的合作了
WIL00000882	哦,好吧,谢谢
WIL00000883	我知道你还没得到枪,但令我不开心的是现在的状况.我想从你那得到更多,马上!
WIL00000884	我还没打算放弃寻找我的枪,估计如果你得到了你一直盘算的东西也就不会再去找她了,所以,不,现在不行
WIL00000885	你向我承诺过,现在你打破了这个诺言让我实在很困扰
WIL00000886	我很抱歉,但我这么做有我自己的理由,就在给我多一点时间吧好吗?
WIL00000887	我们就不能达成共识么?
WIL00000888	不,大概不能.除非你能把那把枪重新背在背上,不然你只是出于某种理由在玩我
WIL00000889	所以你不打算再实践你的诺言了是吗?
WIL00000890	我没那么说,我只是想在说服自己放弃前再多找一阵子而已
WIL00000891	我只是想告诉你我理解你现在为什么这么裹足不前
WIL00000892	你知道?
WIL00000893	当然.你以为假如你放弃的话我就再也不会去找那把枪了.所以,别担心
WIL00000894	谢谢
WIL00000895	有些事情必须改变,我对这种辩论实在很不爽
WIL00000896	我想找到红颜枪,而且,那比遵守诺言的感情还强烈,抱歉
WIL00000897	我不打算改变我对步枪还没找到这件事儿的看法.你可以对我和我的诚信问题随便怎么说
