FO300000001	.32手枪
FO300010677	或许我们该把他留下，他一直在拖我们的后腿。
FO300010678	或许你说得对，非常棒。我会告诉他，然后我们将继续下一步。
FO300010679	让我们快点搞定。
FO300010680	算了。我什么都没有。
FO300010681	抱歉，我想现在我什么也做不了。
FO300010682	我们不能继续再在这拖延，得做点什么事。有没有什么地方能找到药品？
FO300010683	给，来点治疗针 ，会让他好过一点。
FO300010684	啊，那么。如果你不介意的话，让他们去找李博士。
FO300010685	我这有点治疗针。
FO300010686	是的，这看起来足够了，一旦我们到达五角大本营就需要让他接受治疗，而现在要帮他坚持到那。
FO300010687	谢谢。给我几分钟时间，我们就可以继续了。
FO300010688	我们需要对加尔萨采取些措施。
FO300010689	我没带日常急救药品。我当时离开的太匆忙仓促了。
FO300010690	嗨。有什么我可以帮忙的吗？
FO300010691	嗨，利奥，你能来帮我介绍下吗？
FO300010692	我怎么跟你说的？不是在这。等我从那餐馆里出来的时候 你再来请教我吧。
FO300010693	那会怎么样？
FO300010694	嗯，当然没问题。
FO300010695	我还能说什么呢？说不吗？你让我别无选择。
FO300010696	你在这干什么？
FO300010697	听着。留着你那毫无依据的判断吧。只要你不告诉珍妮和安迪，我们之间就没有麻烦。
FO300010698	你的上瘾问题怎么样了？
FO300010699	我才刚开始，不过到目前为止还蛮顺利的。
FO300010700	你的上瘾问题怎么样了？戒掉了吗？
FO300010701	这事相当困难, 不过一切都会好起来的。再次感谢你,你确实让我明白了许多。
FO300010702	你的上瘾问题怎么样了？戒掉了吗？
FO300010703	这已经跟你没关系了。记得吗？
FO300010704	你能告诉我一些避难所科技的情况吗？
FO300010705	从我所搜集的资料来看，它位于特区废墟。这是我从商队那打听到的。
FO300010706	他们告诉我说那防御系数很高，内部有一个什么主体框架的东西。
FO300010707	我想那儿是非常危险的。如果我是你，就会格外小心。
FO300010708	这斯特拉迪瓦里小提琴值这么多钱吗？
FO300010709	你要向我发誓，你不会做不守信的事。
FO300010710	当我看到斯特拉迪瓦里小提琴的时候，我要如何识别？
FO300010711	从我高祖母的日记来看，我可以推断她一定为她的日记本做了一个特殊的加密码的盒子。
FO300010712	我没法说更多细节了，虽然我以前从未见过它，但当我把它握在手里时，我肯定知道是真是假。
FO300010713	你骗得了我的眼睛，但是骗不了我的耳朵。
FO300010714	你有92号避难所的信息吗？
FO300010715	对不起，我也希望我有这么做。我只知道避难所科技是设计来保护世界上的音乐天才的。
FO300010716	当核弹落下时，避难所关闭了，剩下的那些事都成了迷团。
FO300010717	或许当你找到它的时候还可以找到一些它内部发生的记录。
FO300010718	你对索耶尔的斯特拉迪瓦里小提琴了解多少？
FO300010719	恐怕了解的不是很多，它是一个叫安东尼奥·斯特拉迪瓦里的著名意大利制琴师在1714年制作的。
FO300010720	他制作了好几把斯特拉迪瓦里小提琴，每一把都以制作时间来命名。
FO300010721	核弹落于废土，祸及世界上的大部分国家和地区。可以肯定地说， 这是最后一把斯特拉迪瓦里小提琴了。
FO300010722	告诉我一些你太-太-太祖母的事。
FO300010723	她是一个了不起的女人，她的名字是希尔达，她有着与生俱来古典的气质和对小提琴的卓越天赋。
FO300010724	而她的骄傲和快乐来源于斯特拉迪瓦里小提琴，我只能猜想这乐器必定很精致。
FO300010725	当战争硝烟四起, 她被避难所科技邀请到92号避难所，他们宣称那里会保护这世界仅有的音乐天才。
FO300010726	庆幸的是，她接受了。在她进入92号避难所之后，核弹落下，我所知的就这些。
FO300010727	那我要做些什么，探索整个废土并寻问小提琴的下落吗？
FO300010728	你不怎么懂得礼貌，对吧？我有预感这将是一桩纯粹商业性质的交易，也行。
FO300010729	我建议你去特区废墟的避难所科技总部找找。不妨从那里着手。
FO300010730	真的吗？太棒啦！
FO300010731	谢谢，你可能不知道这对我而言意义有多么重大。
FO300010732	祝你好运！
FO300010733	知道92号避难所在哪里吗？
FO300010734	这就是问题所在，我不知道它在哪里。
FO300010735	我建议你去特区废墟的避难所科技总部找找。不妨从那里着手。
FO300010736	祝你好运！
FO300010737	你知道，我的母亲常叨念着“耐心足比头脑好更管用”。
FO300010738	不过，要是你急着离开，我可以略过这段情节，我正在寻找一把独特的小提琴，名叫斯特拉迪瓦里提琴。
FO300010739	它在92号避难所，我的高祖母曾在那生活过。
FO300010740	很抱歉打断你的话，但我在哪里才可以找到小提琴？
FO300010741	我很抱歉。我知道自己挺罗嗦。还不是因为内心孤独嘛。
FO300010742	如果你一定要知道的话，好吧，那我告诉你问题的关键。我正在寻找一把特殊的小提琴，不是随便一把。
FO300010743	你要找的那把小提琴叫做索耶尔·斯特拉迪瓦里。它在92号避难所里，我的高祖母以前就住在那里面。
FO300010744	我需要些时间来思考这问题。
FO300010745	我理解。请不要误认为我是不值得信任的，我回避你的问题，那只是持种谨慎的态度。
FO300010746	随你，喜欢就好。
FO300010747	好了，我向你保证，我会尽力为你找到那把小提琴的。
FO300010748	哦，我想我有好几年没现在这样兴奋了！我信守诺言，弹药盒的钥匙，就在电台桌子底下。
FO300010749	在你离开前，我有些消息可以帮助你，至少给你一个着手点。
FO300010750	哦，我想我有好几年没有如此开心了！
FO300010751	在你离开前，我有些消息可以帮助你，至少给你一个着手点。
FO300010752	对此我很感兴趣，但你会给我些什么好处？
FO300010753	你也看到了，我真的没什么值钱的东西。我是说，实质性的价值。
FO300010754	我能给你的与我给商队提供的回报是一样的：那就是我电台的频道和美妙的音乐。
FO300010755	小提琴？这东西很难能从战争中残存下来。
FO300010756	是的，非常可悲吧？再也找不到以前制作乐器的方法了，多叫人伤心。
FO300010757	哎呀，庆幸的是，我知道世界上最后一把残存的小提琴遗落在什么地方。
FO300010758	如果你保证去替我寻找它，那我可以告诉你更多的相关细节。
FO300010759	我们开门见山吧，你缺什么东西不？
FO300010760	你很直率。虽说并非是个优点，但有时确实是做事的最佳手段。
FO300010761	我的生意依赖于小提琴。没有它我可没办法演奏，创造不出音乐。
FO300010762	如果你能给我带一把更好的小提琴，我会感觉踏实得多。
FO300010763	你自己做了把小提琴？让人惊讶。
FO300010764	谢谢。比起我丈夫的特殊嗜好，我恐怕只是制作了那件可怜的乐器。
FO300010765	我只希望我能够用更好的东西来取代它。
FO300010766	你丈夫的电台可以覆盖整个首都废土？
FO300010767	没错，那套设备是我丈夫的骄傲，他修修补补弄了好几年才终于让那东西运作起来。
FO300010768	我试过用它来寻找我想要的东西，但是从来没有成功。
FO300010769	这听起来有点悬啊，要是商队永远不来怎么办？
FO300010770	嗯，我总能依靠我丈夫的老电台。
FO300010771	我只在紧急情况下使用过一次，那回一群歹徒离我的房子只有咫尺之遥。
FO300010772	我在电台里播放用我自制的小提琴演奏的别样音乐。
FO300010773	有需要我帮忙的地方吗？
FO300010774	既然你说起，是的，还真有。
FO300010775	我的生意依赖于小提琴。没有它我可没办法演奏，创造不出音乐。
FO300010776	如果你能给我带一把更好的小提琴，我会感觉踏实得多。
FO300010777	你能有什么东西可以拿来交易的？
FO300010778	除了提供庇护以外？嗯，我还提供一些娱乐活动：我用自制的小提琴演奏音乐来换取一些物品。
FO300010779	不亲自演出的时候，我会使用我丈夫那个老电台。商队都说那音乐让他们在废土寂静的夜晚中保持斗志。
FO300010780	对不起，我一定是压力太大了。我道歉。
FO300010781	唉，我丈夫总是忠告我要尽弃前嫌。我真应该听取他的意见，愿他安息。
FO300010782	你的道歉我接受了，之前你说的话我也抛之脑后了。
FO300010783	我虽然耐性不错，但你不要太过分。
FO300010784	不管怎么样，我还是那句话，尽释前嫌。
FO300010785	再次表示歉意，我不知道是怎么了。
FO300010786	随便啦，奶奶，我不在乎。
FO300010787	那差不多就是我要对你这种人做的事！
FO300010788	当你走进来的时候，我原以为你会和那群乌合之众不同，现在看来我错了。
FO300010789	等你变得更懂得礼貌后再来找我谈。
FO300010790	撕烂它！
FO300010791	我对你够冷静、够耐心，但你并不知恩图报，那好吧。
FO300010792	既然你只会来粗的，那么我也来给你露一手。他妈的从我的房子里滚出去！
FO300010793	我其实一点也不他妈的在乎。
FO300010794	不是我的错，祝你好运，警长。
FO300010795	是你引起的，不是我。
FO300010796	100个瓶盖？好吧，我会去处理它的。
FO300010797	好极了！让我看看你都会做些什么，小心。
FO300010798	我不需要报酬。我只要一想到你们随时都会被炸死，我就无法安然入睡。
FO300010799	爆破专家收费可不便宜，我需要500个瓶盖。
FO300010800	
FO300010801	我知道我不应该信任你，该死的家伙！但是你选错人来耍了，我现在不得不杀了你。
FO300010802	实际上，警长，我正打算引爆核弹。
FO300010803	我知道我不应该信任你，该死的家伙！但是你愚弄错对象了，我现在不得不杀了你。
FO300010804	实际上，警长，我正打算引爆核弹。
FO300010805	让我们谈点别的。
FO300010806	好的，说吧。
FO300010807	知道能在哪弄点喝的吗？
FO300010808	当然。莫里亚蒂那你能找到酒。要是你想找点儿吃的，那么你就去黄铜灯。
FO300010809	这镇上有医生吗？
FO300010810	对。他有些怪癖。但是人还不错，在打扰他之前确认你真的不舒服就行了。
FO300010811	穿过黄铜灯来时的路，你能在小坡下的广场找到他。
FO300010812	这镇子为什么叫核弹镇？
FO300010813	这镇子名字来源于坐落在中间的核弹来命名的，那核弹至今未引爆。
FO300010814	当然，随意。
FO300010815	很高兴我们彼此能相互理解。
FO300010816	你还没有切断所有的联系？
FO300010817	老天爷，不。有个商队会经过，大概一周一次。
FO300010818	我和他们交易些必需品，并备足货物，直到下次他们回来。
FO300010819	我猜你们不大有客人吧。
FO300010820	除了商队，你可是长久以来第一个进我房子的人。
FO300010821	听着，不是因为我在这方面缺乏尝试精神，只是我不走寻常路罢了。
FO300010822	与世隔绝的生活保护了我，但也使我感到寂寞。
FO300010823	哦，你丈夫死了？我很遗憾。
FO300010824	你人很好。
FO300010825	是的，他走了。在他修建这地方后，我们在一起快乐地度过了许多日子。
FO300010826	我们决定和外界断绝联系，相濡以沫地生活。
FO300010827	我更喜欢自己做自己的事，而且我建议你也这么做。
FO300010828	我所做的不过是让你在我家避难。你没必要对我发火，年轻人！
FO300010829	我所做的不过是让你在我家避难。你没必要对我发火，年轻人！
FO300010830	探索中。
FO300010831	坦白说，这外面什么都没有。要找沙子，石头？我们倒是有很多。
FO300010832	我们当然欢迎你来这游荡。不是我要泄你的气，我只是为你节省时间。
FO300010833	我丈夫建造了这地方，只是为了他的灵魂能够安息。
FO300010834	真有趣，我正要问你相同的问题。
FO300010835	哦，不要担心我。我在这很好。
FO300010836	我丈夫，愿他安息，确保我们的房子不被恶劣的天气和废土居民破坏。
FO300010837	就要这些吧。
FO300010838	那好吧。
FO300010839	如果你这样说的话。
FO300010840	你在这干嘛？
FO300010841	科尔文认为他是个好射手。男人的错觉。
FO300010842	你在“里昂斯的骄傲”里的岗位是什么？
FO300010843	该死的，我什么都干。侦察，破坏，突袭。你可以叫我“里昂斯的骄傲”全面手。
FO300010844	你在“里昂斯的骄傲”里有什么战斗特长？
FO300010845	这么说吧。特种部队。
FO300010846	你在“里昂斯的骄傲”里的特长是什么？
FO300010847	好，随便。
FO300010848	我就是这么想的。
FO300010849	我受够了你这狗屎，达斯科。
FO300010850	哦？真的吗？我知道你们这些流浪者。你们干掉了几只辐射蝎，就以为他妈的这成了你们的地盘。
FO300010851	但在这里事情有所不同。你要是有意见，熄灯后到里昂斯的房间来找我。
FO300010852	我会用最古老的方法来解决你小问题。
FO300010853	道歉需要勇气。陌生人，或许你没有那么糟糕。跟你说吧，给我买杯酒我们就算扯平了。
FO300010854	你要怎样才肯滚蛋？
FO300010855	我是这么学的，有一天你也会这么教给别人。少罗嗦，菜鸟，继续干活。
FO300010856	教导的那个兄弟是个聪明人，新兵。但即使是意志也需要练习。回到正题上吧。
FO300010857	我明白。如你说的：只要渴望生存，人就不会被击败。
FO300010858	我明白，长官。正如你所说：让你的灵魂犀利，让你的心像钢铁一般去战斗。
FO300010859	那你就达到了更高的境界。战斗不是在大脑中，而是靠激情、本能和生存的意志。
FO300010860	你不像看上去的那么白痴。记住，战斗时想太多是会送命的。你必须比你的敌人更“渴望”生存。
FO300010861	我感觉不错，长官。我想我领悟你说的了。当我放松下来，只见到目标，一定就弹无虚发。
FO300010862	我想我听懂了，长官。当我的内心宁静且专注的时候，我就只看到目标了。
FO300010863	不要用你的眼和手去射击。好士兵是用心去杀人。专注、锁定你的目标然后摧毁它。来，再试试。
FO300010864	长官，还有什么要诀吗？无论我怎么做，我所有的射击都偏左。
FO300010865	长官，如果不是武器的原因，那是什么？
FO300010866	你开玩笑吗？新兵，这不是武器的问题！好好握紧你的枪，不要象该死的牛仔那样从屁股后拔出枪就开。
FO300010867	新兵，武器不是问题。你只要像该死的老奶奶一样射击就行了。不如打那个，我们的大枪小妞可是百发百中的。
FO300010868	该死。长官，我想我手枪的瞄准镜是偏的，就算我瞄得死死的，开火时还会偏左。
FO300010869	长官，这件武器有点不对劲。开火的时候，我能听见弹壳撞击枪膛的声音。
FO300010870	
FO300010871	这已经是特佩尼的老生常谈了。
FO300010872	
FO300010873	穷人想发财，富人只是付诸于行动而已。
FO300010874	我们必须忘掉那些不纯不净的想法。
FO300010875	在尘埃覆盖的广阔平原上，新的城市将拔地而起，仿佛凤凰涅磐，为了新生活重新展翅高飞。
FO300010876	永远不要去想自己是否对得起自己的所得，而是要去想自己是否完全利用好它们了。
FO300010877	所有人都生来平等，但不可能一直平等。
FO300010878	乞丐必须放下他的碗，因为人们要用两只手来掌控未来。
FO300010879	让我们把对过去的恐惧转化为对未来的希望。
FO300010880	穷人不明白他们为什么穷，富人知道他们为什么富。
FO300010881	
FO300010882	现在又是特佩尼的老生常谈。
FO300010883	现在是特佩尼的老生常谈。
FO300010884	歌曲2
FO300010885	歌曲1
FO300010886	你可以信任我，我自己就是医生。
FO300010887	好的，我想受过医疗训练的人多少有些同情心。或许你可以和这男孩好好谈谈。
FO300010888	想的美，如果你真的确实受过医疗训练，或许我们可以谈谈。
FO300010889	那算了。
FO300010890	对。
FO300010891	我只是想帮忙，医生。
FO300010892	好的，我之所以告诉你这些因为你看起来不错，我希望你可以和这男孩好好谈谈。
FO300010893	你看起来很高兴。有什么可以要和我分享的吗？
FO300010894	没有，当然没有。我高兴是我的工作可以继续了。对于这工程，詹姆斯是必不可少的。就这些。真的。
FO300010895	我告诉过你，我找到他了。
FO300010896	看来你做到了。我为我的怀疑向你道歉。
FO300010897	我将会从这走到哪？
FO300010898	一直走到这层的东北尽头，那附近有你要找的对讲机。
FO300010899	一直走到博物馆层。在你所在的那层尽头北面，有个你可以使用的门。
FO300010900	主机在安保层，在你刚才开启的水泵旁。
FO300010901	你在正确的楼层。一直向西走。找一个大自动门。
FO300010902	你找的保险丝盒在蓄水池附近，一直往下走。
FO300010903	继续往回走，到主实验室来。我在那等你。
FO300010904	排水泵在这层的南面。
FO300010905	一直往下走。在这层的南面有个楼梯。
FO300010906	我真的没法告诉你怎么走，因为我不知道你在哪。
FO300010907	我现在在哪？
FO300010908	现在你在一个大蓄水池旁，从河里流过来的水存在那等待处理。
FO300010909	你在安保层。这里全是污水槽、处理设备和电源系统。
FO300010910	你在的地方曾经是老博物馆的礼品店。现在有好多工程机械扔在那。我们刚提到过的博物馆层。
FO300010911	根据显示，你在底部的某处。我目前无法再准确了。
FO300010912	和我说说教堂。
FO300010913	关于这个问题的答案，我推荐你去见我的丈夫，忏悔者克伦威尔。
FO300010914	能修理我的装备吗？
FO300010915	对不起，我关门了。明天再说。
FO300010916	多亏了你不再让我浪费时间去写什么书了，我才有机会提高我的修理技术。
FO300010917	当然，好的。随你。
FO300010918	做点有意义的事情感觉真好。
FO300010919	好的，让我擦掉手上的双头牛屎。
FO300010920	如果你有瓶盖，我就有技术。
FO300010921	除非它是个冒汽的矿渣堆，否则我的答案是肯定的。
FO300010922	你有瓶盖？那就没问题了。
FO300010923	让我看看你都卖些什么。
FO300010924	对不起，我关门了。明天再说。
FO300010925	我现在有太多的事可做而不是忙着写那本书了。这多亏你的帮忙啊，我理应给你打个折，呃？
FO300010926	当然的。
FO300010927	嗯，好的。
FO300010928	你需要什么？
FO300010929	当然的！
FO300010930	正是如此！
FO300010931	你需要什么？
FO300010932	谢谢，李博士。
FO300010933	如果它能帮我，那我会接受。我信任你，李博士。
FO300010934	好的，如果你没问题，我们就继续。
FO300010935	谢谢，李博士。我已经感觉好多了。让我们继续吧，不要在这浪费更多时间。
FO300010936	加尔萨，来。这能帮你感觉好些。一旦到了五角大本营，你就会好的。
FO300010937	什么把你吓成这样？
FO300010938	我意思是，他们有枪又有肌肉。为什么他们不打破门，把我们带走？
FO300010939	我们已经很惨了，需要些帮助。
FO300010940	你懦弱吗？
FO300010941	听着，伙计。如果你认为我会逞英雄招来子弹，那你就大错特错了。
FO300010942	如果我知道他们来了，我会像其他人一样把自己锁在屋里。我们已经很惨了，需要帮助。
FO300010943	李博士的实验室在哪？
FO300010944	左手的门通到楼梯间，到楼梯间再转西。
FO300010945	在船尾。在你的西面。
FO300010946	如果你现在不阻止它，那该怎么结束？做你觉得对的事吧。
FO300010947	是的，我想是这样。非常好，你有你的梦想。一旦你离开，我就会终结英克雷。
FO300010948	我没法阻止奥托姆上校，但你可以阻止他。
FO300010949	我想，要再见了。你要继续你自己的路；我也要准备一下。
FO300010950	你甚至不能控制你自己的军队。你很清楚你并不适合这么做。
FO300010951	只是你不能就这么把它给接管，并强迫每个人都追随你。
FO300010952	你有什么别的建议吗？没有英克雷，世界会怎么样？
FO300010953	该结束了，伊登，你必须摧毁你自己和这基地。
FO300010954	我意识到这是废土人民最大的愿望，我确实该这么做。
FO300010955	你在这儿是干嘛的？
FO300010956	我养育我的家人，我热爱我的妻儿，对于生活还能有什么要求，陌生人？
FO300010957	家庭第一！任何人对此说三道四那肯定是错的。你要拿着棍子修理他。
FO300010958	我凭劳力来养家，就像每一个精力充沛的美国人做的那样。
FO300010959	噢，一个不能养家的男人根本不是男人！
FO300010960	你父母是干嘛的？
FO300010961	跟别的父母一样！我妈做饭打扫房子，我爸和威尔逊先生一起工作。
FO300010962	他们在地下室工作，有时在威尔逊先生的工棚。爸爸说等我大一点的时候，我可以跟着他干，学着打理家里的事。
FO300010963	那就是我们“里昂斯的骄傲”的方式风格，你这他妈的怪胎！
FO300010964	新来的，不想死的话就闭嘴！
FO300010965	
FO300010966	那是他们所有人。
FO300010967	看那边。
FO300010968	一定是个旅行者。
FO300010969	瑞丁，到我这来。
FO300010970	干得好，你只要跟着我就好。今天不是取义成仁的日子，听见了？
FO300010971	不行。
FO300010972	收到。已经能看到那些丑八怪了。
FO300010973	嗯，嗯。看到了。
FO300010974	停一下，你在浪费子弹。
FO300010975	我们得清理干净这区域。你以为华盛顿的丑八怪只有这么点吗？你去东面，我去西面。
FO300010976	一旦进去，我们就要大干一场了。
FO300010977	瑞丁！快出来！是超级变种巨人！
FO300010978	瑞丁！！
FO300010979	该死的！！
FO300010980	嗯，我知道。该死啊！！！
FO300010981	来吧，让我们看看他们在这破烂里有什么喝的没。
FO300010982	
FO300010983	这是让我们的埋伏暴露的白痴吗？
FO300010984	回据点去看看科尔文清理干净了街道没有。
FO300010985	什么情况？
FO300010986	好的。
FO300010987	詹宁斯？
FO300010988	只是要找一个走散的伙伴。在42街冒失地冲进丑八怪中去的那个愣头青。
FO300010989	好的。这是平常任务。瑞丁，你执行圣骑士维加斯的命令就行了，并且闭好你的嘴。
FO300010990	好，敌人的前哨站就在我们南面。科尔文，你负责侦察。
FO300010991	维加斯，瑞丁，防守建筑。
FO300010992	还有？
FO300010993	好的。我们把敌人赶出来，你守着搞定他们。在我标记的地方。
FO300010994	出发。
FO300010995	找掩护！是超级变种巨人！
FO300010996	用“胖子”微型核弹发射器！搞定他吧！
FO300010997	这不是你的错，维加斯。瑞丁配得上“里昂斯的骄傲”这称号，她今天证明了这点。
FO300010998	等回到五角大本营以后，我要和学士说。让“里昂斯的骄傲”瑞丁今天的壮举载入史册。
FO300010999	
FO300011000	是的，女士。
FO300011001	维加斯，你说我该怎么做？ 我只是个新手？ 少来了，你知道“里昂斯的骄傲”需要我的！防守五角大本营的任务太他妈傻了。
FO300011002	加油，我们只是挠了挠痒！
FO300011003	好的，好的。
FO300011004	这才像话。
FO300011005	他妈的！那玩意是什么？
FO300011006	兄弟会行动小队，汇报当前状态。
FO300011007	经检查安全。稍息。
FO300011008	莎拉·里昂斯？是你吗？
FO300011009	还会有谁？我父亲总是会派最好的来。
FO300011010	哈哈哈哈！总是很谦虚啊，萨拉。
FO300011011	看到你们真开心。这些天这儿都快成超级变种人集会地了。
FO300011012	如你所说，刚清理掉一批变种垃圾，我们待会儿就出去清理防线并回来。
FO300011013	收到。
FO300011014	我发现了一个兄弟会全息军牌。怎么处理？
FO300011015	去和学士詹姆森谈谈，她是我们的史官，她会对你找到的东西有兴趣。
FO300011016	你有吗？天啊。这对兄弟会来说是件悲伤的事。但这有些事或许你能帮忙。
FO300011017	如果你有时间，我有个提议。
FO300011018	
FO300011019	警报解除，哨兵。超渡了五个变种人。其他的都跑了。
FO300011020	一个新兵？
FO300011021	欢迎！
FO300011022	不用担心。大家都是伙计。和我们在一起很安全。
FO300011023	如果你愿意就跟我来，好戏要开场了。
FO300011024	长官，我已就位。
FO300011025	看起来这是敌人主力。这么多尘世苦魂今天该去见祖先了。我得祈祷一下宽恕。
FO300011026	加尔萨，抱歉。现在我要走了。
FO300011027	我离不开你们，李博士！我太差劲了！
FO300011028	抱歉，加尔萨。我要同时照顾其他人。如果你到了五角大本营，他们会在那等你。
FO300011029	加尔萨，不好意思，但是我必须前进。如果你跟不上，我们恐怕要撇下你不管了。
FO300011030	这是你的小提琴，阿加莎。
FO300011031	你这混蛋！你知道这东西对我意味着什么！
FO300011032	这是传家宝。它要托付给一个合适的人、一个音乐家，一个能够赏识它的价值的人，而不是拿它去换钱！
FO300011033	我真不敢相信你会在暗地里做出如此伤害一个老太太的事！滚！立刻！
FO300011034	嗯，实际上，阿加莎，我把斯特拉迪瓦里小提琴卖给别人了。
FO300011035	我无法表达我的谢意。我想我可以给你些什么，相对你的辛劳更适合的报酬。
FO300011036	我所能给你的就是一个电台频率。无论何时你想听的时候就调到这频率，来收听一个老妇人的小提琴演奏。
FO300011037	我还在找。别失望。
FO300011038	他们是歹徒还是奴隶贩子？
FO300011039	不是的。假如他们是的话，你现在只会看到一座被烧杀殆尽的鬼城。我想，家族只不过是一帮小混混而已。
FO300011040	开始他们只做些小混混的勾当。你知道，打烂东西，发出噪声，但是一直离的很远。
FO300011041	但这最近的一次，他们做得太过分了。他们把我们的双头牛都杀了！我意思是，你也知道它们是我们的生计来源！
FO300011042	你很喜欢盯着别人的屁股看，对吧？
FO300011043	哈！哈！哈！
FO300011044	你这个毛人还不错，你知道吗？
FO300011045	为什么你不进来呢，我想我们能信任你了。
FO300011046	嗯，你妈妈一定会喜欢。
FO300011047	哈！哈！哈！
FO300011048	你是个非常有趣的毛人。
FO300011049	为什么你不进来呢？
FO300011050	没错，起码它比你好闻多了。
FO300011051	哈！哈！哈！
FO300011052	你是个非常有趣的毛人。
FO300011053	为什么你不进来呢？
FO300011054	你知道吗？你的脸就像我的屁股。
FO300011055	是吗？
FO300011056	你屁股一定漂亮极了。
FO300011057	什么是毛人？
FO300011058	你就是毛人！
FO300011059	你们那些大人。你们都高大笨拙。一群毛人！我们不要和你们这种人扯上关系！
FO300011060	你这可怜虫，你根本不值得我们浪费时间。
FO300011061	你和你的小女朋友在这一起玩吧。我们到外面去。
FO300011062	来，穴蛇帮！我们走吧！
FO300011063	好的，好的。你赢了。我们会离开这小女孩的！
FO300011064	总之，你不值得我浪费时间。
FO300011065	穴蛇帮！我们要离开这了。
FO300011066	选择2
FO300011067	好吧，去你的。
FO300011068	哪凉快哪待着去，混蛋。
FO300011069	不，不。我只是在这帮忙搬东西，推设备。我不是科学家。
FO300011070	我只是尽我所能去帮忙李博士。
FO300011071	真的？你看起来一点不像科学家。
FO300011072	选择1
FO300011073	太好了。如果我能为你做什么，就告诉我。
FO300011074	嗨，我们没事。
FO300011075	李博士要移动设备的时候，我来帮忙。我不是科学家，我只是对付那些大家伙。
FO300011076	你在这儿是干嘛的？
FO300011077	你是谁？
FO300011078	我是麦迪。我管理小灯镇，因为大家选我当镇长。我不喜欢陌生人，还有毛人。
FO300011079	我是李博士，是驻扎在铆钉城的科学团队的负责人。
FO300011080	我是加尔萨。我在实验室给李博士帮忙。
FO300011081	我需要个新面孔，医生。
FO300011082	我被严重撞伤了，医生。
FO300011083	我改变主意了。还是忍着痛算了。
FO300011084	我受伤了，医生。
FO300011085	你能帮我吗，医生？
FO300011086	我来这是和你做生意的。
FO300011087	拿好菜单。
FO300011088	好，都有些什么？
FO300011089	如果必须的话。
FO300011090	我一直给你最优惠的价格。
FO300011091	开门见山。我喜欢这样。
FO300011092	你要什么？
FO300011093	给我来点喝的。
FO300011094	就来。
FO300011095	给我来点喝的。
FO300011096	我有各种药品。
FO300011097	你这卖些什么呢？
FO300011098	想杀点什么人？
FO300011099	我能看看你卖的枪吗？
FO300011100	先生，给你菜单。
FO300011101	我饿了。
FO300011102	女士，给你菜单。
FO300011103	我饿了。
FO300011104	咱们来开心吧。
FO300011105	我要买点药。
FO300011106	在你做了那事之后？只是因为我必须。
FO300011107	你这都有些什么？
FO300011108	愿为你效劳！你真把班侬给修理了一顿。
FO300011109	你这都有些什么？
FO300011110	我各种货品都有一点。
FO300011111	你这都有些什么？
FO300011112	你在找什么？
FO300011113	我在考虑买一些武器。
FO300011114	看看我的菜单。
FO300011115	你这都有些什么吃的？
FO300011116	请决定你要什么。
FO300011117	你这都有些什么吃的？
FO300011118	
FO300011119	是女孩？一个女孩！我们有了女儿，凯瑟琳！一个漂亮健康的小女孩！
FO300011120	是男孩？一个男孩！我们有了儿子，凯瑟琳！一个漂亮健康的小男孩！
FO300011121	那是个好名字。你觉得呢？非常适合你。
FO300011122	看来他们完成了基因预测。让我们看看你长大后什么样。
FO300011123	你将来会很像爸爸。
FO300011124	看到了吗，凯瑟琳？
FO300011125	外面的世界很大，甜心，有形形色色的人。你呢？想当什么样的人？
FO300011126	外面的世界很大，儿子，有形形色色的人。你呢？想当什么样的人？
FO300011127	凯瑟琳？凯瑟琳！她心跳停止了！开始电击除颤！把婴儿带出去。快，快啊！
FO300011128	真的？你不准备和我在一起？
FO300011129	真的？你不准备和我在一起？
FO300011130	好，我们去铆钉城。
FO300011131	这才是我的女儿！
FO300011132	快点。现在我知道我要什么，我要尽快回去工作。
FO300011133	这才是我的儿子！
FO300011134	快点。现在我知道我要什么，我要尽快回去工作。
FO300011135	他妈的避难所。我不需要那地方。
FO300011136	是那样吗？
FO300011137	你19岁了。你确定你要过什么样的生活了吗？
FO300011138	我想那没关系。我猜我们都没有回头路了。我们只能前进，是不是？
FO300011139	你一声不吭地就离开我了，我该怎么办呢？
FO300011140	你应该待在那。你在避难所里会有一个不错的生活。
FO300011141	但是我想现在回去太晚了，是不是？监督者见到我们就会开枪。
FO300011142	嗯，那你一定要跟我去铆钉城。你已经证明你有足够的能力。.
FO300011143	你需要返回铆钉城？
FO300011144	这工厂已经废弃有些年头了。这有很多事要大家做，可能要花费些时间。
FO300011145	我一到铆钉城，麦迪逊和我就可以开始工作。
FO300011146	我怎么办？我该干嘛？
FO300011147	嗯，你要怎么做呢？噢，你和避难所完全无关了吗？我甚至还不知道你是怎么出来的。
FO300011148	谢谢你的帮忙，不过你应该待在那，在那生活，而不是外面！
FO300011149	现在我们能出去吗？
FO300011150	是的！当然了！我们需要返回铆钉城。我要回去告诉麦迪逊我拿到了。
FO300011151	这么多年后，我终于掌握了能把净化工程变为现实的关键。
FO300011152	你得到你需要的信息了吗？
FO300011153	我确实得到了布劳恩的工作成果，伊甸园创造器，这是设计用来在核战后重新建造适合生活的环境。
FO300011154	它的整个系统还不太稳定，但这些零件就是我们要的，我们一直没找到的。
