AID00098043	玩家上锁的物品
AID00103535	好了，希望这些知识能对你的旅行有所帮助。
AID00103536	一切都还好吗？
AID00103537	我现在要回去了。希望我没错过自动点唱机放的好歌。夏安永远都不会原谅我的。
AID00103538	你只有保持放松，我们才能开始下一项测试。来吧，请坐。
AID00103539	好吧。我先说一个单词。然后你告诉我你脑海中闪现的第一印象是什么。
AID00103540	狗。
AID00103541	给你。这些都是你的。你被送进来的时候，身上就带着这些东西。
AID00103542	我看了一眼你的笔记，希望你别介意。我本来是想看看你有没有什么亲友，但上面只写了一则关于什么白金筹码的事。
AID00103543	嗨，有什么能帮忙的？
AID00103544	欢迎回来。有什么事吗？
AID00103545	我一直在打理这家店，米开他……我必须向前看。总会有人把美好带给这个荒芜的世界。
AID00103546	抱歉，我在忙。
AID00103547	怎么了？
AID00103548	嘿，是你！米开·朗琪罗和我提到了你拍的照片。我希望有朝一日也能像你一样去看看外面的世界。
AID00103549	欢迎归来，朋友。需要我做什么？
AID00103550	您好，公民。请选择您的住宿标准。
AID00103551	守规矩，别让我把你轰出去。
AID00103552	这将会很有趣！
AID00103553	对不起，外来者，没时间聊天。
AID00103554	我打赌你会成为一个了不起的大炮族成员。
AID00103555	耶！我爱我的新玩具！
AID00103556	谢谢你帮我。那个疯婊子不知为什么就袭击我。
AID00103557	你看见了吗？那个疯婊子不知为什么就袭击我。
AID00103558	再次感谢你帮了我。
AID00103559	今天可真是倒霉透了。
AID00103560	你看见了吗？那个家伙要杀了我！
AID00103561	嗨，又是——怎么了？用那种眼神看着我干什么？
AID00103562	别担心我。我是有点被吓傻了，但很快会好起来的。
AID00103563	请你帮个忙，离我远点吗？你吓着我了。
AID00103564	我们之前谈过22号避难所，对吧？如果你改变主意，这份工作我依旧给你留着。
AID00103565	我们依然在为22号避难所项目寻找合作伙伴。你感兴趣吗？
AID00103566	嗯？你还有什么事？
AID00103567	我刚接到了一通来自基利博士热情洋溢的电话。看来我们得谢谢你让她活了下来。你可真是善良哟。
AID00103568	啊！我还在想你怎样了呢。
AID00103569	你想干嘛？我记得我说过让你别靠近这里。
AID00103570	你在我的办公室里干什么？这里不欢迎你，出去！
AID00103571	希尔丹博士有没有……我知道我有些多管闲事，但是……他有没有给你事做？
AID00103572	我现在有些忙，不过还是能聊两句。
AID00103573	如果你能找到基利并且保证她的安全，我会尽我所能报答你。说话算话。
AID00103574	基利刚刚打电话来了。你真该听听总管是怎么说的："但是我——""等等——""听我说——"
AID00103575	她连一句完整的话都没让他说完，反倒是他骂得狗血淋头，因为他派了那么多人去避难所。我从没见过他脸红成那样，整张脸都扭曲了。
AID00103576	谢谢你救了她。这是我答应给你的瓶盖。我就知道我没看错你。
AID00103577	你找到基利了吗? 你有段时间没有回来了，所以我想……
AID00103578	噢！再次见到你真是太高兴了。
AID00103579	除非我听到基利的消息，否则我们没什么可说的。
AID00103580	基利还是没有任何动静。这不像是她的作风……
AID00103581	基利出事以后，希尔丹就一直盯着我。我们真的不能……再说话了。
AID00103582	你是新来的？我是安吉拉·威廉姆斯。你是随便逛逛呢，还是……
AID00103583	动作可真慢啊。是NCR派你来的吧？
AID00103584	执行暗杀任务的时候最好把嘴闭着。
AID00103585	我听说你已经料理了轰鸣恶煞。我本可以自己解决的。
AID00103586	谢谢你在3号避难所帮了我。要是没有你，我肯定出不来。
AID00103587	谢谢你的协助，医生。咱们该去干掉轰鸣恶煞了吧？
AID00103588	你有什么事？我还有活要干。
AID00103589	我已经准备好去干掉轰鸣恶煞了，就等你一句话。
AID00103590	你他妈到底怎么进来的？还有你他妈到底是谁？
AID00103591	你在这里干什么，士兵？ 我没有呼叫增援啊。
AID00103592	嘿！就是你！来帮我们一把！
AID00103593	又是你。你准备好帮我们了吗？
AID00103594	虽然瑞克死了，但我还是很高兴能获得自由！
AID00103595	你到底要不要放了我啊？
AID00103596	谢谢你的帮助。
AID00103597	谢谢你放了我们。
AID00103598	有什么话就去找瑞克说。
AID00103599	有话去找瑞克说。
AID00103600	你他妈回来干什么？
AID00103601	你他妈的在这里干什么？
AID00103602	老兄，你迷路了吧。轰鸣恶煞在这迷宫的另一边。
AID00103603	我知道你是谁。虽然我很有耐心，但你最好还是赶快把来这地方的理由说清楚。快说。
AID00103604	看看是谁来了。能亲眼见到你真是三生有幸，大家都说你是我们的守护天使。不知您来麦卡伦营地有什么事？
AID00103605	很好，很高兴我们终于见面了。我的手下说你为我们立下了不少功劳。是什么风把你吹到麦卡伦营地来的？
AID00103606	我通常记人都很准，但我不觉得咱们见过。是什么风把你吹到麦卡伦营地来的？
AID00103607	怎么了？
AID00103608	是吗？什么事？
AID00103609	你在这干什么？你还没获准进入。
AID00103610	给我滚出去。
AID00103611	嘿，你在这种时候到这里来干什么？
AID00103612	又失眠了？好吧，多为自己想想，回去睡一觉吧。
AID00103613	还在追查线索呢？很好。我现在就走，免得泄露了你的身份。
AID00103614	希望你逮住这家伙。
AID00103615	很高兴见到你。我是柯蒂斯。
AID00103616	嗯？
AID00103617	这是什么？
AID00103618	嘿！你看不见我这正忙吗？
AID00103619	嘿嘿，我开个玩笑而已。在这儿巡逻完全没有意义。他们不会攻打这个门的。
AID00103620	他们把我派到这里，只是因为他们觉得我一无是处。
AID00103621	老兄，我好无聊。
AID00103622	怎么了，士兵？
AID00103623	你在这地方非常惹眼。你确定自己来对地方了？
AID00103624	你怎么把他杀了！妈的。我们本来可以从他嘴里套点情报出来的，这下好了，你倒是帮他解脱了。
AID00103625	娘的，看来我这十年之内都别指望升官了。真是感谢你啊，蠢货。
AID00103626	操他妈。这下我怎么跟上校交代？
AID00103627	你够了没？
AID00103628	可怜的家伙，他完全崩溃了。我看还是明天再继续吧。干得好。
AID00103629	我敢说未来几天他都会消停了。要是我们运气好，说不定是几个月。
AID00103630	我会叫人来收拾他的烂摊子，你可以走了，让他睡一觉吧。
AID00103631	真是太有意思了。我很想让你再来一次，但那样我怕是会惹麻烦。
AID00103632	他说的话会对NCR大有帮助，你应该感到骄傲才是。
AID00103633	这是基本的报酬，另外我还加了一点奖金，因为你让我欣赏了一场长街上的经典好戏。你以后也可以随时替我痛揍囚犯。
AID00103634	你干得不错。我是不知道你怎么能不动他一根毫毛就搞定的，虽说我个人多少有些失望吧，但多少也给NCR挽回了一些颜面。
AID00103635	如果到时候情报派上了用场，那可就不只是挽回颜面了。等这事结束，我要去几个人谈话。
AID00103636	这差不多是基本报酬的两倍，一般这个价要"顾问"才拿得到，但在我看来，你简直就是艺术家。所以我觉得你值这个价钱。
AID00103637	先把事做完，然后我们再谈。
AID00103638	你回来了。
AID00103639	你这恶心的小蛆虫。中尉是从哪坨屎里把你翻出来的，烂蛆？
AID00103640	什么？
AID00103641	你不需要这样做。
AID00103642	你这一下就和起不来床的老太太差不多。
AID00103643	我们没什么好说的，烂蛆。
AID00103644	够了！这毫无意义。反正我对军团来说已经是个死人了，你想知道什么，全我都说。
AID00103645	但你应该明白，凯撒总是私底下都留了一手。他从不暴露任何弱点。
AID00103646	即使我招供，也无法改变必然的结局。这座营地在几个月之内就会化为灰烬。也可能是几周。
AID00103647	你拿到了吗？
AID00103648	打我啊。
AID00103649	离我远点。
AID00103650	剩下的就交给我了。
AID00103651	博伊德正在里面审讯俘虏。老天，她可真是气坏了。
AID00103652	你是在骚扰赫克托？你到底对小孩子有什么成见？
AID00103653	干什么，怪胎？
AID00103654	你他妈到底是谁？为什么要烦我？
AID00103655	又回来了？天啊……
AID00103656	来找维奥莱塔的？要干嘛？
AID00103657	有什么心事吗？
AID00103658	嘿，小家伙。想不想骑库克的大火车？
AID00103659	先别烦我！我得上实验室去解决我自己搞出来的事！
AID00103660	这些避难所科技的机器太容易坏了。几天前我才把这电梯勉强修好，现在它又坏了。
AID00103661	啊，搞定了。楼上见。
AID00103662	嗯，这是什么？这是你修的？不错嘛。应该说非常好。
AID00103663	省了我不少时间。楼上见。
AID00103664	很好，你到了。准备开始了吗？
AID00103665	我想你肯定有疑问。快点儿，有问题就赶紧问。
AID00103666	啊，很好。你活了下来。我还在想你没准活不成了。我得告诉你个好消息，孢子问题终于解决了。
AID00103667	剩下要做的就是杜绝这种事再次发生。所以引发这次事故的所有研究资料都必须销毁。
AID00103668	别在意我。我还得整理一下行装，处理一些别的事宜。很快就会动身的。
AID00103669	你好！我相信这是我们初次见面。我的人格识别系统已将我的姓名指定为波尔。
AID00103670	计算中……
AID00103671	欢迎回来，朋友。希望你在数据库里找到了有用的信息。
AID00103672	
AID00103673	欢迎来到靶场。你可以随意使用空的射击位。
AID00103674	啊，外来者。我听说你在协助哈丁搜集对付我的证据。我本以为可以利用你的。
AID00103675	你是来幸灾乐祸的，还是确实有事？
AID00103676	欢迎，外来者，欢迎！封锁已正式解除，大家看起来都神清气爽。
AID00103677	因为我们终于能再和外界接触了，哈丁将攻击太阳神一号提上了议程，不过我希望能劝阻他。
AID00103678	我能为你做什么？
AID00103679	欢迎，兄弟。有什么事吗？
AID00103680	幸会，我的朋友。希望我能为你提供帮助。
AID00103681	抱歉，外来者，我得去为解除封锁做最后的准备。
AID00103682	又怎么了，外来者？
AID00103683	恐怕我没有聊天的时间，外来者。听说哈丁要控诉我违反规定，我得准备为自己辩护。
AID00103684	你又回来了。我们需要的部件都找到了吗？
AID00103685	你碰见那些斥候了吗？还是有其他事情要找我？
AID00103686	你是已经找到了失踪的士兵，还是有其他的事要找我？
AID00103687	你怎么找到我们的，陌生人？别耍花样，说实话。
AID00103688	听说你给我们带来了坏消息，陌生人。能不能详细说说？
AID00103689	当圣骑士拉莫斯告诉我维罗尼卡跟一个外来者走得很近的时候，我一开始都不知道该作何感想。
AID00103690	但仔细想想，我发现这种时候一个外来者对我来说其实还是很有用的。
AID00103691	当然，我不会强迫你帮我们。如果你拒绝的话，也没人会妨碍你离开这里，不过你得好好对维罗尼卡负责。
AID00103692	你怎么说，外来者？你愿意帮我们吗？
AID00103693	我们可以等到我把指挥室布置好后再详谈，外来者。
AID00103694	你刚出现在门口的时候，我承认，我不知道该作何感想。
AID00103695	但仔细想想，我发现一个外来者在这时候其实对我来说会大有用处。
AID00103696	当然，我不会强迫你帮我们。如果你拒绝的话，也没人会妨碍你离开这里，不过我们会一直留意你的。
AID00103697	你怎么说，外来者？你愿意帮我们吗？
AID00103698	你是怎么解决和游骑兵之间的问题的？
AID00103699	重新考虑过了吗，外来者？我仍然需要你的帮助。
AID00103700	有事吗？
AID00103701	
AID00103702	
AID00103703	嘿，我听说手枪已经找回来了。太感谢了！我再也不会听沃特金斯的了，相信我。
AID00103704	真希望你能找到我的手枪。
AID00103705	是的，有什么事吗？
AID00103706	对不起，我正巧有点忙。请你见谅。
AID00103707	封锁解除了！巡逻队又要出发啦！你知道这意味着什么吗？我终于可以真刀真枪地干一场啦！
AID00103708	不知道在外面都会碰到些什么？掠夺者？辐射蝎？还是死亡爪？噢，我都等不及啦。对了，你有什么事？
AID00103709	嘿，原来哈丁是仰仗你才当上长老的啊？干得好。现在只要封锁一解除，我就有机会来一次实战了！
AID00103710	不知道在外面都会碰到些什么？掠夺者？辐射蝎？还是死亡爪？噢，我都等不及啦。对了，什么事？
AID00103711	我听说你已经消灭了驻扎在地面上的NCR游骑兵。
AID00103712	别以为自己有多了不起。要不是他们拦着，我早就把他干掉了。
AID00103713	嗯？
AID00103714	
AID00103715	你的装备都在你右手边的箱子里。没解决掉那个游骑兵就别回来见我。
AID00103716	退后。长老急着要听你的报告。
AID00103717	[你什么也没听见。]
AID00103718	你从哪儿搞到密码的？老实交代，你骗不了我。
AID00103719	听好了。我负责这里的安保工作，有个外来者在附近晃来晃去的我可高兴不起来。
AID00103720	不过既然你是和维罗尼卡一起来的，我可以对你稍微网开一面。管好你自己，这样大家都轻松，明白吗？
AID00103721	噢，还有，长老想和你谈谈。他在二层。你下楼梯后右转就到。
AID00103722	如果你有什么需要找我的，我的办公室就在这儿。说找拉莫斯就行。
AID00103723	你到底怎么进来的？要换成平时我早就一枪把你崩了，不过我接到了命令要带你去见长老。你会合作吧？
AID00103724	先休息一下，休息好了就去向长老报告。
AID00103725	如果你有话要说，去和麦克纳马拉长老说。
AID00103726	你的出现……只能说非常地不寻常。
AID00103727	外来者甚至都不可能知道我们的地堡在这儿，更别说来去自如了。
AID00103728	显然你让麦克纳马拉长老印象深刻啊。他肯定是觉得你会派上大用场。
AID00103729	噢，你好。有什么要我帮忙的吗？
AID00103730	
AID00103731	现在可没功夫闲聊。我得尽快把这个情报带回基地去。如果真有人相信，我肯定会得到丰厚的报酬。
AID00103732	好吧，看来你没开玩笑，这里确实有个兄弟会基地。
AID00103733	我得尽快向基地报告。如果我用无线电联络，他们肯定会觉得我是在胡扯，所以我得当面向长官报告。
AID00103734	感谢你的情报。我说真的。我一定会在报告里提及你的。
AID00103735	嘘。我好像听见门口有动静。
AID00103736	好了，好了。冷静。我相信你确实看见了什么东西。我们先回营地去把事情前后理清楚，好不好？
AID00103737	抱歉，我还有很长的一段路要走。你自己小心。
AID00103738	炸药帮的杂碎！快投降！否则格杀勿论！
AID00103739	你以为靠偷袭就能干得了我吗，炸药帮的贱狗？
AID00103740	噢，是你啊。你最好是有事来找我。
AID00103741	
AID00103742	你肯定就是我之前听说的那个陌生人了。抱歉，我不允许向你这样的外来者提供任何技术。
AID00103743	况且，我眼下有点忙。
AID00103744	对不起，外来者，没有长老的允许，我不能卖东西给你。
AID00103745	况且，我眼下有点忙。
AID00103746	真不敢相信哈丁现在居然成了长老。但至少解除封锁以后我的货源更广了。那么，你想买点什么？
AID00103747	你听说没有？麦克纳马拉长老解除了封锁！要我说，这对我的小店来说真是好消息！我都等不及要去搞些更好的货品来了。
AID00103748	那么，你想买点什么？
AID00103749	长老发话说我可以向你提供一些小型商品，可我手头上的事情还多着呢。
AID00103750	找到了吗？我得尽快向哈丁报告。
AID00103751	嗨。想买点什么东西吗？
AID00103752	又是你？我不是跟你说了我很忙？
AID00103753	
AID00103754	仔细听好，按我说的做。这关系到你的死活。
AID00103755	把你的东西都交出来。武器、弹药、衣服、护甲——所有东西。我要你脱到只剩内衣。
AID00103756	有牢骚去找圣骑士拉莫斯发，外来者。
AID00103757	我说了，闭嘴，走开。
AID00103758	你和那个机器人是一起同行的吧，我本希望你会带它来见我。它那一套硬件真的堪称杰作。
AID00103759	我得说，我以前从没见过它那样的机器人。
AID00103760	嗯？噢，你一定就是那个让大家议论纷纷的外来者吧。幸会幸会。我是洛伦佐，既是高阶骑士，也是这里的技术员。
AID00103761	
AID00103762	嗨，真高兴又见到你。这次你能不能让我看一眼你那个机器人的日志？
AID00103763	很高兴见到你！看来你还活着。找齐所有部件没有？
AID00103764	很高兴再见到你。有什么我能帮忙的地方吗？
AID00103765	你想干什么？在我面前别耍花样。
AID00103766	那份报告必须交到长老手里。其他的我也没什么可交待你的了。
AID00103767	你如果还珍惜自己的性命，就别再往前走了。你接近我的目的是什么？
AID00103768	考虑到长老可能正急切地等着那份报告，你还是尽快回去复命吧。
AID00103769	脚步放慢点，陌生人。如果你没有事找我，就走开。
AID00103770	快点，快回去！长老必须看到那份报告！
AID00103771	看来你成功说服了长老，外来者。不过你听好，我还是会盯紧你的。
AID00103772	我们很感激你为我们分会所做的一切。那么，有什么能为您效劳的？
AID00103773	欢迎，我的朋友。分会终于迎来了曙光，我们将大步向前，走出阴霾。
AID00103774	这可都要感谢你。你会发现我对忠实的伙伴是很慷慨的。
AID00103775	来，拿着这把钥匙。如果你需要修理什么东西，就去我们在东北边的安全屋吧。
AID00103776	那么，有什么能为您效劳的？
AID00103777	你现在愿意听我说话了吗，外来者？
AID00103778	你愿意帮助我吗，外来者？我所做的一切都是为了保护这个分会。
AID00103779	什么事，外来者？你有什么发现吗？
AID00103780	欢迎回来，我的朋友。有什么我能帮忙的？
AID00103781	你想要什么，外来者？
AID00103782	我很感激你所做的一切，但我手头还有一大堆事要处理。晚些再来吧，我们那时候再谈。
AID00103783	
AID00103784	
AID00103785	听说麦克纳马拉改变了主意，多亏了你。谢谢。那么，有什么需要我帮忙的？
AID00103786	有传闻说哈丁能够接管这里是因为背后有你的支持。我并不看好他的领导能力。咱们还是先观望吧。
AID00103787	今天是什么风把你吹来的？
AID00103788	你好，你肯定就是那个大家都在谈论的外来者吧。我是琳达·舒勒。如果你需要医护，可以随时来找我。
AID00103789	嗨。需要帮忙么？
AID00103790	
AID00103791	请原谅——我正在努力脱身呢……
AID00103792	抱歉，没空，先让我跑到安全的地方再说！
AID00103793	嗨呀！可真刺激。我们也算是给那帮恶棍一点颜色瞧瞧了，对吧？
AID00103794	瞧，我自己一人就逃出来了——当然，你的作用也不可否认啦，想想还真是惊心动魄啊。
AID00103795	问题是，普瑞姆依旧是个无法无天的地方，下次那些暴徒再威胁我们，把我们绑架了该怎么办？
AID00103796	哎哟！还好你把我从野牛史蒂夫那破地方捞出来。这段经历可真够不愉快的。
AID00103797	单枪匹马杀进去救人，我姐夫活着的时候就这么勇敢。他是个称职的好警长，可惜最后却死在了炸药帮的手上。
AID00103798	问题是，普瑞姆依旧是个无法无天的地方，下次那些暴徒再威胁我们，把我们绑架了该怎么办？
AID00103799	哎呀，这不是我们的那位"法律使者"嘛。
AID00103800	你好啊。你还没有决定为普瑞姆寻找下任警长吧？
AID00103801	找到我们下任警长的人选了吗？
AID00103802	噢，是你。
AID00103803	我想我应该要感谢你恢复了普瑞姆的秩序……
AID00103804	如果我真能逃出去的话，今后几年我恐怕都不会再想来野牛史蒂夫了。
AID00103805	我真希望这场折磨能快点结束。
AID00103806	如果我们放走了一两个罪犯，谁又会知道呢？
AID00103807	我是新加州共和国军队的中尉海耶斯，隶属于一连五营。你有什么事？
AID00103808	嗯？
AID00103809	普瑞姆总算能免受外来的威胁了。不知道当地人能感恩多久。
AID00103810	我是新加州共和国军队的中士麦基，隶属于一连五营。如果你有话要说，去找中尉海耶斯吧。
AID00103811	这是什么？
AID00103812	该干啥干啥去，废土游民。我还要管理这个镇子呢。
AID00103813	
AID00103814	
AID00103815	
AID00103816	你好啊伙计！找到万斯的枪了吗？
AID00103817	见到你总是那么高兴，伙计！有什么我可以帮你的吗？
AID00103818	你在这里干什么，陌生人？你想找茬吗？
AID00103819	你最好不是来找麻烦的。
AID00103820	你最好别耍花样，陌生人。只要我一句话，万斯就会活埋了你！
AID00103821	你到底想要什么？
AID00103822	感谢你说服宝琳放弃了抢劫长街的计划。谁知道她下次又会有什么鬼主意？
AID00103823	感谢上帝，你让我放弃了抢劫长街的计划。看来在我想出下一票干啥前，我们都得留在这儿了。
AID00103824	
AID00103825	听说是你重新让普瑞姆恢复了秩序，年轻人。向你致敬。
AID00103826	曾经有那么一阵，普瑞姆也是个有法律和秩序的地方，但那都是以前了。
AID00103827	你好啊，年轻人。
AID00103828	你好啊。什么风把你吹到普瑞姆来了？
AID00103829	欢迎回来。很高兴再次见到你。
AID00103830	
AID00103831	
AID00103832	你找到我们之前说的部件了吗？我们越快了结这事越好。
AID00103833	杰森说我得和你合作完成最后几项必要的任务，伟大旅程才能起航。
AID00103834	你准备好没有？那些火箭还等着我们发射呢。
AID00103835	伟大旅程就要起航了！
AID00103836	别烦我！伟大旅程就要起航了！
AID00103837	伟大旅程就要起航了！
AID00103838	讲话还挺精彩。
AID00103839	好吧，发射火箭的任务就交给你了。原路返回楼上，那里有个小型"任务控制"室。应该只要按下按钮就行，非常简单。
AID00103840	看来我在这里的工作已经完成了，我准备去诺瓦克了。接下来就看这事情怎么收场吧。
AID00103841	你听见他的那番话了吗？好像只要发表一些高论，就能减轻他们对我犯下的罪行？
AID00103842	好吧，发射火箭的任务就交给你了。原路返回楼上，那里有个小型"任务控制"室。应该只要按下按钮就行，非常简单。
AID00103843	好好欣赏吧。我估计"伟大旅程"会比他们预计的要短。也更美妙。
AID00103844	你听见他的话了吗？天啊，你一直都是对的。我不是尸鬼！他们利用了我...
AID00103845	去发射火箭吧。别担心我。
AID00103846	离我远点。
AID00103847	你把我们之前说的东西带来了吗？越早把它们送出去，我就能越早前往诺瓦克。
AID00103848	
AID00103849	我其他的同类都去哪里了？现在就剩我一个了……
AID00103850	鹿角很伤心。我们夜行族走了，我们走的时候比来的人少……
AID00103851	鹿角很伤心，人类。夜行族走了，去别的地方找隐身小子了。
AID00103852	你干得好，滑皮肤。我还以为我没法离开那房间了。
AID00103853	我正在想方设法保住我这条小命呢，滑皮肤。
AID00103854	放马过来啊，你这个傻大个——
AID00103855	嘿！你跟外面那些不是一伙儿的。你到底是谁？
AID00103856	你找到我朋友了吗？
AID00103857	你想要什么，滑皮肤？
AID00103858	谁指使你来的？我啥都不会说的。他们当初试过撬开我的嘴，但我什么也没说。就算你现在用枪指着我，我也不会开口的。
AID00103859	你也见到它们了，对吗？我从你眼神里看出来了。我就知道我不是唯一的一个。
AID00103860	是的，你想要什么？
AID00103861	怎么了？
AID00103862	嗨你好，先生。你需要什么吗？
AID00103863	嗨你好，小姐。有什么我可以帮你的？
AID00103864	又见面了，你还需要什么吗？
AID00103865	我不应该和陌生人说话。
AID00103866	我不知道我能不能帮你。我只是个孩子，你懂的。
AID00103867	好了，这应该可以了。你还需要什么吗？
AID00103868	我们都完成了，没那么糟，对吧？你还需要别的什么吗？
AID00103869	你帮了我这么多，这样要求似乎不太对，但你能再给我点水吗？
AID00103870	我永远不会忘记你的，感谢你的帮助。
AID00103871	我不想问，但...你还有水吗？
AID00103872	你救了我的命，谢谢你，陌生人。我很不想问你这个，但时局艰难...
AID00103873	你还能腾出更多的水吗？
AID00103874	让我平静地死去吧。
AID00103875	走开，我宁愿死也不要你站在我旁边幸灾乐祸。
AID00103876	噢，感谢上帝。有新人！我需要水！求你了！水！
AID00103877	你能帮我吗？我需要水...纯净水...拜托...
AID00103878	拜托...你有水吗？我太渴了...
AID00103879	求你了！求求你帮帮我...我需要水！我快死了！
AID00103880	RL-3很遗憾的通知您，先生，你无权命令我。
AID00103881	RL-3很高兴见到您，先生！有任务要承担吗？
AID00103882	RL-3已准备好听候您的下一个命令，先生！
AID00103883	RL-3已准备好听候您的命令，先生！
AID00103884	是的，指挥官？
AID00103885	遵命，长官！
AID00103886	感觉好点了吗？你应该知道，这才好东西。需要别的吗？
AID00103887	看，没那么糟。还有什么需要我帮忙的吗？
AID00103888	你都准备好了。我们完成了？
AID00103889	天啊，你真的不能接受暗示，是吗？
AID00103890	我直说了吧。走开。
AID00103891	我不认识你，你也不认识我。让我们保持这种状态。
AID00103892	你就管好你自己的事吧，好吗？
AID00103893	不要干扰安全操作。
AID00103894	很抱歉，我现在不方便聊天。
AID00103895	保护与服务。
AID00103896	保护与服务。
AID00103897	早上好，先生。
AID00103898	我能为你做什么？
AID00103899	早上好，女士。
AID00103900	我能为你做什么？
AID00103901	中午好，先生
AID00103902	我能为你做什么？
AID00103903	中午好，女士。
AID00103904	我能为你做什么？
AID00103905	玩家挥舞近战武器
AID00103906	玩家扔手雷
AID00103907	手雷！
AID00103908	掩护！
AID00103909	手雷！
AID00103910	来了！
AID00103911	要爆炸啦！
AID00103912	手雷！
AID00103913	当心！
AID00103914	手雷！
AID00103915	当心！
AID00103916	手雷！
AID00103917	你扔手雷的水平挺高的啊！
AID00103918	你真是会丢东西！
AID00103919	我真希望能挺身挡下这个手雷！
AID00103920	小心，手雷扔出去了。
AID00103921	小心，炸药扔出去了。
AID00103922	妈的，你也长点眼睛吧！
AID00103923	还有多的么？我也想炸炸！
AID00103924	
AID00103925	开火！
AID00103926	要爆炸啦！
AID00103927	手雷！
AID00103928	手雷！
AID00103929	<汪！汪！>
AID00103930	当心下方！
AID00103931	爽！
AID00103932	要炸了！
AID00103933	轰隆！
AID00103934	手雷！
AID00103935	菠萝来了，利奥！
AID00103936	快闪开！
AID00103937	手雷！
AID00103938	快跑！
AID00103939	快走开！
AID00103940	小心点！
AID00103941	快散开！
AID00103942	趴下！
AID00103943	哎呦，我靠…快隐蔽！
AID00103944	过来了！
AID00103945	来炸弹了！
AID00103946	跑！
AID00103947	让开！
AID00103948	手雷！
AID00103949	卧倒！
AID00103950	
AID00103951	别闹了，好吗？
AID00103952	哇哦，哇哦！小心点！
AID00103953	把那狗屁玩意收走。
AID00103954	你他妈的以为你在干嘛。
AID00103955	把那东西拿开！
AID00103956	收好你的武器！
AID00103957	收好你的武器，外来者。
AID00103958	放下武器。
AID00103959	你有什么问题？
AID00103960	请不要再这样做了。
AID00103961	我不知道你是想开枪打我还是故意射偏。无论如何，别这样做了，谢谢。
AID00103962	下次我来给你示范下该怎么瞄准吧。
AID00103963	哇哦！嘣，嘣！
AID00103964	扣扳机不长眼才过瘾！
AID00103965	哈哈！再开枪啊！
AID00103966	禁止使用武器，谢谢合作。
AID00103967	请勿使用武器，谢谢。
AID00103968	<发出哔哔声>
AID00103969	要我把你那东西收起来吗？
AID00103970	呃，我不是有意要找茬啊，老大，但你可别把我当成活神仙。我只是年纪大了而已。
AID00103971	得了吧，老大，我知道我很丑，但我……可是你这边的啊。
AID00103972	如果你想让我走人，说一声就好了嘛。
AID00103973	<咆哮>
AID00103974	就不能把那东西放下吗？
AID00103975	浪费弹药。
AID00103976	怎么，你看到蝎子了？
AID00103977	如果你玩不转那东西，那就让它待在枪套里面吧。
AID00103978	小亲亲，那东西会打到别人的眼睛的！
AID00103979	亲爱的！这样做可不礼貌。
AID00103980	这些噪音会让利奥发疯的！
AID00103981	哇哦，有人刚从原子牛仔跑出来了。
AID00103982	放下它，好吗？我快头疼死了。
AID00103983	随你便。要是你走火伤了自己，我才不在乎呢。
AID00103984	
AID00103985	没完了，人类？
AID00103986	去别的地方找靶子吧！
AID00103987	你想打死我吗？
AID00103988	把枪收好。快点。
AID00103989	收起枪，哥们！
AID00103990	死！
AID00103991	别这么做！
AID00103992	嗨！要开枪就去别的地方。
AID00103993	当心！
AID00103994	搞什么鬼？
AID00103995	搞毛啊？
AID00103996	你要知道，买弹药是要花钱的！
AID00103997	你什么毛病？
AID00103998	别弄了！
AID00103999	别他妈再捣乱了！
AID00104000	哇！你是...你就像...某种疯子？
AID00104001	再来一次！
AID00104002	酷。我能试试吗？
AID00104003	
AID00104004	我希望你知道自己在做什么。
AID00104005	哇，现在。小心那东西。
AID00104006	你在做什么？
AID00104007	我看到了。
AID00104008	我看到你搞的小把戏了。
AID00104009	我看到你了，外来者。
AID00104010	你觉得丢一把鞭炮就能搞出大动静了？
AID00104011	我会留意脚下的。
AID00104012	真想看到接下来会发生什么。
AID00104013	谨慎对待。
AID00104014	哦，你心眼挺坏啊！
AID00104015	我真想看到有人踩中它！
AID00104016	分析中。这种行为没有记录在案。
AID00104017	这种行为没有记录在案。
AID00104018	你刚才好像下蛋了呀，哥们。不介意把它收回去吧？
AID00104019	你不能随地乱扔地雷啊！
AID00104020	我看到了！
AID00104021	把它收回去！
AID00104022	小心。有人会踩到的。
AID00104023	哦，好主意。把地雷放在一个患了关节炎、眼神又不好的老头子身边。亏你想的出啊，老大。
AID00104024	您听到哔哔声了么，老大？我确信我听到哔哔声了。
AID00104025	这下好了。地雷。
AID00104026	<汪！>
AID00104027	我会尽量不踩到的。
AID00104028	这下应该就能扳回劣势了。
AID00104029	看来有人的耳朵要遭殃了。
AID00104030	有人的腿要被炸飞啦。
AID00104031	看来有人要倒霉了。
AID00104032	哇哦，太狡猾了，亲爱的！我保证不会告诉别人你埋了个东西在那儿的！
AID00104033	你最好在有人被炸飞之前把它收起来！
AID00104034	希望我能记得这儿埋了个地雷。
AID00104035	我腿脚不利索，想要蹑手蹑脚趟过雷区可不容易啊。
AID00104036	天杀的，你为什么要会把这东西放在那里。
AID00104037	看来我们走路得小心点了。
AID00104038	你确定有必要么？
AID00104039	这么做意义何在？
AID00104040	你干嘛？这太危险了。
AID00104041	呃…你为什么把这东西放在那里？
AID00104042	谁踩谁中奖！
AID00104043	还有多余的么？
