DOD00000001	Howdy-do. Nice weather today.
DOD00000670	Yeah, I mean, she's not that great or nothing.
DOD00000671	Well, you could marry me instead! But, uh, might need to wait a couple years. I can be patient, you just, uh, keep the offer in mind.
DOD00000672	Uh... No, thank you.
DOD00000673	She doesn't need to like it, she just needs to go along with it or I'll release her terrible secrets to the public.
DOD00000674	Just, uh... Give me some time to actually find her terrible secrets. Might take a while. I'll get back to you.
DOD00000675	I don't get the sense that she'd be down for marrying another woman.
DOD00000676	Come on, she isn't that ugly. Ugh, guys are weird. Just keep it in mind, okay?
DOD00000677	Yeah... She's not really my type.
DOD00000678	I suppose. Interpret it as you want. I just don't have much to say.
DOD00000679	We only have so much time on earth. Less than we usually expect. I'd prefer not to waste it on idle chatter.
DOD00000680	You don't really talk very much, do you?
DOD00000681	I'd prefer they don't take power, if for no other reason than my hunch that they'd take objection to everything I represent.
DOD00000682	Despite my sex, my only talents are killing. As if that weren't enough, I'm not even biologically capable of bearing children.
DOD00000683	If someone in the Legion wanted to purchase my services, fine. I don't pick and choose my clientele based on their personal ideology.
DOD00000684	But, I suspect that wouldn't happen. If nothing else, the Legion seems quite firm in their beliefs. Less likely to bend their own rules.
DOD00000685	Their loss. I suppose they'll just have to keep relying on their own assassins, shoddy and ineffectual as they may be.
DOD00000686	What's your opinion on the Legion?
DOD00000687	For a group espousing law and order and justice for all, my initial thoughts were that they would feel obligated to try and kill or detain me.
DOD00000688	But I've found numerous clients among their population. Especially the upper echelons of their class hierarchy.
DOD00000689	The more a man espouses the importance of democracy and fair play, the more likely he is to hire me if he finds himself losing, I've found.
DOD00000690	Though, that's not what you asked. My feelings on the Republic as a whole are quite similar to my feelings on everything else in life.
DOD00000691	That is to say, I feel nothing.
DOD00000692	How do you feel about the NCR?
DOD00000693	I don't feel anything about House. Not to imply I'm inundated with feelings for anything else, of course.
DOD00000694	I have no stake in his armistice with the NCR, nor do I care how he manages the New Vegas city-state. That's his business. Literally, and otherwise.
DOD00000695	I can tell you that he seems like the sort of individual who could use the services of a skilled assassin, at least.
DOD00000696	Pass along one of my business cards next time you meet him, would you?
DOD00000697	How do you feel about Mr. House?
DOD00000698	He's dead. I don't bother forming opinions on corpses. If I did, I'd be too busy to do my job. Only so many hours in the day, you know.
DOD00000699	What's your opinion on Mr. House?
DOD00000700	I would approve. And I'd also recommend you hire someone skilled, that can neutralize threats before they cause any trouble.
DOD00000701	I assure you, the leader of a commerce-centric independent city-state would be able to afford to keep me on retainer.
DOD00000702	What do you think about me securing independence for the Mojave?
DOD00000703	An independent city-state with a strong economy sounds like the ideal setting for a skilled assassin to do business, so I would approve.
DOD00000704	Moreover, securing that independence would put a target on your back. My contract to keep you alive ends after the battle of Hoover Dam, but...
DOD00000705	Well, I would prefer you don't come to any harm. If you plan on ousting the NCR and the Legion, a great many people will want your head on a pike.
DOD00000706	I think you'd find yourself in need of my services. I'm sure we could work out a favorable deal.
DOD00000707	What do you think about me securing independence for the Mojave?
DOD00000708	Pulse grenade to lock up their armor, and then a blade through the neck-seam under their helmet. Kevlar is useless against blades.
DOD00000709	Were you asking how I feel about their methods or philosophies? It seems pointless, to me.
DOD00000710	Perhaps if I saw inside their secret little headquarters, I would formulate something resembling an actual opinion. Or perhaps not.
DOD00000711	What do you think about the Brotherhood of Steel?
DOD00000712	I'm not a particularly opinionated person, but I'll answer as I can.
DOD00000713	I'd like your opinion on some of the regional factions.
DOD00000714	I generally don't "feel" much of anything. The Fiends aren't an exception.
DOD00000715	They don't hire me, and nobody else hires me to kill them. Fiend-hunting is good publicity for headhunters and bounty-killers.
DOD00000716	For killers that operate in the shadows, they're not worth the paltry bounties that army personnel and grieving families can offer up.
DOD00000717	How do you feel about the Fiends?
DOD00000718	Worthless. There can be good money in performing jobs for criminal gangs... Or for decapitating criminal gangs.
DOD00000719	But the Powder Gangers don't have the money to hire assassins, and they're too vulnerable for anyone to bother contracting me.
DOD00000720	What do you think about the Powder Gangers?
DOD00000721	I've done a job or two for the Khans. Their feud with the NCR is a matter of blood, and so hiring outside assassins is too impersonal.
DOD00000722	But if it's a matter of maintaining their stranglehold on the drug market, oh yes, they're quite willing to employ any means available.
DOD00000723	As for actual opinions... Their war with the NCR is folly. It doesn't matter how tough they are, they don't have the numbers to win.
DOD00000724	The Brotherhood already learned that lesson, to their sorrow. And I can say from experience, members of the Brotherhood are harder to kill.
DOD00000725	If they truly wish to establish their own Khanate, they should evacuate the Mojave in short order.
DOD00000726	Any thoughts on the Great Khans?
DOD00000727	As you say.
DOD00000728	That's enough, let's go.
DOD00000729	...I doubt that. It's not an especially short tale, and I find that it tends to make people uncomfortable.
DOD00000730	The short version is that I was born a slave, became a toy for raiders, a spectacle in their arena, and then a trainee assassin.
DOD00000731	If, for some reason, you want to hear more, ask.
DOD00000732	I'd like to know your backstory.
DOD00000733	Truly? I can't see what the appeal would be, but very well.
DOD00000734	I'd like to talk about your history some more.
DOD00000735	An exaggeration, perhaps. In truth, I had a month or so of freedom between my birth and my enslavement.
DOD00000736	My... parents. They didn't want a child. They sold me off to a roving slave-trader as soon as they could find one. I don't know what I was worth.
DOD00000737	It was my owner that named me, taught me to walk and speak, read and write. But most of all, he taught me to be quiet and obedient.
DOD00000738	If I hesitated, I was flogged. If I disobeyed, I was whipped. And if I failed a task, I was locked in a very small crate for... Some time.
DOD00000739	The only thing he never did to me was harming my resale value. I had to look my best. He wouldn't cripple me or... despoil me.
DOD00000740	I was a quick study. His other slaves were born free. He had to break them down and remake them in the image he desired.
DOD00000741	But I was raised, from birth, to be property. I didn't know any other way, so resistance never crossed my mind.
DOD00000742	Eventually, when I was quite young, he passed through a raider settlement, and I was sold to their leader. I never saw my original master again.
DOD00000743	You were born a slave?
DOD00000744	...Yes.
DOD00000745	The gang leader... Had certain predilections. He found me appealing.
DOD00000746	When I wasn't being used for his pleasure, he also found amusement in torturing me. I... used to pray that if I did a good job, he wouldn't hurt me.
DOD00000747	He always found reason to harm me, regardless. Looking back, I recognize sadism is it's own reward for those who possess it. Torture amused him.
DOD00000748	Eventually, he tired of me. I was tossed to the rest of his gang to do with as they saw fit.
DOD00000749	When I was lucky, they had me do domestic work. When I was unlucky, it was more of what I suffered under their leader. I was often unlucky.
DOD00000750	This was a large gang. A settlement, really. One of their favorite pastimes was forcing slaves to fight to the death in an arena.
DOD00000751	Children weren't exempt. Rather, they were the favorite fighters. Eventually, my captors tired of using me, and threw me to the arena.
DOD00000752	You were purchased by raiders?
DOD00000753	Fine. The raiders loved to watch their slaves and captives fight to the death, and children were their favorite. The... wrongness entertained them.
DOD00000754	The one downside for the raiders was that most people have an innate resistance to killing. Children more than most.
DOD00000755	The children would spend most of the "fights" cowering and crying, begging for freedom and forgiveness, refusing to arm themselves.
DOD00000756	But I... Was taught, from birth, to be obedient. I must do whatever my owner commanded, without a flicker of hesitation.
DOD00000757	When they placed me in the arena and told me to kill, that's what I did. While the others cried and begged, I took up the knife and killed them all.
DOD00000758	One by one, they fell. I didn't hesitate. That would have been unthinkable. The raiders were... Stunned. By me. What I had done for them.
DOD00000759	Watching a little girl cut down her fellows in cold blood amused the raiders more than they could say. And they... rewarded me.
DOD00000760	No more beatings, no more rape, no more domestic servitude. Instead, they praised me for putting on a good show. And they gave me drugs.
DOD00000761	When I killed for them, not only did the pain finally stop, but the drugs gave me a sense of euphoria I had never known. It was almost... Happiness.
DOD00000762	I haven't touched any chems for a long time, but there's some lingering neurological damage. And psychological, of course.
DOD00000763	Tell me more about this arena you fought in.
DOD00000764	I warned you.
DOD00000765	I'm... not really comfortable talking about this anymore.
DOD00000766	It ended in blood, as it began. As with everything else in my life, freedom was forced upon me. I never chose to escape.
DOD00000767	As large and cruel as the raider gang was, they made enemies. One of these enemies hired an assassin to end the threat, once and for all.
DOD00000768	There was no grand battle. One morning, I woke in my cell to the sounds of gunfire and yelling, then... Silence.
DOD00000769	Some minutes later, a stranger strolled into the holding cages. He looked at all of us chattel, and then he unlocked our cells. Told us we were free.
DOD00000770	The other children... They despised me almost as much as they feared me. They had seen me as I killed every slave that was sent against me.
DOD00000771	They watched the raiders praise me for killing their friends and family. In their eyes, I was the embodiment of all they had suffered.
DOD00000772	When they were given their freedom, they decided to tie up the last loose end. Maybe they thought I wouldn't fight with no raiders directing me.
DOD00000773	But I did. Instead of enjoying their newfound freedom, they all died at my hands. The assassin watched it all, never interfering.
DOD00000774	When it was over, he told me that, if I wanted, I could come with him. That he would teach me how to use my talents properly.
DOD00000775	What could I do but accept? I knew nothing of freedom. I would have made a mess of myself.
DOD00000776	How did you escape the raiders?
DOD00000777	He died. Not at the hands of another assassin, not to a botched job, not through any violent means. He died of a lung disease.
DOD00000778	I could have thrown his body in the street, but out of respect, I buried him in the desert. And I took his blade for my own use. It serves me well.
DOD00000779	What happened to your mentor?
DOD00000780	No. The past cannot be changed. Regrets only serve as a distraction, and my mind needs to be focused to be effective.
DOD00000781	You've had a hard life. Do you have any regrets?
DOD00000782	They barely fought back.
DOD00000783	They were slaves and captures, ripped from their ordinary, happy lives. Forced into collars and told to kill or be killed.
DOD00000784	All they had was fear and hesitation. All I had was an entire life where the fear and hesitation was whipped, beaten, and starved out of me.
DOD00000785	And when killing them was the only surefire method of making my own pain end... When it actually brought me something akin to happiness...
DOD00000786	My emotions died when I was first purchased from my parents. All the same, the raiders managed to force a degree of bloodlust on me.
DOD00000787	How could you kill the other children so easily?
DOD00000788	Beyond proper medicines? I take sleeping pills for practical reasons, but otherwise, no, not since the day I was released.
DOD00000789	No doubt they're a pleasant escape for those who choose to indulge. I never had that choice. The drugs were forced on me, and it never stopped.
DOD00000790	When I was finally free of them, I had... Clarity. A fog lifted. I never want to lose that clarity again.
DOD00000791	The raiders gave you drugs. Do you still... use them?
DOD00000792	They're mediocre, deluded assassins. I don't extend the effort of actively disliking things, but I find their notion to be repellent.
DOD00000793	A proper assassin is an implement of death, nothing more. When men make the decision to kill, some use blades, others bullets, some use people.
DOD00000794	It isn't personal, and I harbor no illusions of morality. I kill for money, if you put stock into ethics, it's an inherently evil act.
DOD00000795	But bounty hunters, headhunters, whatever their name, have it backwards. It's all personal to them.
DOD00000796	Their client is an afterthought, all the focus is on the heroic bounty hunter, profiting off of death while crowing about justice.
DOD00000797	They're a flashy tool, used to make a point about the reach and the righteousness of their clientele.
DOD00000798	You don't seem to like bounty hunters much. Why?
DOD00000799	I'm aware. Of your many apparent professions, you'll forgive me if there's at least one that I almost care enough to dislike.
DOD00000800	Fortunately, I don't really feel much about anything. If it makes you feel better, no doubt you could find some distasteful aspect of me, as well.
DOD00000801	Probably involving dead children. That one never fails to offend someone.
DOD00000802	You know I've done my share of bounty hunting, yes?
DOD00000803	Are you implying you do headhunting work for free? I doubt that.
DOD00000804	I may not be well versed into the nuances of what is or is not just, but I'm confident that murder-for-hire doesn't qualify, no matter the target.
DOD00000805	Even if your target deserves to die, accepting a contract on his life is inherently impersonal; not righteous punishment.
DOD00000806	If anyone in that equation is morally upstanding, it would be your client. Lacking the ability to kill, he contracts you.
DOD00000807	As I said, the dividing line between my work and bounty work is that what I do, I do in the shadows. And, I know exactly what I am.
DOD00000808	It's not about prestige, it's about meting out justice.
DOD00000809	Wise.
DOD00000810	That said, the glaring flaw is that your methods leave you with a target on your back.
DOD00000811	Consider accepting contracts anonymously. Don't engage your targets in petty banter before executing them. If you can avoid being seen, do so.
DOD00000812	I think, if you adopt my methods, you'll find yourself with far fewer attempts at violent retaliation being delivered to your door.
DOD00000813	I couldn't care less about the moral implications. I'm doing a job I was paid to do, nothing more.
DOD00000814	And I may have answers. Ask.
DOD00000815	I have some questions.
DOD00000816	For what purpose? Very well, proceed.
DOD00000817	I'd like to ask some questions.
DOD00000818	I wouldn't consider myself much of a conversationalist, but I will answer to the best of my abilities.
DOD00000819	Can I ask you something?
DOD00000820	On which topic?
DOD00000821	I'd like to ask you something.
DOD00000822	He's dead. Not at my hands, but dead all the same.
DOD00000823	He was a lieutenant in a slaver ring operated by a man named Schrader.
DOD00000824	Several years ago, Schrader's ring began to come into conflict with another group, operated by a man named Dietrich.
DOD00000825	My former master was captured in a skirmish with Dietrich, and they decided to make an example of him for Schrader's crew to witness.
DOD00000826	They flayed him alive, and nailed his skin to the door of Schrader's HQ. How unfortunate for him.
DOD00000827	Do you know what became of the slaver who bought you?
DOD00000828	You... did?
DOD00000829	I... Thank you.
DOD00000830	Eugene Schrader? I cut him down like the vermin he was.
DOD00000831	The man who had rescued me brought me with him. As he promised, he began to teach me his trade.
DOD00000832	I had experience killing and my instincts were sharp, but I lacked finesse, let alone experience with weaponry or... subtler methods.
DOD00000833	He taught me to shoot, to wield a blade, to move silently and unseen. I already knew how to read, but he gave me a real education.
DOD00000834	If I failed a task, disappointed him in some way... He would lecture me harshly, and then let me try again. He was strict, but never cruel.
DOD00000835	Soon, I was accompanying him on missions. He would offer advice and make suggestions, but for the first time, I had... autonomy. Real freedom.
DOD00000836	We weren't close, and our relationship was never anything more than professional. He simply wanted to pass on his skills and knowledge.
DOD00000837	That never bothered me. He was the first person I ever met that didn't want me to suffer.
DOD00000838	In time, I became skilled enough to accept my own contracts, without him. He had nothing left to teach me, so he stopped trying.
DOD00000839	We were just two independent murderers, living in the same building. And that's where my personal history ends.
DOD00000840	Everything between that point and us speaking right now falls into job details, which I don't discuss.
DOD00000841	So, how did you end up an assassin?
DOD00000842	Perhaps, but when a group is rushing for blood, my thoughts don't immediately turn to how I can subdue them non-lethally.
DOD00000843	And really, the thought of mercy never crossed my mind. All of my experiences taught me that life is cheap and easily thrown away.
DOD00000844	They wanted me dead; I wanted to live. Somebody is going to lose in that equation, and I wasn't going to let it be me.
DOD00000845	Couldn't you have left some of the other children alive?
DOD00000846	I... Thank you. That is... not necessary.
DOD00000847	I'm sorry you went through all of that. You deserved better.
DOD00000848	...I don't enjoy anything. I'm an emotionally-dead, hollow, empty shell of a human, whose only reason for living is to kill others for money.
DOD00000849	So... When you're not on the job, what do you enjoy? Any hobbies?
DOD00000850	I purchase ammunition, gun oil, whetstones, and medical supplies. Of course, I also keep myself fed and hydrated.
DOD00000851	O...kay then. What do you spend your assassination money on?
DOD00000852	...No. I haven't.
DOD00000853	...
DOD00000854	You're... surprisingly charitable. That's rare, especially around here. However, that's an easy trait for someone to take advantage of.
DOD00000855	Precisely what community do you believe I'm part of? I owe no loyalty to the dregs that find themselves in the slum surrounding my current safehouse.
DOD00000856	If you have more money than you need, have you considered giving back to your community?
DOD00000857	...
DOD00000858	I try to spare at least an hour every day for silent meditation, to keep myself focused.
DOD00000859	I... Also read whatever I can. Content doesn't matter. Children's books, encyclopedias, porno novels, biographies or fantasies. Whatever.
DOD00000860	It isn't enjoyment, but I do try to know as much as I can. And anything to distract me from my thoughts is welcome.
DOD00000861	Well, what do you do when you have free time between missions?
DOD00000862	...Yes.
DOD00000863	I... listen to music. Not the dated nonsense on the radio, of course. Music... It was never ruined for me. Not like everything else.
DOD00000864	It makes me feel calm. It can almost evoke... feelings. Positive ones. I... value that, more than I can say.
DOD00000865	And, uh... I kind of like flowers. They're pretty.
DOD00000866	Now we're getting somewhere. Do you do anything that serves no practical purpose?
DOD00000867	...How do you figure that?
DOD00000868	See, I knew there was more depth to you than you let on.
DOD00000869	If... You say so.
DOD00000870	...Thank you.
DOD00000871	An emotionally-dead, murderous, empty person wouldn't enjoy music and flowers. You're only human.
DOD00000872	Right... I'm at your back.
DOD00000873	You're too hard on yourself. Now, come on, let's get moving.
DOD00000874	...Nobody has ever thought that before.
DOD00000875	You're clearly insane. I suppose I'm obligated to keep you from getting hurt, then. Very well. I've got your back.
DOD00000876	I do say so. And we're friends, so that makes me qualified to say so.
DOD00000877	If you insist.
DOD00000878	I'd like to talk about you, Charlie.
DOD00000879	I don't know. I don't even know if my parents survived. Perhaps they died screaming, shortly after selling me.
DOD00000880	It's entirely possible that I have siblings, aunts or uncles, cousins... Or, perhaps not.
DOD00000881	It doesn't matter. If I do have family, I don't want to meet them. Shared DNA is a poor excuse for forcing companionship.
DOD00000882	I see no reason to believe that any hypothetical surviving family would be more inclined to care for me than the family I did know.
DOD00000883	So, do you have any family besides your parents?
DOD00000884	If that roving slave-trader hadn't come along, I suppose I would have simply starved to death. My parents clearly didn't want me around.
DOD00000885	Supposing that they did actually love me and raise me... Who knows? Maybe I'd be a singer, or a philanthropist. I could have been an author.
DOD00000886	I would... Probably be happy. I wouldn't be such a broken wreck of a person. I wouldn't kill people for money, and feel nothing as I watch them die.
DOD00000887	I... would prefer to speak about something else.
DOD00000888	If you had never been enslaved, how do you think your life would have turned out?
DOD00000889	I don't talk about completed contracts. I'm paid for silence, not just killing.
DOD00000890	So, any interesting stories from your assassination work?
DOD00000891	No, I've never catastrophically failed a job. Even if I did, I still don't talk about previous contracts, as I've said.
DOD00000892	Any assassin worth the title doesn't "accidentally" kill anyone. They kill who they mean to kill. No more, no less. I'm much the same.
DOD00000893	As for innocents, if you even believe in the concept, it isn't my place to make ethical judgements on my targets.
DOD00000894	But, I've certainly killed my fair share of people that common society would deem innocent and worthy of protection.
DOD00000895	You know that cliche about the tortured assassin with a heart of gold, with strict rules of honor, never killing women or children?
DOD00000896	That isn't me. I've killed women, children, the unarmed and the defenseless. A target is a target. I don't care about the rest.
DOD00000897	And no, I've never felt one iota of guilt for any of it. I don't really feel anything at all, in any context. I'm rather cold-blooded.
DOD00000898	Well, any botched jobs? Something go wrong in a humorous way? Accidentally shot an innocent?
DOD00000899	I think... That paranoia is wise. If you spend the rest of your life looking over your shoulder, you're less likely to take a knife in the spine.
DOD00000900	But, unless you intend to turn on me, you have nothing to fear in that regard.
DOD00000901	I don't accept contracts on people that I know in any capacity. Even more important is that I'm already under contract to keep you alive.
DOD00000902	...Of course, I would say the same thing if I really were plotting to kill you when you least expect it. I suppose you'll never know.
DOD00000903	You know, I've made a lot of enemies... I don't suppose you'd ever try to assassinate me for them?
DOD00000904	Of course I've fucking never been in a relationship. You'll forgive my saying so, but what an absurd question.
DOD00000905	Look at me. I'm an emotionally dead killer. I've been called a "soulless husk of a human", which seems apt enough.
DOD00000906	Even if someone were so insane as to desire me, do you truly believe I could reciprocate?
DOD00000907	I don't have feelings, or empathy, or warmth. I'm not even capable of feeling the most basic physical pleasures that come with relationships.
DOD00000908	I don't even have platonic friends. I'm not like you. When I die, I'll die alone and unmourned.
DOD00000909	...Cherish what you have. It's more than you know.
DOD00000910	Have you ever had any kind of romantic relationship in your life?
DOD00000911	I'm... I apologize. That was cruel of me.
DOD00000912	I... Value you, and your companionship. I've never had anything to compare it with. You'll forgive me if I stumble over my words, sometimes.
DOD00000913	I meant no offense. I can say no more than that.
DOD00000914	What do you mean you don't have friends? What about me?
DOD00000915	Thank you. I'll make it up to you by killing anyone who actually tries to cause you harm. Surely that's fair?
DOD00000916	Well, lead on. I'll follow you as long as you'll have me.
DOD00000917	No harm done, Charlie.
DOD00000918	Don't be absurd. Why would you have any interest in me, like that?
DOD00000919	I'm very sure I just explained how I'm incapable of affection. There are thousands that would be more suitable for your... feelings.
DOD00000920	No doubt you would be happier pursuing somebody that isn't fundamentally broken, inside and out.
DOD00000921	Well, maybe we could be more than just friends, huh?
DOD00000922	Don't be absurd. Why would you have any interest in me, like that?
DOD00000923	I'm very sure I just explained how I'm incapable of affection. There are thousands that would be more suitable for your... feelings.
DOD00000924	No doubt you would be happier pursuing somebody that isn't fundamentally broken, inside and out.
DOD00000925	Well, maybe we could be more than just friends, huh?
DOD00000926	When you say "men", do you specifically mean adult males, or just mankind in general? Because the latter number is far higher.
DOD00000927	As for specific numbers... I have no idea. Likely triple digits either way. I'm quite good at what I do, and my prices are very reasonable.
DOD00000928	Killing is my profession. I suppose I'm just not interested in making a sport of it, keeping track of numbers and personal records.
DOD00000929	How many men have you killed?
DOD00000930	Ready for an anticlimax?
DOD00000931	I purchased it. At an exorbitant price.
DOD00000932	I read about their uses, and heard testament to how they were the one of the few times Vault-Tec produced something that actually worked.
DOD00000933	I decided it would be a useful tool for my work. No doubt you agree, from personal experience.
DOD00000934	Where did you get that Pip-Boy?
DOD00000935	I mean what I say. I have no feelings. My emotions are dead. I can experience some instinctual fear or frustration, but little more.
DOD00000936	Joy, rage, misery, lust... I have none of these things. It extends to physical sensations, too. I don't really feel pain or pleasure.
DOD00000937	Perhaps it's all a result of how broken my mind is, or maybe it's actually acute nerve damage. I don't know. I don't particularly care.
DOD00000938	When you say you have no feelings, what exactly do you mean?
DOD00000939	Well, that's farcical. Besides, even if you're not technically paying my wages, I still consider you to be my client. I'm an assassin, not a hooker.
DOD00000940	That said, while your persistence over this subject is mildly obnoxious, I'm not overly bothered. I've found you relatively trustworthy, so far.
DOD00000941	Out of respect, I suppose I'd allow you to broach this topic again, once I'm no longer under contract to you. If you actually care that much.
DOD00000942	In the meantime, I have a very clear job to do, and you have... Whatever it is that motivates you. Let's get back to work, yes?
DOD00000943	Come on, you're really not willing to give me a chance?
DOD00000944	You didn't offend me. I'm not even capable of feeling offense, you know.
DOD00000945	I suppose it's actually almost flattering that you would even consider me for such a thing.
DOD00000946	Rest assured, the issue here is my wealth of emotional and psychological problems.
DOD00000947	I've no doubt you'll find someone capable of returning your affections, some day. But for now, let's just get back to business, yes?
DOD00000948	Alright, I didn't mean to offend you. I won't bring it up again.
DOD00000949	Very well.
DOD00000950	That's enough talk for now.
DOD00000951	Met many men named Charlotte, have you?
DOD00000952	No offense, but isn't Charlie a guy's name?
DOD00000953	Fine. I've already been paid, so I don't care one way or another. If you change your mind, it seems you know where to find me.
DOD00000954	Actually, I don't need any assistance at the moment.
DOD00000955	If that's what you'd prefer.
DOD00000956	Actually, I don't need any assistance at the moment.
DOD00000957	I respect their conviction, even as I'm convinced that they're doomed to fail.
DOD00000958	Accessible medical aid and the free exchange of ideas are appealing concepts, and most Followers I've met truly believe in what they're doing.
DOD00000959	However, they're operating from a perspective that most people are inherently good, which doesn't really seem to be true, in my experience.
DOD00000960	Blithely ignoring reality, no matter how well intentioned, will eventually lead to sorrow and failure. It's only a matter of time.
DOD00000961	How do you feel about the Followers of the Apocalypse?
DOD00000962	Well, that depends on whether you believe the term actually has requirements before it can accurately apply to a person.
DOD00000963	There's no shortage of people who claim themselves to be assassins. If you take them at their word, then the Mojave is flooded with the profession.
DOD00000964	But, most of these sorts consider "assassination" to mean walking right up to their target and announcing their murderous intent. Then they die.
DOD00000965	In my eyes, they're nothing more than worthless thugs, not assassins... No matter how much they might crow otherwise.
DOD00000966	Actual professional killers, who operate covertly and professionally, are few and far between. So be it.
DOD00000967	So, how many assassins are in the Mojave, you think?
DOD00000968	Are you asking for personal reasons? I'm afraid I can't accept any contracts from you.
DOD00000969	I strongly prefer anonymity from my clients. Dead drops, encrypted communication... Couriers. It's safer for them, and for myself.
DOD00000970	But, in general, I don't have a fixed price point. It depends on the target.
DOD00000971	Some random outlaw nobody? Couple hundred caps. High-ranking military personnel? At least a thousand, likely more.
DOD00000972	President Kimball? 100,000 up front.
DOD00000973	So, how much do you charge for your services?
DOD00000974	Could I? Absolutely. Would I? ...Unlikely. The only ones I can think of with both the motive and the financial incentive would be the Legion.
DOD00000975	For a faction so enraptured by Social Darwinism, they're rather infatuated with the notion that women are incapable of murder.
DOD00000976	Their loss.
DOD00000977	You don't seriously think you could kill President Kimball, do you?
DOD00000978	...No, courier. No, I don't think I could kill a man that is already dead.
DOD00000979	You don't seriously think you could kill President Kimball, do you?
DOD00000980	You have a remarkable talent for surviving attempts on your life, and it tends to go poorly for the prospective killers.
DOD00000981	Factoring personal risk, I'd require... At least 50,000. Possibly more, depending on other factors.
DOD00000982	Next time some amateur killer fails to execute you, search their body for the death order they inevitably stuffed into their pocket...
DOD00000983	More likely than not, the payout being offered is laughably small. As if you needed further proof of how worthless an assassin they are.
DOD00000984	So, hypothetically, how much would you charge to kill me?
DOD00000985	I'm excellent at killing people. The entity that hired me wants me to follow you and kill anyone who would wish to do you harm.
DOD00000986	None of your enemies scare me, and I'm being paid a very agreeable amount, enough to retain my services over a long stretch of time.
DOD00000987	Somebody wants you alive, courier. Should you feel honored, or terrified?
DOD00000988	I don't get it. Why hire an assassin for bodyguard work?
DOD00000989	If they haven't told you themselves, I'm not going to speculate on their identity or motives.
DOD00000990	I've worked for them before, and they've been reliable, as far as clients are concerned. That's all you need to know.
DOD00000991	Nothing personal. Discretion is part of my contract.
DOD00000992	Who hired you for this?
DOD00000993	You might be surprised by just how many people want that crier boy's head on a pike.
DOD00000994	Eliza seems to be suffering the delusion that her myriad of angry opinions actually matter.
DOD00000995	If all somebody has to complain about are trivialities, it's easy to gauge what an idyllic life they've been blessed with.
DOD00000996	How do you feel about my other companions?
DOD00000997	This one drinks too much. I wouldn't rely on her any more than was necessary.
DOD00000998	How do you feel about my other companions?
DOD00000999	Medical expertise is always useful, and this one seems adept enough with energy weapons.
DOD00001000	How do you feel about my other companions?
DOD00001001	Between myself and Boone, I don't expect you'll be in much danger from would-be assassins.
DOD00001002	If he wanted into the assassination business after the war, I think he has the skills and temperament to be almost as good as I am.
DOD00001003	How do you feel about my other companions?
DOD00001004	Huh. Well, checkmate, I guess.
DOD00001005	Damn it, I was looking forward to acting like a dumbass grunt, delegating you with bitchwork.
DOD00001006	Fine, yes, you got me. This is what happens when we always have the same operative delivering messages.
DOD00001007	Name is still Morgan. Still need you to do a job for us. The cover was nothing personal, we just prefer to operate discreetly.
DOD00001008	We were going to offer you 200 bucks for your time. I'll bump that up to... Let's say 800, and additional benefits upon completion of the job. Deal?
DOD00001009	Are you with the Office of Mojave Affairs?
DOD00001010	This seems counterintuitive. I don't know that the Legion is quite as pragmatic as they declare themselves to be.
DOD00001011	Nipton collaborated with the Legion. Aided them in their trap for the NCR and the Powder Gangers. And yet... Look at their reward.
DOD00001012	If this is how the Legion repays those who assist it, why would any future towns opt for anything other than fighting to the very last man?
DOD00001013	What do you mean?
DOD00001014	Understood.
DOD00001015	Quiet, I'm not looking for conversation right now.
DOD00001016	Evidently.
DOD00001017	They simply seem like a more disciplined raider band. I grew up surrounded by raiders, and strung-up corpses were a familiar sight.
DOD00001018	I feel as though they were more honest. They did it because it amused them. They never claimed that acts of barbarism would create a better world.
DOD00001019	All the bloodshed in the world can't change human nature. I don't think Caesar is reading the right historical texts.
DOD00001020	The Legion claims to be pragmatic, but they're just sadistic killers, nothing more.
DOD00001021	...So, is the Legion being directed by a child, or...?
DOD00001022	Nipton was never NCR territory. All the Legion has managed to convey is that they're entirely unreasonable, and motivated primarily by carnage.
DOD00001023	If anything, this will simply unite people against the Legion, even if it means reluctantly allying with NCR.
DOD00001024	"The NCR may be corrupt and ineffectual, but at least they only want to tax me, which is more than I could say of the Legion."
DOD00001025	Something to that effect.
DOD00001026	It's about sending a message to the Mojave, that the NCR cannot protect them.
DOD00001027	I'm aware of the reasoning behind the slaughter.
DOD00001028	However, the crime Nipton was so guilty of was to side with the Legion. If this is how Caesar repays those who collaborate, nobody else ever will.
DOD00001029	It simply seems, to me, that if a cornered foe knows that he has no chance to escape, he will fight harder out of spite and rage.
DOD00001030	For as flashy as Caesar's methods may be, he's making his conquest more difficult than it has to be.
DOD00001031	Although, I suppose that was already evident, considering how many Legionaries aren't equipped with firearms or first aid.
DOD00001032	This was punishment for Nipton's crimes. It's justice, not butchery.
DOD00001033	Geez, that's a pretty harsh way to frame it. 100% accurate, but so harsh.
DOD00001034	Where's your sense of adventure? Come on, now!
DOD00001035	Whatever. If you know what the OMA is, you know we do some cloak-and-dagger plausible-deniability covert-ops nonsense.
DOD00001036	And yes, sometimes, that means we commit the unforgivable atrocity of fudging the truth with outside operatives. You'll get over it. Eventually.
DOD00001037	Now, will you accept this trivially easy operation, or are you going to refuse because I'm a mean person that lied about my exact occupation once?
DOD00001038	Why would I want to work for someone who just lied to me?
