GID00086809	Trail Log 9 of 43: Spider - Day 3
GID00087052	We still haven't given up on the storage vault, we cleared some of the rubble away from a building on top of the tunnel to find an entrance and we managed to break into what I think is part of the tunnel maintenance system. Typically they lead to the same place. We came to stop at a security door, it looks like someone has been here before us and tried to blow it which has ruled out that option for us. The whole thing could come down. Still, at least we don't actually need it now. We are surviving without it.
GID00087053	Andrew Poke's Diary - 2104 
GID00087054	Heard from Charlie, he tried Vegas but I don't think it was much good and it sounds like he has settled at a place further south of here. Good to hear from the old buzzard.
GID00087055	Security
GID00087056	========================
GID00087057	| User Log:
GID00087058	| >> Administrator (RobcoID 2621-K)  
GID00087059	========================
GID00087060	> All Systems Operational
GID00087061	> Access Lockdown in Force
GID00087062	> Turret Systems Activated
GID00087063	> Robot Defense Units Activated
GID00087064	> Lethal Force Authorized
GID00087065	> Have a Nice Day :)
GID00087066	>/
GID00087067	Vault 66 Overseer Log Entry 08
GID00087068	2106
GID00087069	It's all fallen apart, there has been a mutiny.
GID00087070	I confronted Dr. Nice today. Part way through the conversation I realised he had been taking his own treatment, I could see it on him. They have kept it so dark in here because of the other patients I hadn't noticed but when I got up close...my god, even the security personnel are using. Nice said it was the only way forward if we are to survive and had me scheduled to start soon! 
GID00087071	No way! I'm not taking that shit, it's not even been proven to work. I know of other places outside the Vault I might be able shelter in. The details were stored in the train yard office but should have been deleted and moved to the Vault mainframe, I have the access code for the file in my safe.
GID00087072	As for getting out of here, there is an emergency evacuation store and exit I can access from this office, I just never expected to have to use it. 
GID00087073	How did it come to this?
GID00087074	Vault 66 Overseer Log Entry 09
GID00087075	2106
GID00087076	I've been utterly betrayed. When I checked the emergency store I realized how Poke and his traitors planned to escape and survive. They had taken everything. Looted the entire stock. How did they know about it? Why did I never check it?
GID00087077	I can't even get out, they have locked the emergency exit from the outside, the bastards. I've tried to find a way through the lock but I can't. They have killed me. 
GID00087078	It won't take Nice and his cronies long to get in here, they have already shut off all the main system functions in this office from the mainframe. I'm not going to be turned into one of them. And they are not going to use me like those others they drag in. I'm going to take every drug I've got, then finish it.
GID00087079	I would tell them all to go to hell, but we are already here.
GID00087080	Note
GID00087081	Do not activate this robot. It's behaving very strangely.
GID00087082	Scheduled for serving as soon as there is a pad available.
GID00087083	Security
GID00087084	V66 Security Log Entry 05
GID00087085	Now I'm the new security chief we can get this Vault in order. I never liked the Captain and all his military bullshit, this is a Vault-Tec facility and should be ran as such.
GID00087086	What's more Dr. Nice has been making some real advances in his research. I've been with him a long time and potentially we could be around for a lot longer. Not sure about the overseer though, I don't think he understands the bigger picture of what Dr. Nice is trying to achieve.
GID00087087	V66 Security Log Entry 06
GID00087088	We have shut up the Overseer's office as instructed by Dr' Nice. 
GID00087089	When he saw what was inside he found it funny, it was the first time I've seen him laugh. I thought he might want to use it, but he wasn't interested so it's just been sealed. It's too near the atrium anyway, I hate those lights used to keep the trees alive.
GID00087090	I always thought the Overseer's office had a secret exit anyway? I'm sure I've seen something about one. I would look but if he never used it then I guess I must be mistaken.
GID00087091	V66 Security Log Entry 07
GID00087092	We have just found this kid in the sewer, screaming for help. How the hell did he get there? Claims he found some sort of service tunnel and fell down a shaft. Must be talking about one of the water intake shafts, I didn't think it was possible to get in that way. More importantly he has been singing like a canary and says he wasn't alone, so I've stepped up the security patrols. I'm sure this young fellow will prove to be useful as well.
GID00087093	V66 Security Log Entry 08
GID00087094	This latest group of scavengers are much more organized than any we have encountered before. Some of them appear to be wearing a uniform of some description, these must be the 'New California Republic' creatures we have heard about.
GID00087095	With this increased threat I've ordered a lock down. Elevators to be disabled and corridors to be locked when not required. We will see how they get on with the external defenses before we take direct action.
GID00087096	I tried to consult with Dr. Nice but he hasn't been himself recently.
GID00087097	V66 Security Log Entry 01
GID00087098	2086
GID00087099	The first excursion outside the Vault has been authorized. The mission is to check the local area only, basically the train yard.
GID00087100	The Overseer was surprised by this, evidently exploratory reconnaissance from the vault were not in Vault-Tec's operating procedures. They are in military ones though, and that's what I'm going by. 
GID00087101	It seems the local area wasn't badly affected by the war, which is odd. I was expecting a nuclear wasteland, but instead we found the area simply derelict through lack of maintenance. There is evidence of some low level looting, which indicates a human presence still and we did find some strange fauna and flora around. I wonder what condition Vegas is in?
GID00087102	We didn't detect any coherent radio transmissions, but we are not in a particularly good area in these mountains.
GID00087103	We secured the train yard, checked the defense systems, which were all in good order and withdrew as per orders. Personally I think we should have gone further, but I think the Overseer is understandably worried about contamination. This disease that has appeared isn't going away.
GID00087104	V66 Security Log Entry 02
GID00087105	2091
GID00087106	It's time for another recon outside the vault. We are authorized to explore a little further this time and check the valley entrances.
GID00087107	The west route has been blocked by landslides, but the east is clear. I would use the rail road though and avoid the car tunnel. There is a lot of water coming through the tunnel lining and it has started to erode it, especially around the east end. I'm guessing the war must have brought about some pretty harsh weather conditions.
GID00087108	That disease has taken hold now. Strangely, although I'm not an expert, we can detect no trace of it out here, but I guess the doc knows what he is doing. Strict decontamination procedures are being kept.
GID00087109	V66 Security Log Entry 03
GID00087110	2096
GID00087111	Time for another recon. The Overseer is really against these excursions and the Doc seems reticent about them. Must be down to this disease which keeps re-occurring, but I insisted. We can't stay in this Vault forever can we? By my calculations we are due to exit in about 20 years.
GID00087112	We went out as far as Sawmill Junction. Importantly we found traces of a large group that had passed through this area recently and judging by what we found they were probably from a Vault but we couldn't determine which one. It appears they were heading north, not sure if they were heading towards something or away from something. Again some more of this mutated wildlife, even a plant that spits some sort of venom.
GID00087113	Supplemental:
GID00087114	Further reconnaissance has now been banned on orders from the Overseer and Dr Nice.
GID00087115	The pair of them have put their foot down. I can fight Vault bullshit with military bullshit but not medical bullshit as well.
GID00087116	V66 Security Log Entry 04
GID00087117	2096 Security Log Supplemental
GID00087118	I looked around the church, which was in a pretty bad way, and recovered some scraps of paper and anything that could give an idea to what is going on outside of the Vault. I was breaking the rules, but I did it anyway, I had already sent the others back to the Vault.
GID00087119	From what I could gather society has pretty much fallen apart, which isn't surprising, but I could find no reference to any sort of plague or disease.
GID00087120	On route back to the Vault I came across a 'survivor' who was living in a cave above the old car tunnel. He froze when he saw me, I guess the whole spacesuit look freaked him out. I managed to calm him down a bit and get some information from him before he ran off.
GID00087121	He confirmed that the other group was also from a Vault and it's people from Vaults he is scared of, said we were all diseased or crazy but the symptoms of these other Vault occupants bore no relation to ours. What's more he stated that no such infections occurred in any of those people he knew. Could this be purely a Vault problem? And if so how did it occur?
GID00087122	This leads to some very awkward questions.
GID00087123	V66 Security Chief personal Log 01
GID00087124	2096
GID00087125	I need to be careful what I write on the security office terminal, I know the Overseer can access it if he really wants to as well as personal terminals.
GID00087126	Nobody comes up to this level much any more and as security it's my job to check this area. I can work here.
GID00087127	V66 Security Chief Personal Log Entry 02
GID00087128	2097
GID00087129	I've been talking with one of our chief engineers, Charlie Dunn. Clever guy, but a bit of a militant and as security chief we are normally at odds with each other. But I need his help so it was time to put aside our differences and Charlie loved the irony of me rebelling.
GID00087130	I need to find out what is going on and Charlie, with my help, is the man who can get into the vault systems to find out. Turns out he already knows about a few things he shouldn't, including some things I didn't know.
GID00087131	It's time to answer those awkward questions.
GID00087132	V66 Security Chief Personal Log Entry 03
GID00087133	2098
GID00087134	Well, I wanted to find out what was going on and I have. What do they say? Be careful what you wish for.
GID00087135	I finally got to the Overseer's terminal and I read it over and over but still couldn't believe it. We are nothing more than fucking lab rats. How the hell did they ever think they could get away with it? But then they have haven't they?
GID00087136	I need to concentrate on what do next, what I can do something about, not what I should do, which is to kill these Vault-Tec drones. I have to focus.
GID00087137	I can't trust most of my security team as they are all Vault-Tec. I'm the odd one, last minute replacement drafted in from the Army. Need to work out who I can trust then get us out of here. Need to get people to trust me, Jesus, I was part of this.
GID00087138	This will not look good on the resume.
GID00087139	V66 Security Chief Personal Log Entry 04
GID00087140	2101
GID00087141	We have a plan. We have a way out and have dug out information on some government facility called 'Ground House', which might just suit our needs.
GID00087142	Andrew Poke's Diary - 2103 
GID00087143	We have finally got to Ground House, and it is not good. The whole thing looks like it's collapsed. More specifically it looks like the place has been blown up, god knows why.
GID00087144	So what now? We are sheltering in the tunnel, it still seems to be solid enough around the entrance. At least we have water here and there enough wildlife around here to hunt.
GID00087145	Some of the group want to head south to Vegas, but I'm not buying it. I think we should stay away from any large centers of population.
GID00087146	Andrew Poke's Diary - 2117
GID00087147	Vault 66 was due to open this year, but nothing has been seen. Every now and then we get a story of folks disappearing around the train yard, but we stay away. It's kind of achieved boogeyman status now. Locals here know but no one says anything. They seem to believe if you don't speak of it, then it's not real.
GID00087148	Someday the outside world will find it, then there will be a reckoning.
GID00087149	Note
GID00087150	We are out of here, you're not turning us into one of your experimental zombies. Did you actually think we would buy into that biological warfare shit? We will take our chances outside.
GID00087151	PS, Thank the Overseer for all of his survival gear.
GID00087152	Research Memo
GID00087153	Chief,
GID00087154	I've "confined" Dr. Nice to his office, it didn't seem right to put him in one of the cages as we have done with others in the past.
GID00087155	We may be able to do something in the future for him, but these compounds we are dealing with are just so complex.
GID00087156	We can only carry on with his work and hope we find a solution, but since he was the mind behind all this, his condition is a real setback for us. Dr. Nice thought he had this under control, but we must have missed something. We will do what we can.
GID00087157	Senior Research Technician
GID00087158	PP Dr. Nice
GID00087159	Research Memo
GID00087160	Chief,
GID00087161	Thank you for your concern regarding the ultraviolet lighting used to maintain the flora. I am well aware of the harmful effects photophobia can have on our residents, but you must understand that these plants have an important function in our air filtration system and if we switch the lights off permanently, they will die.
GID00087162	We can shut the atrium off for periods when the lights are on, and suitable eye protection can be worn by anyone who has to go in there. You already have the modified issue security helmets used for external patrols & snatch squads.
GID00087163	Senior Research Technician
GID00087164	PP Dr. Nice
GID00087165	P.S.
GID00087166	If you handle the current "visitors" correctly, we will have enough livestock that we won't have to venture outside for the forseeable future.
GID00087167	Diary 02: Cpl Sherwood
GID00087168	We have hit a problem as we can't get in, sounds like we don't have the access codes for some reason. The captain in desperation just decided to blast his way in the first entrance he came to, and only managed to bring down the tunnel. Now we are seriously fucked. We located a service entrance, tried the same thing and almost achieved the same results. Now we can't force that either without collapsing it. It would be funny, but he is now panicking and taking it out on us.
GID00087169	He finally listened to one of the sappers who suggested we could dig our way in. We have blasted as much as we dare and are now going at it with whatever tools we have, but the guys are really keen as there maybe some decent food and shelter for us at the end of it.
GID00087170	Diary 03: Cpl. Sherwood
GID00087171	Well, we made it, but it's not all we hoped for. The vault was obviously subject to some cutbacks. It's letting in water, the air is fetid and the reactor is leaking.
GID00087172	There are supplies here, but the captain has managed to bring a train up and is shipping the stuff straight out. I'm sure him and his little inner circle are helping themselves to it, but most of us are getting nothing. The rest of us are exhausted as we are having to hump everything by hand through the hole we dug to get in.
GID00087173	Diary 04: Cpl. Sherwood
GID00087174	I've found this working terminal but there are no records, I guess the main server is dead. I told the Captain I'm still working on recovering data but I'm just using it to type up my diary. It beats humping stores around and I don't trust myself to leave the food alone. I am so hungry.
GID00087175	Diary 05: Cpl. Sherwood
GID00087176	One of the train carriages broke down. It's been repaired by scavenging parts from the rearmost carriage which is being abandoned. We are taking the remaining supplies by road in what vehicles we have. Two guys from 2nd Company took some of the food as they were shifting it, then the captain found out and had them shot.
GID00087177	Diary 06: Cpl. Sherwood
GID00087178	We have had enough. They were making some of the guys move the barrels of radioactive waste outside into the collapsed chamber. We rounded the captain and all his cronies up and locked them all in the reactor room, so they can see what it feels like. 
GID00087179	They will get out soon enough, but the radiation will kill them before long and even if it doesn't we are going to bring the rest of this tunnel down to seal them in.
GID00087180	We have eaten what we wanted and are taking the remaining supplies for ourselves. We are going to head back to try and find our families. Screw the military, screw the government. There's nothing left to fight for, no country left to serve. Its all gone to hell and they sent it there.
GID00087181	Diary 01: Cpl. Sherwood
GID00087182	March, 2078. We're here. Hoping to find food and supplies in this supply bunker. Maybe shelter as well, I'm sick of Rad-X and my respirator is starting to pull the skin off my face. There are still radiation clouds everywhere, but at least the black rain hasn't returned.
GID00087183	The captain isn't helping though, he has become a real martinet. He has already shot one man for insubordination and desertion is starting to become more common.
GID00087184	V66 Mainframe Archive Entry 45109
GID00087185	Cl++sified S$$ret - Gxxxrn@ent EyŁŁ o0ly
GID00087186	Su#jHct: Wo80 SxaRk
GID00087187	FuBB~ion: AcJJm99dat22n foo LLLal 3ov77nm##t 10.10s%02.0f/%
GID00087188	77208200513782082   00513 02.0f/%04.0f %10.10s  <<<<<{}@@@@ŁŁ  &&&&))))))) 000000000 0&&&&&&&&777777777777GFGFDXCXCXCX#### 7777777777 xxxxxxxxxx WWWW 333333333333 33 00000000000 1111
GID00087189	V66 Mainframe Archive Entry 45156
GID00087190	ClasFifiFd S0cret - Gove11ment Ey2s onl6
GID00087191	Su==ect: G##000 $$$se
GID00087192	FuLLtion: Secure Sto@@ge of L#cal Gov0rnm0nt em&rg8ncy supplies.
GID00087193	Realisation: Med$$m siz0d bunk+r, unma#ned. Proj@cted life span 50 yKKrs on^e sŁaled.
GID00087194	Inf4rm4tion:
GID00087195	Sec2rity Code: N5t applicable. S7curity seals ar7 exp3cted to b4 suffic1ent.
GID00087196	Loc5tion: 5ast end 2200xx0000 R6ilway tun7el. 
GID00087197	M4in Entr0nce w2thin tu0nel, s0rv#ce entr0nce via tr8nsformer st#tion at tun%el entr0nce
GID00087198	Ac22ss C?dP: S#$#-#8$G-00##-#$3X
GID00087199	100010277208200513782082005135720820051%10.10s%02.0f/%02.0f/%04
GID00087200	######00 111111000%%%%))))) @@
GID00087201	10001027720820051378208 2005135720820051%10.10s%02  .0f/%02.0f/%04
GID00087202	######0011  1111000%%%%))))) @@
GID00087203	V66 Mainframe Archive Entry 45187
GID00087204	CLASSIFIED - US GOVERNMENT EYES ONLY
GID00087205	SUBJECT: Project Stone Case
GID00087206	FUNCTION: Security of local government assets in the case of thermonuclear war.
GID00087207	PROPOSAL: Small storage bunker & bank vault with provision for 4(four) man security team. 
GID00087208	Projected life span: 10(ten) years once sealed.
GID00087209	NOTES:
GID00087210	Project Stone Case amendment - Reference mail Davies/Barker
GID00087211	Martin, 
GID00087212	1. We have halted further construction work on Stone Case. Gotta love budget cuts, huh?
GID00087213	We should have enough to scrape together something functional, however.
GID00087214	2. Limited stores are to be stransported to this location - do not bring any further supplies. "They" want to spread everything out a bit as a precaution, but we will use the bank vault as that is fully functional.
GID00087215	3. "They" sent down the order that security will be entirely automated now, both to limit provision consumption and due to a recent psychologist report from Project Safehouse, stating that a flesh-and-blood security team is unlikely to survive the stresses of isolation or feel any particular loyalty to the HVTs after an apocalyptic event. Sounds like RobCo lobbyist bullshit, but what can you do?
GID00087216	4. When the automated security systems arrive, make sure you change their deactivation codes. Just about everyone knows the RobCo factory default is 1C 3C R34 M.
GID00087217	END
GID00087218	Inform0tion:
GID00087219	S&curity C$de: GY76-K632-00DA-DE73
GID00087220	Acc0ss C!de: D$65-%10.10s
GID00087221	Loc$3tion: 11403000"Deta %-8.0s
GID00087222	$311402000"Zip C%-10.0s:  E=%#-10.3f  N=%#-10.3f  L=%#-
GID00087223	- ERROR: FILE CORRUPTED. PLEASE CONTACT AN ADMINISTRATOR. -
GID00087224	Personnel
GID00087225	dkjfhsdlv(*$~@:hbs ls877863  4^^%HJBV
GID00087226	Normal.dotHG%Ł*@:>>NCV{ 
GID00087227	GHTT5hcbf73 45957fbnvc chy799476 Vkkkkkkkkhd 
GID00087228	+Document% SummaryInformation(v ifdg09555500
GID00087229	kldfhdf }{_:&^$"ŁCVhjdfb GR74 Ecky Ecky +++ufh
GID00087230	==_+CompObo yyyyyyy ObjectPool>>/'@@@@@
GID00087231	/'''[]'{{{753fhndsh dskjdh¬¬¬!324b yip >>>'@++
GID00087232	djhfg56778 ^&*(&&&4$$ ŁŁŁŁ<<<<kjyhtC
GID00087233	Stores
GID00087234	Storage Database is now [OFFLINE].
GID00087235	=- Stores are now closed to all personnel.
GID00087236	=- Existing Stock to be cataloged and back loaded.
GID00087237	=- all items now required are to be requested via external sources.
GID00087238	=- all requests are to be authorised by senior management.
GID00087239	=- Management are not to authorize any request without approval.
GID00087240	=- Approvals are to be endorsed prior to request.
GID00087241	Supplemental Note:
GID00087242	>>
GID00087243	>> Hey, you tight fisted asshole! I see it's business as usual then.
GID00087244	>>
GID00087245	Received - Blue Ray
GID00087246	Hey Blinder, you idiot!
GID00087247	Do you remember the name 'Burgess'? That name one of those clowns who disappeared down that tunnel of yours a few years back mentioned? Well, guess who has turned up and camped out in the old house at the top of Hayford? A ghoul, nasty piece of work and asking a lot of questions.
GID00087248	Sent - Blue Ray
GID00087249	Yeah, I remember.
GID00087250	Well, don't just sit there with your thumb up your ass, find out what his game is. Give his drum a spin if you have to, but don't use Emma, she's a good girl. Find a passing wastelander, preferably one with an IQ at least into double figures (which of course rules you out).
GID00087251	Received 2 - Blue Ray
GID00087252	Of course I won't use Emma, you cretin. And keep your eye out for a group of mercs under NCR command. Not sure what they are up to, but they are bad news.
GID00087253	And have you sorted out your Lurk farm yet, or are they still getting eaten by the fruit plants? That's so funny, but if you do get it sorted send some of the Lurk meat down with Angel.
GID00087254	Received 3 - Blue Ray
GID00087255	Hey Fuckstick, 
GID00087256	I've got some news on Burgess. I got this ugly looking prospector to go through his place. It seems he is interested in Ground House and I reckon this prospector has some more info on it. I've gave your name and told them to look you up. Be careful, this one has an arsenal and isn't shy about using it.
GID00087257	Oh, and that NCR outfit? Seems they are looking for freak central. That's going to get messy.
GID00087258	Hotel Log 1
GID00087259	A group of mercs-turned-prospectors turned up today. We did some trading and they crashed at the hotel overnight, I think they are heading to Zion for some reason although they were pretty tight lipped about it. From what I gather there has been some falling out within the group as well, maybe there are some more of them around, I'll keep my eye out.
GID00087260	Burgess
GID00087261	I need to get to the bottom of this guy's story. He has been here about a month now, but he is not the settling down type of person.
GID00087262	He is a mean and nasty piece of work, which has been useful dealing with our local raider problems, but he has been snooping around everywhere and asking an awful lot of questions.
GID00087263	He has an angle somewhere and I need to find out what it is.
GID00087264	Burgess' Blackboard Notes
GID00087265	Ground House Entrance
GID00087266	1. Down the train tunnel - couldn't find it before, maybe they cleared away some of the debris, they have had plenty of time.
GID00087267	2. Transformer station? There was a destroyed building above the tunnel entrance, maybe it was underneath that?
GID00087268	3. The utility shaft in the train tunnel? I thought that was just ventilation.
GID00087269	4. May be another entrance, the lake water was flowing somewhere, an underwater cave?
GID00087270	Burgess' Diary Page 1
GID00087271	Never thought I would be back here again. 
GID00087272	I've done some scouting for an NCR big cheese, they pay well for someone who gets results and can keep their mouths shut. But when they mentioned a Vault up in the mountains north of Vegas...it would have made my hair stand on end if I had any.
GID00087273	Burgess' Diary Page 2
GID00087274	I needed to bring my own knowledge up to date and I've got some information from a hobo in Westside. Most thought he was just another bum with a treasure map but I recognized some of the info as solid. He was quite forthcoming once I had slapped him around a bit. 
GID00087275	I need to head back that way, gather more information, do some research. There is another loose end I would like to tie up as well.
GID00087276	Burgess' Diary Page 3
GID00087277	I've passed on what I've acquired to some NCR drone called Kelly. His merry band are off to make their fortune and have no idea what is waiting for them. Not sure myself, to be honest.
GID00087278	I'm really tempted to go and watch how this all pans out, as it would be quite entertaining, but I need to keep my distance. I'll pick up the pieces later when they have all knocked themselves out.
GID00087279	Burgess' Diary Page 4
GID00087280	Ground House access code:
GID00087281	SD45-889G-00IU-323X
GID00087282	---------------------------------
GID00087283	Its been 6 years since I sent Bennet and his three stooges up to check on 'Ground House'. I know they got there as they sent a message back saying there was now a place called Rita's Cafe built on it. Then nothing. I would've known if they had returned, I would have picked them up in Vegas.
GID00087284	Fucking amateurs. I knew I shouldn't have given them the access codes.
GID00087285	Burgess' Instructions
GID00087286	Bennet,
GID00087287	Listen you idiot, check out the local area and find out if anyone ever managed to find or access this 'Ground House'. I've told you where it's likely to be if it does exist.
GID00087288	I know this is difficult for you but try and be discreet. If it's still a possibility let me know, I'll deal with it personally. 
GID00087289	DO. 
GID00087290	NOT. 
GID00087291	GO. 
GID00087292	IN.
GID00087293	=- Burgess
GID00087294	Warning Note
GID00087295	Tell Jerry he can store his precious robots in the cistern if he wants to. Just make sure no one shuts off the waterfall, because with the high water that place will fill up in seconds and I don't think they are amphibious.
GID00087296	Note
GID00087297	Don't worry about the robots.
GID00087298	I've locked out the sluice gate controls so they can't be operated accidentally and set the gates, outflow open, cistern closed. The only way the cistern can be flooded is if someone was to operate the emergency override valves so it was the other way around, and what idiot would do that? I've locked the door anyway.
GID00087299	Lillypad Field
GID00087300	The place is called Lillypad field. You reach it via Follett Passage, behind the waterfall, the entrance is behind Greta's bus, it's marked on your gadget and I've given you the key.
GID00087301	I reckon 20 raiders/walking plants or whatever you want to call them, and 10 of those spitting plants. They may be awkward to find, but they shouldn't have any problems finding you. If you get stuck just run around, you'll see them. Kill them all then come and see me.
GID00087302	There is a old hunting shack down the south end of the field. The key is in a pot by one of the doors. As a gesture of good faith you can use it and help yourself to whatever is in there.
GID00087303	Blinder
GID00087304	Capt. Kelly - Log Entry 01
GID00087305	I was concerned when our initial recon party, or what was left of it, returned and reported another group in the area. It would appear they were also looking for the Vault and quite organized. I thought this Vault was meant to be undisclosed? 
GID00087306	The survivor confirmed the trainyard's existence but that's it. Sometimes I feel I'm wasting my time with these idiots. Fortunately our other source is more reliable.
GID00087307	Capt. Kelly - Log Entry 02
GID00087308	So far progress has been good. It's never easy dealing with hired mercenaries, particularly this Viper scum, but for this kind of mission it is necessary. They are generally easy to dispose of as well once their purpose has been served.
GID00087309	We have reached a settlement of sorts called Hayford. Not much here except for our contact who exchanged the last of his information for payment. I was curious how he got it but he was keeping his mouth shut. That's one of the reasons we pay him, ironically. Can't stand zombies anyway.
GID00087310	Up ahead the road is blocked by raiders. They are well positioned but we have the resources to deal with them and it will make for a good shake down and see if we can drill this rag tag outfit into shape.
GID00087311	Capt. Kelly - Log Entry 03
GID00087312	We have located the trainyard and sent in another recon. We have lost  more personnel than I anticipated on route to raiders, random snipers, etc. The last one was particularly nasty but now we can get on with the business at hand.
GID00087313	Capt. Kelly - Log Entry 04
GID00087314	I've made this cave complex our HQ for the meantime as it suits our purpose quite well and we are not the first to use it, there were quite a lot of materials already here we could salvage.
GID00087315	I've held off moving into the trainyard as our reconnaissance showed there were quite a few service tunnels around plus defenses, robotic it would appear. Anyway I don't want any damn robots popping out of the wall when I'm trying to manage this operation.
GID00087316	Capt Kelly - Log Entry 05
GID00087317	We have found no trace of the other group our recon clashed with, other than some trash dumped in this cave as it would appear they also used it. There was some sort of diary entry as well but it didn't tell me anything I didn't already know. Pity.
GID00087318	On the plus side we have lost a few Vipers to the Vault defenses so the prognosis is good as it would indicate the Vault is still intact. 
GID00087319	Capt. Kelly - Log Entry 06
GID00087320	It appears our sniper at the church has returned. He caused us some casualties on our way in and gave us the slip when we cleared the area, but now it seems he is back, the tenacious bastard.
GID00087321	I've held off killing him as we don't have the resources right now, I want to concentrate on locating the Vault and time is pressing. Besides, with all the casualties we have taken on the way here, it might be worth trying to recruit him. I could use a man like that.
GID00087322	Capt. Kelly - Log Entry 07
GID00087323	Curiously we have had a couple of people disappear. They have most likely become victim of some defense system but we can't locate the bodies. Granted they were only Vipers, so it's not a major issue, but we do only have a limited supply of them.
GID00087324	Orders
GID00087325	Kelly, M. 
GID00087326	Captain 
GID00087327	57465890
GID00087328	Kelly, I want to make clear to you the priorities of this mission.
GID00087329	I've stuck my neck out for this, getting resources without getting noticed is a pain in the ass so make the most of it. Buy what and who you have to, but remember the coffers are not bottomless and keep as low a profile as you can. As far as command is concerned, this is just another recon mission and they don't need to know any different. And keep away from any Rangers, those boys have no business sense.
GID00087330	1. Confirm if this Vault information is true, I don't want to waste time chasing another goddamn tall story.
GID00087331	2. If you find it and it's already been burned and looted, check it out but do not waste any more time on it than you have to. If we can cover our expenses that will do.
GID00087332	3. If it's still sealed, find a way in and establish if there is anyone inside. I know that might not be easy, but you have shown aptitude in the past and I'm sure you won't let me down.
GID00087333	4. If it's empty, catalog the state of the facility and what is worth selling and keeping. If the place is serviceable, it may be worth selling to whoever offers the most, I've got a contact that can deal with the details.
GID00087334	5. If it's occupied, then send in whatever contactors you have hired to clear the place out. I don't want to be troubled by any vault dwellers looking for handouts. Once done revert to the above instruction.
GID00087335	6. Once the situation is secure, get rid of any contractors that are left and pay off those troops that were in on the mission. I'll provide the discharge papers for them. Make sure they know to keep their mouths shut.
GID00087336	If this pans out, we won't even need our pathetic little pensions. Handle this right, the Senator despises having to clean up messes.
GID00087337	=- F
GID00087338	Saved E-mail 1
GID00087339	Geoff, I've told you before, I will not generate a timesheet code for robot servicing, it's not needed.
GID00087340	Saved E-mail 2
GID00087341	Geoff, stop moaning and get on with it. I see your timesheets every week and I know you have not spent more time on robot servicing than you have on rail maintenance work. They are not a waste of time as our projections indicate they will increase efficiency by 34.7%.
GID00087342	And stop picking on Des. He keeps whining to me about you stealing his lucky dinosaur toy, and I don't have time for this. You're adults, for fuck's sake.
GID00087343	Saved E-mail 3
GID00087344	And speaking of timesheets, you're late again. You know that timesheets have to be submitted by the end of the week, deal with it. And remember not to submit them any earlier than a week in advance.
GID00087345	Automated E-mail
GID00087346	Current Timesheet status
GID00087347	Baxter, Marcus - 999+ weeks late
GID00087348	Davies, Michael - 999+ weeks late
GID00087349	Evans, Albert - 999+ weeks late
GID00087350	Green, Robert - 999+ weeks late
GID00087351	Muller, Karl - 999+ weeks late
GID00087352	Smith, Geoffrey - Up to date
GID00087353	Tate, Nicholas - 999+ weeks late
GID00087354	Trail Log 1 of 43: Jack - Day 0
GID00087355	It's called Zion, man. 
GID00087356	Some pre-war national park, whatever that was, full of fresh water, all the food you can eat and only some dumbass tribals living there. They'll probably think we're gods when we turn up with energy weapons. All ours for the taking.
GID00087357	It's like this; the place is known about but only by some caravans and they kept the route pretty much to themselves. Thing is it goes over the mountains, which is a pretty rough track and it takes them fucking years to get there. But there is another way. We got ourselves a pre-war map that shows the road. 
GID00087358	Of course there is a down side. The road snakes off through a load of canyons and is prime bush-whacking territory, not to mention landslides, poisonous bugs and all the rest of that stuff, but there are enough of us now to make this work, especially with the guns from our last score.
GID00087359	And once we clear the road in, we then invite every other schmuck from Vegas, but we set up a toll just before they get in there. They have to pay! And we just live off the land and watch the caps roll in! We can't lose.
GID00087360	We're all meeting at that old Route 95 rest stop, north of here. Here's the location and the key.
GID00087361	Trail Log 2 of 43: Daniel - Day 1
GID00087362	I'm sitting this one out. There are too many unknowns and lets face it, our crew isn't exactly a squad of Rangers. JD runs a tight ship and can be ruthless, but I'm not sure even he can pull this off.
GID00087363	I mean, what's he got? Sure, Pinky's on board, but he isn't getting any younger and I suppose Spencer has been around a bit and is OK.
GID00087364	Linda is a decent medic, if you can keep her out of her own drugs long enough, and then you got Finger and Suzy, a couple of wide eyed ex-raiders, also too fond of their chems.
GID00087365	Max who isn't too bright, but he's bright enough to let JD do the thinking and big enough so people leave him alone, and Spider can be useful as well. He can talk his way into anything, although that brings its own problems as it tends to be other men's women.
GID00087366	Bernie and Jack are good in a fight, but you should never confuse anger with courage and I wouldn't trust 'em as far as could comfortably spit them.
GID00087367	Bethany's clever, good with tech but she has issues, that girl seems to hate everyone. Then at the other end of the scale there is Jason who is as thick as molerat shit and a bit casual with other people's property.
GID00087368	Finally you got the Cope brothers, who are pretty solid I guess, just a bit intense. And of course Wellington, our pack Brahmin, probably the most reliable of the lot.
GID00087369	The skills are there, the problem is getting them to pull in the same direction and I doubt even a hard-ass like JD can get that to work on a long expedition.
GID00087370	Trail Log 3 of 43: Joseph - Day 1
GID00087371	I detest it when people say we can't lose, it's tempting fate.
GID00087372	The map seems genuine enough. Spider got it from a hobo in Westside for a bottle of rotgut, or so he says. This character said he knows the route well and even marked it for fellow hobos somehow.
