FO300000001	.32 Pistol
FO300008882	This isn't right.
FO300008883	This is what we've come to.
FO300008884	Corpse
FO300008885	TimeToGo
FO300008886	Beat it, mungo.
FO300008887	Move it or lose it.
FO300008888	Get out of here.
FO300008889	You need to leave now, mister.
FO300008890	You need to leave now, miss.
FO300008891	Uh, can you leave now, please? I've got to do something.
FO300008892	Time for you to go.
FO300008893	It's time for you to leave.
FO300008894	You've got to leave now so I can lock up.
FO300008895	I'm locking up, so you'll need to leave.
FO300008896	Come on, let's go.
FO300008897	RadioHello
FO300008898	This is the Overseer.
FO300008899	This is the Overseer.
FO300008900	If anyone can hear this, this is Bob Andersteen.
FO300008901	<Strange Breathing>
FO300008902	<Morse Code Clicking>
FO300008903	<Morse Code Clicking>
FO300008904	<Morse Code Clicking>
FO300008905	<Morse Code Clicking>
FO300008906	<Morse Code Clicking>
FO300008907	<Morse Code Clicking>
FO300008908	<Morse Code Clicking>
FO300008909	This next piece is dedicated to my old friend Crazy Wolfgang. No one can scour the Wasteland and find such oddities as you.
FO300008910	I'd like to play this next piece of music for the man out there who keeps an old lady alive and well. Doc Hoff, once again I thank you.
FO300008911	To the traveling merchant who only goes by the name Crow, I thank you for all the times you spent keeping me company. Enjoy the music, my love.
FO300008912	This is just a quick thank you to my new friend. Thank you for bringing me what I'd been searching for all these years.
FO300008913	Music has always been an important part of my life. I hope you enjoy listening to these pieces as much as I enjoy playing them.
FO300008914	Here is another lovely song for a lonely traveler wandering the Wasteland. You know who you are.
FO300008915	If my notes sound sweeter it's all thanks to a special someone who helped out a poor old lady living alone in the Wasteland. Thank you, my friend.
FO300008916	Remember, Agatha is with you on those cold nights. Just keep listening to this broadcast and I'll keep you company. It's the least I can do.
FO300008917	They say recent events have made the world seem like a better place. I hope all of you out there can smile and feel better knowing that it's true.
FO300008918	This next selection was one of my mother's favorites. I hope you'll enjoy hearing it as much as I enjoy playing it.
FO300008919	That song reminded me how wonderful these composers were. How delightful to have such an amazing imagination.
FO300008920	This next piece reminds me of something my husband said. "Friendship is like a violin. Even if the music stops, you'll still have the strings."
FO300008921	Just a word to my Wasteland friends out there. Stay safe, stay healthy and above all, stay happy.
FO300008922	I'm dedicating this next piece of music to my loving husband. May his soul find peace.
FO300008923	People of the Capital Wasteland, you can HEAR MEEEE!!!! Yeeeaa haaaa!!! You can't stop the signal, baby!
FO300008924	If Three Dog were here, he'd say something witty. But he's not. Cause somebody killed him. So you get me playing music. Yay.
FO300008925	It's me again, Margaret the technician, talking into the microphone and hoping somebody gives a shit. Enjoy the music.
FO300008926	This is Margaret again, with another funtabulous round of ancient music. Three Dog's dead, and that's all I got.
FO300008927	This is an automated distress message from Vault-Tec Vault 101. Message begins:
FO300008928	Hey everybody, this is Three Dog, your friendly neighborhood disc jockey. What's a "disc"? Hell if I know. But I'm gonna keep talkin' anyway.
FO300008929	People of the Capital Wasteland! It is I, Three Dog, your ruler! Hear me, and obey! Oh, sorry, that's that OTHER radio station.
FO300008930	Men and ladies, boys and girls, prepare to be astounded, bedazzled, and otherwise stupefied! I am Three Dog, your master of ceremonies!
FO300008931	Thrrreeee Dooooggg! That's me, kids. Comin' to you taped from my fortified bunker in the middle of the D.C. hellhole. Ain't life grand?
FO300008932	Because one dog ain't enough, and two is too low, it's me, Three Dog! How you kids handlin' Post-Apocalyptia today?
FO300008933	Hellooooo Capital Wasteland! This is Three Dog, coming to you loud and proud from Galaxy News Radio.
FO300008934	Wake up, Wasteland! It's me, Three Dog, bringing you all the music and news your little hearts can handle.
FO300008935	You're listening to Galaxy News Radio, and I'm your host, Three Dog, lord and master of all I survey!
FO300008936	GNR. Three Dog. All you need to know.
FO300008937	Repeating message. This is Butcher of Reilly's Rangers sending out an S.O.S. on all known friendly frequencies.
FO300008938	This is Butcher of Reilly's Rangers. If anyone can hear this signal we're in danger and we need your help.
FO300008939	To anyone receiving this message. This is Butcher of the merc company Reilly's Rangers. We're in danger and need help.
FO300008940	To anyone that can receive this. We are in danger and need your help. This is Butcher of Reilly's Rangers.
FO300008941	Mayday. Mayday. Mayday.
FO300008942	<unintelligible>
FO300008943	<unintelligible>
FO300008944	<unintelligible>
FO300008945	Greetings to the oppressed masses from the peace-loving peoples of China!
FO300008946	All peace-loving peoples must join together to stop the war of aggression being waged by the Wall Street gang!
FO300008947	The Overseer's authority is absolute.
FO300008948	This is Vault 101, and you're enjoying a brighter future… underground.
FO300008949	Walk. Don't run.
FO300008950	Attention all Raven Rock personnel. This is your President, John Henry Eden.
FO300008951	We stand now at the precipice.
FO300008952	Thank you for listening to Tenpenny Tower radio service. Brought to you by Allistair Tenpenny.
FO300008953	This is Tenpenny Tower radio!
FO300008954	You're listening to Tenpenny Tower radio, the sound of progress!
FO300008955	This is Tenpenny Tower radio, music and inspiring talk for forward thinking people.
FO300008956	MegatonTalkDeathReactionFunny
FO300008957	You're really an asshole, you know that?
FO300008958	That's appalling.
FO300008959	You're going to a special hell, you know that?
FO300008960	Too soon!
FO300008961	You can't be serious.
FO300008962	MegatonTalkEnclaveNegative
FO300008963	From what I hear, they're nothing but bad news.
FO300008964	Yeah, well. We'll see. They can't be worse than those Brotherhood of Steel psychos down in the city.
FO300008965	Yeah, right. I'm not holding out hope for the cavalry to come save the world.
FO300008966	MegatonTalkEnclavePositive
FO300008967	If that's true, then all we have to do is hold out for a little while, right?
FO300008968	I hope you're right. I really do. But after 200 years, don't you think they'd have done something by now?
FO300008969	MegatonTalkDoubt
FO300008970	No! That's terrible!
FO300008971	Terrible business.
FO300008972	Ashes to ashes.
FO300008973	Dibs on their stuff!
FO300008974	All I can say is: better them than me.
FO300008975	Well, on the bright side, now there are more water rations for the rest of us.
FO300008976	My sympathies go out.
FO300008977	It could happen to any of us, you know.
FO300008978	How does the saying go? "Death is like a robe that everyone has to wear."
FO300008979	"Death is as sure for that which is born, as birth is for that which is dead. Therefore grieve not for what is inevitable."
FO300008980	How can I convince you to stop preying on Arefu?
FO300008981	No convincing is necessary. I must say your visit is a pleasant change from what I am accustomed to when dealing with humans.
FO300008982	In light of this, I promise you that no further harm will befall you or Arefu. Of that you have my solemn oath.
FO300008983	Now, what of young Ian? Tell me his decision.
FO300008984	I believe that blood preserved in bloodpacks could provide what you need.
FO300008985	Many years ago, I survived by drinking from fresh bloodpacks I recovered from hospital ruins.
FO300008986	The problem was that these bloodpacks were scarce.
FO300008987	What do you propose?
FO300008988	Oh, come on. I'm a nice guy, really. May I please come in?
FO300008989	Well, okay. But you better not be lying, or else we'll shoot you.
FO300008990	Oh, come on. I'm a nice guy, really. May I please come in?
FO300008991	Well, okay. But you better not be lying, or else we'll shoot you.
FO300008992	Oh, come on. I'm a nice gal, really. May I please come in?
FO300008993	What is this place?
FO300008994	This is Little Lamplight. We live here, and we don't need no mungos messing it up. So just take a hike.
FO300008995	Can I come in?
FO300008996	Hell no! No mungos allowed!
FO300008997	I already told you no. Stop asking!
FO300008998	I really need to get to Vault 87. Do you know the way?
FO300008999	It's not safe, even for someone as brave as you. There's monsters back there.
FO300009000	You don't want to go there. That's where the monsters are.
FO300009001	We got pretty good at keeping them out. Probably better than you could do.
FO300009002	We don't go there. It's bad back there. Ask Mayor if you really want to know.
FO300009003	So you know the way to get there?
FO300009004	Yeah, I do. It's through Murder Pass. Not a real safe way to go, but it's the only door that works.
FO300009005	Yeah, I do. But it's through Little Lamplight, and you're not getting into Little Lamplight. Guess you better find some other way, mungo.
FO300009006	Why, what happened to Sammy and Squirrel?
FO300009007	Them and Penny got themselves caught... By mungos, just like you. Slavers from Paradise Falls.
FO300009008	I told them to watch out, but the stupid kids didn't listen.
FO300009009	Forget it.
FO300009010	Yeah, whatever.
FO300009011	How can I get you to trust me?
FO300009012	Why should I trust you? I got no reason to.
FO300009013	You mungos are nothing but trouble. I ain't gonna let what happened to Sammy and Squirrel happen to anyone else.
FO300009014	You'd do that?
FO300009015	What if I go and help Sammy and the others? Then will you trust me?
FO300009016	Monsters? What monsters?
FO300009017	The big ones. You know, the ones that sort of look like people except they're all wrong.
FO300009018	That's the only way?
FO300009019	It's the only way that works, yeah.
FO300009020	The other door hasn't worked since before I was here. Computer's busted, and not even Joseph can make it work.
FO300009021	Thanks.
FO300009022	If you're going to go through Murder Pass, let me know and I'll have the door opened for you.
FO300009023	But I still say it's a bad idea.
FO300009024	On second thought, never mind.
FO300009025	Okay. Don't worry, I won't tell anyone else you chickened out.
FO300009026	Yeah, I'm sure.
FO300009027	Come on. Let's go get the gate open for you, mungo.
FO300009028	I want to use Murder Pass to reach Vault 87.
FO300009029	Not unless Mayor says it's okay. You'd better ask him.
FO300009030	You sure about that? It's scary in there. Even I don't like going there, and I'm really brave.
FO300009031	Okay, it's your funeral.
FO300009032	Come on. We'll open the gate for you.
FO300009033	Can you turn the computer back on?
FO300009034	Sure, if you want.
FO300009035	Come on. It's over here.
FO300009036	I hear there's a door that doesn't work.
FO300009037	Nuh-uh. Door works fine. Computer's broke.
FO300009038	Well, maybe not broke, but it sure don't work right. I turned it off because it was just wasting power.
FO300009039	Tell me more about Little Lamplight.
FO300009040	Why would I tell you anything? God, you're dumb.
FO300009041	Know anything about the area outside Megaton?
FO300009042	Outside of Megaton? Any place other than here sounds like heaven to me. Fuck this place.
FO300009043	If it weren't for you Wasteland types coming through with your caps, I'd be out of here in a second. Assuming that I could convince Jenny and Leo.
FO300009044	All I know is that I spent too much time out there and beyond that, I ain't gonna talk about it.
FO300009045	The Wasteland? Why the hell would you want to go out there? Listen to me, lass, Megaton has everything you could possibly need. Why go anywhere else?
FO300009046	The Wasteland? Why the hell would you want to go out there? Listen to me, lad, Megaton has everything you could possibly need. Why go anywhere else?
FO300009047	The only advice that I can offer is this: you will find no wealth in the Wasteland greater than that which you will find within yourself.
FO300009048	Bask in Atom's Glow, and you will understand.
FO300009049	Confessor, have you ever traveled outside of Megaton?
FO300009050	None of your fucking business.
FO300009051	What do you know about the Wasteland?
FO300009052	I've said just about all I'm going to say about that.
FO300009053	What do you know about the Wasteland?
FO300009054	What do you know about the Wasteland?
FO300009055	It's called "The Wasteland" for a reason. But there are settlements, too, spread all around. The human race is stubborn like that.
FO300009056	To the south you got Rivet City, but don't bother going to D.C. The place is a warzone.
FO300009057	What can you tell me about Megaton?
FO300009058	Megaton is the best little town you'll find in the Capital Wasteland. Don't let anyone tell you different.
FO300009059	Strong walls, strong people, and strong booze. We've got everything you need to make a life these days.
FO300009060	Megaton is the best little town in the Wasteland. Don't let anyone tell you different.
FO300009061	Stay the fuck out of my business, don't go where you don't belong, and buy your drinks here. That's all you need to know.
FO300009062	Outsiders ask us "why did you build a town around a bomb"? To them, I say: The bomb brings the promise of Division and the gift of the Glow.
FO300009063	I have to say, of all the rat infested hellholes that I've lived in, this one is the least hellish.
FO300009064	Some people hate this place, but I guess it's their right, what the hell do they want out of life? Food, shelter and safety. Works for me.
FO300009065	What do you want to know?
FO300009066	Tell me more about your town.
FO300009067	What's to tell? We're alive, so we've got nothing to complain about, right? And hell, I've got a restaurant! So I have it better than most!
FO300009068	What can I tell you about Megaton? Well, that fucking bomb is killing us all slowly. How's that for a piece of information?
FO300009069	Is there a bar in town?
FO300009070	I apologize, but I cannot encourage the consumption of alcohol. Alcohol impedes our personal quest for the Grand Division.
FO300009071	Just be careful. Moriarty is NOT your friend, no matter what he may say, so don't fall for his lies. And for god's sake, don't trust the man.
FO300009072	I need some equipment. Where's the nearest general store?
FO300009073	Seek out Moira at Craterside Supply, although the true pilgrim relies on Atom to supply all that he needs.
FO300009074	Moira sells all kinds of stuff at her place, Craterside Supply. Take a guess where it is? Heh heh heh heh.
FO300009075	Seek out Moira at Craterside Supply. She's a darling girl.
FO300009076	Check out Craterside Supply. It's on the western side of town.
FO300009077	Where's the closest clinic?
FO300009078	You'll want to see Doc Church next to the Crater. Take your time.
FO300009079	Atom can only heal the wounds of the soul. For wounds of the body, you should see Doc Church. His clinic is directly to the north the Church.
FO300009080	Our clinic is down in the crater, by the bomb. Doc Church is a little rough around the edges, but the man's got talent and compassion.
FO300009081	You'll want to see Doc Church next to the Crater. You can't miss it.
FO300009082	I need to get going.
FO300009083	Yeah, all right.
FO300009084	I'm looking for my father. Middle-aged guy. Maybe you've seen him?
FO300009085	It's like I said, kid. Your dad was here for a bit, but didn't stay long. Said he was going to the Galaxy News Radio station. Southeast, in D.C.
FO300009086	What was it you said about my father, again?
FO300009087	Oh, your daddy passed through here, all right. Here and gone. Got what he came for, and then left. I'm assuming you'll do the same, correct?
FO300009088	Oh, your daddy passed through here, all right. Here and gone. Got what he came for, and then left. I'm assuming you'll do the same, correct?
FO300009089	You took care of our little lost lamb, eh? I knew I could count on you.
FO300009090	How about you just hand over 100 caps and we'll call it even.
FO300009091	I did your stupid favor. Now can you tell me where my father is?
FO300009092	You got memory problems, kid? You ain't getting somethin' for nothin'. So pony up the 300 caps, and THEN we'll talk.
FO300009093	Can you tell me where my father is now?
FO300009094	Even if I knew, I wouldn't tell you.
FO300009095	Oh, yeah! I do remember a guy like that.
FO300009096	Honestly, I usually keep my head down. I tend to get smacked around if I look customers in the eyes. But talk to Moriarty, he'll know more.
FO300009097	I can't talk about that anymore. Moriarty will beat me again if I do.
FO300009098	Yeah, I remember that man. I saw him talking to Moriarty. It's hard to forget handsome men like that.
FO300009099	Not in here, I haven't.
FO300009100	Sorry, man. I haven't seen any cats like that roll through here.
FO300009101	Many of the transient visitors end up at one of Megaton's seedier establishments.
FO300009102	I suggest you speak to Colin Moriarty and continue your search there.
FO300009103	Oh man, you're looking for your dad? That is so sweet! Did he run out on you when you were a kid or something?
FO300009104	Our parents died when we were kids. My brother Leo, he's the oldest, he raised my brother Andy and me. It was hard on him, but we turned out okay.
FO300009105	But God, you don't want to hear about that. I'm sorry, but I haven't seen your dad. He didn't eat at the Brass Lantern. I'd remember if he did.
FO300009106	Are you fucking kidding me? Get out of my face.
FO300009107	I usually avoid most of the Wasteland types that come through here, but there was one guy.
FO300009108	Unlike most of the wannabe heroes that come in, he looked like he could actually read a book without giving himself a headache.
FO300009109	He spent a bunch of time at Moriarty's before moving on. I'd try talking to Colin.
FO300009110	I'm glad we understand each other. Now, have you seen my dad?
FO300009111	I usually avoid most of the Wasteland types that come through here, but there was one guy.
FO300009112	Unlike most of the wannabe heroes that come in, he looked like he could actually read a book without giving himself a headache.
FO300009113	He spent a bunch of time at Moriarty's before moving on. I'd try talking to Colin.
FO300009114	Your father? I don't know, I don't know. Doesn't ring a bell, sorry.
FO300009115	Well, come to think of it, I do remember a stranger coming through here. Had a look in his eye. You know the kind a man gets when he's got a purpose.
FO300009116	Spent some time up in the saloon. Might want to check with Moriarty. Just watch yourself. That man's trouble.
FO300009117	Nope, sorry. I got enough fires to put out in this place that I don't have time to keep tabs on every visitor. I'd ask around town.
FO300009118	Could be the guy I saw at Moriarty's Saloon not too long ago. I'd ask there.
FO300009119	I could use some directions around town.
FO300009120	In each our own way, we are all lost. Where would you like to be, sweet child?
FO300009121	In each our own way, we are all lost. Where would you like to be, brother?
FO300009122	In each our own way, we are all lost. Where would you like to be, sister?
FO300009123	Sure thing, partner. What do you need to find?
FO300009124	<Say nothing.>
FO300009125	Pffft. Nice hat, Calamity Jane.
FO300009126	Just so long as we understand each other. This here is my town. These are my people. You so much as breathe wrong, and I'm gonna fuckin' end ya.
FO300009127	Nice town you got here, sheriff. It's a pleasure to meet you.
FO300009128	Friendly AND well-mannered? I think we're gonna get along just fine. You treat my people nice, and you're welcome to stay as long as you'd like.
FO300009129	Let's talk about something else.
FO300009130	Oh, no problem. I'm not busy at all. Yep. Plenty of time to talk to strangers.
FO300009131	What else do you require, sweet child?
FO300009132	Sure thing. What's on your mind?
FO300009133	What do you wish to discuss?
FO300009134	Is there a weapons dealer around here?
FO300009135	Go see Moira at Craterside Supply. She sells some weapons. Makes some too, from what I hear. Her place is down by the crater.
FO300009136	It saddens me to think how quickly we resort to violence.
FO300009137	You'll probably want to see Moira at Craterside Supply. She sells some weapons. Makes some too, from what I hear. Her place is down by the crater.
FO300009138	It saddens me to think how quickly we resort to violence.
FO300009139	MegatonTalk
FO300009140	Sure thing, Andy. What do you need?
FO300009141	I'm a little busy right now, Andy. What is it?
FO300009142	Yeah, Billy?
FO300009143	Yes, Billy?
FO300009144	Mister Moriarty, sir! What can I do for you?
FO300009145	Yessir, Mister Moriarty? What is it?
FO300009146	Yeah, Colin?
FO300009147	Yes, darling.
FO300009148	Yes, husband?
FO300009149	What did you say to me? WHAT did you say to me? Did I give you permission to speak, you disgusting corpse?
FO300009150	Well I'll be! I could have sworn I heard this corpse speak! But that's impossible. Dead men don't talk, do they? They LISTEN. They OBEY.
FO300009151	Oh, hey Jericho, baby! What's going on?
FO300009152	Jericho, baby! What's happening?
FO300009153	Hey Gob, what's up?
FO300009154	Hiya, Gobbie! Whatcha need?
FO300009155	What's up, son?
FO300009156	What's on your mind, boy?
FO300009157	Yes, Mr. Jericho? What can I do for you?
FO300009158	Sure thing, Mr. Jericho. What do you need?
FO300009159	Yeah, honey. What do you need?
FO300009160	What is it, baby?
FO300009161	Food, Jericho. It's all I had for you yesterday. It's all I have for you today.  It's all I'll ever have for you.
FO300009162	Jericho, you're disgusting. Are you going to order something or not?
FO300009163	What? Me? Why?
FO300009164	I'll help you if I can, what do you need?
FO300009165	Yeah, sure. No problem. Anything I can do to help, you just let me know!
FO300009166	What is it, Leo?
FO300009167	Yeah, dad?
FO300009168	Whatcha need, dad?
FO300009169	For you, sweetheart, anything. What do you need?
FO300009170	Anything for you, honey?
FO300009171	Oh, for the... What?
FO300009172	Yes, good wife?
FO300009173	Yes, my darling?
FO300009174	Yes, Nathan?
FO300009175	Yes, dear?
FO300009176	Oh, heya Nathan. Sorry, I got lost in my work. What do you need?
FO300009177	Sure, Nathan, what's up?
FO300009178	Does the pampered princess seek an audience with her king?
FO300009179	Nova! What can I do for you? Just name it!
FO300009180	MegatonTalk2
FO300009181	We should get us a hooker. We could pull in a lot of money around here... maybe a nice blonde.
FO300009182	You said we could have that talk sometime. You know. About boys. I'm ready! I'm ready now! There's some stuff I need to know. Like, really bad.
FO300009183	I'm tired. I think I'm going to knock off early. I know you won't mind.
FO300009184	It's the tips, Colin. Your customers are actually getting cheaper, if that's even possible. Is a girl supposed to just lie down and take that?
FO300009185	I've been having those visions again. Not while I sleep, dear husband, but waking dreams. I see Atom, finally free! His glory revealed at last!
FO300009186	He came to me again last night, husband. The great Atom! He visited me in my dreams, bid me to spread His gospel. I was infused with His energy!
FO300009187	These floors are filthy, you useless fucking zombie! Next time you sweep, put your back into it.
FO300009188	Christ almighty, Gob, if I told you once I told you a thousand times. Do something about that... oozing. You're scaring off my customers!
FO300009189	I've got blood in my alcohol stream. I blame you. Fix it.
FO300009190	I can't help but notice that I'm sobering up. What are we gonna do about that?
FO300009191	My drink is empty. Fix it.
FO300009192	I just wanted to let you know I reserved some special time for you. You know, as a thank you for all you done for me.
FO300009193	C'mon, Jenny, why you gotta be like that? I'm just trying to be nice to you.
FO300009194	Dammit, Jenny. Why do you have to embarrass me like that, out here in front of all these people?
FO300009195	I noticed some irregularities in the logs here. Are you tracking the drinks that you're selling like I told you?
FO300009196	You came up short again. Now, I don't know what's going on, but it needs to stop.
FO300009197	You know, I got to thinkin'. You and I should do some scavengin' sometime soon. See, we find us an old bike, and get Moira to help us fix her up!
FO300009198	What did you do with my ratchet? I've looked everywhere! Where did you put it?
FO300009199	I was wonderin' if anyone's sold you a Fesson-Moch .45 cal. I need the trigger assembly for this rifle I'm workin' on.
FO300009200	Did you ever get ahold of those shell casings that we talked about? The special alloy ones?
FO300009201	I've been concerned about church attendance lately, Mother. The town's inability to fully accept Atom's promise is... most discouraging.
FO300009202	Have you thought more on that matter we discussed? It's a bold plan, Mother. But I fear the townsfolk may not be ready for such an intervention.
FO300009203	Nathan, you promised me you'd talk to Moira about getting those flower seeds. Please, don't forget. Again.
FO300009204	You look beautiful today, Nova. Just like always.
FO300009205	I was thinkin', maybe you and me, we could go out sometime.
FO300009206	Look, don't give me any of your shit. Now, tell me something, and if you're lyin' I'll know. Are you workin' with the Raiders? You a scout?
FO300009207	Never mind.
FO300009208	Okay.
FO300009209	MegatonTalk3
FO300009210	Yeah. Good idea. Not gonna happen.
FO300009211	And where do you propose that we pick one of those up? We'd have to pay the caravan scavengers, and who knows what they'd bring back.
FO300009212	Shut yer gob, Gob! Ain't that why I named you that to begin with? Cause you talk too goddamn much? Now get your rotting ass back to work!
FO300009213	Jesus Christ, what did I just tell you? Get back to yer job while you still have one!
FO300009214	I remember a time when you screwed more and complained less, Nova dear. Ah, but for the good old days.
FO300009215	*Sigh* Our heavenly Father put you on this earth to test me, is that it? 'Dear Lord, save me from the whinings of thine whore who doth complaineth!'
FO300009216	You're always so nice to me, you know that, Nova? I don't know what I'd do without you, I swear.
FO300009217	I like helping you out, dad. I'm not a kid anymore, you know. Okay, I am a kid. But I can do anything you need me to do. I can handle it.
FO300009218	I'm not going to discuss it, Jericho. You know good and goddamn well why I'm like this and don't you dare play dumb with me.
FO300009219	Don't play stupid with me, Jericho. You know what my problem is.
FO300009220	Is it really that big of a deal if your little papers don't add up? Why are you always hassling me about this?
FO300009221	So we end up a few caps short at the end of the night. Who cares? It's not going to break us. Get off my back, man.
FO300009222	Oh man. I did say that, didn't I? Okay. Yeah, yeah we can do that. I've got some stuff to take care of, but after that, it's you and me! Okay, pal?
FO300009223	Oh, yes! Please, please, please! Can we Billy? We could have so much fun. More fun than we could in Megaton, that's for sure!
FO300009224	You mean it? Oh Billy, thank you! Thank you so much! I can't wait!
FO300009225	*Tsk* You boys and your toys. I know better than to touch your things, dear. If it's lost, YOU lost it.
FO300009226	Breathtaking, my love. Soon, Atom's glory will be upon us. Very soon.
FO300009227	We should stay our course, dearest husband. Atom's power penetrates us all, does it not? Soon, every soul of Megaton will revel in His glory!
FO300009228	Do not despair, dearest husband. Soon, all of Megaton will bask in Atom's glow.
FO300009229	*Sigh* All right, Colin, all right. Just lay off, already. Please?
FO300009230	Oh, you're so sweet, Gob.
FO300009231	Jericho, baby. We've talked about this. Colin' don't want me seein' customers outside of work. He thinks our business is best kept professional.
FO300009232	Who told you that?
FO300009233	Me? A Raider? Are you joking? I'm not a Raider! I've never even met a Raider before!
FO300009234	I'm not a Raider! I swear! Who told you that? They're lying!
FO300009235	Me? Working with Raiders? Hell no! I just want to get a place here in Megaton, and I'll kill any Raider who shows up here to prove it!
FO300009236	And you're supposed to be the smart one?
FO300009237	Hey, I am smart. Jerk.
FO300009238	Don't you have the password?
FO300009239	Nope. Nobody ever wrote it down, and then one day somebody forgot. You know how it goes.
FO300009240	Oh! Sorry, I guess I got ahead of myself, huh? Maggie's nine, sweetest little girl you'd ever care to meet. We take care of each other.
FO300009241	I ain't never had a daughter, but if I did, I'd want her to be Maggie. I took her in when her parents got killed by Raiders. That was two years ago.
FO300009242	It was a pretty bad scene. Small settlement up north. I'd stopped in to trade some salvage, and the whole place had been wiped out.
FO300009243	I found Maggie hiding under a bed, in the same room where her parents had been butchered. We've been together ever since.
FO300009244	I have to go now.
FO300009245	Please, do what you can to find my brother.
FO300009246	Hey, thanks again for doing this for me, it means a lot.
FO300009247	Remember, my offer still stands.
FO300009248	All right, goodbye.
FO300009249	Tell me about the Family.
FO300009250	I think they live somewhere east or northeast of here. Problem is, they always travel in the dark so I can't see exactly where they go.
FO300009251	There's all kinds of places they could be hiding like Hamilton's Hideaway, the old Moonbeam Cinema or Northwest Seneca Metro Station.
FO300009252	Where do you think I can find the Family?
FO300009253	All they do is terrorize us. They taunt us to open our doors, throw bottles at our houses and scream at us.
FO300009254	If I knew King had my back, I'd step outside and show them just how I feel about their visits... especially after this last attack.
FO300009255	What do you think about the Family?
FO300009256	They're lowlife scum who decided to use Arefu as their own personal amusement park. Oh, they're a fun bunch.
FO300009257	I'd take a shot at them if I could but judging from what they did to the Brahmin, I wouldn't live long to tell about it.
FO300009258	What do you think about the Family?
FO300009259	Even if all of us look different on the outside, we all had the same vice infesting our insides.
FO300009260	But now, through my teachings, these subjugated people have come together and formed a bond stronger than mere friendship.
FO300009261	We are a badass gang and we don't take shit from nobody.
FO300009262	We also don't like nosy assholes who creep around asking too many stupid questions.
FO300009263	It's a great way to get back at those assholes out there who think we're losers.
FO300009264	If it wasn't for Vance, I'd still be getting the crap beat out of me by those guards in Rivet City.
FO300009265	My husband started this group not long ago. He was trying to save them from a life of hardship and ridicule.
FO300009266	They come from all over the Wasteland now to find us and become part of the Family.
FO300009267	How about just the coolest gang this side of the U.S.?
FO300009268	As long as we listen to Vance's rules and listen to his stuff, he lets us do pretty much whatever we want.
FO300009269	Well, anyone that Vance takes in because of their special problems can be part of the Family.
FO300009270	Can you tell me more about what's been going on around here?
FO300009271	There used to be more families living here. Most of them have dismantled their shacks and moved on to greener pastures.
FO300009272	Those that are still living here are keeping themselves indoors thanks to the Family.
FO300009273	We're scared shitless. Evan King's got everyone so worked up about the Family, no one wants to set foot outside.
FO300009274	That asshole runs the show, but does he really do anything about our problem? No.
FO300009275	Everyone is keeping themselves safe from the Family. If I was you, I'd do the same.
FO300009276	You want to know more, talk to Evan King.
FO300009277	Oh my, I don't know. Mrs. West is probably whipping up a batch of her famous cookies and all the kids are playing in the yards.
FO300009278	It's so nice outside, the grass looks lovely this time of year.
FO300009279	None of your business.
FO300009280	Hmph. Well, that's the attitude I've come to know from most of the people around this town. Folks like to keep to themselves.
FO300009281	I don't want your life story, I just want a little bit of a favor. Think you're up to it?
FO300009282	I'm just passing through.
FO300009283	Nobody just passes through here. There's nothing to get to by way of this shithole. You've found yourself at a dead-end.
FO300009284	The only bastards that still pass through are the Family. They're some lowlife gangers who've been giving us a hell of a lot of trouble lately.
FO300009285	They're the reason for my itchy trigger finger.
FO300009286	I'm looking for Ian West. Have you seen him?
FO300009287	I haven't seen any of the Wests since we were told to head indoors.
FO300009288	Nope. Everyone stays inside, except Evan King of course.
FO300009289	If I recall he and the boys are probably at the lake fishing. Those rapscallions! There's no telling what monkeyshines they'll get into next!
FO300009290	I had always assumed if a human happened upon our home, it would be for the purpose of our extermination.
FO300009291	It appears my fears were ill-placed. It is a pleasant surprise to meet someone as amenable as yourself.
FO300009292	Very well. I will allow you to speak to Ian. Perhaps you can help him come to grips with his greatest enemy. Himself.
FO300009293	Now that I have a better understanding of the Family, may I speak to Ian?
FO300009294	I believe I was very clear when I said you are not welcome to see him.
FO300009295	Please allow me to speak to Ian.
FO300009296	Ah yes, my newest charge. What would you want with him?
FO300009297	I've been searching for a young man named Ian West.
FO300009298	I'm afraid Vance has him in isolation and there is no way I'm going to override Vance's orders.
FO300009299	Like I said, he's in isolation. It's his time to meditate and reflect.
FO300009300	Anything else you can tell me about Ian West?
FO300009301	Vance has him in meditation right now. No one's supposed to be in there.
FO300009302	Nope. Like I told ya, Vance has him in meditation right now. No one's supposed to be in there.
FO300009303	Anything else you can tell me about Ian West?
FO300009304	I don't have any authority here. I'm pretty new myself.
FO300009305	Justin's been trying to talk to Ian; make him feel better. Maybe you should speak to him.
FO300009306	Do I look like a fucking babysitter? I don't know where he is. Even if I did, I wouldn't tell you anyway.
FO300009307	Ian, Ian, Ian! Is that all you've got to say? Sheesh.
FO300009308	Anything else you can tell me about Ian West?
FO300009309	Ian? What do you want from him?
FO300009310	No, just that Vance said he isn't to be disturbed while he's in meditation.
FO300009311	Anything else you can tell me about Ian West?
FO300009312	What kind of trouble?
FO300009313	Well at first they'd do typical gang bullshit. You know, break stuff and make lots of noise, but they always kept their distance.
FO300009314	But this last time, they went too far. They killed all of our Brahmin! I mean, that's our lifeblood out here you know!
FO300009315	What's the word around town?
FO300009316	Hey, maybe I'll put that on the sign out front: "The Brass Lantern: Cleaner, safer, and less likely to have piss in the drinks".
