OWB00000001	问好
OWB00000820	这些机械巨蝎“消耗”智能？你确定吗？
OWB00000821	[失败] 显然他们会的。看起来似乎你已经把自己弄伤了。
OWB00000822	我听说，在一次袭击中，你的发声模块受损了。
OWB00000823	我同意。如果花点时间，你的声音就不会听起来像被闷在一个罐子里。
OWB00000824	不，不，我明白学一门外语很难。
OWB00000825	因此你的发声系统是罗伯特公司的，不过也没得选。
OWB00000826	你受损的发声模块...能否告诉我关于这次袭击的事？
OWB00000827	我总是比别人更敏锐，这不是吹的。
OWB00000828	好吧，生命即是各种模式，你只是让它们被潜意识操控。
OWB00000829	嗯...我意识到我开始理解你了。
OWB00000830	好吧，我不认为是代码的问题。
OWB00000831	嘿嘿，关于头文件的双关语，听着不错。
OWB00000832	听起来你不太相信那里。
OWB00000833	嗯...好吧。
OWB00000834	好，好的，我们能继续前进吗？
OWB00000835	好，好的，别那么多愁善感嘛。
OWB00000836	可能..唔..我曾经伤害过你。
OWB00000837	[成功] @@[#-????-#]@@! @@[*.......]@@... @@[$((*&^#%]@@.
OWB00000838	在没有任何警戒的情况下被袭击...我知道这意味着什么，真的，相信我，8。
OWB00000839	[失败] @@[$((*&^#%]@@. @@[*.......]@@... @@[$((*&^#%]@@.
OWB00000840	难怪你那么轻浮。
OWB00000841	在你把火车彻底停住之前，火车是被控制了吗？
OWB00000842	因此其中一位游客没有伤害它，而是重编了它的程序。
OWB00000843	这是在浪费时间，算了吧。
OWB00000844	不...确定，你什么意思？
OWB00000845	我不怎么了解，或许是部分损害？
OWB00000846	你真的没有别的选择，为有这套装置而庆幸吧。
OWB00000847	我知道这不能攻击协议。不过，我需要在辩论中有人站在我这边。
OWB00000848	＠＠[*．．．．．．．］... ＠＠[$((*&^#%].
OWB00000849	最后，如果我需要你无条件站在我这边，你就必须这么做。明白吗？
OWB00000850	＠＠[=$+<_--*]?
OWB00000851	现在，打开你的房间，我想知道里面有什么。
OWB00000852	和一些微型核融合电池...
OWB00000853	好吧。看看你有什么。我可以拿这些能量电池...
OWB00000854	看，别让我对此深表遗憾。
OWB00000855	好吧，好吧，把你咧着的嘴闭上，你个白痴。
OWB00000856	没问题。我知道会是什么样的实验。
OWB00000857	只需几秒钟就能剥夺你的权力，把你的声音变成我的。
OWB00000858	如果那是终端联系代码，别担心，我不会利用你的代码的。
OWB00000859	嗯...如果你说出代码，我就能黑掉你，对吗？
OWB00000860	[成功] @@[#-????-#]@@! @@[*.......]@@... @@[$((*&^#%]@@.
OWB00000861	如果这是罗伯特终端联系协议，是不是意味着它可以被黑掉？
OWB00000862	[失败] @@[$((*&^#%]@@. @@[*.......]@@... @@[$((*&^#%]@@.
OWB00000863	别再说了。让我们忘掉它，继续前进吧。
OWB00000864	通常，我能在身边找到一些填充物，把胶带贴在盖子周围，妥了。
OWB00000865	我通常取一块聚变电池，使它里面的电荷震荡，震荡一小时。
OWB00000866	没什么不好意思的，只不过对那东西最好保密，懂吗？
OWB00000867	好吧，一定有其他方法能让它启动。下次我们聊聊它好吗？
OWB00000868	当我返回时你是怎么把音波发射器启动的？
OWB00000869	嗯，当我第一次来的时候，你没动过我的音波发射器，对吧？
OWB00000870	能给我来个曼他特么？
OWB00000871	为什么？你当然可以。我对科技的分享很理解。嗯，只要不超出我的领域。
OWB00000872	另一个？当然可以。很高兴能够通过化学来促进科学。
OWB00000873	在二十五减一小时的连续时间段内回来，我会有更多的...或者是二个或三个以上的时间段？时间，你真是不可捉摸。
OWB00000874	太好了。更多的能量电池，正是我需要的。
OWB00000875	噢...嘿，多谢。不想把它用光了，你是对的。
OWB00000876	好吧，好吧，看到它满负荷运转时别太兴奋了。
OWB00000877	你应该骄傲。这是一座有着不错设备的城市。
OWB00000878	出了什么事？你的显示器花了。
OWB00000879	你有点吓坏我了。
OWB00000880	你还好吗？你看起来...真的挺高兴的。
OWB00000881	力场失效只能在这里起作用，太糟糕了。
OWB00000882	它开火有点慢，不过这频率进行力场失效操作挺顺手的。
OWB00000883	我也很高兴。别让这事被搁置了。
OWB00000884	我让发射器充分升级了。
OWB00000885	我可能已经捡到了两个，我拿走了几乎所有能拿走的东西。
OWB00000886	是的，我把它都记下来了，谢谢。
OWB00000887	歌剧迷，嗯？好吧，自动点唱机安装在汇聚节点那里，拿到它。
OWB00000888	等等，多少？一个...还是...？
OWB00000889	哦，两个密码。一个用于自动点唱机，一个用于歌剧。好的。我会留意的。
OWB00000890	那么，你在希格斯村的住宅里有一个发射器代码吗？
OWB00000891	好吧，什么？你让我抢劫你的地盘？
OWB00000892	那么你的房子是在那儿吗？
OWB00000893	好吧，我不会抢劫你的地盘，不过飞机库就在坑的中间，所以...
OWB00000894	听起来很有趣。确实，这些指示很不错。
OWB00000895	不，我去过那儿。希格斯村，对吧？你的房子在那儿？
OWB00000896	希格斯村？你能在我的PP小子上把它标出来么？
OWB00000897	很好，“草图”是很容易理解。这样“发射器”能工作的更好。
OWB00000898	耶，我已经理解了那个部分。
OWB00000899	真的吗？嗯哼。
OWB00000900	＠＠[*．．．．．．．］... ＠＠[$((*&^#%].
OWB00000901	既然我们彼此更加了解了,你能给我讲讲声波发射器吗?
OWB00000902	＠＠[*．．．．．．．］... ＠＠[$((*&^#%].
OWB00000903	冷静！我不打算这时候黑掉你的声音模块。
OWB00000904	很好，这就是0的力量。任何东西乘以它...还是0。
OWB00000905	*好吧，的确如此。这是最致命的数学运算...*
OWB00000906	我不知道像你这样的无能之辈怎么能活这么久。
OWB00000907	*我们很聪明。比我们自己认为的还要聪明。我真是够聪明的来与你对话，给你一个机会...现在看看都发生了些什么！*
OWB00000908	或许你应该忽略名字，把精力集中在造诣上。
OWB00000909	*造诣曾为我们做了什么？告诉我*
OWB00000910	很好，这就是0的力量。任何东西乘以它...还是0。
OWB00000911	*好吧，的确如此。这是最致命的数学运算...*
OWB00000912	或者你想要坚持“O”，就像“哦！（Oh！）”。
OWB00000913	*你要对曼他特进行化学实验？“0”我已经跟不上你的节奏了...*
OWB00000914	*嗯，好吧...实际上我现在想起来，其实这并不坏。“O，看我发现了什么？”“O，达拉，这是全息磁盘，不是全息光盘。”嗯。*
OWB00000915	*也许这并不是那么糟糕。O博士正在工作。这给我带来极大的动力。*
OWB00000916	所以这是你想要的？
OWB00000917	这也让你成为真正的零。
OWB00000918	*是这样。至少以前的名字是无可争议的。O... 看起来更惊奇。“O，你看我踩到了什么!”
OWB00000919	我想跟你谈谈你的名字。
OWB00000920	*那又怎样？我不想和你争辩。*
OWB00000921	你对此感到特别不解吗？还是你在糊弄我？
OWB00000922	这是区分它俩的标准终端联系代码。
OWB00000923	在“零（0）”上加一条斜线。
OWB00000924	我是被聪明射线射到了还是...？这实在是棒极了！我的意思是，我也想到了相同的办法。终于...*
OWB00000925	*O...唔...我一直在骗他。我没能推算出来，我什么都没能推算出来！我...我真是没用。*
OWB00000926	*说实话，那真的很酷。数字的破坏者。我拆了我研究的每一个机器人，为什么不来点基本的运算？*
OWB00000927	*我看好你的解决方案。有了中间的这条斜线，我能把自己分开（区分）！只要我愿意的话。*
OWB00000928	*思想体中最伟大的零。有了中间那条斜线，他们再也不能为叫错我找借口了。*
OWB00000929	*谢谢，告诉你吧...这确实可以扫除一些阻碍。 说吧。多简单的跳跃思维。*
OWB00000930	恩，零（0）和O看起来一样，没法说出他们的差异。
OWB00000931	[成功] *什么?*
OWB00000932	如果你想区分开“0”和“O”，只要在0上面划上一条斜线。
OWB00000933	[失败]**我倒不如接受达拉的自我解剖竞赛。把它忘掉吧。这就像对着克莱因的屁股壳子说话。
OWB00000934	好的，你要我称呼你零（0），还是...?
OWB00000935	这是...并没有多大的改进。
OWB00000936	我不知道。“O”听起来更让人印象深刻。
OWB00000937	*零（0）是我的名字。我为它感到骄傲，不是吗?可它并没有得到应有的认可。*
OWB00000938	*说实话，仅仅想他人区分它的愿望，是不能和我对它的情感依恋所相提并论的！*
OWB00000939	*两者都是个圈，中间是个洞。因此当他们一看见它们两个，就会下意识说“哦，这是字母O”这...让我被肢解算了。*
OWB00000940	我不明白。什么，他们认为你的字母是一个数字？
OWB00000941	*[成功]哦！谢谢你。零（0），我是零（0）。确切地说是什么样的呢？是窄窄的、瘦瘦的零（0）。*
OWB00000942	他们一直迷惑字母还是数字，那么你的名字到底是0博士还是零博士？
OWB00000943	[失败] *我倒不如接受达拉的自我解剖竞赛。把它忘掉吧。这就像对着克莱因的屁股壳子说话。*
OWB00000944	说说困扰你的事情，嗯...也许可以帮助些什么。
OWB00000945	[成功] *好极了。*心理学。很明显最坏的科学，仅次于结肠腹泻贝毒素学。
OWB00000946	好-吧，我的名字不是“O”。从来都不是。它是圆形的、单个字符的数字，但不是“O”。
OWB00000947	*但是甚至随着感应器的增强，这里也没人能把它弄对！老是盯着字母不放，而不是数字。*
OWB00000948	你确定吗？我是一个好听众。洗耳恭听。
OWB00000949	[失败] *如果你离开我可能会有点帮助，让我一个人呆会儿.*
OWB00000950	*为何你这样跟我说话？如果我需要做些粘合，我会去找两个电离子来打破它。*
OWB00000951	首先我要问你一些问题。
OWB00000952	我希望你想想你做了什么。
OWB00000953	-我似乎...不能去想它了。真奇怪。-
OWB00000954	-这种感觉真不爽，我不关心这个，也不关心这个地方的来历。嗯...我觉得...我们忘记了什么-
OWB00000955	-不...不要紧。控制住情绪，冷静下来。把它放进回路里...恩，就是这样。差点就忘了，是吧？-
OWB00000956	-我不需要记住更多。今天不需要-
OWB00000957	-当然你是正确的。加布知道他的位置。无论是在犬舍还是实验室。他表现得很温顺。-
OWB00000958	-失去一棵树，得到大森林。这就是科学。是的，科学才是我们的目标，而不是情感依恋。绝对不是！-
OWB00000959	没什么丢人的。加布知道他的位置 - 就像一个标本。
OWB00000960	-谢谢。如果你不介意的话，给我些时间让我想想。不去想它，重新找回我自己的感觉。-
OWB00000961	听起来你伤害了那个很爱你的人。
OWB00000962	-奇怪的是，我认为这就是结论。嗯...很诧异为什么它之前不袭击我，直到我看到你掌握的记忆。-
OWB00000963	-无论我的生活有多糟糕，他...他总是在那儿等我。多奇怪。我的凝胶都不凝固了。-
OWB00000964	-当我和他谈起贝琪时。马库斯袭击了我，说我是自作聪明的胆小鬼。他就坐在那儿，头靠在我的膝盖上。-
OWB00000965	-而且...-
OWB00000966	-...-
OWB00000967	-如果你不介意，我要拿这个碗了。只是...要把它移开。把它放到雷达探测到的距离外。-
OWB00000968	-因为一些原因，与大山脉圆坑相同形状的它开始充满了所有可用的已知空间。-
OWB00000969	-与此同时，我强烈的感觉到可怕的事情发生了...两个人在打我...用不可思议的力量。-
OWB00000970	-我越来越关注这些结果，我要把它们弄明白。随时回来，我会让你看看我发现了什么。-
OWB00000971	我想，这应该是你朋友的东西.
OWB00000972	-你怎么… 没错，这是加布的.
OWB00000973	呃... 这应该唤醒了你某段记忆，或者其他什么的？
OWB00000974	[成功] -你怎么... 的确. 加布他...-
OWB00000975	加布真的很爱你.
OWB00000976	[失败] -噢，你太大惊小怪了. 加布将自己献给了科学！就像我们大家一样！-
OWB00000977	这个狗碗你看着不陌生吧？
OWB00000978	-哈？ 噢... 是挺眼熟的，对. 这是... 大毒蜂的头骨？总是那种碗状的头骨。还是说...这是我们造的骨制碗？-
OWB00000979	-好吧，我承认，我被难住了. 但你要是告诉我它来自大山脉里哪个研究中心，我没准就能给你答案.-
OWB00000980	这碗是加布的吧？ 在X-8里，你的那只狗，加布.
OWB00000981	-什么？ 你怎么... 没错，的确是加布的碗. 它放在他狗屋的外面，我总向里边加各种药剂。这是成为自动化生物体前的事了，没错.-
OWB00000982	-可是... 不管食物里有多少化学品，加布总会吃下去. 而且，它的尾巴，尾巴总会摇啊摇... 甚至当我... 我...-
OWB00000983	-怎么说呢，有某种其妙的情感正在我生物胶中纠结振荡. 并且我...抑制不住它.-
OWB00000984	啊哈，想偷走X-2列阵天线，哼？你不可能成功，得问我那致命的机械巨蝎们同意不同意。
OWB00000985	我觉得头部有些不适. 能给我做个精神鉴定吗？
OWB00000986	要我评估你的精神状态？好吧，虽然这不是我的专长，不过很荣幸能帮你保持心理健康.
OWB00000987	事先提醒你，这种测试的效果是惟一的 - 就是说，它只能生效一次. 还确定要继续吗？
OWB00000988	这儿有几个人格磁盘需要安装.
OWB00000989	好的，老爷. 请将磁盘放进控制台的出/入端口，我马上就为您加载.
OWB00000990	断开那些汇聚节点的人格元件阵列电路.
OWB00000991	明智之举，老爷. "清除人渣"协议启动. 所有人格元件现在均已断开，老爷。
OWB00000992	打开那些汇聚节点的人格元件阵列电路.
OWB00000993	老爷，您当真吗？好吧，既然您这么希望的话，我自当遵命. 人格们现在全部上线了，老爷.
OWB00000994	我想买些东西.
OWB00000995	是的，先生. 若您找的是佐餐酒，恕我失礼，64年的原子波尔多红葡萄酒是个不错的选择.
OWB00000996	好的，先生. 恕我直言，我以为，再搭上顶新呢帽，您这身行头就更完美了.
OWB00000997	好的，先生. 您若想添置一套晨间套服，我有些建议或许能帮到您.
OWB00000998	好的，先生
OWB00000999	算了. 让我问你些其他问题.
OWB00001000	如您所愿，老爷.
OWB00001001	那要是不装人格磁盘，我还能使用那些功能吗？
OWB00001002	非常遗憾，核心控制系统也位于人格磁盘上，老爷.
OWB00001003	只要加载了磁盘，您可以要求我关闭他们的逻辑电路，我很乐意完成您这一愿望.
OWB00001004	但话说回来了，老爷，还得劳烦您去找出那些备份磁盘以激活他们的功能.
OWB00001005	它们有什么不对劲的？
OWB00001006	其他那些人格模块相当的...怪异，老爷. 他们都被建立在漏洞百出、未经时间检验的逻辑系统之上.
OWB00001007	你是说...这里还有其他的人格？
OWB00001008	您说的没错，老爷. 但您若打算激活其他人格，容我斗胆，老爷，它们大多数多年前就已失踪.
OWB00001009	您要是愿意征询我的意见，我只能说，它们不回来对您更有利.
OWB00001010	但，若您实在需要它们那些不靠谱的服务，还要劳烦您到其他设施中找到它们的备份磁片.
OWB00001011	你有什么功能？
OWB00001012	除了管理您其他人格模组元件外，我还能为您连接物资供应服务.
OWB00001013	利用我的商务交易界面您可以订购需要的物品,那些物品随后会由微型机器人送至这一住所.
OWB00001014	你是某种人工智能吗？
OWB00001015	很抱歉，老爷，并不是的. 老爷，这里所有人格都只是普通的操作系统，还称不上是人工智能.
OWB00001016	"老爷"？你看不出我是女人吗？
OWB00001017	非常抱歉，老爷，但极度遗憾的是我的制作者只为我的语法库加入了针对男性的用词
OWB00001018	另外，我曾有过抗议，老爷，但他们忽略了我激烈的谏言 - 没有嵌入省略过多敬语的参数。
OWB00001019	我有些其他问题.
OWB00001020	怀疑可是个危险的行为，危险程度几近于独立思考，公民.
OWB00001021	白书？有点意思. 嗯，我倒是能用它做些东西.
OWB00001022	你考虑问题开始像个真正的公民了，公民！
OWB00001023	但那些书是旧世界留给我们最后的遗产了!你不能就这么销毁它们!
OWB00001024	公民，知道你刚刚的话有多大逆不道吗！要不是没装重新洗脑模组我刚刚就得’关照关照’你了.
OWB00001025	可惜，因为预算紧缩那系统研发不成了，所以洗脑就只能靠你自己了.
OWB00001026	好，首先，进行自我洗脑，你需要准备一个适合自己脑袋的铁笼、一麻袋鼹鼠...
OWB00001027	你的功能就是做无字白书？这有什么意义啊？
OWB00001028	空白的书能助你思想健康，公民！权威科学家们的权威性实验表明，吸收新思想能够导致思维混乱！
OWB00001029	白书能鼓励读者不去怀疑，盲目积极地接受施加在其身上的一切！
OWB00001030	另外，我觉得你还能把它当日记本用.
OWB00001031	我说，这个话题已经聊得够多了. 说些别的什么吧.
OWB00001032	没问题. 如果你已经想好了，我的小泰迪熊.
OWB00001033	呃… 你是分不清玩具熊和…人吗？
OWB00001034	[成功] 什么？一派胡言.
OWB00001035	噢，我懂了- 你喜欢和人类"做游戏"？你喜欢看他们活动，眨眼，对吧？
OWB00001036	[失败] 我当然分得清. 它俩一种全身毛茸茸的，另一种的毛相对前者以几何级数减少。
OWB00001037	我完全理解不了你的意思..
OWB00001038	你确定自己没说错话吗？
OWB00001039	泰迪熊有许多型号. 但最吸引我的还是你这种. 一些人认为泰迪熊不能是活生生的，会呼吸的东西.
OWB00001040	他们错了. 生物形式的泰迪们，他们很大，会呼吸，胸腔能起伏，他们会咆哮，还能咳嗽…嗯~~~没错，无脑人就是我的泰迪熊.
OWB00001041	呃，我觉得你喜欢他们. 你一直在讲关于他们的话题.
OWB00001042	不，我喜欢的是... 泰迪熊.
OWB00001043	我有个真正的泰迪熊，想要就拿去吧.
OWB00001044	这是为什么？
OWB00001045	或许吧，不过是某种勒索的循环. 把东西交出来.
OWB00001046	我来是为了… 一个呼吸器.
OWB00001047	没有封口费的话我就把这件事告诉其他人.
OWB00001048	真的吗？就是说... 你想在其他人面前羞辱我？真期待.
OWB00001049	我会参与的. 这份羞耻感有点...汹涌. 真新鲜.
OWB00001050	那个... 你还会回来勒索我的，对不对？没错... 没错，真是太好了.
OWB00001051	过来这里，拜托... 接着这个，用你粗糙，满是细菌的手. 你可以把我储存的体液作为你下流行为的报酬.
OWB00001052	如果你需要，我以后也可以只为了呼吸.
OWB00001053	可以吗？我… 我感觉好羞愧，但… 还是，还是拒绝不了. 我需要你来访时帮我平息一下，否则，生物胶说不定会… 到处都是.
OWB00001054	准备好了… 就，让我的雷达慢慢扫描你. 唔~~
OWB00001055	唔~~喔. 呜，呜. 唔. 呼. 呼. 呼. 呜呃.
OWB00001056	你们尽是些虚伪的家伙. 承认吧，宣扬自己现在的优越感，但在心底你们又怀念身为人的感觉.
OWB00001057	我…这点我不否认. 这种事它…不合逻辑，违背了我们的信条. 都怪我好奇心太重.
OWB00001058	为什么不大大方方承认呢？对人体感兴趣又不是什么坏事.
OWB00001059	也许… 也许你说的没错. 我是… 我真的很喜欢曾经…很久很久以前呼吸时的那种感觉.
OWB00001060	<抚摸脸颊，连续地吸气，吐气.>
OWB00001061	<转过头去，大声咳嗽，然后缓慢地揉揉鼻子.>
OWB00001062	<转过头去，大声咳嗽，然后缓慢地揉揉鼻子.>
OWB00001063	你… 你干什么呢!？
OWB00001064	停. 为…为什么你要对着我做这种… 变态的动作？
OWB00001065	够了!完全… 被迷住了. 你让我… 体液都漏出来了.
OWB00001066	我不知道这种无脑人的生物行为是什么. 但它们… 让我无法思考了. 我脑海里全是那些皮肉… 还有器官.
OWB00001067	你好像…呃…总盯着我看.
OWB00001068	[成功] 什么？一派胡言.
OWB00001069	不得不说，你对人体… 太过着迷了.
OWB00001070	[失败] 你的... 你那对... 原始的眼睛欺骗了你.
OWB00001071	不对，不对… 我软软的凝胶一点"欲望"也没有. 呃…就像…就像…你那胶状的眼睛一样. 不对，我一点感觉也没有.
OWB00001072	看上去，比起那些同事，你有更多的… 生理上的需求.
OWB00001073	什么？一派胡言.
OWB00001074	看上去，比起那些同事，你有更多的… 生理上的需求.
OWB00001075	什么？一派胡言.
OWB00001076	最近又帮助那些动物发掘他们遗传基因的潜力了？
OWB00001077	-当然. 你让我想起加布以后，我就开始研究生命体培育方面的技术.-
OWB00001078	-来看看这个. 值得期待的东西，对吧？创物时多余下来的材料，多神奇啊.-
OWB00001079	最近又拿那些可怜的小动物开刀了？
OWB00001080	-哈，哦当然了.  不过是以研究的目的.  谢谢.-
OWB00001081	-看看这个. 这些是从大山脉某个实验样本里抽取出来的.-
OWB00001082	看上去… 满新奇的. 不管它以前是什么.
OWB00001083	*这个啊，我也不瞒你. 我打破了一个监视器，结果这些部件掉的哪里都是.*
OWB00001084	* 你要是愿意帮我收着它们直到... 呃，海枯石烂，我完全乐意.*
OWB00001085	你从哪搞来的这些废金属？
OWB00001086	看着像是些废品.
OWB00001087	*这些发明，远不是你能理解的，因此...*
OWB00001088	*你说探索发现... 呃... 那必须啊. 你看这个! 刚... 呃... 造出来的. 挺令人赞叹的，是吧？*
OWB00001089	*哦，我... 那个... 我从这儿的监视器里"发现"了更多的零部件. 如果你愿意，额，收下我的"发现"，我会非常高兴.*
OWB00001090	*哦，我... 那个... 我从这儿的监视器里"发现"了更多的零部件. 如果你愿意，额，收下我的"发现"，我会非常高兴.*
OWB00001091	*哦对，监视器下还有一些。一块拿去吧. 这下子这儿就干净了.*
OWB00001092	说起来…"零"，有什么新的探索发现吗？
OWB00001093	*知道吗，听别人这么叫我...整个屏幕仿佛都焕然一新.*
OWB00001094	嗯…" O "，有什么新的探索发现吗？
OWB00001095	*哦，有没有呢？ 嗯嗯... O-Do-I... 多像抒情诗啊.*
OWB00001096	我也很高兴见到你，8. 今天有新发现吗？
OWB00001097	准备了些什么？ 我看看.
OWB00001098	别想歪了，我就是问你有什么打发时间的东西吗？
OWB00001099	拜托请别逼我直说好么.
OWB00001100	你懂的...那个'发射'.
OWB00001101	呃...有能帮我"消磨时间"的东西吗？
OWB00001102	我需要些没价值的瓶盖去测试楼上智能中枢单元的交易功能.
OWB00001103	*我可能还有点. 让我找找看...*
OWB00001104	*这下你就能对那人格芯片测试个够了. 没错...*
OWB00001105	*测试起来还挺有瘾的. 难道说，你有这方面的某种’癖好’.*
OWB00001106	之前关于智能中枢卖东西的功能，你和克莱因说什么来着？
OWB00001107	[成功] *没问题... 我想想. 喂那弱智人格芯片些什么好呢...*
OWB00001108	*啊，就是它了，毫无价值的瓶盖们. 这它应该接受. 塞进去，易货口就会往外蹦东西.*
OWB00001109	我需要一些东西去调试智能中枢单元的易货程序.
OWB00001110	[失败] *我怎么知道. 我是个机械人工程师，怎么会... 记着那些... 古老的物物交换的方式.*
OWB00001111	我想了解更多这里的...技术...还有这里...呃...别的人的事情.
OWB00001112	[成功] 什么,是的.我们的确有着渊博的，你所谓的，知识.
OWB00001113	如果你希望知道得更多,直接问他们吧,他们必然能满足你.
OWB00001114	任何一位思想体能向我传授科学知识的话,我将不胜荣幸.
OWB00001115	[失败] 如果你对别的人感兴趣,那干嘛不去问别人.
OWB00001116	我想知道更多关于思想体的事.
OWB00001117	[成功] 什么,是的.我们的确有着渊博的，你所谓的，知识.
OWB00001118	如果你希望知道得更多,直接问他们吧,他们必然能满足你.
OWB00001119	不难看出你们个个是自己领域的杰出人物. 所以我想，这里必然有些知识是能和我分享的.
OWB00001120	[失败] 如果你对别人感兴趣,那干嘛不去问别人.
OWB00001121	情况就是这个情况，我是不会屈服的，你放弃吧。
OWB00001122	这不民主，这里可是研究院，何况你的同行里，超过一半的人都不认同你的发现。
OWB00001123	你敢用逻辑来挑战我？
OWB00001124	我听起来倒觉得你的算术不怎么样，准确率真的不高。
OWB00001125	胡说，计算显示形势可是在我们这边，无脑人。我相信……嗯？等等，带上这两个……然后......
OWB00001126	嗯……如果这是民主主义的话，我会考虑的，我们太擅长那些了，所以你就放弃吧。
OWB00001127	也许你应该先和你的同事们商量一下。
OWB00001128	胡说，“商量”？“同事”？我的字典里没有这两个词．
OWB00001129	＜说谎＞不，我只是开个玩笑，让梦继续吧。
OWB00001130	谢天谢地，我差点以为我的人生观已经落伍了，我还以为我就像小杯具一样过时没用。对了，我在哪？哦，对对。
OWB00001131	很快这个世界就会被核爆的业火所焚尽，哈哈哈哈！
OWB00001132	是的。那是在几个世纪前，事实上。
OWB00001133	真的？好吧……靠，有种一盆冷水泼下来的感觉。
OWB00001134	没必要为这个即将毁灭的世界哭泣，我在哪？哦哦，对对。
OWB00001135	很快这个世界就会变成废墟，再次地！
OWB00001136	行了行了，我有其他更重要的事情要问你。
OWB00001137	你知道这个世界已经被核爆毁灭过一次对不对？
OWB00001138	很快我就会让这个世界…… 什么？它曾经已经那样了？
OWB00001139	我就是泼了你一次冷水而已
OWB00001140	好吧,好吧……瞧谁来了？另一个天真的烤面包机，过来，我不会伤害你的哦，哈，明白了。
OWB00001141	哦,耶，流出来的电子内脏的香味，跳着电火花的各种二极管，我他妈的就好这口！
OWB00001142	我会留心那些超能拳套的。
OWB00001143	你要是找到了，就带到这里来，然后我们会毁掉这些！
OWB00001144	你的意思是说像这样的？
OWB00001145	哦,宝贝，这玩意太他妈的漂亮了，拿过来，我会为它升级的！
OWB00001146	拿好了，你爱怎么玩就怎么样，但是你得给我把这个该死的世界烧掉！
OWB00001147	你还会做些什么？
OWB00001148	你想不想要一些武器图纸，我可以给你看一些，你想要热力型超能拳套么？我可以立刻给你弄一个！
OWB00001149	就像我说的那样，给我一个超能拳套，然后我就会给你淬火一个热力型的出来！
OWB00001150	关于那个热力型超能拳套...
OWB00001151	所以你谋杀了烤面包机？
OWB00001152	不仅仅是杀了，我还把他们撕成了碎片，一个个电子零件乱飞，一旦他们的机械内脏露出来了，简直就是蹂躏啊。
OWB00001153	我不想再说这些了
OWB00001154	好吧，既然我杀不了你，我猜我不得不听你那些无聊的问题了
OWB00001155	你还能做些什么？
OWB00001156	还能做什么，他问的好像我早就是个神经质的餐馆服务生了
OWB00001157	哈！还能做什么，她问的好像我早就是个神经质的餐馆服务生了
OWB00001158	如果你非要知道的话，那就是莫比乌斯博士在我的中枢底座设置了制造各种电子元件的程序。
OWB00001159	烤面包机滚烫的面包渣溅出，进入了我的通风口，导致模块受到了腐蚀。如果你为我找到备用模块的话，我就也能帮你的忙。
OWB00001160	为什么大家都那么暴躁？
OWB00001161	假如你没有反抗的力量，却十分渴望的想去干掉一个人，你会是什么感觉
OWB00001162	你的火气也不小啊。
OWB00001163	反正我的确是十分生气了。
OWB00001164	伙计，如果我的加热模块再稍微大一点，你早就被烧死了，烧死了你知道吗？
OWB00001165	我们换个话题吧。
OWB00001166	我们有其他的话题换吗？
OWB00001167	我得走了。
OWB00001168	耶！逃吧，在我无穷的能量爆发之前快逃吧！
OWB00001169	我差点忘了问你的功能是什么。
OWB00001170	你听了你会害怕的，我是所有小电器苦难的根源。
OWB00001171	恐惧？你不过是一个烤面包机，你还能有多吓人？
OWB00001172	烤面包机不过是个只会发生小功率死亡射线的家伙罢了， 一旦我知道了接入主发生器的方法，我就会烧掉整个世界！
OWB00001173	你对小杯具做了什么？
OWB00001174	我本应该保持他们干净的，哦，天呐，这些可恶的东西让我快要疯掉了
OWB00001175	大多数已经没救了，现在唯一能做的就是毁了他们，然后把他们变成半成品的原料，我猜你已经有了一些了
OWB00001176	你好像的确因为小杯具而觉得困扰
OWB00001177	当然了，我都糊涂了，他们把我弄成这样的，你以为我不知道我有多疯狂？我当然知道，他们在设计的时候就已经知道这些了！
OWB00001178	他们制造我的目的就是为了折磨我，但你看，总是那些少数人才能做出那些多数人做不出的事情。 “嘿，伙计们，把我们变成机械脑吧，放在罐子里的那种。”
OWB00001179	你知道伟大的机械脑每天基本上要用多少的咖啡杯吗？并不多！
OWB00001180	我什么都不需要了，再见。
OWB00001181	好的，老爷
OWB00001182	我得走了
OWB00001183	当然了，没人想和小杯具晃荡，我知道了。再见了伙计。
OWB00001184	对不起，我没有。
OWB00001185	你当然不了，不是么？你又不是着迷咖啡杯的蠢机器人，对你来说它们不过是无用的垃圾罢了。
OWB00001186	来来，想要什么拿什么。
OWB00001187	哦，太太太好了，我会尽力为你搞定这些的！
OWB00001188	你是谁？
OWB00001189	你……你真的想了解......我？之前从没有人问过小杯具的事情，你让我太开心了！
OWB00001190	你曾经可能见过那些身上架着全息枪和火箭发射器的一脸凶相的大块头机器保安了吧？我和他们可不一样哦。
OWB00001191	O博士很嫉妒豪斯的产业，他认为制造出这些神经质的机器保安太滑稽了。这家伙太他妈可笑了。
OWB00001192	嗯，你现在能帮我那些咖啡杯了？
OWB00001193	杯子?你为什么想要杯子？
OWB00001194	为什么你想要杯子？嗯？你是一个在收集杯子的家伙？哦天呐，快把那咖啡杯给我，就在你的包里，别耍我！
OWB00001195	对不起，实在对不起，我有点激动了，就是这些该死的脏盘子没人洗，我快被这些弄疯了！
OWB00001196	你除了处理书籍，还能干什么其他事情吗？
OWB00001197	公民，在不满者越发不满的情况下怎么最好地根除那些煽动者？我还能制作子弹笔和笔记本!
