AAD00100001	GREETING
AAD00100584	NVDLC04UlyssesCombatEyebotDestroyed02
AAD00100585	Don't need Old World medicine to kill you.
AAD00100586	NVDLC04UlyssesCombatMarkedMenKilled01
AAD00100587	Kill as many as you want - the Divide will birth more.
AAD00100588	NVDLC04UlyssesCombatEyebotDestroyed01
AAD00100589	Destroying my machines won't help you. This facility will make more.
AAD00100590	How are you speaking through ED-E?
AAD00100591	The idea of a machine bearing a message new to you? Thought that was how House relayed all his messages... through his robots.
AAD00100592	The machine... the robot. No, not Legion... less history than that.
AAD00100593	Last I heard, Legion didn't use machines as mouthpieces to hide from their enemy.
AAD00100594	The robot with you... all of them are machines - radios, Old World tech reshaped with new hands. Historians. Couriers, carrying messages.
AAD00100595	Seen them as I've walked the Divide, tending other machines. That one... sealed inside the Hopeville silo. Sign America is waking up.
AAD00100596	It will follow you, obey you. Carry it until we are face to face, then there'll be no more need for it to carry my words.
AAD00100597	Maybe you better tell me who you are, and what you want.
AAD00100598	I'm a courier. Courier Six... was Courier Six. Like you - and not like you, in all the ways that matter.
AAD00100599	Spent too many years looking for you - now, letting you come to me.
AAD00100600	Thought carrying that Chip would end you, no... you got lives in you, hard to kill. Storms, bullets... sand and wind, yet still you walk. For now.
AAD00100601	Enough talking. You went to a lot of trouble to lure me here, so let's get on with this.
AAD00100602	America sleeps ahead of you, its nightmares filled with quakes, storms. You'll need to find your own path.
AAD00100603	That means waking America's spears up from their slumber. There's ways - warheads set off the collapse, warheads could open the gates again.
AAD00100604	You're resourceful. That machine, robot with you - can help you find the warheads you need to destroy... and their trigger, the detonator.
AAD00100605	The way ahead is below. The tools are there. The rest - up to you.
AAD00100606	Those... troops, NCR or Legion, the ones in the silo were already dead.
AAD00100607	Are those the bodies I saw in the silo? The soldiers that look like they'd been flayed?
AAD00100608	If you saw their corpses, you saw mercy. Got what they deserved, coming to the Divide.
AAD00100609	The Bear and Bull - NCR, Legion - came in waves. Before. And after. Right into the invisible fires... the wind, ground... collapsing beneath them.
AAD00100610	Once under different flags, now they are equal in their hatred of the trespassers. You and I.
AAD00100611	What is this place?
AAD00100612	The Divide... this place is a slice of it. Old military. Can still smell the pride - and the fear.
AAD00100613	Hope of the Old World, wrapped in fencing, covered in storm. Got new inhabitants now other than ghosts, more recent... recruits.
AAD00100614	Fine. I'll find this trigger - then I'll come find you.
AAD00100615	The Divide will send its worst against you - it may break you. We'll see if you're stronger.
AAD00100616	Road gets rougher from here... Courier. Left marks for you, colors'll tell the way - if you're smart.
AAD00100617	They'll lead you to your home one more time, lead to the ending of it - maybe remind you why you wander.
AAD00100618	I'm not planning to go into the Divide after you.
AAD00100619	No Courier would go to the Divide... but you will. And that's what sets us apart - we walk roads no other Courier will walk.
AAD00100620	And for you... you'll want to see your home one last time, see what happened.
AAD00100621	You're curious. You walk, leave ruin in your path... you can't leave alone. Still, the choice is yours... what I offer, it's the last I offer you.
AAD00100622	I don't care if you walk the Divide. Turn, walk the Mojave, fight beneath the flags... but you'll wonder.
AAD00100623	If you don't, the Divide will come to you, and the Mojave. That will be my message to you, like the message you had for me.
AAD00100624	You think I'm coming after you? Think again.
AAD00100625	The Long 15 is no more. The main supply line into NCR is cut.
AAD00100626	No damage done, not yet. Maybe in years. Keeps the Bear fenced... if Caesar can't drive it back, fire might.
AAD00100627	Only delays the end for the Bull, a new wall for them to scale and cross... once they're done with the Mojave. And Hoover Dam.
AAD00100628	Never again do you or any other courier and caravan need walk that route. Let the Mojave breathe without that asphalt scar raking it.
AAD00100629	Dry Wells is destroyed - that was your birthplace?
AAD00100630	No, opposite of that. It's where my tribe was taken. Where another history was put to the blade, lesson taught.
AAD00100631	It is where we realized Vulpes did not approach us as equals. Where we realized the wolf had come, and we watched our history die.
AAD00100632	Now it belongs to Legion... and all the death there now belongs to them as well. Not revenge... just the way of things when you own them.
AAD00100633	I wanted to hear more about Hoover Dam.
AAD00100634	Old World wall, run red with blood of Bear and Bull. It'll bleed more before the sun sets on the Mojave.
AAD00100635	That place and I have a past, owe it a debt - and it owes me. If your path takes you there, know you're not the only one.
AAD00100636	It's the wall by which this age will be measured, the gravestone of the Mojave. Old World never meant it as such.
AAD00100637	What are you doing here?
AAD00100638	A question one could have asked you not long ago, before walking the road West into the storms.
AAD00100639	Need to be here, see what was done. It's custom of the Bear to never see the marks it claws in the land... not my custom.
AAD00100640	Maybe that's why you've come, too - need to see where the missile from Ashton touched ground down below, in Hopeville... the Courier's Mile.
AAD00100641	Need to be here, see what was done. In the Divide, in Hopeville... the Courier's Mile.
AAD00100642	Can you tell me again what you're doing here?
AAD00100643	Was hoping you could help me shape something.
AAD00100644	Let's see what gifts the Mojave has for us.
AAD00100645	Let's make something new from the old.
AAD00100646	Forget this. I'm going to teach you what crossing the wrong Courier means.
AAD00100647	I've never seen creatures like that before now.
AAD00100648	What did you mean, "slower death for the Mojave?"
AAD00100649	[SUCCEEDED] Death'll come from below. In the Divide, need to watch the sky and ground... Mojave'll be easy prey for them.
AAD00100650	When you say, "slower death for the Mojave," you mean they're spreading out from the Divide.
AAD00100651	[FAILED] Mojave needs to survive itself first... does that, Tunnelers will be next on the list.
AAD00100652	If this is the High Road... where does it lead?
AAD00100653	At the end of the High Road lies Ashton - its silo.
AAD00100654	That machine with you, it can open it, wake it up, like it did the one in Hopeville.
AAD00100655	Some of the flayed Hopeville soldiers looked like NCR... but fought beside others in Legion armor.
AAD00100656	You see true. Not scavengers... it's what they wore before this all happened.
AAD00100657	[NCR] Those soldiers in Hopeville... were once NCR, I'm sure of it. Why were they with the Legion?
AAD00100658	Pain makes for strange allies... the hate the Bear and Bull shared across the battlefield, now turned against the Divide. Few survived... intact.
AAD00100659	Many NCR were already here when the destruction happened. Keeping the route East open, in fear of Caesar. Fear of the Legion.
AAD00100660	Those Marked Men in Hopeville - some had strange masks and blades I'd never seen before.
AAD00100661	You haven't seen enough of the Legion yet to see what they worship... what they hold on to, even after what happened to them.
AAD00100662	[Legion] Those Legionnaires in Hopeville wore Legion armor - and strange masks and blades.
AAD00100663	They bear false versions of Legate Lanius' mask, the one Caesar fashioned for him. Thought it was an insult at first.... know better now.
AAD00100664	It's shaped from Divide metal, not with care and strength, but with hate. Keeps them anchored.
AAD00100665	Crude, effective - like the blades they carry, distant mirrors of their Legate. A symbol they can hold on to - while the Divide tears at them.
AAD00100666	What were the creatures in the underpass?
AAD00100667	Tunnelers. Predators that make their own roads beneath the ground here.
AAD00100668	Divide broke their sky, showed them the world above - and the scent of new prey.
AAD00100669	Be a slower death for the Mojave than bombs and fire... but they'll come for its people, from where they least expect - below.
AAD00100670	Enough of this. Tell me where you are.
AAD00100671	What happened here?
AAD00100672	You delivered a package. Had markings that matched those in the Divide. Not all... but enough.
AAD00100673	Military markings, from some place the Bear had savaged in the West. Maybe seeing those markings on it reminded you of home... made you carry it.
AAD00100674	This canyon is miles long - maybe longer. Where can I find you?
AAD00100675	At the end of the Divide, through the trenches and wreckage - that's where you'll find me. My new home, here, amongst dead men.
AAD00100676	You and that machine, keep your eyes on the tower that cuts the horizon... you'll find your way. Made it this far... not much farther to go.
AAD00100677	I'm not interested in talking - only getting through this.
AAD00100678	NVDLC04UlyssesBigMT1HolotapeNote
AAD00100679	...back again. Left that crater behind. Got a few holotapes left, ones from the medical center.
AAD00100680	The woman... she fixed the recorder. Said it wouldn't last, repayment for me fixing her. She doesn't like debts, can respect that.
AAD00100681	Payment enough, just to hear someone who believes in the Brotherhood of Steel. Not Elijah. Different view. Same madness.
AAD00100682	She answered me on their philosophy, their way of seeing - the roads they walk. Dead-ends. Empty... as if technology can solve anything.
AAD00100683	Big Empty's proof where that road leads. Just like the Divide, and all the roads that lead to it.
AAD00100684	NVDLC04UlyssesWhiteLegs2HolotapeNote
AAD00100685	I walked the Great Salt Lake as Caesar's eye, then his hand.
AAD00100686	Mongrels there, two-legs and four. Saw the walls of New Canaan the scavengers circled... hadn't the strength or fire to take. Too high, too strong.
AAD00100687	White Legs, they were born for war, they run to it, hungry for battle... yet their hunger is to be a part of history, something larger.
AAD00100688	Like the Legion. As always, brought them a message - from Caesar.
AAD00100689	If New Canaan burns, Caesar might see them. "Might." Even the chance was a lie.
AAD00100690	To honor Caesar - destroy the history of New Canaan, and the way they carry it - in their generations and family.
AAD00100691	Caesar respects such strength, I told them. That - that was truth, even if "strength" wasn't the word. Obedience.
AAD00100692	You must be willing to kill anyone, children, mothers, the weak, elders... if these New Canaanites value the generations, that is what you must kill.
AAD00100693	It was like Vulpes was speaking through me. Use the night, silence, and fire to change their words to pleas, to screams.
AAD00100694	No need for bombs when hate will do.
AAD00100695	I... asked the White Legs to destroy a people with ancestry, going back thousands of years - another death of history, lost to time.
AAD00100696	The New Canaanites... they supplied medicine. Food, traded with others. Civilization, a hand from the past, not history...
AAD00100697	...but maybe a past deeper, farther than that to a place where this... God really exists.
AAD00100698	If so, his handiwork and people belong elsewhere, not in this place. Another symbol, like Bear and Bull, with no meaning in the present.
AAD00100699	NVDLC04UlyssesWhiteLegs1HolotapeNote
AAD00100700	Emptiness here - like the sands of the Great Salt Lake, echoed. The beating in the Divide sky... like storm drums of the White Legs.
AAD00100701	Ran with them on the salt beds, at Caesar's command - cut the throats of the two-headed Bear, cut all communities off.
AAD00100702	Use storm, sky. Disease. Fire, starvation... and the violence of the ignorant to ruin all who could... might stand against him.
AAD00100703	But the White Legs... they couldn't live on their own, like most scavengers. So gave them purpose - turned their hunger into a weapon.
AAD00100704	The wall of New Canaan... too high for Caesar. Too proud, maybe - or maybe something there, from his past, that needed killing. Memory of Graham.
AAD00100705	Helped them dig out Canaan supply caches, and other secrets the sands hid - bunkers, filled with powered weapons even the Brotherhood might desire.
AAD00100706	They called these new weapons "storm drums" in the firing of shells. Taught them the power in the casings... to channel the spirits in their guns.
AAD00100707	Me... they called me the Flag-Bearer. Glory in my hand, in my staff that still bore the weight of the Old World just as the symbol on my back did.
AAD00100708	I learned their weapons as a means of respect. And when it came their turn to pay respect to me... history came rushing back.
AAD00100709	Can't escape what's been done. History's there... no matter how far you walk.
AAD00100710	NVDLC04UlyssesBigMT3HolotapeNote
AAD00100711	Have you ever wanted to speak to history - just to know the why of it? I don't. Not any longer.
AAD00100712	There's old stories about gods and men, past history, into myth - where the gods, they're like children... petulant, cruel.
AAD00100713	Those were the voices of the Big Empty, the past. Couldn't leave well enough alone, had to ask. Had to ask the why of it.
AAD00100714	Their answers were madness. And power, stronger than me, would take a hundred Elijahs... someone tougher than him or I to best them in their Dome.
AAD00100715	They didn't know why they were there, what had led to that point, their names - like serpents devouring themselves, cannibalizing their own thoughts.
AAD00100716	When all seemed lost, thought it was the end - my anger gave me strength to ask them my last question.
AAD00100717	"Who are you, that do not know your history?"
AAD00100718	And they awoke. For... a short time.
AAD00100719	The flag you wear, they said. We remember. America.
AAD00100720	It wasn't just a flag to them... it was a place, an idea they had cared for. Once.
AAD00100721	They told me what it was like to grow in that world... all they had done to lift it up... protect it. They... didn't know it was gone, that...
AAD00100722	...yet they had cared once. Before forgetting their history.
AAD00100723	As they were talking... kept seeing the Courier's shadow behind them, giving each their words weight. History cast aside... a home, left behind.
AAD00100724	I listened. I asked. Was there anything left? Anything that still carries America's voice?
AAD00100725	And they told me I had already been there. I and one other, walking right out of history deeper than we knew.
AAD00100726	They told me what lies in the heart of the Divide, what can be found there. And the words to awaken it - and the one to speak them.
AAD00100727	NVDLC04UlyssesBigMT2HolotapeNote
AAD00100728	Big Empty - there's something hidden there, a crater, past wind and sand - so deep in the desert, there's no turning back.
AAD00100729	Finding the crater was an accident, was following the weather patterns - the Divide sky torn like that, man's violence, not nature's.
AAD00100730	That violence in the sky, had a source. Tracked it. Like following a river current.
AAD00100731	Left the colors to mark my way, like always, case someone finds them, learns the pattern - the Courier might.
AAD00100732	When I thought sand and wind would never end... came to the crater.
AAD00100733	And there... there was an Old World facility, a weather station, at the edge, still raking the sky with electricity and generators.
AAD00100734	And beyond it... saw the rest of the Old World hell there, all carved up like garden plots. Had to see what was there, couldn't leave it be.
AAD00100735	Things sleep in the Big Empty, the Brotherhood woke them up - can't move quiet, any more than the two-headed Bear can.
AAD00100736	And when they woke up, it was like all of history waking up at once. Almost didn't make it out. Almost. Left with answers I never intended.
AAD00100737	NVDLC04UlyssesFinalMsgHolotape
AAD00100738	Last tape, last message. In case... you best me. If you're hearing this, you have, through blood or word.
AAD00100739	This message, and all that lies with it - it is for you, Courier. If you want to know the... why of things.
AAD00100740	This world, I've walked a good part of it... I stopped only because of you. What you did - gave me pause.
AAD00100741	Long ago, I crossed the Colorado, the first among the Legion to see Hoover Dam in all its glory... an Old World wall, yet bridging two sides.
AAD00100742	And beyond it, a symbol of a two-headed Bear, an idea great enough to challenge Caesar himself.
AAD00100743	Might kill him, taking it, whether he won or lost. The Bull needs to fight, needs the challenge, without it... it falters, dies in the dust.
AAD00100744	Might be a lesson there, in you and me. Leave the thought behind the message to you.
AAD00100745	My message is this - the destruction that has been wrought, at the Divide - or elsewhere, if you couldn't stop me...
AAD00100746	It can happen again. It will keep happening.
AAD00100747	If war doesn't change, men must change, and so must their symbols. Even if it is nothing at all, know what you follow, Courier...
AAD00100748	...just as I followed you, to the end. Whatever your symbol...
AAD00100749	...carry it on your back, and wear it proudly when you stand at Hoover Dam.
AAD00100750	NVDLC04UlyssesWhiteLegs3HolotapeNote
AAD00100751	The White Legs... meant to show respect, bribe me for Caesar's favor, echoing mannerisms and words...
AAD00100752	Showed them tech caches, taught them the workings of chamber and powder, spoke of Caesar's pride in those that used such things... lies. And...
AAD00100753	...and then... they tried to honor me - not the Legion.
AAD00100754	They brought me before the campfire one night, showed me how they changed themselves, how they wore their hair now.
AAD00100755	It was like my entire dead tribe in the firelight, teeth grinning red in the dark - eager corpses, blood-covered ghosts.
AAD00100756	They... had taken my braids, the way of the Twisted Hairs, as if it showed they were like me, of me...
AAD00100757	...while every knot in their braids spoke of raping, violence - and ignorance of what the knots meant. They thought to show respect... defiled it.
AAD00100758	Lost myself in trying to read the braids they wove, when I remembered they had put no meaning in it. They had no history of what it meant.
AAD00100759	They didn't even know the insult in the twists, knots... and Dry Wells came rushing back, the White Legs circled like that...
AAD00100760	It was like looking at the dead of my tribe, reborn as ghosts - hateful, hungry, bowing to Caesar. Another history... gone, carried by me alone.
AAD00100761	Find anything in the dust of Hopeville?
AAD00100762	Nothing but wind, sand... ash. More may reveal itself in time, not now.
AAD00100763	If you're determined, return, might be something new surfaces.
AAD00100764	Wind and blood has uncovered more beneath the soil.
AAD00100765	If you want these Old World relics, they're yours... better you carry them than the Marked Men.
AAD00100766	Any recipes you can teach?
AAD00100767	I have some materials I've gathered, if you wanted to take a look.
AAD00100768	Is this where you're making camp?
AAD00100769	Not a camp - vigil, maybe. Never claimed it as mine. If anyone owns the Divide... your claim is stronger than mine.
AAD00100770	Don't feel like adding a campfire to the ones that already burn below. If you brought Mojave gifts, might be able to shape something for the road.
AAD00100771	Depends what history has to say about them. There's a lot the land can provide... if you know the road that led to it.
AAD00100772	Mojave's got ways of healing most ills - if not, some tribe's usually found a way you didn't expect.
AAD00100773	Like Healing Powders. Tribes back West only use Xander and Broc flower. There's a way the Twin Mothers in the East used to brew it, though.
AAD00100774	Called it Bitter Drink, mixed up the Xander and Broc in a bottle, added some kick to it so your head doesn't get all clouded.
AAD00100775	Any recipes you can teach?
AAD00100776	Antivenom's helpful around the Mojave with the Bark Scorpions. Even one sting can kill you. Tunneler bite can be just as bad.
AAD00100777	My tribe, Twisted Hairs, had a better way than Antivenom, if you act fast.
AAD00100778	Snakebite Tourniquet - cuts off the venom, no need to scavenge glands and blood. Or drink that mess.
AAD00100779	Part of the reason we wore our hair like we did, like I do now.
AAD00100780	Here's some for the road - trick to making it's not hard. Get bit, hook and twist it. Fast as blinking, doesn't give poison time to sink in.
AAD00100781	Any more recipes.. or histories... you can teach?
AAD00100782	Nothing more than I've already shared. We'll have to keep with what we know. Tired of history's lessons, anyway.
AAD00100783	Any more recipes you can teach?
AAD00100784	I had other questions.
AAD00100785	Questions have a habit of making others.
AAD00100786	The Divide's irradiated... are you sure you want to stay here?
AAD00100787	The invisible fires burn here, true enough. Still... to have helped carry out such an act, then not face it...
AAD00100788	Not my way. If my life burns out here, so be it... until then, I wait and watch, see what the road brings.
AAD00100789	What about the Marked Men?
AAD00100790	That's part of why I'm here. Watch them - if they attack me, try to enter the Mojave, I answer. Not looking to kill them... save them, if I can.
AAD00100791	There might be something saving in them. If not, then what I do is mercy, not murder.
AAD00100792	What's the Courier's Mile? Is that where the Ashton missile hit?
AAD00100793	My name for it. If you have a better one, you grant it - my choice in names won't carry past you and I.
AAD00100794	Lies along the road, running from the Hopeville silo... straight on to where the ground burns, and wind howls even stronger than here.
AAD00100795	Your tapes prove you've walked the Mojave, yet learned the wrong lessons.
AAD00100796	Comes down to perspective, how far one's walked, and what they've left behind.
AAD00100797	If you challenge this moment, let's hear your perspective. If my words are all you have, let's hear them.
AAD00100798	So... you think dropping bombs on the Mojave is going to solve things?
AAD00100799	[SUCCEEDED] The why of it... you taught me the why of it.
AAD00100800	If you believe in something enough, you must be willing to let it burn, lest it claim you.
AAD00100801	These governments of the two-headed bear... the Legion... they carry Old World ideas into an age that no longer needs them, where they cannot live.
AAD00100802	I need to know why you're doing this - not for my sake, for history's sake.
AAD00100803	[FAILED] Yes, that is what you proved to me at the Divide - what is here, what you showed me... it is enough.
AAD00100804	You don't understand. You will.
AAD00100805	You've wasted enough of my time. Get ready to die.
AAD00100806	I'll finish history's work. If the Divide couldn't kill you... perhaps these spears of the Old World can.
AAD00100807	Let's end this, Courier, you and I. Here, with the Old World flag as witness.
AAD00100808	I've heard enough. You're a Legion traitor, and now you'll die.
AAD00100809	Forget this. If you want an ending to things, let's do this.
AAD00100810	Can you share the recipe with me?
AAD00100811	Can do that and one better... just enough around to mix some. Here - might make the Twin Mothers' history live a little longer, you carrying it.
AAD00100812	When you drink it, down it all in one shot, or your stomach's not going to want to keep going after the second drink.
AAD00100813	What's the history of it?
AAD00100814	History? Cures a wound, leaves the bitterness that caused it. The Twin Mothers were always about lessons.
AAD00100815	Caesar taught them the last one, though, so that's it for them. Recipe still exists, Legion uses it on forced marches with wounded soldiers.
AAD00100816	Wouldn't have made it through Crimson River Trail a few years back without it  - losing so much blood early on, was a Cazador feast.
AAD00100817	Enough Xander root and Broc flower along the trail though, the Legion was able to keep pace and get where they were going.
AAD00100818	Have you been to Hopeville since the Ashton missile hit?
AAD00100819	Walk there sometimes, keep the walks short. Still... it's important to see. Something else to answer for.
AAD00100820	Occasionally sift through the dust, the buildings... see if I can find some history. Marks of America.
AAD00100821	If you want them, keep them... you've earned it. Nothing to be gained by me holding them, and more will surface in time.
AAD00100822	Sounds useful. Have any to spare?
AAD00100823	You think I'd leave valuable property like you behind? No way. You might be worth some caps one day.
AAD00100824	Run off on me like that again and I'll recycle you into tin cans. I own you, robot.
AAD00100825	Sounds like a big damn waste of time to me.
AAD00100826	That's what all this was about? Some old pre-War kids' show?
AAD00100827	Heh heh. Robot skeet shooting. Sounds fun.
AAD00100828	Boo hoo, poor little robot lost his daddy. Stop moping, trash can.
AAD00100829	How long ago was this? And you still haven't made it? So much for upgraded navigational systems.
AAD00100830	Spill any of my secrets, and I'll spill your electronic guts. Just so we're clear.
AAD00100831	If you ask me, Whitley got too invested. It's just robot research, not having a kid.
AAD00100832	Big deal. You're a glorified computer, why bother switching you off to improve you?
AAD00100833	Fine, whatever. Listen, robot: I own you now. Follow me and try to make yourself useful.
AAD00100834	You'd better level with me, trashcan, or I might stuff you back in that pod.
AAD00100835	<Apologetic beeping>
AAD00100836	Yeah, he's probably dead. Guess that means I own you now.
AAD00100837	<Sad beeping>
AAD00100838	Great. Maybe you'll actually be useful to me, then.
AAD00100839	<Hopeful beeping>
AAD00100840	NVDLC04EndingSlideSunset02
AAD00100841	Men do, through the roads they walk.
AAD00100842	Women do, through the roads they walk.
AAD00100843	NVDLC04EndingSlideSunset01
AAD00100844	It's said war - war never changes.
AAD00100845	NVDLC04EndingSlideDivide02
AAD00100846	Tunnelers and the Marked Men... avoided the lone figure, as if recognizing the Courier's right to passage... or out of fear.
AAD00100847	NVDLC04EndingSlideDivide0
AAD00100848	As for the Courier... he turned his back on his home for the second time and made his way back, navigating the treachery of the Divide.
AAD00100849	As for the Courier... she turned her back on her home for the second time and made her way back, navigating the treachery of the Divide.
AAD00100850	NVDLC04EndingSlideEDESacrificed02
AAD00100851	As his last gesture, he sent one last signal to his counterpart in the Mojave, passing along what the Courier had taught him in the Divide.
AAD00100852	There was the chance... always, that ED-E's journey would continue, perhaps carried by another Eyebot in the Mojave...
AAD00100853	...the one from which the ED-E from the Divide had been shaped.
AAD00100854	For now, the Courier knew ED-E's history and could carry it, even if the Eyebot had forgotten.
AAD00100855	NVDLC04EndingSlideEDESacrificed01
AAD00100856	When ED-E's circuits burned in the fires of the Divide, there was one small part that held on until the end.
AAD00100857	It was the fragment that held the Old World memories and the words of his creator in his last moments.
AAD00100858	NVDLC04EndingSlideEDELeftBehind
AAD00100859	ED-E, the version given life by the machines of the Divide, remained frozen in the military installation where Ulysses had summoned him.
AAD00100860	The robot's last coded transmission back to his counterpart in the Mojave told of upgrades, unlocked memories... then silence.
AAD00100861	Not long after the Courier left the facility, the Eyebot's data banks were wiped, and it was disassembled as rapidly as it had been constructed.
AAD00100862	NVDLC04EndingSlideEDESaved02
AAD00100863	Before leaving, he sent a coded signal to his original in the Mojave, passing along what the Courier had taught him in the Divide.
AAD00100864	With that last farewell, he set off, carrying the song of Old World hope with him, which had given him strength and purpose on his journey.
AAD00100865	And no matter what, he knew there would be a second home to return to, Navarro or not - and that his creator would be proud.
AAD00100866	NVDLC04EndingEDESaved01
AAD00100867	ED-E, given second life by the machines of the Divide, freed by the Courier, continued his quest west, to Navarro...
AAD00100868	...or what remained of what the Eyebot considered "home." Whether he found his homeland or not, his road is unknown.
AAD00100869	It may be the journey meant more than the destination - just as his counterpart in the Mojave had learned.
AAD00100870	NVDLC04EndingUlyssesAlive02
AAD00100871	He remained there, perhaps as punishment for the scars he left on the wastes - or a reminder of a history he could not forget.
AAD00100872	For Ulysses... his journey was over. The Courier had been the end of his road.
AAD00100873	NVDLC04EndingUlyssesAlive01
AAD00100874	Hopeville burned lightless in the night, invisible fires of radiation scorching it from within and without.
AAD00100875	It is said a man still walked its streets, with a tattered jacket, an Old World flag etched on the back...
AAD00100876	NVDLC04EndingUlyssesDead02
AAD00100877	...though whether done as a sign of respect, or in anger for what had been endured to reach this moment - that is unknown.
AAD00100878	Interpretation is something best left to history, and only the surviving Courier would ever know for certain.
AAD00100879	NVDLC04EndingUlyssesDead01
AAD00100880	At the end of the struggle, only one Courier remained in the heart of the Divide. The true Courier, Courier Six.
AAD00100881	The Courier tore the ancient flag of the Commonwealth from its cables, and cast it over the corpse...
AAD00100882	NVDLC04EndingMissileLaunchLegion02
AAD00100883	But that message - it is something for Couriers to carry, and for them alone.
AAD00100884	The lights flickered across the Divide, reminders that the Old World histories persist, and find meaning in the present.
AAD00100885	NVDLC04EndingMissileLaunchLegion01
AAD00100886	The Courier walked until he stood again upon the edge of the Divide, the last road he would walk before the second battle for Hoover Dam.
AAD00100887	There, beside his feet, was a final package, from one Courier to another - a footlocker, bearing a gift, and a message.
AAD00100888	The Courier walked until she stood again upon the edge of the Divide, the last road she would walk before the second battle for Hoover Dam.
AAD00100889	There, beside her feet, was a final package, from one Courier to another - a footlocker, bearing a gift, and a message.
AAD00100890	NVDLC04EndingMissileLaunchNCR02
AAD00100891	As catastrophic as the damage was for NCR, the act made the Courier stronger for having no history, and no retreat.
AAD00100892	It was an ending to things - a way of erasing the road that had led to this point and the history that had walked with it.
AAD00100893	It was an ending to things - a way of erasing the road that had led to this point and the history that had walked with it.
AAD00100894	NVDLC04EndingMissileLaunchNCR01
AAD00100895	...missiles fell on NCR and the Long 15 caravan route beyond the Mojave Outpost, the road the Courier had been walking when the tale began.
AAD00100896	Caravans and NCR outposts along the route were reduced to ash, an Old World gift from the Divide.
AAD00100897	...missiles fell on the East and the Legion encampment at Dry Wells... where the Twisted Hairs had allied, then been betrayed by Vulpes and Caesar.
AAD00100898	Legion soldiers died, their silhouettes blasted into the ground and earth, the last word of the last of the Twisted Hairs.
AAD00100899	
AAD00100900	[SUCCEEDED] <Happy beeping>
AAD00100901	Hey, is that an ArmCo Portable Reloading Bench built into you? That'll be handy.
AAD00100902	[FAILED] <Happy beeping>
AAD00100903	Do you do anything with bullets? Like, maybe help people make them?
AAD00100904	
AAD00100905	[SUCCEEDED] <Happy beeping>
AAD00100906	That's an impressive multitool suite you've got. I bet I could make all sorts of stuff with that.
AAD00100907	[FAILED] <Happy beeping>
AAD00100908	You look like a toolbox. Can you help me make stuff?
AAD00100909	
AAD00100910	[SUCCEEDED] <Happy beeping>
AAD00100911	If you drop the power output by .24, you'll be able to make more energy ammo with no quality loss.
AAD00100912	[FAILED] <Confused beeping>
AAD00100913	Wow, you're way better at fixing weapons than me!
AAD00100914	
AAD00100915	[SUCCEEDED] <Happy beeping>
AAD00100916	If you switched to the 3/8 wrench and the smaller drill, those weapon repairs would be easier.
AAD00100917	[FAILED] <Confused beeping>
AAD00100918	Wow, you're way better at fixing weapons than me!
AAD00100919	I don't need energy cells right now - I'd like some satchel charges, ED-E.
AAD00100920	<Happy beeping>
AAD00100921	Can you make me some flamer fuel instead of energy cells?
AAD00100922	<Happy beeping>
AAD00100923	
AAD00100924	[SUCCEEDED] <Happy beeping>
AAD00100925	Remove the safety catches on those Microfusion Cells and you could turn them into satchel charges.
AAD00100926	[FAILED] <Confused beeping>
AAD00100927	I want something that goes boom. Can you do that?
AAD00100928	
AAD00100929	[SUCCEEDED] <Happy beeping>
AAD00100930	You know, if you strip out the plasma relays on those energy cells, you could make flamer fuel.
AAD00100931	[FAILED] <Confused beeping>
AAD00100932	Could you maybe make some energy cells that catch fire instead?
AAD00100933	
AAD00100934	[SUCCEEDED] <Pleased beeping>
AAD00100935	That was a .308 round. Probably hand-loaded - that would have destroyed most robots your size.
AAD00100936	[FAILED] <Confused beeping>
AAD00100937	I thought all robots were bulletproof.
AAD00100938	Whatever, trashcan. I really don't give a shit about your problems.
AAD00100939	Whatever. I only rescued you for the fire support anyways.
AAD00100940	If you wanted me dead, why did you wait?
AAD00100941	Promises to keep. To others. And the Mojave's dangerous enough - left to the land, the land has its way.
AAD00100942	If I wanted you dead, we would have met sooner. Not sure that's the way this ends.
AAD00100943	Might be that history needs to have its say. If not, then messages will do.
AAD00100944	So you refused to deliver the Chip - what, to set me up to die?
AAD00100945	We all have death following us, only a question of how close. You dodged it - for a time. You're good at that, talent for it.
AAD00100946	With that Chip weighing you down... a burden, lets death move a little faster without me pulling the trigger.
AAD00100947	It sounds like you know me, but I've never met you.
AAD00100948	[SUCCEEDED] Words aren't the only way couriers meet... sometimes it's the paths we walk. But no... we've never spoken before now.
AAD00100949	We've never spoken before - I'd remember your voice.
AAD00100950	[FAILED] I know you. What we have in common, though, isn't in the words we traded.
AAD00100951	You were supposed to carry the Chip?
AAD00100952	Meant to? No. Never. Your burden.
AAD00100953	Weigh you down long enough to let death catch up to you... but you survived.
AAD00100954	There was death in that package, and while the Chip is important to Old World ghosts... no, you are more dangerous than that Chip ever could be.
AAD00100955	Maybe why you found each other, little piece of the Old World, speaking to you, waiting for you to wake something else up with it.
AAD00100956	[Legion] The dead in the silo, some were Legion Frumentarii, scouts. Assassins.
AAD00100957	Might have been. Once. To the Divide they came... in the Divide, they rest.
AAD00100958	[NCR] Those bodies in the silo were NCR soldiers... some special forces.
AAD00100959	Might have been. Once. To the Divide they came... in the Divide, they rest.
AAD00100960	What's here? This place looks wrecked.
