SI000001	DEFAULT
SI000053	"scn SCPTOnHitTrackerBasePerks

ref rAttacker
ref rTarget
float fSlugMult
float fSlamWeapTypeBonus
float fSlamPowerAttackBonus
float fSlamWeaponWeight
float fAttackerForce
int iReqDifference
ref rHitWeapon

begin function {rTarget, rAttacker}
	;printvar rAttacker
	if isFormValid rAttacker == 0
		return
	endif
	if isformvalid rTarget == 0
		return	
	endif
	if rAttacker.hasperk AnimalFriend && rTarget.GetInFaction AnimalFriendFaction
		rTarget.removefromfaction AnimalFriendFaction
	endif
	if rAttacker.GetPerkRank actionstar == 3
		if rTarget.GetHitLocation == 1 || rTarget.GetHitLocation == 13
			if GetVatsMode == 0 && rAttacker.IsSpellTargetList FLSTJBTEffect == 0
				rAttacker.restoreav ActionPoints (player.getav luck)
			endif
		endif
	endif
	if isFormValid rTarget == 0
		return
	endif
	if rAttacker.hasperk CenterOfMass == 1 && rTarget.GetHitLocation == 0
		rTarget.damageav EnduranceCondition (rTarget.GetHitLimbDamage)
		;print ""dealing "" + $(rTarget.GetHitLimbDamage) + "" bonus damage""
	endif
	if rAttacker.hasperk NVDLC01Hobbler == 1 && (rTarget.GetHitLocation == 10 || rTarget.GetHitLocation == 11 || rTarget.GetHitLocation == 12)
		rTarget.damageav RightMobilityCondition (rTarget.GetHitLimbDamage)
		;print ""dealing "" + $(rTarget.GetHitLimbDamage) + "" bonus damage""
	endif
	if rAttacker.hasperk NVDLC01Hobbler == 1 && (rTarget.GetHitLocation == 7 || rTarget.GetHitLocation == 8 || rTarget.GetHitLocation == 9)
		rTarget.damageav LeftMobilityCondition (rTarget.GetHitLimbDamage)
		;print ""dealing "" + $(rTarget.GetHitLimbDamage) + "" bonus damage""
	endif
	rHitWeapon = rTarget.GetHitWeapon
	if isformvalid rHitWeapon == 0
		return
	endif
	if rAttacker.HasPerk Meltdown && isRefInList PlasmaSpazWeaponList rHitWeapon != -1 && rTarget.GetEquipped NVDLC01ArmorVsBeamTorso == 1
		if rTarget.GetHitExtendedFlag 1 == 1
			rTarget.CIOS AEMeltdown
		endif
	endif
	if sssQSTBaseGamePerksStartup.bNewBloodLoaded == 0
		;print ""new blood not loaded""
		if rAttacker.hasperk NVDLC01AndStayBack == 1 && isRefInList ShotgunSurgeonWeaponsList (rTarget.GetHitWeapon) != -1 && rTarget.GetisRagdolled == 0 && rTarget.hasperk Stonewall == 0 && rTarget.GetArmourPenetrated == 1 && (isRefInList FLSTGetUpIdles (rTarget.GetPlayedIdle) == -1)
			;print ""hit qualifies""
			;//new blood base shotgun knockdown will require the hit penetrates, and Stay Back will unlock it from requiring penetration
			;ref rProj = (rTarget.GetHitProjectile).GBO
			;printvar rProj
			if isRefInList FLSTShotgunSlugsStayBack (rTarget.GetHitProjectile) != -1
				;//this checks for the projectile to be in the list, not a base ammo form
				fSlugMult = fStayBackSlugMult
				;print ""slug""
			else
				fSlugmult = 1.0
				;print ""not slug""
			endif
			int iRand = rand 1, 100
			;printvar iRand
			iRand = iRand - ((rTarget.GetAv Strength) * 2)
			;printvar iRand
			iRand *= fSlugMult
			;printvar iRand
			if rTarget.getequipped AllPowerArmor == 1
				iRand /= 2
				;printvar iRand
			else
				iRand = iRand - ((rTarget.GetAv Endurance) * ((rTarget.getarmorclass) + 1))
				;printvar iRand
				;//peaks as 10 * 4 for 40
			endif
			;//PA gets a much larger reduction via a raw mult, while other armor just reducts from rand val
			if iRand > 65 ;iStayBackThreshold
				;default is 20
				rAttacker.pushactoraway rTarget (fStayBackForceBase * ((rTarget.GetHitHealthDamage) / 100))
			endif
		endif
	endif
	if sssQSTBaseGamePerksStartup.bNewBloodLoaded == 0
		if rAttacker.hasperk SuperSlam == 1 && rTarget.GetisRagdolled == 0 && rTarget.GetArmourPenetrated == 1 && GetIsAutomatic (rTarget.GetHitWeapon) == 0 && rTarget.hasperk Stonewall == 0 && (isRefInList FLSTGetUpIdles (rTarget.GetPlayedIdle) == -1) && ((GetWeaponSkill (rTarget.GetHitWeapon) == 38) || (GetWeaponSkill (rTarget.GetHitWeapon) == 45)) 
			;ref rIdle = rTarget.GetPlayedIdle
			;printvar rIdle
			;print $(isRefInList FLSTGetUpIdles (rTarget.GetPlayedIdle))
			if rAttacker.IsAnimPlayingEx 3 23 == 1
				fSlamPowerAttackBonus = 2.0
			else
				fSlamPowerAttackBonus = 1.0
			endif
			;printvar fSlamPowerAttackBonus 
			fSlamWeaponWeight = GetWeight (rTarget.GetHitWeapon)
			;printvar fSlamWeaponWeight 
			iReqDifference = (rAttacker.GetAV Strength) - (GetReqStr (rTarget.GetHitWeapon))
			;printvar iReqDifference 
			fAttackerForce = ((fSlamWeaponWeight * (rAttacker.GetAV Strength)) * fSlamPowerAttackBonus)
			;printvar fAttackerForce 
			;((20 * (10)) * 3)
			;((200 * 3)
			;600 base force for max circumstance
			;150 for 10 lb 5 STR
			if iReqDifference < 0
				fAttackerForce *= (1 + (iReqDifference / 10))
			endif
			;printvar fAttackerForce 
			;20 lb 5 STR -3 iReqDifference
			;((20 * (5)) * 3)
			;(100 * 3)
			;300
			;300 x (1 + (-.3))
			;300 x .7 = 210
			fAttackerForce /= 6
			;printvar fAttackerForce
			;since 600 is the hypothetical maximum, this realigns the hypothetical max value to 100 
			int iRand = rand 1, 50
			iRand = iRand + (((rTarget.GetAv Strength) + (rTarget.GetAv Endurance)) * 2)
			if rTarget.getequipped AllPowerArmor == 1
				iRand *= 2
			else
				iRand = iRand + (((rTarget.GetAv Endurance) / 2) * ((rTarget.getarmorclass) + 1))
				;//peaks as 10 * 4 for -40
			endif
			;//PA gets a much larger reduction via a raw mult, while other armor just reducts from rand val
			;printvar iRand
			if fAttackerForce > iRand
				rAttacker.pushactoraway rTarget ((GetWeaponKillImpulse (rTarget.GetHitWeapon)) / 4)
			endif
		endif
	endif
end"
SI000054	"scn SCPTPromptForPerkListGeneric

int iButton

begin function {iButton}
	if iButton == 0
		sssQSTBaseGamePerksStartup.bGoShowPerkItems = 1
	elseif iButton == 1
		sssQSTBaseGamePerksStartup.bGoShowPerkItems = 0
	endif
	if iButton > -1
		sssQSTBaseGamePerksStartup.bPromptUDF = 0
	endif
end"
SI000055	"scn SCPTMeltdownEffectScript

ref rMetalArmor
float fEffectSeconds
int bSwitchedArmor
ref rSelf
ref rMetalArmor2
float fArmorHealth
float fHealthPercent

begin scripteffectstart
	rSelf = GetSelfAlt
	rMetalArmor = GetEquippedItemRef 2
	fArmorHealth = rMetalArmor.GetItemRefCurrentHealth 1
	;printvar fArmorHealth
	fHealthPercent = fArmorHealth - 0.15
	if fHealthPercent <= 0
		fHealthPercent = 0.01
	endif
	;print ""setting armor health to""
	;printvar fHealthPercent
	rMetalArmor.SetItemRefCurrentHealth fHealthPercent 1
	fHealthPercent = rMetalArmor.GetItemRefCurrentHealth 1
	;printvar fHealthPercent 
	if isRefInList NVDLC01ArmorVsBeamTorso rMetalArmor != -1
		;print ""starting effects""
		pms PlasmaGooificationGlowFast
		pms PlasmaGooificationSmall
		pms Smoke02pulse
		playidle MTHitTorsoC
		;sms PlasmaGooificationGlowFast
		;sms PlasmaGooificationSmall
		playsound3d EMTMonorailFireB
		playsound3d NPCBlowFlyFireLp
		playsound3d NPCGeckoFireAttack
		say hit
	endif
end

begin scripteffectupdate
	;print ""update""
	;rMetalArmor = GetEquippedItemRef 2
	;fArmorHealth = rMetalArmor.GetItemRefCurrentHealth 1
	;printvar fArmorHealth 
	fEffectSeconds += ScriptEffectElapsedSeconds
	;printvar fEffectSeconds 
	if fEffectSeconds > 0.5
		if HasEffectShader PlasmaGooificationGlowFast
			;print ""dispelling fast goo""
			sms PlasmaGooificationGlowFast
		endif
	endif
	if fEffectSeconds > 0.5
		if HasEffectShader PlasmaGooificationSmall
			;print ""dispelling plasma small""
			sms PlasmaGooificationSmall
		endif
	endif
end


begin scripteffectfinish
	stopsoundalt EMTMonorailFireB rSelf 
	stopsoundalt NPCBlowFlyFireLp rSelf 
	sms Smoke02pulse
end"
SI000056	"scn SCPTOnUnEquipBasePerks

begin function {ref rActor, ref rItem}
	;print ""onunequip""
	if rActor.IsSpellTargetAlt AEMeltdown == 1 && (rActor.GetEqObj 2) == rItem
		print ""clearing meltdown""
		rActor.Dispel AEMeltdown
		if HasEffectShader Flames01
			;print ""dispelling fire""
			sms Flames01
		endif
		if HasEffectShader PlasmaGooificationGlow
			;print ""dispelling plasma""
			sms PlasmaGooificationGlow
		endif
		if HasEffectShader Smoke02pulse
			;print ""dispelling smoke""
			sms Smoke02pulse
		endif
	endif
end"
SI000057	"scn SCPTOnCrosshairOnBasePerks

begin function {ref rRef}
	if isformvalid rRef == 0
		return
	endif
	if rRef == 0
		return
	endif
	if rRef.GetType != 42
		return
	endif
	if GetIsReference rRef == 0
		return
	endif
	ref rNPCBase = rRef.GBO
	if isformvalid rNPCBase == 0
		return
	endif
	if sssQSTBaseGamePerksStartup.iTargetIsNPC != 1
		sssQSTBaseGamePerksStartup.iTargetIsNPC = 1
	endif
	if eval (rRef.GetIsSex Female || isrefinlist FLSTTransFem rNPCBase != -1) && isrefinlist FLSTTransMasc rNPCBase == -1
		if sssQSTBaseGamePerksStartup.iNPCIsFemale != 1
			sssQSTBaseGamePerksStartup.iNPCIsFemale = 1
		endif
	elseif eval (rRef.GetIsSex Female == 0 || isrefinlist FLSTTransMasc rNPCBase != -1) && isrefinlist FLSTTransFem rNPCBase == -1
		if sssQSTBaseGamePerksStartup.iNPCIsFemale != 0
			sssQSTBaseGamePerksStartup.iNPCIsFemale = 0
		endif
	endif
	if rRef.IsChild 
		if sssQSTBaseGamePerksStartup.bTargetIsChild != 1
			sssQSTBaseGamePerksStartup.bTargetIsChild = 1
		endif
	endif
end"
SI000058	"scn SCPTOnCrosshairOffBasePerks

begin function {ref rRef}
	if isformvalid rRef
		return
	endif
	if sssQSTBaseGamePerksStartup.iTargetIsNPC != 0
		sssQSTBaseGamePerksStartup.iTargetIsNPC = 0
	endif
	if sssQSTBaseGamePerksStartup.iNPCIsFemale != 0
		sssQSTBaseGamePerksStartup.iNPCIsFemale = 0
	endif
	if sssQSTBaseGamePerksStartup.bTargetIsChild != 0
		sssQSTBaseGamePerksStartup.bTargetIsChild = 0
	endif
end"
SI000059	"scn SCPTOnUseMagazineBasePerks

begin function {ref rItem}
	ref rActor = ThisAlt
	if rActor != player
		return
	endif

	if rItem == MagazineNVBarter

	elseif rItem == MagazineNVCritical

	elseif rItem == MagazineNVEnergyWeapons

	elseif rItem == MagazineNVExplosives

	elseif rItem == MagazineNVGuns

	elseif rItem == MagazineNVLockpick

	elseif rItem == MagazineNVMedicine

	elseif rItem == MagazineNVMeleeWeapons

	elseif rItem == MagazineNVRepair

	elseif rItem == MagazineNVScience

	elseif rItem == MagazineNVSneak

	elseif rItem == MagazineNVSpeech

	elseif rItem == MagazineNVSurvival

	elseif rItem == MagazineNVUnarmed

	endif
end"
SI000060	"scn NVDLC03TraitSkilledBESCRIPT

; Raises the Player's skills (all) by 5 points.
; ETB 3/3/11

Short bDoOnce


BEGIN ScriptEffectStart

	If ( bDoOnce == 0 )
		Set bDoOnce to 1;
; ------------------------------------------	BARTER ----------------------------------------	\/
		ModActorValue Barter 5;
; ------------------------------------------	BIG GUNS ----------------------------------------	\/
		ModActorValue BigGuns 5;
; ------------------------------------------	ENERGY WEAPONS ---------------------	\/
		ModActorValue EnergyWeapons 5;
; ------------------------------------------	EXPLOSIVES --------------------------------	\/
		ModActorValue Explosives 5;
; ------------------------------------------	GUNS --------------------------------------------	\/
		ModActorValue Guns 5;
; ------------------------------------------	LOCKPICK -------------------------------------	\/
		ModActorValue Lockpick 5;
; ------------------------------------------	MEDICINE -------------------------------------	\/
		ModActorValue Medicine 5;
; ------------------------------------------	MELEE WEAPONS -----------------------	\/
		ModActorValue MeleeWeapons 5;
; ------------------------------------------	REPAIR -----------------------------------------	\/
		ModActorValue Repair 5;
; ------------------------------------------	SCIENCE ---------------------------------------	\/
		ModActorValue Science 5;
; ------------------------------------------	SNEAK ------------------------------------------	\/
		ModActorValue Sneak 5;
; ------------------------------------------	SPEECH ----------------------------------------	\/
		ModActorValue Speech 5;
; ------------------------------------------	SURVIVAL -------------------------------------	\/
		ModActorValue Survival 5;
; ------------------------------------------	UNARMED ------------------------------------	\/
		ModActorValue Unarmed 5;
	Endif

END; scripteffectstart"
SI000061	"ScriptName DLC03RadAbsorbScript

Float MicroRegen

Begin ScriptEffectUpdate
	Set MicroRegen to ScriptEffectElapsedSeconds / 10
	RestoreAv RadiationRads MicroRegen
End"
SI000062	"scn SCPTSweetPerkOverhaulJBTRefTracker

ref rTargetWorldRef
int iBodyPart
ref rTargetBaseForm
float fPassedFloat

begin function {rTargetWorldRef, iBodyPart, fPassedFloat}
	SetFunctionValue fPassedFloat

	if isformvalid rTargetWorldRef == 0
		return
	endif
	rTargetBaseForm = rTargetWorldRef.GBO
	if isformvalid rTargetBaseForm == 0
		return
	endif

end"
SI000063	"scn SCPTSweetPerkOverhaulJBTSpread

ref rTargetWorldRef
int iBodyPart
ref rTargetBaseForm
float fSpread
float fSpreadLocal

begin function {rTargetWorldRef, iBodyPart, fSpread}
	if isformvalid rTargetWorldRef == 0
		return
	endif
	rTargetBaseForm = rTargetWorldRef.GBO
	if isformvalid rTargetBaseForm == 0
		return
	endif

	fSpreadLocal = fSpread

	SetFunctionValue fSpreadLocal

end"
SI000064	"scn SCPTSweetPerkOverhaulJBTDamage

ref rTargetWorldRef
int iBodyPart
ref rTargetBaseForm
float fDamage
float fDamageLocal

begin function {rTargetWorldRef, iBodyPart, fDamage}
	if isformvalid rTargetWorldRef == 0
		return
	endif
	rTargetBaseForm = rTargetWorldRef.GBO
	if isformvalid rTargetBaseForm == 0
		return
	endif

	fDamageLocal = fDamage

	SetFunctionValue fDamageLocal

end"
