STE00000001	Inline Vanilla Functions 
STE00000623	Only hide the cursor while the NPC is talking.
STE00000624	Faster Main Menu
STE00000625	Remove the wait for the Fallout New Vegas logo to be at full alpha.
STE00000626	Skip wait for main menu slide
STE00000627	Skip the 0-3s wait for the current load screen to fade out.
STE00000628	VATS Shift Ignores Friendly Targets
STE00000629	Holding shift ignores friendly NPCs when entering VATS.
STE00000630	Ignore enemies instead
STE00000631	VATS
STE00000632	Inverts mod behavior so holding shift SHOWS friendly NPCs.
STE00000633	Disable Explosion In Face IMOD
STE00000634	Disables the radial blur when an explosion occurs nearby.
STE00000635	Modify Skill Points Earned
STE00000636	 iSkillPointBase + ceil(Intelligence * fPointsPerInt).
STE00000637	Skill Point Base
STE00000638	Skill Points
STE00000639	Base skill points before Intelligence bonus is added.
STE00000640	20
STE00000641	Points Per Intelligence
STE00000642	Skill points earned per point of intelligence.
STE00000643	Luck Doesn't Affect Gambling
STE00000644	Removes the luck skill's effect on gambling by initializing the Gambling Menus with a luck of 5.
STE00000645	Remove Chem Worn Off IMOD
STE00000646	Removes the chem worn off screen effect.
STE00000647	Adjustable Scope Zoom
STE00000648	Allows scroll-wheel to zoom while using a scope.
STE00000649	Zoom Rate
STE00000650	Adjustable Zoom
STE00000651	Rate at which weapons are zoomed.
STE00000652	Alphabetical
STE00000653	Shift Zoom Scale
STE00000654	Multiplier applied to zoom rate while shift is held.
STE00000655	10
STE00000656	Reset Zoom On Weapon Change
STE00000657	Resets the current zoom when changing weapons.
STE00000658	Allow Zooming Non-Scoped Weapons
STE00000659	Smooth Scroll Zoom
STE00000660	Apply smoothing to the change in zoom.
STE00000661	Binoculars Only
STE00000662	Only allow zooming on weapons with no projectile (e.g. binoculars).
STE00000663	Scope Reset Time MS
STE00000664	Resets the current zoom if unscoped for this long, set to 0 to disable.
STE00000665	Min FOV
STE00000666	Minimum scope FOV (max zoom).
STE00000667	90
STE00000668	Max FOV
STE00000669	Maximum scope FOV (minimum zoom).
STE00000670	Min FOV Multiplier
STE00000671	Minimum multiplier applied to weapon FOV (max-zoom).
STE00000672	Max FOV Multiplier
STE00000673	Maximum multiplier applied to weapon FOV (min-zoom).
STE00000674	Zoom In Key
STE00000675	Key to zoom in (can also use scrollwheel).
STE00000676	Zoom Out Key
STE00000677	Key to zoom out (can also use scrollwheel).
STE00000678	Popup Menus Don't Move Cursor
STE00000679	Prevents pop-up menus moving the mouse to the center of the screen.
STE00000680	Toggle Scope Night Vision
STE00000681	Pressing the iTogglePipboyLight key while aiming with a night vision weapon toggles off the night vision effect.
STE00000682	Disable By Default
STE00000683	Night Vision
STE00000684	Disables night vision for weapons until the toggle key has been pressed.
STE00000685	Allow During Daytime
STE00000686	Allow night vision during daytime.
STE00000687	Toggle On Sound
STE00000688	Sound to play when enabling night vision.
STE00000689	Toggle Off Sound
STE00000690	Sound to play when disabling night vision.
STE00000691	Scope Hold Breath
STE00000692	Holding shift decreases scope wobble at the cost of Action Points.
STE00000693	AP Drain
STE00000694	Hold Breath
STE00000695	AP cost per interval.
STE00000696	AP Drain Interval
STE00000697	Interval length in milliseconds (lose AP every X milliseconds).
STE00000698	Wobble Multiplier
STE00000699	Wobble multiplier while breath is held.
STE00000700	1
STE00000701	Require Weapon Strength
STE00000702	Only allow holding breath if you have the required weapon strength.
STE00000703	Require Weapon Skill
STE00000704	Only allow holding breath if you have the required weapon skill.
STE00000705	Hold Breath Key
STE00000706	Scancode of keyboard key to hold breath.
STE00000707	Power Armor Scales Fall Damage
STE00000708	Wearing power armor scales fall damage.
STE00000709	Fall Damage Multiplier
STE00000710	Power Armor
STE00000711	Fall damage multiplier.
STE00000712	Player Only
STE00000713	Agility Scales Movement Speed
STE00000714	 speedMult = normalSpeedMult * (1 + (agility - 5) * fAgilityMovementSpeedMult).
STE00000715	Agility Movement Speed Multiplier
STE00000716	Additional movement multiplier per agility point above 5. Agility below 5 is scaled down.
STE00000717	Affect NPCs
STE00000718	Scale NPC movement speeds.
STE00000719	Affect Player
STE00000720	Scale player movement speeds.
STE00000721	Disable Weapon Zoom
STE00000722	Disables zooming when aiming with non-scoped weapons.
STE00000723	Exclude Non-Sighted Weapons
STE00000724	Weapon FOV
STE00000725	Only disable the zoom for weapons that have ironsights.
STE00000726	Disable Holstered Weapon FOV Zoom
STE00000727	Disables zooming when aiming with a weapon holstered.
STE00000728	No Capitalise Container Categories
STE00000729	Stops the container category titles being capitalized (you will need to change the AMMO title game-setting since it's capitalized in the actual setting, unlike Aid, Weapons and Armor).
STE00000730	Automatically Unequip Broken Armor
STE00000731	Automatically unequip armor when it breaks.
STE00000732	Armor Break Message
STE00000733	Unequip Broken Armor
STE00000734	UI corner message shown when armor breaks.
STE00000735	Weapon Requirements Matter
STE00000736	Don't allow equipping of weapons without the required strength and skill.
STE00000737	Ignore Strength Requirement
STE00000738	Ignore strength requirement for all weapons.
STE00000739	Ignore Non-Heavy Strength Requirement
STE00000740	Ignore strength requirement for weapons that aren't of type 'Two Hand Launcher' or Two Hand Handle'.
STE00000741	Ignore Skill Requirement
STE00000742	Ignore skill requirement for all weapons.
STE00000743	Ignore Throwables
STE00000744	Ignore requirements for grenades, mines and throwable weapons.
STE00000745	Strength and Skill Required Message
STE00000746	Strength Required Message
STE00000747	Skill Required Message
STE00000748	Sneak Attack Without Crouching
STE00000749	Allow sneak attacks while standing.
STE00000750	Hide Loading Screen Tips
STE00000751	Removes the tips from loading screens.
STE00000752	Disable Companion Killcam
STE00000753	Prevents the killcam being activated by companion kills.
STE00000754	Pause Game After Loading A Save
STE00000755	Automatically pause the game when loading a save.
STE00000756	Remove Interior Fog
STE00000757	Removes non-static fog from interiors. Recommend using with Simple Interior Lighting Overhaul.
STE00000758	Min Distance
STE00000759	Interior Fog Remover
STE00000760	Distance over which far fog is removed - setting too low will cause visual bugs in some caves.
STE00000761	Improved Hacking
STE00000762	Improves various aspects of the hacking mini-game.
STE00000763	Prevent Single Character Guesses
STE00000764	Prevents single character attempts while hacking, i.e. clicking on '/' will do nothing rather than waste an attempt and clutter the guesses output.
STE00000765	Remove Dud If Allowance Full
STE00000766	Remove a dud instead of replenishing allowance if allowance is already full.
STE00000767	Prevent Duplicate Guesses
STE00000768	Prevent attempts at guessing the same word.
STE00000769	No Special Input Prints
STE00000770	Don't print the clicked on string with the 'Dud Removed' and 'Allowance replenished.' messages, to ensure less screen space is used.
STE00000771	Remove Dud Ignores Guessed Words
STE00000772	Make 'Dud removed.' ignore guessed words (unless they're the only words left).
STE00000773	Print Guesses On A Single Line
STE00000774	Prints guesses as a single line without the 'Entry denied', e.g. HORIZON (1/7).
STE00000775	Overscroll Support
STE00000776	Make scrolling to the edge of the screen wrap around to the other side (controller or WASD).
STE00000777	Mark Guesses as Duds
STE00000778	Turn incorrect guesses into .....
STE00000779	Allowance Replenished Bonus
STE00000780	Give a bonus number of attempts when finding a 'Replenish Allowanced' instead of setting attempts to the max (e.g. 4 in vanilla).
STE00000781	Lock Needs Key Show Name
STE00000782	_New_Vegas_keys
STE00000783	HUD Visible While Scoped
STE00000784	Adjust visibility of HUD elements while scoped, e.g. show HP/AP.
STE00000785	Visibility Flags
STE00000786	Scope HUD Visibility
STE00000787	Hexadecimal value containing all the sum of all the desired flags. e.g. 0x00000001 would just be ActionPoints visible; 0x00000003 is HitPoints and ActionPoints; 0x000011A0 would be XpMeter, Messages, SneakMeter and RegionLocation visible. See the readme for available flags.
STE00000788	Delay Post Combat Level Up
STE00000789	Adds a 3s delay after combat before the LevelUp menu will show.
STE00000790	Jumping Doesn't Drop Grabbed Item
STE00000791	Stops the grabbed item being dropped when jumping.
STE00000792	No Map Marker Added Popup
STE00000793	Disables the Map Marker Added popup.
STE00000794	Godmode Prevents Leg Cripple Sound
STE00000795	Prevents the leg crippled sound in godmode.
STE00000796	Non Selectable Player In Console
STE00000797	Prevents the player being selected when clicking in console.
STE00000798	Extra Console Details (enabled by default)
STE00000799	Adds extra information when a ref is selected in the console.
STE00000800	Show Full Help
STE00000801	Extra Console Details
STE00000802	Show the extra details from the ToggleFullHelp command (attached scripts etc.).
STE00000803	Show Cell Name
STE00000804	Show the current player cell name at the top left of the console.
STE00000805	Show Cell EditorID
STE00000806	Show the editor ID of the current player cell at the top left of the console.
STE00000807	Show Selected Mesh Path
STE00000808	Show the mesh path of the selected ref (paths for missing meshes are always shown).
STE00000809	Print Errors To Console
STE00000810	Print vanilla debug errors to console.
STE00000811	Print General Errors
STE00000812	Logging
STE00000813	Print general errors.
STE00000814	Print Havok Errors
STE00000815	Print errors from the game's physics/mesh system.
STE00000816	Print Havok Old hkpBody Errors
STE00000817	Print useless 'old hlkpRigidBody' warnings from the game's physics/mesh system.
STE00000818	Print Save/Load Errors
STE00000819	Print errors related to saving/loading.
STE00000820	Print General Messages
STE00000821	Print various general debug information messages.
STE00000822	Hide Misc Quest Items
STE00000823	Hide quest items in the misc PipBoy page.
STE00000824	Show Sunset Sarsaparilla Star Caps
STE00000825	Hide Misc Items
STE00000826	Don't Hide Sunset Sarsaparilla Star Caps.
STE00000827	Pickpocket Overhaul
STE00000828	 the game-settings fPickpocketMaxChance and fPickPocketMinChance are still applied.
STE00000829	Reward XP
STE00000830	Gain XP from successful pickpocketing.\nXPReward = itemWeight * fItemWeightMult + (itemValue * fItemValueMult) + targetPerception
STE00000831	Show success chance
STE00000832	Add the pickpocket success chance to the bottom of the container menu.
STE00000833	Success Percentage Message
STE00000834	Message shown at the bottom of the container menu containing success percentage.
STE00000835	Reverse Pickpocket Karma Penalty Live Grenades Only
STE00000836	Only lose karma when reverse pickpocketing if it's a live explosive.
STE00000837	Base Chance
STE00000838	PickPocketChance = fBaseChance + (playerAgility * fPlayerAgilityMult) + (playerLuck * fPlayerLuckMult) + (playerSneak * fPlayerSneakMult) - (targetPerception * fTargetPerceptionMult) - (detectionValue * fDetectionValueMult) - (itemValue * fItemValueMult) - (itemWeight * fItemWeightMult))
STE00000839	Sneak Mult
STE00000840	Luck Mult
STE00000841	Agility Mult
STE00000842	Item Value Mult
STE00000843	Item Weight Mult
STE00000844	Worn Item Mult
STE00000845	If the item is worn by the NPC, the total chance is multiplied by fWornItemChanceMult.
STE00000846	Target Perception Mult
STE00000847	Detection Value Mult
STE00000848	Repairs Reward XP
STE00000849	Earn XP when repairing items.
STE00000850	XP rewarded
STE00000851	Repair
STE00000852	XP rewarded per item.
STE00000853	Kills Reward AP
STE00000854	Earn Action Points when killing outside of VATS.
STE00000855	AP rewarded
STE00000856	Kill AP Reward
STE00000857	AP rewarded per kill.
STE00000858	No HUD Hotkey Popup
STE00000859	Prevent the hotkey wheel showing when holding a hotkey.
STE00000860	Clip Size Matters
STE00000861	Prevent firing if you don't have enough ammo for one burst.
STE00000862	HUD Shows Location Names
STE00000863	Show interior cell names in the HUD region text where the 'Mojave Wasteland' text is.
STE00000864	Show nearby map markers
STE00000865	Region Names
STE00000866	Show the name of map markers when approaching them.
STE00000867	No Companion Kill XP
STE00000868	Don't reward XP for companion kills - stops companion's attack damage increasing the 'player dealt damage' used when comparing for iXPDeathRewardHealthThreshold.
STE00000869	Companion hits count after player damage
STE00000870	Companion Kill XP
STE00000871	Companion hits count towards the iXPDeathRewardHealthThreshold after the player has hit the NPC.
STE00000872	Hide Ammo Label
STE00000873	Hide the clip/remaining label from the main HUD.
STE00000874	Show total remaining
STE00000875	Clip Rounds
STE00000876	Show the total ammo count instead of clip/remaining.
STE00000877	Scale AP Regen While Overencumbered
STE00000878	Scales AP regeneration while over-encumbered.
STE00000879	AP regen scale
STE00000880	Overencumbered AP
STE00000881	Scale applied to the Action Points regen rate while over-encumbered.
STE00000882	Apply only while moving
STE00000883	Only apply the scale while the player is moving.
STE00000884	Disable Character Respec
STE00000885	Disable the character recreation script that runs when leaving the spawn area.
STE00000886	No Reputation Messages
STE00000887	Disables the reputation pop-ups and messages.
STE00000888	Hide pop-ups
STE00000889	Reputation
STE00000890	Prevent the pop-up menus that require being click out of (e.g. Vilified).
STE00000891	Hide corner gain messages
STE00000892	Prevent the top left corner messages when gaining reputation.
STE00000893	Hide corner loss messages
STE00000894	Prevent the top left corner messages when losing reputation.
STE00000895	Only hide non-scripted losses if at minimum reputation
STE00000896	Prevent loss pop-up and message only if already at the min reputation and if the change was not from a script command.
STE00000897	Only hide non-scripted gains if at maximum reputation
STE00000898	Prevent gain pop-up and message only if already at the max reputation and if the change was not from a script command.
STE00000899	Inventory Sort Button
STE00000900	Add a button to sort/filter the inventory, specified by menus/prefabs/lStewieAl/SortInventoryButton.xml. Use Shift/Control click to cycle through filtering modes.
STE00000901	Add to barter
STE00000902	Inventory Button
STE00000903	Add the button to the Barter menu.
STE00000904	Add to containers
STE00000905	Add the button to the Container menu.
STE00000906	Add to Pip-Boy
STE00000907	Add the button to the Inventory menu.
STE00000908	Default sorting mode
STE00000909	Default sorting/filtering mode for the button.
STE00000910	Hide by Weight
STE00000911	Hide items weighing less than a threshold weight.
STE00000912	Sort by Weight
STE00000913	Sort items by their weight (ignoring stack size).
STE00000914	Hide Quest Items
STE00000915	Hide by Weight and Quest Items
STE00000916	3
STE00000917	Hide by Weight and Quest Items and Sort By Weight
STE00000918	4
STE00000919	Sort by Value Per Weight
STE00000920	Show Healing Items
STE00000921	6
STE00000922	Show Food Items
STE00000923	7
STE00000924	Show Water Items
STE00000925	8
STE00000926	Show Radiation Decreasing Items
STE00000927	9
STE00000928	Weight threshold for hiding
STE00000929	Threshold weight for hiding items in Hide By Weight modes.
STE00000930	Hide mode flags
STE00000931	Hexadecimal value containing the sum of all the desired flags (see readme). e.g. 0x282 would prevent Show Radiation Decreasing Items, Show Food Items and Sort By Weight.
STE00000932	Brighten active button
STE00000933	Brighten the sort button while sorting/filtering is active instead of using a separate icon for inactive sorting.
STE00000934	Controller toggle button
STE00000935	Controller button to toggle sorting.
STE00000936	Start
STE00000937	A
STE00000938	B
STE00000939	X
STE00000940	11
STE00000941	Y
STE00000942	12
STE00000943	LB
STE00000944	15
STE00000945	RB
STE00000946	16
STE00000947	LS
STE00000948	17
STE00000949	RS
STE00000950	18
STE00000951	Controller cycle button
STE00000952	Button to cycle through sorting modes.
STE00000953	Clicking Active Tab Toggles Sorting
STE00000954	Clicking on the current PipBoy inventory tab toggles sorting/filtering.
STE00000955	Allow Rebind Numkeys
STE00000956	Show the number hotkeys in the Controls menu and allow binding controls to the DPAD (note it will conflict with any bound weapon hotkeys). Note Darnified UI does not support additional items in this menu due to a bug.
STE00000957	Disable Weapon Hotkeys
STE00000958	Ignore the DPAD and 1-9 weapon keys outside the pipboy.
STE00000959	Disable HUD Crippled Limb Indicator
STE00000960	Prevents the vaultboy showing on the HUD when a limb is crippled (not the 'LMB' text).
STE00000961	Console Background
STE00000962	Adds a background to the console, specified by menus/prefabs/lStewieAl/ConsoleBackground.xml.
STE00000963	Individual Item Stats
STE00000964	Show weight and value for a single item when viewing stacks of items, instead of the entire stack's weight/value.
STE00000965	Only Allow Waiting While Sitting
STE00000966	Only allow waiting while the player is sat down or in godmode.
STE00000967	Show prevention message
STE00000968	Show a message when waiting is prevented.
STE00000969	Prevention message
STE00000970	Show a message with the current time when waiting is prevented, ignored when using the 'Show prevention message' option.
STE00000971	HUD RGB Sliders
STE00000972	Add RGB sliders for the main HUD color to the settings menu. Note Darnified UI does not support additional items in this menu due to a bug. Optionally make terminals use HUD color.
STE00000973	Terminals use HUD color
STE00000974	RGB Sliders
STE00000975	Make terminals copy the HUD color.
STE00000976	Show Currencies In Containers
STE00000977	Show faction currencies in the misc page for containers, and show Caps in the PipBoy misc tab.
STE00000978	Hide Grenade Indicator For No Damage Explosions
STE00000979	Hide the grenade indicator for projectiles whose explosions do no damage.
STE00000980	Unspoken NPC Indicator
STE00000981	Add a * to the prompt for NPCs who haven't been spoken to.
STE00000982	No Scale NPC Damage Threshold By Condition
STE00000983	Don't scale NPC armor damage threshold based on condition.
STE00000984	No Scale NPC Damage Resistance By Condition
STE00000985	Don't scale NPC armor damage resistance based on condition.
STE00000986	No Scale NPC Damage By Condition
STE00000987	Don't scale damage by NPCs based on their weapon condition.
STE00000988	Sort Unavailable Radios To Bottom
STE00000989	Fix a vanilla bug where unavailable radios aren't sorted to the bottom of the list.
STE00000990	Prevent Generic Follower Topics
STE00000991	Prevents companions saying when they are injured, needing ammo, weapons etc.
STE00000992	Disable Tutorial Messages
STE00000993	Disables hard-coded one-time tutorial menu messages, e.g. hacking, lockpick, PipBoy. Does not disable non-hardcoded messages such as 'Press V to use VATS' etc.
STE00000994	Barter Check Actor Buy Sell Flags
STE00000995	Make vendors obey their Buy/Sell flags, hiding items the vendor doesn't accept.
STE00000996	Ammo Requires Weapons
STE00000997	Barter Use Buy Sell Flags
STE00000998	Only buy/sell ammo if vendor buys/sells weapons.
STE00000999	Keep Selected Console Ref
STE00001000	Remembers the selected ref when closing the console (provided it is still loaded).
STE00001001	No Fast Travel Time Change
STE00001002	Don't progress time or hardcore needs when fast traveling.
STE00001003	Sleep In Owned Beds
STE00001004	Allow sleeping in owned beds.
STE00001005	Detected By Whom
STE00001006	 Easy Pete, Sunny Smiles, and 2 others]
STE00001007	Maximum name count
STE00001008	Names to display before showing \and N others\.
STE00001009	Detected String
STE00001010	 )
STE00001011	Actors String
STE00001012	String shown when the max name count is 0.
STE00001013	Others String
STE00001014	String shown when more than iMaxNameCount actors are detecting the player.
STE00001015	Plural String
STE00001016	Appended to 'and %d other(s)'.
STE00001017	Running Costs AP
STE00001018	Adds an Action Points cost for running.
STE00001019	Base action points cost.
STE00001020	AP cost endurance mult
STE00001021	Endurance multiplier for AP cost.
STE00001022	Time between AP reductions (in milliseconds).
STE00001023	Always allows running, preventing AP gain when at 0.
STE00001024	In combat only
STE00001025	Only decrease action points when running while in combat.
STE00001026	AP regeneration mult
STE00001027	Action point regen multiplier while moving.
STE00001028	Hide Completed Quests
STE00001029	Don't display completed quests in the PipBoy Quests tab.
STE00001030	Hold Wait Key To Show Menu
STE00001031	Makes the sleep/wait button require to be held instead of instantly showing when pressed.
STE00001032	Key hold time
STE00001033	Wait Key
STE00001034	Time the wait key must be held before the wait menu is shown (in milliseconds).
STE00001035	Use Fallout 3 Audio Distortion
STE00001036	Use a distortion algorithm similar to the one in Fallout 3 for NPCs wearing masks (sounds more metallic and less muffled).
STE00001037	Keep XP Bar When Closing Menus
STE00001038	Stops the XP bar being hidden when closing a menu (e.g. Hacking, Dialogue or Lockpicking).
STE00001039	Pick Locks Without Skill
STE00001040	Allow picking locks of any level.
STE00001041	Scale difficulty
STE00001042	Remove Lock Skill Requirement
STE00001043	 sweetSpot = vanillaSweetSpot * (skillLevel / skillReq)
STE00001044	Hack Terminals Without Skill
STE00001045	Allow hacking terminals of any level.
STE00001046	Turn Further While Seated
STE00001047	Increase the maximum rotation while seated to -115 <-> 115 degrees (from vanilla -90 <-> 90) in first person, and full 360 degrees in third person.
STE00001048	Loot Unconscious Victims
STE00001049	Allows unconscious actors to be looted.
STE00001050	Color Recently Added Map Markers
STE00001051	Show map markers added this session in red. Map markers given to you are displayed in red until the save is reloaded.
STE00001052	Custom Default Pipboy Tab
STE00001053	Makes the PipBoy always open to the same tab when the MenuMode key is pressed (F1/F2/F3 still navigate to their respective categories).
STE00001054	Default Tab
STE00001055	Default Pipboy Tab
STE00001056	DATA - Last-Selected
STE00001057	37
STE00001058	DATA - Radio
STE00001059	36
STE00001060	DATA - Misc
STE00001061	35
STE00001062	DATA - Quests
STE00001063	34
STE00001064	DATA - World-Map
STE00001065	33
STE00001066	DATA - Local-Map
STE00001067	32
STE00001068	ITEMS - Last-Selected
STE00001069	21
STE00001070	ITEMS - Ammo
STE00001071	ITEMS - Misc
STE00001072	19
STE00001073	ITEMS - Aid
STE00001074	ITEMS - Apparel
STE00001075	ITEMS - Weapons
STE00001076	STATS - Last-Selected
STE00001077	STATS - General
STE00001078	STATS - Perks
STE00001079	STATS - Skills
STE00001080	STATS - SPECIAL
STE00001081	STATS - Status
STE00001082	0
STE00001083	Show Weapon Ammo Use In Menus
STE00001084	Show the ammo used per shot when viewing a weapon in the inventory. e.g. when viewing a Tri-Beam Laser Rifle, the ammo display will be 'MF Cell x 3'.
STE00001085	No Place Marker Popup
STE00001086	Don't show the Place/Remove marker when placing markers on the map.
STE00001087	Shift+click to remove
STE00001088	Place Marker Popup
STE00001089	Makes right clicking always place the map marker (instead of toggling it being placed/removed). If shift is held while clicking, the marker will be removed.
STE00001090	24-Hour Sleep Wait Clock
STE00001091	Changes the sleep/wait clock to be in 24 hour format.
STE00001092	12-Hour Pipboy Clock
STE00001093	Changes the PipBoy clock to be in 12 hour format.
STE00001094	Respawning Container Indicator
STE00001095	Adds a warning in the subtitles bar if the opened container is set to respawn.
STE00001096	Warning message
STE00001097	Container Respawn Warning
STE00001098	Warning message shown on containers that respawn.
STE00001099	Local Map Respawned Cell Indicator
STE00001100	Show respawned cells as red, and unvisited cells as white on the local map.
STE00001101	Show respawned cells
STE00001102	Respawned Cell Indicator
STE00001103	Color respawned cells in red.
STE00001104	Show unvisited cells
STE00001105	Color unvisited cells in white.
STE00001106	Better Pickup Prompt
STE00001107	Show the value and weight for a whole stack of items while looting and indicate the weight in red if it would overencumber you.
STE00001108	Hide Equipped Items In Barter
STE00001109	Hides equipped items in the barter menu.
STE00001110	Hide Equipped Items In Containers
STE00001111	Hides equipped items in the containers.
STE00001112	No Food Worn Off Message
STE00001113	Prevents the 'worn off' message for food items.
STE00001114	Keep Quest Text Visible While Aiming
STE00001115	Stops the quest/location texts being hidden when aiming.
STE00001116	Allow Teammates Use Meltdown
STE00001117	Allow teammates to use the meltdown effect if the player has the Meltdown perk.
STE00001118	No Self Explosion Damage
STE00001119	Prevents damage from your own explosions (NPCs can still harm themselves).
STE00001120	Hold To Activate
STE00001121	Hold the activate key instead of pressing it to activate various objects.
STE00001122	Work on containers and NPCs
STE00001123	Activate Key
STE00001124	Hold activate to loot containers or search NPCs.
STE00001125	Work on furniture
STE00001126	Hold activate to interact with furniture (including beds).
STE00001127	Work on water
STE00001128	Hold activate to drink from a tap or puddle.
STE00001129	Work on crafting tables
STE00001130	Hold activate to interact with campfire, crafting and reloading benches.
STE00001131	Take items while held
STE00001132	Takes items while the activate key is held (doesn't activate containers, NPCs etc.).
STE00001133	Item pick up delay
STE00001134	Delay before items will be taken with \Take items while held\ active.
STE00001135	Don't over-encumber
STE00001136	Prevent auto-pickup of items that would encumber the player, unless the player is already encumbered.
STE00001137	Delay stealing
STE00001138	Delay stealing the first item by 'Steal Delay Timer'.
STE00001139	Steal Delay Timer
STE00001140	Delay (in milliseconds) before stealing where no delay is required to steal again.
STE00001141	Remember Pipboy Scroll Positions
STE00001142	Store PipBoy scroll positions between sessions (per save).
STE00001143	No Weapon Condition Damage Penalty
STE00001144	Weapons always deal their max damage regardless of condition.
STE00001145	Player Melee Damage Ignores Scale
STE00001146	Makes the player's melee damage independent of their height/scale.
STE00001147	Hide Map Marker Faction Reputation
STE00001148	Hide the faction reputation from map markers on the world map.
STE00001149	Compare Weapon Stats
STE00001150	Show - and + on weapon DPS/DAM relative to the equipped weapon.
STE00001151	Sleep Wait Anywhere
STE00001152	Allow sleeping/waiting anywhere.
STE00001153	Sleep in combat
STE00001154	Allow sleeping during combat.
STE00001155	Sleep in radiation
STE00001156	Allow sleeping while being irradiated.
STE00001157	Sleep mid-air
STE00001158	Allow sleeping mid-air.
STE00001159	Sleep while taking damage
STE00001160	Allow sleeping while taking damage.
STE00001161	Sleep underwater
STE00001162	Sleep with the fishes.
STE00001163	Sleep while trespassing
STE00001164	Allow sleeping while trespassing.
STE00001165	No Interior Black Loading Screen
STE00001166	Remove the black loading screen when loading an interior cell, and prevent actors being faded in.
STE00001167	Fade in
STE00001168	Interior Transition
STE00001169	Fade the edges of the screen based on the fFadeToBlackFadeSeconds game-setting.
STE00001170	Character Melee Damage Ignores Scale
STE00001171	Stops NPC and player scale affecting their melee damage.
STE00001172	Skip Skill Menu If No Points To Assign
STE00001173	Skip the assign skill points screen if you have no points to assign but have perks to assign.
STE00001174	Custom Armor Condition Penalty
STE00001175	Allow a custom scale applied to armor DR/DT based on their condition.
STE00001176	DR/DT Scale
STE00001177	Armor Condition Penalty
STE00001178	Scale applied to DR/DT when below the condition threshold.
STE00001179	Hitting Weapons Doesn't Damage Them
STE00001180	Prevents player and enemy weapons being damaged when shot at.
STE00001181	No Exterior Load Screens
STE00001182	Removes load screen backgrounds when exiting interiors (intentionally excludes when loading a save).
STE00001183	Ultrawide Support
STE00001184	 - The size of the 'Fade-to-black' transition now takes up the entire screen instead of a small rectangle (as seen when loading a save or transitioning between areas). -Adjusts the FOV for various rendered menus such as the Vigor Tester, Terminal and LockPick menus, and the HUDMainMenu for scope zoom. This fixes the menus being too zoomed in.
STE00001185	Menu FOV scale
STE00001186	Scale applied to menus/scope. Vanilla uses 0.75.
STE00001187	Weightless Worn Armor
STE00001188	Scale the weight of equipped armor.
STE00001189	Character Non Melee Damage Ignores Scale
STE00001190	Stops NPC and player scale affecting their non-melee damage.
STE00001191	Player Non-Melee Damage Ignores Scale
STE00001192	Stops player scale affecting non-melee damage.
STE00001193	Weightless Aid Items In Non-Hardcore
STE00001194	Makes aid items weightless in non-hardcore.
STE00001195	Weightless Items
STE00001196	Makes items weightless (by category).
STE00001197	Weightless armor
STE00001198	Weightless aid items
STE00001199	Weightless ammo
STE00001200	Weightless weapons
STE00001201	Weightless misc items
STE00001202	Hide Crosshair In First Person
STE00001203	Hides the crosshair in first person (keeping it in third person).
STE00001204	Hide Crosshair In Third Person
STE00001205	Hides the crosshair in third person (keeping it in first person).
STE00001206	No Casino Bans
STE00001207	Prevents bans from casinos.
STE00001208	No Sneak Attack Criticals
STE00001209	Disables sneak attack criticals by the player.
STE00001210	NPCs Can Sneak Crit Player
STE00001211	Allows NPCs to land sneak attack criticals on the player and on each other. - can be used alongside bNoSneakAttacksCriticals (making it 'No Player Sneak Attack Criticals').
STE00001212	NPCs Can Disarm Player
STE00001213	Allows NPCs to disarm the player.
STE00001214	Sneak Criticals Only Melee Weapons
STE00001215	Only allow sneak attack criticals with melee weapons.
STE00001216	Show Quest And No DRDT Items In Repair Menu
STE00001217	Unhide quest items and armors with no DR or DT from the repair services menu.
STE00001218	Disable Godmode On Load
STE00001219	Disables godmode when loading/reloading a save.
STE00001220	Invert Container Title Scrollwheel Direction
STE00001221	Inverts the direction of category change when using scroll-wheel on a container's title.
STE00001222	HUD Fatigue Indicator
STE00001223	Adds a fatigue indicator similar to the FOD and H2O labels in hardcore.
STE00001224	Allow Weapon Hotkeys And PipBoy While Reloading
STE00001225	Allows switching weapons using weapon hot-keys, and opening the PipBoy while reloading.
STE00001226	No Disarm Companions
STE00001227	Prevents companions from being disarmed in combat.
STE00001228	Allow Firing While Landing
STE00001229	Allows firing weapons while lower body animations are playing.
STE00001230	Fire While Aiming
STE00001231	Allows firing weapons while aiming in and out.
STE00001232	Dont Allow Console Till Loading Is Done
STE00001233	In vanilla it's possible to load a save using the console before settings (e.g. disable controller) have been loaded, this prevents opening the console till this loading has finished.
STE00001234	Power Attack While Overencumbered
STE00001235	Allow melee power attacks while overencumbered.
STE00001236	Slow Breath Regen
STE00001237	Slowly regenerate the H2O meter when not underwater instead of instantly refilling it when resurfacing.
STE00001238	Breath regen rate
STE00001239	Water Breath
STE00001240	Rate at which breath is restored to max - setting to 1.0 restores the entire bar in 1 second, 0.5 in 2 seconds etc.
STE00001241	Show breath regen while not underwater
STE00001242	Show the breath meter when not underwater if it's not 100%.
STE00001243	Note Menu Show Separate Menu
STE00001244	Show the scroll menu when clicking on a note in the PipBoy (requires textures and XML from Book Menu Restored).
STE00001245	Require holding Shift
STE00001246	Note Menu
