GID99999990	Energy Rifle
GID00031570	Hotkey 5
GID00031571	Footstep
GID00031572	Preset:
GID00031573	Beard flushed/pale
GID00031574	Plunderer
GID00031575	Hotkey 6
GID00031576	ROBCO INDUSTRIES (TM) TERMLINK PROTOCOL
GID00031577	You don't have enough Magicka
GID00031578	Fat Cat
GID00031579	Hotkey 7
GID00031581	Cauterizing tool
GID00031583	You already have that kind of Bound Item
GID00031584	Marauder
GID00031586	Hotkey 8
GID00031587	Press Any Button to Continue
GID00031588	Enable Help
GID00031589	Pirate of the Wastes
GID00031590	Handle Weapon
GID00031591	Left
GID00031592	LOCKPICKING
GID00031593	Give away
GID00031594	Betrayer
GID00031595	Melee - Thrown
GID00031596	Stay Close
GID00031597	Randomize
GID00031598	Chin wide/thin
GID00031599	her
GID00031600	Desert Terror
GID00031601	Stomp
GID00031603	RAD RESIST
GID00031604	Eyes together/apart
GID00031605	Actor Fade
GID00031606	Reputation
GID00031607	Damage
GID00031608	The Xbox 360 Controller has been disconnected. Click OK to use the Keyboard/Mouse, or reconnect the Xbox 360 Controller and press the A Button.
GID00031609	Be Aggressive
GID00031610	L-Shift
GID00031611	Steal
GID00031612	360 Controller
GID00031613	Nose bridge shallow/deep
GID00031614	Underbite/Overbite
GID00031615	Facial Hair
GID00031616	Forehead tall/short
GID00031617	the Right Stick Down
GID00031619	Your armor condition is dangerously low.
GID00031621	Overwrite this game?
GID00031622	Mouth-Chin Dist.
GID00031623	Your left arm is now crippled.
GID00031624	Day
GID00031625	Bridge Depth
GID00031626	Neutral
GID00031627	Mouse2
GID00031628	There was an error accessing the device. Please try again.
GID00031629	Your heavy armor is causing you to sink.
GID00031631	Bridge Length
GID00031632	his
GID00031633	No one's sure what to make of your unpredictable nature, but you've left a strong impression.
GID00031634	Fall
GID00031635	Allowance
GID00031636	Good Natured Rascal
GID00031637	March
GID00031639	Flat/Pointed
GID00031640	replenished.
GID00031641	Talk
GID00031642	Defaults
GID00031643	Nostril Tilt
GID00031644	chip
GID00031646	S.P.E.C.I.A.L.
GID00031647	Nostril Size
GID00031648	CND
GID00031649	You must first equip a weapon that can be poisoned.
GID00031650	Nostrils Wide/Thin
GID00031651	VDSG MANUAL
GID00031652	You need a lockpick skill of [%] to pick this lock.
GID00031653	Nose sellion lower shallow/deep
GID00031654	Mouth tilt up/down
GID00031656	Wait
GID00031658	Saving content.[CRLF]Please don't turn off your console.
GID00031659	Winnings to Date:
GID00031660	LVL
GID00031661	Status
GID00031662	the Right Stick Right
GID00031663	Face thin/wide
GID00031665	You cannot cast ranged spells underwater
GID00031666	You must sleep in a jail bed in order to serve your sentence.
GID00031667	Total Cards:
GID00031668	ADDICT
GID00031670	Despite your reputation as a thug, you are known to occasionally show a charitable side.
GID00031671	Warrior's Festival
GID00031672	Main
GID00031673	Read
GID00031674	Hated
GID00031675	No items to repair
GID00031677	Hard
GID00031678	Video
GID00031679	Ne'er-do-well
GID00031680	Are you sure you want to quit?
GID00031681	Vegas Crimelord
GID00031683	Select Card
GID00031684	Use Key
GID00031685	Smiling Troublemaker
GID00031686	Defiler
GID00031687	Normal
GID00031688	You cannot sleep when enemies are nearby.
GID00031689	Mojave Boogeyman
GID00031690	Sleep
GID00031692	Melee - Two Hand
GID00031693	Button 3
GID00031695	Select
GID00031696	Disable Help
GID00031697	You've gained Karma!
GID00031698	You successfully harvest [%].
GID00031699	Sword of Despair
GID00031700	Button 4
GID00031701	You no longer have dehydration sickness.
GID00031703	Help
GID00031704	DR
GID00031705	correct
GID00031706	Vegas Boogeyman
GID00031707	Button 5
GID00031708	Load Saved Game
GID00031709	Cheekbones low/high
GID00031710	Villain of the Wastes
GID00031712	Button 6
GID00031713	Your heavy armor prevents you from jumping.
GID00031714	Pip-Boy Color
GID00031716	None
GID00031718	Button 7
GID00031719	You cannot save right now.
GID00031720	Play Time
GID00031721	Wasteland Destroyer
GID00031722	Trespass
GID00031723	Button 8
GID00031724	Tune
GID00031725	Evil Incarnate
GID00031726	Prev Challenge Type
GID00031727	Blue
GID00031728	Unequip
GID00031729	Up-Rt
GID00031730	Quickload
GID00031731	Caravan Deck
GID00031732	Merchant doesn't have enough caps.
GID00031733	You cannot sleep while in combat.
GID00031734	Potion
GID00031735	July
GID00031736	Pickpocket
GID00031737	[%] is unconscious.
GID00031738	Apprentice
GID00031739	Chin tall/short
GID00031740	Samaritan
GID00031741	Murder
GID00031742	[%] signal lost.
GID00031743	You can not drop objects while in the air.
GID00031744	Sellion Height
GID00031745	Martyr
GID00031746	Vol -
GID00031747	Force Lock
GID00031748	Sellion Depth
GID00031749	Brow Ridge Inner up/down
GID00031750	Take All
GID00031751	Sentinel
GID00031753	You cannot wait while in combat.
GID00031754	!!! WARNING: LOCKOUT IMMINENT !!!
GID00031755	Most people say you're the devil himself, but they also admit you've done a bit of good.
GID00031756	Idolized
GID00031757	Defender
GID00031758	Sellion Width
GID00031759	Dignitary
GID00031761	You can't pick a lock while being pursued by guards.
GID00031762	Short/Long
GID00031763	Eyes dark brown/light blue
GID00031765	Peacekeeper
GID00031766	Stimpak
GID00031767	Tilt Down/Up
GID00031768	Nose nostrils wide/thin
GID00031769	Mouth lips large/small
GID00031770	Ranger of the Wastes
GID00031771	Eye Color
GID00031772	Protector
GID00031773	Desert Avenger
GID00031774	Save successful.
GID00031775	Discard Selected
GID00031776	Texture Size
GID00031778	Low
GID00031779	RAD
GID00031780	Delete
GID00031781	This lock cannot be picked. It requires a key to open.
GID00031782	Alcohol
GID00031783	Main Menu
GID00031784	Drain
GID00031785	Recharge
GID00031786	Quicksave
GID00031787	Target Level
GID00031788	All Cards
GID00031789	Aiming
GID00031790	Value
GID00031791	Fortify
GID00031792	Pick
GID00031793	True Iron Sights
GID00031794	A little bit good mixed with a little bit bad, people haven't figured you out yet.
GID00031795	RMB)
GID00031796	First Dozen
GID00031797	Cheekbones shallow/pronounced
GID00031798	Surgery
GID00031799	CND
GID00031800	SKILLS: [%]/[%] Selected
GID00031801	* Font indices map to the corresponding texture filenames ("sFontFile_#") in Fallout.ini (PC/PS3) and FalloutXenon.ini (360)!
GID00031802	D-pad Left / Right
GID00031804	Challenges
GID00031806	Press START
GID00031808	AM
GID00031809	Eye sockets bruised/bright
GID00031810	Scourge of the Wastes
GID00031811	D-pad Up / Down
GID00031813	Discard Track
GID00031815	Merchant's Festival
GID00031816	Architect of Doom
GID00031817	You have not won enough at this casino to play this game.
GID00031818	Bringer of Sorrow
GID00031819	Experience Points Earned
GID00031821	DAM
GID00031822	Deceiver
GID00031823	the left button
GID00031824	[%] has worn off.
GID00031825	Consort of Discord
GID00031826	Feed/Talk
GID00031828	Finish Bet
GID00031829	Stuff of Nightmares
GID00031830	Agent of Chaos
GID00031831	You no longer have Hunger sickness
GID00031834	Play Time
GID00031836	Ingredients
GID00031837	he
GID00031838	Instrument of Ruin
GID00031840	Throw
GID00031841	Increase Bet
GID00031842	Eye shades
GID00031845	Soultaker
GID00031848	Follow Me
GID00031850	Cheek blush light/red
GID00031851	Demon Spawn
GID00031852	You have not selected a storage device. You will need to select one before you can save. Until then, Autosave is disabled.
GID00031853	You break even
GID00031854	Crouch
GID00031856	That key cannot be remapped
GID00031858	Quests
GID00031859	Alteration
GID00031860	Do you want to steal this horse?
GID00031863	Surrender
GID00031864	Light
GID00031866	Radiation
GID00031868	Mouth high/low
GID00031869	WELCOME TO ROBCO INDUSTRIES (TM) TERMLINK
GID00031870	Exemplar
GID00031871	Remove
GID00031872	Brow Ridge Outer up/down
GID00031873	EFFECTS
GID00031875	Enough news of your good works has been passed around that people like you.
GID00031876	Vegas Crusader
GID00031878	You cannot equip this item.
GID00031880	Body
GID00031881	Perks
GID00031882	Complexion
GID00031883	Weight
GID00031884	ENTER PASSWORD NOW
GID00031885	Large
GID00031887	Paladin
GID00031888	D-Pad
GID00031889	Stay
GID00031891	ATTEMPT(S) LEFT:
GID00031892	Mojave Legend
GID00031893	The current weapon is already poisoned.
GID00031896	Cheeks concave/convex
GID00031897	Map marker added.
GID00031898	Shield of Hope
GID00031900	Save
GID00031901	Hair Color
GID00031902	CHOOSE [%] TRAIT
GID00031904	Initializing Robco Industries(TM) MF Boot Agent v2.3.0
GID00031905	Vegas Legend
GID00031906	Hero of the Wastes
GID00031908	Your Sleep Deprivation level has decreased
GID00031909	Yes, restart the game.
GID00031910	Start a new game? This will[CRLF]overwrite your Autosave if present.
GID00031911	Paragon
GID00031914	Copyright 2201-2203 Robco Ind.
GID00031915	Wasteland Savior
GID00031916	Very Hard
GID00031918	Addiction
GID00031919	Saint
GID00031920	The save game is corrupt. Returning to game.
GID00031921	Wait Here
GID00031922	Power
GID00031923	Journeyman
GID00031924	You win
GID00031925	Eyebrows low/high
GID00031926	Green
GID00031927	Talk To
GID00031928	Eyes whites dim/bright
GID00031929	Face
GID00031930	June
GID00031931	D-pad Right
GID00031932	You cannot sit on owned furniture.
GID00031933	Select
GID00031934	Wilderness
GID00031935	Up
GID00031936	Fast travel is currently unavailable from this location.
GID00031937	Combat
GID00031938	Continue from your last saved game?
GID00031939	Beard moustache light/dark
GID00031940	Choose up to [%] Trait
GID00031941	Challenge Completed
GID00031942	Magnitude
GID00031943	Notes
GID00031944	Lipstick dark blue/light red
GID00031947	Style
GID00031949	Female
GID00031951	Equip
GID00031952	Attack
GID00031953	Loading downloadable content. Please wait.
GID00031954	Saving...
GID00031955	Your weapon condition is dangerously low.
GID00031956	Very Evil
GID00031957	Invert Y
GID00031958	You cannot wait while being irradiated.
GID00031959	Distribute [%] Point
GID00031961	Spray
GID00031962	Leveled Actor Effect
GID00031963	Duration
GID00031964	Autoloading...
GID00031965	XP
GID00031966	Audio
GID00031967	People know you're good at heart even though you're occasionally a troublemaker.
GID00031968	Tales and Tallows
GID00031969	Saturday
GID00031970	Skin tint orange/blue
GID00031971	Nose sellion thin/wide
GID00031972	Mixed
GID00031973	Devil
GID00031974	Loading distant LOD...
GID00031975	CANNOT REPAIR PAST [%]
GID00031976	Nose tilt down/up
GID00031978	Merciful Thug
GID00031979	Text File
GID00031980	Use Stimpak
GID00031981	Offer refused
GID00031982	Drink
GID00031983	Target
GID00031984	Skin flushed/pale
GID00031985	Save Game
GID00031986	November
GID00031987	Quicksaving...
GID00031988	Evil
GID00031989	Save On Travel
GID00031990	Brightness
GID00031991	wait
GID00031992	Sex
GID00031993	Take
GID00031994	player
GID00031995	[INACCESSIBLE]
GID00031996	Up-Left
GID00031997	Uppermem: 64 KB
GID00031998	Run
GID00032000	Eyes tilt inward/outward
GID00032001	Guardian of the Wastes
GID00032002	Your head is now damaged.
GID00032003	Maintenance Mode
GID00032004	Restorer of Faith
GID00032005	Raise
GID00032006	ASSIGN [%] SKILL POINTS
GID00032007	Model of Selflessness
GID00032008	[%] has been damaged
GID00032009	The selected storage device does not have sufficient space available to save your progress. Autosave is disabled. Please select another device or delete some of your saved content.
GID00032011	Eyebrows
GID00032012	[CAUTION]
GID00032014	Shepherd
GID00032015	ENERGY RESIST
GID00032016	FIRE RESIST
GID00032017	Mod Configuration
GID00032022	Do you want to travel to [%]?
GID00032068	Breakdown [%]
GID00032069	[%] removed
GID00032070	[Return] [%]
GID00032071	You have discovered [%]
GID00032076	Fist
GID00032077	How Long Would You like to sleep?
GID00032078	1 hour
GID00032079	[%] hours
GID00032080	[%] ft.
GID00032081	[%] m.
GID00032082	Explosives
GID00032083	Click To Load
GID00032084	Log Update
GID00032085	Broken
GID00032086	[Locked - Very Easy]
GID00032087	[Locked - Easy]
GID00032088	[Locked - Average]
GID00032089	[Locked - Hard]
GID00032090	[Locked - Very Hard]
GID00032091	[Locked - Broken]
GID00032092	[%] Map marker added.
GID00032095	Lvl.[%] [%]
GID00032096	Range [%]
GID00032097	Melee [%]
GID00032098	Unarmed [%]
GID00032099	Throwable [%]
GID00032100	Placeable [%]
GID00032101	Tool [%]
GID00032108	Are you sure you want this to be your face?
GID00032109	WG: [%]   VAL: [%]
GID00032110	Critical Strike on [%]
GID00032111	Critical Strike on [%]'s [%]
GID00032113	Are you sure you want this to be your character?
GID00032116	Characters
GID00032117	Location Discovered:  [%]
GID00032118	Level [%]: [%]
GID00032119	Play Time: [%]
GID00032121	The Mod Configuration Menu (MCM) has been installed.
GID00032122	H2O: [%]   Rads: [%]
GID00032123	RADIOLOGICAL BIOLOGICAL CHEMICAL REPORT
GID00032124	View
GID00032125	CHC
GID00032126	V/W
GID00032127	Companion
GID00032128	[Requires Key]
GID00032129	Weap.
GID00032131	FOD [%], HP [%]
GID00032132	H2O [%], HP [%]
GID00032134	Attacks Parried
GID00032135	CHOOSE UP TO 2 TRAITS  OR NONE
GID00032136	Edit Traits
GID00032137	Examine Damaged Robot
GID00032138	Barter
GID00032139	Challenge Completed:  [%]
GID00032140	Distribute [%] Points
GID00032141	Tag [%] Skills
GID00032144	Note From a Stranger
GID00032145	[%].  Map marker added.
GID00032147	Las Vegas
GID00032151	ON
GID00032153	Super Stimpak Debuff, HP +[%]
GID00032154	Randomize Caravan Deck
GID00032156	The mine was broken when disarmed.
GID00032157	Sneak Attack Critical on [%]
GID00032158	Sneak Attack Critical on [%]'s [%]
GID00032159	-Server [%]-
GID00032160	>Entry denied
GID00032161	>[%] correct.
GID00032162	[%] ATTEMPT(S) LEFT:
GID00032163	>Please wait
GID00032164	>Exact match!
GID00032165	> LOGON ADMIN
GID00032166	>while system
GID00032167	>is accessed.
GID00032169	Version Info: ENGLISH
GID00032170	AGL < [%]
GID00032171	PER < [%]
GID00032172	>Dud removed.
GID00032173	>Allowance
GID00032174	>replenished.
GID00032175	Bonus Critical Chance, [%]
GID00032176	H2O
GID00032177	Caps[%]
GID00032178	How long would you like to wait?
GID00032179	Force Lock [%]
GID00032180	[Locked - Use Key]
GID00032181	[%] hour ([%] PM)
GID00032182	[%] hour ([%] AM)
GID00032183	[%] hours ([%] PM)
GID00032184	[%] hours ([%] AM)
GID00032185	HP [%]
GID00032186	[%]In order to heal a crippled limb, you have three choices: sleep in a bed, find a doctor, or use a Stimpak to heal yourself. In Hardcore Mode, you may only heal crippled limbs by using Doctor's Bags or by visiting a doctor for medical care.[%]Stimpaks can be used for general healing (which will also slightly heal crippling damage), or they can be applied directly to a limb to heal crippling damage.[%]To heal a crippled limb directly using a Stimpak, navigate to the Stats screen in your Pip-Boy, then press [%] to switch to Limb mode. Now you can use [%] to select a limb, and [%] to use a Stimpak on the selected limb.[%]Hardcore Mode, you may only heal crippled limbs by using Doctor's Bags or by visiting a doctor for medical care.
GID00032187	>Lockout in
GID00032188	View Mods
GID00032190	You have [%] lockpick skill required to pick this lock.
GID00032191	You have [%] science skill required to hack this terminal.
GID00032192	Honest Hearts
GID00032193	FALLOUT: NEW VEGAS
GID00032194	ScreenShot: File '[%]' created.
GID00032195	Repair All
GID00032196	[%] was equipped.
GID00032197	Max HP
GID00032198	Silencer
GID00032199	[Black Widow][%]
GID00032200	[Lady Killer][%]
GID00032201	[Cherchez La Femme][%]
GID00032202	[Confirmed Bachelor][%]
GID00032203	[Terrifying Presence][%]
GID00032204	Wg   [%]
GID00032205	[%] Frenzied
GID00032206	In order to heal a crippled limb, you have three choices:s[%]leep in a bed, find a doctor, or use a Stimpak to healy[%]ourself. In Hardcore Mode, you may only heal crippledlimbs by using Doctor's Bags or by visiting a doctor form[%]edical care.S[%]timpaks can be used for general healing (which will alsos[%]lightly heal crippling damage), or they can be applieddirectly to a limb to heal crippling damage.T[%]o heal a crippled limb directly using a Stimpak, navigatet[%]o the Stats screen in your Pip-Boy, then left-click on alimb to use a Stimpak on that limb.
GID00032207	Increases rate of fire ([%]).
GID00032208	You feel lucky. You win [%] chip(s)
GID00032209	You lose [%] chip(s)
GID00032210	You win [%] chip(s)
GID00032212	Bet: [%]  Payout: [%]
GID00032213	Bet:  Payout: 
GID00032214	Modded Range [%]
GID00032215	Modded Melee [%]
GID00032216	Modded Unarmed [%]
GID00032217	Modded Throwable [%]
GID00032218	Modded Placeable [%]
GID00032219	Modded Tool [%]
GID00032220	Skill [%]
GID00032221	HP  [%] Stimpak  [%]
GID00032222	Poisoned!
GID00032223	DR [%], DT [%] S.P.E.C.I.A.L. [%]
GID00032224	[%]:[%]:[%] remaining
GID00032225	Gather Cloud Residue
GID00032226	This lock cannot be picked. It requires a key to open. [%].
GID00032227	Sinclair's Outfit
GID00032228	Fail: [%]
GID00032229	Skill [%]
GID00032230	Happy Trails Shipping Crat...
GID00032231	Repair Skill   [%]
GID00032232	[%] saves used.
GID00032234	Notifications Log
GID00032235	0 hour
GID00032236	ContdG
GID00032237	LMB)
GID00032238	Empty
GID00032239	CHD
GID00032240	MMB)
GID00032241	Mousewheel)
GID00032245	Fame
GID00032246	Infamy
GID00032247	[Locked - Use Password]
GID00032248	Quest Start: [%]
GID00032249	Quest Failed: [%]
GID00032250	Quest Completed: [%]
GID00032252	NVCHS requirement not detected! Install latest [%].
GID00032253	Quest Popup Patch requirement not detected! Install latest [%].
GID00032254	Added:
GID00032255	Complete:
GID00032256	How many? ([%] Caps)
GID00032257	Air
GID00032258	Vert Sensitivity
GID00032259	Horiz Sensitivity
GID00032260	Fail:
GID00032261	HUD Red
GID00032262	HUD Green
GID00032263	HUD Blue
