SEV00000001	斗篷
SEV00000540	我只是在称赞你惊人的智慧，沃克。你真是个奇迹，很高兴能和你在一起。
SEV00000541	嘿，至少他不喜欢收集猎蜂的毒液。这就是我乐观的秘诀...记住，事情总是可以变得更糟。
SEV00000542	你他妈开什么玩笑。
SEV00000543	然后去大猎场。我会...跟在你和野蛮比尔二世的身后，看你们在死亡爪形状的风车上玩耍。
SEV00000544	他可能会在斯隆。
SEV00000545	然后去大猎场。我会...跟在你和野蛮比尔二世的身后，看你们在死亡爪形状的风车上玩耍。
SEV00000546	我可能知道一个地方。
SEV00000547	我不需要也不想隐瞒。她是一头腐臭的、肤浅的母牛，看着她像金鱼一样被鞭打，我的灵魂感到温暖。
SEV00000548	不过，我确实后悔杀了比尔。了不起的语言学家，热爱他对孤立语言的研究，我想他溺水时是用巴斯克语和阿伊努语尖叫的。
SEV00000549	我不会高谈阔论说什么伟大的、内在的转变。那只是一种顿悟，仅此而已。我现在活得自由自在，不回头。
SEV00000550	你对杀死你的前配偶这件事很坦率。
SEV00000551	噢，别这样。事后看来，她是头跋扈的母兽...性情更接近尸罗，总是吸走我的快乐...但绝不会吸走我的种子。
SEV00000552	那也是一段时间以前的事了。如果不是原子的祝福，我早就被埋在加利福尼亚的某个简单的墓地里，被人遗忘了。
SEV00000553	很抱歉让你经历这些。
SEV00000554	朋友，就算是屎也是上完七道菜的屎，而且我很美味，你连一半都不知道。我只是活得很充实，你应该试试。
SEV00000555	你真是一坨屎。
SEV00000556	[成功]好吧，搪塞也没用。我...可能从博丁那里偷了一小笔钱。他反应过度了，他是个禽兽。
SEV00000557	没有对话，没有话语，只有原始的殴打。没收股份和放逐就足够了，我也不是第一次了。
SEV00000558	不，他故意羞辱我，贬低我，就像我妻子一样。你还记得她的下场吧？
SEV00000559	来吧，别胡扯了。到底发生了什么？
SEV00000560	[失败]我就不说了，非常感谢。
SEV00000561	告诉我你的秘密，我就告诉你我的。
SEV00000562	那好吧。在犹他州，我和那个臭名昭著的布斯聊了一会儿。印象深刻...危险...完全令人讨厌。
SEV00000563	我记得欧里庇得斯说过：“他是言语之神...但言语是不够的。”我更喜欢他的兄弟。
SEV00000564	我知道你想把话说完。你想说什么？你可以告诉我。
SEV00000565	谢谢你，但我绝对不会。我觉得孩子气的暴怒是很没有说服力的。
SEV00000566	把话说完！！！
SEV00000567	哇，他重重的倒下了！鼹鼠肉和麦康伯每次都叫他们！呜！
SEV00000568	你们就这样走近诱饵...自己也几乎成了诱饵。 你是走观光路线还是怎么的？ 等等...
SEV00000569	帕特里克？沃克治安官？你到底在这儿干什么？
SEV00000570	我是来找你算账的，杰德。为了杰西卡。
SEV00000571	哇，哇哦。我明白了...我知道。你看，我和我妻子在一起，对吧？我们几周前刚结婚，她是个彻头彻尾的平民。
SEV00000572	我们有一个儿子，你知道吗？我们断断续续同居了好几年。他快四岁了，现在在她妈妈家，我这么做是为了养活他们。
SEV00000573	我...我知道我不配...但我想请求你...让我离开这里，我才能养活我的家人。你永远不会再见到我了。
SEV00000574	我扣动扳机的唯一目标是死亡爪，这样我才能有饭吃。我一直不喜欢和博丁一起工作，我不会再回去了。
SEV00000575	不。你没资格躲在家人身后，他们的痛苦都算在你头上。你做出了自己的选择，和博丁选择了简单的方式。
SEV00000576	你伤害的不只是我。我知道所有关于商队的事，抢劫，强奸，谋杀。我知道你是什么人...你永远都是这样的人。
SEV00000577	你的妻子可以离开这里，这比你和博丁提供的条件都要好了。夫人，你最好现在就回家。
SEV00000578	先生，你没资格对我指手画脚。你不是什么法律，你没资格在这里威胁我们。我们有法律、法官和法院。
SEV00000579	杰德，我要留在这里陪你。听到了吗，丛林强盗？我哪儿也不去！
SEV00000580	废话，废话，废话。把他们两个都杀了，我们就走。
SEV00000581	李，闭上你的臭嘴。杰德，说再见吧，夫人，回家了。回家吧。
SEV00000582	亲爱的，想想我们的孩子，汤米需要你。我爱你，走吧，现在就走。
SEV00000583	去你的吧。这些人都是懦夫，只是些微不足道的丛林强盗。听到了吗，你个狗娘养的？你得离开这里。
SEV00000584	这女孩挺有勇气。动手吧，我相信你，妹妹！
SEV00000585	女士，把枪放下，把它放下，然后走开。杰德，控制住她，我会自卫的。
SEV00000586	不，他会伤害我们！我不相信他...他就是另一个掠夺者，要占我们便宜。我不会让他得逞的！我不会！
SEV00000587	你好啊，英雄。
SEV00000588	李？搞什么...呃，沃克治安官。什么，呃...什么风把你给吹来了？
SEV00000589	你知道我们为什么在这里，孩子。你有什么要说的吗？
SEV00000590	哇，等一下，我没有扣扳机。博丁，都是他干的。该死，我还想拉住他，只有我一个人反抗他！
SEV00000591	李，你去告诉他！你还记得是怎么回事吧！
SEV00000592	我记得...一个从早到晚一直盯着博丁屁股的走狗。孩子，你试过...甚至像他一样打扮，那个罩衫，记得吗？
SEV00000593	不，我怀疑是你在怂恿他。“射得好，博丁。”你总是这么说，对吧？谄媚的小黄鼠狼。
SEV00000594	那不是我的错！都不是我的错！你...你不能这么做。我当过兵，记得吗？这难道不值得吗？
SEV00000595	我也是。
SEV00000596	他不能走了...过正常、快乐的生活。不，我不会容忍的。
SEV00000597	我觉得你应该放了他。
SEV00000598	是的，我只是...不，没办法。
SEV00000599	别再瞎折腾了，杀了他。
SEV00000600	[成功]这让我很不舒服...但是没错...你说得对。那个女人是无辜的，杰西卡不会希望她受到伤害的。
SEV00000601	会有另一个时间和地点的。不要冒险杀死一个无辜的人，你不是那样的人。
SEV00000602	[失败]抱歉？他可以去跟魔鬼说。
SEV00000603	嘿，他说他很抱歉。
SEV00000604	我...呃，好吧。嗯，这是正确的选择，我会的。
SEV00000605	放了他，不然下一个坟墓就是你的。
SEV00000606	你有...只是...说实话，我不喜欢谈论这件事。但你为我冒了这么大的风险，所以我就告诉你真相。
SEV00000607	你可能听过李叫我"治安官"，是真的，我在银泉镇戴了好几年星章。受到尊敬，以公正著称...还有强硬。
SEV00000608	在强硬的名声背后是...嗯，很多愤怒。我想让盆地里所有的掠夺者和人渣知道我的小镇是禁区。
SEV00000609	在一段时间内，这很有效。但是愤怒是...嗯，这是一种毒品，一种致盲的、令人陶醉的药物。这对我来说是一种高潮，调教掠夺者或流氓地痞。
SEV00000610	到了连自己人都怕我的地步，他们想要一个更...亲切，友好的人。投票把我踢出局了。
SEV00000611	我在为你冒着生命危险，我们彼此信任很重要。
SEV00000612	我猜这不是你第一次为了瓶盖杀人了，没想到你会这么好奇。尽管如此，还是值得一杀，值得去死...对我来说。
SEV00000613	你可能听过李叫我"治安官"，是真的，我在银泉镇戴了好几年星章。受到尊敬，以公正著称...还有强硬。
SEV00000614	在强硬的名声背后是...嗯，很多愤怒。我想让盆地里所有的掠夺者和人渣知道我的小镇是禁区。
SEV00000615	在一段时间内，这很有效。但是愤怒是...嗯，这是一种毒品，一种致盲的、令人陶醉的药物。这对我来说是一种高潮，调教掠夺者或流氓地痞。
SEV00000616	到了连自己人都怕我的地步，他们想要一个更...亲切，友好的人。投票把我踢出局了。
SEV00000617	如果这值得杀人，我想知道为什么。
SEV00000618	镇上派了个政客来管事，真的很友好...善于交际。我本来可以继续当副手的，但是...我做不到。
SEV00000619	因为我很固执，拒绝做副手...我妻子在银行找了一份职员的工作，只是为了维持我们的生计。
SEV00000620	博丁和他的手下抢劫了银行...杰西卡是唯一敢于反抗他们的人。她很固执...强硬，所以他们杀了她。
SEV00000621	博丁处决了她...所以我把他留到最后。 在他之后可能是另一个坟墓，反正这是我应得的。
SEV00000622	继续说，我在听。
SEV00000623	是的，我想也是。我们回去工作吧。
SEV00000624	<打哈欠>
SEV00000625	我也有份，这是肯定的。就算我只是个副治安官，光我在场也能吓退博丁。但我习惯了称王称霸。
SEV00000626	好吧，没关系，他们现在抓住我了。如果有必要，我会一路追捕博丁到巴哈。
SEV00000627	那不是你的错。博丁和他的手下干的，他们会付出代价的。
SEV00000628	当我有机会做这件事的时候，是这份工作最棒的部分...这很罕见。我更多的时候是在驱赶醉汉。
SEV00000629	现在很难去想，我一直都很专注于这件事...可悲的是，这么多年来，这让我第一次有了真正的目标。
SEV00000630	承认这种事真的很糟...杰西卡去世后，我一直是比她活着时更称职。
SEV00000631	也许...也许我会重新开始，我想一些边境城镇需要一个执法者。不过，现在做梦是没有意义的。
SEV00000632	这一切结束后，你还是可以帮助别人的。去一个新的地方重新开始。
SEV00000633	是啊，直接放弃我不太舒服。我只是不知道在这之后我要做什么...如果我能做点正经工作的话。
SEV00000634	坦白说，这是明天的问题。现在我们集中精力杀了这些杂种。
SEV00000635	我以为你是个斗士，你不会在这之后就放弃的。
SEV00000636	也许会，也许不会。我们拭目以待。
SEV00000637	去吧。我不确定你是否能从这样的事情中恢复过来。
SEV00000638	等待下一份工作，护卫一辆从这里到莫哈维前哨的大篷车。可能会很棘手，还好他们有我看着。
SEV00000639	如果你在找工作，可以和爱丽丝谈谈。她从一开始就对我很公平，不要太关心过去的工作，如果你明白我的意思。
SEV00000640	你在这里做什么？
SEV00000641	这么说吧，你会学到很多关于保护商队的知识，一旦你...站在事情的另一边。
SEV00000642	没有什么太疯狂的事，当然也从没袭击过深红商队或任何其他大人物。 只是小打小闹，你能学到什么是不该做的。
SEV00000643	什么样的“过去的工作”？
SEV00000644	都在NCR之外，在大盆地的很远的地方。那里是另一个世界，城镇和军阀混战，每个人都在互相袭击。
SEV00000645	听着，我不是天使，但我从来没有卷入伤害市民的事情...也许有一次。这也是我来这里的原因之一。
SEV00000646	不，我想我最好把那段生活抛在脑后，过一段时间正直的生活。这里有很多瓶盖能赚。
SEV00000647	你对自己的过去似乎很坦诚。
SEV00000648	好啊，我在听。
SEV00000649	我可能有个有趣的商业提议给你。
SEV00000650	没错，我服过役。我是战斗烹饪专家，基本上是步兵。
SEV00000651	我在帕克水坝和军团战斗过，在一场战斗中杀死了一名百夫长。还以为会得到战场委任...但我被骗了。
SEV00000652	只是要注意...如果我们一起工作，有时我会闪回...然后啪！我又回到那里战斗了！
SEV00000653	[他拿出一把刀，不规律地挥舞了一会儿。这是一场精心设计却毫无亮点的表演。]
SEV00000654	我就是这么干的，伙计。我一发脾气就走！掠夺不会来惹我们的，军团？不，他们看到我就跑。
SEV00000655	你是个老兵？
SEV00000656	哇，说了什么？谁跟你说的？他们怎么说？
SEV00000657	真有意思。关于你的入伍经历，我听说了一个不同的故事。
SEV00000658	[成功]谁...谁他妈跟你说的？我是个英雄，该死！英雄！我才不要听你胡扯！
SEV00000659	<挑衅>我听说...你用自己的尿漱口，吃香烟，就为了假装生病。
SEV00000660	[失败]嗯，不客气。感谢你认可我的牺牲。
SEV00000661	算了，谢谢你的服务。
SEV00000662	好吧，但你最好别耍我。是该死的帕克中士，对吧？该死的恶棍！诓我？我要杀了你！
SEV00000663	我在外面等你。我要和散播这种谣言的人好好谈谈！
SEV00000664	在这里我不能说。在外面等我，我会告诉你的。
SEV00000665	嘿，把那玩意收起来。我当然感兴趣，如果你有的话，我就大量购买。外面等我，妈的小心点，伙计。
SEV00000666	<展示疯狂药>如果你想要的话，我有个很好的供应商。
SEV00000667	马尔文？我不认识他。如果你需要，我可以当你的马尔文。我有个自制的固定装置，我可以帮你抹润滑油。50瓶盖，我就是你的了，甜心。
SEV00000668	我在找一个叫马尔文的人，你见过他吗？
SEV00000669	是啊，有点达芬奇的味道。螺纹钢芯与橡胶外部，坚固而结实。这就是你喜欢的，不是吗？
SEV00000670	[她在舔嘴唇的同时，以一种暗示的方式翘起她的臀部。你注意到她的衣服上有一种不明体液的水滴。]
SEV00000671	亲爱的，怎么样？你需要妈妈照顾你和你的朋友吗？他们甚至也可以玩，食尸鬼也行，我不歧视。
SEV00000672	自制的捆绑装置？
SEV00000673	别当陌生人。
SEV00000674	不了谢谢。
SEV00000675	星空中银色的马车...明亮...温暖的光，然后我就上去了。他们插我！把东西放进我身体里！没人相信我！你相信我吗？
SEV00000676	他们？你在说谁？
SEV00000677	那你就明白了...也许你见过他们。他们无处不在，你知道的...得戴上特殊的眼镜才能看到，魔法眼镜。
SEV00000678	我本来有，但被一个看不见的人偷走了。问他的名字，“没有人，”他说。小心一个戴着墨镜的隐形人！
SEV00000679	当然，我相信你。
SEV00000680	他知道得太多...比我看到的还多。他一直藏着，这样他们就没法再次抓住他或刺探他。要是我有那副眼镜就好了...
SEV00000681	我会的。
SEV00000682	我认识一个叫马尔文的，我们一起在巴哈服役。机枪手，有趣的家伙，喜欢讲笑话。他们在太平洋上一枪爆了他的头。
SEV00000683	我在找一个叫马尔文的人。你见过他吗？
SEV00000684	我在自由城不认识什么马尔文。我认识一个叫艾尔的人，是你吗，艾尔？已经很久了，但我记得所有的事情...我当时在场！
SEV00000685	我记得你朝那些孩子开枪，然后大笑...你唱的那些歌，我永远不会忘记那笑声，我晚上还能听到它。我睡不着。
SEV00000686	你以为我走了，是吗？我没有离开，艾尔，只是离开了一段时间...我...我还在热身呢！
SEV00000687	不好意思。我要找的马尔文是个年轻人，应该在自由城。
SEV00000688	可能是艾尔伪装的，你知道，他有很多名字。曾经幻想自己是个医生，杀死了他所有的病人。留下来。离开。来自。艾尔。
SEV00000689	如果这不是艾尔...那孩子也许知道。和机器人一起守在大门前那个，他是幸存者，我听说是从一个疯子的地牢里逃出来的。
SEV00000690	我也是幸存者！两次入伍都活下来了！我为什么要重新入伍？因为脑损伤，这就是原因！使用炸药，我的脑子都碎了。
SEV00000691	所以...你不认识马尔文？
SEV00000692	我的荣幸。你见过聚能炸药对小孩头骨的影响吗？完美的，圆，这就是它的作用，这是一件艺术品。
SEV00000693	我见过艾尔这么做，那时候他有一个完整的团队，神奇的化学反应。杀了很多坏人，还有妇女和儿童，那些日子都过去了。
SEV00000694	我迷失了方向，艾尔，我四处游荡，看到了你无法想象的事情。我发现自己在那里...我心里有什么东西突然崩溃了。
SEV00000695	我必须回来...回到维加斯。我永远不会离开...除非我死了，或者天上的马车抓住我...否则我就会被召回服役。
SEV00000696	谢谢你提供的信息，我该走了。
SEV00000697	因为是时候了。他们以为我们完蛋了，没有完蛋。找到他们，带他们回来，你会需要它们的！
SEV00000698	我在那辆空中马车上看到了幻象...我看到了未来。那里的血够你喝十辈子了，艾尔！你需要每个人！
SEV00000699	他们让我离开这个小镇，说我疯了，说我老了，没戏了，完蛋了。我不会这么做的，艾尔，我发誓，我要把这个镇子烧了！
SEV00000700	你为什么要告诉我这些？
SEV00000701	[他一口吞下酒瓶里的透明液体。]
SEV00000702	这就是我的帮助，知道为什么吗？这是水，纯净，高品质的水！我戒酒了，艾尔！这真是个奇迹！我焕然一新...沸腾了！
SEV00000703	他们之前都觉得我疯了...我只是喝醉了，你很快就会看到两个桶都装满了疯狂的东西。记住我的话，艾尔。
SEV00000704	我觉得你应该寻求帮助。
SEV00000705	哦，你他妈的要逼我？我想怎么跟镇上的人说就怎么说，明白吗？总有一天我会管理自由城！
SEV00000706	高高在上的混蛋...我刚吃了蟑螂当晚餐！你要在我没吃饭的时候说脏话吗？饿得他妈难受！
SEV00000707	别跟我胡扯什么"脏话是不良品德的表现"，昨晚有个流浪汉想骚扰我！那才是不良品德！
SEV00000708	你应该说话客气点。
SEV00000709	放松？我不这么想。你知道我为了在这里生存做了什么吗？我他妈的从地牢里逃出来了，一个疯子把我锁在他的地牢里。
SEV00000710	我和其他一群孩子，都被关起来了，被奴役。你以为我是靠漂亮的谈吐和礼貌活下来的吗？去他妈的，我跟你打赌我很卑鄙。
SEV00000711	下一个想把我扔进地牢的混蛋就有好果子吃了，我说的可是更高级的货色！
SEV00000712	[他通过一系列快速而流畅的切割动作来展示自己的刀法，他显然很擅长用刀。]
SEV00000713	放松点，我不是有意要冒犯你。我只是想找到马尔文。
SEV00000714	哦，你就是那种人。听着，变态们，谁敢碰我我就一刀扎进你的女人动脉。
SEV00000715	你们可能会让我很忙，但你们其中一个会在这里失血过多而死。你他妈的想试试吗？来啊！我们上啊！
SEV00000716	我在找一个叫马尔文的人。你认识他？
SEV00000717	等等，你就是来杀人的吗？妈的，你怎么不早说？一百瓶盖或者三盒烟，这是现行的价格。
SEV00000718	哇，不是那样的！我们是在找马尔文的老大好报复他。
SEV00000719	瓶盖或烟。会是什么呢？
SEV00000720	我想知道马尔文的下落。
SEV00000721	柔滑温和，正是我的客户喜欢的，会有不错的回报。马尔文喜欢在后面的瞭望塔旁露营。
SEV00000722	明显的诡计，提供三明治和糖果。就...替我伤害他，好吗？他带走了我一个饥饿的朋友。让他流点血。
SEV00000723	<给他三盒烟>给你。
SEV00000724	很高兴和你做生意。马尔文喜欢在旧瞭望塔旁露营，收买了几个猫王帮和守卫，晚上溜进溜出。
SEV00000725	很明显的骗局，提供食物和糖果。就...替我伤害他，好吗？他带走了我一个饥饿的朋友。让他流点血。
SEV00000726	<支付100瓶盖>给你瓶盖。
SEV00000727	嘿，谢谢，我每天都练习。这个小宝贝救了我的命...还有其他的事...不止一次。
SEV00000728	这样吧...出于职业礼貌，我要把马尔文交给你，他喜欢在那边的旧瞭望塔旁露营。
SEV00000729	明显的诡计，提供三明治和糖果。就...替我伤害他，好吗？他带走了我一个饥饿的朋友。让他流点血。
SEV00000730	还不错，你真的很有天赋。
SEV00000731	“看起来很锋利。”我可不敢这么说，笨蛋。最好相信我一直很锋利，不止一次救了我。
SEV00000732	一个恶心的老头说：“过来，小男孩，我有个礼物要送给你。”试图抓住我...噗！直接穿过跟腱！
SEV00000733	所以，对...刀很好，锋利的刀更好。明白了吗？很好。
SEV00000734	看起来很锋利，你要小心。
SEV00000735	等等，你想让我扮演一个衣衫褴褛的受害者？“先生，我太饿了，我当然会跟着你走进那条漆黑的小巷。”像这样？
SEV00000736	听着，我支持你的做法，所以我给你打个折扣，两百瓶盖。我是专业人士，一分钱一分货。
SEV00000737	我们需要你表现得像个俘虏，这样我们才能闯入地牢，杀掉一个人。
SEV00000738	终于想通了？没有多少像我这样有意愿或有能力的演员在自由城游荡了。让我们看看瓶盖吧。
SEV00000739	我想谈谈雇你当俘虏的事。
SEV00000740	别客气，比抓老鼠和刺伤流浪汉强多了。看来又要回到自由之城的老套路了。
SEV00000741	这次外出让我想到...去其他地方看看可能会很有趣。你觉得呢？
SEV00000742	谢谢你的帮助，但我想你该回家了。
SEV00000743	记住，孩子们...明天我会给你们准备更多的食物。我甚至可能会有一些巧克力，所以带上你的朋友！
SEV00000744	福勒？我不认识什么福勒。我是本地人，明白吗？我只是来帮助这些孩子的。
SEV00000745	我在找你老大的信息，福勒。
SEV00000746	[他因为这一击向后退缩，然后弯下腰，喘不过气。他花了好一会儿才使自己镇静下来。]
SEV00000747	好吧，好吧！他...他在北部通道的藏身处，称之为“枢纽”。把大部分孩子运到北方。
SEV00000748	等等！你会需要我。我得护送你...除非你有孩子要卖。等我一下，我带你去。
SEV00000749	<一拳打在他的肝脏上>这只是我能给你带来的痛苦的一小部分，把福勒交出来。
SEV00000750	呃，呃，呃...他，他在一个地方，叫做“枢纽”，在北部通道附近。所有的孩子都在那里，把他们运到北方，有很多买家。
SEV00000751	需要我才能进去，除非你带着孩子去卖。杀了我就进不去了，知道吗？请不要伤害我，我只是做我的工作！
SEV00000752	把福勒交出来，不然我就把你吊在天桥上，把你的肠子掏出来给老鼠吃。
SEV00000753	嘿，这可是个严重的指控！你大错特错了。我是新拉斯维加斯的居民，我从每天的工作中抽出时间来帮助这些孩子。
SEV00000754	这个...这是一种偏执的妄想。去找别人玩治安维持会吧，我不会伤害任何人。
SEV00000755	我知道你要带孩子去找福勒。告诉我们他在哪里，你也许能活到明天。
SEV00000756	那你也清楚，我们只是满足客户的需求，仅此而已。谁又能说哪一种欲望比其他欲望更糟糕呢？
SEV00000757	福勒在北边经营着一个隐蔽的娱乐场所，“枢纽”。我们先把财产留在那里，然后再把大部分货物运到北方。
SEV00000758	如果你想进去，得让我护送你，否则就只能带着俘虏去卖了。只要孩子，红头发的额外补贴...
SEV00000759	我们都有隐藏的欲望。我只是想和福勒谈谈生意，没别的。
SEV00000760	[成功]好吧，好吧。身边有这么多好心人，怎么小心都不为过。我还得付钱给当地的流氓就够糟了。
SEV00000761	福勒在北部通道旁边开了一家叫"枢纽"的娱乐场所。它隐藏得很好，入口非常安全。
SEV00000762	你需要我护送你，除非你带了一个活的俘虏。等你准备好了，我们就往那边走。
SEV00000763	<说谎>马尔文，没事的，我们不是来伤害任何人的。我们只是想谈谈生意。
SEV00000764	[失败]呃，我不知道你在说什么...此外，你的论点是...有缺陷的。
SEV00000765	现在的孩子都很懒，当过一段时间奴隶可以培养一种强烈的职业道德。
SEV00000766	在这里出生的，混蛋，妈妈把我留给了天启追随者，他们尽了最大努力。对那些书呆子来说，我太凶了。
SEV00000767	被奴役了一段时间，但最终逃脱了。这些年我看到了很多朋友被抓，他们就这么消失了。
SEV00000768	你怎么到自由城来了?
SEV00000769	嗯，差不多吧。没有项圈或锁链，但就是这样。叫它缩进确定性还是什么的...但这是奴隶制。
SEV00000770	老大很容易分心，所以我一有机会就溜走了。其他的人可能也逃出来了，我跑的时候听到了霰弹枪的爆炸声。
SEV00000771	有趣...我只记得歌声。每次我捅流浪汉的时候...我都会想这是他，能让声音安静一会儿。
SEV00000772	你被奴役了？
SEV00000773	[成功]好吧，好吧。不要让人说罗纳尔多不帮助他的朋友，好吗？他们不会怀疑的，我保证。
SEV00000774	多亏了我们，这个世界少了一个马尔文。来点友谊的表示怎么样？
SEV00000775	[失败]当然不想，那些小混蛋大多是我的竞争对手！我没日没夜地干活就为了弄到一块老鼠肉。
SEV00000776	你不想救你的朋友吗？
SEV00000777	我他妈是个便宜货，等着瞧吧。“先生，我好孤独，请把我带回你们黑暗的地牢吧。”然后我们就杀了那些变态！
SEV00000778	<支付200瓶盖>给你瓶盖，你最好值得。
SEV00000779	我喜欢你的勇气。我的利润会减少，但既然是出于正当的理由...好吧，我加入。现在我们去捅死那些变态吧！
SEV00000780	我知道你想捅死这些混蛋，你应该付我钱。那就一百吧。
SEV00000781	这些孩子大多是白痴或彻头彻尾的野蛮人。想要逮到他们就很麻烦了，更别说交谈了。
SEV00000782	嗯，去吧，试试那个爱哭的笨蛋。他一紧张就尿得满地都是，更别提他还会尖叫。高品质。
SEV00000783	我敢打赌这些孩子中肯定有人会为了更少的钱这么做，50瓶盖是我的最终报价。
SEV00000784	不是红头发的，所以是标准价格，特别的客户喜欢红发。这里有酒和药品，不要拘束...
SEV00000785	准备好流血吧，变态们！
SEV00000786	我他妈的为什么要这么做？坐在那破旧的堡垒里我会无聊到发疯的。
SEV00000787	我觉得你应该加入天启追随者，接受教育。
SEV00000788	我，呃...好的，好的！我会的！我要用功读书，不捣乱！我对着我妈妈的坟墓发誓！
SEV00000789	跟天启追随者一起学习不然我就像揍你爸一样揍你一顿。
SEV00000790	我，呃...好的，好的！我会的！我要用功读书，不捣乱！我对着我妈妈的坟墓发誓！
SEV00000791	跟天启追随者一起学习不然我就像揍你妈一样揍你一顿。
SEV00000792	[成功]嗯...好吧，我再给他们一次机会，我会试着...不那么坏。我不会刺伤任何人，但不会保证不打架！
SEV00000793	继续努力，继续为我杀变态。
SEV00000794	自由城是一条死胡同，天启追随者是你离开那里的最佳途径。
SEV00000795	[失败]扯淡。美德不是回报，回报就是该死的回报！我要瓶盖！不要蟑螂和老鼠当晚餐！这就是他妈的回报！
SEV00000796	天启追随者会帮助你过上一种高尚的生活，这本身就是一种回报。
SEV00000797	嗯，我会的。谢谢你的建议，我从没想过自己会被绑在一个地方。不要心软，对变态绝不留情。
SEV00000798	世界比自由城大得多。上路吧，不要回头，你会没事的。
SEV00000799	嗯...谢谢？去他妈的，我玩得很开心。祝你杀人顺利，回头见。
SEV00000800	不关我的事，小子。做你想做的。
SEV00000801	李，是你吗？你在这里做什么？
SEV00000802	安妮，我...我没想到会遇到你。我...呃，我在帮助一个朋友。
SEV00000803	真的？嗯，我...很高兴听到你这么说。至于我...我在帮这些孩子越狱时被抓了，谢谢你救了他们...还有我。
SEV00000804	猫王帮和NCR的任何人都帮不上忙，所以你知道我...总得做点什么。不像我以前那么鬼鬼祟祟了。
SEV00000805	几个月来一直有孩子失踪，这很艰难。我们在自由城确实需要你的帮助，你一直是个好老师，帕特里克。
SEV00000806	我...我，呃...没机会了，安妮。毕竟我做了那么多事，你连一半都不知道。再也回不去了。
SEV00000807	我知道你不是天使，帕特里克，大部分都是很久以前的事了，滑皮们都不记得了。我知道你内心并不坏。
SEV00000808	不管你做了什么，只要你改过自新，我当然愿意原谅你，你又不是爱德华·萨隆，亲爱的。帮助别人，你就会痊愈。
SEV00000809	我...我对此没有做好准备。见到你，听到这些，事实是...我很难原谅自己，不确定我是否能做到。
SEV00000810	即使...我跟这些人有紧急事务要处理，也许再也见不到你了，安妮。请注意安全...别再这么做了。
SEV00000811	像上帝原谅你一样原谅别人吧，帕特里克。别忘了，我...我还是会想起你。注意安全。
SEV00000812	再见，安妮。
SEV00000813	我希望你不要跟任何人提起这次谈话，尤其是沃克，我会很感激的。
SEV00000814	安妮，一个和我一起工作过的科学家...很亲密。我暴露的时候她也在挖掘现场...在我一步步接近死亡的时候照顾着我。
SEV00000815	她让我起死回生，说服我即使改变了也要继续活下去。我...我在乎她，该死，我真希望没见过她。
SEV00000816	就好像我无意中打开了一本很久以前就合上的旧书...直视着我身后的生活。她一眼就看穿了我。
SEV00000817	我宁愿跳着踢踏舞穿过大裂谷也不要再看着她的眼睛。都见鬼去吧。
SEV00000818	她是谁？
SEV00000819	不，你不会从我做的事情中恢复过来的。我做出了自己的选择，我拥有它。但是...也许...我想不起来了。
SEV00000820	我们没时间听这些无聊的废话了。我们有工作要做，而且只有两个人可以离开。
SEV00000821	她说得对，在这些虚张声势的背后，你还是善良的。我能看见。
SEV00000822	难道我不知道吗？那句话怎么说的？“你会永远喜欢我的，我代表你们犯下所有你们不敢犯的罪。”
SEV00000823	说得太对了，我打算一直保持下去。
SEV00000824	我绝对不会相信你的。一日为不法之徒，终生为不法之徒。
SEV00000825	一如既往。在这段旅程的终点，还有更多的鲜血和一罐金子在等待着你。带路吧。
SEV00000826	我会尊重你的隐私。与此同时，我们需要专注于手头的任务。
SEV00000827	粗壮，强力的一击。整个身体在运动。颤抖的肌肉。暴力。美。神。都在那里。
SEV00000828	你是小偷还是刺客？
SEV00000829	多滑稽啊，小偷和杀人犯。我怀疑你不是自愿到这里来的，我不怎么出名。不，是有人派你来的。
SEV00000830	潜在赞助商的名单很长。窥视者？太便宜了；博丁？不，你不是他平时惯用的马屁精；沃克？不，他已经崩溃了。
SEV00000831	[他花了一点时间扫描你的脸。当他作出结论时，他的表情变成了嘲讽的笑容。]
SEV00000832	是沃克。纯粹的复仇表现出来了，我很喜欢，我怀疑你是想避免和马库斯发生冲突，值得称赞。带我去见沃克，马上。
SEV00000833	怎么？
SEV00000834	很遗憾，这些都是再版。为什么在这里？为什么是我？没有什么值钱的东西...不，我从这里就能闻到谎言的味道。
SEV00000835	问题是我以前的雇主中谁现在想除掉我？罗伯特和里克特早就不在了，也不是博丁，太快了。
SEV00000836	这与钱无关...这是纯粹的、冷血的复仇。我猜是沃克，合理，他会直接粗暴。我等不及了，带我去见他。
SEV00000837	<说谎>小偷。
SEV00000838	“但当上帝带来伤害时，没有人能逃避，无论他有多么强大。”我是不会逃避战斗的，我对此表示欢迎。
SEV00000839	但是你...你不是单独行动，谁是操纵木偶的人？布斯吗？死了；里克特？死了；格雷？不，我太贵了。这与钱无关。
SEV00000840	要么你是个有自杀倾向的疯子...不然你就是在帮沃克。他会这么做的，不是吗？他是对的，我很期待，带我去见他。
SEV00000841	刺客。
SEV00000842	<笑声>
SEV00000843	你...我是总统，你也是艺术品商人。天哪，我需要这个，谢谢你！我猜，你是来杀我的吧？
