TIH00000001	Chess Bobblehead
TIH00000729	I'm not going to do your dirty work.
TIH00000730	Your choice, Courier. But you've got a chance in fuck of finding Zimmer without my help.
TIH00000731	Nevermind, I should get going.
TIH00000732	...
TIH00000733	You need to forget about the bounty on Hastings. Leave Westside, now.
TIH00000734	So, Hastings is getting nervous? Sends the local badass to scare me off.
TIH00000735	Won't work. If I gave up every time some mark sent thugs to try and intimidate me... I'd be broke.
TIH00000736	aaInheritance01VaughnSpeech
TIH00000737	What? Fuck me! I've been tracking that asshole for two months. Now I've got to pack up and head to Bullhead City? Fuck this place.
TIH00000738	<Lie> You already missed your chance. Hastings just left for Bullhead City.
TIH00000739	Please. Those junkies are on their last leg. Some asshole named Randall cleaned them out.
TIH00000740	You know, the Fiends would love to get their hands on a bounty hunter...
TIH00000741	Leave Westside and never come back, or I'll cut your fucking nuts off.
TIH00000742	You know, I was just on my way out of here.
TIH00000743	I'm carrying a .44 magnum, and you're going to threaten me with a knife? Shut the fuck up.
TIH00000744	Here's an offer - leave or I'll, uh... cut meticulously around... your abdominal region!
TIH00000745	Hastings is offering me information on Zimmer. Can you do better?
TIH00000746	I've been tracking Hastings for months... believe me, he doesn't come close to Zimmer.
TIH00000747	However, he does meet up with an outfit man, someone higher up the food chain. I suppose he might know this Zimmer guy you're after.
TIH00000748	I'll raise the stakes -  If you kill Hastings, bring back his finger... I'll tell you where this contact is, and throw in... 250 caps.
TIH00000749	This way it works to both our benefit. So that's my offer - I'll leave it up to you whether or not to act on it.
TIH00000750	I need to get going.
TIH00000751	...
TIH00000752	Pack your shit and leave, hillbilly. Hastings doesn't want you around.
TIH00000753	So, Hastings is getting nervous? Sends the local badass to scare me off.
TIH00000754	Won't work. If I gave up every time some mark sent thugs to try and intimidate me... I'd be broke.
TIH00000755	Hastings is dead. Here's the finger.
TIH00000756	I never quite understood this part of the trade. It's one of those traditions, I guess... pretty sick if you ask me.
TIH00000757	But this is no time to complain - thanks for stepping up and taking care of this for me. Here's the caps I promised.
TIH00000758	As for the contact... I know that Hastings will meet with a Syndicate man, guy named Tony Chase, up in Gomorrah.
TIH00000759	He's probably the man to tell you about Zimmer. Good luck getting it out of him, though. I heard he's a gorilla - likes to use his hands.
TIH00000760	You watch your back, kid. You could've dealt me a shit hand here, but you came through. Good luck getting whatever it is you're after.
TIH00000761	Vaughn won't be a problem anymore.
TIH00000762	I already got word. Thanks.
TIH00000763	Look, I don't know Zimmer. Never even met him. But, I know a guy who can tell you. His name is Chase. He's shacked up in Gomorrah.
TIH00000764	Chase is a heavy hitter, muscle for the Syndicate. He's got his own room. Here's I'll point it out on your map.
TIH00000765	In case you're wondering, I don't know you, and you don't know me. Don't speak to me again, and never mention my name in this.
TIH00000766	aaInheritance01ChaseIntro01
TIH00000767	Come in, make yourself comfortable. There's no strangers on the third floor.
TIH00000768	Besides, it will be nice to have some company. The Omertas, you know, gave us the whole floor, so it gets a bit lonely up here.
TIH00000769	What's to keep us from taking all the loot?
TIH00000770	Besides the fact that I can fumigate the vault with nerve gas? Well, you'll find it difficult to access the various chambers with your keys.
TIH00000771	Your keys opened the arsenal itself. My keys, however, provide access to... whatever is inside those vaults. Sellers didn't mention that, did he?
TIH00000772	See, when the good Mr. Sellers made that arrangement with us so long ago, he provided part of the access cards, but shrewdly kept the others.
TIH00000773	Everyone consented, knowing full well that neither side could easily rip off the other... Sellers had other plans, it seems.
TIH00000774	<Remain Silent>
TIH00000775	Oh, one of those, are you? You imagine yourself the strong, silent type? In my experience, it's a fucking rarity.
TIH00000776	Most of the mutes I've known are idiots or psychopaths. Of course, you have to consider our working environment.
TIH00000777	I'm gonna get to the point, kid. What the hell are you doing here? Is this about Zimmer? The loot? I thought we had an agreement.
TIH00000778	I'm &PCName;, pleased to meet you.
TIH00000779	Likewise. That name of yours isn't exactly what I was expecting. Funny how expectations don't always correspond to, you know, reality.
TIH00000780	Now I'm gonna get to the point, kid. What the hell are you doing here? Is this about Zimmer? The loot? I thought we had an agreement.
TIH00000781	I'd prefer to keep that to myself.
TIH00000782	Alright, fair enough. It wasn't anything diabolical. I already know more about you than you may realize.
TIH00000783	We've been keeping tabs on you since you crawled out of that grave.
TIH00000784	Now I'm gonna get to the point, kid. What the hell are you doing here? Is this about Zimmer? The loot? I thought we had an agreement.
TIH00000785	I'm &PCName;, and I'm the last person you'll ever see if you don't tell me what I want to know.
TIH00000786	Whoa, whoa, whoa, just take it down a notch, alright. We're not making a fuckin Western here.
TIH00000787	You may be scaring those pissant raiders and shitkickers in the wasteland, but don't try that bullshit on me.
TIH00000788	I'm gonna get to the point, kid. What the hell are you doing here? Is this about Zimmer? The loot? I thought we had an agreement.
TIH00000789	I want that stash. Zimmer shouldn't have taken it.
TIH00000790	Heh, if all else fails, you can always count on greed.
TIH00000791	It can only end two ways. Either you walk away, or you get buried in the fucking desert again, and this time... you don't come back.
TIH00000792	You've got heart, kid. But that ain't enough. You don't realize what you're up against... you only think you do.
TIH00000793	Zimmer fucked himself when he played with my life. I'm nobody's puppet.
TIH00000794	That's just fucking dumb. We all answer to somebody, kid. Even Zimmer answers to... well, he answers to somebody you don't want to meet.
TIH00000795	It can only end two ways. Either you walk away, or you get buried in the fucking desert again, and this time... you don't come back.
TIH00000796	You've got heart, kid. But that ain't enough. You don't realize what you're up against... you only think you do.
TIH00000797	Your organization had no right to kill Bradley. I intend to settle things with Zimmer.
TIH00000798	You realize how naive that sounds, don't you? How many have you killed? Dozens? Hundreds?
TIH00000799	It can only end two ways. Either you walk away, or you get buried in the fucking desert again, and this time... you don't come back.
TIH00000800	You've got heart, kid. But that ain't enough. You don't realize what you're up against... you only think you do.
TIH00000801	I hate the Syndicate. Reason enough?
TIH00000802	Plenty, but I think you used up all your luck when Benny popped you in the noggin. Acting on all that hate... it's a dangerous road, kiddo.
TIH00000803	It can only end two ways. Either you walk away, or you get buried in the fucking desert again, and this time... you don't come back.
TIH00000804	You've got heart, kid. But that ain't enough. You don't realize what you're up against... you only think you do.
TIH00000805	My reasons are my own.
TIH00000806	I thought you might say some shit like that. Hard to figure out what makes people tick.
TIH00000807	It can only end two ways. Either you walk away, or you get buried in the fucking desert again, and this time... you don't come back.
TIH00000808	You've got heart, kid. But that ain't enough. You don't realize what you're up against... you only think you do.
TIH00000809	Give me your word that the Syndicate will let this go, and I'll walk away.
TIH00000810	You have my word. This is the smart play, kid. You don't know us, we don't know you. Everything goes back to the way it was.
TIH00000811	I knew you'd do the right thing when the dust settled. Take care of yourself out there, pal.
TIH00000812	<Spit in his face>
TIH00000813	Motherfucker... is this really how you want to play it?
TIH00000814	I used to be a prize fighter up in Reno... heavyweight, real contender. Got into this job because I could break someone down with my hands.
TIH00000815	There was always work, because I just knew where to hit a man to make him cry like a little fucking girl and beg for mercy...
TIH00000816	And that's what I'm going to do to you... just when you think it can't get any worse, that's when the real pain's gonna start.
TIH00000817	No, I won't kill you, but I'm gonna break you into tiny little fucking pieces that can't be put back together.
TIH00000818	You'll be eating food through a straw and begging in Freeside, sucking cock for cash. That's where you're headed, shit for brains.
TIH00000819	You listen to me, old man - the Syndicate can't stop me. Zimmer is a dead man.
TIH00000820	Since you won't fucking listen... well, fuck you!
TIH00000821	I used to be a prize fighter up in Reno... heavyweight, real contender. Got into this job because I could break someone down with my hands.
TIH00000822	There was always work, because I just knew where to hit a man to make him cry like a little fucking girl and beg for mercy...
TIH00000823	And that's what I'm going to do to you... just when you think it can't get any worse, that's when the real pain's gonna start.
TIH00000824	No, I won't kill you, but I'm gonna break you into tiny little fucking pieces that can't be put back together.
TIH00000825	You'll be eating food through a straw and begging in Freeside, sucking cock for cash. That's where you're headed, shit for brains.
TIH00000826	aaInheritance01ChaseRespWantMoney!
TIH00000827	Since you won't fucking listen... well, fuck you!
TIH00000828	I used to be a prize fighter up in Reno... heavyweight, real contender. Got into this job because I could break someone down with my hands.
TIH00000829	There was always work, because I just knew where to hit a man to make him cry like a little fucking girl and beg for mercy...
TIH00000830	And that's what I'm going to do to you... just when you think it can't get any worse, that's when the real pain's gonna start.
TIH00000831	No, I won't kill you, but I'm gonna break you into tiny little fucking pieces that can't be put back together.
TIH00000832	You'll be eating food through a straw and begging in Freeside, sucking cock for cash. That's where you're headed, shit for brains.
TIH00000833	I don't care about the Syndicate. I want my damn money.
TIH00000834	Do you ever shut up? Christ, you need to get out more often.
TIH00000835	Since you won't fucking listen... well, fuck you!
TIH00000836	I used to be a prize fighter up in Reno... heavyweight, real contender. Got into this job because I could break someone down with my hands.
TIH00000837	There was always work, because I just knew where to hit a man to make him cry like a little fucking girl and beg for mercy...
TIH00000838	And that's what I'm going to do to you... just when you think it can't get any worse, that's when the real pain's gonna start.
TIH00000839	No, I won't kill you, but I'm gonna break you into tiny little fucking pieces that can't be put back together.
TIH00000840	You'll be eating food through a straw and begging in Freeside, sucking cock for cash. That's where you're headed, shit for brains.
TIH00000841	As a point of fact, I've killed thousands. You might as well be next.
TIH00000842	Since you won't fucking listen... well, fuck you!
TIH00000843	I used to be a prize fighter up in Reno... heavyweight, real contender. Got into this job because I could break someone down with my hands.
TIH00000844	There was always work, because I just knew where to hit a man to make him cry like a little fucking girl and beg for mercy...
TIH00000845	And that's what I'm going to do to you... just when you think it can't get any worse, that's when the real pain's gonna start.
TIH00000846	No, I won't kill you, but I'm gonna break you into tiny little fucking pieces that can't be put back together.
TIH00000847	You'll be eating food through a straw and begging in Freeside, sucking cock for cash. That's where you're headed, shit for brains.
TIH00000848	Trust me, I've survived a lot worse than the Syndicate.
TIH00000849	Since you won't fucking listen... well, fuck you!
TIH00000850	I used to be a prize fighter up in Reno... heavyweight, real contender. Got into this job because I could break someone down with my hands.
TIH00000851	There was always work, because I just knew where to hit a man to make him cry like a little fucking girl and beg for mercy...
TIH00000852	And that's what I'm going to do to you... just when you think it can't get any worse, that's when the real pain's gonna start.
TIH00000853	No, I won't kill you, but I'm gonna break you into tiny little fucking pieces that can't be put back together.
TIH00000854	You'll be eating food through a straw and begging in Freeside, sucking cock for cash. That's where you're headed, shit for brains.
TIH00000855	No, you don't know what you're up against. Nobody will remember the Syndicate when I'm finished.
TIH00000856	Since you won't fucking listen... well, fuck you!
TIH00000857	I used to be a prize fighter up in Reno... heavyweight, real contender. Got into this job because I could break someone down with my hands.
TIH00000858	There was always work, because I just knew where to hit a man to make him cry like a little fucking girl and beg for mercy...
TIH00000859	And that's what I'm going to do to you... just when you think it can't get any worse, that's when the real pain's gonna start.
TIH00000860	No, I won't kill you, but I'm gonna break you into tiny little fucking pieces that can't be put back together.
TIH00000861	You'll be eating food through a straw and begging in Freeside, sucking cock for cash. That's where you're headed, shit for brains.
TIH00000862	<Remain Silent>
TIH00000863	You fucking mute motherfucker, you...
TIH00000864	Fuck you, fat man.
TIH00000865	Eh, not original, but succinct.
TIH00000866	You come at me like the Marquess of Queensberry, and I'll put an iron fist through your throat.
TIH00000867	It's gonna be nice to face a real pugilist for once. Won't change a fucking thing, though.
TIH00000868	I'm going to carve your fat ass into bacon and serve it up to those mimes at the Ultra-Luxe.
TIH00000869	Oh, mio dio!
TIH00000870	Talk is cheap, Tony. Make a move if you're serious.
TIH00000871	...
TIH00000872	I don't want to fight you.
TIH00000873	Then this won't take long at all. Why don't you just stand there, real still-like for me...
TIH00000874	Honestly, do you know how to shut the fuck up?
TIH00000875	...
TIH00000876	<Remain Silent>
TIH00000877	You are really persistent with that facade, aren't you? You know it's nothing special. A base coward can silently scowl.
TIH00000878	Where's my money?
TIH00000879	Right, the money! It's not even ten feet from you. Enough to set you for life, perhaps.
TIH00000880	No tricks, look past the barred door, there's a tidy stack of bullion. The Enclave had impressive printing abilities, I must admit.
TIH00000881	I think you know why I came here.
TIH00000882	What? That little episode in the vault? Quite a show. You didn't disappoint, though.
TIH00000883	You seem awfully relaxed for a man who's about to die.
TIH00000884	You're half-right, Courier. I am relaxed... but I'm not afraid to die.
TIH00000885	That's what makes me strong - equanimity. I always liked that word.
TIH00000886	I'm tired of listening to you talk. Can we get this over with?
TIH00000887	Patience. I know you're not that brash, otherwise you'd have come in lobbing grenades. You're smarter than that.
TIH00000888	I'm new to the Mojave, so I've made it a priority to familiarize myself with the history, politics... the players. Somehow your name keeps coming up.
TIH00000889	I've been wanting to meet you for some time, really. It's another reason I didn't gas you in that vault. It would've been unseemly.
TIH00000890	I knew that cowing you would be a challenge. Odds were that you would show up here.
TIH00000891	I was looking forward to this... a worthy opponent, an opportunity to make my own name, while letting you pass... with dignity.
TIH00000892	Who would cross "The man who killed Courier Six?" Has a ring to it, like one of those pre-war Western films.
TIH00000893	Let me guess - this is the part where you try to persuade me to walk away, right?
TIH00000894	Oh, no. We're well past that, Courier.
TIH00000895	I'm new to the Mojave, so I've made it a priority to familiarize myself with the history, politics... the players. Somehow your name keeps coming up.
TIH00000896	I've been wanting to meet you for some time, really. It's another reason I didn't gas you in that vault. It would've been unseemly.
TIH00000897	I knew that cowing you would be a challenge. Odds were that you would show up here.
TIH00000898	I was looking forward to this... a worthy opponent, an opportunity to make my own name, while letting you pass... with dignity.
TIH00000899	Who would cross "The man who killed Courier Six?" Has a ring to it, like one of those pre-war Western films.
TIH00000900	<Remain Silent>
TIH00000901	You are truly a disappointment. Here I was, ready to hold a lengthy conversation with the legendary Courier Six.
TIH00000902	I even had the boys clean this place up, thinking you might show up. And here you are, and you can't even summon a response.
TIH00000903	Funny how rumors depart from reality. I heard you were a loquacious sort - a convenient lie. You'll just have to be content listening to me.
TIH00000904	I'm new to the Mojave, so I've made it a priority to familiarize myself with the history, politics... the players. Somehow your name keeps coming up.
TIH00000905	I've been wanting to meet you for some time, really. It's another reason I didn't gas you in that vault. It would've been unseemly.
TIH00000906	I knew that cowing you would be a challenge. Odds were that you would show up here.
TIH00000907	I was looking forward to this... a worthy opponent, an opportunity to make my own name, while letting you pass... with dignity.
TIH00000908	Who would cross "The man who killed Courier Six?" Has a ring to it, like one of those pre-war Western films.
TIH00000909	Why are we even talking?
TIH00000910	I'm new to the Mojave, so I've made it a priority to familiarize myself with the history, politics... the players. Somehow your name keeps coming up.
TIH00000911	I've been wanting to meet you for some time, really. It's another reason I didn't gas you in that vault. It would've been unseemly.
TIH00000912	I knew that cowing you would be a challenge. Odds were that you would show up here.
TIH00000913	I was looking forward to this... a worthy opponent, an opportunity to make my own name, while letting you pass... with dignity.
TIH00000914	Who would cross "The man who killed Courier Six?" Has a ring to it, like one of those pre-war Western films.
TIH00000915	<Remain Silent>
TIH00000916	So, the mythical Courier is an imbecile. I've got to start lowering my expectations.
TIH00000917	You see, my employer has rewarded me for my service to the organization... I've done well. It's interesting what people do with wealth.
TIH00000918	Some invest... others blow it on booze, pussy, passing pleasure. Me... I buy implants. Not comfortable going in, but so good once they're settled.
TIH00000919	One of my implants regulates cardiovascular performance, and it's been tweaked, for a specific purpose.
TIH00000920	When I have it activated, it can operate as a sort of fail-deadly switch, connected to explosives and what not.
TIH00000921	Incidentally, I have the loot surrounded by high explosives. If I die, my implant will trigger enough C4 to bury every lick of gold in there.
TIH00000922	Maybe you don't care about the gold, and that's fine. But if you do, then listen closely.
TIH00000923	I will turn off my implant's signal if you agree to fight me on my terms - with  a katana. If you win, then you get the gold. Otherwise... nothing.
TIH00000924	Well, it's always nice to meet a fan. Can we get on with this?
TIH00000925	You... your organization... mean *nothing* to me.
TIH00000926	Now that's cutting deep, Courier. You've wounded me.
TIH00000927	You see, my employer has rewarded me for my service to the organization... I've done well. It's interesting what people do with wealth.
TIH00000928	Some invest... others blow it on booze, pussy, passing pleasure. Me... I buy implants. Not comfortable going in, but so good once they're settled.
TIH00000929	One of my implants regulates cardiovascular performance, and it's been tweaked, for a specific purpose.
TIH00000930	When I have it activated, it can operate as a sort of fail-deadly switch, connected to explosives and what not.
TIH00000931	Incidentally, I have the loot surrounded by high explosives. If I die, my implant will trigger enough C4 to bury every lick of gold in there.
TIH00000932	Now maybe you don't care about the gold, and that's fine. But if you do, then listen closely.
TIH00000933	I will turn off my implant's signal if you agree to fight me on my terms - with  a katana. If you win, then you get the gold. Otherwise... nothing.
TIH00000934	Fuck you.
TIH00000935	This meeting has been such... a letdown. I was expecting so much more from you.
TIH00000936	You see, my employer has rewarded me for my service to the organization... I've done well. It's interesting what people do with wealth.
TIH00000937	Some invest... others blow it on booze, pussy, passing pleasure. Me... I buy implants. Not comfortable going in, but so good once they're settled.
TIH00000938	One of my implants regulates cardiovascular performance, and it's been tweaked, for a specific purpose.
TIH00000939	When I have it activated, it can operate as a sort of fail-deadly switch, connected to explosives and what not.
TIH00000940	Incidentally, I have the loot surrounded by high explosives. If I die, my implant will trigger enough C4 to bury every lick of gold in there.
TIH00000941	Maybe you don't care about the gold, and that's fine. But if you do, then listen closely.
TIH00000942	I will turn off my implant's signal if you agree to fight me on my terms - with  a katana. If you win, then you get the gold. Otherwise... nothing.
TIH00000943	I've killed worse than you, Zimmer. You think you're tougher than the Judge?
TIH00000944	Ha! I heard that story. The Judge... so you killed that towering pervert, good for you.
TIH00000945	The honorable Judge Richter, who spent his days frolicking with slave boys, playing "Guess what's under Uncle Touchy's top hat." Hardly impressive!
TIH00000946	Besides, that old pederass was past his prime. Who else? Fiends? Local Tough guys? I doubt you broke a sweat.
TIH00000947	You see, my employer has rewarded me for my service to the organization... I've done well. It's interesting what people do with wealth.
TIH00000948	Some invest... others blow it on booze, pussy, passing pleasure. Me... I buy implants. Not comfortable going in, but so good once they're settled.
TIH00000949	One of my implants regulates cardiovascular performance, and it's been tweaked, for a specific purpose.
TIH00000950	When I have it activated, it can operate as a sort of fail-deadly switch, connected to explosives and what not.
TIH00000951	Incidentally, I have the loot surrounded by high explosives. If I die, my implant will trigger enough C4 to bury every lick of gold in there.
TIH00000952	Maybe you don't care about the gold, and that's fine. But if you do, then listen closely.
TIH00000953	I will turn off my implant's signal if you agree to fight me on my terms - with  a katana. If you win, then you get the gold. Otherwise... nothing.
TIH00000954	You certainly went to a lot of trouble to get me down here.
TIH00000955	Perhaps, but I think it was worth it.
TIH00000956	You see, my employer has rewarded me for my service to the organization... I've done well. It's interesting what people do with wealth.
TIH00000957	Some invest... others blow it on booze, pussy, passing pleasure. Me... I buy implants. Not comfortable going in, but so good once they're settled.
TIH00000958	One of my implants regulates cardiovascular performance, and it's been tweaked, for a specific purpose.
TIH00000959	When I have it activated, it can operate as a sort of fail-deadly switch, connected to explosives and what not.
TIH00000960	Incidentally, I have the loot surrounded by high explosives. If I die, my implant will trigger enough C4 to bury every lick of gold in there.
TIH00000961	Maybe you don't care about the gold, and that's fine. But if you do, then listen closely.
TIH00000962	I will turn off my implant's signal if you agree to fight me on my terms - with  a katana. If you win, then you get the gold. Otherwise... nothing.
TIH00000963	If you want to kill me, why haven't you made your move?
TIH00000964	You think too little of me. At the very least, I wanted to give a proper introduction... look you in the eyes before I do you in.
TIH00000965	You see, my employer has rewarded me for my service to the organization... I've done well. It's interesting what people do with wealth.
TIH00000966	Some invest... others blow it on booze, pussy, passing pleasures. Me... I buy implants. Not comfortable going in, but so good once they're settled.
TIH00000967	One of my implants regulates cardiovascular performance, and it's been tweaked, for a specific purpose.
TIH00000968	When I have it activated, it can operate as a sort of fail-deadly switch, connected to explosives and what not.
TIH00000969	Incidentally, I have the loot surrounded by high explosives. If I die, my implant will trigger enough C4 to bury every lick of gold in there.
TIH00000970	Maybe you don't care about the gold, and that's fine. But if you do, then listen closely.
TIH00000971	I will turn off my implant's signal if you agree to fight me on my terms - with  a katana. If you win, then you get the gold. Otherwise... nothing.
TIH00000972	Why do you keep saying "My Employer?" Just say his name.
TIH00000973	I call him "My Employer" because to say his name is forbidden - an offense punishable by death.
TIH00000974	I am personally acquainted with him. He trained me in the exquisite art of the samurai sword. I am his greatest pupil.
TIH00000975	<Remain Silent>
TIH00000976	Cocksucker!
TIH00000977	This ain't feudal Japan, and you ain't Musashi. I'm going to cut your goddamn head off.
TIH00000978	You have exceeded my expectations. I'll store your weapons in a nearby locker. I've got the key on my person, in the off chance you best me.
TIH00000979	You'll be using this katana. Let's go somewhere with a little more room...
TIH00000980	Fine, I'll fight you on your terms.
TIH00000981	Very well. I'll store your weapons in a nearby locker. I've got the key on my person, in the off chance you best me.
TIH00000982	You'll be using this katana. Let's go somewhere with a little more room...
TIH00000983	I don't care about the money. I just want to watch you bleed out. <Attack>
TIH00000984	Then by all means, let the bleeding begin!
TIH00000985	You and your employer can fuck yourselves.
TIH00000986	Wrong answer.
TIH00000987	aaInheritance01ZimmerFINALESpeech
TIH00000988	You know what would happen to me? My employer would kill my entire family... if I had one. This thing, it's all I've got. I don't have anyone.
TIH00000989	Maybe I do need to start over, turn away from it. I can't go back to Reno. Maybe I'll go south.
TIH00000990	Here, take this. I won't need it where I'm going. Sayonara, Courier.
TIH00000991	The Mojave is a dead end for you. Your only choice is to walk away - leave this life behind you.
TIH00000992	Maybe we could... but action... feels so much better than words right now.
TIH00000993	Let's talk this out. Maybe we can reach an agreement.
TIH00000994	aaInheritance01ZimmerFINALEIntelligence
TIH00000995	Do you know how many self-proclaimed badasses I've killed? How are you any different?
TIH00000996	I'm not afraid to die, Courier. I respect God, but I don't count on his help.
TIH00000997	I know my end, and I'm at peace with it. The real question is whether or not you realize where you're headed.
TIH00000998	It doesn't matter how many badasses you kill, how tough you think you are. One day you'll make a mistake, be negligent, or just get old.
TIH00000999	I like reading old books, pre-war stuff. Ever heard of Bill Hickock? Killed all sorts of people in his day.
TIH00001000	You know how he died? It wasn't some grand duel in the street, an epic showdown with a worthy opponent.
TIH00001001	Some dreg, a bottom-feeding asshole, just walked into a saloon and popped Hickock in the back of the head. Payback for killing his brother.
TIH00001002	If you're lucky, Courier... you'll die here, with a sword in your hand, killed by a proper foe.
TIH00001003	You might get old, die in your bed. But more than likely some punk will wait until you're drunk, high, or just distracted. Then they'll strike.
TIH00001004	A warrior's death is the best you can hope for, and I'm offering it.
TIH00001005	aaInheritance01ZimmerStartDuel
TIH00001006	Defend yourself.
TIH00001007	<Remain Silent>
TIH00001008	I'll assume that is the sound of due rumination, and that your consent is implicit. Though, I don't care if you consent or not.
TIH00001009	I'm not going to participate in your twisted contest.
TIH00001010	Something tells me Bradley might feel differently. Nothing like that survival instinct to alter someone's character.
TIH00001011	Goodbye, Courier. I trust we'll never speak of this again.
TIH00001012	I'm going to eat your fucking heart, you sniveling cunt.
TIH00001013	Easy, Courier. I've got a Fiend up here with delicate sensibilities. We wouldn't want to offend him, right?
TIH00001014	Why don't you save all that aggression and angst for Mr. Bradley?
TIH00001015	I'm sorry too, Bradley.
TIH00001016	I'll see you on the other side, Courier.
TIH00001017	Let's do this. I'm sick of hearing you whine like a little bitch.
TIH00001018	You just made this a lot easier.
TIH00001019	That's goddamn right. I'm going out on my terms. Just promise me you'll reckon with these fucks.
TIH00001020	I was saving this Mother Darkness for a special occasion. Seems like as good a time as any. See you around, Courier.
TIH00001021	Don't do this, Bradley. He wants us to fight like caged animals. We're better than that.
TIH00001022	No, I'm not going to get gassed like a fucking insect. I'd rather go out with a weapon in my hands. Sorry, Courier.
TIH00001023	Put down the weapon, Bradley. We can find a way out of this.
TIH00001024	<Reputation Check>
TIH00001025	Listen to me. That fuck on the intercom wants us to fight like gladiators, dogs... I won't give him the satisfaction.
TIH00001026	But... after everything I've done, I've got it coming. You can do this... no, you have to do this.
TIH00001027	Just promise me... swear... that you'll settle with these fucks. You'll do that, won't you?
TIH00001028	Do it before I change my mind. I'll see you on the other side, friend.
TIH00001029	[Reputation] I'm not going to do this, Bradley.
TIH00001030	I'll see you on the other side, Courier.
TIH00001031	Let's get this over with.
TIH00001032	<Remain Silent>
TIH00001033	You're a cold fuck, aren't you? Goodbye, Courier.
TIH00001034	I'm here because of what you did to Bradley.
TIH00001035	What I did? It's fair to say that you did the... doing.
TIH00001036	Maybe... we can flip a coin?
TIH00001037	Pretty fucking twisted, but that makes the most sense right now.
TIH00001038	I always kept a Legion Denarius in my pocket, thinking it was good luck. Never thought it would be used like this.
TIH00001039	Call it. Heads or tails?
TIH00001040	Heads.
TIH00001041	Let's see...
TIH00001042	Caesar's ugly mug... I should've know it would screw me.
TIH00001043	But if you can't abide a coin toss, I suppose nothing is sacred. At least that laughing fucker won't get the pleasure of watching us fight.
TIH00001044	Whatever you do, just promise me you'll reckon with them. We didn't deserve this.
TIH00001045	I was saving this Mother Darkness for a special occasion. Seems like as good a time as any. See you around, Courier.
TIH00001046	Tails.
TIH00001047	Let's see...
TIH00001048	And it's the three stooges. I should've known they would fuck me.
TIH00001049	But if you can't abide a coin toss, I suppose nothing is sacred. At least that laughing fucker won't get the pleasure of watching us fight.
TIH00001050	Whatever you do, just promise me you'll reckon with them. We didn't deserve this.
TIH00001051	I was saving this Mother Darkness for a special occasion. Seems like as good a time as any. See you around, Courier.
TIH00001052	Thank you.
TIH00001053	You're welcome. Have a great day.
TIH00001054	<Remain Silent>
TIH00001055	Okay... have a nice day?
TIH00001056	Fuck off.
TIH00001057	I don't get paid enough for this shit.
TIH00001058	aaInheritancePost04FelixGreetPlayer01
TIH00001059	What message?
TIH00001060	My employer says that the initial harassers were just the first, designed to test you. I am here... to end you. To end this.
TIH00001061	I will return your head to him, and it will be mounted on the wall... a trophy to the futility of defiance. That is my message.
TIH00001062	I'm going to rip your guts out and put them in a briefcase. Then I'll deliver it to your boss.
TIH00001063	Jesucristo!
TIH00001064	<Remain Silent>
TIH00001065	My employer says that the initial... harassers... were just the first, designed to test you. I am here... to end you. To end this.
TIH00001066	I will return your head to him, and it will be mounted on the wall... a trophy to the futility of defiance. That is my message.
TIH00001067	[Taunt] Chinga te, pendejo.
TIH00001068	...
TIH00001069	I'm getting tired of this. How many of you do I have to kill to end this?
TIH00001070	This will only take a moment, Courier.
TIH00001071	My employer says that the initial harassers were just the first, designed to test you. I am here... to end you. To end this.
TIH00001072	I will return your head to him, and it will be mounted on the wall... a trophy to the futility of defiance. That is my message.
TIH00001073	<Remain Silent>
TIH00001074	Ok...
TIH00001075	Prepare to die?
TIH00001076	I'm the only one delivering messages around here, asshole. <Attack>
TIH00001077	...
TIH00001078	Can we get this over with? <Attack>
TIH00001079	Gladly.
TIH00001080	Thank you.
TIH00001081	You're welcome. Have a good day.
TIH00001082	<Remain Silent>
TIH00001083	<The courier glares at you>
TIH00001084	Fuck off.
TIH00001085	Right back at you.
TIH00001086	To hell with this. You need to learn to solve your own problems.
TIH00001087	You'd throw away a boy's life, just on some selfish impulse? What the hell is wrong with you?
TIH00001088	Get out of my sight, you worthless cunt. Westside is better off without you.
TIH00001089	You'd throw away a boy's life, just on some selfish impulse? What the hell is wrong with you?
TIH00001090	Get out of my sight, you worthless cunt. Westside is better off without you.
TIH00001091	Wait, they want 50,000 caps from me? That's my money!
TIH00001092	No shit. Look, we've been trying to get donations from the citizens, and we've managed to get some caps for you.
TIH00001093	It's not much, but it should help ease the burden on your pockets. We want you to know that we're with you in this, it ain't just your problem.
TIH00001094	What are my options?
TIH00001095	Don't even think about going in there like some gunslinging cowboy.
TIH00001096	This is a hair-trigger bunch of lunatics led by some cannibal, calls himself Chester. Chester... even the name sounds twisted.
TIH00001097	They say that you are to show up with 50,000 caps in hand, no questions asked. If you show up with 49,999, they kill the kid.
TIH00001098	If you try to ninja your ass in there, they'll blow the kid to high hell. It's a thick shit sandwich, and you're going to have to bite into it.
TIH00001099	I'd say show up with the caps, but see if you can talk out a compromise, maybe even get them to release the kid for free.
TIH00001100	They're crazier than ever, but they were starting to thin out. The problem with paying is that they'll use those caps to buy dope and get re-armed.
TIH00001101	That's the damnable thing, Courier. Everyone wants to see that child returned safely, but goddamn, if the Fiends get that kind of money...
TIH00001102	They'd squeeze the life out of Westside.
TIH00001103	Why isn't the militia doing anything?
