AAD00100001	问好
AAD00100637	我就是不习惯见到尸鬼。
AAD00100638	别让阿卡德出事，好吗？
AAD00100639	借光。
AAD00100640	我的脚痛死了。
AAD00100641	大汗帮真是疯了。他们居然在大坝之战中同时攻击军团和NCR。
AAD00100642	真恶心。那野狗的脑袋居然就这样露在外面。
AAD00100643	啊。有个被烧伤的家伙跑到我们的营地来啦。
AAD00100644	这个浮空机器人可真奇怪。它能有啥用？
AAD00100645	那是什么东西？我从没见过蓝色的变种人。
AAD00100646	听说军团正策划进攻胡佛水坝。幸好我不在那儿。
AAD00100647	听说大汗帮卷铺盖离开了红岩峡谷。我一直以为他们会和NCR再打一仗呢。
AAD00100648	金博尔总统差点在胡佛水坝被杀。这下他该明白我们对NCR的感觉了吧。
AAD00100649	长街那座高塔，就是好几里外都能看到的那座，我听说它终于开放了。.
AAD00100650	大汗帮的人被困在巨石城的废墟里，最后全被NCR杀了。简直是苦泉的翻版。
AAD00100651	终于有人把轰鸣恶煞那个狗日的干掉了。死得好啊。.
AAD00100652	长街上那种机器人，我时不时能看见它们有一两个从这儿路过。它们的嘴脸比以前更难看了。
AAD00100653	谁关心的凯撒死活啊？跟我们镇子又没半点关系。
AAD00100654	NCR的实力也就那么回事！他们的总统死在了胡佛水坝！
AAD00100655	你听说了NCR总统被人谋杀了吗？看来这阵子很难再搞到药品了……
AAD00100656	如果NCR连自己的总统都保护不了，他们凭什么来保护维加斯？
AAD00100657	NCR的王牌游骑兵军士长汉隆，饮弹自尽了。你想想，如果NCR有一丝打败军团的希望，他会这么做吗？
AAD00100658	大汗帮离开了红岩峡谷。我们以后去找谁做药？
AAD00100659	听说大汗帮又被屠杀了。不过这次没有幸存者了。
AAD00100660	某个游骑兵驻站发生了屠杀。具体是哪个就不知道了。
AAD00100661	大汗帮的人被困在巨石城的废墟里，但NCR最后居然放了他们。这太不正常了。
AAD00100662	你见过那些穿黑色盔甲的游骑兵吗？我可不想惹到他们！
AAD00100663	金博尔死了，不知道军团兵临城下还需要多久。
AAD00100664	游骑兵，在长街？这可是好伙伴啊，先生！
AAD00100665	凯撒死得好啊！我们终于可以真正休个好假，而不必担心军团进攻麦卡伦了。
AAD00100666	变种人跑到长街来干什么？
AAD00100667	我敢打赌蛾摩拉现在正进行着什么肮脏的交易。
AAD00100668	我敢打赌蛾摩拉现在正进行着什么肮脏的交易。
AAD00100669	你看， "朋友，"你可以离我远一点——你这样好名声的人，和我的生意可不太搭。
AAD00100670	很高兴林戈回来了。他一定有很多故事要说。
AAD00100671	莫尔上校在西部的时候，曾经历过与兄弟会的四次大战。如果说还有谁能对付军团的话，那肯定就是她。
AAD00100672	你听过莫尔上校前不久被蛾摩拉赶出来的传言吗？我听说从那以后她就和黑手党结下了梁子。
AAD00100673	真不敢相信莫尔上校居然会接受兄弟会的帮助。要知道在西部的时候，她很多弟兄都死在兄弟会枪下。
AAD00100674	老兄，我受够了。莫尔根本把不拿我们当人。
AAD00100675	别跟旁人说啊，我好几次都被莫尔上校吓到了。
AAD00100676	奥利弗可不比我笨！
AAD00100677	外面的战斗真的已经结束了吗？
AAD00100678	楼上，还是楼下？如果我是胆小鬼的话，我会躲在哪呢？
AAD00100679	好好利用掩体。他们换弹夹的时候就是最好的进攻时机。
AAD00100680	他们的武器在近距离作战时发挥不出最佳效果。
AAD00100681	这地方很快就会属于军团。
AAD00100682	我已经干掉八个了。你干掉了几个？
AAD00100683	希望军团别攻到这里来。
AAD00100684	对不起，我现在得料理伤员。
AAD00100685	朱莉·法卡斯从不拿“这里需要我们”开玩笑。
AAD00100686	流了这么多血。真是草菅人命。
AAD00100687	请不要伤害我！
AAD00100688	我只是个医疗兵！请别伤害我！
AAD00100689	那地方怎么他妈怎么亮。.
AAD00100690	嘿，老兄，入乡随俗。
AAD00100691	总统要来视察，太多事情要准备，但我们时间太少。
AAD00100692	有什么问题？
AAD00100693	又是你。怎么了？
AAD00100694	快点。我们时间不多。
AAD00100695	军团搞小动作的可能性不大，但我们也不能掉以轻心。
AAD00100696	总统来视察让我非常兴奋。这真是伟大的一刻！
AAD00100697	军团打过来了！赶紧逃命吧！
AAD00100698	我还年轻，不想死！
AAD00100699	安静，我在听演讲。
AAD00100700	别说话。金博尔总统正演讲呢。
AAD00100701	嘘！我在认真听呢。
AAD00100702	金博尔总统讲得真好。.
AAD00100703	今天能到这里真的很荣幸。我真的很幸运。
AAD00100704	金博尔总统的西装真帅气。
AAD00100705	有我保护总统，不会发生任何事的。
AAD00100706	欢迎来到深红商队公司新维加斯分部。我能为你做些什么？
AAD00100707	坏小孩就该被打屁股，我们会找到本尼的。是吧，利奥？ ?
AAD00100708	小甜心，如果第一次没成功，那就再试一次。学骑单车是这样，杀总统也是这样！
AAD00100709	奶奶真骄傲，她的小南瓜利落地干掉了总统！
AAD00100710	利奥发飙了，小南瓜。他想要剁了总统！
AAD00100711	顶楼！
AAD00100712	高档套房！
AAD00100713	B2！机械工厂！
AAD00100714	嗯？你还有什么事？
AAD00100715	我刚接到了一通来自基利博士热情洋溢的电话。看来我们得谢谢你让她活了下来。你可真是善良哟。
AAD00100716	啊！我还在想你怎样了呢。
AAD00100717	你在我的办公室里干什么？这里不欢迎你，出去！
AAD00100718	我现在有些忙，不过还是能聊两句。
AAD00100719	如果你能找到基利并且保证她的安全，我会尽我所能报答你。说话算话。
AAD00100720	基利刚刚打电话来了。你真该听听总管是怎么说的："但是我——""等等——""听我说——"
AAD00100721	她连一句完整的话都没让他说完，反倒是他骂得狗血淋头，因为他派了那么多人去避难所。我从没见过他脸红成那样，整张脸都扭曲了。
AAD00100722	谢谢你救了她。这是我答应给你的瓶盖。我就知道我没看错你。
AAD00100723	你找到基利了吗? 你有段时间没有回来了，所以我想……
AAD00100724	噢！再次见到你真是太高兴了。
AAD00100725	你是新来的？我是安吉拉·威廉姆斯。你是随便逛逛呢，还是……
AAD00100726	这些避难所科技的机器太容易坏了。几天前我才把这电梯勉强修好，现在它又坏了。
AAD00100727	啊，搞定了。楼上见。
AAD00100728	啊，很好。你活了下来。我还在想你没准活不成了。我得告诉你个好消息，孢子问题终于解决了。
AAD00100729	剩下要做的就是杜绝这种事再次发生。所以引发这次事故的所有研究资料都必须销毁。
AAD00100730	别在意我。我还得整理一下行装，处理一些别的事宜。很快就会动身的。
AAD00100731	有人除掉了NCR的总统。他终于遭报应了。
AAD00100732	最好低调点。NCR和军团的大战一触即发。
AAD00100733	去你妈的。
AAD00100734	你回来了，从父汗那里带回了什么消息？ ?
AAD00100735	有人除掉了NCR的总统。他终于遭报应了。
AAD00100736	有人干掉了军团的老大。但我认为这并不会延缓他们扩张的脚步。
AAD00100737	最近往来的部队增加了不少，不知发生了什么事情。
AAD00100738	最好低调点。NCR和军团的大战一触即发。
AAD00100739	能够再见到淑女，简直是美梦成真。我已经很多年没有见到罗亚尔这样手舞足蹈了。
AAD00100740	你见到她了吗？我梦中的那位红发女郎？
AAD00100741	嗨！真不敢相信我马上就要见到红发女郎了！我现在还真有点紧张！
AAD00100742	你这该死的东西！我爱她！而你居然眼睁睁地看着她去送死。你为什么没有阻止她？
AAD00100743	去死吧，外来者。离我远点儿。
AAD00100744	你好。又回来了?
AAD00100745	真是相当不得了。我以前从没见过有人能从大炮族的火力压制下活着走出来。
AAD00100746	你好，女士！你能帮我找抱抱先生吗？
AAD00100747	你好，先生！你能帮我找抱抱先生吗？
AAD00100748	嗨！你找到抱抱先生了吗？
AAD00100749	珀尔让我给你带个话，她说现在可以告诉你关于水中淑女的事情了。
AAD00100750	如果你能把轰炸机从米德湖里捞出来，那才真是梦想成真！
AAD00100751	真不知道珀尔在做什么，居然会允许你随心所欲地在内利斯乱逛。
AAD00100752	什么事，外来者？
AAD00100753	嘿。外面有没有玩具？我肯定有些很有意思的东西。
AAD00100754	我听说过你的事迹了，我没什么好和你说的，外来者。
AAD00100755	站住！不要动！
AAD00100756	你他妈怎么从炮击里活下来的？
AAD00100757	是，外来者？
AAD00100758	我没别的意思，但我需要在不当班的时候好好休息。我睡得不好。所以现在不是聊天的时候。
AAD00100759	如果你真有话要说，那就等我当班的时候来找我吧。我早上9点以后都在恐龙嘴里执勤。
AAD00100760	让我们先把这事解决了。
AAD00100761	军团的奴隶贩子在NCR的地盘上还敢那么明目张胆，真是气死我了。
AAD00100762	如果我们没追上他们，他们搞不好已经轻松抵达河对岸了。这一路上都没人阻止他们。
AAD00100763	本来是应该有巡逻队和哨站的。我们太贪心，把战线拉得太长，结果现在连我们自己的地盘都不安全了。
AAD00100764	嘿，我要谢谢你带我来苦泉。事情现在……似乎明朗多了。
AAD00100765	我说过，我不会对你不利，但我也不能因为这件事而让我的部下蒙羞。
AAD00100766	你做得很对，也很出色。即便是游骑兵，也会感到光荣。剩下的事就交给我自己处理吧。
AAD00100767	我能在一千码就发现兄弟会的间谍。就算是个美女都瞒不过我。
AAD00100768	我从没近距离看过尸鬼。还是别看的好。
AAD00100769	这东西受过管教吧？
AAD00100770	我就喜欢你们这些大个子变种人。目标大，容易看见。
AAD00100771	你知道有个机器人跟着你吗？
AAD00100772	不管你要卖什么，我们都不缺。
AAD00100773	士兵，保持距离。
AAD00100774	医生？谁给你供药？
AAD00100775	事实上，我在那次轰炸中稍微驾驶了一下珀尔。干他妈，真是太光荣了。
AAD00100776	真不敢相信，居然能在我有生之年看到超级堡垒建成。
AAD00100777	真的？我们很快就能看到梦想中的飞机了？
AAD00100778	你成功阻止了刺杀！要是我的人能有你一半用心，没准我们一个礼拜就能打赢战争了！
AAD00100779	感谢你的帮助，我觉得我们可以拿下全世界了！
AAD00100780	我们很少在营地见到平民。你是什么来头？
AAD00100781	我听说凯撒死了。也许战争很快就会结束了。
AAD00100782	拉兹说他给我们的糖果很特殊！我很好奇他说的——啊呀，杀，杀，冲啊，杀呀！-到底是什么意思?
AAD00100783	你就是传说中的大英雄。我要写信告诉妈妈我见到你了！
AAD00100784	自从吸了拉兹给我们的那些"违禁品"，我感觉自己的杀戮欲望越来越强烈。
AAD00100785	你的成绩很出色，上级长官都对你青睐有加。你是不是耍了什么小聪明？
AAD00100786	哈哈，我操，还是杰克的货最正！
AAD00100787	终于见到这位给新加州共和国造成无数麻烦的邮差了。
AAD00100788	终于见到那位声名鹊起的邮差了。不过也是因为这样我才召见你的，不是吗？
AAD00100789	你为了报复那个差点杀了你的人，居然追着他横穿了整片莫哈维沙漠？
AAD00100790	服从我的人，都能得到奖赏。今天，你的奖赏就是复仇：我允许你来决定本尼的死法。
AAD00100791	去找本尼，亲自向他下达你的判决。我的禁卫军会遵照执行——除非你想自己动手。
AAD00100792	我要你代表凯撒军团去和白手套社团结盟。
AAD00100793	他们以前是食人族。希望这则情报能有助于你说服他们。快去——
AAD00100794	呃啊啊啊！该死！
AAD00100795	你成功征募白手套社团了吗？
AAD00100796	很好，我们就开门见山吧。我的身体有些不对劲。
AAD00100797	几个月前就开始头痛了。起先并不厉害……可现在越来越频繁了，而且……病痛让我变得非常虚弱。
AAD00100798	过去的两周，我的左腿一直是瘸的。现在它变得更加僵硬，几乎不听使唤。你也看到了我昏厥的样子。
AAD00100799	卢修斯说我有时会突然两眼放空，眨巴几下之后又若无其事地继续说话。你觉得我这究竟是什么症状？
AAD00100800	我的部队已经就位，随时准备突袭水坝。战斗将由副帅兰尼乌斯指挥。
AAD00100801	你准备好去找他了吗？告诉他开始进攻？
AAD00100802	你到底是做了什么不得了的事，会让父汗这么喜欢你？
AAD00100803	我知道你已受邀觐见凯撒。你应该清楚自己获得了怎样的荣耀。
AAD00100804	多谢你救了我的小命。
AAD00100805	找到安德斯了么？
AAD00100806	你好像不是我的老主顾呀。你想要什么？
AAD00100807	嘿，怎么了？
AAD00100808	哎呀，哎呀，瞧瞧又有贵客上门了，这不是长街上最受人喜爱的小猫咪么！不知汤米能为你做些什么呀，宝贝？
AAD00100809	听我说，宝贝，虽然王牌剧场来者不拒，但我真的得麻烦您，别在我们这儿惹事，明白吗？
AAD00100810	我得跟你说实话，宝贝，你干得太漂亮了，简直和18克拉钻石一样。现在我的节目表满当当的，新场子都安排不过来了！
AAD00100811	嘿，拜托，老兄，我在演出啊！
AAD00100812	我没法相信……总统死了。我真的无法相信。
AAD00100813	不得不说，你居然敢大摇大摆地出现在这儿，真是胆量十足。
AAD00100814	我真的很喜欢那些书。它们令我受益匪浅。
AAD00100815	你坚持行善，为他人树立了榜样——游骑兵杰克逊肯定会感激你的。
AAD00100816	回来了？瞧我这运气……这次你又有什么事？ ?
AAD00100817	抱歉，我在忙。
AAD00100818	老大，别担心，我敢肯定凯撒只是想请你去喝杯咖啡之类的。仅此而已。
AAD00100819	我很高兴你决定把莫哈维沙漠中最有权势的人之一置于死地。反正生活也很乏味。真的。
AAD00100820	把那个避难所炸飞有什么意义吗，还是你只是单纯地喜欢看爆炸？
AAD00100821	就是确认一下，咱们并没有打算访问NCR的任何设施，对吧，老大？永远不会有？
AAD00100822	好了，总统已经死了，不过别担心。历史已经一再证明，这种事情从来就不会导致大规模动乱或者世界大战。
AAD00100823	什么东西？那是一条半机械狗吗？ ?
AAD00100824	你最好能管住那东西。机器人都不可信。.
AAD00100825	天启追随者在这里是非常受欢迎的。
AAD00100826	把你的游骑兵拴好。
AAD00100827	怎么又来一个在新维加斯外围闲逛的超级变种人？ ?
AAD00100828	这里欢迎任何人，包括尸鬼。
AAD00100829	就连总统都死了？很好。
AAD00100830	凯撒的死能对这里有个屁的影响。
AAD00100831	那个军团老大根本夺取不了这座城市，不过他死了是最好的。
AAD00100832	荆棘街唯一的问题就是，它把所有的白痴、杂种和上面的人都集中到这下面来了。
AAD00100833	很高兴你能尊重天启追随者。
AAD00100834	管好你身边那条NCR的狗，你现在是在莫哈维。
AAD00100835	非常欢迎你的商人朋友。
AAD00100836	你这个机器人和我在莫哈维见过的东西都不一样。
AAD00100837	你的那个朋友不是从沙漠里来的吧？
AAD00100838	你成功了！非常感谢你的帮助。我欠你——等等！怎么回事？
AAD00100839	有话就去和我边上的大胡子说吧，伙计。这地方，只有胡子最密的人才有发言权……
AAD00100840	我都不知道我们是怎么逃出来的，有那么一分钟我真的以为我们都完了。.
AAD00100841	没有你的话，我们早就死无葬身之地了。非常感谢你的帮助，朋友。
AAD00100842	嘿，朋友！能再次看到你真是太好了。
AAD00100843	这地方没有长街那样光彩夺目，但是我有琼娜——这就足够了。
AAD00100844	我有点向往农夫的生活了。
AAD00100845	最近都没有足够的水来灌溉庄稼了。
AAD00100846	没有圣詹姆斯和德莫特那两个杂种奴隶贩子，我们的日子好过多了。
AAD00100847	那个小甜甜本事不错。
AAD00100848	我会想念有安德森在的日子的。
AAD00100849	能给几个瓶盖吗，先生？
AAD00100850	能给几个瓶盖吗，女士？
AAD00100851	我在九重天输得精光，但如果你给我500瓶盖，我还是会直接回去。中毒不浅，对吧？
AAD00100852	去东部！他们说的，满地废品等你捡。好吧，也没错。
AAD00100853	我可不为自由职业者工作。请你走开。
AAD00100854	你别挡我的道，我也不挡你的道，明白了？
AAD00100855	这里很平静，我们就喜欢这样。
AAD00100856	又来买东西了？
AAD00100857	我想你应该也是有什么仇怨才会杀了德莫特和他的跟班吧。他们确实让人生厌，但这里的人从来都不会去过问。
AAD00100858	你可以去和那些妓女聊天。除非有什么麻烦，否则你我之间没什么可说的。
AAD00100859	每次和姑娘说话，都是我先开口！而我还没和你开口说话呢。
AAD00100860	嘿，宝贝。来和我玩玩？
AAD00100861	欢迎来到卡萨·马德里——新维加斯最便宜、最干净的妓女都在这里。如果你想谈价钱，就和你中意的姑娘说话吧。
AAD00100862	豪斯死了，不知道轰鸣恶煞现在会不会让我们杀进长街。
AAD00100863	你这宠物尸鬼闻起来跟屎一样。
AAD00100864	那是无耻杂种吗？我看他们都长一个样。
AAD00100865	会飞的机器人？伙计，我一定是疯了。
AAD00100866	我不介意和她干一炮，她能撩吗？
AAD00100867	有人想干我们。等我揪出那个狗日的，一定要宰了他。
AAD00100868	操，大汗帮都和NCR称兄道弟了，我们以后从哪儿搞药啊。 ?
AAD00100869	轰鸣恶煞死了？那现在他妈的是谁说了算？ ?
AAD00100870	NCR的人怎么还不来。
AAD00100871	我们给那些NCR的杂种好好上了一课。
AAD00100872	最近都没见迈尔斯，他是逃了还是怎么的？
AAD00100873	爬行者比平时更疯狂了。你自己小心。
AAD00100874	我听说那个女人可以用眼神杀人！离我远点！
AAD00100875	你那个女性朋友应该阳光一点。
AAD00100876	你最好小心点，我听说雷克斯喜欢吃他的主人。要不猫王干嘛那么急着把它送人？
AAD00100877	见到雷克斯还这么鲜活的真好。
AAD00100878	跟着你的尸鬼还真是破衣烂衫的。不过看起来是个好人。
AAD00100879	跟你一起的那个尸鬼看起来像是战前出生的！他肯定见识过许多事。
AAD00100880	哦，不，我听说那些玩意会吃人！退后，怪物！
AAD00100881	你那跟班真奇怪。我还以为所有的超级变种人都是丧心病狂的食人族呢。
AAD00100882	奇怪的机器人，我好像从没见过这型号的。
AAD00100883	据说豪斯会在晚上偷偷放些监视机器人出来，这个机器人好像就是其中之一。
AAD00100884	在莫哈维可不能光靠运气。你最好多加小心。
AAD00100885	她如果想要烈酒，就去原子牛仔看看。
AAD00100886	你把枪收好，就不会有麻烦。
AAD00100887	你让他跟着你可不是什么好事。NCR在这里不受欢迎。
AAD00100888	我听说那家伙杀了几百人，其中不少是无辜的平民。
AAD00100889	我一直都认为阿卡德没有发挥出他真正的实力。要不是天启追随者扯后腿，我打赌他能成大事。
AAD00100890	看到阿卡德走出旧摩门教要塞，我很吃惊，我还以为这种科学人才都足不出户呢。
AAD00100891	巫师！巫师！应该把你烧死，为那些被你变成蜥蜴的人报仇！
AAD00100892	我听说猫王帮被NCR雇的超级变种忍者刺客消灭了！不然还能有谁这么厉害呢？！
AAD00100893	据说大汗帮的人嗑药嗑到丧失理智，进攻了水坝。
AAD00100894	我听说大汗帮在水坝发狂了。估计他们是要追寻最后的荣耀。
AAD00100895	我听说大汗帮至死都在和NCR作对。
AAD00100896	都说大汗帮在红岩峡谷被一锅端了。又少了一伙让人担心的疯子。
AAD00100897	大汗帮并没有消失。他们只是藏在暗处，等待时机……
AAD00100898	大汗帮离开了？要我说，又少了一伙需要担心的暴徒。
AAD00100899	我听说轰鸣恶煞被干掉了。没了他，恶魔帮最终可能会自我毁灭吧。.
AAD00100900	我听说汉隆其实是为外星人服务的，而且被NCR发现了。
AAD00100901	军士长汉隆死了？我听说那家伙连指挥自己从纸箱里爬出来都做不到，还怎么率领部队啊！.
AAD00100902	我朋友都说你为光明会工作，所以你才要杀金博尔。小心点，他们到处都安了监听器！
AAD00100903	金博尔一死，这里的局势更混乱了。不断增加的部队已经证明了这点。
AAD00100904	你把那个叫希鲁斯的家伙从麦卡伦给放了？我想你肯定有自己的理由才帮军团的。
AAD00100905	传言说豪斯先生之所以加入NCR，是因为他有个自己都不知道的私生子在NCR手里。
AAD00100906	你好啊，医生。在这儿见到你还真是稀奇。
AAD00100907	我就喜欢泼辣女人。特别过瘾。
AAD00100908	她看起来很能打。
AAD00100909	希望你已经把那东西的程序设置成对自由城友善了。
AAD00100910	超级变种人？我看也没那么超级啊。
AAD00100911	最近怎么样啊，老头？哦，抱歉。
AAD00100912	嘿，雷克斯。你的新主人把你打扮得锃光瓦亮的嘛。挺好。
AAD00100913	高兴点，女士。你还很年轻呢。
AAD00100914	既然他们的领袖死了，军团很可能会四分五裂。大多数依靠暴力组织起的部落社会，最后都是这个结果。
AAD00100915	有人把NCR用于往返长街的单轨铁路炸了。我们应该抓住这个时机进攻！
AAD00100916	有传言说就是你救了NCR总统的狗命。我真好奇你怎么还有胆子到这里来。
AAD00100917	最近有一起针对NCR总统的刺杀行动。可惜没有成功。
AAD00100918	你就是宰了NCR总统的那个人？我想和你握握手！
AAD00100919	你听说了么？真的有人成功刺杀了NCR总统！可我们却还坐在这儿！
AAD00100920	前几天我听说NCR军方的某个大人物死了。希望这能打乱他们的指挥系统。
AAD00100921	你听说过NCR那个死了的高层吗？他居然一直在暗中搞破坏？希望这么干的不止他一个。
AAD00100922	我们刚刚才听说普瑞姆现在已经归顺NCR了。这样下去，他们很快就会控制这一整片地区。
AAD00100923	这只是暴风雨前的宁静。我第一次觉得我们待在这下面真好。.
AAD00100924	多留心维罗妮卡。她可不是省油的灯。
AAD00100925	别让维罗妮卡受委屈，好吗？
AAD00100926	要是你准备带上维罗妮卡同行，那你一定要准备一副好耳塞。我开玩笑的，维罗妮卡！把动力拳套放下！
AAD00100927	多奇妙的动物啊。我肯定学士们会想研究一下他的。
AAD00100928	你带的那个是III型支援模组？我在一些资料上看到过类似记载，但从没亲眼见过。他做宠物肯定很听话吧。
AAD00100929	你从哪搞来的这个眼球机器人？我从没见过这样的改装。
AAD00100930	管好你的变种人，不要让我们来帮你管。
AAD00100931	妙极了，现在我还要忍受腐烂尸鬼身上的味道。希望空气净化器没出毛病。
AAD00100932	听说你的朋友知识渊博，连不少高阶学士也相形见绌。
AAD00100933	为什么你的朋友这样打量我？我是撞着他了还是怎么着？
AAD00100934	你怎么在这乱晃，也没个警卫跟着，拉莫斯知道吗？
AAD00100935	你适应地堡里的生活了吗？外来者？
AAD00100936	私下跟你说，我很高兴你能来。这地方需要新面孔。
AAD00100937	这么说你现在是我们的一员了，嗯？真是少有的荣誉。
AAD00100938	还有多久我们才能恢复正常巡逻？
AAD00100939	太阳神一号之战后，有人担心NCR会追杀我们，但地堡是绝对安全的。
AAD00100940	记住我的话，哈丁过不了多久就会当上长老。
AAD00100941	为什么我们要躲在地底下呢？我们应该为牺牲的兄弟报仇！
AAD00100942	这些夜间任务什么时候才到头？
AAD00100943	呃，又是VR模拟训练。我宁愿去靶场练习射击。
AAD00100944	这事完了之后，我还得去修理武器。.
AAD00100945	你在外面呆过。NCR真的还在追杀我们吗？
AAD00100946	幸运38的反应堆重启了……几英里外都能看到。
AAD00100947	能尝到这里的佳肴，真是死了都不亏。菲利普做的双头牛肉无与伦比。
AAD00100948	你这两面派！我跟你这样的卑鄙小人无话可说。
AAD00100949	你还傻愣着干什么？你是不是以为自己站着发愣的时候全世界都会停下来等你？赶紧滚回去干活！
AAD00100950	你还傻愣着干什么？你是不是以为自己站着发愣的时候全世界都会停下来等你？赶紧滚回去干活！
AAD00100951	你！你以为你在干什么？
AAD00100952	现在终于可以毋庸置疑地说，我们不光穿的比别人好，吃的也比别人好。
AAD00100953	我们的行政主厨菲利普是新维加斯最棒的大厨。他做的惠灵顿牛排是人间一绝。
AAD00100954	在冈德森先生身边时注意点。
AAD00100955	站那儿别动。你是谁，你想干什么？
AAD00100956	哎呀，漂亮妹子啊！要不有福同享啊？哈哈哈！ !
AAD00100957	精英游骑兵会让人肃然起敬。等过一阵子他们来了，你就明白了。要是能穿上那样一套黑色盔甲，我这辈子也值了。
AAD00100958	活捉军团士兵的机会本来就少。好不容易抓到一个却被我们自己给弄死了，真让人窝火。
AAD00100959	真希望能有个第一侦查营的家伙来掩护我。
AAD00100960	听说我们活捉了一名百夫长，又让他跑了。这事让我来办，是绝不可能搞砸的。
AAD00100961	听说普瑞姆现在归我们管了。但我还是宁愿去长街。
AAD00100962	第一侦查营已经进驻飘零希望营地。这下我们守住的机会就大了。
AAD00100963	你听说军团战俘逃跑的事情了吗？我想再次活捉他的希望不大。
AAD00100964	战俘逃亡暴露出来的是实实在在的安保隐患。搞什么鬼，那可是我们的大本营。
AAD00100965	没想到汉隆居然暗中和我们作对。
AAD00100966	现在普瑞姆到处是NCR的人。躲远点吧。
AAD00100967	有人干掉了NCR的总统。我就知道他会是这下场。
AAD00100968	我的妈呀。从没见过那样的变种人。
AAD00100969	原来现在还有机器狗啊，我都不知道。
AAD00100970	要是变成尸鬼那样，我宁愿不要长生不死。
AAD00100971	这家伙眼神冰冷，绝对在部队里混过。
AAD00100972	这女人挺漂亮。要是能脱掉袍子就更好了。
AAD00100973	挺彪悍的女人。我估计她瞄人都是直接瞄裤裆的。
AAD00100974	当年关牢里的时候，我们可是把这些四眼田鸡当东西卖的。
AAD00100975	我绝对不回监狱。
AAD00100976	我的妈呀。从没见过那样的变种人。
AAD00100977	这家伙眼神冰冷，绝对在部队里混过。
AAD00100978	这女人挺漂亮。要是能脱掉袍子就更好了。
AAD00100979	炸东西玩永远不会腻。
AAD00100980	我倒是不介意能有一个会飞的小机器人。
AAD00100981	我见过那些畜生的真面目，真不懂你怎么能相信他们。
AAD00100982	我就知道豪斯会屈服的！联邦的第六个州，马上要成立了！
AAD00100983	苦泉……这样的名字只会招来厄运。
AAD00100984	不管我走到哪里，人们总在谈论总统遇刺的事。
AAD00100985	豪斯已经不在了，我希望有人能打开幸运38的大门。
AAD00100986	比起文明人，我想你更喜欢和无政府主义的邪教徒们打交道。
AAD00100987	你听说汉隆的事了吗？真是个打击！
AAD00100988	你杀了他！我们没把你怎么样啊？
AAD00100989	我听说有傻逼从麦卡伦营地放走了我们的敌人。
AAD00100990	豪斯先生死了，维加斯也终于可以加入NCR了！
AAD00100991	你的机器人看起来值不少瓶盖啊。
AAD00100992	我希望这些恶魔帮别再出来打劫了，他们的老大都挂了。.
AAD00100993	要变天了，我跟你说。总统的死只是个开始。
AAD00100994	别把你的尸鬼扔这儿，我们周围的破事已经够多了。
AAD00100995	干我们这行的都很尊敬这片地区的商人。
AAD00100996	豪斯是阻止维加斯加入NCR的唯一障碍！
AAD00100997	我们的人修好了列车！
AAD00100998	我们的总统被谋杀了！大事不妙。
AAD00100999	汉隆曾是一位勇敢的士兵，是什么事情把他逼上绝路？
AAD00101000	我就知道大汗帮的那些人信不得！
AAD00101001	普瑞姆的开化会向这片土地上的所有人展示我们的实力。
AAD00101002	我之前在旅途中见过天启追随者。
AAD00101003	我所有的赞美都归于NCR游骑兵。
AAD00101004	你的朋友就是那支传说中的精英部队的一员？
AAD00101005	你的商人朋友会成为NCR的优秀女性公民。
AAD00101006	我之前从未见过这种机器人。
AAD00101007	我希望你能管好那个超级变种人。.
AAD00101008	我了解那些畜生的本性，我不知道你怎么会信任他们。
AAD00101009	我了解那些畜生的本性，我不知道你怎么会信任他们。
AAD00101010	我了解那些畜生的本性，我不知道你怎么会信任他们。
AAD00101011	我了解那些畜生的本性，我不知道你怎么会信任他们。
AAD00101012	你的尸鬼朋友最好身上没有辐射。
AAD00101013	*那个*生物到底是什么?
AAD00101014	你的女性朋友看起来和这个地方不太搭。
AAD00101015	你的朋友太文明了，跟这地方一点都不搭。
AAD00101016	我就该亲手杀掉你这个谋害总统的人，去他妈的法律！
AAD00101017	如果把你的脑袋交给政府，我敢打赌一定会拿到一笔赏金，刺客！
AAD00101018	金博尔的好运到头了。
AAD00101019	很高兴普瑞姆接受了我们的法律。
AAD00101020	最近如何？ ?
AAD00101021	嘿。
AAD00101022	我以前从没见过那样的警卫犬。
AAD00101023	NCR会将文明传播到废土的每一个角落，普瑞姆只是个开始。
AAD00101024	虽说我们也有实力，但看军团部队的阵势，真让我有些心虚。
AAD00101025	想不到啊，天启追随者居然还有人敢离开自由城。
AAD00101026	这只狗一半是机器……但大脑还是狗的大脑。
AAD00101027	真恶心。你和那玩意做朋友？
AAD00101028	那台机器好像一个会飞的眼睛。我不喜欢它。
AAD00101029	你是怎么让那个蓝色怪物听话的？
AAD00101030	我听说了你刺杀金博尔的事。这正是我们军团的目标。
AAD00101031	刺杀金博尔的人在这里是永远受欢迎的。
AAD00101032	The 百夫长希鲁斯居然甘当俘虏，他会受到严惩的。懦夫。
AAD00101033	我从来都不相信凯撒快死了。我在高层有朋友。
AAD00101034	为什么你的堕落得到了容忍？
AAD00101035	刺杀金博尔，干得漂亮。
AAD00101036	嘿，我心爱的小美女，最近过得还好吗？愿意赏我一个吻吗？
AAD00101037	舍不得走是吗，宝贝？我就知道。需要我做点什么？
