DLC20000001	问好
DLC20000658	我很感激。就是它了。这就是我们急需的。现在剩下的安排就是收拾我们的行李，然后不动声色地尽快离开。
DLC20000659	当然，前提是约书亚不会来阻止我。现在看来除了我说的这些外，他还没有告诉你他想与白腿部落开战的计划。
DLC20000660	别担心。我并不是想防范你。你只是个……外来者。尽管战争似乎是很实际的解决办法，但要冒的风险太多了。
DLC20000661	约书亚告诉我说你需要东西。我想这就是了。
DLC20000662	确实。我已经开始失去信心，我很怀疑我们是否能渡过当前的难关。部落的族人很聪明，但……某种程度上来说，他们还很无知。
DLC20000663	更不用说某些禁忌对他们的影响，除非我们当中必须有人站出来。结果现在，一个异教徒出现在我眼前。哦……对不起，我并没有冒犯之意。
DLC20000664	锡安对他们来说是上帝的恩赐，但我们现在须要偷偷撤离锡安，并躲开白腿部落的监视。现在，请回到山谷去。
DLC20000665	确切地说，我需要你侦查白腿部落的几处区域，找到一张“大阶梯”地图。那是在锡安东面的一处广袤区域。
DLC20000666	然后就是路线的问题。我们打算走公园东路出去，但我不确定这条路线是否可行。
DLC20000667	什么？“真理之界”是什么意思？
DLC20000668	嗑药！杀熊！
DLC20000669	寻找药用植物！带神圣曼陀罗根回来！获得真理之界，它会带引你！
DLC20000670	嗯……再见。
DLC20000671	还没。我想先问几个问题。
DLC20000672	搞定了。
DLC20000673	尽头就是真理之界。但至于你是否能找到？或许可以，或许不可以。全靠你自己。
DLC20000674	给，这是给你的礼物，可以时刻警醒你。恰当使用，或者扔掉，都可以。因为这都是你的选择。
DLC20000675	还没。要再等一下。
DLC20000676	茶会等你的。我？或许没那么多耐心。
DLC20000677	准备好了，开始吧。
DLC20000678	喝掉它。此茶效果很强，但有些苦。智慧正如茶一样。你明白？
DLC20000679	还没。我想先问几个问题。
DLC20000680	我已经拿到神圣曼陀罗根了。
DLC20000681	我要用这些根来配“神明之眼”茶。把它喝了，你会看见你当前要走的路。准备好了么？
DLC20000682	我已经准备好出发了。
DLC20000683	这么有劲，哈！小子有种，我看好你。不过我看你现在还一无所知，你就对我们去哪，为什么要去一个问题都没有？
DLC20000684	好了，我们出发吧！锡安，我们来了！
DLC20000685	好的，但我们这趟旅行带不了那么多人。你最好把你的朋友都留下。
DLC20000686	我们已经准备好了。
DLC20000687	好的，但我们这趟旅行带不了那么多人。你最好把你的朋友都留下。
DLC20000688	我们准备好了。走吧。
DLC20000689	我说，你把自己的背包装得那么大，你以为你是头牛吗？
DLC20000690	我说，你把自己的背包装得那么大，你以为你是头牛吗？
DLC20000691	你就这么走？你要知道，这趟路途可是相当遥远的，而且短时间内是不会回来的。你也知道自己能背多少东西吧？
DLC20000692	我可不想听你走到半路时跟我发牢骚，“哦，马斯特森先生，我有一把重要的等离子炮落家里了，能不能先回去一趟？”
DLC20000693	怎么样，现在就出发吗？
DLC20000694	好了，我们出发吧，我准备好了。
DLC20000695	你确定吗？一旦出发，短时间内我们可是不会回来的。
DLC20000696	不，还没。
DLC20000697	快点！别再浪费时间了！我们必须整个隧道塌陷之前离开这里！
DLC20000698	好的，快走！
DLC20000699	你的贡献远远超出我对你的预期。衷心地谢谢你，愿上帝无时不刻保佑你。再见。
DLC20000700	你置他们的死于不顾！他们需要你！你为什么不帮助他们？！
DLC20000701	算了。我已经没时间和你吵了。拿着这张地图。拿着它快走！
DLC20000702	你已经毫无胜算了。你没有资格继续呆在这里。从这个山谷给我滚得越远越好。
DLC20000703	我们会走的，但我们还是会战斗。为了白腿部落！我们是凯撒最强的战士！
DLC20000704	去死吧，你个混蛋！
DLC20000705	你侮辱了我们白腿部落！是你死！
DLC20000706	等等！这一切不必以流血和杀戮为终结！
DLC20000707	[成功] 你说，我听你的。或许我不该杀你。或许。
DLC20000708	[失败] 你的言语毫无底气！我的长矛比你的废话都要来得更加直接有力！
DLC20000709	我们能不能，你知道，做朋友？
DLC20000710	就这样。我们走吧。
DLC20000711	战术啥的就说这么多吧。我们来谈点别的。
DLC20000712	你很好。我们走吧。
DLC20000713	这样的距离正好。我们谈点别的吧。
DLC20000714	离我远点，保持一定的距离。
DLC20000715	向我靠近。
DLC20000716	我们来讨论一下我们之间应该保持多远的距离。
DLC20000717	在这等着。
DLC20000718	我想交换装备。
DLC20000719	我要你使用远程武器。
DLC20000720	我不希望你主动出击，除非我先开始战斗。
DLC20000721	转换到近战武器。
DLC20000722	这就样。我们走吧。
DLC20000723	你带头，我跟着。
DLC20000724	我会跟着你的。
DLC20000725	你就保持这样的战术。我们来谈点别的吧。
DLC20000726	我希望当你看见敌人时，就立刻向他们发起攻击。
DLC20000727	我希望你能改变你的战斗方式。
DLC20000728	我们来讨论一下你的战术。
DLC20000729	我们走。
DLC20000730	我希望你能跟我一起旅行。
DLC20000731	是的，我确定。
DLC20000732	不，我改变主意了。
DLC20000733	回到你的人营地那里去。
DLC20000734	[成功] 恩……好，我看出来你心里有数。
DLC20000735	就算跪下来给我磕头，我也不会睬你。等我们收拾好以后，你就赶快把你的背包塞满。
DLC20000736	别紧张，我就靠着这两只脚，在莫哈维已经摸爬滚打了很长的时间了。没问题的。
DLC20000737	[失败] 我担心的就是这个。我们要经过的几条小道，比新婚初夜处女的双腿夹得还要紧。
DLC20000738	我最不愿看到的，就是一些毛毛躁躁的小伙子把自己卡在石头里，然后就因为他们拖慢了整个商队的速度。
DLC20000739	嘿，伙计，我很酷。你瞧，我有一个大大的背包，里面装满了各种东西！
DLC20000740	[失败] 我担心的就是这个。我们要经过的几条小道，比 -  - 好吧，比一个壮汉的拳头还要紧。
DLC20000741	你要是把自己卡住了，整个商队的速度就会因为你被拖累。上帝啊，快来救救我们吧。
DLC20000742	嘿，伙计，我很酷。你瞧，我有一个大大的背包，里面装满了各种东西！
DLC20000743	为什么要限制背负重量？
DLC20000744	你是不是从来没去过锡安？我们这一路要翻越数不尽的峡谷与山脉，所有的道路都坎坷荆棘，泥泞不堪。
DLC20000745	一个巨大的背包会令你像一个卡在下水道里的超级变种人，而且太多的重量会令微薄的空气直接威胁你的生命。
DLC20000746	事实上，我还有些别的事要办。
DLC20000747	没问题。等你准备好了就回来。
DLC20000748	是的，我确定。
DLC20000749	那么，好吧。我们出发。接下来，可有一段相当长的路在等待我们……
DLC20000750	等等，你就是那个很早以前让赤红商队变成一堆废土的家伙？
DLC20000751	我真要为此感谢你，现在我们“欢乐小径”又多了一块可以开辟的市场。
DLC20000752	等一下，我认识你。呃……你就是爱丽丝.麦克拉菲特的一颗正在冉冉升起的新星？
DLC20000753	你确定你要跟我们走？麦克拉菲特可是禁止任何商队跟她明目张胆地抢生意。
DLC20000754	你能从大遥远赶来真是太棒了。我们本来有一个拥有哔哔小子的队友，但他跑了。不知是不是有什么东西把他吓到了。
DLC20000755	为什么你叫追踪者？
DLC20000756	我们的高级侦察兵会在有猎物的地方用白垩粉做上标记。我还不是一个高级侦察兵，所以我的任务是跟随着这些标记，引导我们的猎人。
DLC20000757	我没有什么问题了。我们谈点别的吧。
DLC20000758	尽管问。
DLC20000759	我想对你多了解一点。
DLC20000760	你想知道什么？
DLC20000761	我还有些别的问题。
DLC20000762	说吧。
DLC20000763	战神？他们怎么个危险法？
DLC20000764	他们非常危险，对我们来说，只要能不靠近他们就不靠近。我可不希望自己的头被插在什么小城堡的墙上当成他们的装饰品。谢谢。
DLC20000765	堕落的部落？
DLC20000766	对。这些原始人在战前就生活在锡安，他们不是只有一丁点的粗鲁，而是完完全全的野蛮。
DLC20000767	他们大部分人都已经不再说英文，你需要找一个新迦南人帮你做翻译。
DLC20000768	你需要真正注意的是白腿部落，他们来自大盐湖。他们会向每一个非自己同族的人发起攻击。
DLC20000769	跟我说说有关强盗的事。
DLC20000770	他们和你预期的没什么两样——愚蠢、滥用药剂、崇尚暴力，而且脑子不行。
DLC20000771	最坏的是那些80年代的人，但好在这次我们不会经过他们的地盘。
DLC20000772	你不知道他们的传教后来结果如何？
DLC20000773	不，因为我们只是支商队。如果我们因此和新迦南人中断相互之间的联系，那么“欢乐小径”的生意很快走到尽头。
DLC20000774	你对他们的宗教了解多少？
DLC20000775	我自己是不信教的。对我来说，只要他们愿意为物资和食品和我们做交易就足够了。
DLC20000776	不过可千万不要天真地以为他们信教他们就是和平主义者。他们自己会管好他们自己的事，而且他们个个都像天生的神枪手。
DLC20000777	[成功] 对。失去盐湖城这条生意线对我们打击很大。如果不能早日重建这条贸易路线，我们的发展始终会存在瓶颈。
DLC20000778	听起来现在“欢乐小径”现在并不在最佳状态。
DLC20000779	[失败] 我们只是做我们认为对的事，别替我们瞎操心。总之，担负起自己的责任，干好属于自己的任务，然后拿到报酬就行。
DLC20000780	所以，你们这些人都富得流油，对不对？
DLC20000781	你们为什么不去盐湖城？
DLC20000782	失去了新迦南人在锡安的布教，我们只有沿着I-80这条老高速路才能到盐湖城，或者途径北方的奥格登。
DLC20000783	但这条高速路太危险了。NCR的游骑兵们在莫哈维事情太多，他们没有足够的人手可以腾出来清理那些四处游曳的强盗。
DLC20000784	奥格登又太远——走奥格登的话我们的成本远远高于我们的收益。
DLC20000785	好吧，等我把携带重量减到75磅以下就回来。
DLC20000786	那边有一个箱子，你可以把你多余的物品放在里面。别担心，不会有问题，等你回来时你会发现里面什么东西也不会少。
DLC20000787	那边有一个箱子，你可以把你多余的物品放在里面。别担心，不会有问题，等你回来时你会发现里面什么东西也不会少。
DLC20000788	好吧。好吧，等我把携带重量减到100磅我就回来。
DLC20000789	约书亚.格拉汉姆是谁？为什么我不能谈起他？
DLC20000790	千万别。这个名字会让新迦南人浑身不舒服，而且会吓到所有的当地土著人。
DLC20000791	而且等你到了那儿，也不要谈起“火烧人”。相信我，这都是为你好。
DLC20000792	请再跟我描述一下这份工作。
DLC20000793	这份工作很简单，帮我们把这支商队带入锡安，然后找到新迦南人。报酬每天25个瓶盖，先行支付一半，剩下的回程时返回。
DLC20000794	如果进入锡安，你会额外得到一笔奖赏。如果到达新迦南，再加一笔奖金。
DLC20000795	哦，还有一件事——不要向任何人提起约书亚.格兰汉姆这个名字。任何人。
DLC20000796	来一盘敞篷车扑克牌怎么样？
DLC20000797	看不出来你也会玩这个。好，陪你玩一盘。
DLC20000798	再来一盘？哈，为什么不呢？
DLC20000799	再来一盘怎么样？
DLC20000800	我最近没有去过犹他州，那里情况怎么样？
DLC20000801	呃，我得说，不是很好。那里一点也不像莫哈维或NCR这样安全，对，甚至在凯撒占领的亚利桑那州也很安全。
DLC20000802	那个受诅咒的地方到处都是贪婪的强盗，野蛮的部落，还有区域性质的军阀。简直就是一团糟。
DLC20000803	没有什么合适的地方可以落脚和做交易。据我所知，新迦南是为数不多的还行的地方。
DLC20000804	看来这支商队要前往锡安。关于那个地方你能告诉我点什么吗？
DLC20000805	呃，实际上我从来没有进去过。我们之前只是在锡安近郊一带与在那里传教的新迦南人做些贸易。
DLC20000806	所有可以通行的道路在战后都被摧毁，但我们现在还是找到一条新迦南人用过的小道，可以走他们的路进去。
DLC20000807	这就是我为什么要找一个有哔哔小子的家伙。那上面的地图可以让我们在茂密的森林和广袤的群山中不会迷路。
DLC20000808	你能不能跟我讲讲新迦南？
DLC20000809	我对这个地方了解不多，但我对那里的人算是知道一点。新迦南人在战前即是有某种宗教性质的团体。
DLC20000810	他们控制着一座老城——奥格登，一条从北面通往锡安的路。他们在山谷里成功实施了布教，锡安成了他们防御性的一道屏障。
DLC20000811	他们与在锡安的部落公平交易——对了，是与那些不会对他们有任何敌意和杀心的部落交易。
DLC20000812	跟我谈谈关于“欢乐小径”商队公司的事儿。
DLC20000813	我们是位于NCR北面的萨克郡的一个小公司。我们在新里诺有些小生意，俗称“小圈圈”。
DLC20000814	我们曾经也有一条通往盐湖城的贸易路线。但自从我们失去了和新迦南的联系，我们的生意就一落千丈。
DLC20000815	哈，那好，我相信你。上帝保佑，如果你累了千万不要找我来帮你背着。
DLC20000816	别担心。我总是会想方设法地合理利用我的背包空间的。
DLC20000817	嘿，我相信你可以。
DLC20000818	我不仅可以背自己的行李，你的、他的、你们所有人的我背都没问题。
DLC20000819	那些攻击我们的土著是谁？
DLC20000820	白腿部落，这帮畜生。自从新迦南被干掉，他们现在居然已经渗入锡安了。
DLC20000821	约书亚.格拉汉姆是谁？
DLC20000822	自从他回到这片山谷以来，他就一直是我们部落的酋长。多年以前他曾到过文明世界去，打过一场仗。据说结果不怎么样。
DLC20000823	为什么你需要一张大阶梯的地图？
DLC20000824	大阶梯在更远的东面，直接深入科罗拉多高原。
DLC20000825	白腿部落本来可以找到我们，但只是因为锡安靠近15号高速公路。但这里他们就来不了了，这里完全就是个荒蛮之地。
DLC20000826	纵观我们的历史，我们把很多地方都称为锡安。这片峡谷充满了上帝的赞誉，但也就只是这里而已。真正的锡安，远远不止这些。
DLC20000827	我们无法尽我们全力保护每一块石头，每一条溪流，和每一片天空。我们只能坚守我们的信仰，并持之以恒。
DLC20000828	如果我们为了一小片土地牺牲我们的荣誉，我们可以住在这个山谷，但我们永远也无法在扎根于锡安。离开这里，对我们或许会更好。
DLC20000829	把我有的都拿走吧。
DLC20000830	你竟然这么慷慨……好吧，我的任何言辞也表达不了我对你的感激之情。
DLC20000831	这是一份治疗粉。
DLC20000832	谢谢。即使只有一份也是莫大的帮助。
DLC20000833	我还有别的什么方式可以帮助悲恸部落？
DLC20000834	如果可以的话，我们欢迎多来些医疗粉。我们现在已经有了足够的治疗针，但我们不能仅仅就满足这点补给。
DLC20000835	锦缎花和山德根在这片峡谷里到处都是，而且你会经常“偶遇”些白腿部落的人。
DLC20000836	我记得你说过需要些医疗粉。如果你依旧感兴趣的话，我这里还有一些。
DLC20000837	这可真是好消息！我们会好好保存的。
DLC20000838	沿着这条小道，继续走。我们马上就到了。
DLC20000839	操，是白腿！他们怎么出现在这里？
DLC20000840	让我们来结束这一切。
DLC20000841	哈！好，一切都结束了！
DLC20000842	那我就让你好好见识见识我长矛的锋利，战士。
DLC20000843	好极了，这正是我所期待的！
DLC20000844	丹尼尔和悲恸部落根本就是软弱的猎物，比你的这些强悍的战士要差得远。
DLC20000845	悲恸部落太软弱了。我们走，去找些真正的战士来接受考验！
DLC20000846	我已经击溃了你的部队。要么滚回去，要么就死在这里。
DLC20000847	……我走。但我回去后一定会重建我的部落，然后等我们再回来时我们一定会更强！
DLC20000848	好了，所有的大角羊都死了。问题解决了！
DLC20000849	这……完全不是我希望的。我猜……我至少不用担心这些动物会再攻击我的部落了。唉……
DLC20000850	好了，我已经把小羊带回到它的群落了。但途中不得已杀了几只大角羊。
DLC20000851	好的，嘿，我可以理解。虽然我希望你能做的更好，但至少现在小羊已经安全了。
DLC20000852	好了，我把小羊带回到它妈妈身边了。而且我一只大角羊也没杀。
DLC20000853	哦！太好了！！它妈妈一定会很高兴的，对吧？谢谢你——真的。我高兴得真不知道说什么好了。
DLC20000854	听起来好像很麻烦。晚点再说。
DLC20000855	哦，好的，猎人们好像都会这么说。好吧……如果你改变主意了就告诉我。
DLC20000856	好的，我会注意的。
DLC20000857	好极了！如果需要帮助尽管说。
DLC20000858	或许我可以帮忙。
DLC20000859	啊，好极了，谢谢——大部分猎人都不想仔细听我解释这个问题。
DLC20000860	只有一点：尽量不要伤害任何大角羊，好吗？否则兽群会被你吓跑，这样我们以后为了狩猎就不得不跑得更远。
DLC20000861	和我聊聊这一带，有没有什么有趣的野生动植物？
DLC20000862	这里大部分动物是大角山羊，他们生活在山上和悬崖边。通常他们并没有攻击性，但最近……唉。
DLC20000863	我猜，它们有一头小羊在山里迷路了。大角羊群是社会性动物，一只小羊失踪，整个群落都会变得焦躁不安。
DLC20000864	如果那只小羊再不出现的话，它们可能会冲下山谷，进攻我们的营地。
DLC20000865	你要帮忙了是吗？
DLC20000866	那么，关于那些大角羊……
DLC20000867	这里大部分动物是大角山羊，他们生活在山上和悬崖边。通常他们并没有攻击性，但最近……唉。
DLC20000868	我猜，它们有一头小羊在山里迷路了。大角羊群是社会性动物，一只小羊失踪，整个群落都会变得焦躁不安。
DLC20000869	如果那只小羊再不出现的话，它们可能会冲下山谷，进攻我们的营地。
DLC20000870	你可以试试用一些大土蕉作为诱饵吸引小家伙的注意力。那些大角羊对这种植物非常着迷。
DLC20000871	把大角羊的问题再跟我说一遍。
DLC20000872	我会尽我所能，但在遭到攻击时，我一定会奋起自卫的。
DLC20000873	你当然可以，我理解的。我听说过不少来自“回到当初”之地的护林员讲的故事，他们带着一些会发光的棍子，却不想总是会惹恼这些动物。
DLC20000874	我从来没有去过任何“回到当初”的那些地方，但如果他们死了，他们还是会有可能离开。
DLC20000875	你可以试试用一些大土蕉作为诱饵吸引小家伙的注意力。那些大角羊对这种植物非常着迷。
DLC20000876	我能帮你做什么？
DLC20000877	我现在忙得很，走开。
DLC20000878	啊，我无意冒犯，如果你不想跟我说话，请找约书亚.格拉汉姆，他就在我们位于东维琴河的营地那里。
DLC20000879	文明的土地？你什么意思？
DLC20000880	我意思是这片峡谷之外的土地，那些有城市坐落的土地。在那里人们并不是以部落的方式群居和生存。
DLC20000881	约书亚说外面并不都是天堂，但我觉得，至少和这里比肯定会更好。
DLC20000882	对不起，我分心了，约书亚想让我告诉你，请到我们位于东维琴河的营地去。然后请告诉他你是怎么来的。
DLC20000883	谁是约书亚？
DLC20000884	约书亚.格拉汉姆，他是我们部落的酋长。正因为他，我们死马部落才变得强大，不再惧怕我们的敌人。
DLC20000885	他会和任何从南方来的人交谈。我猜现在轮到你了。来，我带你去见他。
DLC20000886	等等，凯撒呢？
DLC20000887	我们第一次见到约书亚的时候，他还是一名叫凯撒的人的手下。他带着一支他主人的军队，同时我们也准备好跟随他参加战争。
DLC20000888	然后他被一支叫“恩希尔，日落民族”的部落打败。当他回来时，正如你所见——他被烧得面目全非。
DLC20000889	他带着我们远离了凯撒军团，进入了这片锡安峡谷。
DLC20000890	为什么对抗白腿部落如此重要？
DLC20000891	额……因为他们是我们的敌人。我们还能做什么？他们抢了我们的土地，杀了我们的侦察兵，还入侵我们的狩猎区。
DLC20000892	那些装饰你那木棍的贝壳是什么意思？
DLC20000893	我们用这些装饰表达我们对约书亚.格拉汉姆的尊敬。它们本来是他以前所在部落的武器，现在我们继承了下来。
DLC20000894	虽然看起来并不危险，但约书亚说它们可以“称雄西部”。
DLC20000895	你对新迦南人了解多少？
DLC20000896	只了解一点儿。我曾见过几次他们的传教士，但我从来没去过他们所在的城市。约书亚会告诉你更多信息的，丹尼尔或许也可以。
DLC20000897	你还记得在约书亚成为你的酋长之前的什么事吗？
DLC20000898	那时我还小，印象的不多。他……与现在差别很大。骄傲自大，铁面石心，冷酷武器，充满压迫力。说实话，那时的我对他非常害怕。
DLC20000899	他回来之后，像完全变了一个人，我几乎认不出他来了。他开始谦逊，所有行为的出发点都是出于保护，而不再是破坏。
DLC20000900	约书亚为你做了什么吗？
DLC20000901	如果不是约书亚，死马部落依旧会像锡安山谷里徘徊的小男孩一样，弱不禁风。
DLC20000902	他教会我们怎样坚守自己的土地，怎样保护自己。他带领我们远离凯撒，告诉我们凯撒曾带我们走向万劫不复之地。
DLC20000903	跟我谈谈你的部落。
DLC20000904	我们以前住在一个叫死马之地的地方，至于为什么叫这个名字倒是没人知道。
DLC20000905	我们也抢劫，我们也争斗……但我们失败了。我们的敌人把我们驱赶到锡安，要不是约书亚，我们全都会死在这里。对了，还有凯撒。
DLC20000906	那些纹身是什么意思？
DLC20000907	我们死马部落用来纹身来标记我们的狩猎果实。当一个猎人击倒了一头野兽，或是一个年轻人进行了他第一次狩猎，就会得到一个纹身。
DLC20000908	我知道了，真是太令人着迷了。
DLC20000909	我想丹尼尔会告诉你更多内容的。他对先父的了解比我要多得多。
DLC20000910	这听起来和我所知道的关于新迦南人的信息好像不一样……
DLC20000911	也许其实你并不了解新迦南人。我知道先父出现的原因。
DLC20000912	他派出他的儿子和儿媳来拯救这个世界。他们在群山中挖掘洞穴，这些巨大的洞穴今天依然清晰可见。
DLC20000913	人类开始释放原罪，终于受到了末日的惩罚，那一刻漫天乌云密布，四处熊熊烈火燃烧。只有新迦南人被赦免。
DLC20000914	等等，你认为那个幸存者……是上帝？
DLC20000915	我不知道你说的什么“幸存者”，但那个洞穴里的“先父”就是新迦南人的上帝。
DLC20000916	我看过多本圣经，我还见过圣子和圣母的画像。
DLC20000917	新迦南人的书上不是写着，是“先父”给于这个世界以生命吗？
DLC20000918	你有家庭吗？
DLC20000919	有，一个亲切的丈夫和三个可爱的孩子。我每天都会思念他们，只要一想到他们现在很安全，我就会很舒心。
DLC20000920	跟我谈谈你的部落。
DLC20000921	自“天启末日”那天之后，我们就定居在悲恸部落。“先父”严厉地惩罚了这个世界，
DLC20000922	在山谷里，我们和其他几个部落都保持着良好的关系。但在“伤口撒盐”带着白腿部落来后，一切都改变了。
DLC20000923	由于丹尼尔，我们才能活到今天。他的指点和建议帮助我们远离白腿部落的骚扰。
DLC20000924	但我不知道他还能保护我们多久。
DLC20000925	那个住在洞里的“先父”是谁？
DLC20000926	你难道没听说过新迦南人的上帝吗？他就是我们的保护神，是我们的审判官。他帮助我们的先人定居在锡安。
DLC20000927	他给了我们很多礼物，我们不会去打扰他。他住的洞穴对我们来说就是禁地。那些想寻找他的人早已被我们赶走。
DLC20000928	请告诉我，丹尼尔是谁？
DLC20000929	丹尼尔是一个智者，一位悲恸部落伟大的朋友。他教我们新迦南语——就是圣经中的英语。
DLC20000930	介绍一下你自己？
DLC20000931	我的名字叫唤醒白云。我是悲恸部落的一名接生婆。听起来是不是有点不吉利？“接生悲痛。”
DLC20000932	没什么了，回头再说。
DLC20000933	祝你好运，朋友。
DLC20000934	目前我就想知道这些。
DLC20000935	好，我们下次可以谈点别的了。
DLC20000936	我有几个问题。
DLC20000937	好啊，我很愿意分享我的知识。
DLC20000938	关于你的丈夫……我恐怕，他在撤离的时候已经被白腿部落杀害了。
DLC20000939	什么？不……你一定是弄错了。丹尼尔从没跟我说过！
DLC20000940	安全？他们在哪儿？
DLC20000941	当我们听说“伤口撒盐”出现在锡安后，丹尼尔命令所有的小孩、老人和病人优先撤离营地。
DLC20000942	我的丈夫志愿带领着一队猎手，一路保护他们。
DLC20000943	我试着不去担心他们，但我们和他们失去联系已经有很长时间了。当我问起丹尼尔时，他似乎有些悲伤……而且有一丝惊恐。
DLC20000944	在不接生孩子的时候你一般都干什么？
DLC20000945	我会照料那些受伤或生病的族人。有时我也会到山谷里采集些药草。
DLC20000946	接生婆？那附近怎么一个孩子也没有？
DLC20000947	孩子和老人都已经撤走了。他们现在很安全，除非白腿部落过了我们这一关。
DLC20000948	你以前就认识他？
DLC20000949	我们认识6年了。他帮助我接生了我第三个孩子。那一次很艰难。湍急的河流差一点就带着我和我的孩子去见“先父”了。
DLC20000950	丹尼尔懂些新迦南的医术。他倾尽全力，救下了我和孩子的生命。
DLC20000951	孩子出生之后，我问丹尼尔愿不愿意指导我如何接生孩子。他同意了，于是我就是现在这个样子了。
DLC20000952	圣经文书？
DLC20000953	是的，是以新迦南人用他们神圣的语言写的，即是圣语的文字表现。
DLC20000954	“先父”在审判日后把这些带给我们，但悲恸部落的先祖违背了他。他们因此被禁止使用圣语。
DLC20000955	你是对的。现在，你想跟我谈什么？
DLC20000956	关于丹尼尔……我不知道。但我是悲恸部落的女人，我需要偿还我的丈夫。
DLC20000957	我很赞同。这件事他做得实在是太傲慢和无情了，一点也不像一个朋友的样子。
DLC20000958	傲慢……对！我原来一直以为丹尼尔尊敬我，视整个悲恸部落为他的兄弟手足……但他却为了自己的目的控制我们牺牲我们。
DLC20000959	他只是做了他认为对整个部落最正确的事。对他来说做出这样的选择其实很不轻松。
DLC20000960	也许……但等到现在的局面安定下来，我必须跟他好好谈一谈。谢谢你告诉我真相。
DLC20000961	恐怕的确是这样的。丹尼尔不告诉你，是因为他怕你因此而分心。
DLC20000962	什么？他居然……谁给他的这个权利？我一直把丹尼尔当朋友，但他一点也不关心我们！
DLC20000963	我们回头再聊。
DLC20000964	好的。
DLC20000965	那先这样吧，我之后会回来的。
DLC20000966	好的，我们会等你的。
DLC20000967	我知道了。好，我尊重你们的信仰，但我们必须要搜查这个洞穴。
DLC20000968	行。但我还是希望我们能离开得越快越好。
DLC20000969	在这洞里的先父只不过是一个已经活了很长的老人。
DLC20000970	你的态度看起来如此无礼，言语听起来如此无知。你什么都不懂，请不要乱说话。
DLC20000971	够了够了。好，我会多留个心眼的。但这看起来倒挺像个捕熊的陷阱。
DLC20000972	请不要再言语轻躁！这只会激起先父的愤怒。
DLC20000973	我没时间听你的宗教迷信。这只是个洞，就这样。
DLC20000974	这是神圣之土！如果我们继续深入，等待我们的将是残酷的惩罚！
DLC20000975	你在说什么？
DLC20000976	洞穴里的先父！神圣的先父拯救了悲恸部落，把他的孩子无私地交给了新迦南人！
DLC20000977	这片峡谷的大部分洞穴都是属于他的，任何胆敢入侵的人都会受到愤怒地惩罚！
DLC20000978	我们不该来这个地方！这里……这里属于先父！我们不能玷污这个圣地！
DLC20000979	我们该怎么办？
DLC20000980	难道丹尼尔没有给你一些“新迦南的火粘土”？那些玩意可以很轻松地塌陷一个洞穴，困住这帮野兽。
DLC20000981	附近找找，看我们能不能找到洞穴。我得说，这比单纯的屠杀要容易多了。
DLC20000982	我要告诉丹尼尔，让他多准备些“熊怪小餐点”。
DLC20000983	我们最好现在就开始行动。
DLC20000984	我跟着你。
DLC20000985	又能大干一票了。
DLC20000986	希望你没吹牛。但我还是会尊重你的指挥。
DLC20000987	你有什么建议？
DLC20000988	一次挑战多只妖怪确实有些风险，除非你是名真正的战士。
DLC20000989	这里聚集着这么多，附近一定有个巢穴。如果我们能找到巢穴并及时将它摧毁，幸运的天平或许还会站在我们这一边。
DLC20000990	对，我们出发。
DLC20000991	如你所愿。
DLC20000992	这些陷阱一定是最近才布置的，我觉得白腿部落的人应该还在附近。
DLC20000993	我估计差不多。或许我们应该在他们布置更多陷阱前先找到他们？
DLC20000994	我们该做些什么？
DLC20000995	尽可能地解除这些陷阱，或找到设置它们的白腿部落。
DLC20000996	我们的高级侦察兵因为要对付强盗而无法分身。
DLC20000997	好，我们出发，争取早点干净利落地把他们解决掉。
DLC20000998	我会听从你的指挥，但我建议请随时保持alarmed。
DLC20000999	所以利用图腾可以对他们产生奇效。好极了。
DLC20001000	是的。如果他们的战争图腾……“消失了”，他们会立即失去战斗的意志。
DLC20001001	你对于应付现在这个局面有什么建议？
DLC20001002	你可以对他们发动突然袭击，给他们一个惊喜。尽管我们初期火力占优，但随后我们人数上的劣势会成为严重的短板。
DLC20001003	我们也可以从他们的迷信突破。白腿部落战士相信，他们的图腾可以在战场上给他们带来一切力量。
DLC20001004	妖怪——即使我们最强悍的战士也不敢轻易惹恼它们。在这附近一定有个巢穴。
DLC20001005	这是通往派因溪的唯一通道。这些陷阱可以让任何试图闯入的生命有来无回。
DLC20001006	那些帐篷，就是白腿部落的宿营地。你看到那些树立在营地中心的战争图腾了吗？
DLC20001007	白腿战士通常会在作战前向图腾祈求力量与好运，他们从来不会发动突然袭击。
DLC20001008	好的，走吧。
DLC20001009	好。接下来我们要向东走。约书亚在我们位于东维琴河的部落营地那里。
DLC20001010	你要是了解这些“文明部落”的好战本性，你一定会很惊讶。
DLC20001011	你说话听起来像约书亚。他总是跟我说，部落的原始生活才是最放松的生活，我应该呆在这里，忘掉外面的世界。
DLC20001012	小？你有没有见过胡佛大坝啊？它比这些群山还要大得多。
DLC20001013	啊！……真的？哦，我的……上帝。一定都是些身强力壮的人建造了它。
DLC20001014	我所知道的最近一场战争，是凯撒军团进攻胡佛大坝。莫非他也参加了？
DLC20001015	我不知道，他从来不愿谈起。也许——但是我不明白，为什么两个文明部落会围绕一个小水坝打得不可开交？
DLC20001016	他怎么了？
DLC20001017	在他走前，他脸上还没有那些绷带。你明白了吗？
DLC20001018	你看看他那张脸，你就明白了。
