AAD00100001	GREETING
AAD00100874	I hear that woman can kill with her eyes! Stay away from me!
AAD00100875	Your lady friend needs to lighten up.
AAD00100876	Better watch out, I hear Rex likes to eat his owners. Why do you think the King was so eager to give him away?
AAD00100877	Good to see Rex still around and kicking.
AAD00100878	That's one ragged Ghoul you've got with you. Seems like a good guy, though.
AAD00100879	That ghoul with you looks like he's older than the war! My the things he must have seen.
AAD00100880	Oh no, I hear those things eat people! Stay back, freak!
AAD00100881	Odd company you keep. I thought all Super Mutants were crazed cannibals.
AAD00100882	Weird robot. I don't think I've ever seen one of those before.
AAD00100883	That looks like one of those spybots I hear House has been secretly releasing at night.
AAD00100884	Business and luck don't often go hand-in-hand in the Mojave. Watch your back.
AAD00100885	Check out the Wrangler if she needs booze.
AAD00100886	Keep your guns to yourself and there won't be any trouble.
AAD00100887	You're not doing yourself a favor by having him tag along. NCR aren't welcome here.
AAD00100888	I hear that guy has hundreds of kills, not all of them deserving of death.
AAD00100889	I always thought there was more to Arcade than met the eye. I bet he'll do great things without the Followers holding him back.
AAD00100890	I'm surprised to see Arcade venturing out of the Old Mormon Fort. I thought science types preferred to stay indoors.
AAD00100891	Witch! Witch! You should be burned for all the people you've turned into newts!
AAD00100892	I hear the Kings were wiped out by some kind of Super Mutant ninja assassin paid by the NCR! Who else could have taken them down?!
AAD00100893	Some people are saying the Great Khans got drugged up out of their minds and attacked the dam.
AAD00100894	I heard the Khans went wild at Hoover Dam. I suppose they were looking for one last blaze of glory.
AAD00100895	I hear the Great Khans staged their own deaths to trick the NCR.
AAD00100896	People say the Khans got wiped out at Red Rock. That's one less bunch of crazies to worry about.
AAD00100897	The Great Khans aren't gone. They're just hiding, biding their time...
AAD00100898	The Great Khans moved out? One less mob of degenerates to worry about, if you ask me.
AAD00100899	I heard Motor-Runner got taken down. Maybe the Fiends will finally destroy themselves now that he's gone.
AAD00100900	I hear Hanlon was working for the aliens and NCR found out.
AAD00100901	Chief Hanlon is dead? I hear that guy couldn't order himself out of a cardboard box, let alone command troops.
AAD00100902	My friends say you're working for the Illuminati, and that's why you killed Kimball. Watch your back. They have listening devices everywhere!
AAD00100903	Killing Kimball is going to make a mess of things around here. The troopers coming through here are mean enough already.
AAD00100904	You freed that Silus guy from McCarran? Guess you've got your reasons for helping the Legion.
AAD00100905	Rumor has it Mr. House joined the NCR on account of some secret love child he never even knew he had.
AAD00100906	Howdy, doc. Strange to see you wandering around.
AAD00100907	I admire a woman who can hold her liquor. Cute to boot.
AAD00100908	She looks like she knows how to handle herself in a fight.
AAD00100909	I hope you programmed that thing to be friendly to Freesiders.
AAD00100910	Super Mutant? You don't look so super to me.
AAD00100911	How's it hangin', old man? Oh, sorry.
AAD00100912	Hey, Rex. I see your new master is keeping you polished up. Good for you.
AAD00100913	Cheer up, lady. You've still got your youth.
AAD00100914	With their leader gone, the Legion will likely tear itself apart. It's what most violent tribal societies do.
AAD00100915	Someone blew up the monorail the NCR uses to travel to the Strip and back. We should use this time to strike!
AAD00100916	There's a rumor going around that you saved the NCR president's life. I'm surprised you have the stones to show your face around here.
AAD00100917	There was an attempt on the NCR president's life recently. Too bad it didn't succeed.
AAD00100918	Were you the one who killed the NCR president? I'd like to shake your hand!
AAD00100919	Did you hear? Someone actually managed to assassinate the NCR's president! And we just sit here!
AAD00100920	The other day I heard some bigwig in the NCR military died. Hopefully it disrupts their chain of command some.
AAD00100921	Did you hear about that NCR higher up that died? That he was trying to sabotage them? Hope he wasn't the only one.
AAD00100922	We just had word that the town of Primm is now part of the NCR. At this rate, they'll be running the whole region soon.
AAD00100923	It's the quiet before the storm up top. For once, I'm almost glad we're down here.
AAD00100924	Keep an eye on Veronica here. She's a sharp one.
AAD00100925	Try to keep Veronica out of trouble, would you?
AAD00100926	If you're planning to take Veronica with you, be sure to have a good pair of earplugs with you. I'm kidding, Veronica! Put the power fist down!
AAD00100927	What a fascinating animal. I'm sure the scribes will want to take a look at him.
AAD00100928	Is that a Mk. III Support Model you have with you? I've seen references to them, but never with my own eyes. I imagine he makes a great pet.
AAD00100929	Where did you get that Eyebot? I've never seen one modified quite like that.
AAD00100930	Keep that mutant in line, or we'll put it down.
AAD00100931	Oh good, now I have to put up with the stench of rotting ghoul as well. I hope the air filters are working.
AAD00100932	I've heard that your friend there can put some of the senior scribes to shame.
AAD00100933	Why is your friend there glaring at me like that? Did I bump into him or something?
AAD00100934	Does Ramos know you're walking around without a guard?
AAD00100935	Are you adjusting to the bunker, outsider?
AAD00100936	Just between you and me, I'm glad you're here. This place needed a fresh face.
AAD00100937	So you're one of us now, eh? Truly it is a rare honor.
AAD00100938	How long before we resume normal patrols?
AAD00100939	After the battle at HELIOS One, some people were worried about the NCR coming after us, but this bunker is secure.
AAD00100940	Hardin will be Elder soon, mark my words.
AAD00100941	Why are we hiding down here? We should be avenging our fallen brothers!
AAD00100942	When are these night missions going to end?
AAD00100943	Ugh, more VR training. Maybe I'll hit the shooting range instead.
AAD00100944	After this, I have some weapons to repair.
AAD00100945	You've been outside. Is the NCR really still hunting us?
AAD00100946	The Lucky 38's reactor has been restarted... it can be seen from miles away.
AAD00100947	The food here is to die for. No one cooks Brahmin like Philippe.
AAD00100948	You double-crossing snake! I have nothing to say to someone so lowly and ill-mannered.
AAD00100949	Why are you standing still? Do you think the world waits for you while you stand there drooling? Get back out there and get to work!
AAD00100950	Why are you standing still? Do you think the world waits for you while you stand there drooling? Get back out there and get to work!
AAD00100951	You! What do you think you're doing?
AAD00100952	Now it can truly be said that not only do we dress better than anyone, we eat better as well.
AAD00100953	Our executive chef Philippe is the toast of New Vegas. His Brahmin Wellington is absolutely sublime.
AAD00100954	You watch yourself around Mr. Gunderson.
AAD00100955	Keep your distance. Who are you, and what do you want?
AAD00100956	That a pretty gal! Want to share? Ha ha ha!
AAD00100957	A veteran Ranger inspires awe. Stick around for when they get here, you'll see. If I live to earn the Black Armor, I can die a happy woman.
AAD00100958	Don't get many chances to catch a legionary alive. Burns me up that we botched ours.
AAD00100959	Wish I had a First Recon guy looking after me.
AAD00100960	I heard we captured a live Centurion and then let him get away. That never would've happened if I was in charge.
AAD00100961	Sounds like we're running Primm now. I'd still rather take my leave at the Strip.
AAD00100962	First Recon's at Camp Forlorn Hope. Now we've got a chance to hold it.
AAD00100963	Did you hear about that Legion POW escape? I don't like our chances of taking him alive twice.
AAD00100964	That POW escape presents some real security concerns. That was our base camp, for crying out loud.
AAD00100965	Can't believe Hanlon was working against us.
AAD00100966	The NCR's all over Primm. Steer clear.
AAD00100967	Somebody whacked the NCR president. Got what was coming to him.
AAD00100968	Holy fuck. Never seen a mutant like that before.
AAD00100969	Didn't know they still had robo-dogs around.
AAD00100970	Wouldn't want to live forever if I had to look like a ghoul.
AAD00100971	That guy's got cold eyes. Definitely ex-military.
AAD00100972	Now there's a fine-looking woman. Just needs to ditch the robe.
AAD00100973	Tough-looking woman. Something tells me she aims for the crotch.
AAD00100974	We bought and sold guys like Four-Eyes over there like property back in the prison.
AAD00100975	No way I'm going back to prison.
AAD00100976	Holy fuck. Never seen a mutant like that before.
AAD00100977	That guy's got cold eyes. Definitely ex-military.
AAD00100978	Tough-looking woman. Something tells me she aims for the crotch.
AAD00100979	Never gets old when something blows up.
AAD00100980	Wouldn't mind having one of those little flying robots myself.
AAD00100981	I've seen what those creatures do, and I don't know how you trust them.
AAD00100982	I always knew House would give in! Sixth state of the union, here we come!
AAD00100983	Bitter Springs... a name like that could've only brought bad luck.
AAD00100984	Everywhere I go, people are talking about our President's assassination.
AAD00100985	With House out of the way, I hope someone opens the Lucky 38.
AAD00100986	I see you prefer the company of anarchic cultists to civilized peoples.
AAD00100987	Did you hear about Hanlon? What a blow!
AAD00100988	You killed him! What have we done to you?
AAD00100989	I hear some asshole freed our enemy from McCarran.
AAD00100990	With Mr. House dead and gone, Vegas can finally join the NCR!
AAD00100991	Your robot looks worth quite a few caps.
AAD00100992	I hope the Fiends stop their raids now that their boss is gone.
AAD00100993	Bad weather ahead, I tell you. The death of our President's just the start.
AAD00100994	Don't dump your Ghoul here, we've already got enough shit around us.
AAD00100995	People of my trade respect the merchants of these territories.
AAD00100996	House was the only thing keeping Vegas from joining the NCR!
AAD00100997	Our guys put the Monorail back to work!
AAD00100998	Our own President, murdered! Things aren't looking good.
AAD00100999	Hanlon was a brave soldier, what could've driven him to despair?
AAD00101000	I knew those Khans couldn't be trusted!
AAD00101001	Civilizing Primm will show what we can do for everyone else in these territories.
AAD00101002	I've seen Followers of the Apocalypse in my travels before.
AAD00101003	NCR Rangers deserve all my praise.
AAD00101004	Is your friend one of those elite troops we've been hearing about?
AAD00101005	Your merchant friend would make a fine NCR woman.
AAD00101006	I've never seen a robot like that before.
AAD00101007	The Super Mutant's under control, I hope.
AAD00101008	I've seen what those creatures do, and I don't know how you trust them.
AAD00101009	I've seen what those creatures do, and I don't know how you trust them.
AAD00101010	I've seen what those creatures do, and I don't know how you trust them.
AAD00101011	I've seen what those creatures do, and I don't know how you trust them.
AAD00101012	Your Ghoul friend better not be radioactive.
AAD00101013	What on earth is *that* creature?
AAD00101014	Your lady friend seems out of place here.
AAD00101015	Your friend seems too civilized for a place like this.
AAD00101016	I should kill you myself for what you did to Kimball, and fuck the law!
AAD00101017	I bet I'd get a reward for bringing your head to the authorities, assassin!
AAD00101018	Kimball's luck ran out.
AAD00101019	It's good to hear that Primm has accepted our law.
AAD00101020	What's up?
AAD00101021	Hey.
AAD00101022	Never seen a guardian dog like that before.
AAD00101023	NCR will civilize all this Wasteland, Primm is only the beginning.
AAD00101024	Despite our strength, the Legion army looks fierce enough to make me waver.
AAD00101025	Imagine, a Follower brave enough to leave Freeside.
AAD00101026	The dog is part-machine... but its brain is flesh.
AAD00101027	What a revolting sight. To call that a friend?
AAD00101028	That machine looks like a floating eye. I don't like it.
AAD00101029	How does one get that blue monster to obey?
AAD00101030	I've heard the stories of how you assassinated Kimball. It's all my Legionaries will talk about.
AAD00101031	Kimball's assassin is always welcome here.
AAD00101032	The Centurion Silus will be punished for letting himself be captured. Coward.
AAD00101033	Never once did I believe that Caesar was near death. I have friends in high places.
AAD00101034	Why is your degeneracy tolerated?
AAD00101035	Kimball's assassin. Nicely done.
AAD00101036	Hey, doll, how's my favorite girl? Got a kiss for me?
AAD00101037	Couldn't stay away, huh baby? Shoulda known. What can I do for you?
AAD00101038	This is neat! From this console I could've routed the dam's power input over to the Fort and activated that dormant army of Securitrons!
AAD00101039	So go ahead and blow up the dam's generators! And when that's done, head back upside and finish off the Legion and the NCR.
AAD00101040	Don't you just love that Platinum Chip? Buzzes with power and possibilities, doesn't it?
AAD00101041	If I were you, I'd almost want to deliver the Chip to Mr. House just to learn all its tricks!
AAD00101042	That is, unless you want to bring the NCR or Caesar's Legion to power! I wouldn't want to tell you what to do!
AAD00101043	Wow, you really blew up all those Securitrons at the Fort! Great! No problem!
AAD00101044	The Securitrons at the Fort are on standby... I see a status log here confirming that the Mark II OS upgrade installed correctly...
AAD00101045	They'll be all set to go once we boost my transmitting power and bring them online with the network! But we'll worry about that later!
AAD00101046	I can't believe Caesar is dead. What will we do now?
AAD00101047	Caesar has been seen walking among the troops. A good omen.
AAD00101048	Haven't had any reports from Station Charlie in a while - hope everything's okay.
AAD00101049	Don't tell the troopers, but the grub here is way better than the mess tent.
AAD00101050	You should talk to Chief Hanlon if you have any questions. He's usually up on the balcony.
AAD00101051	We're all impressed with the work you've done for us. I thought you might be able to make use of this.
AAD00101052	It's a key to a little hideaway south of here. We've used it as a place for Rangers to rest and resupply. I thought you might get good use out of it.
AAD00101053	I know who you are. I'm a patient man, but you'd better have a damn good reason to be standing here right now. Spit it out.
AAD00101054	Look who it is. I haven't had the privilege, but I'm told you've been an angel on our shoulder. What can we do for you at Camp McCarran?
AAD00101055	I'm glad we could finally meet. My sources tell me you've done some good work for us. What brings you to Camp McCarran?
AAD00101056	What are you doing here? You don't have clearance.
AAD00101057	Well?
AAD00101058	Man, am I bored.
AAD00101059	You weren't supposed to kill him! Goddamn it. Not only did we not get any information, but now you've ended his suffering, too.
AAD00101060	Shit, guess I can forget about a promotion this decade. Thanks a lot, asshole.
AAD00101061	Fuck. What am I going to tell the colonel?
AAD00101062	Poor guy. He's all tuckered out. Well, I guess we'll have to pick up where we left off tomorrow. Good work.
AAD00101063	I'm sure he'll have had enough after a few days of this. Or if we're lucky, a few months.
AAD00101064	I'll get someone in here to clean up the mess he made. You can head out for the day. Let's let him sleep.
AAD00101065	Hey, have you been able to bug Mr. House's network yet?
AAD00101066	Oh, hi. Thanks again for helping us with that data. I mean the feed only lasted about thirty seconds and it's not that useful, but... well, we tried.
AAD00101067	Thanks again for helping with Mr. House's data network. Come see me at the Old Mormon Fort if you get a chance.
AAD00101068	One of these days I'll save up enough to get out of here. One of these days...
AAD00101069	Hey stranger, if you're hungry, there's a man around here somewhere telling people where to get free food and water.
AAD00101070	Something you need, kid?
AAD00101071	Hey man, can you spare a few caps?
AAD00101072	How are you today? Santiago is fabulous!
AAD00101073	Ah... I wasn't expecting you to return.
AAD00101074	Hello. Lovely to meet you.
AAD00101075	I have nothing more to give. Leave me be.
AAD00101076	You seen Dixon around? He said he'd be back today.
AAD00101077	The King just sent a messenger over, saying these guys are off-limits. He's probably already heard about what you did here.
AAD00101078	Looks like you get to be a hero. Enjoy it while it lasts.
AAD00101079	Why Rexie, you look all better, boy! Good as new! Did my Rexie get a new brain?
AAD00101080	Things have been a lot better since you helped with those soldier boys. Thanks again. So, what can I do for you?
AAD00101081	Hold up. What's the password?
AAD00101082	I wish I'd never gotten involved with the Omertas. All of this bloodshed...
AAD00101083	One of these days, those bastards will get what's coming to them. In the meantime, I'll be sure to be more careful with my sales.
AAD00101084	Anyway, is there anything I can get you?
AAD00101085	That was a real mess the Omertas were looking to create. Glad you could get all that sorted.
AAD00101086	May have cost me some business, but at least we avoided a shitstorm.
AAD00101087	Anything I can get you?
AAD00101088	People say Mr. House hasn't been heard from in a while. Good riddance.
AAD00101089	Now what can I get for you?
AAD00101090	Welcome back, buddy!
AAD00101091	If you're looking for guns, talk to Mick. Otherwise, I've got a nice selection of general supplies.
AAD00101092	So, Ambassador Fancypants has graced us with his presence! I apologize if you're looking for Pre-War pipes and smoking jackets, I'm clean out.
AAD00101093	Hey, what can I get you?
AAD00101094	The only rule in Freeside is don't mess with the Kings.
AAD00101095	Watch yourself around here.
AAD00101096	If you're heading to the Strip, just go through the gate there.
AAD00101097	Freeside is the Kings' turf. Remember that.
AAD00101098	Great, another one come in from the wastes. Like this place isn't crowded enough.
AAD00101099	I don't care how you get your work done, but you keep your nose clean in Freeside.
AAD00101100	People are getting nervous about the Legion amassing on the other side of the river. I hope the NCR can hold against another attack.
AAD00101101	One of my aides said you got into the Lucky 38. If you see someone by the name of Emily near there, we would like you to work for us.
AAD00101102	So, last day on Earth, huh? Getting your affairs in order? Or are you still trying to work on that bad reputation of yours?
AAD00101103	The NCR just wants to be friends, but you don't seem to want to play nice. See you tomorrow.
AAD00101104	What in the goddamn...?
AAD00101105	Let's keep this in the groove, hey? Smooth moves, like smooth little babies...
AAD00101106	What in the goddamn...?
AAD00101107	Let's keep this in the groove, hey? Smooth moves. Smooth...
AAD00101108	Hello! That broad everyone saw go in the Lucky 38, that was you? Oh shit.
AAD00101109	Last we spoke, you were leaning in a more merciful direction...?
AAD00101110	What in the goddamn...?
AAD00101111	Let's keep this in the groove, hey? Smooth moves. Smooth...
AAD00101112	Hello! It was you, wiped out the Khans down in Boulder City? You did that? Oh shit.
AAD00101113	What in the goddamn...?
AAD00101114	Let's keep this in the groove, hey? Smooth moves. Smooth...
AAD00101115	Hello! It was you, set the Khans free down in Boulder City? You did that? Oh shit.
AAD00101116	What in the goddamn...?
AAD00101117	Let's keep this in the groove, hey? Smooth moves. Smooth...
AAD00101118	Hello! The gasser everyone's been talking about, making a splash on the Strip. That's been you? Oh shit.
AAD00101119	All right, smoothskin, I'm letting you in. You better watch yourself. I'll sure as hell be watching you.
AAD00101120	It is almost time for the Great Journey!
AAD00101121	It is almost time for the Great Journey!
AAD00101122	Nice enough speech, I guess.
AAD00101123	Well, it's up to you to go launch the rockets. There's a small mission control room all the way back upstairs. Should be as easy as pressing a button.
AAD00101124	It seems my work here is done, so I'll be on my way to Novac. We'll see how that works out.
AAD00101125	Leave me alone.
AAD00101126	PLAYER THROW GRENADE
AAD00101127	Watch the blast!
AAD00101128	Explosive!
AAD00101129	Be advised, a grenade has been thrown.
AAD00101130	Be advised, an explosive has been thrown.
AAD00101131	Explosive!
AAD00101132	PLAYER FIRE WEAPON
AAD00101133	Clearing the chamber?
AAD00101134	Better off saving ammo.
AAD00101135	Whoa! Are you like... some kind of crazy person?
AAD00101136	Do that again!
AAD00101137	Cool. Can I try?
AAD00101138	Do that someplace else!
AAD00101139	You tryin' to get me killed?
AAD00101140	Holster that. And be quick about it.
AAD00101141	Holster your iron, pardner!
AAD00101142	Quit it!
AAD00101143	Stop that!
AAD00101144	Hey! Do that somewhere else.
AAD00101145	Be careful!
AAD00101146	What in tarnation?
AAD00101147	What in blazes?
AAD00101148	Ammo costs money, you know!
AAD00101149	What's wrong with you?
AAD00101150	Knock it off!
AAD00101151	Quit fuckin' around!
AAD00101152	What's your problem?
AAD00101153	Let me aim that for you next time.
AAD00101154	Am I gonna have to take that away from you?
AAD00101155	Uh, hate to criticize boss, but I'm not actually immortal. Just old.
AAD00101156	Come on, boss, I know I'm ugly, but I am on your side.
AAD00101157	If you want me to split, you could just say so.
AAD00101158	<growl>
AAD00101159	Would you keep it down?
AAD00101160	Waste of ammo.
AAD00101161	What, you see a scorpion?
AAD00101162	If you can't control it, keep it in your holster.
AAD00101163	You'll put someone's eye out with that, dearie!
AAD00101164	It's not nice to do things like that, dear!
AAD00101165	This noise is making Leo get antsy!
AAD00101166	Stop doing that, please.
AAD00101167	I'm not sure if you're trying to hit me or trying to miss me. Either way, stop it. Thanks.
AAD00101168	
AAD00101169	Keep that up, human…
AAD00101170	Whoa, someone's just come from the Wrangler.
AAD00101171	Keep it down, would ya? I already got a splitting headache.
AAD00101172	Whatever. Knock yourself out, for all I care.
AAD00101173	Weapons use is discouraged. Thank you for your cooperation.
AAD00101174	Please do not use your weapons. Thank you.
AAD00101175	Whoo! Bang bang!
AAD00101176	A pulled trigger's a happy trigger!
AAD00101177	Yeah! Shoot it again!
AAD00101178	Cut it out, will you?
AAD00101179	Whoa, whoa! Careful!
AAD00101180	Put that away!
AAD00101181	Mind your weapon!
AAD00101182	Keep that shit away from me.
AAD00101183	What the fuck do you think you're doing?
AAD00101184	Stow that weapon, Outsider.
AAD00101185	Drop that weapon.
AAD00101186	Deha ruido!
AAD00101187	No discarge armoos!
AAD00101188	PLAYER LAY MINE
AAD00101189	A tactic of the Bear.
AAD00101190	Worthy of Hanlon.
AAD00101191	Analyzing. This behavior is not on file.
AAD00101192	This behavior is not on file.
AAD00101193	PLAYER IN IRON SITES
AAD00101194	<Makes beeping sounds>
AAD00101195	Do'an poin aiti ay me!
AAD00101196	Subai thah, tsahh.
AAD00101197	Me no heranu a katu.
AAD00101198	Baje ka armoo.
AAD00101199	No tsaig tuh beh dah a hih jih gahni a meer.
AAD00101200	Stahp dahs pleez.
AAD00101201	You're not the first to have tried.
AAD00101202	Make the first shot count. You won't get a second.
AAD00101203	Don't be ridiculous - point that somewhere else, will you?
AAD00101204	[Christine frowns, points at your collar, then hers.]
AAD00101205	I didn't take you for suicidal.
AAD00101206	Don't shoot. Bullets hurt.
AAD00101207	You're going to make this easy.
AAD00101208	Drop that weapon, Outsider.
AAD00101209	Who the fuck do you think you are?
AAD00101210	Point that shit somewhere else.
AAD00101211	You think I don't see that?
AAD00101212	Don't tempt me.
AAD00101213	By Caesar, you're walking a fine line.
AAD00101214	If you need to shoot me, I won't complain!
AAD00101215	Hello! Look what's pointed at me!
AAD00101216	Don't worry about me! You can shoot if you want!
AAD00101217	Be advised, assaulting an officer of the law will not be tolerated.
AAD00101218	Be advised, assaulting an officer of the law is a serious offense.
AAD00101219	You want to be getting that gun out of my face right now.
AAD00101220	That's not funny.
AAD00101221	Quit screwing around!
AAD00101222	I wouldn't.
AAD00101223	I don't think so.
AAD00101224	How about I aim my gun at you for a while, see how you like it?
AAD00101225	You looking for trouble?
AAD00101226	I assure you, you look extremely virile. Now, would you mind pointing that somewhere else? Thanks.
AAD00101227	Uh... what's up?
AAD00101228	Why do we always hurt the ones we care about the most?
AAD00101229	You, uhh, you want to point that someplace else, boss? I got enough holes in me.
AAD00101230	Boss, why are you looking at me that way?
AAD00101231	I wouldn't mind this so much if it weren't for that maniacal gleam in your eye.
AAD00101232	<growl>
AAD00101233	Pull that trigger, you'll wish you hadn't.
AAD00101234	Don't like no one drawing a bead on me.
AAD00101235	Better be rocksalt in that, or you're asking for an asskicking.
AAD00101236	Don't make me take that away.
AAD00101237	Are you drunk?
AAD00101238	Pumpkin, don't point that at grandma, there's a dear.
AAD00101239	Leo doesn't like that, dearie. You should stop.
AAD00101240	How about you line that up on a tin can instead?
AAD00101241	Don't even kid about that.
AAD00101242	You're lookin' at a heap of trouble if you want it.
AAD00101243	If you think you want trouble, then let fly.
AAD00101244	Don't even joke like that.
AAD00101245	Point that somewhere else!
AAD00101246	That safety better be on.
AAD00101247	Point that somewhere else.
AAD00101248	For pete's sake...
AAD00101249	No respect.
AAD00101250	Stop that. I mean it!
AAD00101251	Quit it. You're making me nervous.
AAD00101252	Go ahead. Try me.
AAD00101253	Think you're tough, huh?
AAD00101254	You're not going to shoot me, are you?
AAD00101255	Is that loaded? Let me try it!
AAD00101256	Hey, I can almost see right down the barrel!
AAD00101257	That's not a good idea.
AAD00101258	What do you think you're doing?
AAD00101259	Think about it too hard and you'll get burned.
AAD00101260	Watch where you point that.
AAD00101261	Fire, and I won't take it lying down.
AAD00101262	Better be sure.
AAD00101263	HELLO
AAD00101264	Paladin.
AAD00101265	Hello, outsider.
AAD00101266	You're being watched, so don't get any ideas.
AAD00101267	The bunker takes a little getting used to, doesn't it?
AAD00101268	I got kicked outta Ultra-Luxe the other day. Man, that place gives me the fucking freaks.
AAD00101269	I wouldn't mind hitting that, does she put out?
AAD00101270	Hey, good going with that hit on The Tops.
AAD00101271	Let's get going!
AAD00101272	That's the mook that killed Benny!
AAD00101273	That's the guy who killed Caesar!
AAD00101274	That's the chick who killed Caesar!
AAD00101275	Ain't you the cat that tried to ice the President? Gutsy, baby, showing your face in here.
AAD00101276	Ain't that the cat that tried to ice the President? Gutsy fella, showing his face in here.
AAD00101277	Ave, true to Caesar.
AAD00101278	Don't get too close to Mr. Benny.
AAD00101279	No sudden moves around the boss, got it?
AAD00101280	I got my eye on you, so no funny business.
AAD00101281	Keep those hands where I can see 'em.
AAD00101282	Look who's here.
AAD00101283	Hello.
AAD00101284	With their leader gone, the Legion will likely tear itself apart. It's what most violent tribal societies do.
AAD00101285	Someone blew up the monorail the NCR uses to travel to the Strip and back. We should use this time to strike!
AAD00101286	There was an attempt on the NCR president's life recently. Too bad it didn't succeed.
AAD00101287	Did you hear? Someone actually managed to assassinate the NCR's president! And we just sit here!
AAD00101288	The other day I heard some bigwig in the NCR military died. Hopefully it disrupts their chain of command some.
AAD00101289	Did you hear about that NCR higher up that died? That he was trying to sabotage them? Hope he wasn't the only one.
AAD00101290	We just had word that the town of Primm is now part of the NCR. At this rate, they'll be running the whole region soon.
AAD00101291	It's the quiet before the storm up top. For once, I'm almost glad we're down here.
AAD00101292	You must have some serious brass to fight off Benny's goons. Bravo.
AAD00101293	You made a real mess of the Omertas. Looks like the place will be under new management now.
AAD00101294	You must have some real pull with House to get inside the Lucky 38.
AAD00101295	Hey, you're the one who slayed Caesar! That son of a bitch had it coming!
AAD00101296	People say Caesar is dead. I hope someone worse doesn't replace him.
AAD00101297	Good going destroying House's Securitron Army. That old boy's had too much power for too long.
AAD00101298	I hear some Legionary named Silus got freed from McCarran. He's got quite the NCR kill count.
AAD00101299	Why didn't you just let Kimball get killed? What did he ever do for us to warrant saving his life?
AAD00101300	You must have thought you were hot shit going after Kimball like that, huh?
AAD00101301	I hear you bagged Kimball. Damn fine work, kid.
AAD00101302	Some President Kimball was. Chalk up another death to NCR incompetence.
AAD00101303	A veteran Ranger inspires awe. Stick around for when they get here, you'll see. If I live to earn the Black Armor, I can die a happy woman.
AAD00101304	First Recon's in Camp Forlorn Hope. Get some Rangers in there too and it'll be a damned impregnable fortress.
AAD00101305	President Kimball was a tough son-of-a-gun. The Rangers'll pick up where he left off.
AAD00101306	President Kimball was a soldier's soldier. It's up to us to make the Legion pay for what they did.
AAD00101307	You saved President Kimball, didn't you? Hell of a thing.
AAD00101308	Don't get many chances to catch a legionary alive. Burns me up that we botched ours.
AAD00101309	Wish I had a First Recon guy looking after me.
AAD00101310	Oh my God, are you the one who saved President Kimball?
AAD00101311	I heard we captured a live Centurion and then let him get away. That never would've happened if I was in charge.
AAD00101312	Sounds like we're running Primm now. I'd still rather take my leave at the Strip.
AAD00101313	First Recon's at Camp Forlorn Hope. Now we've got a chance to hold it.
AAD00101314	So I hear the honcho of one of them Strip families up and disappeared - poof! Yeah, they'll find his body someday...
AAD00101315	Caesar may be dead, but I think the toga is here to stay. You simply can't buy better thigh accentuation.
AAD00101316	It's too bad the NCR boss got out alive.
AAD00101317	Even Presidents die, huh? Good.
AAD00101318	Caesar's death don't change shit down here.
AAD00101319	That Legion boss would've never taken the city, but I'm glad he's a goner.
AAD00101320	Only one bad thing about The Thorn, it brings all the idiots, assholes and topsiders down here.
AAD00101321	Hey yeah. Hi.
AAD00101322	Was that a guy or a gal? Aw hell, I need to stop drinking.
AAD00101323	Ugh?
AAD00101324	What the hell? I didn't eat any corn this week.
AAD00101325	Ya got any grog?!
AAD00101326	Ya got any change, man? I've got two kids to feed.
AAD00101327	Ya got any change, man? I've got three kids to feed.
AAD00101328	Ya got any change, man? I've got seven kids to feed.
AAD00101329	Woooooo!
AAD00101330	You seen Gourd around?
AAD00101331	Oh, I don't think last night's rat is agreeing with me.
AAD00101332	Hey lady! I know you've got some hooch somewhere in there!
AAD00101333	Hey! Nice hat, nancy boy!
AAD00101334	Oh, my head is killing me. I need another drink.
AAD00101335	<Whistling>
AAD00101336	I swear Dixon's hooch is killing me.
AAD00101337	Motor-Runner is dead? Who the fuck is going to be running the show now?
AAD00101338	Fuck, where are we gonna get our shit from now that the Khans are all buddy buddy with the NCR?
AAD00101339	Fuck, where are we gonna get our shit from now that the Khans are all buddy buddy with the NCR?
AAD00101340	NCR is going to be rip shit about losing their little train.
AAD00101341	Someone is targeting us. I'm gonna kill that fucker if we find out who did it.
AAD00101342	Someone is targeting us. I'm gonna kill that fucker if we find out who did it.
AAD00101343	Someone is targeting us. I'm gonna kill that fucker if we find out who did it.
AAD00101344	A flying robot? Man, I must be fucked up.
AAD00101345	Is that Mean Sonofabitch? They all look the same to me.
AAD00101346	Is that Mean Sonofabitch? They all look the same to me.
AAD00101347	Your pet ghoul smells like ass.
AAD00101348	Your pet ghoul smells like ass.
AAD00101349	You need to get to the Legate!
AAD00101350	I can't believe we may see the superfortress built in my lifetime.
AAD00101351	Really? So we may see our dream of flight soon?
AAD00101352	You've done us a great service. Thank you for your help.
AAD00101353	Love how this place comes alive at night.
AAD00101354	Good riddance, Caesar! We can finally enjoy some R&R without worrying about a Legion attack at McCarran.
AAD00101355	The Fiends have been less organized with Motor-Runner gone. Good riddance.
AAD00101356	Crazy Khan bastards. What were they thinking attacking the dam like that?
AAD00101357	People are talking, buddy. You've made quite an impression on The Strip.
AAD00101358	The Legion is bad enough. The last thing we needed around here is even tougher NCR Ranger thugs coming along.
AAD00101359	Without you, we'd all be slaves. Thanks for helping the NCR at the dam.
AAD00101360	Howdy, Arcade.
