STE00000001	内联纯函数
STE00000632	反转模组行为，按住Shift键显示友军NPC
STE00000633	禁用面对爆炸的IMOD
STE00000634	在附近发生爆炸时禁用径向模糊效果。
STE00000635	修改获得技能点
STE00000636	iSkillPointBase + ceil(Intelligence * fPointsPerInt)。
STE00000637	技能点基础
STE00000638	技能点
STE00000639	在智力加成前的基础技能点。
STE00000640	20
STE00000641	每点智力获得的技能点
STE00000642	每增加一点智力所获得的技能点
STE00000643	运气不影响赌博
STE00000644	通过将赌博菜单初始化为幸运值为5，移除幸运技能对赌博的影响。
STE00000645	移除化学物质效果消失的IMOD
STE00000646	移除化学物质效果消失的屏幕效果。
STE00000647	可调整的瞄准镜放大倍率
STE00000648	使用瞄准镜时，允许滚轮进行缩放。
STE00000649	缩放速度
STE00000650	可调整的放大倍率
STE00000651	武器的放大速度。
STE00000652	字母顺序排列
STE00000653	切换缩放比例
STE00000654	按下Shift时应用到缩放速度的倍数。
STE00000655	10
STE00000656	换枪时重置缩放
STE00000657	更换武器时重置当前的缩放。
STE00000658	允许非瞄准镜武器缩放
STE00000659	平滑滚轮缩放
STE00000660	应用平滑处理以改变缩放
STE00000661	双筒望远镜专用
STE00000662	仅允许对无投射物（如双筒望远镜）的武器进行缩放。
STE00000663	瞄准镜重置时间（毫秒）
STE00000664	如果未瞄准超过这个时间，会重置当前缩放，设为0禁用。
STE00000665	最小视场角
STE00000666	瞄准镜的最小视场角（最大缩放）。
STE00000667	90
STE00000668	最大视场角
STE00000669	最大瞄准镜视场角（最小缩放）。
STE00000670	视场角倍增因子最小值。
STE00000671	应用于武器视场角（最大缩放）的最小倍增因子。
STE00000672	视场角倍增因子最大值。
STE00000673	应用于武器视场角（最小缩放）的最大倍增因子。
STE00000674	放大键
STE00000675	放大（也可使用滚轮）。
STE00000676	缩小键
STE00000677	缩小（也可使用滚轮）。
STE00000678	弹出菜单不移动光标
STE00000679	阻止弹出菜单将鼠标移动到屏幕中心。
STE00000680	夜视瞄准镜切换
STE00000681	使用夜视武器瞄准时，按住iTogglePipboyLight键会关闭夜视效果。
STE00000682	默认禁用
STE00000683	夜视
STE00000684	在按下切换键前，禁用武器的夜视功能。
STE00000685	白天启用
STE00000686	白天启用夜视。
STE00000687	开启声音
STE00000688	启用夜视时播放的声音。
STE00000689	关闭声音
STE00000690	禁用夜视时播放的声音。
STE00000691	瞄准保持呼吸
STE00000692	按住Shift键可以减少瞄准镜晃动，但会消耗行动点数。
STE00000693	行动点消耗
STE00000694	屏息
STE00000695	每个间隔的AP消耗
STE00000696	AP消耗间隔
STE00000697	间隔时长（每X毫秒消耗AP）
STE00000698	晃动放大倍数
STE00000699	屏息时的晃动放大倍数
STE00000700	1
STE00000701	需要武器力量
STE00000702	只有在拥有足够的武器力量时，才允许屏息。
STE00000703	需要武器技巧
STE00000704	只有在拥有足够的武器技巧时，才允许屏息。
STE00000705	屏息键
STE00000706	用于屏息的键盘按键的扫描码
STE00000707	动力装甲抵消坠落伤害
STE00000708	穿着动力装甲会抵消坠落伤害
STE00000709	坠落伤害倍增器
STE00000710	动力装甲
STE00000711	坠落伤害倍增器
STE00000712	仅对玩家生效
STE00000713	敏捷度影响移动速度
STE00000714	speedMult = normalSpeedMult * (1 + (agility - 5) * fAgilityMovementSpeedMult)。
STE00000715	敏捷度移动速度倍增器
STE00000716	每高于5点敏捷度额外的移动速度倍增。低于5点的敏捷度会进行缩放。
STE00000717	影响NPC
STE00000718	调整NPC的移动速度。
STE00000719	影响玩家
STE00000720	调整玩家移动速度
STE00000721	禁用武器瞄准缩放
STE00000722	使用非瞄准镜武器瞄准时禁用缩放
STE00000723	排除非瞄准武器
STE00000724	武器视场
STE00000725	仅禁用有准星的武器的缩放功能。
STE00000726	禁用武器插槽内的视场缩放
STE00000727	当武器插在枪套中瞄准时禁用缩放
STE00000728	不大写容器类别
STE00000729	停止容器类别标题的大写（你需要更改AMMO标题游戏设置，因为它在实际设置中是大写的，与Aid，武器和盔甲不同）。
STE00000730	自动卸下破损的盔甲
STE00000731	当盔甲破损时自动卸下。
STE00000732	盔甲破损提示信息
STE00000733	卸下破损盔甲
STE00000734	盔甲破损时显示的UI角落信息
STE00000735	武器要求很重要
STE00000736	不允许装备没有所需力量和技能的武器。
STE00000737	忽略力量需求
STE00000738	所有武器都忽略力量需求。
STE00000739	忽略非重型武器的力量需求
STE00000740	忽略非“双手发射器”或“双手柄”类武器的力量需求。
STE00000741	忽略所有武器的技能需求。
STE00000742	所有武器都忽略技能需求。
STE00000743	忽略投掷物
STE00000744	忽略手榴弹、地雷和其他投掷武器的要求。
STE00000745	需要力量和技能提示
STE00000746	需要力量提示
STE00000747	需要技能提示
STE00000748	站立时也能进行偷袭。
STE00000749	允许站立时进行偷袭。
STE00000750	隐藏加载屏幕提示。
STE00000751	移除加载屏幕上的提示。
STE00000752	禁用同伴击杀视角。
STE00000753	阻止同伴击杀时启动击杀视角。
STE00000754	加载保存后暂停游戏。
STE00000755	加载保存时自动暂停游戏。
STE00000756	移除室内雾气。
STE00000757	移除室内非静态雾气。推荐与简化室内照明改版一起使用。
STE00000758	最小距离
STE00000759	室内雾气移除器
STE00000760	移除远方雾气的距离 - 设置过低会导致某些洞穴出现视觉bug。
STE00000761	增强黑客攻击
STE00000762	改进黑客小游戏的多个方面。
STE00000763	阻止单字符猜测
STE00000764	黑客攻击时阻止单字符尝试，例如点击'/'将什么也不做，而不是浪费尝试并使猜测输出混乱。
STE00000765	如果允许次数已满，移除无效尝试
STE00000766	如果允许次数已满，移除无效尝试而非补充次数。
STE00000767	阻止重复猜测
STE00000768	阻止猜测相同的单词。
STE00000769	无特殊输入打印
STE00000770	在移除无效尝试和补充次数的提示下，不要打印点击的字符串，以确保屏幕空间更少被占用。
STE00000771	移除无效尝试忽略猜测的单词
STE00000772	让“移除无效尝试”忽略猜测的单词（除非它们是仅剩的单词）。
STE00000773	单行打印猜测
STE00000774	HORIZON (1/7)。
STE00000775	支持滚屏
STE00000776	让屏幕边缘滚动到另一边（控制器或WASD键）。
STE00000777	标记猜测为无效
STE00000778	将错误的猜测标记为 ...
STE00000779	补充次数奖励
STE00000780	在找到“补充次数”而非将尝试次数设为最大值（例如vanilla中的4次）时，给予额外尝试次数奖励。
STE00000781	锁定需要钥匙显示名称
STE00000782	_New_Vegas_keys。
STE00000783	瞄准时显示UI
STE00000784	调整瞄准时UI元素的可见性，如显示生命值/行动点。
STE00000785	可见性标志
STE00000786	瞄准UI可见性
STE00000787	包含所有所需标志总和的十六进制值。例如，0x00000001表示只显示行动点；0x00000003表示显示生命值和行动点；0x000011A0表示显示经验条、消息、潜行计数器和区域位置。请参阅readme了解可用标志。
STE00000788	战斗后延迟升级
STE00000789	在战斗结束后，增加3秒延迟再显示升级菜单。
STE00000790	跳跃时不掉落抓取物品
STE00000791	阻止跳跃时丢弃抓取的物品。
STE00000792	不显示地图标记添加提示
STE00000793	禁用地图标记添加提示
STE00000794	神模式阻止腿部伤害音效
STE00000795	在神模式下阻止腿部受伤的音效
STE00000796	控制台中不可选择的玩家
STE00000797	阻止在控制台点击时选择玩家。
STE00000798	额外控制台详细信息（默认启用）
STE00000799	当在控制台中选择参考时，添加额外信息。
STE00000800	显示完整帮助
STE00000801	额外控制台详细信息
STE00000802	显示ToggleFullHelp命令的额外详细信息（附加脚本等）。
STE00000803	显示单元格名称
STE00000804	在控制台左上角显示当前玩家的单元格名称。
STE00000805	显示单元格编辑器ID
STE00000806	在控制台左上角显示当前玩家单元格的编辑器ID。
STE00000807	显示选定的网格路径
STE00000808	显示选定参考的网格路径（始终显示缺失网格的路径）。
STE00000809	将错误打印到控制台
STE00000810	将标准调试错误打印到控制台
STE00000811	打印一般错误
STE00000812	日志记录
STE00000813	打印一般错误
STE00000814	打印Havok错误
STE00000815	打印游戏物理/网格系统的错误
STE00000816	打印Havok旧的hkpBody错误
STE00000817	打印游戏物理/网格系统中关于旧的hkpRigidBody的无用警告
STE00000818	打印保存/加载错误
STE00000819	打印与保存/加载相关的错误
STE00000820	打印一般信息
STE00000821	打印各种通用调试信息消息
STE00000822	隐藏杂项任务物品
STE00000823	隐藏杂项PipBoy页面中的任务物品
STE00000824	显示夕阳沙士星帽
STE00000825	隐藏杂项物品
STE00000826	不要隐藏夕阳沙士星帽
STE00000827	扒手重制
STE00000828	游戏设置中的fPickpocketMaxChance和fPickPocketMinChance仍然有效。
STE00000829	奖励经验值
STE00000830	从成功扒窃中获得经验值。\nXPReward = itemWeight * fItemWeightMult + (itemValue * fItemValueMult) + targetPerception
STE00000831	显示成功率
STE00000832	在容器菜单底部显示扒窃成功率
STE00000833	成功率百分比信息
STE00000834	在包含成功率的容器菜单底部显示的信息。
STE00000835	仅在反扒窃时扣除活体手雷的道德值惩罚
STE00000836	只有在反扒窃活体爆炸物时才会扣除道德值。
STE00000837	基础概率
STE00000838	扒窃概率 = fBaseChance + (玩家敏捷度 * fPlayerAgilityMult) + (玩家幸运度 * fPlayerLuckMult) + (玩家潜行 * fPlayerSneakMult) - (目标感知 * fTargetPerceptionMult) - (探测值 * fDetectionValueMult) - (物品价值 * fItemValueMult) - (物品重量 * fItemWeightMult)
STE00000839	潜行加成
STE00000840	幸运加成
STE00000841	敏捷加成
STE00000842	物品价值加成
STE00000843	物品重量加成
STE00000844	穿戴物品加成
STE00000845	如果NPC穿着该物品，总机会乘以fWornItemChanceMult。
STE00000846	目标感知加成
STE00000847	探测值加成
STE00000848	维修奖励经验
STE00000849	修复物品时获得经验
STE00000850	获得的经验
STE00000851	维修
STE00000852	每件物品获得的经验奖励
STE00000853	击杀奖励AP
STE00000854	在 VATS 外击杀时获得行动点数。
STE00000855	获得的AP
STE00000856	击杀AP奖励
STE00000857	每击杀一次获得的AP
STE00000858	无HUD热键提示
STE00000859	按下热键时防止热键轮盘显示。
STE00000860	弹匣容量很重要
STE00000861	如果没有足够的子弹，阻止开火。
STE00000862	HUD显示地点名称
STE00000863	在显示“莫哈韦荒漠”的HUD区域文本中，显示内部区域名称。
STE00000864	显示附近的地图标记
STE00000865	区域名称
STE00000866	接近地图标记时显示其名称
STE00000867	不奖励同伴击杀经验值
STE00000868	不为同伴击杀奖励经验值 - 停止增加用于比较iXPDeathRewardHealthThreshold的“玩家造成的伤害”中的同伴攻击伤害。
STE00000869	玩家伤害后计算同伴击中次数
STE00000870	同伴击杀经验值
STE00000871	玩家击中NPC后，同伴击中次数计入iXPDeathRewardHealthThreshold。
STE00000872	隐藏弹药标签
STE00000873	从主HUD中隐藏弹夹/剩余标签。
STE00000874	显示总计剩余
STE00000875	弹夹剩余发数
STE00000876	显示总计弹药数，而不是弹夹/剩余。
STE00000877	在负重过重时缩放AP再生。
STE00000878	在负重过重时调整AP再生。
STE00000879	AP再生比例
STE00000880	负重过重AP
STE00000881	应用于负重过重时的行动点数再生速率。
STE00000882	只在移动时应用
STE00000883	仅在玩家移动时应用比例。
STE00000884	禁用角色重置。
STE00000885	禁用离开出生区域时运行的角色重置脚本。
STE00000886	禁用声望消息。
STE00000887	禁用声望弹出框和消息。
STE00000888	隐藏弹出框
STE00000889	声望
STE00000890	恶名昭彰）。
STE00000891	隐藏角落收益消息。
STE00000892	阻止获得声望时显示左上角消息。
STE00000893	隐藏损失声望时的左上角消息。
STE00000894	阻止失去声望时显示左上角消息。
STE00000895	仅在最低声望时隐藏非脚本损失。
STE00000896	仅在已达到最低声望且变化非来自脚本命令时，阻止损失弹出和消息。
STE00000897	仅在达到最大声望时隐藏非脚本获得。
STE00000898	仅在已达到最大声望且变化非来自脚本命令时，阻止获得弹出和消息。
STE00000899	库存排序按钮
STE00000900	添加一个按钮，用于对库存进行排序/过滤，具体由menus/prefabs/lStewieAl/SortInventoryButton.xml指定。使用Shift/Control点击切换过滤模式。
STE00000901	加入交易
STE00000902	库存按钮
STE00000903	将按钮添加到交易菜单。
STE00000904	加入容器
STE00000905	将按钮添加到容器菜单。
STE00000906	加入Pip-Boy
STE00000907	将按钮添加到库存菜单。
STE00000908	默认排序模式
STE00000909	按钮的默认排序/过滤模式。
STE00000910	按重量隐藏
STE00000911	隐藏重量低于阈值的物品。
STE00000912	按重量排序
STE00000913	按重量排序（忽略堆叠大小）
STE00000914	隐藏任务物品
STE00000915	按重量和任务物品隐藏
STE00000916	3
STE00000917	按重量、任务物品和排序隐藏
STE00000918	4
STE00000919	按重量价值排序
STE00000920	显示治疗物品
STE00000921	6
STE00000922	显示食物物品
STE00000923	7
STE00000924	显示水物品
STE00000925	8
STE00000926	显示减少辐射的物品
STE00000927	9
STE00000928	隐藏的重量阈值
STE00000929	在“按重量隐藏”模式下隐藏物品的阈值重量。
STE00000930	隐藏模式标志
STE00000931	包含所有所需标志的十六进制值（参见readme）。例如，0x282将阻止显示减少辐射的物品、显示食物物品和按重量排序。
STE00000932	激活按钮亮度
STE00000933	在排序/过滤时增强排序按钮的亮度，而不是使用不活动排序的单独图标。
STE00000934	控制器切换按钮
STE00000935	控制器按钮，用于切换排序。
STE00000936	开始
STE00000937	A
STE00000938	B
STE00000939	X
STE00000940	11
STE00000941	Y
STE00000942	12
STE00000943	LB（左扳机）
STE00000944	15
STE00000945	RB（右扳机）
STE00000946	16
STE00000947	LS（左摇杆）
STE00000948	17
STE00000949	RS（右摇杆）
STE00000950	18
STE00000951	控制器循环按钮
STE00000952	用于切换排序模式的按钮。
STE00000953	点击活动标签切换排序
STE00000954	点击当前 PipBoy 库存标签切换排序/过滤。
STE00000955	允许重新绑定数字键
STE00000956	在控制菜单中显示数字快捷键，并允许将控制绑定到方向键（注意这会与绑定的武器快捷键冲突）。注意由于一个bug，Darnified UI 不支持在此菜单中添加额外项目。
STE00000957	禁用武器快捷键
STE00000958	忽略 PipBoy 之外的方向键和1-9武器键。
STE00000959	禁用头部显示器残缺肢体指示器
STE00000960	当肢体受伤时，阻止 Vault Boy 在头部显示器上显示（不包括'LMB'文本）。
STE00000961	控制台背景
STE00000962	为控制台添加背景，具体由menus/prefabs/lStewieAl/ConsoleBackground.xml指定。
STE00000963	单个物品统计
STE00000964	查看物品堆叠时，显示单个物品的重量和价值，而不是整个堆叠的重量/价值。
STE00000965	仅允许坐下时等待
STE00000966	仅允许在玩家坐下或上帝模式时进行等待。
STE00000967	显示预防信息
STE00000968	在阻止等待时显示消息。
STE00000969	阻止等待信息
STE00000970	当阻止等待时，显示包含当前时间的消息，使用“显示阻止信息”选项时忽略此消息。
STE00000971	头部显示器RGB滑块
STE00000972	在设置菜单中添加主头部显示器颜色的RGB滑块。注意，由于一个bug，Darnified UI不支持此菜单中的额外项目。可选地让终端使用头部显示器颜色。
STE00000973	终端使用头部显示器颜色
STE00000974	RGB滑块
STE00000975	让终端复制头部显示器颜色。
STE00000976	在容器中显示货币
STE00000977	在容器的杂项页面显示派系货币，并在PipBoy的杂项标签页中显示卡普斯。
STE00000978	隐藏无伤害爆炸的榴弹指示器
STE00000979	隐藏爆炸无伤害的投射物的榴弹指示器。
STE00000980	未交谈的NPC提示
STE00000981	为未交谈的NPC的提示添加星号*。
STE00000982	不按条件调整NPC伤害阈值
STE00000983	不要根据条件调整NPC护甲伤害阈值
STE00000984	不按条件调整NPC伤害抵抗力
STE00000985	不要根据条件调整NPC护甲伤害抵抗力
STE00000986	不按条件调整NPC伤害
STE00000987	不要根据武器状态调整NPC的伤害
STE00000988	将不可用的无线电设备排到最后
STE00000989	修复原版中，不可用的无线电设备未排至列表底部的bug
STE00000990	阻止通用随从话题
STE00000991	阻止同伴在受伤、需要弹药、武器等情况时的对话
STE00000992	禁用教程消息
STE00000993	禁用硬编码的一次性教程菜单信息，如黑客、开锁、PipBoy等。不会禁用非硬编码的消息，如'按V使用VATS'等。
STE00000994	交易检查演员买卖标志
STE00000995	让商家遵守买卖标志，隐藏商家不接受的物品。
STE00000996	弹药需要武器
STE00000997	交易使用买卖标志
STE00000998	只在商家买卖武器时进行弹药买卖。
STE00000999	保留当前控制台引用
STE00001000	关闭控制台时记住已选的引用（只要它还加载着）。
STE00001001	不改变快速旅行时间
STE00001002	快速旅行时不推进时间或硬核需求。
STE00001003	在自己的床上睡觉
STE00001004	允许在自己的床上睡觉。
STE00001005	被谁发现
STE00001006	在潜行时显示检测到你的演员名称，例如将 [DETECTED] 替换为 [被 Easy Pete, Sunny Smiles, 和 2 他人发现]。
STE00001007	最大名称数
STE00001008	在显示 \和 N 他人之前显示的名称数。
STE00001009	检测字符串
STE00001010	）
STE00001011	演员字符串
STE00001012	当最大名称数为 0 时显示的字符串。
STE00001013	其他演员字符串
STE00001014	当超过 iMaxNameCount 个演员检测到玩家时显示的字符串。
STE00001015	复数字符串
STE00001016	附加到 '和 %d 其他(人)。'
STE00001017	运行成本 AP
STE00001018	增加跑步的行动点数消耗。
STE00001019	基础行动点数消耗。
STE00001020	AP消耗耐力倍数
STE00001021	AP消耗耐力乘数。
STE00001022	AP减少之间的间隔（毫秒）。
STE00001023	始终允许跑步，当AP为0时阻止AP获取。
STE00001024	仅在战斗中
STE00001025	只有在战斗中跑步时才减少AP。
STE00001026	AP再生倍数
STE00001027	移动时的AP再生倍数。
STE00001028	隐藏已完成的 quest
STE00001029	不要在 PipBoy 任务选项卡中显示已完成的任务。
STE00001030	按住等待键显示菜单
STE00001031	让睡眠/等待按钮需要按住而不是按下后立即显示。
STE00001032	按键保持时间
STE00001033	等待键
STE00001034	等待菜单显示前等待键必须按住的时间（毫秒）。
STE00001035	使用 Fallout 3 音频失真
STE00001036	为戴面具的 NPC 使用类似于 Fallout 3 中的失真算法（听起来更金属，不那么模糊）。
STE00001037	关闭菜单时保持 XP 框
STE00001038	关闭（如黑客、对话或开锁）菜单时隐藏 XP 框。
STE00001039	无需技能开锁
STE00001040	允许开启任何级别的锁。
STE00001041	调整难度
STE00001042	移除开锁技能要求
STE00001043	sweetSpot = vanillaSweetSpot * (skillLevel / skillReq)
STE00001044	无需技能黑客终端
STE00001045	允许黑客任何级别的终端
STE00001046	坐着时也能转身
STE00001047	第一人称视角中坐着时的最大旋转范围增加至 -115 到 115 度（原为 -90 到 90），第三人称视角则为全程 360 度旋转。
STE00001048	掠夺失去意识的受害者
STE00001049	允许掠夺失去意识的演员。
STE00001050	为最近添加的地图标记着色
STE00001051	显示本会话中添加的地图标记为红色。直到重载存档，你收到的地图标记显示为红色。
STE00001052	自定义默认 PipBoy 选项卡
STE00001053	按下 MenuMode 键（F1/F2/F3）时，PipBoy 总是打开到同一选项卡（F1/F2/F3 仍然会导航到各自类别）。
STE00001054	默认选项卡
STE00001055	默认 PipBoy 选项卡
STE00001056	数据 - 最后选择
STE00001057	37
STE00001058	数据 - 收音机
STE00001059	36
STE00001060	数据 - 其他
STE00001061	35
STE00001062	数据 - 任务
STE00001063	34
STE00001064	数据 - 世界地图
STE00001065	33
STE00001066	数据  - 当前地图
STE00001067	32
STE00001068	物品  - 最后选择
STE00001069	21
STE00001070	物品  - 弹药
STE00001071	物品  - 其他
STE00001072	19
STE00001073	物品  - 救援
STE00001074	物品  - 配饰
STE00001075	物品   - 武器
STE00001076	状态   - 最后选择
STE00001077	状态   - 一般
STE00001078	状态   - 奖励
STE00001079	状态   - 技能
STE00001080	状态   - 特殊
STE00001081	状态   - 状态
STE00001082	0
STE00001083	在武器菜单中显示弹药使用情况
STE00001084	查看武器库存时显示每次射击使用的弹药量。例如，查看三束激光步枪时，弹药显示为“MF Cell x 3”。
STE00001085	不显示位置标记弹出框
STE00001086	在地图上放置标记时，不要显示放置/移除标记。
STE00001087	按Shift+click键移除
STE00001088	放置标记弹出框
STE00001089	使右键点击始终放置地图标记（而不是切换放置/移除）。如果按住Shift键点击，将移除标记。
STE00001090	24小时睡眠等待时钟
STE00001091	将睡眠/等待时钟改为24小时格式。
STE00001092	12小时皮博伊钟
STE00001093	将皮博伊钟改为12小时格式。
STE00001094	重生容器指示器
STE00001095	如果打开的容器设置为重生，将在字幕栏添加警告。
STE00001096	警告信息
STE00001097	容器重生警告
STE00001098	显示在会重生的容器上的警告信息。
STE00001099	本地地图重生单元格指示器
STE00001100	在本地地图上，将重生的单元格显示为红色，未访问的单元格显示为白色。
STE00001101	显示重生的单元格
STE00001102	重生单元格指示器
STE00001103	将重生的单元格着色为红色。
STE00001104	显示未访问的单元格
STE00001105	将未访问的单元格着色为白色。
STE00001106	更佳的拾取提示
STE00001107	在拾取时显示整堆物品的价值和重量，并在超过负重时以红色显示重量。
STE00001108	交易中隐藏装备物品
STE00001109	在交易菜单中隐藏装备物品。
STE00001110	隐藏装备物品在容器中
STE00001111	隐藏装备物品在容器中。
STE00001112	不显示食物逐渐消耗的消息
STE00001113	阻止食物项目显示“消耗殆尽”的消息。
STE00001114	瞄准时保持任务/位置文本可见。
STE00001115	阻止瞄准时隐藏任务/位置文本。
STE00001116	允许队友使用“熔毁”（Meltdown）功能。
STE00001117	允许队友使用“熔毁”效果，如果玩家拥有该增益。
STE00001118	无自爆伤害
STE00001119	阻止自己的爆炸对自己造成伤害（NPC仍然可以自爆）。
STE00001120	长按以激活
STE00001121	按住激活键，而不是点击，来激活各种对象。
STE00001122	适用于容器和NPC
STE00001123	激活键
STE00001124	长按以搜索或打开容器，或与NPC互动。
STE00001125	适用于家具
STE00001126	长按以与家具（包括床）互动。
STE00001127	适用于水源
STE00001128	长按以从水龙头或水洼饮水。
STE00001129	适用于工作台
STE00001130	长按与篝火、工作台和装填台互动。
STE00001131	拿取物品（按住）
STE00001132	按住激活键拿取物品（不激活容器、NPC等）。
STE00001133	拾取间隔
STE00001134	在“按住拿取”功能激活后，拿取物品的延迟时间。
STE00001135	避免负重过重
STE00001136	除非玩家已负重，否则阻止自动拾取会使其负重过重的物品。
STE00001137	偷窃延时
STE00001138	首次偷窃的延时，由“偷窃延时计时器”决定。
STE00001139	偷窃延时计时器
STE00001140	在不需要再次偷窃前的延迟时间（毫秒）。
STE00001141	记住 PipBoy 滚动位置
STE00001142	在会话（每个存档）间保存 PipBoy 滚动位置
STE00001143	无武器状态伤害减免
STE00001144	武器始终按最大伤害值攻击，不受状态影响
STE00001145	玩家近战伤害无视比例
STE00001146	使玩家的近战伤害与身高/比例无关。
STE00001147	隐藏世界地图上阵营声望标记
STE00001148	隐藏世界地图上阵营声望标记。
STE00001149	比较武器属性
STE00001150	显示-和+，表示相对于装备武器的武器DPS（每秒伤害）/DAM（伤害）。
STE00001151	任何地方都可以睡觉/等待
STE00001152	允许在任何地方睡觉/等待
STE00001153	战斗中可以睡觉
STE00001154	允许在战斗中睡觉。
STE00001155	在辐射中睡觉
STE00001156	允许在受到辐射时睡觉。
STE00001157	空中睡觉
STE00001158	允许在空中睡觉。
STE00001159	在受到伤害时睡觉
STE00001160	允许在受到伤害时睡觉。
STE00001161	在水下睡觉
STE00001162	与鱼儿共眠
STE00001163	闯入时睡觉
STE00001164	允许闯入时睡觉。
STE00001165	无内部黑色加载屏幕
STE00001166	加载室内单元时移除黑色加载屏幕，并防止演员淡入。
STE00001167	淡入
STE00001168	室内过渡
STE00001169	根据game-设置FadeToBlackFadeSeconds调整屏幕边缘的淡出效果。
STE00001170	角色近战伤害无视比例
STE00001171	阻止NPC和玩家的缩放影响他们的近战伤害。
STE00001172	无技能点分配时跳过技能菜单
STE00001173	如果你没有技能点分配但有技能奖励要分配，跳过分配技能点的屏幕。
STE00001174	自定义装甲状态惩罚
STE00001175	允许根据状态应用自定义比例到装甲的DR/DT。
STE00001176	DR/DT比例
STE00001177	低于状态阈值时应用到DR/DT的惩罚比例
STE00001178	当装甲状态低于阈值时，应用到DR/DT的缩放比例。
STE00001179	打击武器不会损坏它们
STE00001180	防止玩家和敌人武器在被射击时受到伤害。
STE00001181	无外部加载屏幕
STE00001182	退出室内时移除加载屏幕背景（故意排除加载保存时）。
STE00001183	超宽屏幕支持
STE00001184	- 黑屏淡入淡出过渡现在占据整个屏幕，而不是一个小矩形（如加载保存或区域间切换时所见）。- 黑屏淡入淡出过渡现在占据整个屏幕，而不是一个小矩形（如加载保存或区域间切换时所见）。
STE00001185	菜单视场缩放
STE00001186	应用于菜单/瞄准镜的缩放比例。原版使用0.75。
STE00001187	无重量装备的盔甲
STE00001188	调整装备盔甲的重量。
STE00001189	角色非近战伤害无视缩放比例
STE00001190	阻止NPC和玩家的缩放影响他们的非近战伤害。
STE00001191	玩家非近战伤害无视缩放。
STE00001192	阻止玩家缩放影响非近战伤害。
STE00001193	非硬核模式下无重量辅助物品。
STE00001194	在非硬核模式中使辅助物品无重量。
STE00001195	无重量物品
STE00001196	使物品（按类别）无重量。
STE00001197	无重量盔甲
STE00001198	无重量辅助物品
STE00001199	无重量弹药
STE00001200	无重量武器
STE00001201	无重量杂项物品
STE00001202	在第一人称中隐藏准星
STE00001203	在第一人称中隐藏准星（保持第三人称可见）
STE00001204	在第三人称中隐藏准星
STE00001205	在第三人称中隐藏准星（保持在第一人称）。
STE00001206	赌场禁令取消
STE00001207	阻止来自赌场的禁令。
STE00001208	取消玩家的偷袭必杀
STE00001209	禁用玩家的偷袭必杀。
STE00001210	NPC可以对玩家进行偷袭必杀
STE00001211	允许NPC对玩家和彼此进行偷袭必杀。- 可与bNoSneakAttacksCriticals一起使用（使其变为'禁止玩家偷袭必杀'）。
STE00001212	NPC可以解除玩家武器
STE00001213	允许NPC解除玩家武器
STE00001214	仅限近战武器的偷袭必杀
STE00001215	只允许使用近战武器进行偷袭必杀
STE00001216	在修理菜单中显示任务和无DRDT物品
STE00001217	在修理服务菜单中显示无DR或DT的任务物品和盔甲。
STE00001218	禁用游戏加载时的无敌模式
STE00001219	在加载/重载存档时禁用无敌模式。
STE00001220	反转容器标题滚动方向
STE00001221	使用容器标题的滚轮时，改变类别方向。
STE00001222	HUD疲劳指示器
STE00001223	添加类似硬核中FOD和H2O标签的疲劳指示器。
STE00001224	允许武器快捷键和PipBoy在重新装填时使用。
STE00001225	允许使用武器快捷键切换武器，以及在重新装填时打开PipBoy。
STE00001226	不解除同伴武器。
STE00001227	战斗中不会解除同伴的武器。
STE00001228	允许着陆时开火
STE00001229	允许在下身动画播放时开火
STE00001230	瞄准时开火
STE00001231	允许在瞄准和退出瞄准时开火
STE00001232	在加载完成前不要显示控制台
STE00001233	在原版中，可以在加载设置（例如禁用控制器）之前使用控制台加载保存，这会阻止在加载完成前打开控制台。
STE00001234	负重过重时的强击
STE00001235	允许负重过重时进行近战强击。
STE00001236	缓慢恢复呼吸
STE00001237	在水下时，水位缓慢恢复，而不是浮出水面时立即满格。
STE00001238	呼吸恢复速率
STE00001239	水下呼吸
STE00001240	呼吸恢复到满值的速度 - 设置为1.0表示1秒内满格，0.5表示2秒等
STE00001241	在非水下时显示呼吸恢复
STE00001242	若不为满值，显示非水下的呼吸计量。
STE00001243	注释菜单 显示单独菜单
STE00001244	在 PipBoy 中点击笔记时显示滚动菜单（需要书本菜单恢复的纹理和XML）。
STE00001245	需要按住Shift键
STE00001246	笔记菜单
STE00001247	显示笔记菜单时需要按住Shift键。
STE00001248	添加目标时不设置任务
STE00001249	在没有活动任务时，获得新目标时不设置当前任务。
STE00001250	武器旋转音效修复
STE00001251	修复了一个问题，即在攻击武器短暂停止时，不会播放攻击音效。例如，在基础游戏中，用火焰喷射器或迷你枪轻点并按住开火键，将不会播放火焰喷射声音。
STE00001252	瞄准时转动更慢
STE00001253	调整瞄准时的头部旋转速度比例。
STE00001254	X轴比例
STE00001255	转动速度
STE00001256	应用于X轴旋转的速度比例。
STE00001257	Y轴比例
STE00001258	应用于Y轴旋转的速度比例。
STE00001259	站立时显示潜行标签。
STE00001260	站立时显示【潜行】标识。
STE00001261	VATS自动锁定头部。
STE00001262	进入VATS时自动锁定头部。
STE00001263	只有在按住POV键时才改变视角高度。
STE00001264	只有在按住'视角切换'键时，滚动才会改变视角高度。
