TIH00000001	恰斯摇头娃娃
TIH00000749	这种方式对我们都有好处。所以这是我的建议 - 我将会离开取决于你是否执行它。
TIH00000750	我得走了。
TIH00000751	...
TIH00000752	整理你的狗屎东西然后离开吧，土人。海斯廷斯不想你在附近。
TIH00000753	所以，海斯廷斯变得紧张了？派当地的恶棍来吓唬我。
TIH00000754	这没用。任何时候如果我有放弃的迹象，他将会派暴徒来威胁我...我将一无所有。
TIH00000755	海斯廷斯已经死了。这是他的手指。
TIH00000756	我从来不是很理解这是交易的一部分。这是一种传统，我猜，我认为...很恶心。
TIH00000757	但是没有时间去抱怨了 - 感谢你的亲近我并帮我留意这个。这是我承诺的瓶盖。
TIH00000758	至于那个接触...我知道海斯廷斯会见一个辛迪加人，那个家伙叫做托尼·切斯，住在罪恶城。
TIH00000759	他是最有可能告诉你关于吉玛的事情的人。不过祝你从他那里得到想要的。我听说他是个金牌打手 - 喜欢使用他的双手。
TIH00000760	你要留意一下你的背后，朋友。你本可以在这干掉我，但是你醒悟了。无论你追赶什么，祝你得到你想要。
TIH00000761	沃恩将不会是个问题了。
TIH00000762	我已经得到消息了。谢谢。
TIH00000763	注意，我不认识吉玛。从未见过他。但是我知道有个家伙能告诉你。他叫做切斯。他暂时住在罪恶城。
TIH00000764	切斯在辛迪加是个重量级人物。他在自己的家里。我将会在你的地图上指出位置。
TIH00000765	万一你被怀疑，那我不认识你，而你也不认识我。不要再跟我说了，而且绝不要提及我的名字。
TIH00000766	
TIH00000767	进来吧，请随意。三楼没有陌生人。
TIH00000768	此外，这正适合谈一些业务。那些黑手党，你知道的，给我们提供了整个楼层，所以这里看起来有点冷清。
TIH00000769	什么能够阻止我们获得全部的战利品？
TIH00000770	除了我可以使避难所充满毒气这个事实？好吧，你们会发现使用你们的钥匙将很难进入各个房间。
TIH00000771	你们的钥匙打开了军工厂。然而我的钥匙，能够进入...在避难所中的任何房间。塞拉斯没有提及那个，不是吗？
TIH00000772	看吧，当好心的塞拉斯先生在很久之前跟我们做协议时，他交出了访问卡，而机灵的保留了其他的钥匙。
TIH00000773	所有人一致赞成，他完全知道双方都可以轻易做掉另一方...塞拉斯看起来有其他计划。
TIH00000774	<保持沉默>
TIH00000775	噢，那些人中的一个，不是吗？你设想自己很强大，沉默型的？从我的经验来看，这真他妈的罕见。
TIH00000776	我所认识的大多数哑巴要么是白痴要么是精神病？当然，你不得不考虑下我们的工作环境。
TIH00000777	我该言归正传，小子。你他妈的来这干什么?关于吉玛？战利品？我想我们达成共识了。
TIH00000778	我是&PCName;，很高兴见到你。
TIH00000779	我也是。你的名字一点也不是我所期望的。有趣的是，你知道的，实际上期望通常不符合现实。
TIH00000780	现在我该言归正传，小子。你他妈的来这干什么?关于吉玛？战利品？我想我们达成共识了。
TIH00000781	我宁愿保守秘密。
TIH00000782	好吧，说得好。这不是什么恶毒的事情。我所知道的超出你可能认为的。
TIH00000783	自从你爬出坟墓之后我们一直在关注你。
TIH00000784	现在我该言归正传，小子。你他妈的来这干什么?关于吉玛？战利品？我想我们达成共识了。
TIH00000785	我是&PCName;，而如果你不说出我想知道的，那么我将是你见到的最后一人。
TIH00000786	哇，哦，哦，放低调点，好吧。我们他妈的不是在拍西部片。
TIH00000787	你也许吓唬住那些没用的袭击者和废土上的土人，但是请不要对我说那些废话。
TIH00000788	我该言归正传，小子。你他妈的来这干什么?关于吉玛？战利品？我想我们达成共识了。
TIH00000789	我想要宝藏。吉玛不该拿走它。
TIH00000790	嘿，如果其他都失败了，你总能指望贪婪。
TIH00000791	这只会以两种方式结束。要么你离开，要么你会再次被埋葬在该死的沙漠之中，而这次...你不会活过来了。
TIH00000792	你有胆量，小子。但是这还不够。你没意识到你面对的是什么...你只考虑你做所的。
TIH00000793	当吉玛玩弄我的生命的时候他就该死。我不受任何人的摆布。
TIH00000794	这真他妈的愚蠢。我们都服从某人，小子。尽管吉玛服从的...很好，你不会想知道他服从的人是谁。
TIH00000795	这只会以两种方式结束。要么你离开，要么你会再次被埋葬在该死的沙漠之中，而这次...你不会活过来了。
TIH00000796	你有胆量，小子。但是这还不够。你没意识到你面对的是什么...你只考虑你做所的。
TIH00000797	你的组织没有权利杀死布拉德利。我要跟吉玛解决点事情。
TIH00000798	你意识到这听起来有多天真了吗，有没有？你杀死了多少人？几十个？几百个？
TIH00000799	这只会以两种方式结束。要么你离开，要么你会再次被埋葬在该死的沙漠之中，而这次...你不会活过来了。
TIH00000800	你有胆量，小子。但是这还不够。你没意识到你面对的是什么...你只考虑你做所的。
TIH00000801	我恨辛迪加。理由足够了吗？
TIH00000802	足够了，但是我认为在班尼爆了你头时你用完了你的全部运气。仇恨所有...这是个危险的道路，老兄。
TIH00000803	这只会以两种方式结束。要么你离开，要么你会再次被埋葬在该死的沙漠之中，而这次...你不会活过来了。
TIH00000804	你有胆量，小子。但是这还不够。你没意识到你面对的是什么...你只考虑你做所的。
TIH00000805	我自有我的理由。
TIH00000806	我以为你会说一些类似的狗屎。在一时之间很难断定一个人。
TIH00000807	这只会以两种方式结束。要么你离开，要么你会再次被埋葬在该死的沙漠之中，而这次...你不会活过来了。
TIH00000808	你有胆量，小子。但是这还不够。你没意识到你面对的是什么...你只考虑你做所的。
TIH00000809	告诉我辛迪加将会退出这里，而我将会离开。
TIH00000810	你让我惊讶。这是个聪明的把戏，小子。你不了解我们，我们也不了解你。一切恢复到之前的状态。
TIH00000811	我知道当尘埃落定的时候你做了正确的事情。照顾好你自己吧，伙计。
TIH00000812	<往他脸上吐口水>
TIH00000813	操你妈... 你确定你想要玩吗？
TIH00000814	我曾在里诺当过职业拳击手...重量级的，货真价实的选手。我进入这一行是因为我弄死了某个人。
TIH00000815	工作总会有，因为我正好知道攻击一个男人的哪个部位会使他像一个该死的小女孩那样哭泣并跪地求饶...
TIH00000816	而那会是我将会对你做的...就在你认为事情不能变的更糟的时候，而真正的痛苦才刚刚开始。
TIH00000817	不，我不会杀了你，但是我会将你卸成他妈的一小块一小块的，再也不能拼回原状了。
TIH00000818	你将会使用吸管来进食并会在自由城乞讨，为了金钱而吸允鸡巴。那会是你的结局，吃狗屎去吧。
TIH00000819	你听我说，老家伙 - 辛迪加不能阻止我。吉玛将会是个死人。
TIH00000820	既然你他妈的听不进去... 好吧，我操！
TIH00000821	我曾在里诺当过职业拳击手...重量级的，货真价实的选手。我进入这一行是因为我弄死了某个人。
TIH00000822	工作总会有，因为我正好知道攻击一个男人的哪个部位会使他像一个该死的小女孩那样哭泣并跪地求饶...
TIH00000823	而那会是我将会对你做的...就在你认为事情不能变的更糟的时候，而真正的痛苦才刚刚开始。
TIH00000824	不，我不会杀了你，但是我会将你卸成他妈的一小块一小块的，再也不能拼回原状了。
TIH00000825	你将会使用吸管来进食并会在自由城乞讨，为了金钱而吸允鸡巴。那会是你的结局，吃狗屎去吧。
TIH00000826	
TIH00000827	既然你他妈的听不进去... 好吧，我操！
TIH00000828	我曾在里诺当过职业拳击手...重量级的，货真价实的选手。我进入这一行是因为我弄死了某个人。
TIH00000829	工作总会有，因为我正好知道攻击一个男人的哪个部位会使他像一个该死的小女孩那样哭泣并跪地求饶...
TIH00000830	而那会是我将会对你做的...就在你认为事情不能变的更糟的时候，而真正的痛苦才刚刚开始。
TIH00000831	不，我不会杀了你，但是我会将你卸成他妈的一小块一小块的，再也不能拼回原状了。
TIH00000832	你将会使用吸管来进食并会在自由城乞讨，为了金钱而吸允鸡巴。那会是你的结局，吃狗屎去吧。
TIH00000833	我不在乎辛迪加。我只想要我那该死的钱。
TIH00000834	你曾闭过嘴吗？天呐，你该经常出来走走。
TIH00000835	既然你他妈的听不进去... 好吧，我操！
TIH00000836	我曾在里诺当过职业拳击手...重量级的，货真价实的选手。我进入这一行是因为我弄死了某个人。
TIH00000837	工作总会有，因为我正好知道攻击一个男人的哪个部位会使他像一个该死的小女孩那样哭泣并跪地求饶...
TIH00000838	而那会是我将会对你做的...就在你认为事情不能变的更糟的时候，而真正的痛苦才刚刚开始。
TIH00000839	不，我不会杀了你，但是我会将你卸成他妈的一小块一小块的，再也不能拼回原状了。
TIH00000840	你将会使用吸管来进食并会在自由城乞讨，为了金钱而吸允鸡巴。那会是你的结局，吃狗屎去吧。
TIH00000841	事实上。我杀了几千个。你不妨做下一个。
TIH00000842	既然你他妈的听不进去... 好吧，我操！
TIH00000843	我曾在里诺当过职业拳击手...重量级的，货真价实的选手。我进入这一行是因为我弄死了某个人。
TIH00000844	工作总会有，因为我正好知道攻击一个男人的哪个部位会使他像一个该死的小女孩那样哭泣并跪地求饶...
TIH00000845	而那会是我将会对你做的...就在你认为事情不能变的更糟的时候，而真正的痛苦才刚刚开始。
TIH00000846	不，我不会杀了你，但是我会将你卸成他妈的一小块一小块的，再也不能拼回原状了。
TIH00000847	你将会使用吸管来进食并会在自由城乞讨，为了金钱而吸允鸡巴。那会是你的结局，吃狗屎去吧。
TIH00000848	相信我，我曾在比辛迪加更坏情况下存活。
TIH00000849	既然你他妈的听不进去... 好吧，我操！
TIH00000850	我曾在里诺当过职业拳击手...重量级的，货真价实的选手。我进入这一行是因为我弄死了某个人。
TIH00000851	工作总会有，因为我正好知道攻击一个男人的哪个部位会使他像一个该死的小女孩那样哭泣并跪地求饶...
TIH00000852	而那会是我将会对你做的...就在你认为事情不能变的更糟的时候，而真正的痛苦才刚刚开始。
TIH00000853	不，我不会杀了你，但是我会将你卸成他妈的一小块一小块的，再也不能拼回原状了。
TIH00000854	你将会使用吸管来进食并会在自由城乞讨，为了金钱而吸允鸡巴。那会是你的结局，吃狗屎去吧。
TIH00000855	不，你不明白你将要面临什么。当我毁掉辛迪加之后没人会记住它。
TIH00000856	既然你他妈的听不进去... 好吧，我操！
TIH00000857	我曾在里诺当过职业拳击手...重量级的，货真价实的选手。我进入这一行是因为我弄死了某个人。
TIH00000858	工作总会有，因为我正好知道攻击一个男人的哪个部位会使他像一个该死的小女孩那样哭泣并跪地求饶...
TIH00000859	而那会是我将会对你做的...就在你认为事情不能变的更糟的时候，而真正的痛苦才刚刚开始。
TIH00000860	不，我不会杀了你，但是我会将你卸成他妈的一小块一小块的，再也不能拼回原状了。
TIH00000861	你将会使用吸管来进食并会在自由城乞讨，为了金钱而吸允鸡巴。那会是你的结局，吃狗屎去吧。
TIH00000862	<保持沉默>
TIH00000863	你这他妈的哑巴白痴，你...
TIH00000864	去你的，死肥子。
TIH00000865	哦，不是原创，但很简洁。
TIH00000866	你袭击我就像袭击昆斯拜瑞侯爵一样，而我将会把铁拳塞进你的喉咙。
TIH00000867	第一次面对一个真正的拳击手是一件很不错的事情。虽然不会改变任何操蛋的事情。
TIH00000868	我将会切下你的肥嫩屁股做出熏肉然后招待超美多的食客。
TIH00000869	哦，上帝啊！
TIH00000870	光说没用，托尼。如果你是认真的那就行动吧。
TIH00000871	...
TIH00000872	我不想和你战斗。
TIH00000873	那么这一点都不会花很多时间。为什么你不仅仅是站在那儿，实际上却还是像我这样。
TIH00000874	说实话，你知道他妈的怎样闭嘴吗？
TIH00000875	...
TIH00000876	<保持沉默>
TIH00000877	你的表情说明了你事实上很固执，不是吗？你知道这没什么特别的。一个低劣的懦夫只会默默的怒视。
TIH00000878	我的钱在哪？
TIH00000879	不错，钱！它甚至离你不足十英尺。足够你安置资金的生活了，或许。
TIH00000880	没耍花招，透过门闩看吧，有一整箱的金条。英克雷有令人印象深刻的印刷能力，我必须承认。
TIH00000881	我认为你知道为什么来这。
TIH00000882	什么？那个在避难所的小插曲？相当不错的演出。尽管你没让我失望。
TIH00000883	你看起来像一个将死之人那样很放松。
TIH00000884	你只对了一半，邮差。我在放松...而不是害怕死亡。
TIH00000885	冷静使我变的强大。我永远喜欢这句话。
TIH00000886	我厌倦了听你说话。我们已经结束这一切了吗？
TIH00000887	耐心点。我知道你不是那样无礼，否则你就会扔着手雷进来。你很明智。
TIH00000888	我新到莫哈维，所以我得优先考虑使自己熟悉它的历史，政治...和参与者。不知怎么的你的名字不断出现。
TIH00000889	实际上我一直想要见你。这是我没有在避难所放毒气有另一个原因。这似乎不太得体。
TIH00000890	我知道威胁将会使你成为一个挑战。显然你极有可能来到这里。
TIH00000891	我很期待这场比试...一个相称的对手，一个让我的名字盖过你的机会...还有尊严。
TIH00000892	谁会错过“那家伙杀死了六号信使”这个光环呢，这简直就像那些战前的西部电影。
TIH00000893	让我猜猜 - 这是你试图说服我离开的计划的一部分，对不对？
TIH00000894	哦，不是。我们好过那个，邮差。
TIH00000895	我新到莫哈维，所以我得优先考虑使自己熟悉它的历史，政治...和参与者。不知怎么的你的名字不断出现。
TIH00000896	实际上我一直想要见你。这是我没有在避难所放毒气有另一个原因。这似乎不太得体。
TIH00000897	我知道威胁将会使你成为一个挑战。显然你极有可能来到这里。
TIH00000898	我很期待这场比试...一个相称的对手，一个让我的名字盖过你的机会...还有尊严。
TIH00000899	谁会错过“那家伙杀死了六号信使”这个光环呢，这简直就像那些战前的西部电影。
TIH00000900	<保持沉默>
TIH00000901	你确实很沮丧。我在这里，为传奇的六号信使准备了一个漫长的对话。
TIH00000902	我甚至让那些孩子们清洗了这个地方，考虑到你可能的演出。而你来到这里，但你甚至不能鼓起勇气勇敢的响应。
TIH00000903	有趣的是谣言始于事实。我听说你是一个健谈的人 - 一个方便的谎言。你只是不得不知足于听我说。
TIH00000904	我新到莫哈维，所以我得优先考虑使自己熟悉它的历史，政治...和参与者。不知怎么的你的名字不断出现。
TIH00000905	实际上我一直想要见你。这是我没有在避难所放毒气有另一个原因。这似乎不太得体。
TIH00000906	我知道威胁将会使你成为一个挑战。显然你极有可能来到这里。
TIH00000907	我很期待这场比试...一个相称的对手，一个让我的名字盖过你的机会...还有尊严。
TIH00000908	谁会错过“那家伙杀死了六号信使”这个光环呢，这简直就像那些战前的西部电影。
TIH00000909	为什么我们还在说话？
TIH00000910	我新到莫哈维，所以我得优先考虑使自己熟悉它的历史，政治...和参与者。不知怎么的你的名字不断出现。
TIH00000911	实际上我一直想要见你。这是我没有在避难所放毒气有另一个原因。这似乎不太得体。
TIH00000912	我知道威胁将会使你成为一个挑战。显然你极有可能来到这里。
TIH00000913	我很期待这场比试...一个相称的对手，一个让我的名字盖过你的机会...还有尊严。
TIH00000914	谁会错过“那家伙杀死了六号信使”这个光环呢，这简直就像那些战前的西部电影。
TIH00000915	<保持沉默>
TIH00000916	所以，神秘的信使是个低能儿。我要开始降低我的期望了。
TIH00000917	你看，我的老板因我对组织的贡献而奖赏我...我做的很好。有趣的是人们在面对财富的时候会做什么。
TIH00000918	有些人投资...其他人挥霍在痛饮，性交，稍纵即逝的快乐上。而我...我买了植入体。这不太舒服，但是一旦它们安置好了后，那感觉很好。
TIH00000919	我的一个植入体用来调节心血管的性能，而它现在开足了马力，为了一个特殊的目的。
TIH00000920	当我使它处于激活的时候，它将像一种失败即死亡的开关那样运作，连接着炸药之类的东西。
TIH00000921	顺带说一嘴，我把高爆炸药放在了战利品的周围。如果我死了，我的植入体会触发足够量的C4来埋葬在那里的每一个金条。
TIH00000922	现在也许你不在意那些黄金，那就没事。但是如果你做了，然后靠近一点听听吧。
TIH00000923	如果你同意以我的方式 - 拿一把武士刀进行战斗，那我将会关闭我的植入体信号。如果你赢了，那么你就会获得那些黄金。否则...一无所有。
TIH00000924	很好，见到一个爱好者通常很值得高兴。我们可以用这个吗？
TIH00000925	你...和你的组织... 对我来说*什么都不是。
TIH00000926	由于砍的很深，邮差。你使我受伤了。
TIH00000927	你看，我的老板因我对组织的贡献而奖赏我...我做的很好。有趣的是人们在面对财富的时候会做什么。
TIH00000928	有些人投资...其他人挥霍在痛饮，性交，稍纵即逝的快乐上。而我...我买了植入体。这不太舒服，但是一旦它们安置好了后，那感觉很好。
TIH00000929	我的一个植入体用来调节心血管的性能，而它现在开足了马力，为了一个特殊的目的。
TIH00000930	当我使它处于激活的时候，它将像一种失败即死亡的开关那样运作，连接着炸药之类的东西。
TIH00000931	顺带说一嘴，我把高爆炸药放在了战利品的周围。如果我死了，我的植入体会触发足够量的C4来埋葬在那里的每一个金条。
TIH00000932	现在也许你不在意那些黄金，那就没事。但是如果你做了，然后靠近一点听听吧。
TIH00000933	如果你同意以我的方式 - 拿一把武士刀进行战斗，那我将会关闭我的植入体信号。如果你赢了，那么你就会获得那些黄金。否则...一无所有。
TIH00000934	去你的。
TIH00000935	这次会面太令人...失望了。我曾对你有很高的期望。
TIH00000936	你看，我的老板因我对组织的贡献而奖赏我...我做的很好。有趣的是人们在面对财富的时候会做什么。
TIH00000937	有些人投资...其他人挥霍在痛饮，性交，稍纵即逝的快乐上。而我...我买了植入体。这不太舒服，但是一旦它们安置好了后，那感觉很好。
TIH00000938	我的一个植入体用来调节心血管的性能，而它现在开足了马力，为了一个特殊的目的。
TIH00000939	当我使它处于激活的时候，它将像一种失败即死亡的开关那样运作，连接着炸药之类的东西。
TIH00000940	顺带说一嘴，我把高爆炸药放在了战利品的周围。如果我死了，我的植入体会触发足够量的C4来埋葬在那里的每一个金条。
TIH00000941	现在也许你不在意那些黄金，那就没事。但是如果你做了，然后靠近一点听听吧。
TIH00000942	如果你同意以我的方式 - 拿一把武士刀进行战斗，那我将会关闭我的植入体信号。如果你赢了，那么你就会获得那些黄金。否则...一无所有。
TIH00000943	我杀过比你更坏的人，吉玛。你认为你比审判者更强吗？
TIH00000944	哈！我听过那个故事。审判者...所以你杀死了那个卓越的变态，做的不错嘛。
TIH00000945	高贵的审判者里克特，整天与奴隶男孩们作乐，玩“猜猜敏感大叔的大礼帽下有什么”的游戏。简直难以置信。
TIH00000946	另外，那个老同性恋过了他的壮年期，还有谁？军团？当地的硬汉？我猜你忙的一身汗。
TIH00000947	你看，我的老板因我对组织的贡献而奖赏我...我做的很好。有趣的是人们在面对财富的时候会做什么。
TIH00000948	有些人投资...其他人挥霍在痛饮，性交，稍纵即逝的快乐上。而我...我买了植入体。这不太舒服，但是一旦它们安置好了后，那感觉很好。
TIH00000949	我的一个植入体用来调节心血管的性能，而它现在开足了马力，为了一个特殊的目的。
TIH00000950	当我使它处于激活的时候，它将像一种失败即死亡的开关那样运作，连接着炸药之类的东西。
TIH00000951	顺带说一嘴，我把高爆炸药放在了战利品的周围。如果我死了，我的植入体会触发足够量的C4来埋葬在那里的每一个金条。
TIH00000952	现在也许你不在意那些黄金，那就没事。但是如果你做了，然后靠近一点听听吧。
TIH00000953	如果你同意以我的方式 - 拿一把武士刀进行战斗，那我将会关闭我的植入体信号。如果你赢了，那么你就会获得那些黄金。否则...一无所有。
TIH00000954	你肯定弄了很多麻烦令我生气。
TIH00000955	也许，但我认为这是值得的。
TIH00000956	你看，我的老板因我对组织的贡献而奖赏我...我做的很好。有趣的是人们在面对财富的时候会做什么。
TIH00000957	有些人投资...其他人挥霍在痛饮，性交，稍纵即逝的快乐上。而我...我买了植入体。这不太舒服，但是一旦它们安置好了后，那感觉很好。
TIH00000958	我的一个植入体用来调节心血管的性能，而它现在开足了马力，为了一个特殊的目的。
TIH00000959	当我使它处于激活的时候，它将像一种失败即死亡的开关那样运作，连接着炸药之类的东西。
TIH00000960	顺带说一嘴，我把高爆炸药放在了战利品的周围。如果我死了，我的植入体会触发足够量的C4来埋葬在那里的每一个金条。
TIH00000961	现在也许你不在意那些黄金，那就没事。但是如果你做了，然后靠近一点听听吧。
TIH00000962	如果你同意以我的方式 - 拿一把武士刀进行战斗，那我将会关闭我的植入体信号。如果你赢了，那么你就会获得那些黄金。否则...一无所有。
TIH00000963	如果你想杀我，为什么你不付诸行动呢？
TIH00000964	你太小看我了。起码有一点，我会给出一个适当的引言...在我做那些之前用你的眼睛看着吧。
TIH00000965	你看，我的老板因我对组织的贡献而奖赏我...我做的很好。有趣的是人们在面对财富的时候会做什么。
TIH00000966	有些人投资...其他人挥霍在痛饮，性交，稍纵即逝的快乐上。而我...我买了植入体。这不太舒服，但是一旦它们安置好了后，那感觉很好。
TIH00000967	我的一个植入体用来调节心血管的性能，而它现在开足了马力，为了一个特殊的目的。
TIH00000968	当我使它处于激活的时候，它将像一种失败即死亡的开关那样运作，连接着炸药之类的东西。
TIH00000969	顺带说一嘴，我把高爆炸药放在了战利品的周围。如果我死了，我的植入体会触发足够量的C4来埋葬在那里的每一个金条。
TIH00000970	现在也许你不在意那些黄金，那就没事。但是如果你做了，然后靠近一点听听吧。
TIH00000971	如果你同意以我的方式 - 拿一把武士刀进行战斗，那我将会关闭我的植入体信号。如果你赢了，那么你就会获得那些黄金。否则...一无所有。
TIH00000972	为什么你坚持说“我的老板”？说出他的名字吧。
TIH00000973	我称他为“我的老板”是因为他的名字被禁止说出 - 冒犯的处罚是死亡。
TIH00000974	我个人十分了解他。他用那精美的武士刀训练我。我是他最好的学生。
TIH00000975	<保持沉默>
TIH00000976	混蛋！
TIH00000977	这不是封建时期的日本，而你也不是宫本武藏。我他妈的要砍下你的脑袋。
TIH00000978	你已经超过了我的预期。我会把你的武器藏在旁边的锁柜里。我将随身携带锁柜的钥匙，你几乎不可能打败我。
TIH00000979	你会使用这把武士刀的。让我们去更大一点的地方玩一玩...
TIH00000980	好吧，我会按照你的方式打败你...
TIH00000981	很好。我会把你的武器放在附近的锁柜里。我将随身携带锁柜钥匙，你几乎不可能打败我。
TIH00000982	你会使用这把武士刀的。让我们去更大一点的地方玩一玩...
TIH00000983	我不在乎那些钱。我只是想看你流血而死。<攻击>
TIH00000984	那么尽一切办法，让鲜血开始流淌吧！
TIH00000985	你和你的雇主可以相互干自己了。
TIH00000986	错误答案。
TIH00000987	
TIH00000988	你知道那样的话什么事情将会发生在我身上吗？我的老板会杀死我全家...如果我有的话。这些是我拥有的一切。我没有其他的了。
TIH00000989	也许我需要重新开始，放弃这种生活。我不能回到里诺。或许我会去南方。
TIH00000990	给，拿着这个。无论我去哪里我都不再需要它了。*撒有那拉*（再见），邮差。
TIH00000991	莫哈维是你生命的尽头。你只能选择离开 - 远离这种生活。
TIH00000992	也许我们会...但是行动...现在体会比语言更强烈的感受吧。
TIH00000993	让我们谈谈这个。也许我们能达成共识。
TIH00000994	
TIH00000995	你知道我杀死了多少自命不凡的混蛋吗？而你和他们有什么不同？
TIH00000996	我不害怕死亡，邮差。我尊重上帝，但我不指望他的帮助。
TIH00000997	我明白我的结局，而我会很平静的接受它。真正的问题是你是否意识到你的方向所在。
TIH00000998	你杀死了多少混蛋并不重要，你以为你有多强壮。总有一天你会犯错误，也行是粗心大意，也行仅仅只是老了。
TIH00000999	我喜欢读老书，战前的东西。听过比尔希科克吗？他每天都要杀死各种类型的人。
TIH00001000	你知道他是怎么死的吗？不是在街头的大绝杀，不是跟一个值得尊敬的对手进行一次史诗般的对决。
TIH00001001	是某个渣滓，一个生活在底层的混蛋，仅仅只是走进一个酒吧然后突然暴起偷袭了希科克的后脑勺。报了杀弟之仇。
TIH00001002	如果你够幸运，邮差...你会死在这里，被一个合适的敌人用你手上的刀杀死。
TIH00001003	你会变老，死在你的床上。但是更可能是某些废物等你喝醉之后，嗑药嗨了之后，或者仅仅只是走神。然后他们将会袭击你。
TIH00001004	一个战士的死亡是你所能期待的最好的结局，而我会提供给你。
TIH00001005	
TIH00001006	保护好你自己吧。
TIH00001007	<保持沉默>
TIH00001008	我会认为这是沉思的声音，并且那表示你默认了。不过，我不关心你同意与否。
TIH00001009	我不想参与你那扭曲的争论。
TIH00001010	我猜布拉德利会有不同的感受。没有什么像求生本能那样改变一个人的性格。
TIH00001011	再见，邮差。我相信我们再也不会谈论这个了。
TIH00001012	我他妈的将会吃掉你的心脏，你这哭哭啼啼的婊子。
TIH00001013	简单，邮差。我带来了一个新鲜可口的恶魔帮成员来这里。我们不会想因起他的不快，对吧？
TIH00001014	为什么你不节省下精力然后担心下布拉德利先生呢？
TIH00001015	我也很抱歉，布拉德利。
TIH00001016	我会在另一边看到你的，邮差。
TIH00001017	放手一搏吧。我厌恶你像个小贱人一样抱怨。
TIH00001018	你让事情变得简单多了。
TIH00001019	他妈的好吧。我会离开我的队伍。只不过答应我，你会找这些混蛋算账的。
TIH00001020	我在一个特别的时刻拯救了这个表演者。看起来是个不错的时刻。再见了，邮差。
TIH00001021	别这样，布拉德利。他想要我们像困兽那样战斗。我们的情况会有好转的。
TIH00001022	不，我不想像他妈的虫子那样被毒死。我更倾向于靠我手上的武器出去。对不起了，邮差。
TIH00001023	放下武器，布拉德利。我们会找到一条出路的。
TIH00001024	
TIH00001025	听我说，对讲机那边的狗屎想我们战斗，就像角斗士，狗那样...我不会让他如愿的。
TIH00001026	但是....在我们做完所有的事情之后，我们得面对它，你可以这么做...不，你不得不这么做。
TIH00001027	只不过答应我...发誓....你会跟这些混蛋做个了解。你会那样做的，对吗？
TIH00001028	在我改变心意之前你这样做吧。我会在另一边看着你，我的朋友。
TIH00001029	[声望]我不想这样，布拉德利。
TIH00001030	我会在另一边看到你的，邮差。
TIH00001031	让我们把这事了结。
TIH00001032	<保持沉默>
TIH00001033	你是个冷酷的混蛋，不是吗？再见，邮差。
TIH00001034	我来这里是因为你对布拉德利对的那些事。
TIH00001035	我做了什么？公平的说，是你做了...那些事情。
TIH00001036	也许...我们可以掷硬币决定？
TIH00001037	真是相当的别扭，但是现在这很有意义。
TIH00001038	我总是在我的口袋里带着一个军团银币，认为它会带来好运。我绝没有想到它会用来做这种事情。
TIH00001039	要什么。正面还是背面？
TIH00001040	正面。
TIH00001041	让我们看看...
TIH00001042	凯撒丑陋的脸...我早该该知道它会欺负我。
TIH00001043	但是如果你不能忍受一枚硬币，那我想没什么是神圣的了。至少那可笑的混蛋不会在围观我们战斗而获得快感了。
TIH00001044	不论你做什么，只不过答应我你将会解决掉他们。这不是我们应受的。
TIH00001045	我在一个特别的时刻拯救了这个表演者。看起来是个不错的时刻。再见了，邮差。
TIH00001046	背面。
TIH00001047	让我们看看...
TIH00001048	是三个小丑。我早该知道他们会很操蛋。
TIH00001049	但是如果你不能忍受一枚硬币，那我想没什么是神圣的了。至少那可笑的混蛋不会在围观我们战斗而获得快感了。
TIH00001050	不论你做什么，只不过答应我你将会解决掉他们。这不是我们应受的。
TIH00001051	我在一个特别的时刻拯救了这个表演者。看起来是个不错的时刻。再见了，邮差。
TIH00001052	谢谢你。
TIH00001053	欢迎你。祝你度过愉快的一天。
TIH00001054	<保持沉默>
TIH00001055	好吧...过得愉快吗？
TIH00001056	滚蛋吧。
TIH00001057	我所获得的酬劳不足以支付这个狗屎。
TIH00001058	
TIH00001059	什么信息？
TIH00001060	我的老板说那些最初的骚扰者仅仅只是开始，目的是为了测试你。我在这里...是为了解决你。解决这一切。
TIH00001061	我会带着你的脑袋去见他，并且将摆放在墙上...一个作为徒劳抵抗的战利品。这就是我的信息。
TIH00001062	我将会撕开你的内脏然后放在公文包里。然后我会邮递给你的老板。
TIH00001063	基督为你你哀悼！
TIH00001064	<保持沉默>
TIH00001065	我的老板说那些最初...的骚扰者...仅仅只是开始，目的是为了测试你。我在这里...是为了解决你。解决这一切。
TIH00001066	我会带着你的脑袋去见他，并且将摆放在墙上...一个作为徒劳抵抗的战利品。这就是我的信息。
TIH00001067	[嘲弄] Chinga te, pendejo.
TIH00001068	...
TIH00001069	我对此感到厌烦。我需要杀死你们多少人来结束这一切？
TIH00001070	这只需要花一点时间，邮差。
TIH00001071	我的老板说那些最初的骚扰者仅仅只是开始，目的是为了测试你。我在这里...是为了解决你。解决这一切。
TIH00001072	我会带着你的脑袋去见他，并且将摆放在墙上...一个作为徒劳抵抗的战利品。这就是我的信息。
TIH00001073	<保持沉默>
TIH00001074	好的。
TIH00001075	准备好去死了吗？
TIH00001076	我只带来一个消息，混蛋。<攻击>
TIH00001077	...
TIH00001078	我们可以开始了吗？<攻击>
TIH00001079	乐意如此。
TIH00001080	谢谢你。
TIH00001081	不客气。祝你度过愉快的一天。
TIH00001082	<保持沉默>
