GID00086201	RobcOS v.85
GID00086500	下面是关键部分。一旦我们扫清了道路，我们就会邀请所有从维加斯来的笨蛋，但我们会在他们进去之前收通行费。他们必须付出代价!我们只是靠土地生活，看着瓶盖的作用!我们不能失去。
GID00086501	我们都在95号公路的老加油站集合，就在北边。这是地点和钥匙。
GID00086502	追踪日志2/43：丹尼尔 - 第1天
GID00086503	这次我不参加，有太多的未知数，让我们面对现实吧，我们的成员并不是一队游骑兵。JD做事很严格，有时也很无情，但我不确定他能不能成功。
GID00086504	我是说，他有什么?当然，平克加入了，但是他也不再年轻了，我想斯宾塞也已经在这一带生活了一段时间了，而且还不错。
GID00086505	琳达是个不错的医生，只要你能让她长时间远离自己的毒品，然后还有芬格和苏西，两个大眼睛的前掠夺者，也很喜欢他们的化学药物。
GID00086506	马克斯不是很聪明，但他觉悟够了，可以让JD去思考，也足够大，所以人们不会去管他，斯柏德也可以很有用。他可以用自己的方式说服任何事情，尽管这有其自身的问题，因为这往往是其他男人的女人。
GID00086507	伯尼和杰克在战斗中很厉害，但你永远不该把愤怒和勇气混为一谈，我也不会相信他们。
GID00086508	贝瑟妮很聪明，擅长科技。但她有问题，那女孩似乎讨厌所有人。然后在天平的另一端是杰森，他的脸皮厚得像一坨鼹鼠屎，对别人的财产有点随意。
GID00086509	最后是科普兄弟，我想他们很可靠，只是有点紧张。当然还有惠灵顿，我们的婆罗门，可能是最可靠的。
GID00086510	技巧是有的，问题是让他们朝着同一个方向前进，我怀疑即使是像JD这样的硬汉也不能让他们在长期的探险中工作。
GID00086511	追踪日志3/43：约瑟夫 - 第1天
GID00086512	我讨厌人们说我们不能失败，这是与命运赌博。
GID00086513	这张地图看起来很真实。斯柏德用一瓶劣酒从西区的一个流浪汉那里买的，至少他是这么说的。这个人说他很熟悉这条路，甚至还为流浪汉同伴做了一些标记。
GID00086514	通常我只会笑，每个废土人都有一张藏宝图，但平克说他认识这人，他说他叫以斯拉，在他那个年代是个淘金者，而且是个好淘金者。显然，他有过一些大的成绩，但后来尝到了拉斯维加斯的滋味，因而走上了流浪汉的新职业道路。
GID00086515	但事情没那么简单。生活并不是这样的。
GID00086516	追踪日志4/43：伯尼 - 第2天
GID00086517	除了丹尼尔，我们都同意，他说这是愚人金。我想他只是年纪大了变得软弱了，不管怎样，这个老头只会拖我们的后腿。
GID00086518	你也要盯紧斯柏德，他最近行为有点奇怪，我想他肯定有什么企图。我不担心，因为他还是个孩子，如果他耍了花招，这将是他的最后一次，我们只需要盯紧他，仅此而已。
GID00086519	追踪日志5/43：JD - 第2天
GID00086520	杰克真是个混蛋。他真的认为我们可以按照地图把这一切都拿走吗?然后设置通行费?我们遇到的每个混蛋都已经在这么做了。我们要一路战斗到锡安。
GID00086521	但我听说过这个地方的好，如果没有被破坏，如果这条路线可行，这就是情报了。对于像NCR和深红商队这样的人来说，这是值得付钱的。如果真到了那个地步，我还可以拿军团的金币。
GID00086522	第一站是地图上一个叫海福德的地方，我听说那里有补给的地方。
GID00086523	追踪日志6/43：斯宾塞 - 第2天
GID00086524	斯柏德今天突然给了我一个消息。那个流浪汉告诉他峡谷里有个避难所，说它还锁得好好的。来找我是因为我是避难所专家而伯尼和杰克是两个混蛋。
GID00086525	我想这是有道理的，战争期间，所有人都转入地下，到处都是地窖、避难所和洞穴。
GID00086526	也许我不该对避难所吹毛求疵。我去过34号避难所，但没进去，辐射太猛了。我确实进入了22号避难所，但只是往里面看了看而已，我原以为那个标志是想让人们离开，但那个地方太诡异了。
GID00086527	我进过19号避难所，想和几个炸药帮做笔交易，但如果我还要留下来四处看看，那我就死定了。具有讽刺意味的是，我花了一半的瓶盖在另一个我去过的避难所，21号避难所。我不确定这算不算。
GID00086528	流浪汉可能只是在和孩子玩，但斯柏德确实很会和人打交道，他是个能说会道的混蛋，我知道他能在十分钟内把女人的裤子穿进去。
GID00086529	但是一个真正的未打开的避难所?它们是用来防止核武器的，我们要怎么进去?但如果我们可以呢?里面是谁或什么?
GID00086530	追踪日志7/43：杰森 - 第3天
GID00086531	他们在嘲笑我为流浪汉的私藏付钱，他们以为我被抢了，但流浪汉发誓说那是他留下的应急储备，他一直没能拿回来。我有预感，维加斯之后我的运气会变好，我该走了。它被埋在一个叫亚伯拉罕·杰斐逊三世伯爵的坟墓里。我以为我们在清泉镇杀了他?那一定是个征兆。这是个大问题，我只知道。那他们就笑不出来了。
GID00086532	追踪日志8/43：JD - 第3天
GID00086533	今天糟透了，这并没有花多长时间。
GID00086534	伯尼和杰克说斯柏德从瀑布上掉下来摔死了，估计他是想爬下去喝水。有些人并不买账，说实话，我也不相信。自从斯柏德干了伯尼在普瑞姆看上的那个马子之后他们之间就一直不和。
GID00086535	我们查过了，但斯柏德不见了，没有他的踪迹。我现在真的不需要这些东西，这将是一个漫长的旅程，我真的需要所有人在一条船上。
GID00086536	斯宾塞非常生气，我不知道他和斯柏德关系这么好。我让他冷静下来，但事情还没有结束。我们今晚就在这里扎营，我们可以捕猎一些螳螂，斯宾塞想再找一次斯柏德，我想值得一试。
GID00086537	追踪日志9/43：斯柏德 - 第3天
GID00086538	天啊，我的头好疼。我不知道是什么东西打了我，我想是那两个混蛋中的一个，杰克或者伯尼，可能是伯尼。但我没想到他们真的会杀我。
GID00086539	我正看着那瀑布，然后我就知道自己在水里，努力不被淹死。我设法爬到一块岩石上，我想他们还在那里，但我不想露面，否则他们会用子弹打死我。他们很快就走了，因为他们可能以为我淹死了。伯尼认为我不会游泳，因为他去米德湖游泳，我却不去。我没告诉他是因为湖沼蟹的缘故。
GID00086540	无法回到悬崖上找其他人，所以我顺着水汽漂流直到我找到一个可以把自己拉出来的地方。前面有座桥，我会去那儿，然后想好明天要做什么，但我需要先休息一下，整理一下我的装备。我的步枪丢了，但我想我能找回我的隐身小子。
GID00086541	追踪日志10/43：苏西 - 第4天
GID00086542	该死的斯柏德事件今早又爆发了，这是一定会发生的。
GID00086543	在大喊大叫和胡言乱语的威胁之后，杰克和伯尼大骂JD然后离开了，说他们知道一条比我们走的更短的路线，会在那里看到我们，然后得到这些。只要我们有瓶盖给他们付过路费!这两个混蛋!
GID00086544	我一度以为JD要把他们俩撕碎了，然后平克对他说了些什么，他就放他们走了。平克知道了我们不知道的什么事?啊，操，我不在乎，我严重怀疑我们会给杰克和伯尼支付那该死的通行费。
GID00086545	追踪日志11/43：内森 - 第4天
GID00086546	斯宾塞终于坦白了斯柏德和他的目的。
GID00086547	他们认为自己知道一个未开封的避难所的下落并考虑自己接手，但斯宾塞已经清醒过来了。就像JD似乎已经知道了，或者至少知道斯宾塞知道了一样。傻瓜们应该知道这些信息最好留给自己，而且，在这里没有什么是保密的。
GID00086548	锡安似乎暂时被推迟了。
GID00086549	追踪日志12/43：伯尼 - 第4天
GID00086550	去他妈的那些失败者，反正我们会比他们先到锡安。杰克认为这条路绕过了一大堆垃圾。我可以相信杰克，而不是那些混蛋。
GID00086551	我不知道他们为什么都在抱怨斯柏德。太有趣了，杰克至今还在笑，他激我打他，我就做了，步枪狠狠地撞在他身上，他没发出一点声音，然后就把他那可怜的屁股扔下了悬崖。我的目标是岩石，但我想他已经掉进水里了。无所谓了，反正这家伙也不会游泳。
GID00086552	至于其他的人，让他们都去死吧。JD是个卑鄙无耻的人，但如果我愿意，我可以把他打倒，他吓不倒我。至于那个自作聪明的平克，他让我想吐。以为他自己么都知道，好吧，但你不知道这条路线吧，傻逼。
GID00086553	追踪日志13/43：马克斯 - 第5天
GID00086554	我很惊讶我们没开一枪就通过了那些掠夺者。幸运的是，芬格尔和苏西认识他们中的一个，给我们安排了通行，JD聪明的决定在黎明通过，而不是原定的时间。当那些嗑药的白痴们清醒过来的时候，我们已经过去了，JD感谢那个管事的婊子让我们通过时，她脸上的表情是无价的。她对我们无能为力，她知道这一点，特别是当JD正在酝酿“外交”的时候。他还是付了一些瓶盖，“让事情顺利进行，帮她挽回点面子，万一我们从这里回来的话。”他说。
GID00086555	我不是说他们会在我们经过的时候偷袭我们，但从周围的垃圾来看我们不是第一个过去的。JD不确定芬格尔或苏西是否参与其中，但他肯定“和他们保持着密切的关系”。
GID00086556	追踪日志14/43：平克 - 第5天
GID00086557	当我在西区看到以斯拉时，我还以为他疯了。但他设法卖给我们一张肮脏的旧地图，斯柏德的避难所，杰森的宝藏。你得相信那个老混蛋，他清醒的时候还是有点本事的。
GID00086558	我想知道这些东西中哪些是真的?我问了他这个问题，因为我以前帮过他。
GID00086559	我买下了地图，但他让我忘了避难所吧。为什么把它卖给斯柏德，然后告诉我这个？最好的谎言总是有一层真实的外衣，但他似乎很奇怪地不愿意谈及细节。
GID00086560	我很怀疑我们是不是第一个买的。
GID00086561	追踪日志14/43：斯柏德 - 第5天
GID00086562	那是个多么美好的夜晚啊。我上了桥，往东走，最后来到了一个奇怪的工厂，里面全是超级变种人!如果我没有找回那些隐身小子，我就完蛋了。我没有停下来，我坚持走了一整夜，因为我需要赶上其他人，但是天哪，这是多么艰难的一段旅程啊。
GID00086563	我设法在早上出来，一刻也不耽误。我听到从采石场传来的尖叫声，听起来像是他们抓住了什么人。我不想呆在那里，所以我继续穿过下一个隧道，最结果在另一边盯着一个他妈的机器人，幸好我还带着我的那份地图，上面写着覆盖代码。天啊，我真需要这个。
GID00086564	我看了一眼路，路被堵住了，所以我猜是另一条隧道，但我太紧张了，没法继续走了。我发现了这个营地，然后撞开了，我的新机器人朋友可以给我放哨。
GID00086565	追踪日志16/43：杰克 - 第6天
GID00086566	我得离开这里，别管伯尼了，他完蛋了。
GID00086567	其中一个绿色怪物叫他闭嘴，于是他伸出中指，大喊“有种吃我啊”，对一个超级变种人说这种话真是太蠢了。他很幸运，那东西不饿，只是拿他的胳膊当零食吃。
GID00086568	我真希望他闭上嘴，别再抱怨了，他还有一只手。反正我觉得他也撑不了多久了，变种人用了电锯，弄得一团糟。我不认为那很锋利。
GID00086569	我需要让自己脱身，而他只会拖我的后腿。不管怎么说，我们现在的烂摊子都是他的错，是他把斯柏德打下了悬崖。
GID00086570	得回去找其他人，告诉他们伯尼的事，他们会让我回去的。如果我能离开这里，我就能知道他们在哪里。等等，这是个好主意，也许我可以用他们来交换，告诉变种人他们在哪里，以此换取他们放我走。这是一个计划。
GID00086571	我想有一个回来了，好吧，让我们把这个计划付诸实施。
GID00086572	追踪日志18/43：琳达 - 第6天
GID00086573	我觉得我真的要疯了，我已经用完最后一支杰特了，我必须再来一针。
GID00086574	我昨晚放哨了，我一直讨厌这样。让我坐在酒吧的凳子上，回头望着我们来的路，而科普家的一个人，我想是约瑟夫，守着另一条路。这两个人让我担心，我不是心理医生，但它们把自己包裹得太紧了。
GID00086575	当时是凌晨，我靠唱歌来保持清醒。如果在站岗的时候睡着了，JD会抓狂的，而且他有很讨厌的一面。反正我在黑暗中总能听到声音，但我发誓我听到斯柏德在叫我。我不确定我是睡着了，还是在做梦，还是因为嗑药，还是缺觉，但我只是跑回餐厅，从那里继续监视。
GID00086576	只有贝丝看见了我。她恶狠狠地看了我一眼，但她不会提这个。她理解，她知道我正在经历什么。
GID00086577	我不该来的，我应该和丹尼尔待在一起的，我真的觉得神经紧张。我会和JD谈谈，我们有能让我恢复正常的东西。
GID00086578	追踪日志19/43：斯柏德 - 第6天
GID00086579	我完了。
GID00086580	等我知道这里全是食尸鬼时已经太晚了。我想偷偷溜进去，但我最后一个隐身小子在我需要的时候放弃了我。我设法在这里躲开了他们，但他们能感觉到我还在附近，我能听到他们在找我。
GID00086581	我试着够到那个烤架出去，但我就是够不到。上面有东西，我移动不了，我完蛋了。讽刺的是，我搞砸了那么多人，现在轮到我了！见鬼，该死，该死。
GID00086582	他们在下面的走廊里吗?
GID00086583	我被他们中的一个打了一拳，还受到了辐射，而且我没有化学药品，所以我开始迅速衰弱。我的思绪开始飘忽不定，刚才我好像听到琳达在唱歌。我甚至喊了出来。唯一吸引到的是食尸鬼。
GID00086584	我能听到他们在下面，他妈的。我还有5发子弹，我可以带走四个，他妈的。
GID00086585	永远无法接近贝瑟妮，她有什么问题?
GID00086586	我想他们在楼梯上了。
GID00086587	我他妈怎么会在这里?这不公平，我从没想过要伤害别人，我只是玩玩而已。当我说要把她救出来的时候那个妓女相信了，不是我的错，我只是没钱付给她。他不是我的错，他们抓到她时，她的行李已经打包好了...
GID00086588	他们在上面，我能看到一个。
GID00086589	追踪日志20/43：JD - 第7天
GID00086590	今天失去了苏西，狙击手抓住了她。没有人预见到他的到来，她当然也没有。她可能又嗑药了，就那样在路上走来走去。
GID00086591	约瑟夫干掉了狙击手，因为他没花多少时间就知道了他在哪里，他在这方面很在行。不知道那混蛋是怎么到那里去的，斯宾塞想去搜刮尸体，但我告诉他别管了，我不想浪费时间在山上闲逛，因为那里可能有更多的人，这是他们的地盘。
GID00086592	这打垮了芬格尔，苏西是他来这里的唯一原因。他就转身往回走了，可能是去找桥头的掠夺者了。我想他还在为那件事耿耿于怀，因为我把行动的事瞒着他。
GID00086593	我放他走了，我今天受够瘾君子了。琳达又成了一个问题，不过我还是会带着她，因为她很有用。芬格尔会成为一个负担。
GID00086594	追踪日志21/43：杰森 - 第7天
GID00086595	混蛋，他们觉得这很有趣。10个瓶盖，一些发霉的食物和一个能量电池。我要杀了那个该死的流浪汉。
GID00086596	追踪日志22/43：琳达 - 第7天
GID00086597	我们又失去了一个成员。内森是在我们找避难所的时候和一些毒蛇帮发生冲突时被杀的，两帮人几乎是撞在一起了。
GID00086598	场面相当血腥，而且是一边倒的，我想他们只有一个人逃脱了，但内森就运气不太好，只是一发流弹而已，甚至没人知道是谁开的枪。
GID00086599	噢，该死，我想是我干的。这一切都是如此混乱和迅速，我有一种非常可怕的感觉，这可能是我无意中射出的。我不知道，没有人说什么，但我也无能为力，那是一瞬间的事。伤口看起来像10毫米口径的，我带的就是这个。
GID00086600	约瑟夫把他的尸体带回了教堂，说他需要照顾他，在神圣的土地，我想是某些宗教的东西。没有人试图阻止他。
GID00086601	我真的需要另一针。
GID00086602	追踪日志23/43：约瑟夫 - 第8天
GID00086603	现在只有你和我了，内森。其他人都走了，我一点也不惊讶，他们不理解。我告诉妈妈我会照顾你的，这也是我要做的，我们会没事的，我不会让任何人靠近我们，我们会没事的。
GID00086604	追踪日志24/43：马克斯 - 第8天
GID00086605	我们在周围迅速检查了一下，这里还有很多东西是被锁着的。本来想进去，但JD说先别急。不知道为什么，但你不能和JD争论。
GID00086606	贝丝成功黑进了唯一能用的终端，没得到什么信息，但安保系统好像还在线，对于一个该死的火车场来说，安保系统够多的。看来JD是对的。
GID00086607	我想我们的计划是找到一个主终端或者电源什么的这样我们就能把整个系统关掉。
GID00086608	追踪日志25/43：JD - 第9天
GID00086609	该死的平克，他有时候真让我生气。
GID00086610	我们找到避难所入口了!66号避难所，仍然锁得很紧。现在我们只需要想个办法进去。是的，这将是一个艰难的过程，一个非常艰难的任务，但回报可能是巨大的。然后平克把就自以为是的发表意见了。
GID00086611	他说别管了，避难所里从来没发生过好事。恶业，阴谋论，狗屁。没有给出任何细节，传闻，他听到的东西，他妈的等等...他在墙上写字是什么意思?
GID00086612	他以前也这么干过。
GID00086613	而让我受不了的是，真正让我不爽的是...那个老混蛋永远是对的。
GID00086614	追踪日志26/43：贝丝 - 第9天
GID00086615	好吧，这真是把一切都搞砸了。JD决定放弃，离开避难所去找锡安。他说风险太大了。
GID00086616	斯宾塞失去了理智，说他疯了，这是千载难逢的机会。更重要的是，他没有放弃，他要留在避难所里，不在乎别人怎么做。
GID00086617	除了杰森我们所有人都站在JD一边，我们已经走了这么远，他从来没有让我们失望过，但即使是我也在质疑这个问题。没错，安保系统还在运行，我还没能进入。但我确定有些门禁可以打开，我只需要找到电闸的复位装置。
GID00086618	从我所看到的情况来看，避难所可能还在运作，甚至可能有人在居住。我们就不能试一下吗?JD说不行，我们要出去。反正我也要带走一些电脑文件，也许以后我能弄懂它们。
GID00086619	又有两个人倒下了，剩下的人还不到一半，队伍正在解散。
GID00086620	追踪日志27/43：芬格尔 - 第10天
GID00086621	我回到了属于我的地方。
GID00086622	我很惊讶在这鬼地方看到丽斯，我最后一次见到她是在3号避难所。也许她太频繁地惹怒"轰鸣恶煞"了。总之，她说我很好所以其他人都接受了我，因为他们不跟丽斯乱搞。
GID00086623	反正我也受够了其他混蛋了，JD一直不信任我，去他的吧。
GID00086624	追踪日志28/43：琳达 - 第10天
GID00086625	我们离开的时候和约瑟夫聊了聊，他正呆在教堂里。那两个人总是很奇怪，但失去内森把约瑟夫逼到了崩溃的边缘，他真的失去理智了，他对我们很有攻击性。
GID00086626	话说回来，也许他知道。
GID00086627	追踪日志29/43：杰森 - 第10天
GID00086628	我们似乎在这些隧道里徘徊了很久。我们找到了这个废弃的服务场所，在这里扎营。我们不是第一个，在我们之前就有人来过，很高兴他们给我们留下了这些东西。说到这个，我在维加斯把呼吸器卖了需要再弄一个，我想借斯宾塞的。他现在正在寻找一条穿过隧道的路。他有一个隐身小子，我也要借用，我相信他不会介意的。
GID00086629	追踪日志30/43：斯宾塞 - 第11天
GID00086630	我想杰森一定是死了。在穿过那些该死的隧道的时候一跟栅栏塌了，他就掉下去了。我设法抓住了其中一根管子，但杰森消失了。我朝下面大声喊叫，但什么也听不见。
GID00086631	当我经过第一个服务竖井时，我以为我们完蛋了，我们很幸运，在我们之前的人给我们留下了一个梯子，我设法用它来弥补缺口。杰森问他发生了什么事，我告诉他，他可能已经放弃了，他似乎很高兴。有时候我真羡慕贾森，无知可以是这样一个快乐的地方。我估计不管那是谁现在都在那个竖井的底部而现在杰森在另一个竖井的底部。他们说的是真的。地心引力真的很糟糕。
GID00086632	我休息了一会儿，然后继续工作。我的呼吸器呢?我可能需要这个。
GID00086633	追踪日志31/43：斯宾塞 - 第12天
GID00086634	我从维修舱口出来，进了避难所。它就在那里，还在运作!我告诉他们了!一个功能齐全的避难所!我检查了我来到的第一个房间，一个是锁着的，另一个，我只能假设掠夺者先来了。他妈的，对掠夺者来说，这看起来有点简陋，但还有哪个变态会这么做呢?
GID00086635	我设法找到了去储藏区的路，这可不容易，因为我的备用隐身小子肯定在竖井里丢了，但后来我遇到了那些该死的机器人。我没料到他们会来，因为我没想到掠夺者会使用他们，但他们抓住了我。我设法逃了出来，但时间不多了，虽然不疼，但我的身体却很冷。我想JD对这地方的看法是对的，但肯定值得一试。
GID00086636	这是个功能齐全的避难所，我进去了，没错，就是我，避难所专家。伙计们，你们应该相信我的。如果我们在一起，就会成功的。
GID00086637	追踪日志33/43：琳达 - 第13天
GID00086638	我还是觉得不舒服，我和那个商人谈过了，让他给我买点东西。起初他有点不情愿，但我用一大堆医学术语说服了他。
GID00086639	他可能在想我为什么不去找天启追随者的医生，但露易丝可能会认出我，而我无法接受。
GID00086640	其他人似乎很高兴，但我肯定他们在谈论我和火车场里的枪击事件。决定该怎么做。
GID00086641	追踪日志34/43：贝丝 - 第14天
GID00086642	两天前，我们走进丽塔咖啡馆。这是一个受欢迎的休息场所，一个休息、交易和补给的机会。 
GID00086643	通过与当地人的交谈，我们现在离锡安公园不远了，尽管这不是一个轻松的旅程。我们都讨论过这件事，并决定继续走下去，即使这条“未知”的道路已经被证明是完全不可能的。每个人都赞成，除了琳达，她似乎并不关心任何事情，她最近一直很安静。
GID00086644	我们也问过避难所的事，但似乎没人知道。JD认为他们在撒谎，实际上他们知道很多，但出于某种原因不想承认。不知道斯宾塞和杰森怎么样了?
GID00086645	说到这个，我终于对我在火车站挖出的那些被删除的电脑文件有了一些头绪。这花了我一段时间，因为我认为这些与避难所有关，但其实不是。那么斯通计划是什么呢?
GID00086646	我们本来打算今天早上出发的，但是我们有点晚了，所以我不确定我们今天能走多远。
GID00086647	追踪日志35/43：平克 - 第15天
GID00086648	琳达今天去世了。她昨晚失踪了，我们今早找到了她。
GID00086649	她没有受伤，但她脸朝下躺在自己的呕吐物里，周围都是空的杰特吸入器，所以很有可能与毒品有关。
GID00086650	要么是用药过量，要么是化学药品不合格，我不确定是哪一种。她一定是从丽塔咖啡店买的，因为JD一直在自己保管这些重要的东西。
GID00086651	这对我们打击很大。琳达正常的时候很受欢迎，她是个好医生，我想她只是有太多的噩梦，但我真的没想到她会这么糟。我们不该带她来的。
GID00086652	还剩下四个。
GID00086653	追踪日志36/43：马克斯 - 第15天
GID00086654	这就是锡安？虽然有些猎蜂，但今天进展不错，我们决定在这个旧游骑兵站宿营。以前从来没听说过什么公园管理员，我想知道他们是不是和NCR游骑兵一样卑鄙?我们明天往东走，进入山谷。
GID00086655	追踪日志38/43：马克斯 - 第16天
GID00086656	当我们来到湖边时，我们意识到那里有一些部落民。我以前从没见过这样的东西，他们看起来很原始。
GID00086657	JD试图和他们交谈，似乎他们会让我们过去。
GID00086658	追踪日志39/43：平克 - 第16天
GID00086659	当我们经过那些部落时，一切都变成了地狱，他们想抓住我们。这不是一个完全让人意外，我们没有那么愚蠢，但他们无处不在。我想他们昨天在我们露营之前就盯上了我们。
GID00086660	其中一人幸运地拿到了一枚手榴弹，在我们中间爆炸了，除了我，其他人都受伤了。然后JD让我把其他人都救出来，他挡住那帮混蛋。你知道吗，我认识约翰这么多年来我从来没把他当成英雄过。
GID00086661	我把他们拖走了，直到我意识到我们走到死胡同了，所以我把他们留在那里，然后回去了，我应该和约翰在一起。我来不及帮助他，但他已经尽力了，我设法把其余的都干完了。我可能是个老混蛋，但我是个卑鄙的老混蛋。
GID00086662	当我回到其他人那里时，马克斯已经死了，贝丝几乎失去知觉，我想是脑震荡。我已经埋葬了约翰和麦克斯，我们需要休息，给贝丝一个恢复的机会让药物发挥作用。
GID00086663	=-妈的,他们又来了,我们得赶紧走。天还没黑,也许我们可以溜过去,回到丽塔咖啡店。
GID00086664	追踪日志40/43：平克 - 第17天
GID00086665	他们跟在我们后面，挡住了我们回丽塔咖啡馆的路。贝丝说走这边，但我不确定，所以我应该听她的，我觉得她不是真的这么机敏。
GID00086666	现在我们只是在到处乱跑，我们无法摆脱他们，因为我们被困在这该死的峡谷中。弹药也快用完了，所以我们没有多少机会能逃出去。我们只能继续前进。
GID00086667	追踪日志41/43：平克 - 第18天
GID00086668	我累坏了，弹药也没了。我想这就是结局了，我们做了一次很好的尝试。我觉得贝丝产生幻觉了，她一直说我们成功了，可怜的孩子。
GID00086669	追踪日志42/43：贝丝 - 第20天
GID00086670	平克还在睡觉。那个可怜的老混蛋全力以赴，可能是因为拖着我这个可怜的屁股到处跑。
GID00086671	我的头在砰砰作响，耳朵也在嗡嗡作响，但我们现在安全了。那些跟着我们的部落也试图进入但他们不会再犯这个错误了。我希望那些机器人的程序是用来清理混乱的。
GID00086672	当我看到它的时候，我几乎不敢奢望，但它确实存在，我们找到了斯通计划。我收集旧电脑文件和密码的习惯经常给我带来好处，但从未有过这么大的回报。这一次它真的救了我们的命，我们真的挖到了金矿。
GID00086673	很遗憾我们不能和JD、马克斯和琳达一起分享，但是如果他们还活着，我们可能根本不会来到这里。我想知道其他人怎么样了?
GID00086674	这段旅程的命运变幻莫测。
GID00086675	追踪日志43/43：笔记
GID00086676	致有关人士
GID00086677	对不起，我们抢先了一步。我们已经拿走了这里大部分的东西，只剩下这一根金条，因为我们再也拿不动了。我们考虑过回来取，所以我们重新设置了安全系统，你们应该也注意到了。
GID00086678	但是，如果你能走到这一步，这可能是你应得的，我们不会因为你拿走了剩下的东西而责怪你。
GID00086679	享受吧 - 贝丝和平克
GID00086680	日记01：舍伍德下士
GID00086681	2078年3月。我们在这里，希望在这个我们要清空的补给掩体里找到食物和补给品，也许还有避难所，我已经厌倦了辐射药物，我的呼吸器开始扯破我的皮肤。到处都有辐射云，但至少黑雨还没有来。
GID00086682	不过上尉也没帮上忙，他已经变成了一个真正严格执行纪律的人。他已经以不服从命令为由枪毙了一个人，逃兵也开始变得越来越普遍。
GID00086683	日记02：舍伍德下士
GID00086684	我们遇到麻烦了，因为我们进不去，听起来好像因为某种原因我们没有密码。在绝望中，上尉决定从他来到的第一个入口炸开一条路，结果只成功地把隧道炸塌了，现在我们真的完蛋了。我们找到了一个服务入口，尝试了同样的方法，几乎得到了同样的结果。现在我们也无法在不破坏它的情况下强行打开它。这很有趣，但他现在很慌张，把气撒在我们身上。
GID00086685	最后他听从了一个工兵的建议，我们可以挖一条路进去。我们已经尽了最大的努力，现在我们正在用我们所拥有的一切工具进行挖掘，但这些人真的很热心，因为最后可能会有一些体面的食物和住所。
GID00086686	日记03：舍伍德下士
GID00086687	嗯，我们成功了，但这并不是我们所希望的。避难所显然受到了一些影响，灌满了水，空气恶臭，反应堆正在泄漏。
GID00086688	这里有补给，但上尉设法调来了一列火车把东西直接运出去了。我相信他和他的小圈子是在帮自己，但我们大多数人什么都得不到。我们其他人都累坏了，因为我们必须用手把所有的东西从我们挖的洞里送出去。
GID00086689	日记04：舍伍德下士
GID00086690	我找到了这个可以工作的终端，但是没有记录，我猜主服务器已经死了。我告诉上尉我还在恢复数据，但我只是用它来打我的日记。这比搬运仓库强多了，我都不相信自己会放下食物不管。我好饿。
GID00086691	日记05：舍伍德下士
GID00086692	火车的一节车厢坏了，最后是通过从最后面的被遗弃的车厢上卸下部件来修复的。我们正在用我们所拥有的车辆通过公路运送剩余的物资，二连的两个人在转移食物的时候拿走了一些，后来被上尉发现了，他们被枪毙了。
GID00086693	2103 安德鲁·波克日记
GID00086694	我们终于找到了地上小屋，情况不妙，整个房子看起来都塌了。更确切地说，这地方好像被炸毁了，天知道为什么。
GID00086695	那么现在呢?我们躲在隧道里，入口周围似乎还很坚固。至少我们在这里有水，周围有足够的野生动物可以捕猎。
GID00086696	有些人想往南去维加斯，但我不这么想。我认为我们应该远离人口密集的地方。
GID00086697	2104 安德鲁·波克日记
GID00086698	有些人已经往南走了，而我们其他人还在这里坚持，这并不容易，但我们活下来了。我们得到了一些外来者的帮助，他们分享的故事并没有描绘出一幅美好的世界。
GID00086699	我们还没有放弃避难所，我们清理了隧道顶部一座建筑的一些碎石，以便找到一个入口，我认为我们设法闯入了隧道维护系统的一部分，通常它们都指向同一个地方。我们在一个安全门前停了下来，看起来有人比我们先到过这里并试图炸毁它，这就排除了我们的这个选择，整个都可能被炸毁了。不过，至少我们现在实际上并不需要它，没有它，我们也能生存。
GID00086700	2104 安德鲁·波克日记
GID00086701	查理的消息，他成功到维加斯了，但我觉得不怎么样，听起来他好像在更南边的地方定居了。很高兴听到这个老秃鹰的消息。
GID00086702	2114 安德鲁·波克日记
GID00086703	我妻子一直在唠叨，让我不要再去那个隧道。我想每个人都忘记了我们最初来这里的原因，但我从未失去对那个储存库的好奇心，它叫什么？地上小屋？
GID00086704	我设法拉出了安全门上的一些线路，试图把一台电脑连接到上面。我认为那里仍然有某种网络，但如果我能黑进去，那就见鬼了。我肯定我们带了密码，是大卫拿着吗？他再也没从维加斯回来。
GID00086705	我的儿子坐在那里看着我，也许有一天他会有更好的运气。说实话我们还不知道那扇门后面是否有东西，也许我妻子是对的，我应该放弃，我现在太老了。
GID00086706	2117 安德鲁·波克日记
GID00086707	66号避难所原定于今年开放，但目前还没有任何动静。我们时不时会听到有人在火车场边失踪的故事，但我们都远离了，现在已经算是恐怖故事了，当地人知道，但没人说什么。如如果你不谈论它，它就不是真的。
GID00086708	总有一天外面的世界会发现它，然后就会跟它算总账的。
GID00086709	笔记
GID00086710	不要激活这个机器人。它的行为非常奇怪。
GID00086711	预定服务，只要有一个pad可用。
GID00086712	=- 安保
GID00086713	追踪日志32/43：杰森尸体笔记
GID00086714	你这个白痴艾伦，我告诉过你不要吃太多。我喜欢那孩子，他是我最喜欢的血型之一我们可以把他挂起来很长时间。
GID00086715	总之，看看你能不能找到那孩子的名字，我想是杰森，你知道厨师喜欢给他的菜起名字，但这次告诉他不要咖喱。我想尝尝这个，因为梅尔文·马德拉斯被我烤焦了。看看还有没有基安蒂干红葡萄酒。
