STE00000001	移除截图提示
STE00000639	用16进制代号的总和控制所有HUD元素的可见性。例如，0x00000001表示只有行动点数可见，0x00000003是命中点数和行动点数都可见。0x000011A0是经验条、角落消息、潜行指示以及地区地点都可见。详见Readme文档。
STE00000640	战斗中推迟升级
STE00000641	战斗中升级时，升级菜单推迟到战斗结束后3秒。
STE00000642	跳跃时不会松开抓取的物体
STE00000643	跳跃时不会松开抓取的物体。
STE00000644	移除地图标记已添加提示
STE00000645	移除地图标记已添加提示。
STE00000646	无敌模式下不播放腿部残疾音效
STE00000647	无敌模式下不播放腿部残疾音效。
STE00000648	控制台中不可选中玩家
STE00000649	控制台中不可选中玩家角色。
STE00000650	额外控制台细节（默认开启）
STE00000651	控制台中选中一个ref时显示额外信息。
STE00000652	显示完整帮助
STE00000653	使用ToggleFullHelp时显示额外细节（附带的脚本等）。
STE00000654	显示Cell名称
STE00000655	在控制台左上角显示玩家当前所在Cell的名称。
STE00000656	显示Cell的Editor ID
STE00000657	在控制台左上角显示玩家当前所在Cell的Editor ID。
STE00000658	显示选中的模型路径
STE00000659	显示选中ref的模型路径（模型丢失时总是显示）。
STE00000660	在控制台中打印报错
STE00000661	把原版debug报错信息打印到控制台中。
STE00000662	打印一般错误
STE00000663	打印一般错误。
STE00000664	打印Havok错误
STE00000665	打印游戏的物理/网格系统报错。
STE00000666	打印Havok Old hkpBody报错
STE00000667	打印无用的“old hlkpRigidBody”警告。
STE00000668	打印存档/读档报错
STE00000669	打印和存档/读档有关的报错。
STE00000670	打印一般信息
STE00000671	打印一些一般性的debug信息。
STE00000672	隐藏杂项任务物品
STE00000673	在哔哔小子杂项界面隐藏任务物品。
STE00000674	显示蓝星瓶盖
STE00000675	不要隐藏蓝星瓶盖。
STE00000676	扒窃大修
STE00000677	修改扒窃公式，考虑物品重量、目标的感知和探测数值的影响。注意：gamesetting中fPickpocketMaxChance和fPickPocketMinChance仍生效。
STE00000678	奖励经验值
STE00000679	成功扒窃时奖励经验值。[CRLF]经验奖励=物品重量*物品重量乘数+物品价值*物品价值乘数+目标感知
STE00000680	显示成功概率
STE00000681	在容器菜单底部显示扒窃成功概率。
STE00000682	成功百分比提示
STE00000683	在容器菜单底部显示扒窃成功百分比。
STE00000684	除塞雷外逆向扒窃不减业力
STE00000685	除了给目标塞激活的手雷之外，逆向扒窃不减业力。
STE00000686	偷窃敌对NPC时不减业力
STE00000687	只在偷窃非敌对NPC时减业力。
STE00000688	无价值物品必然成功
STE00000689	允许像原版一样偷无价值物品必然成功（如钥匙）。
STE00000690	基础概率
STE00000691	扒窃成功概率=基础概率+(玩家敏捷*玩家敏捷乘数)+(玩家幸运*玩家幸运乘数)+(玩家潜行*玩家潜行乘数)-(目标感知*目标感知乘数)-(探测值*探测值乘数)-(物品价值*物品价值乘数)-(物品重量*物品重量乘数))
STE00000692	潜行乘数
STE00000693	幸运乘数
STE00000694	敏捷乘数
STE00000695	物品价值乘数
STE00000696	物品重量乘数
STE00000697	已装备物品乘数
STE00000698	如果某物品已被NPC装备，总概率再乘以这个乘数。
STE00000699	目标感知乘数
STE00000700	探测值乘数
STE00000701	修理奖励经验值
STE00000702	修理物品时奖励经验值。
STE00000703	奖励的经验值
STE00000704	每件物品奖励的经验值。
STE00000705	击杀奖励行动点数
STE00000706	VATS之外击杀奖励行动点数。
STE00000707	奖励的行动点数
STE00000708	每次击杀奖励的行动点数。
STE00000709	不显示物品快捷键轮盘
STE00000710	按住物品快捷键时，不显示轮盘。
STE00000711	弹匣大小很重要
STE00000712	剩余弹药不足以单次开火时无法攻击。
STE00000713	HUD显示地点每次
STE00000714	在HUD上显示“莫哈维废土”的地方显示室内Cell的名称。
STE00000715	显示临界地图标记
STE00000716	靠近地图标记时显示名称。
STE00000717	同伴击杀无经验值
STE00000718	同伴击杀不奖励经验值，比较iXPDeathRewardHealthThreshold时，计算玩家造成的伤害不计入同伴造成的伤害。
STE00000719	玩家造成伤害后计入同伴的命中
STE00000720	如果玩家之前命中了目标，后续同伴的攻击计入iXPDeathRewardHealthThreshold。
STE00000721	隐藏弹药标签
STE00000722	从HUD中隐藏弹药量/弹匣容量标签。
STE00000723	显示总剩余弹药
STE00000724	显示总的剩余弹药。
STE00000725	超重时缩放行动点数回复
STE00000726	超重时缩放行动点数回复。
STE00000727	行动点数回复缩放
STE00000728	超重时应用于行动点数回复率。
STE00000729	仅当移动时生效
STE00000730	只在玩家移动时应用缩放。
STE00000731	禁用角色重置
STE00000732	禁用玩家离开初始区域时触发的角色重置脚本。
STE00000733	移除声望提示
STE00000734	移除声望变化的弹出提示。
STE00000735	隐藏弹出
STE00000736	隐藏需要点击确认的弹出菜单。
STE00000737	隐藏角落信息-声望提升
STE00000738	隐藏声望提升时的角落信息。
STE00000739	隐藏角落信息-声望受损
STE00000740	隐藏声望受损时的角落信息。
STE00000741	仅在处于最低声望时隐藏非脚本触发的声望损失
STE00000742	如果已处于最低声望，隐藏非脚本触发的声望损失消息。
STE00000743	仅在处于最高声望时隐藏非脚本触发的声望提升
STE00000744	如果已处于最高声望，隐藏非脚本触发的声望提升消息。
STE00000745	库存整理按钮
STE00000746	添加一个库存排序/筛选按钮，由menus/prefabs/lStewieAl/SortInventoryButton.xml文件指定。使用shift或ctrl点击切换筛选模式。
STE00000747	添加到交易界面
STE00000748	添加按钮到交易界面。
STE00000749	添加到容器界面
STE00000750	添加按钮到容器界面。
STE00000751	添加到哔哔小子界面
STE00000752	添加按钮到哔哔小子界面。
STE00000753	默认排序模式
STE00000754	按下按钮后的默认排序/筛选模式。
STE00000755	按重量隐藏
STE00000756	隐藏重量低于阈值的物品。
STE00000757	按重量排序
STE00000758	按重量排序物品（不考虑堆叠后的重量）。
STE00000759	隐藏任务物品
STE00000760	按重量和任务隐藏
STE00000761	按重量和任务隐藏且按重量排序
STE00000762	按单位重量的价值排序
STE00000763	显示治疗物品
STE00000764	显示食物
STE00000765	显示饮品
STE00000766	显示辐射治疗物品
STE00000767	隐藏物品的重量阈值
STE00000768	隐藏物品的重量阈值。
STE00000769	隐藏模式标签
STE00000770	16进制标签的总和（详见readme文档）。如0x282同时禁用“显示辐射治疗物品”、“显示食物”和“按重量排序”。
STE00000771	高亮激活按钮
STE00000772	排序/筛选激活时，高亮激活按钮。而非在不激活时显示一个单独图标。
STE00000773	手柄开关按钮
STE00000774	使用手柄开关排序的按钮。
STE00000775	Start
STE00000776	A
STE00000777	B
STE00000778	X
STE00000779	Y
STE00000780	LB
STE00000781	RB
STE00000782	LS
STE00000783	RS
STE00000784	手柄轮换按钮
STE00000785	使用手柄时轮换排序模式的按钮。
STE00000786	点击哔哔小子页面按钮开关排序
STE00000787	点击当前哔哔小子页面的按钮来开关排序/筛选。
STE00000788	允许重新绑定数字键
STE00000789	在控制菜单中显示数字快捷键，并允许将功能绑定到手柄方向键（注意：这会和已绑定的武器快捷键冲突）。注意：由于一个bug，Darnified UI不支持在此菜单中显示额外项目。
STE00000790	禁用武器快捷键
STE00000791	在哔哔小子之外忽略手柄方向键和1-9武器快捷键。
STE00000792	从HUD中移除肢体残疾显示
STE00000793	肢体残疾时，不在HUD上显示避难所小子图标（不是“肢体”文本）。
STE00000794	控制台背景
STE00000795	给控制台添加一个由menus/prefabs/lStewieAl/ConsoleBackground.xml指定的背景。
STE00000796	显示单个物品属性
STE00000797	多个物品堆叠时，只显示单个物品的重量和价值。
STE00000798	只允许坐下时等待
STE00000799	只在玩家坐下或开启无敌模式时允许等待。
STE00000800	显示不可用消息
STE00000801	等待不可用时显示提示。
STE00000802	不可用消息
STE00000803	等待不可用时，显示一个包含当前时间的消息。若开启“显示不可用消息”则无效。
STE00000804	HUD RGB颜色滑块
STE00000805	在设置菜单中添加一个修改HUD颜色的RGB滑块。注意由于一个bug，Darnified UI不支持在该菜单中显示额外项目。可以让终端也使用这个颜色。
STE00000806	终端使用HUD颜色
STE00000807	终端使用HUD颜色。
STE00000808	在容器中显示现金
STE00000809	在容器的杂项页面显示派系现金，在哔哔小子的杂项页面显示瓶盖。
STE00000810	没有爆炸伤害时隐藏手雷指示
STE00000811	当爆炸没有伤害时，隐藏投射物的手雷指示。
STE00000812	没说过话的NPC指示
STE00000813	在没说过话的NPC上显示*星号指示。
STE00000814	不按耐久度缩放NPC的免伤
STE00000815	不按护甲耐久度缩放NPC的免伤。
STE00000816	不按耐久度缩放NPC的减伤
STE00000817	不按护甲耐久度缩放NPC的减伤。
STE00000818	不按耐久度缩放NPC的伤害
STE00000819	不按武器耐久度缩放NPC的伤害。
STE00000820	将不可用电台排到底部
STE00000821	修复原版中不可用电台没有排到底下的bug。
STE00000822	禁用同伴通用话题
STE00000823	禁止同伴在受伤、需要弹药、需要武器等情况下的对话。
STE00000824	禁用教程消息
STE00000825	禁用硬编码的一次性教程菜单，如破解终端、开锁、哔哔小子。不包含那些非硬编码的教程，如“按V进入VATS”等。
STE00000826	交易时检查角色的买卖标签
STE00000827	商人会按照自己的买卖标签交易，不接受种类不对的物品。
STE00000828	弹药依赖武器
STE00000829	买卖武器的商人才会买卖弹药。
STE00000830	特长Editor ID
STE00000831	输入一个能让你无视买卖标签的特长的Editor ID。
STE00000832	保持控制台选中的Ref
STE00000833	关闭控制台时记住当前选中的ref（如果它还在内存中）。
STE00000834	快速旅行无时间流逝
STE00000835	快速旅行时时间不流逝，硬核模式需求也不会变化。
STE00000836	在有主的床上睡觉
STE00000837	允许在有主的床上睡觉。
STE00000838	显示被谁探测到
STE00000839	显示所有探测到你潜行的角色的名称，例如，把[暴露]替换为[被发现：闲人彼得，桑尼·斯迈尔斯，及两个其他]。
STE00000840	最大名称数目
STE00000841	在显示“及N个其他”之前最多显示几个名称。
STE00000842	被发现描述
STE00000843	描述开头的部分，替换“[被发现：”。
STE00000844	角色描述
STE00000845	当最大名称数目为0时显示的描述。
STE00000846	其他描述
STE00000847	多于最大名称数目的部分显示的描述。
STE00000848	复数描述
STE00000849	追加到“及N个其他”后。
STE00000850	奔跑消耗行动点数
STE00000851	奔跑消耗行动点数。[CRLF]公式为：行动点数消耗=fAPDrainCostBase+((5-耐力)*fRunAPEnduranceMult)。[CRLF]每过消耗间隔（毫秒）就消耗一次。
STE00000852	基础行动点数消耗
STE00000853	行动点数消耗耐力乘数
STE00000854	行动点数消耗的耐力乘数。
STE00000855	潜行基础行动点数消耗
STE00000856	潜行时的基础行动点数消耗。
STE00000857	潜行行动点数消耗耐力乘数
STE00000858	潜行时行动点数消耗的耐力乘数。
STE00000859	行动点数消耗时间间隔（毫秒）
STE00000860	总是允许奔跑，但行动点数为0时无法回复。
STE00000861	仅在战斗中
STE00000862	仅当在战斗中奔跑时消耗行动点数。
STE00000863	行动点数回复乘数
STE00000864	移动时行动点数自然回复的乘数。
STE00000865	隐藏已完成任务
STE00000866	不在哔哔小子的任务页面显示已完成的任务。
STE00000867	按住等待键显示菜单
STE00000868	打开等待/睡觉菜单需要按住按键，而不是按一下。
STE00000869	按住时间
STE00000870	按住多久才显示菜单（毫秒）。
STE00000871	使用辐射3音频失真
STE00000872	当NPC戴着面具时，使用类似辐射3的算法使其音频失真（听起来更具金属感、而非闷声）。
STE00000873	关闭菜单时保持经验条
STE00000874	原版中关闭菜单时正显示的经验条会消失（如破解、对话和开锁中）。
STE00000875	开锁无需技能
STE00000876	允许尝试开任意难度的锁。
STE00000877	难度缩放
STE00000878	根据你技能缺少的量缩放开锁难度。[CRLF]公式：正确范围=原版正确范围*(当前开锁技能/开锁技能需求)
STE00000879	破解无需技能
STE00000880	允许尝试破解任意难度的终端。
STE00000881	坐下时扩大转角
STE00000882	将第一人称坐下时视角旋转的最大角度扩大到-115<->115度（原版是-90<->90度）。第三人称允许360度。
STE00000883	搜刮失去意识目标
STE00000884	允许搜刮失去意识的目标。
STE00000885	最近添加的地图标记上色
STE00000886	直到下次读档，把最近添加的地图标记显示为红色。
STE00000887	自定义哔哔小子默认页面
STE00000888	哔哔小子打开时总是显示设定的页面（不影响F1/F2/F3的功能）。
STE00000889	默认页面
STE00000890	数据-上次选择的
STE00000891	数据-电台
STE00000892	数据-杂项
STE00000893	数据-任务
STE00000894	数据-世界地图
STE00000895	数据-本地地图
STE00000896	物品-上次选择的
STE00000897	物品-弹药
STE00000898	物品-杂项
STE00000899	物品-辅助品
STE00000900	物品-服装
STE00000901	物品-武器
STE00000902	状态-上次选择的
STE00000903	状态-一般
STE00000904	状态-特长
STE00000905	状态-技能
STE00000906	状态-SPECIAL
STE00000907	状态-统计信息
STE00000908	菜单中显示武器弹药消耗
STE00000909	库存中显示武器击发一次需要的弹药。例如，三眼激光步枪的弹药显示“微聚变单元 x 3”。
STE00000910	放置地图标记时不弹出对话框
STE00000911	放置地图标记时不弹出放置/移除对话框。
STE00000912	用Shift+点击移除
STE00000913	使用右键放置地图标记。按shift时点击移除标记。
STE00000914	仅在鼠标悬停时移除
STE00000915	使用右键放置地图标记。鼠标悬在已有标记上时则移除。
STE00000916	睡眠/等待界面使用24小时制
STE00000917	睡眠/等待界面使用24小时制。
STE00000918	哔哔小子时钟使用12小时制
STE00000919	哔哔小子时钟使用12小时制。
STE00000920	提示会刷新的容器
STE00000921	如果一个容器被设为可刷新，在子标题栏显示提示。
STE00000922	警告消息
STE00000923	可刷新的容器弹出警告消息。
STE00000924	不包含NPC
STE00000925	NPC容器不显示警告。
STE00000926	本地地图显示已刷新的Cell
STE00000927	在本地地图上将已刷新的Cell显示为红色，没去过的显示为白色。
STE00000928	显示已刷新的Cell
STE00000929	已刷新的Cell显示为红色。
STE00000930	显示没去过的Cell
STE00000931	没去过的Cell显示为白色。
STE00000932	更好的拾取显示
STE00000933	搜刮时显示整堆物品的价值和重量，如果拿了会超重则显示为红色。
STE00000934	交易时隐藏已装备物品
STE00000935	交易菜单中隐藏已装备物品。
STE00000936	容器中隐藏已装备物品
STE00000937	容器菜单中隐藏已装备物品。
STE00000938	食物效果消失无提示
STE00000939	移除药物效果消失的提示。
STE00000940	仅用于食物
STE00000941	只隐藏食物效果消失的提示。
STE00000942	瞄准时保持任务文本
STE00000943	瞄准时不再隐藏任务和地点文本。
STE00000944	允许同伴使用熔毁效果
STE00000945	如果玩家有熔毁特长，允许同伴也使用该效果。
STE00000946	爆炸伤害不作用自己
STE00000947	你自己制造的爆炸不对自己造成伤害（NPC仍然会自伤）。
STE00000948	熔毁伤害不作用自己
STE00000949	你自己制造的熔毁不对自己造成伤害。
STE00000950	防止来自同伴的伤害
STE00000951	同伴制造的熔毁爆炸不伤害玩家。
STE00000952	防止对同伴造成伤害
STE00000953	玩家制造的熔毁爆炸不伤害同伴。
STE00000954	防止对非敌对NPC造成伤害
STE00000955	玩家制造的熔毁爆炸不伤害非敌对NPC。
STE00000956	按住互动键互动
STE00000957	与物体互动时需要按住互动键而不是按一下。
STE00000958	应用于容器和NPC
STE00000959	按住互动键搜刮容器和NPC。
STE00000960	应用于家具
STE00000961	按住互动键和家族互动（包括床）。
STE00000962	应用于水
STE00000963	按住互动键从水龙头或池塘喝水。
STE00000964	应用于工作台
STE00000965	按住互动键使用营火、工作台、装弹台。
STE00000966	按住时拿走物品
STE00000967	按住互动键时拿走物品（不和容器、NPC等触发互动）。
STE00000968	拿走物品延迟
STE00000969	“按住时拿走物品”开启后，物品被拿走之前的延迟。
STE00000970	避免超重
STE00000971	除非玩家已经超重，禁止自动拾取会导致超重的物品。
STE00000972	偷窃延迟
STE00000973	偷窃第一件物品时延迟一段时间。
STE00000974	偷窃延迟时间
STE00000975	在开偷之前延迟一段时间（毫秒），已经开偷后再偷无延迟。
STE00000976	记住哔哔小子滚动位置
STE00000977	哔哔小子屏幕滚动的位置记入存档。
STE00000978	移除武器耐久度伤害惩罚
STE00000979	武器伤害总按最大耐久时算。
STE00000980	玩家近战伤害无视体型
STE00000981	玩家的身高/体型不影响近战伤害。
STE00000982	隐藏地图标记上的派系声望显示
STE00000983	隐藏世界地图标记上的派系声望显示。
STE00000984	比较武器属性
STE00000985	在武器的伤害属性上显示相对于当前装备武器差值的正负号。
STE00000986	随处睡觉/等待
STE00000987	允许随处睡觉/等待。
STE00000988	战斗中睡觉
STE00000989	允许战斗中睡觉。
STE00000990	受辐射时睡觉
STE00000991	允许在受辐射时睡觉。
STE00000992	半空中睡觉
STE00000993	允许在半空中睡觉。
STE00000994	承受伤害时睡觉
STE00000995	允许在承受伤害时睡觉。
STE00000996	水下睡觉
STE00000997	允许与鱼同眠。
STE00000998	闯入时睡觉
STE00000999	允许闯入他人领地时睡觉。
STE00001000	移除室内加载黑屏
STE00001001	移除加载室内Cell时的黑屏，禁用角色淡入。
STE00001002	淡入
STE00001003	基于gamesetting中的fFadeToBlackFadeSeconds让屏幕边缘淡入。
STE00001004	角色近战伤害无视体型
STE00001005	NPC和玩家的近战伤害不再受体型影响。
STE00001006	无点数可分配时跳过技能菜单
STE00001007	无点数可分配，但有特长课分配时，跳过技能菜单。
STE00001008	自定义护甲耐久惩罚
STE00001009	自定义根据耐久度缩放护甲的减伤/免伤。
STE00001010	减伤/免伤缩放
STE00001011	耐久度低于阈值时的减伤/免伤缩放。
STE00001012	击中武器时不减少耐久
STE00001013	玩家和敌人的武器被击中时不减少耐久。
STE00001014	移除室外加载画面
STE00001015	移除离开室内时的加载画面（读档时除外）。
STE00001016	超宽屏幕支持
STE00001017	修复超宽屏幕（21:9）的bug：- 读档或加载区域时的淡入黑屏转换现在会作用于整个屏幕，而不是屏幕的一小部分。- 在许多渲染菜单中调整FOV，如体能测试器、终端、开锁菜单，以及瞄准镜放大时的HUD。修复了这些菜单被过度放大的问题。
STE00001018	菜单FOV缩放
STE00001019	应用于菜单/瞄准镜的缩放。原版数值为0.75。
STE00001020	穿着的护甲不计入负重
STE00001021	缩放穿着的护甲的重量。
STE00001022	角色非近战伤害无视体型
STE00001023	NPC和玩家的非近战伤害不再受体型影响。
STE00001024	玩家的非近战伤害无视体型
STE00001025	玩家的非近战伤害不再受体型影响。
STE00001026	硬核模式下辅助品无重量
STE00001027	使硬核模式下的辅助品无重量。
STE00001028	物品无重量
STE00001029	根据种类使物品无重量。
STE00001030	护甲无重量
STE00001031	辅助品无重量
STE00001032	弹药无重量
STE00001033	武器无重量
STE00001034	杂项物品无重量
STE00001035	第一人称隐藏准星
STE00001036	第一人称隐藏准星（第三人称保持）。
STE00001037	第三人称隐藏准星
STE00001038	第三人称隐藏准星（第一人称保持）。
STE00001039	赌场不再禁赌
STE00001040	赌场不再禁赌。
STE00001041	偷袭不再暴击
STE00001042	玩家偷袭时不触发暴击。
STE00001043	允许NPC偷袭暴击玩家
STE00001044	允许NPC对玩家触发偷袭暴击，可以配合玩家禁止触发一起使用。
STE00001045	NPC可以缴械玩家
STE00001046	允许NPC缴械玩家。
STE00001047	仅近战武器可偷袭暴击
STE00001048	仅近战武器可偷袭暴击。
STE00001049	在修理菜单中显示任务物品和无减伤/免伤物品
STE00001050	在修理菜单中显示任务物品和无减伤/免伤物品。
STE00001051	读档时关闭无敌模式
STE00001052	读档时关闭无敌模式。
STE00001053	反转容器界面标题的滚动方向
STE00001054	反转容器界面的分类标题处使用鼠标滚轮时的滚动方向。
STE00001055	HUD疲劳显示
STE00001056	添加一个类似硬核模式下饥饿和口渴标记的疲劳显示。
STE00001057	允许在装弹中使用武器快捷键和哔哔小子
STE00001058	允许在装弹中使用武器快捷键切换武器，以及打开哔哔小子。
STE00001059	禁止缴械同伴
STE00001060	同伴在战斗中不会被缴械。
STE00001061	落地过程中允许开火
STE00001062	落地动画播放过程中允许开火。
STE00001063	瞄准过程中开火
STE00001064	进入、退出瞄准状态的过程中允许开火。
STE00001065	加载完成之前禁止打开控制台
STE00001066	原版中可以利用控制台在各项设置（如禁用手柄）加载完成之前读入存档。
STE00001067	超重时允许蓄力攻击
STE00001068	超重时允许近战蓄力攻击。
STE00001069	呼吸缓回
STE00001070	出水不会瞬间回满呼吸值，而是缓慢回复。
STE00001071	呼吸回复率
STE00001072	呼吸回复率。设为1需要1秒回复，设为0.5需要2秒回复，以此类推。
STE00001073	出水时显示呼吸回复
STE00001074	出水时显示呼吸值条直到回满。
STE00001075	笔记菜单展示单独菜单
STE00001076	在哔哔小子中点击笔记时，展示一个单独的滚动菜单（需要Book Menu Restored模组的材质和xml文件）。
STE00001077	需要按住Shift
STE00001078	按住shift时才打开新菜单。
STE00001079	新增任务目标时不设置任务追踪
STE00001080	当前未追踪任务时，如果有任务获得了新目标，不要设为追踪任务。
STE00001081	转轮武器音效修复
STE00001082	修复循环攻击武器在短暂停下时不会播放攻击音效的bug。例如原版中使用火焰喷射器或转轮机枪时，先点一下再按住开火，就不会播放音效。
STE00001083	瞄准时缓慢转动视线
STE00001084	缩放瞄准时转动视线的速率。
STE00001085	X方向缩放
STE00001086	瞄准时沿着X轴转动的缩放。
STE00001087	Y方向缩放
STE00001088	瞄准时沿着Y轴转动的缩放。
STE00001089	站立时显示潜行标签
STE00001090	站着的时候也显示[潜行]指示。
STE00001091	VATS锁头
STE00001092	进入VATS时自动选中目标头部。
STE00001093	按住视角键时改变镜头高度
STE00001094	按住切换视角键时，鼠标滚轮改变镜头高度。
STE00001095	比较护甲属性
STE00001096	用正负号显示护甲相对于已装备护甲的免伤和减伤优劣。
STE00001097	动画播放时允许VATS
STE00001098	允许在动画播放时进入VATS（如落地动画）。
STE00001099	用废金属治疗机器人同伴
STE00001100	用废金属而非治疗针治疗机器人同伴。
STE00001101	基础生命值回复
STE00001102	每个废金属回复的基础生命值。
STE00001103	修理技能奖励
STE00001104	每点玩家的修理技能额外带来的生命值回复。
STE00001105	机器人专家奖励
STE00001106	玩家的机器人专家特长带来的生命值回复。
STE00001107	治疗物品的EditorID
STE00001108	机器人治疗物品的Editor ID。[CRLF]如果输入一个formlist，列表中第一个可用的物品将被采用。
STE00001109	自定义截图格式
STE00001110	自动转换截图到不同格式。目前支持：jpg，tiff和bmp。
STE00001111	格式（JPG，PNG或BMP）
STE00001112	文件格式（jpg，tiff，png或bmp）。
STE00001113	Mod的控制台输出包含名称
STE00001114	当一个mod在控制台输出信息时，在文本前加上[mod名称]。可选打印相关脚本的form id。
STE00001115	包括脚本ID
STE00001116	只打印脚本ID而不是mod名称。
STE00001117	对话中缩放电台歌曲音量
STE00001118	和NPC对话时缩放电台歌曲音量。
STE00001119	音量乘数
STE00001120	对话中音乐音量的乘数。
STE00001121	对话中缩放音乐音量
STE00001122	和NPC对话时缩放背景音乐的音量。
STE00001123	弹匣打空时使用第一人称音效
STE00001124	第三人称打空弹匣时，使用第一人称音效（音量更大）。
STE00001125	连接手柄时不屏蔽键鼠
STE00001126	连接手柄时不屏蔽键鼠（除了菜单中）。
STE00001127	缩放暴击伤害
STE00001128	缩放所有武器的暴击伤害。
STE00001129	伤害乘数
STE00001130	武器暴击时的伤害乘数。
STE00001131	使用控制台输出文件
STE00001132	自动设定控制台输出文件。
STE00001133	文件名
STE00001134	输出文件的文件名，如ConsoleOut.txt。
STE00001135	缓存任务和笔记菜单
STE00001136	加快任务和笔记菜单的加载，仅当任务/笔记状态发生改变时才重建菜单。查看笔记页面时，不加载挑战列表。
STE00001137	选择其它笔记时保持全息磁带播放
STE00001138	点击其它非语音笔记时，不暂停正在播放的全息磁带。
STE00001139	禁用硬核需求消息
STE00001140	硬核需求和辐射等级增减时不提示消息。
STE00001141	禁用辐射消息
STE00001142	禁用饥饿消息
STE00001143	禁用脱水消息
STE00001144	禁用困倦消息
STE00001145	正在装备武器时蹲下
STE00001146	允许正在装备/收起武器时蹲下，蹲下动画延迟到装备后播放。
STE00001147	近期死亡NPC指示
STE00001148	在罗盘上显示近期死亡的NPC，直到玩家鼠标悬在其身上过后。
STE00001149	指示消失时间
STE00001150	NPC死后多久指示自动消失（毫秒，设为0则时间无限）。
STE00001151	仅包含玩家和同伴的击杀
STE00001152	只显示玩家和同伴击杀的NPC。
STE00001153	仅包含玩家造成伤害的
STE00001154	只显示被玩家造成过伤害的NPC。
STE00001155	颜色
STE00001156	指示器的16进制颜色代码。
STE00001157	手柄后退键不关闭哔哔小子
STE00001158	手柄后退键不关闭哔哔小子。
STE00001159	取消自动武器开火延迟
STE00001160	在动画准备阶段就允许自动武器开火（如转轮机枪正开始旋转时）。
STE00001161	包括重武器
STE00001162	允许重武器（动画类型代码大于等于8）转起来之前开火。
STE00001163	血溅伤害阈值
STE00001164	只在伤害超过阈值时显示血溅。
STE00001165	最小伤害
STE00001166	血溅所需的最小伤害。
STE00001167	目标死亡后停止VATS攻击
STE00001168	目标已经死亡后停止VATS攻击，适用于如10mm冲锋枪，其在VATS中一次打3发。
STE00001169	按住再松开投掷武器
STE00001170	允许像手雷一样先按住再松开投掷武器。
STE00001171	包括地雷
STE00001172	地雷也可以先按住再松开。
STE00001173	生命值上限减少时允许睡觉
STE00001174	生命值上限减少时允许睡觉，但不包含持续伤害状态生效时。
STE00001175	等级差距影响战斗经验
STE00001176	玩家和目标之间的等级差距决定战斗经验。
STE00001177	基础经验值奖励
STE00001178	任意击杀获得的基础经验值。
STE00001179	等级差距奖励
STE00001180	玩家和目标之间每一点等级差距带来的额外经验奖励。
STE00001181	武器收起时切换弹药种类
STE00001182	武器收起时也可以切换弹药种类。
STE00001183	动力甲无需训练
STE00001184	无需动力甲训练特长即可穿动力甲。
STE00001185	HUD条颜色
STE00001186	当生命值和行动点数很低时，条显示为红色。临时增加生命值上限的部分也会显示为红色。
STE00001187	生命值变红阈值
STE00001188	当前生命值和最大值比例小于阈值时生命值条变红。
STE00001189	行动点数变红阈值
STE00001190	当前行动点数和最大值比例小于阈值时行动点数条变红。
STE00001191	速率乘数影响跳跃高度
STE00001192	根据NPC和玩家的速率乘数属性缩放跳跃高度。
STE00001193	偷窃不触发警报
STE00001194	偷窃物品时不向主人触发警报（扒窃除外）。
STE00001195	偷袭暴击仅限爆头
STE00001196	仅打头时触发偷袭暴击。
STE00001197	哔哔小子笔记排序
STE00001198	按字母顺序和/或阅读状态排序笔记。
STE00001199	笔记排序模式
STE00001200	按字母
STE00001201	未读笔记优先
STE00001202	未读笔记优先，且按字母
STE00001203	哔哔小子任务排序
STE00001204	给哔哔小子任务页面排序。
STE00001205	任务排序模式
STE00001206	未完成任务优先
STE00001207	未完成任务优先，且按字母
STE00001208	激活的任务优先
STE00001209	正追踪的任务显示在列表顶部。
STE00001210	禁用成就
STE00001211	禁用steam/gog的成就。
STE00001212	显示武器淬毒效果
STE00001213	哔哔小子中可以查看武器淬毒效果。
STE00001214	隐藏不可用电台
STE00001215	在哔哔小子中隐藏不可用电台。
STE00001216	状态菜单中按百分比显示经验
STE00001217	状态菜单中按百分比显示经验。
STE00001218	卸下武器配件
STE00001219	在物品/武器菜单中允许卸下武器配件，隐藏重复的配件并按字母排序配件。
STE00001220	对没有配件的武器隐藏按钮
STE00001221	对没有配件的武器隐藏配件按钮。
STE00001222	显示未持有配件
STE00001223	在菜单中显示未持有的配件。
STE00001224	卸下配件音效ID
STE00001225	卸下武器配件时播放的音效ID（注意：VUI+有自己的音效）。
STE00001226	需要工作台
STE00001227	只能在工作台卸下武器配件。
STE00001228	测试模式
STE00001229	可以安装未持有的武器配件。
STE00001230	在无敌模式下，可以安装未持有的武器配件。
STE00001231	显示配件标签
STE00001232	没有配件时显示的标签。
STE00001233	难度不影响NPC之间伤害
STE00001234	NPC之间的伤害不使用fDiffMultHPByPC这个gamesetting，也不使用NPC/同伴伤害乘数。同伴之间的伤害使用fDamageToTeammateMult。
STE00001235	NPC-NPC伤害乘数
STE00001236	NPC之间的伤害乘数。
STE00001237	同伴-NPC伤害乘数
STE00001238	同伴对NPC造成伤害的乘数。
STE00001239	NPC-同伴伤害乘数
STE00001240	NPC对同伴造成伤害的乘数。
STE00001241	禁用战斗音乐
STE00001242	不播放战斗音乐。
