STE00000001	No Screenshot Taken Popup
STE00000610	Min Distance
STE00000611	Distance over which far fog is removed - setting too low will cause visual bugs in some caves.
STE00000612	Improved Hacking
STE00000613	Improves various aspects of the hacking mini-game.
STE00000614	Prevent Single Character Guesses
STE00000615	Prevents single character attempts while hacking, i.e. clicking on '/' will do nothing rather than waste an attempt and clutter the guesses output.
STE00000616	Remove Dud If Allowance Full
STE00000617	Remove a dud instead of replenishing allowance if allowance is already full.
STE00000618	Prevent Duplicate Guesses
STE00000619	Prevent attempts at guessing the same word.
STE00000620	No Special Input Prints
STE00000621	Don't print the clicked on string with the 'Dud Removed' and 'Allowance replenished.' messages, to ensure less screen space is used.
STE00000622	Remove Dud Ignores Guessed Words
STE00000623	Make 'Dud removed.' ignore guessed words (unless they're the only words left).
STE00000624	Print Guesses On A Single Line
STE00000625	Prints guesses as a single line without the 'Entry denied', e.g. HORIZON (1/7).
STE00000626	Overscroll Support
STE00000627	Make scrolling to the edge of the screen wrap around to the other side (controller or WASD).
STE00000628	Mark Guesses as Duds
STE00000629	Turn incorrect guesses into .....
STE00000630	Mark Guesses as Duds - Keep Matching Characters
STE00000631	Keep matching characters when marking guesses as duds, e.g. A.S..ING
STE00000632	Allowance Replenished Bonus
STE00000633	Give a bonus number of attempts when finding a 'Replenish Allowanced' instead of setting attempts to the max (e.g. 4 in vanilla).
STE00000634	Lock Needs Key Show Name
STE00000635	Adds the name of the required key to the end of the sImpossibleLock message. Note: some keys are just named 'Key' in the base game - see https://fallout.wiki/wiki/Fallout:_New_Vegas_keys
STE00000636	HUD Visible While Scoped
STE00000637	Adjust visibility of HUD elements while scoped, e.g. show HP/AP.
STE00000638	Visibility Flags
STE00000639	Hexadecimal value containing all the sum of all the desired flags. e.g. 0x00000001 would just be ActionPoints visible; 0x00000003 is HitPoints and ActionPoints; 0x000011A0 would be XpMeter, Messages, SneakMeter and RegionLocation visible. See the readme for available flags.
STE00000640	Delay Post Combat Level Up
STE00000641	Adds a 3s delay after combat before the LevelUp menu will show.
STE00000642	Jumping Doesn't Drop Grabbed Item
STE00000643	Stops the grabbed item being dropped when jumping.
STE00000644	No Map Marker Added Popup
STE00000645	Disables the Map Marker Added popup.
STE00000646	Godmode Prevents Leg Cripple Sound
STE00000647	Prevents the leg crippled sound in godmode.
STE00000648	Non Selectable Player In Console
STE00000649	Prevents the player being selected when clicking in console.
STE00000650	Extra Console Details (enabled by default)
STE00000651	Adds extra information when a ref is selected in the console.
STE00000652	Show Full Help
STE00000653	Show the extra details from the ToggleFullHelp command (attached scripts etc.).
STE00000654	Show Cell Name
STE00000655	Show the current player cell name at the top left of the console.
STE00000656	Show Cell EditorID
STE00000657	Show the editor ID of the current player cell at the top left of the console.
STE00000658	Show Selected Mesh Path
STE00000659	Show the mesh path of the selected ref (paths for missing meshes are always shown).
STE00000660	Print Errors To Console
STE00000661	Print vanilla debug errors to console.
STE00000662	Print General Errors
STE00000663	Print general errors.
STE00000664	Print Havok Errors
STE00000665	Print errors from the game's physics/mesh system.
STE00000666	Print Havok Old hkpBody Errors
STE00000667	Print useless 'old hlkpRigidBody' warnings from the game's physics/mesh system.
STE00000668	Print Save/Load Errors
STE00000669	Print errors related to saving/loading.
STE00000670	Print General Messages
STE00000671	Print various general debug information messages.
STE00000672	Hide Misc Quest Items
STE00000673	Hide quest items in the misc Pip-Boy page.
STE00000674	Show Sunset Sarsaparilla Star Caps
STE00000675	Don't Hide Sunset Sarsaparilla Star Caps.
STE00000676	Pickpocket Overhaul
STE00000677	Alters the pickpocket formula to take into account item weight, target's perception and detection values. Note: the game-settings fPickpocketMaxChance and fPickPocketMinChance are still applied.
STE00000678	Reward XP
STE00000679	Gain XP from successful pickpocketing.[CRLF]XPReward = itemWeight * fItemWeightMult + (itemValue * fItemValueMult) + targetPerception
STE00000680	Show success chance
STE00000681	Add the pickpocket success chance to the bottom of the container menu.
STE00000682	Success Percentage Message
STE00000683	Message shown at the bottom of the container menu containing success percentage.
STE00000684	Reverse pickpocket karma penalty live grenades only
STE00000685	Only lose karma when reverse pickpocketing if it's a live explosive.
STE00000686	No karma loss when stealing from hostile NPCs
STE00000687	Only lose karma when pickpocketing from non-hostile NPCs.
STE00000688	Free items always succeed
STE00000689	Allow taking free items (e.g. keys) without getting caught as in vanilla.
STE00000690	Base Chance
STE00000691	PickPocketChance = fBaseChance + (playerAgility * fPlayerAgilityMult) + (playerLuck * fPlayerLuckMult) + (playerSneak * fPlayerSneakMult) - (targetPerception * fTargetPerceptionMult) - (detectionValue * fDetectionValueMult) - (itemValue * fItemValueMult) - (itemWeight * fItemWeightMult))
STE00000692	Sneak Mult
STE00000693	Luck Mult
STE00000694	Agility Mult
STE00000695	Item Value Mult
STE00000696	Item Weight Mult
STE00000697	Worn Item Mult
STE00000698	If the item is worn by the NPC, the total chance is multiplied by fWornItemChanceMult.
STE00000699	Target Perception Mult
STE00000700	Detection Value Mult
STE00000701	Repairs Reward XP
STE00000702	Earn XP when repairing items.
STE00000703	XP rewarded
STE00000704	XP rewarded per item.
STE00000705	Kills Reward AP
STE00000706	Earn Action Points when killing outside of VATS.
STE00000707	AP rewarded
STE00000708	AP rewarded per kill.
STE00000709	No HUD Hotkey Popup
STE00000710	Prevent the hotkey wheel showing when holding a hotkey.
STE00000711	Clip Size Matters
STE00000712	Prevent firing if you don't have enough ammo for one burst.
STE00000713	HUD Shows Location Names
STE00000714	Show interior cell names in the HUD region text where the 'Mojave Wasteland' text is.
STE00000715	Show nearby map markers
STE00000716	Show the name of map markers when approaching them.
STE00000717	No Companion Kill XP
STE00000718	Don't reward XP for companion kills - stops companion's attack damage increasing the 'player dealt damage' used when comparing for iXPDeathRewardHealthThreshold.
STE00000719	Companion hits count after player damage
STE00000720	Companion hits count towards the iXPDeathRewardHealthThreshold after the player has hit the NPC.
STE00000721	Hide Ammo Label
STE00000722	Hide the clip/remaining label from the main HUD.
STE00000723	Show total remaining
STE00000724	Show the total ammo count instead of clip/remaining.
STE00000725	Scale AP Regen While Overencumbered
STE00000726	Scales AP regeneration rate while over-encumbered.
STE00000727	AP regen scale
STE00000728	Scale applied to the Action Points regen rate while over-encumbered.
STE00000729	Apply only while moving
STE00000730	Only apply the scale while the player is moving.
STE00000731	Disable Character Respec
STE00000732	Disable the character recreation script that runs when leaving the spawn area.
STE00000733	No Reputation Messages
STE00000734	Disables the reputation pop-ups and associated messages.
STE00000735	Hide pop-ups
STE00000736	Prevent the pop-up menus that require being click out of (e.g. Vilified).
STE00000737	Hide corner gain messages
STE00000738	Prevent the top left corner messages when gaining reputation.
STE00000739	Hide corner loss messages
STE00000740	Prevent the top left corner messages when losing reputation.
STE00000741	Only hide non-scripted losses if at minimum reputation
STE00000742	Prevent loss pop-up and message only if already at the min reputation and if the change was not from a script command.
STE00000743	Only hide non-scripted gains if at maximum reputation
STE00000744	Prevent gain pop-up and message only if already at the max reputation and if the change was not from a script command.
STE00000745	Inventory Sort Button
STE00000746	Add a button to sort/filter the inventory, specified by menus/prefabs/lStewieAl/SortInventoryButton.xml. Use Shift/Control click to cycle through filtering modes.
STE00000747	Add to barter
STE00000748	Add the button to the Barter menu.
STE00000749	Add to containers
STE00000750	Add the button to the Container menu.
STE00000751	Add to Pip-Boy
STE00000752	Add the button to the Inventory menu.
STE00000753	Default sorting mode
STE00000754	Default sorting/filtering mode for the button.
STE00000755	Hide by Weight
STE00000756	Hide items weighing less than a threshold weight.
STE00000757	Sort by Weight
STE00000758	Sort items by their weight (ignoring stack size).
STE00000759	Hide Quest Items
STE00000760	Hide by Weight and Quest Items
STE00000761	Hide by Weight and Quest Items and Sort By Weight
STE00000762	Sort by Value Per Weight
STE00000763	Show Healing Items
STE00000764	Show Food Items
STE00000765	Show Water Items
STE00000766	Show Radiation Decreasing Items
STE00000767	Weight threshold for hiding
STE00000768	Threshold weight for hiding items in Hide By Weight modes.
STE00000769	Hide mode flags
STE00000770	Hexadecimal value containing the sum of all the desired flags (see readme). e.g. 0x282 would prevent Show Radiation Decreasing Items, Show Food Items and Sort By Weight.
STE00000771	Brighten active button
STE00000772	Brighten the sort button while sorting/filtering is active instead of using a separate icon for inactive sorting.
STE00000773	Controller toggle button
STE00000774	Controller button to toggle sorting.
STE00000775	Start
STE00000776	A
STE00000777	B
STE00000778	X
STE00000779	Y
STE00000780	LB
STE00000781	RB
STE00000782	LS
STE00000783	RS
STE00000784	Controller cycle button
STE00000785	Button to cycle through sorting modes.
STE00000786	Clicking Active Tab Toggles Sorting
STE00000787	Clicking the current Pip-Boy inventory tab toggles sorting/filtering.
STE00000788	Allow Rebind Numkeys
STE00000789	Show the number hotkeys in the Controls menu and allow binding controls to the DPAD (note: it will conflict with any bound weapon hotkeys). Note: Darnified UI does not support additional items in this menu due to a bug.
STE00000790	Disable Weapon Hotkeys
STE00000791	Ignore the DPAD and 1-9 weapon keys outside the Pip-Boy.
STE00000792	Disable HUD Crippled Limb Indicator
STE00000793	Prevents the vaultboy showing on the HUD when a limb is crippled (not the 'LMB' text).
STE00000794	Console Background
STE00000795	Adds a background to the console, specified by menus/prefabs/lStewieAl/ConsoleBackground.xml.
STE00000796	Individual Item Stats
STE00000797	Shows weight and value for a single item when viewing stacks of items instead of the entire stack's weight/value.
STE00000798	Only Allow Waiting While Sitting
STE00000799	Only allow waiting while the player is sat down or in godmode.
STE00000800	Show prevention message
STE00000801	Show a message when waiting is prevented.
STE00000802	Prevention message
STE00000803	Show a message with the current time when waiting is prevented, ignored when using the 'Show prevention message' option.
STE00000804	HUD RGB Sliders
STE00000805	Adds RGB sliders for the main HUD color to the settings menu. Note Darnified UI does not support additional items in this menu due to a bug. Optionally, make terminals use HUD color.
STE00000806	Terminals use HUD color
STE00000807	Make terminals copy the HUD color.
STE00000808	Show Currencies In Containers
STE00000809	Show faction currencies in the misc page for containers, and show Caps in the Pip-Boy misc tab.
STE00000810	Hide Grenade Indicator For No Damage Explosions
STE00000811	Hides the grenade indicator for projectiles whose explosions do no damage.
STE00000812	Unspoken NPC Indicator
STE00000813	Adds a * to the prompt for NPCs who haven't been spoken to.
STE00000814	No Scale NPC Damage Threshold By Condition
STE00000815	Don't scale NPC's armor damage threshold based on its condition.
STE00000816	No Scale NPC Damage Resistance By Condition
STE00000817	Don't scale NPC's armor damage resistance based on its condition.
STE00000818	No Scale NPC Damage By Condition
STE00000819	Don't scale damage dealt by NPCs based on their weapon's condition.
STE00000820	Sort Unavailable Radios To Bottom
STE00000821	Fix a vanilla bug where unavailable radios aren't sorted to the bottom of the list.
STE00000822	Prevent Generic Follower Topics
STE00000823	Prevents companions from speaking when they are injured, needing ammo, weapons, etc.
STE00000824	Disable Tutorial Messages
STE00000825	Disables hard-coded one-time tutorial menu messages, e.g. hacking, lockpick, Pip-Boy. Does not disable non-hardcoded messages such as 'Press V to use VATS' etc.
STE00000826	Barter Check Actor Buy Sell Flags
STE00000827	Make vendors obey their Buy/Sell flags, hiding items the vendor doesn't accept.
STE00000828	Ammo Requires Weapons
STE00000829	Only buy/sell ammo if vendor buys/sells weapons.
STE00000830	Perk Editor ID
STE00000831	Editor ID of a perk for ignoring the buy/sell flags.
STE00000832	Keep Selected Console Ref
STE00000833	Remembers the selected ref when closing the console (provided it is still loaded).
STE00000834	No Fast Travel Time Change
STE00000835	Don't progress time or hardcore needs when fast traveling.
STE00000836	Sleep In Owned Beds
STE00000837	Allow sleeping in owned beds.
STE00000838	Detected By Whom
STE00000839	Show the names of actors detecting you while sneaking, e.g. Replaces [DETECTED] with [Detected by: Easy Pete, Sunny Smiles, and 2 others].
STE00000840	Maximum name count
STE00000841	Names to display before showing "and N others".
STE00000842	Detected String
STE00000843	Starting string for list ([Detected by: )
STE00000844	Actors String
STE00000845	String shown when the max name count is 0.
STE00000846	Others String
STE00000847	String shown when more than iMaxNameCount actors are detecting the player.
STE00000848	Plural String
STE00000849	Appended to 'and %d other(s)'.
STE00000850	Running Costs AP
STE00000851	Adds an Action Points cost for running.[CRLF]The formula is: apCost = fAPDrainCostBase + ((5 - Endurance) * fRunAPEnduranceMult).[CRLF]apCost action points are removed every iAPDrainIntervalMS milliseconds.
STE00000852	Base action points cost.
STE00000853	AP cost endurance mult
STE00000854	Endurance multiplier for AP cost.
STE00000855	Sneak Base AP cost
STE00000856	Base action points cost while sneaking.
STE00000857	Sneak AP cost endurance mult
STE00000858	Endurance multiplier for AP cost while sneaking.
STE00000859	Time between AP reductions (in milliseconds).
STE00000860	Always allows running, preventing AP gain when at 0.
STE00000861	In combat only
STE00000862	Only decrease action points when running while in combat.
STE00000863	AP regeneration mult
STE00000864	Action point regen multiplier while moving.
STE00000865	Hide Completed Quests
STE00000866	Don't display completed quests in the Pip-Boy Quests tab.
STE00000867	Hold Wait Key To Show Menu
STE00000868	Makes the sleep/wait button require to be held instead of instantly showing when pressed.
STE00000869	Key hold time
STE00000870	Time the wait key must be held before the wait menu is shown (in milliseconds).
STE00000871	Use Fallout 3 Audio Distortion
STE00000872	Use a distortion algorithm similar to the one in Fallout 3 for NPCs wearing masks (sounds more metallic and less muffled).
STE00000873	Keep XP Bar When Closing Menus
STE00000874	Stops the XP bar from being hidden when closing a menu (e.g. Hacking, Dialogue or Lockpicking).
STE00000875	Pick Locks Without Skill
STE00000876	Allow picking locks of any level.
STE00000877	Scale difficulty
STE00000878	Scale the difficulty of locks based on your skill deficit.[CRLF]Formula: sweetSpot = vanillaSweetSpot * (skillLevel / skillReq)
STE00000879	Hack Terminals Without Skill
STE00000880	Allow hacking terminals of any level.
STE00000881	Turn Further While Seated
STE00000882	Increase the maximum rotation while seated to -115 <-> 115 degrees (from vanilla -90 <-> 90) in first person, and a full 360 degrees in third person.
STE00000883	Loot Unconscious Victims
STE00000884	Allows unconscious actors to be looted.
STE00000885	Color Recently Added Map Markers
STE00000886	Show map markers added this session in red. Map markers given to you are displayed in red until the save is reloaded.
STE00000887	Custom Default Pip-Boy Tab
STE00000888	Makes the Pip-Boy always open to the same tab when the MenuMode key is pressed (F1/F2/F3 still navigate to their respective categories).
STE00000889	Default Tab
STE00000890	DATA - Last-Selected
STE00000891	DATA - Radio
STE00000892	DATA - Misc
STE00000893	DATA - Quests
STE00000894	DATA - World-Map
STE00000895	DATA - Local-Map
STE00000896	ITEMS - Last-Selected
STE00000897	ITEMS - Ammo
STE00000898	ITEMS - Misc
STE00000899	ITEMS - Aid
STE00000900	ITEMS - Apparel
STE00000901	ITEMS - Weapons
STE00000902	STATS - Last-Selected
STE00000903	STATS - General
STE00000904	STATS - Perks
STE00000905	STATS - Skills
STE00000906	STATS - SPECIAL
STE00000907	STATS - Status
STE00000908	Show Weapon Ammo Use In Menus
STE00000909	Show the ammo used per shot when viewing a weapon in the inventory. For example: when viewing a Tri-Beam Laser Rifle, the ammo display will be 'MF Cell x 3'.
STE00000910	No Place Marker Popup
STE00000911	Hides the Place/Remove marker when placing markers on the map.
STE00000912	Shift+click to remove
STE00000913	Makes right clicking always place the map marker (instead of toggling it being placed/removed). If shift is held while clicking, the marker will be removed.
STE00000914	Remove Only If Hovered
STE00000915	Makes right clicking place the map marker, removing only if hovering over an existing marker.
STE00000916	24-Hour Sleep Wait Clock
STE00000917	Changes the sleep/wait clock to be in 24 hour format.
STE00000918	12-Hour Pip-Boy Clock
STE00000919	Changes the Pip-Boy clock to be in 12 hour format.
STE00000920	Respawning Container Indicator
STE00000921	Adds a warning in the subtitles bar if the opened container is set to respawn.
STE00000922	Warning message
STE00000923	Warning message shown on containers that respawn.
STE00000924	Hide on NPCs
STE00000925	Hide the warning on NPCs.
STE00000926	Local Map Respawned Cell Indicator
STE00000927	Show respawned cells as red and unvisited cells as white on the local map.
STE00000928	Show respawned cells
STE00000929	Color respawned cells in red.
STE00000930	Show unvisited cells
STE00000931	Color unvisited cells in white.
STE00000932	Better Pickup Prompt
STE00000933	Show the value and weight for a whole stack of items while looting and indicate the weight in red if it would overencumber you.
STE00000934	Hide Equipped Items In Barter
STE00000935	Hides equipped items in the barter menu.
STE00000936	Hide Equipped Items In Containers
STE00000937	Hides equipped items in the containers.
STE00000938	No Food Worn Off Message
STE00000939	Prevents the 'worn off' messages for chems.
STE00000940	Food only
STE00000941	Only hide food worn off messages.
STE00000942	Keep Quest Text Visible While Aiming
STE00000943	Stops the quest/location texts from being hidden when aiming.
STE00000944	Allow Teammates Use Meltdown
STE00000945	Allow teammates to use the meltdown effect if the player has the Meltdown perk.
STE00000946	No Self Explosion Damage
STE00000947	Prevents damage from your own explosions (NPCs can still harm themselves).
STE00000948	No Self Meltdown Explosion Damage
STE00000949	Prevents damage from your own explosions from the meltdown perk.
STE00000950	Prevent Damage By Companions
STE00000951	Prevent teammate triggered meltdown damaging the player.
STE00000952	Prevent Damage To Companions
STE00000953	Prevent teammates being damaged by player meltdown explosions.
STE00000954	Prevent Damage To Non-Hostiles
STE00000955	Prevent damage to non-hostile NPCs from meltdown explosions.
STE00000956	Hold To Activate
STE00000957	Hold the activate key instead of pressing it to activate various objects.
STE00000958	Work on containers and NPCs
STE00000959	Hold activate to loot containers or search NPCs.
STE00000960	Work on furniture
STE00000961	Hold activate to interact with furniture (including beds).
STE00000962	Work on water
STE00000963	Hold activate to drink from a tap or puddle.
STE00000964	Work on crafting tables
STE00000965	Hold activate to interact with campfire, crafting and reloading benches.
STE00000966	Take items while held
STE00000967	Takes items while the activate key is held (doesn't activate containers, NPCs etc.).
STE00000968	Item pick up delay
STE00000969	Delay before items will be taken with "Take items while held" active.
STE00000970	Don't over-encumber
STE00000971	Prevent auto-pickup of items that would encumber the player, unless the player is already encumbered.
STE00000972	Delay stealing
STE00000973	Delay stealing the first item by 'Steal Delay Timer'.
STE00000974	Steal Delay Timer
STE00000975	Delay (in milliseconds) before stealing where no delay is required to steal again.
STE00000976	Remember Pip-Boy Scroll Positions
STE00000977	Store Pip-Boy scroll positions between sessions (per save).
STE00000978	No Weapon Condition Damage Penalty
STE00000979	Weapons always deal their max damage regardless of condition.
STE00000980	Player Melee Damage Ignores Scale
STE00000981	Makes the player's melee damage independent of their height/scale.
STE00000982	Hide Map Marker Faction Reputation
STE00000983	Hide the faction reputation from map markers on the world map.
STE00000984	Compare Weapon Stats
STE00000985	Show - and + on weapon DPS/DAM relative to the equipped weapon.
STE00000986	Sleep Wait Anywhere
STE00000987	Allow sleeping/waiting anywhere.
STE00000988	Sleep in combat
STE00000989	Allow sleeping during combat.
STE00000990	Sleep in radiation
STE00000991	Allow sleeping while being irradiated.
STE00000992	Sleep mid-air
STE00000993	Allow sleeping mid-air.
STE00000994	Sleep while taking damage
STE00000995	Allow sleeping while taking damage.
STE00000996	Sleep underwater
STE00000997	Sleep with the fishes.
STE00000998	Sleep while trespassing
STE00000999	Allow sleeping while trespassing.
STE00001000	No Interior Black Loading Screen
STE00001001	Remove the black loading screen when loading an interior cell, and prevent actors being faded in.
STE00001002	Fade in
STE00001003	Fade the edges of the screen based on the fFadeToBlackFadeSeconds game-setting.
STE00001004	Character Melee Damage Ignores Scale
STE00001005	Stops NPC and player scale affecting their melee damage.
STE00001006	Skip Skill Menu If No Points To Assign
STE00001007	Skip the assign skill points screen if you have no points to assign but have perks to assign.
STE00001008	Custom Armor Condition Penalty
STE00001009	Allow a custom scale applied to armor DR/DT based on their condition.
STE00001010	DR/DT Scale
STE00001011	Scale applied to DR/DT when below the condition threshold.
STE00001012	Hitting Weapons Doesn't Damage Them
STE00001013	Prevents player and enemy weapons being damaged when shot at.
STE00001014	No Exterior Load Screens
STE00001015	Removes load screen backgrounds when exiting interiors (intentionally excludes when loading a save).
STE00001016	Ultrawide Support
STE00001017	For ultrawide (21:9) fixes the bugs: - The size of the 'Fade-to-black' transition now takes up the entire screen instead of a small rectangle (as seen when loading a save or transitioning between areas). -Adjusts the FOV for various rendered menus such as the Vigor Tester, Terminal, and LockPick menus, and the HUDMainMenu for scope zoom. This fixes the menus being too zoomed in.
STE00001018	Menu FOV scale
STE00001019	Scale applied to menus/scope. Vanilla uses 0.75.
STE00001020	Weightless Worn Armor
STE00001021	Scale the weight of equipped armor.
STE00001022	Character Non Melee Damage Ignores Scale
STE00001023	Stops NPC and player scale affecting their non-melee damage.
STE00001024	Player Non-Melee Damage Ignores Scale
STE00001025	Stops player scale affecting non-melee damage.
STE00001026	Weightless Aid Items In Non-Hardcore
STE00001027	Makes aid items weightless in non-hardcore.
STE00001028	Weightless Items
STE00001029	Makes items weightless (by category).
STE00001030	Weightless armor
STE00001031	Weightless aid items
STE00001032	Weightless ammo
STE00001033	Weightless weapons
STE00001034	Weightless misc items
STE00001035	Hide Crosshair In First Person
STE00001036	Hides the crosshair in first person (keeping it in third person).
STE00001037	Hide Crosshair In Third Person
STE00001038	Hides the crosshair in third person (keeping it in first person).
STE00001039	No Casino Bans
STE00001040	Prevents bans from casinos.
STE00001041	No Sneak Attack Criticals
STE00001042	Disables sneak attack criticals by the player.
STE00001043	NPCs Can Sneak Crit Player
STE00001044	Allows NPCs to land sneak attack criticals on the player and on each other. - can be used alongside bNoSneakAttacksCriticals (making it 'No Player Sneak Attack Criticals').
STE00001045	NPCs Can Disarm Player
STE00001046	Allows NPCs to disarm the player.
STE00001047	Sneak Criticals Only Melee Weapons
STE00001048	Only allow sneak attack criticals with melee weapons.
STE00001049	Show Quest And No DRDT Items In Repair Menu
STE00001050	Unhide quest items and armors with no DR or DT from the repair services menu.
STE00001051	Disable Godmode On Load
STE00001052	Disables godmode when loading/reloading a save.
STE00001053	Invert Container Title Scrollwheel Direction
STE00001054	Inverts the direction of category change when using scroll-wheel on a container's title.
STE00001055	HUD Fatigue Indicator
STE00001056	Adds a fatigue indicator similar to the FOD and H2O labels in hardcore.
STE00001057	Allow Weapon Hotkeys And Pip-Boy While Reloading
STE00001058	Allows switching weapons using weapon hot-keys, and opening the Pip-Boy while reloading.
STE00001059	No Disarm Companions
STE00001060	Prevents companions from being disarmed in combat.
STE00001061	Allow Firing While Landing
STE00001062	Allows firing weapons while lower body animations are playing.
STE00001063	Fire While Aiming
STE00001064	Allows firing weapons while aiming in and out.
STE00001065	Dont Allow Console Till Loading Is Done
STE00001066	In vanilla it's possible to load a save using the console before settings (e.g. disable controller) have been loaded, this prevents opening the console till this loading has finished.
STE00001067	Power Attack While Overencumbered
STE00001068	Allow melee power attacks while overencumbered.
STE00001069	Slow Breath Regen
STE00001070	Slowly regenerate the H2O meter when not underwater instead of instantly refilling it when resurfacing.
STE00001071	Breath regen rate
STE00001072	Rate at which breath is restored to max - setting to 1.0 restores the entire bar in 1 second, 0.5 in 2 seconds etc.
STE00001073	Show breath regen while not underwater
STE00001074	Show the breath meter when not underwater if it's not 100%.
STE00001075	Note Menu Show Separate Menu
STE00001076	Show the scroll menu when clicking on a note in the Pip-Boy (requires textures and XML from Book Menu Restored).
STE00001077	Require holding Shift
STE00001078	Require the shift key to be held to show the note menu.
STE00001079	Don't Set Quest When Objectives Added
STE00001080	Don't set the current quest when gaining a new objective when you have no quest active.
STE00001081	Spin Weapons Sound Fix
STE00001082	Fixes a bug where looping attack weapons would not play their attack sound when briefly stopped. For example in the base game, tapping and then holding the fire button with the Flamer or Mini-gun held would result in no fire sound playing.
STE00001083	Turn Slower While Aiming
STE00001084	Scale look rotation speed while aiming.
STE00001085	X scale
STE00001086	Scale applied to X axis rotation while aiming.
STE00001087	Y scale
STE00001088	Scale applied to Y axis rotation while aiming.
STE00001089	Show Sneak Label While Standing
STE00001090	Show the [Sneak] indicator while standing.
STE00001091	VATS Auto Target Head
STE00001092	Automatically target the head when entering VATS.
STE00001093	Only Change Camera Height If POV Key Held
STE00001094	Scrolling only changes camera height if the 'Change View' key is held.
STE00001095	Compare Armor Stats
STE00001096	Show - and + on armor DT and DR relative to the equipped armors.
STE00001097	Allow VATS While Anims Play
STE00001098	Allow entering VATS while animations play (e.g. while jumping).
STE00001099	Robot Companions Heal With Scrap Metal
STE00001100	Heal robotic companions with scrap metal instead of stimpaks.
STE00001101	Base health restored
STE00001102	Base health restored per scrap metal.
STE00001103	Repair skill bonus
STE00001104	Bonus health restored per player repair skill.
STE00001105	Robotics Expert bonus
STE00001106	Bonus health restored if the player has the robotics expert perk.
STE00001107	Healing Item EditorID
STE00001108	Editor ID of the healing item for robots.[CRLF]If a formlist is provided the first available will be used.
STE00001109	Custom Screenshot Format
STE00001110	Automatically convert taken screenshots into various formats. Currently supported formats are: jpg, tiff and bmp.
STE00001111	Format (JPG, PNG or BMP)
STE00001112	File format (jpg, tiff, png or bmp).
STE00001113	Mod Console Prints Include Name
STE00001114	When a mod prints to the console, prepend the [Modname] to the text. Optionally print the formid of the script that printed it.
STE00001115	Include script ID
STE00001116	Prepend the script ID instead of the mod name.
STE00001117	Scale Radio Song Volume During Dialogue
STE00001118	Scale the volume of radio songs while in conversation with an NPC.
STE00001119	Volume multiplier
STE00001120	Multiplier applied to music volume during dialogue.
STE00001121	Scale Music Volume During Dialogue
STE00001122	Scale the volume of ambient music while in conversation with an NPC.
STE00001123	Use First Person Empty Clip Sound
STE00001124	Use the first person empty clip sound in third person (it's louder).
STE00001125	Allow Keyboard And Mouse With Controller Connected
STE00001126	Allow use of keyboard and mouse to move around (excludes menus) while a controller is connected.
STE00001127	Scale Critical Damage
STE00001128	Multiply critical damage for all weapons.
STE00001129	Damage multiplier
STE00001130	Multiplier applied to weapon damage for critical hits.
STE00001131	Use Console Output File
STE00001132	Automatically set the console output file.
STE00001133	File name
STE00001134	The name of the output file e.g. ConsoleOut.txt.
STE00001135	Cache Quest And Note Menu
STE00001136	Speed up the quest and note menus by only recreating them if your quest/notes state has changed, and not creating the challenges list if you're viewing the notes tab.
STE00001137	Keep Holotape Playing When Selecting Other Notes
STE00001138	Don't stop the current holotape's audio when clicking on other (non-audio) notes.
STE00001139	Disable Needs Messages
STE00001140	Prevents the messages when hardcore needs and radiation levels increase/decrease.
STE00001141	Disable radiation messages
STE00001142	Disable hunger messages
STE00001143	Disable dehydration messages
STE00001144	Disable sleep deprivation messages
STE00001145	Crouch While Equipping Weapons
STE00001146	Allows crouching while (un)equipping weapons, the crouch animation is queued after the equip.
STE00001147	Recently Dead NPC Indicator
STE00001148	Shows recently killed NPCs on the compass until they have been moused over.
STE00001149	Indicator time out
STE00001150	Maximum time an NPC tick will be shown for after their death (in milliseconds, 0 is unlimited).
STE00001151	Player and teammate kills only
STE00001152	Only show NPCs killed by the player or companions.
STE00001153	Player damaged only
STE00001154	Only show NPCs damaged by the player.
STE00001155	Color
STE00001156	RGB color of indicators in hexadecimal.
STE00001157	Controller Back Button Doesn't Close Pip-Boy
STE00001158	Prevents the Back button closing the Pip-Boy.
STE00001159	Auto Weapon No Firing Delay
STE00001160	Allows firing automatic weapons even if they are animating already (e.g. miniguns spinning up).
STE00001161	Include heavy weapons
STE00001162	Ignore the need for heavy weapons (animation type >= 8) to spin up before firing.
STE00001163	Min Blood Splatter Health Damage
STE00001164	Only show blood splatters if their damage is above a minimum health damage threshold.
STE00001165	Minimum health damage
STE00001166	Minimum health damage of an attack for blood splatters to show.
STE00001167	VATS Stop Firing If Target Dead
STE00001168	Stop firing the current burst in VATS if the target is already dead, e.g. the 10mm SMG which fires 3 rounds in a burst in VATS.
STE00001169	Hold And Release Throwables
STE00001170	Allows hold/releasing for throwables similar to grenades.
STE00001171	Support mines
STE00001172	Allow holding mines before throwing them.
STE00001173	Allow Sleep Wait With Reduced Max Health
STE00001174	Allows sleep/waiting while max health is reduced by effects - making it possible to sleep with a temporary effect like -50hp, while still preventing sleeping while taking damage.
STE00001175	Level Difference Affects Combat XP
STE00001176	Makes kill XP depend on the level difference between the player and killed actor.
STE00001177	Base XP reward
STE00001178	Base XP rewarded for all kills.
STE00001179	Level difference bonus
STE00001180	Additional XP rewarded per point of level difference between player and killed actor.
